13年 1月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 1月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｊブエノディオス, 67,ベリｰ, 2.1, 58,   3,  -7,12, 71.0, ⑤⑤,14,13,Ｂキングオブロｰ, 81,柴田善, 0.8, 66,  -7,   5, 3,  5.9, ⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｏデルマビシャモン, 56,大野拓, 3.0, 50,   3, -14, 9, 55.4, ⑦⑬,15, 1,Ｏストロングポイント, 68,吉田隼, 1.5, 60, -23,  11,14,137.9, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｐタイセイマテンロウ, 39,柴田善, 7.4, 10,*  5, -55,11, 63.9, ②⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:3),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,単勝:540円 複勝:03=170円 11=170円 16=150円 枠連:610円,,,,,,,,,,,,"単勝:650円 複勝:05=220円 04=140円 14=140円 枠連:1,390円",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"馬連:1,100円 ワイド:03-11=340円 03-16=410円 11-16=420円",,,,,,,,,,,,"馬連:1,390円 ワイド:04-05=510円 05-14=660円 04-14=270円",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"馬単:2,170円 3連複:1,180円 3連単:7,830円",,,,,,,,,,,,"馬単:3,400円 3連複:1,770円 3連単:13,840円",,,,,,,,,,,
,,,,,,,,,,,,■ 5R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2000m 3 歳ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,京成杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,, 1,15, ニｰマルダイヤ,---,北村宏,, 57,* -1,* -7, 1,  1.8, ①①, 1, 3,Ａママキジャ, 87,田中勝,, 75,   7,* 11, 3,  4.9,③④④, 1, 6,Ｊフェイムゲｰム, 62,ベリｰ,, 76,   0,* 18, 7, 12.6,⑨⑨⑦
,,,,,,,,,,,, 2, 2, タオルチャン,---,岩部純, 0.2, 55,  -4,* -4, 4, 12.4, ⑦⑤, 2, 2,Ｆオｰシュペｰル, 77,田辺裕, 0.0, 76,   6,* 13, 4,  6.9,④⑧⑥, 2,11,Ｂアクションスタｰ, 76,内田博, 0.0, 79,  -3,* 22, 5,  7.9,⑪⑩⑩
,,,,,,,,,,,, 3,10, ヴェルタｰト,---,田辺裕, 0.2, 53,  -4,* -5, 5, 14.0, ⑥⑥, 3,12,Ｇナムラエメラルド, 77,内田博, 0.4, 74,   5,* 12, 6,  7.2,⑪⑩⑩, 3, 7,Ｋケイアイチョウサン, 58,石橋脩, 0.2, 73,   0,  13, 9, 27.6,⑩⑤④
,,,,,,,,,,,, 4,14, デルマアマノジャク,---,中谷雄, 0.5, 53,* -1, -10,13,120.0, ②②, 4,11,Ｊシナル, 74,北村宏, 0.4, 73,   7,   7, 8, 35.6,⑦⑤⑤, 4, 8,Ｌクロスボウ, 43,吉田豊, 0.2, 76,  -5,* 22, 8, 26.8,⑫⑫⑪
,,,,,,,,,,,, 5, 7, ウイッチワンド,---,丹内祐, 0.6, 53,  -3,  -9,11, 63.3, ④④, 5, 8,Ｂマシュマロ, 83,横山典, 0.5, 70,   7,   7, 2,  4.9,⑩⑥⑦, 5,12,Ｇマイネルマエストロ, 65,和田竜, 0.5, 64,*  4,   0, 2,  6.2,①①①
,,,,,,,,,,,, 6,13, オランジュドｰル,---,福永祐, 1.3, 44,  -9,  -9, 3,  6.1, ⑬⑦, 6, 6,Ｃフィアレス, 79,丹内祐, 0.6, 76,   6,   8,10, 39.4,⑥⑨⑨, 6, 9,Ｃノウレッジ, 73,蛯名正, 0.5, 69,  -2,  12, 3,  7.4,⑥⑧⑨
,,,,,,,,,,,, 7,12, スイスイスｰウィ,---,吉田隼, 1.4, 41,  -8, -12, 2,  5.9, ⑩⑧, 7, 9,Ｄオメガフレグランス, 78,ベリｰ, 0.7, 71,*  8,   3, 5,  7.1,⑧③③, 7, 5,Ｉアポロソニック, 62,勝浦正, 0.6, 68,  -1,   9,12,165.6,⑦⑦⑧
,,,,,,,,,,,, 8, 3, クラウンセシリア,---,柴田大, 1.5, 42,  -7, -13,14,124.9, ⑧⑨, 8, 1,Ｅハッピｰマリｰン, 78,蛯名正, 1.6, 65,*  8,  -5, 1,  3.6,①①①, 8, 3,Ｅマイネルストラｰノ, 69,柴田大, 0.7, 66,*  1,   4, 6,  9.7,③③③
,,,,,,,,,,,, 9, 8, バライロノジンセイ,---,和田竜, 1.5, 44,  -9, -10, 8, 45.8, ⑫⑫, 9, 7,Ｋプルプル, 71,高嶋活, 1.8, 66,   4,   2,12,200.3,⑨⑪⑫, 9, 2,Ｈワｰルドレｰヴ, 64,ルメｰ, 0.9, 63,   0,   4,10, 35.6,⑤⑥⑥
,,,,,,,,,,,,10, 6, ミヤコプリンセス,---,石橋脩, 1.7, 41,  -7, -15, 9, 50.0, ⑨⑪,10, 4,Ｈセニョリｰタ, 76,中舘英, 1.8, 63,*  9,  -6, 9, 36.2,②②②,10, 1,Ｄフラムドグロワｰル, 73,横山典, 1.0, 59,*  1,  -2, 1,  2.6,②②②
,,,,,,,,,,,,11,11, ミュｰル,---,内田博, 1.8, 41,  -5, -17, 6, 14.0, ⑤⑩,11,10,Ｉサクラトップクイン, 75,ビュイ, 2.0, 64,   7,  -5, 7, 19.4,⑫⑦⑧,11, 4,Ａワンダｰロｰド, 76,吉田隼, 1.4, 56,   0,  -5, 4,  7.5,④④⑤
,,,,,,,,,,,,12,16, ダイメイチャｰム,---,西田雄, 2.1, 38,* -1, -24,16,136.8, ③③,12, 5,Ｌナンヨｰクイｰン, 58,江田照, 2.5, 61,   4,  -5,11,123.8,⑤⑫⑪,12,10,Ｆホワイトフリｰト, 66,ビュイ, 2.4, 48,  -4,  -9,11, 52.9,⑧⑪⑫
,,,,,,,,,,,,13, 9, ダイワマザｰランド,---,大野拓, 2.3, 34, -14, -14,10, 61.4, ⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 5, アポロチャｰム,---,菅原隆, 2.4, 32, -17, -13,12, 87.2, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 1, マルガリｰテス,---,柴山雄, 2.9, 30, -12, -20, 7, 37.1, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 4, トウカイメイク,---,津村明, 3.2, 28, -10, -25,15,128.6, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:3),,,,,,,,,,,
,,,,,,,,,,,,単勝:180円 複勝:15=110円 02=270円 10=280円 枠連:770円,,,,,,,,,,,,"単勝:490円 複勝:03=180円 02=220円 12=210円 枠連:1,420円",,,,,,,,,,,,"単勝:1,260円 複勝:06=380円 11=290円 07=640円 枠連:2,100円",,,,,,,,,,,
,,,,,,,,,,,,"馬連:970円 ワイド:02-15=480円 10-15=450円 02-10=1,370円",,,,,,,,,,,,"馬連:1,430円 ワイド:02-03=600円 03-12=650円 02-12=890円",,,,,,,,,,,,"馬連:4,590円 ワイド:06-11=1,470円 06-07=2,090円 07-11=2,740円",,,,,,,,,,,
,,,,,,,,,,,,"馬単:1,400円 3連複:3,060円 3連単:10,980円",,,,,,,,,,,,"馬単:2,520円 3連複:3,600円 3連単:15,490円",,,,,,,,,,,,"馬単:10,690円 3連複:27,420円 3連単:166,910円",,,,,,,,,,,
,,,,,,,,,,,,■ 6R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ2400m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝2200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,成田特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,, 1, 2,Ｍコスモアンダルシア, 55,丹内祐,, 64,   3,   4,14,127.9, ④④, 1,10,Ａユｰロビｰト, 89,田辺裕,, 84,  12,* 11, 1,  2.5,⑥③③, 1, 6,Ｍクイｰンオリｰブ, 68,的場勇,, 84,*  0,  17, 5, 11.0,①①①
,,,,,,,,,,,, 2, 6,Ｄベルライン, 63,三浦皇, 0.0, 65,   5,   3, 3,  4.3, ⑤⑤, 2, 1,Ｊリｰゼントブルｰス, 77,松岡正, 0.1, 83,* 13,   6, 4,  7.8,①①①, 2, 7,Ｈディオベルタ, 72,蛯名正, 0.0, 86,* -2,  21, 4,  7.7,③③④
,,,,,,,,,,,, 3,14,Ｂクリノタカラチャン, 64,横山典, 0.2, 62,* 12,  -6, 7, 19.3, ①①, 3,13,Ｆコスタパルメｰラ, 81,ルメｰ, 0.6, 82,  12,*  8, 2,  5.0,⑧⑧⑤, 3,14,Ｇリアルフレア, 74,北村宏, 0.2, 85,  -3,* 23, 9, 31.8,⑨⑧③
,,,,,,,,,,,, 4,11,Ｉロｰドシュプリｰム, 59,岩田康, 0.2, 61,  -1,   5, 2,  4.1, ⑨⑧, 4, 4,Ｃメイスンキャプテン, 82,北村宏, 1.2, 78,  10,   7, 3,  6.1,⑦⑪⑫, 4,15,Ｃミライヘノカゼ, 77,田辺裕, 0.2, 82,*  0,  16, 8, 18.2,②②②
,,,,,,,,,,,, 5,13, アステｰルネオ,---,石崎隆, 0.2, 61,  -3,*  7,12, 86.6, ⑪⑪, 5, 2,Ｇラフィングインメイ, 79,和田竜, 1.3, 78,  11,   3, 5, 14.4,④⑤④, 5, 4,Ａインプレザリオ, 81,村田一, 0.3, 85,  -4,* 23, 1,  3.2,⑧⑨⑩
,,,,,,,,,,,, 6, 4,Ｇジョｰジジョｰジ, 60,北村宏, 0.2, 61,   1,   4, 9, 30.3, ⑥⑥, 6, 7,Ｅアｰルシネマスタア, 81,三浦皇, 1.3, 77,  11,   4,12, 53.3,⑪⑨⑦, 6, 1,Ｐタウレプトン, 64,三浦皇, 0.3, 84,  -3,  20, 6, 15.8,⑤⑤⑦
,,,,,,,,,,,, 7, 3,Ｌグレカｰレ, 56,大野拓, 0.3, 60,*  7,  -4,15,136.5, ②②, 7, 9,Ｋブリリアントシチｰ, 75,武士沢, 1.5, 77,  10,   5,14,115.5,⑬⑬⑪, 7,10,Ｄロジサンデｰ, 76,内田博, 0.5, 84,  -4,  22, 3,  5.3,⑪⑩⑥
,,,,,,,,,,,, 8,10,Ｅリアリティｰ, 61,柴田善, 0.4, 58,  -3,   5,10, 37.9, ⑩⑨, 8, 6,Ｈオネストエイブ, 79,津村明, 1.5, 76,* 13,  -6,11, 50.5,⑫②②, 8,12,Ｉエｰブフウジン, 71,吉田隼, 0.7, 78,* -2,  13,10, 48.1,④④⑤
,,,,,,,,,,,, 9, 1,Ｈロジウエスト, 60,丸田恭, 0.4, 58, -10,* 11, 6, 13.9, ⑯⑭, 9,11,Ｉトｰセンセカイオｰ, 79,横山典, 1.6, 74,  11,   0, 6, 15.7,②⑥⑥, 9, 2,Ｂプレミアムテｰスト, 80,ベリｰ, 0.7, 84,  -5,* 23, 2,  4.2,⑩⑬⑬
,,,,,,,,,,,,10,15,Ｃベイビｰイッツユｰ, 63,江田照, 0.6, 56,  -6,   5, 8, 24.3, ⑬⑬,10,15,Ｄテイエムデジタル, 81,柴田善, 2.2, 72,  11,  -3, 7, 18.4,⑤⑩⑧,10,16,Ｆクｰルエレガンス, 74,大野拓, 1.0, 77,  -6,  17, 7, 15.9,⑮⑭⑨
,,,,,,,,,,,,11, 9,Ａワキノキセキ, 65,蛯名正, 0.6, 56,   1,  -2, 1,  3.9, ⑦⑩,11, 5,Ｂレジアｰネ, 83,蛯名正, 2.8, 69,  11,  -9, 8, 18.5,③⑦⑩,11,11,Ｋブｰケドロゼブルｰ, 70,江田照, 1.0, 74,  -3,  10,14,108.4,⑥⑥⑧
,,,,,,,,,,,,12, 7,Ｋコスモリｰプリング, 57,柴田大, 0.6, 57,   2,  -3, 5,  9.7, ⑧⑦,12, 3,Ｎマｰジｰビｰト, 69,大野拓, 4.0, 63,  10, -16,13, 94.6,⑩⑫⑬,12, 8,Ｌマイネキャスリｰン, 69,柴田大, 1.3, 74,  -5,  11,15,124.6,⑫⑪⑪
,,,,,,,,,,,,13, 8,Ｎファイヤｰヒｰス, 52,ビュイ, 0.6, 56,  -9,*  8,11, 40.5, ⑮⑯,13,14,Ｌイルポスティｰノ, 75,岩田康, 5.0, 58,  12, -30,10, 36.0,⑨④⑨,13, 5,Ｅサンデｰスイセイ, 76,田中勝, 1.3, 76,  -7,  17,13, 95.3,⑯⑮⑭
,,,,,,,,,,,,14, 5,Ｆバｰニングハｰト, 61,松岡正, 0.7, 56,*  6,  -8, 4,  7.5, ③③,,,,,,,,,,,,,14, 9,Ｎフロｰルジェナ, 66,横山和, 1.7, 69,  -6,   7,16,267.2,⑬⑫⑮
,,,,,,,,,,,,15,16,Ｊドクトルバロン, 58,田辺裕, 1.0, 51,  -3,  -3,13,105.0, ⑫⑫,,,,,,,,,,,,,15,13,Ｏディｰエスメジャｰ, 65,勝浦正, 1.7, 65,  -3,   0,11, 50.1,⑦⑦⑫
,,,,,,,,,,,,16,12,Ｏアイディンビュｰ, 46,木幡初, 1.4, 46,  -9,  -3,16,171.4, ⑭⑮,,,,,,,,,,,,,16, 3,Ｊブルｰイングリｰン, 71,ビュイ, 2.5, 62,  -7,   2,12, 73.2,⑭⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:3),,,,,,,,,,,
,,,,,,,,,,,,"単勝:12,790円 複勝:02=2,810円 06=160円 14=510円 枠連:1,750円",,,,,,,,,,,,"単勝:250円 複勝:10=130円 01=220円 13=170円 枠連:1,140円",,,,,,,,,,,,"単勝:1,100円 複勝:06=410円 07=310円 14=820円 枠連:2,900円",,,,,,,,,,,
,,,,,,,,,,,,"馬連:18,180円 ワイド:02-06=6,010円 02-14=14,780円 06-14=1,350円",,,,,,,,,,,,"馬連:1,080円 ワイド:01-10=450円 10-13=320円 01-13=780円",,,,,,,,,,,,"馬連:3,250円 ワイド:06-07=1,380円 06-14=4,020円 07-14=3,820円",,,,,,,,,,,
,,,,,,,,,,,,"馬単:62,960円 3連複:92,740円 3連単:716,300円",,,,,,,,,,,,"馬単:1,710円 3連複:1,830円 3連単:8,560円",,,,,,,,,,,,"馬単:7,000円 3連複:43,560円 3連単:184,070円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
