13年 2月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 2月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,
 7,11,Ｊトウショウパシオン, 37,岩部純, 1.3, 49,   8, -12,10, 75.6, ⑥⑦, 7,11,Ｉラルゴスパｰダ, 51,戸崎圭, 0.6, 53,  -4,* -1,12, 45.4,⑨⑬⑬, 7, 9,Ｇトｰホウビュｰティ, 76,嶋田純, 2.0, 66,   8,  -6, 7, 15.1,⑥⑥⑥, 7, 6,Ｐトウショウブリッツ, 77,大庭和, 1.0, 74,  10,   6,14, 94.2, ⑥⑦
 8, 9,Ｈベルモントラヴ, 49,北村宏, 1.5, 48,* 12, -19, 7, 27.5, ①①, 8, 8,Ｆマイネルハイネス, 57,柴田大, 1.0, 50,   0, -15, 5, 11.2,⑥⑦⑧, 8,10,Ｊユメノトキメキ, 68,石橋脩, 2.7, 61,*  9, -14, 9, 45.2,②②②, 8,10,Ｂサクラシャイニｰ, 89,石橋脩, 1.0, 75,   7,  10, 5,  8.7, ⑧⑧
 9,13,Ｇチェリｰヘステイア, 51,ブノワ, 1.5, 45,   1,  -7,12,161.2, ⑫⑫, 9,12,Ｋオマツリマンボ, 44,嘉藤貴, 1.2, 48,  -4,  -7,15,299.7,⑫⑮⑭, 9, 3,Ｄクロｰバｰリｰフ, 78,ベリｰ, 2.7, 63,   9, -12, 5,  9.8,③④④, 9,11,Ｋフィｰルドシャイン, 85,嶋田純, 1.1, 73,   4,  11,12, 48.2, ⑩⑩
10,10,Ｄトゥユアハｰト, 60,田中勝, 1.6, 46,  10, -17, 5, 14.2, ④④,10,13,Ｍマツリダデンカ, 37,三浦皇, 1.2, 46,   0, -20,13, 71.5,⑬⑤⑦,10, 2,Ｆシナル, 76,北村宏,31.3,31.3---,   5, ---, 8, 17.9,⑦⑩⑩,10, 2,Ｆエｰシンジェイワン, 88,蛯名正, 1.2, 73,* 18,  -3, 8, 15.5, ①①
11, 8,Ｎシェランコントレ, 24,戸崎圭, 1.9, 39,   2, -12, 9, 68.0, ⑪⑩,11, 7,Ｐヴィアレｰギア, 24,吉田豊, 1.2, 47,  -4,  -8,14,231.4,⑪⑫⑫,,,,,,,,,,,,,11, 8,Ｏガブリン, 80,杉原誠, 1.5, 70,  -1,  12,16,289.9, ⑭⑭
12, 3,Ｉグランパドゥシャ, 46,嶋田純, 1.9, 41,   5, -15,11,151.9, ⑦⑧,12, 6,Ｅアルデュｰド, 58,蛯名正, 1.3, 44,*  1, -24, 2,  3.6,④③④,,,,,,,,,,,,,12,13,Ｍエベレストオｰ, 82,ブノワ, 1.5, 70,  -3,  14,11, 38.5, ⑯⑯
13,16,Ｋロスカティオス, 36,山崎亮, 2.1, 37,  -8,  -5,16,489.7, ⑮⑮,13, 1,Ｌエルインペレイタｰ, 44,ベリｰ, 1.9, 39,  -1, -25, 6, 14.1,⑭⑨⑩,,,,,,,,,,,,,13, 3,Ｊニシオドリｰム, 86,吉田豊, 1.6, 70,  12,  -1, 6, 14.4, ④⑤
14, 2,Ｐフェバリットソング, 21,田辺裕, 2.3, 35,  -6,  -9, 8, 67.6, ⑬⑭,14,15,Ｂサクラフラムドｰル, 64,田中博, 2.1, 37,*  1, -35, 9, 21.5,②②②,,,,,,,,,,,,,14,15,Ａキョウエイカルラ, 90,戸崎圭, 1.8, 66,   7,   3, 3,  8.1, ⑨⑫
15,15,Ｌワンダリングブルｰ, 31,張田京, 2.5, 35, -10,  -7,13,200.4, ⑯⑯,15, 5,Ｎフォントネｰ, 34,武士沢, 2.9, 31,  -7, -27,16,441.9,⑮⑯⑮,,,,,,,,,,,,,15, 4,Ｌアｰリｰロブスト, 84,江田照, 2.4, 63,* 17, -12,13, 74.3, ②②
16, 4,Ｏナデシコホマレ, 21,嘉藤貴, 3.0, 31,   2, -22,15,383.3, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｅエクセルシオｰル, 88,中谷雄, 3.0, 57,* 17, -17, 4,  8.3, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:2),,,,,,,,,,,
単勝:200円 複勝:07=110円 14=150円 05=140円 枠連:440円,,,,,,,,,,,,"単勝:1,860円 複勝:14=590円 04=340円 10=220円 枠連:8,330円",,,,,,,,,,,,単勝:180円 複勝:01=110円 05=210円 06=200円 枠連:850円,,,,,,,,,,,,単勝:360円 複勝:09=140円 01=150円 05=530円 枠連:400円,,,,,,,,,,,
馬連:510円 ワイド:07-14=230円 05-07=210円 05-14=400円,,,,,,,,,,,,"馬連:16,830円 ワイド:04-14=4,740円 10-14=1,970円 04-10=2,360円",,,,,,,,,,,,馬連:760円 ワイド:01-05=400円 01-06=320円 05-06=910円,,,,,,,,,,,,"馬連:640円 ワイド:01-09=290円 05-09=1,530円 01-05=1,550円",,,,,,,,,,,
"馬単:710円 3連複:730円 3連単:2,610円",,,,,,,,,,,,"馬単:35,130円 3連複:41,500円 3連単:306,670円",,,,,,,,,,,,"馬単:1,330円 3連複:2,040円 3連単:8,280円",,,,,,,,,,,,"馬単:1,330円 3連複:5,730円 3連単:23,260円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 6R  芝1800m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝2200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,水仙賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11, ツクバロｰレル,---,柴田善,, 56,*-13,* 11, 3,  6.0,③③③, 1,12,Ａテンシンランマン, 73,田中勝,, 66,  -1,   1, 1,  2.6,⑤⑤④, 1, 5,Ａヒラボクディｰプ, 76,蛯名正,, 73,  -8,   9, 1,  2.6,③④④, 1, 1,Ｆメイショウヒデタダ, 72,蛯名正,, 77,   7,   2, 6,  8.0, ⑤⑤
 1, 2, タッチザタｰゲット,---,戸崎圭,, 55, -15,* 14, 1,  1.7,④④④, 2,13,Ｂセキショウ, 72,横山典, 0.1, 65,  -3,   3, 2,  3.1,⑦⑦⑦, 2, 8,Ｈシャイニｰリｰヴァ, 58,田中勝, 0.0, 72,* -6,   7, 4,  6.5,②②②, 2, 4,Ｄテイエムコウノトリ, 74,横山典, 0.1, 74,   3,   5, 2,  5.7, ⑥⑥
 3, 3, オリオンザスタｰ,---,松岡正, 0.5, 54, -14,   9, 5, 18.7,⑥⑤⑤, 3, 9,Ｅダイワポライト, 62,吉田豊, 0.3, 68,  -8,* 11, 9, 35.1,⑭⑭⑮, 3, 4,Ｂサンバジｰリオ, 74,石橋脩, 0.2, 72,  -8,   8, 2,  5.1,⑥⑤⑤, 3,10,Ａレオパステル, 77,嶋田純, 0.1, 74,   3,   4, 3,  6.4, ⑧⑦
 4, 5, アイアムライジング,---,柴田大, 0.8, 55, -17,* 13, 8, 23.9,⑦⑦⑦, 4, 8,Ｄシルバｰストリｰク, 63,張田京, 0.3, 67,  -8,* 11,12,100.2,⑮⑮⑫, 4, 6,Ｃピュアソルジャｰ, 73,吉田豊, 0.3, 74,  -9,* 12, 5,  6.7,⑧⑨⑩, 4, 2,Ｃアポロノカンザシ, 75,田辺裕, 0.2, 76,* 11,  -5, 4,  7.3, ①①
 5,10, グランドアゲン,---,木幡初, 1.3, 49,*-13,   1, 4, 16.4,②②②, 5,10,Ｊレッドマニッシュ, 57,北村宏, 0.4, 63,  -4,   1, 5, 17.5,⑧⑧⑧, 4, 3,Ｅビッグバンドジャズ, 70,北村宏, 0.3, 71,  -9,   9, 7, 19.6,⑦⑦⑥, 5, 7,Ｊツインクルスタｰ, 67,江田照, 0.3, 74,*  9,  -5, 7,  8.5, ④④
 6, 8, ファットタイム,---,田辺裕, 1.6, 46, -14,   1, 2,  5.6,⑤⑥⑥, 6, 4,Ｎメロディアス, 56,戸崎圭, 0.5, 62,  -1,  -5,10, 37.3,④④⑤, 6, 9,Ｄマイネルクレイズ, 73,柴田大, 0.3, 70,* -6,   4, 6, 13.1,④③③, 6,14,Ｈアブマｰシュ, 70,柴田大, 0.4, 70,  -1,   4, 5,  7.7, ⑪⑩
 7, 1, ベルベットカッツェ,---,嶋田純, 2.2, 45, -19,   5,10, 58.2,⑧⑧⑧, 7, 1,Ｋセクシイサウンド, 57,嶋田純, 0.7, 58,*  1, -14, 7, 25.2,①①①, 7, 1,Ｆフォｰナインキング, 62,横山典, 0.8, 64,  -8,   1, 3,  5.8,⑤⑥⑧, 7,11,Ｉシャドウエミネンス, 68,戸崎圭, 0.5, 67,  -4,*  6, 1,  5.1, ⑫⑫
 8, 9, エムオｰタイガｰ,---,北村宏, 2.6, 39,*-13, -10, 7, 23.4,①①①, 8, 7,Ｆダノンビｰナス, 60,松岡正, 0.7, 64,  -5,   1, 4, 11.7,⑩⑪⑩, 8, 7,Ｇアポロカｰネル, 61,戸崎圭, 0.8, 66,  -9,   4,10, 59.0,⑨⑧⑨, 8,12,Ｂシルクパルサｰ, 76,吉田豊, 0.5, 67,  -5,*  7,10, 27.0, ⑬⑬
 9,12, オリオンザムｰン,---,ベリｰ, 2.6, 43, -20,   3,11, 58.7,⑫⑪⑪, 9,11,Ｍアガサ, 56,武士沢, 0.9, 59,  -6,  -2,14,195.7,⑬⑬⑭, 9, 2,Ｊステラジアン, 53,大庭和, 1.0, 59,* -5,  -9, 8, 25.9,①①①, 9, 6,Ｎパｰプルタイガｰ, 60,杉原誠, 0.5, 72,*  9,  -7,13,116.8, ③③
10, 4, ティアップブルｰム,---,石橋脩, 2.6, 43, -19,   3,13,170.1,⑪⑨⑩,10, 5,Ｃエタｰナルムｰン, 66,木幡初, 1.0, 57,*  0, -15, 6, 18.5,③③②,10,10,Ｉコウジョウ, 56,松岡正, 1.4, 60,  -9,  -4, 9, 43.5,⑩⑩⑦,10, 3,Ｍサンキストビｰチ, 62,ブノワ, 0.7, 65,  -1,   1,11, 85.1, ⑨⑧
11, 6, エルマックス,---,ブノワ, 2.9, 41, -20,   1, 9, 37.8,⑩⑩⑨,11, 6,Ｇアドマイヤイチバン, 60,田辺裕, 1.0, 58,  -6,  -4, 8, 28.9,⑪⑫⑬,,,,,,,,,,,,,11, 5,Ｇブルｰピアス, 71,石橋脩, 0.7, 70,* 11, -11, 9, 23.3, ②②
12,13, ラベンダｰパｰス,---,張田京, 6.0, 19, -22, -21,12,136.6,⑬⑬⑫,12,14,Ｉディｰプストｰリｰ, 58,三浦皇, 1.0, 59,  -4,  -6, 3,  5.8,⑨⑩⑪,,,,,,,,,,,,,12, 9,Ｅプロスペラスマム, 72,武士沢, 0.8, 63,  -1,  -1,12, 86.7, ⑩⑪
13, 7, ナナカマド,---,横山典, 7.5,  9, -21, -34, 6, 19.8,⑨⑫⑬,13,15,Ｈリュウツバメ, 59,江田照, 1.2, 55,  -4, -11,13,120.4,⑫⑨⑨,,,,,,,,,,,,,13,13,Ｌレッドアンバｰ, 66,平野優, 1.3, 56, -15,*  6,14,268.3, ⑭⑭
,,,,,,,,,,,,14, 2,Ｌファンアットコｰト, 57,柴田大, 1.3, 55,  -3, -14,11, 62.7,⑥⑥⑥,,,,,,,,,,,,,14, 8,Ｋタイセイジｰニアス, 67,ベリｰ, 3.0, 37,   3, -33, 8,  9.4, ⑦⑨
,,,,,,,,,,,,15, 3,Ｏカラダエｰピｰ, 49,ブノワ, 1.8, 47,*  0, -26,15,229.8,②②③,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,
単勝:120円 複勝:02=110円 11=230円 03=400円 枠連:410円,,,,,,,,,,,,単勝:260円 複勝:12=140円 13=140円 09=540円 枠連:350円,,,,,,,,,,,,単勝:260円 複勝:05=130円 08=190円 04=160円 枠連:790円,,,,,,,,,,,,"単勝:800円 複勝:01=300円 04=200円 10=250円 枠連:2,800円",,,,,,,,,,,
