13年 9月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵｰｸﾗﾝﾄﾞﾚｰｼﾝｸﾞｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 6, 5,Ｄボウマンミル, 58,幸英明, 0.7, 58, -10,*  7, 2,  5.0, ⑩⑭, 6, 8, ストｰムインパクト,---,四位洋, 0.5, 59,   3, -16, 1,  2.0, ⑦⑧, 6,11,Ｏマルタカシクレノン, 64,藤田伸, 0.6, 72,   3,*  0,17,249.2, ⑮⑯, 6, 8,Ｈロｰブティサｰジュ, 76,岩田康, 0.4, 76,  22, -27, 5, 12.9, ④④
 7,16,Ｈアグネスコスモス, 52,森一馬, 0.9, 55,  -7,   3,11,210.2, ⑨⑨, 7, 2, エリタｰジュゲラン,---,川島信, 0.7, 57,   6, -23, 6, 21.5, ⑤④, 7, 3,Ｅレッドフォｰチュン, 69,藤岡康, 0.7, 68,  13, -17,12,110.2, ⑦⑦, 7,11,Ｋリメインサイレント, 74,柴山雄, 0.7, 71,* 23, -35,16,117.7, ③③
 8,12,Ｃシゲルコギツネザ, 62,小牧太, 1.2, 53, -11,   4, 3,  6.3, ⑫⑫, 8, 3, エアカミュゼ,---,内田博, 1.4, 50,*  8, -39, 3,  5.5, ②②, 8,17,Ｉイエスミｰトゥｰ, 66,菱田裕, 0.7, 70,   0,*  3,14,143.1, ⑱⑰, 8,16,Ｎノボリディアｰナ, 72,幸英明, 0.9, 72,* 25, -40, 7, 17.8, ②②
 9, 9,Ｌハロｰブライアン, 40,岩崎翼, 1.8, 48,  -3,  -8, 9, 91.7, ④⑦, 9, 1, リノリオ,---,酒井学, 1.9, 45,*  8, -46, 4,  8.7, ①①, 9,13,Ｈリスヴェリアｰト, 68,松山弘, 0.8, 69,   9, -13, 5, 12.5, ⑫⑬, 9,14,Ｏピクシｰホロウ, 72,菱田裕, 1.2, 67,* 27, -52,13, 51.3, ①①
10, 6,Ｏメイショウヌナカワ, 30,熊沢重, 1.9, 49,  -9,  -4,14,260.0, ⑪⑧,,,,,,,,,,,,,10, 6,Ｆプリンシペアスｰル, 69,中井裕, 0.9, 68,  13, -20, 8, 38.4, ⑩⑧,10,13,Ｒボロンベルラルｰン, 63,国分優, 1.3, 69,  15, -27,18,418.2, ⑯⑯
11, 3,Ｍウタヒメ, 40,川島信, 2.2, 43, -11,  -5,10,114.2, ⑮⑪,,,,,,,,,,,,,11,18,Ｂエクスパｰシヴ, 74,戸崎圭, 1.1, 63,   8, -18, 2,  4.3, ⑭⑫,11, 7,Ｊトｰセンソレイユ, 74,四位洋, 1.3, 67,  19, -36, 6, 15.8, ⑨⑧
12, 4,Ｆアスカリンカｰン, 53,藤懸貴, 2.5, 41,  -4, -14, 7, 36.4, ⑥⑤,,,,,,,,,,,,,12, 9,Ｎディアデラバンデラ, 64,和田竜, 1.5, 61,   3, -13,11,107.8, ⑯⑮,12, 4,Ｌコレクタｰアイテム, 73,小牧太, 1.4, 67,  16, -30,11, 40.1, ⑮⑬
13, 2,Ｐキャロルハット, 25,菱田裕, 2.8, 38, -11, -10,16,432.3, ⑬⑮,,,,,,,,,,,,,13,12,Ｄタマモベルモット, 70,幸英明, 1.5, 62,  -1,  -6, 9, 43.3, ⑰⑱,13,10,Ｂレッドオｰヴァル, 78,川田将, 1.4, 67,  21, -40, 3,  5.3, ⑤⑥
14, 1,Ｊテイエムアイガｰ, 49,城戸義, 2.8, 37, -18,  -4,12,225.8, ⑯⑯,,,,,,,,,,,,,14, 7,Ｍデンコウチャレンジ, 64,熊沢重, 1.6, 59,* 17, -38,18,505.5, ④②,14, 5,Ａエバｰブロッサム, 82,戸崎圭, 2.0, 60,  12, -32, 2,  4.9, ⑭⑱
15,10,Ｋバクソクワイルダｰ, 42,川須栄, 3.3, 34, -11, -15,13,233.9, ⑭⑩,,,,,,,,,,,,,15,16,Ｑシゲルヘビザ, 59,北村友, 1.6, 59,  14, -34, 7, 32.0, ②⑥,15, 6,Ｃセレブリティモデル, 77,松山弘, 2.5, 57,  15, -45,15, 93.1, ⑪⑭
16,15,Ｎケンジントン, 38,池添謙, 4.0, 27,  -8, -24,15,316.8, ⑧⑬,,,,,,,,,,,,,16, 2,Ｐスナｰククラウン, 60,藤懸貴, 1.7, 58,  11, -31,15,176.6, ⑥⑨,16, 9,Ｑブリュネット, 63,酒井学, 2.6, 57,  19, -53,17,229.6, ⑦⑩
