13年 6月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■10R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9,10, ピサノカルメン,---,和田竜, 2.6, 49,  -4, -12,13,212.2, ⑬⑬,,,,,,,,,,,,, 9,14,Ｌヴィラデステ, 45,原田敬, 0.9, 50,   3, -19,15,152.9, ④④, 9, 4,Ｌガｰルズストｰリｰ, 72,菱田裕, 1.7, 73,   3,   5, 7, 25.6, ④⑥
10,14, チロエ,---,幸英明, 2.8, 48,  -6,  -9, 9, 69.5, ⑭⑮,,,,,,,,,,,,,10, 7,Ｊクリノアンデス, 47,荻野琢, 1.0, 48,  -1, -15,16,239.3, ⑦⑨,10,11,Ｍシルクミライ, 72,高倉稜, 1.8, 71,  -3,  10,12,112.4, ⑬⑬
11, 7,Ｉトリロジｰ, 44,菱田裕, 2.9, 48,   1, -20,12,122.8, ④⑥,,,,,,,,,,,,,11, 2,Ｎゴッドスピｰドユｰ, 24,幸英明, 1.1, 47,  -6, -12,13,115.6, ⑫⑫,11, 8,Ｈイッツアチャンス, 74,大野拓, 1.8, 70,*  5,   1,11,109.1, ②②
12, 2,Ａタマモマナムスメ, 64,池添謙, 2.9, 48,   1, -20, 1,  1.8, ⑤④,,,,,,,,,,,,,12,15, ハロｰブライアン,---,藤岡康, 1.4, 47,   6, -27,14,127.7, ③③,12,13,Ｏランドタカラ, 70,鮫島良, 1.8, 71,  -5,  13,16,231.8, ⑮⑮
13, 6, パｰプルチャペル,---,城戸義, 3.4, 41, -10, -11,15,323.0, ⑯⑯,,,,,,,,,,,,,13,13,Ｄエンジェルベイビｰ, 55,池添謙, 1.4, 43, -14,  -8, 8, 23.9, ⑯⑯,13, 3,Ｋラヴフェアリｰ, 73,水口優, 1.9, 71,  -1,   8,13,121.3, ⑨⑩
14,15, レッドヴェロッサ,---,川須栄, 3.5, 43,   0, -23, 5, 21.7, ⑦⑨,,,,,,,,,,,,,14, 4,Ｉプルチネルラ, 48,城戸義, 1.5, 41,  -9, -15,11, 46.0, ⑬⑬,14, 2,Ｎカナエチャン, 71,原田敬, 2.1, 68,   3,   0,14,152.6, ③④
15, 1, ナスノイブキ,---,中井裕, 3.6, 42,  -3, -22,10, 88.9, ⑨⑩,,,,,,,,,,,,,15,11,Ｋエｰシンタヒチ, 45,川須栄, 1.9, 44,* 14, -42,12, 74.4, ②②,15,16,Ｐエｰシンボダイジュ, 70,幸英明, 3.3, 58,  -1,  -5, 9, 68.2, ⑪⑪
16,13, カンクン,---,花田大, 3.8, 39,  -3, -24, 8, 42.3, ⑪⑫,,,,,,,,,,,,,16, 3,Ｇサワヤカハンサム, 51,和田竜, 1.9, 38, -11, -16,10, 37.6, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,
"単勝:840円 複勝:05=270円 08=11,820円 09=3,150円 枠連:23,040円",,,,,,,,,,,,"単勝:2,030円 複勝:06=320円 08=110円 02=160円 枠連:1,160円",,,,,,,,,,,,単勝:270円 複勝:16=130円 08=160円 10=160円 枠連:680円,,,,,,,,,,,,単勝:340円 複勝:15=160円 05=170円 06=820円 枠連:540円,,,,,,,,,,,
"馬連:92,620円 ワイド:05-08=16,570円 05-09=4,010円 08-09=105,110円",,,,,,,,,,,,"馬連:1,210円 ワイド:06-08=460円 02-06=760円 02-08=200円",,,,,,,,,,,,馬連:750円 ワイド:08-16=320円 10-16=300円 08-10=470円,,,,,,,,,,,,"馬連:550円 ワイド:05-15=360円 06-15=1,860円 05-06=1,600円",,,,,,,,,,,
"馬単:196,760円 3連複:832,610円 3連単:4,653,370円",,,,,,,,,,,,"馬単:4,110円 3連複:1,360円 3連単:18,460円",,,,,,,,,,,,"馬単:1,390円 3連複:1,330円 3連単:5,180円",,,,,,,,,,,,"馬単:1,060円 3連複:6,830円 3連単:22,450円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,垂水ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂオリエンタルサン, 64,藤岡康,, 59,  -5,*  9, 2,  4.5, ⑥⑥, 1, 5, エイシンオルドス,---,川田将,, 52,* -8,* -9, 1,  1.6, ①①, 1, 3,Ｂピンウィｰル, 78,菱田裕,, 78,   2,* 20, 2,  3.3,⑫⑧⑤, 1, 3,Ｃカレンミロティック, 86,池添謙,, 92,* 16,*  4, 2,  3.9, ②②
 2, 5,Ｃサンライズマｰチ, 58,菱田裕, 0.2, 58,  -1,   3, 3,  4.9, ④④, 2, 4, マダムリシェス,---,松山弘, 0.4, 47,* -9, -13, 2,  4.1, ②②, 2, 5,Ｃサイモンガｰランド, 76,松山弘, 0.2, 73,   4,  12, 1,  2.7,④③③, 2, 4,Ｈメイショウサミット, 79,太宰啓, 0.8, 81,* 15,  -8, 7, 25.0, ①①
 3,11,Ｊキタサンヤマビコ, 47,古川吉, 0.3, 59,*  1,   2,10, 32.5, ②②, 3, 3, タガノウォｰリア,---,太宰啓, 0.7, 43, -17,* -9, 3,  5.9, ⑥⑥, 3, 8,Ｉカノン, 68,原田敬, 0.6, 70,   2,  12, 7, 14.1,⑤④④, 3, 6,Ｄミルドリｰム, 84,四位洋, 1.0, 81,* 16,  -9, 4,  6.5, ③③
 4,12,Ｍシゲルトビウオザ, 45,熊沢重, 0.5, 57,*  1,  -1, 9, 27.7, ③③, 4, 1, コスモリリパット,---,中井裕, 1.1, 38, -24,* -8, 6, 28.7, ⑦⑦, 4, 7,Ｈブライトエルフ, 69,和田竜, 0.9, 71,   2,  12, 9, 49.1,⑥⑥⑦, 4,10,Ｅダロｰネガ, 81,幸英明, 1.1, 81,  13,  -5, 3,  5.7, ⑨⑪
 5, 3,Ａアルペンクロｰネ, 64,国分恭, 0.6, 54,  -8,   7, 4,  8.8, ⑨⑦, 5, 2, クｰルルｰシｰ,---,小林徹, 1.3, 34, -13, -22, 7, 34.5, ④④, 5,11,Ｄアランロド, 75,中井裕, 1.0, 72,  -1,* 16, 6, 12.9,⑨⑫⑪, 5, 9,Ｌスマｰトリバティｰ, 76,古川吉, 1.2, 79,  12,  -5,12,149.6, ⑩⑨
 6, 2,Ｄメイショウオトワカ, 56,武幸四, 0.8, 56, -12,*  9, 1,  3.1, ⑬⑫, 6, 6, シンゼンマオｰ,---,鮫島良, 1.6, 30, -13, -25, 5, 16.2, ⑤⑤, 6,10,Ｋティボリハｰモニｰ, 65,岩崎翼, 1.1, 67,   1,   9,10, 50.1,⑦⑦⑥, 6, 1,Ｉアルティシムス, 79,国分恭, 1.2, 77,  15, -10, 8, 38.1, ⑦④
 7,10,Ｋレｰヴイマｰジン, 47,上村洋, 1.0, 51,*  2,  -6, 6, 14.2, ①①, 7, 7, コウエイユニバｰス,---,幸英明, 1.8, 29, -10, -31, 4, 10.3, ③③, 7, 9,Ｅナムラアピア, 73,幸英明, 1.2, 65,*  8,  -6, 3,  6.6,①①①, 7,12,Ｂタニノエポレット, 88,松山弘, 1.4, 75,  10,  -5, 9, 44.2, ⑬⑬
 8, 4, ケイリンチャンプ,---,幸英明, 1.0, 50, -15,*  9,11, 50.3, ⑮⑮,,,,,,,,,,,,, 8, 2,Ｆシｰズガレット, 72,藤岡康, 1.3, 67,   0,  11, 8, 29.6,⑪⑩⑧, 8, 7,Ｇマイネジャンヌ, 80,和田竜, 1.4, 75,  14, -12, 5,  9.6, ④⑥
 9, 9,Ｌシゲルリョウケンザ, 45,川島信, 1.1, 50,  -3,  -3,14,165.4, ⑤⑤,,,,,,,,,,,,, 9,12,Ｊグインネヴィア, 66,川田将, 1.5, 64,   4,   0, 5, 11.8,②②②, 9, 2,Ｎマイネルガヴロシュ, 70,川須栄, 1.5, 75,  13, -11,11, 87.0, ⑪⑩
10, 7,Ｇニシオキボオト, 52,佐久間, 1.2, 48,  -9,   2,12, 69.3, ⑧⑨,,,,,,,,,,,,,10, 4,Ａセイラ, 83,花田大, 1.6, 65,   0,   8, 4, 10.1,⑧⑨⑨,10,11,Ｍブルｰスタｰキング, 75,菱田裕, 1.6, 75,  10,  -6,14,332.2, ⑫⑫
11,14,Ｉファスリエフパレス, 47,川須栄, 1.9, 43, -13,   0,13,117.3, ⑭⑭,,,,,,,,,,,,,11,13,Ｇシゲルリンゴ, 70,高倉稜, 2.6, 59,  -1,   3,11,156.2,⑬⑬⑩,11, 8,Ｊマイネルグｰト, 78,中井裕, 1.7, 72,  14, -17,10, 76.6, ⑤⑦
12,13,Ｏシゲルワシザ, 41,国分優, 2.0, 41, -12,  -2,16,196.0, ⑪⑪,,,,,,,,,,,,,12, 1,Ｍシゲルサクランボ, 63,小牧太, 3.6, 52,  -1,  -6,13,191.3,⑩⑪⑬,12,13,Ｆセイクリッドセブン, 81,川田将, 1.9, 71,  14, -20, 6, 23.7, ⑥⑧
13, 8,Ｈロングサリア, 51,松山弘, 2.1, 41, -17,   2, 8, 20.6, ⑯⑯,,,,,,,,,,,,,13, 6,Ｌトｰブプリンセス, 65,城戸義, 4.0, 47,   0, -14,12,166.0,③⑤⑫,13,14,Ｋブルｰデインヒル, 78,畑端省, 1.9, 71,  10, -11,13,277.6, ⑭⑭
14,15,Ｅシゲルタテザ, 54,松田大, 2.1, 39,  -7,  -8, 7, 15.6, ⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ａアドマイヤフライト, 89,小牧太, 2.0, 69,  14, -23, 1,  2.5, ⑧⑤
15,16,Ｆメイショウフウタ, 53,太宰啓, 2.4, 39,  -9,  -8, 5, 11.7, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 1,Ｎランドリｰマｰ, 42,大野拓, 2.4, 38, -13,  -4,15,182.6, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-5),,,,,,,,,,,
"単勝:450円 複勝:06=160円 05=190円 11=850円 枠連:1,360円",,,,,,,,,,,,単勝:160円 複勝:05=110円 04=170円 枠連:0円,,,,,,,,,,,,単勝:330円 複勝:03=140円 05=130円 08=270円 枠連:390円,,,,,,,,,,,,"単勝:390円 複勝:03=160円 04=590円 06=220円 枠連:3,620円",,,,,,,,,,,
"馬連:1,250円 ワイド:05-06=520円 06-11=2,070円 05-11=2,400円",,,,,,,,,,,,馬連:290円 ワイド:04-05=150円 03-05=180円 03-04=240円,,,,,,,,,,,,馬連:480円 ワイド:03-05=220円 03-08=850円 05-08=590円,,,,,,,,,,,,"馬連:3,750円 ワイド:03-04=1,210円 03-06=410円 04-06=2,230円",,,,,,,,,,,
"馬単:2,300円 3連複:11,890円 3連単:57,740円",,,,,,,,,,,,馬単:450円 3連複:350円 3連単:990円,,,,,,,,,,,,"馬単:1,000円 3連複:1,940円 3連単:7,310円",,,,,,,,,,,,"馬単:5,680円 3連複:7,070円 3連単:39,600円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■12R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,鶴橋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃトウケイウイン, 65,川島信,, 70,   1,* 10, 3, 14.3,⑨⑧④, 1,13,Ｋヤマニンシェリル, 57,武幸四,, 67,*  4,  -9, 6, 20.4, ②②, 1,10,Ｄスリｰロブロイ, 73,太宰啓,, 76,   9,*  5, 7, 31.7,⑩⑨⑩, 1,11,Ｃアンリヴィｰルド, 74,四位洋,, 74,  -1,* 12, 3,  5.9, ⑭⑭
 2, 9,Ａトゥヴァビエン, 70,高田潤, 0.2, 65,   0,   6, 2,  3.5,⑤④③, 2,18,Ｃアンシャックルド, 65,四位洋, 0.2, 65,   1,  -7, 2,  3.7, ⑧⑧, 2, 4,Ｉダブルイｰグル, 68,和田竜, 0.1, 74,* 10,   0, 4,  6.0,④⑥⑤, 2,14,Ｋタッチシタイ, 67,和田竜, 0.2, 74,   7,   2, 7, 16.6, ⑦⑤
 3, 2, ワｰスムｰン,---,中井裕, 0.5, 67,  -4,* 12,12,266.8,⑮⑮⑮, 3, 8,Ｄオルゲイユ, 64,菱田裕, 0.2, 67,   1,  -4, 3,  6.4, ⑦⑦, 3, 7,Ｂグラｰネ, 74,四位洋, 0.2, 71,* 10,  -4, 2,  3.9,①①①, 3,13,Ｄウエスタンムサシ, 73,高倉稜, 0.3, 72,   8,   1, 2,  4.6, ⑥④
 4, 8,Ｈナリタエックス, 59,藤田伸, 0.7, 64,*  1,   2, 5, 15.9,③③②, 4,16,Ｅポｰルシッタｰ, 62,藤岡康, 0.4, 65,  -4,*  1, 7, 22.0, ⑰⑯, 4, 3,Ｈグレｰトヴァリュｰ, 68,幸英明, 0.3, 74,   7,*  2,10,132.4,⑨⑩⑧, 4,16,Ｌヤマニンメンヒル, 67,熊沢重, 0.4, 73,   3,   5,11, 59.8, ⑫⑪
 5, 5,Ｇスピｰディシャｰプ, 60,幸英明, 1.0, 65,  -1,   7, 9, 49.1,⑭⑭⑬, 5, 3,Ａゴｰスルｰ, 70,藤田伸, 0.5, 64,  -1,  -6, 1,  2.7, ⑩⑪, 5, 6,Ｆディｰプウェｰブ, 70,川田将, 0.3, 73,* 10,  -3, 3,  4.9,⑥④⑥, 5,12,Ｅニザエモン, 73,中井裕, 0.4, 75,* 13,  -5, 9, 39.3, ②②
 6,16,Ｆゴｰソッキュｰ, 62,菱田裕, 1.0, 62,  -2,   3, 6, 22.1,⑬⑪⑧, 6, 5,Ｉエイシンラムダ, 58,高倉稜, 0.6, 63,  -3,* -3,15,134.1, ⑭⑮, 6, 5,Ｅベンジャミン, 72,池添謙, 0.4, 70,* 10,  -7, 6,  9.0,③②②, 6, 9,Ｎドリｰムボンバｰ, 66,国分恭, 0.6, 67,  -3,*  9,15,196.4, ⑮⑮
 7, 1,Ｄタイセイボルト, 63,松田大, 1.1, 59,  -2,   3, 7, 28.5,⑩⑩⑩, 7,12,Ｂルペｰルノエル, 65,松山弘, 0.6, 59,*  4, -20, 4,  8.3, ①①, 7,11,Ｃブレイズアトレイル, 73,藤岡康, 0.5, 68,* 10,  -7, 1,  3.6,⑧⑤③, 7, 1,Ａテイクファイア, 78,幸英明, 0.7, 71,* 12,  -6, 1,  2.9, ①①
 8, 6,Ｋメイショウムシャ, 54,太宰啓, 1.6, 58,*  1,  -8, 4, 15.2,①①①, 8, 6,Ｌロｰゼンガルテン, 56,川須栄, 0.8, 62,  -2,  -6,10, 47.0, ⑬⑭, 8, 8,Ｋビックケン, 60,国分優, 0.5, 70,* 10,  -6,11,150.0,②③④, 8, 3,Ｇキセキノハナ, 69,菱田裕, 0.7, 70,   6,  -1,10, 45.0, ⑤⑦
 9, 7,Ｂエルドリッジ, 68,和田竜, 1.6, 57,  -1,  -4, 1,  1.7,⑦⑤⑦, 9, 4,Ｆマツカゼグリｰン, 60,和田竜, 0.8, 59,  -1, -11, 9, 26.9, ⑨⑩, 9, 1,Ａクリビツテンギョ, 76,川須栄, 0.5, 70,   7,  -1, 5,  6.6,⑦⑦⑦, 9, 5,Ｊヤマニンアルシェ, 68,荻野琢, 0.7, 65,  -6,* 10,13,178.3, ⑯⑯
10,10,Ｍヴェラｰチェ, 46,熊沢重, 1.8, 59,  -1,  -6,16,406.4,⑥⑥⑥,10,14, テナンゴ,---,小牧太, 0.9, 60,  -5,* -4,13,104.4, ⑯⑰,10, 9,Ｇニジノハヤテ, 68,小坂忠, 1.2, 62,   7, -10, 8, 45.4,⑪⑪⑪,10, 4,Ｂロｰレルボルケｰノ, 75,岩崎翼, 0.8, 65,  -1,   4, 6, 11.5, ⑬⑬
11, 3,Ｅナムラタイショウ, 62,小牧太, 2.1, 53,   0,  -9,10, 75.6,②②⑤,11, 7,Ｊサンライズシルバｰ, 58,幸英明, 1.1, 58,  -1, -15, 5, 13.2, ⑪⑫,11, 2,Ｊサウンドバスタｰ, 62,松田大, 1.4, 60,   8, -16, 9, 52.3,⑤⑧⑨,11, 8,Ｍヴｰドゥｰフェスト, 67,藤岡康, 0.8, 66,   2,   1, 5,  9.1, ⑪⑩
12,15,Ｎカシノビッグベン, 40,岩崎翼, 2.1, 54,  -5,  -1,13,302.8,⑯⑯⑯,12, 1,Ｏマテリアライズ, 34,国分優, 1.2, 56,   0, -20,16,139.0, ⑥⑥,,,,,,,,,,,,,12, 2,Ｆコマノガレオス, 71,川田将, 1.0, 65,   4,  -2, 4,  6.9, ⑨⑧
13,11,Ｊシゲルウミヘビザ, 55,国分優, 2.3, 53,  -3,  -5,15,389.0,⑪⑫⑭,13, 2, オｰスミフェアリｰ,---,池添謙, 1.4, 53,*  3, -27, 8, 23.6, ③③,,,,,,,,,,,,,13,10,Ｉエクスプレミオン, 68,松田大, 1.2, 65,* 11, -10,14,187.9, ④③
14, 4,Ｌハｰフウェイ, 49,岡田祥, 2.4, 53,   0,  -9,14,329.8,④⑨⑨,14,10, コスモワンダｰ,---,中井裕, 2.1, 46,   0, -32,11, 62.9, ⑫⑨,,,,,,,,,,,,,14,15,Ｐメイショウホロベツ, 60,武幸四, 1.7, 63,   4,  -8,16,222.3, ⑩⑨
15,14,Ｉワイドバッカス, 57,古川吉, 2.6, 51,  -3,  -9,11,157.8,⑫⑬⑫,15,11,Ｇスリｰフェニックス, 60,熊沢重, 2.3, 44,  -5, -24,17,209.7, ⑱⑱,,,,,,,,,,,,,15, 7,Ｏメイショウオハツ, 61,古川吉, 1.8, 58,   2,  -7,12,150.9, ⑧⑫
16,12,Ｏウイニングスタｰ, 39,松山弘, 4.7, 37,  -1, -28, 8, 31.8,⑧⑦⑪,16, 9,Ｍバｰグペガサス, 43,松田大, 2.4, 43,  -3, -31,18,281.7, ⑮⑬,,,,,,,,,,,,,16, 6,Ｈラファダリ, 69,原田敬, 1.8, 59,  10, -15, 8, 29.8, ③⑥
,,,,,,,,,,,,17,17,Ｈダノンマイティ, 59,国分恭, 2.5, 41,   2, -42,12, 67.1, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,15,Ｎデイスピリッツ, 36,太宰啓, 2.5, 42,   1, -42,14,108.7, ④④,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,430円 複勝:13=500円 09=200円 02=9,290円 枠連:2,130円",,,,,,,,,,,,"単勝:2,040円 複勝:13=400円 18=190円 08=190円 枠連:1,780円",,,,,,,,,,,,"単勝:3,170円 複勝:10=690円 04=200円 07=170円 枠連:1,170円",,,,,,,,,,,,"単勝:590円 複勝:11=200円 14=370円 13=160円 枠連:1,030円",,,,,,,,,,,
