13年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,八坂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,370円 3連複:2,180円 3連単:7,520円",,,,,,,,,,,,"馬単:10,950円 3連複:22,670円 3連単:204,510円",,,,,,,,,,,,"馬単:3,230円 3連複:1,260円 3連単:9,960円",,,,,,,,,,,,"馬単:2,320円 3連複:6,870円 3連単:27,240円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 5R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,毎日放送賞ｽﾜﾝｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａグラナディラ, 60,幸英明,, 57,*  6,  -6, 1,  1.5, ③②, 1,10, モンドシャルナ,---,福永祐,, 70, -19,* 19, 1,  1.3,⑨⑧⑤, 1, 3,Ｋシルヴァｰグレイス, 71,秋山真,, 77,* -2,  15, 2,  4.8, ③④, 1,10,Ｍコパノリチャｰド, 70,浜中俊,, 91,* 17,  14, 8, 20.5, ①①
 2, 9,Ｄタガノエｰクラス, 52,浜中俊, 0.0, 58,*  6,  -6, 5, 12.0, ②①, 2,11, グロリアスカフェ,---,藤田伸, 0.1, 63,*-17,   9, 3, 11.1,①①①, 2, 5,Ｅテｰオｰレイチェル, 77,川田将, 0.0, 78,*  0,  14, 3,  5.9, ①①, 2, 9,Ｂダイワマッジョｰレ, 90,蛯名正, 0.3, 89,  13,  17, 4,  9.1, ⑥⑥
 3, 8,Ｊカネツスペシャル, 41,武幸四, 0.1, 56,  -1,* -1, 9,141.3, ⑧⑧, 3, 8, ミヤビジャスパｰ,---,池添謙, 0.4, 62, -18,  10, 6, 19.0,⑦⑥④, 3, 1,Ｄトップオブザヘヴン, 77,浜中俊, 0.3, 75,  -4,  15, 4,  6.2, ⑧⑦, 3, 7,Ｃサダムパテック, 88,和田竜, 0.3, 89,  11,* 19,10, 33.1, ⑨⑩
 4, 2,Ｅハピネスイズヒア, 51,武豊  , 0.3, 56,   5,  -8, 2,  7.1, ④⑤, 4, 2, ミヤジディｰノ,---,デムｰ, 1.0, 56, -22,   9, 5, 18.3,⑧⑩⑪, 4,10,Ｆセイラ, 77,藤田伸, 0.4, 75,  -5,* 16, 7, 16.5, ⑪⑩, 4, 1,Ｌレッドオｰヴァル, 74,デムｰ, 0.4, 88,  11,* 18, 5,  9.7, ⑦⑧
 5, 4,Ｆロングリバイバル, 51,北村友, 0.3, 53,   3,  -6, 3,  8.6, ⑥⑥, 5, 9, ウイントゥモロｰ,---,松山弘, 1.1, 51, -18,  -1,10, 65.1,④④③, 5, 4,Ｉガｰルズストｰリｰ, 73,酒井学, 0.6, 74,  -3,  12,15,126.5, ⑤⑤, 5,13,Ｅマジンプロスパｰ, 88,福永祐, 0.4, 87,* 16,  10, 1,  2.8, ②②
 6, 5,Ｈテイエムファラオ, 43,佐久間, 0.5, 50,  -3,  -2,10,221.1, ⑨⑨, 6, 6, ヨッテウタッテ,---,武豊  , 1.1, 50,*-17,  -4, 4, 17.6,③②②, 6, 6,Ｇタガノハピネス, 77,国分恭, 0.6, 73,  -9,* 19,11, 38.2, ⑮⑮, 6, 5,Ａラトルスネｰク, 92,メンデ, 0.5, 86,   8,* 19, 3,  5.9, ⑫⑫
