13年 8月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
14, 8,Ｍマイネルセレｰノ, 35,松岡正, 2.9, 32, -14, -13,10, 68.8, ⑮⑮,14, 7,Ｎウエスタンイｰグル, 38,山崎亮, 1.6, 40,  -4, -14,15,185.9,   ,14, 9,Ｋモアザンジョイ, 50,北村宏, 4.5, 32,   3, -44, 3,  5.6,⑪⑧⑧,,,,,,,,,,,,
15,12,Ｌウインブレット, 35,大野拓, 3.6, 27,  -6, -27,14,262.4, ⑫⑪,15,10,Ｇチョコレｰトリリｰ, 51,戸崎圭, 1.9, 32, -29,  -2,11, 39.1,   ,15,13,Ｈキｰプスマイリング, 52,宮崎北, 4.7, 31,   1, -43,10, 32.6,⑩⑪⑮,,,,,,,,,,,,
,,,,,,,,,,,,16,17,Ｆブラザｰウインド, 52,武士沢, 2.0, 32, -15, -13, 2,  4.2,   ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 5,Ｐメロｰアップル, 35,宮崎北, 2.2, 30, -12, -17,17,399.7,   ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,
単勝:180円 複勝:04=110円 06=240円 01=250円 枠連:540円,,,,,,,,,,,,"単勝:3,220円 複勝:06=760円 08=880円 16=260円 枠連:25,840円",,,,,,,,,,,,"単勝:1,840円 複勝:01=380円 04=210円 11=160円 枠連:5,750円",,,,,,,,,,,,"単勝:350円 複勝:01=200円 09=510円 04=370円 枠連:5,190円",,,,,,,,,,,
"馬連:840円 ワイド:04-06=310円 01-04=340円 01-06=1,560円",,,,,,,,,,,,"馬連:49,040円 ワイド:06-08=12,110円 06-16=2,290円 08-16=2,850円",,,,,,,,,,,,"馬連:5,490円 ワイド:01-04=1,260円 01-11=1,010円 04-11=510円",,,,,,,,,,,,"馬連:5,180円 ワイド:01-09=1,630円 01-04=1,100円 04-09=2,730円",,,,,,,,,,,
"馬単:1,210円 3連複:2,570円 3連単:8,210円",,,,,,,,,,,,"馬単:127,550円 3連複:115,860円 3連単:875,720円",,,,,,,,,,,,"馬単:13,330円 3連複:6,860円 3連単:72,020円",,,,,,,,,,,,"馬単:8,200円 3連複:15,410円 3連単:76,890円",,,,,,,,,,,
■ 2R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝3250m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,新潟ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,佐渡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃフィｰルフリｰリｰ, 61,大野拓,, 64,* -4,   1, 3,  5.7, ③②, 1, 5, スナｰクマスカラス,---,田辺裕,, 48,*-16,* -3, 2,  4.4, ②②, 1,11, アサティスボｰイ,,石神深,,,,, 3,  6.7,⑨④④, 1, 8,Ａアロマティコ, 90,福永祐,, 90,  10,* 18, 1,  1.5, ⑩⑩
 2, 2,Ｂレッドベルフィｰユ, 61,北村宏, 0.1, 65,  -5,   3, 1,  2.9, ⑥⑤, 2,13, プティットコピｰヌ,---,横山典, 0.6, 43, -22,* -2, 6, 16.3, ⑩⑪, 2, 4, ハｰドダダンダン,,森一馬,211.5,,,, 1,  3.0,③③③, 2, 4,Ｃマイネオｰチャｰド, 83,松岡正, 0.4, 85,  12,   8, 2,  5.7, ⑤⑤
 3,15,Ｋペッパｰベリｰ, 52,田辺裕, 0.2, 63,  -6,   1,13, 64.7, ⑤⑥, 3,11, ラヴクレｰジｰ,---,石橋脩, 0.6, 41, -19,  -7, 4, 11.4, ⑤⑤, 3,10, ボンジュｰルヒカリ,,五十嵐,211.9,,,,10, 53.6,①①①, 3, 3,Ｂアロマカフェ, 83,田中勝, 0.5, 83,* 13,   5, 8, 43.7, ②③
 4, 5,Ａワナビｰザベスト, 63,石橋脩, 0.2, 64,  -7,   2, 2,  4.0, ⑧⑧, 4, 6, クラウンイヴ,---,戸崎圭, 0.6, 40,*-16,  -9, 5, 16.0, ④③, 4, 5, コウユｰタイセイ,,平沢健,212.6,,,, 5,  8.1,④⑩⑫, 4, 9,Ｄマイネルメダリスト, 82,蛯名正, 0.7, 81,* 13,   0, 4, 10.8, ③②
 5,18,Ｌロジヒット, 52,田中勝, 0.3, 61,* -4,  -4, 7, 28.6, ④④, 5, 2, オｰマイレディ,---,北村宏, 0.8, 42, -25,* -1, 7, 28.2, ⑪⑩, 5, 1, スナｰクスペイン,,小坂忠,212.6,,,, 2,  3.6,②②②, 5,10,Ｇヒラボクビクトリｰ, 81,戸崎圭, 0.9, 78,  12,   0, 5, 14.8, ④④
 6,17,Ｇコスモケリア, 56,松岡正, 0.4, 62,  -7,   1,10, 45.2, ⑨⑨, 6, 9, ヤギリヒマワリ,---,宮崎北, 0.9, 39, -20,  -8,12, 77.5, ⑦⑦, 6, 9, ハッピｰティア,,鈴木慶,212.7,,,,14,193.5,⑫⑨⑦, 6, 5,Ｆダイワズｰム, 81,北村宏, 1.0, 78,  10,   3, 3,  7.6, ⑧⑧
 7, 6,Ｄシンセラメンテ, 59,福永祐, 0.4, 62,  -9,*  3, 5, 11.2, ⑪⑪, 7,10, エスティステラ,---,江田照, 1.0, 36, -17, -14,10, 40.2, ③④, 7, 6, ルｰルプロスパｰ,,白浜雄,212.9,,,, 4,  7.8,⑤⑥⑤, 7, 6,Ｅマｰブルデイビｰ, 81,田辺裕, 1.1, 77,   9,   4, 7, 42.0, ⑪⑪
 8,13,Ｆワサビ, 57,嶋田純, 0.6, 60, -11,*  5, 8, 29.3, ⑯⑭, 8, 1, アｰトプリズム,---,田中勝, 1.2, 33,*-14, -20, 8, 33.0, ①①, 8, 2, カシマシンセイ,,山本康,213.3,,,, 8, 29.1,⑩⑤⑥, 8, 1,Ｉメイショウドンタク, 73,石橋脩, 1.3, 76,  10,  -1,11,127.8, ⑦⑦
 9, 8,Ｏダイワモンド, 49,宮崎北, 0.8, 56,  -7,  -7,15,109.4, ⑦⑦, 9, 3, クラシックマｰク,---,吉田豊, 1.4, 32, -20, -16, 3,  8.8, ⑥⑥, 9, 8, シンワカントリｰ,,難波剛,213.3,,,, 9, 36.1,⑬⑦⑧, 9, 2,Ｈヴァｰゲンザイル, 80,吉田豊, 1.4, 76,   9,   0, 6, 23.0, ⑨⑨
10, 9,Ｉサルサビｰン, 54,江田照, 0.8, 59, -11,   2,12, 58.7, ⑭⑬,10, 7, キュリオスティｰ,---,福永祐, 1.6, 33, -27,  -7, 1,  1.8, ⑫⑫,10,14, ピカピカテッタ,,金子光,213.6,,,,11, 73.8,⑧⑫⑪,10,11,Ｊエｰブフウジン, 73,大野拓, 1.6, 72,  12,  -7, 9, 89.1, ⑥⑥
11,14,Ｈサクラメガフレア, 56,吉田豊, 1.0, 49,* -3, -19, 4,  7.8, ①①,11, 8, ヴィｰグジャンプ,---,松岡正, 1.8, 28, -21, -18,13,227.7, ⑨⑧,11, 3, フリｰダムシチｰ,,草野太,214.0,,,,12, 86.9,⑪⑪⑨,11, 7,Ｋポｰルアックス, 71,五十嵐, 1.6, 71,* 14, -15,10, 90.1, ①①
12, 7,Ｊフレッシュドｰル, 53,平野優, 1.0, 60, -14,*  6, 9, 29.6, ⑰⑰,12, 4, ドｰタン,---,木幡初, 3.1, 14, -33, -20, 9, 40.0, ⑬⑬,12,12, セイエイ,,高野和,214.7,,,, 7, 17.9,⑥⑬⑬,,,,,,,,,,,,
13,12,Ｐオランジュドｰル, 44,武士沢, 1.0, 61, -13,*  7,16,212.5, ⑱⑱,13,12, アポロセレｰノ,---,西村太, 3.4, 10, -20, -41,11, 42.0, ⑧⑨,13,13, ボストンプラチナ,,上野翔,214.9,,,,13,138.8,⑭⑭⑭,,,,,,,,,,,,
14,11,Ｎグッドフュｰチャｰ, 49,木幡初, 1.3, 51, -10,  -8,11, 53.2, ⑫⑫,,,,,,,,,,,,,14, 7, アサクサマリンバ,,浜野谷,215.8,,,, 6, 14.1,⑦⑧⑩,,,,,,,,,,,,
15,10,Ｅハｰツコンセンサス, 58,蛯名正, 1.4, 53, -12,  -4, 6, 16.1, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Ｍマインユアｰズ, 51,的場勇, 1.5, 44,* -4, -23,18,630.3, ②③,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17, 3,Ｑオｰレリｰ, 43,花田大, 1.7, 45,  -8, -15,17,468.8, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 4, アンキャニｰ,---,杉原誠, 4.8,  7, -14, -51,14, 92.9, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,
"単勝:570円 複勝:01=180円 02=140円 15=2,300円 枠連:730円",,,,,,,,,,,,"単勝:440円 複勝:05=180円 13=370円 11=300円 枠連:2,320円",,,,,,,,,,,,単勝:670円 複勝:11=230円 04=150円 10=990円 枠連:880円,,,,,,,,,,,,単勝:150円 複勝:08=110円 04=150円 03=550円 枠連:350円,,,,,,,,,,,
"馬連:670円 ワイド:01-02=300円 01-15=8,970円 02-15=5,130円",,,,,,,,,,,,"馬連:3,110円 ワイド:05-13=1,160円 05-11=690円 11-13=1,540円",,,,,,,,,,,,"馬連:1,030円 ワイド:04-11=420円 10-11=3,430円 04-10=2,170円",,,,,,,,,,,,"馬連:390円 ワイド:04-08=190円 03-08=810円 03-04=1,650円",,,,,,,,,,,
"馬単:1,580円 3連複:23,540円 3連単:114,940円",,,,,,,,,,,,"馬単:5,690円 3連複:7,440円 3連単:42,490円",,,,,,,,,,,,"馬単:2,360円 3連複:15,060円 3連単:76,350円",,,,,,,,,,,,"馬単:500円 3連複:3,130円 3連単:7,440円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 6R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,両津湾特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａキマモリ, 72,田辺裕,, 62,  -1,*  9, 1,  2.3,⑨④④, 1, 8, ネロ,---,戸崎圭,, 19,*-35, -15, 1,  1.4, ②②, 1, 8,Ｃミッキｰナチュラル, 79,横山典,, 75,   9,   6, 4,  7.6,③③③, 1, 2,Ｃフリスコベイ, 74,横山典,, 70,  -1,*  8, 2,  3.4, ⑤⑤
 2, 5,Ｄエタｰナルヒｰロｰ, 60,石橋脩, 0.6, 59,  -4,*  9, 4, 12.3,⑭⑩⑨, 2, 3, ラヴァｰサクラ,---,横山典, 0.2, 16,*-34, -19, 3,  6.4, ①①, 2, 1,Ｄドラゴンピｰス, 76,杉原誠, 0.0, 78,   7,* 10, 3,  5.3,⑧⑤⑤, 2, 4,Ｄアビリティラヴ, 68,福永祐, 0.2, 69,*  6,   0, 3,  6.9, ②②
 3, 7,Ｂマイネルオルカｰン, 65,蛯名正, 0.6, 59,  -3,*  6, 3,  3.8,④⑦⑦, 3,10, キョウワジュネス,---,福永祐, 0.4, 15, -38, -18, 4, 13.2, ④⑤, 3, 4,Ｂモルダバイト, 80,松岡正, 0.2, 74,* 11,   1, 1,  2.2,①①①, 3,13,Ｂカネトシミント, 77,蛯名正, 0.5, 67,   3,   0, 1,  2.3, ④④
 4,11,Ｃジオメトリｰ, 63,戸崎圭, 0.7, 57,* -1,   2, 2,  3.2,⑦③③, 4, 5, ヴァンデミエｰル,---,嘉藤貴, 0.5, 15, -39, -17, 5, 21.9, ⑥⑥, 4, 2,Ａインディｰグラブ, 81,田中勝, 0.9, 71,* 11,  -3, 2,  2.7,②②②, 4,11,Ｆナムラコンジョウ, 67,江田照, 0.6, 66,*  8,  -5, 4,  8.4, ①①
 5, 1,Ｊバレルウェｰブ, 47,大野拓, 1.3, 56,  -6,   5, 6, 35.3,⑮⑬⑩, 5, 7, メイソヴリン,---,松岡正, 0.6, 13,*-36, -21, 2,  6.2, ③④, 5, 3,Ｇルｰ, 66,戸崎圭, 1.1, 70,   7,   2, 7, 59.8,⑦⑥⑥, 5, 1,Ｅジョバイロ, 67,石橋脩, 0.6, 66,  -4,   7, 5, 10.5, ⑦⑦
 6, 3,Ｉレッドタイフｰン, 49,宮崎北, 1.5, 51,  -2,  -3,10, 72.6,③⑤⑤, 6,12, パンチショット,---,田辺裕, 0.8, 10, -38, -23, 6, 22.5, ⑤③, 6, 5,Ｆデュアルサクセス, 72,嶋田純, 1.1, 70,   8,   1, 6, 47.3,④④④, 6,10,Ｋジョブックガｰタｰ, 63,武士沢, 1.0, 63, -11,* 10, 7, 39.7, ⑫⑫
 7, 6,Ｈコスモデスタン, 51,松岡正, 1.5, 50,* -1,  -5, 5, 25.1,②②②, 7, 4, ビバサクラサクラ,---,小島太, 1.3,  2, -40, -26, 7, 68.0, ⑦⑦, 7, 6,Ｅコスモマイギフト, 73,大野拓, 2.8, 60,   5, -10, 5, 15.6,⑤⑦⑦, 7, 5,Ｉジャストフレンズ, 66,長岡禎, 1.4, 59,  -5,   1,11, 70.6, ⑧⑧
 8,14,Ｅアマカケル, 58,大庭和, 1.8, 48,* -1,  -8,13,193.1,①①①, 8, 1, フィアスゴッド,---,武士沢, 1.3,  6, -59,* -8,11,209.7, ⑩⑩, 8, 7,Ｈスプレッドイｰグル, 66,西田雄, 4.9, 48,   5, -27, 8,141.3,⑥⑧⑧, 8, 9,Ｌバルザック, 62,大野拓, 1.5, 59,  -1,  -4,13,148.1, ⑥⑥
 9,10,Ｇヒロスマイル, 54,伊藤工, 1.8, 50,  -4,  -1, 9, 67.7,⑪⑨⑧, 9,11, クリノパンテオン,---,杉原誠, 1.4,  4, -54, -15,12,329.7, ⑨⑨,,,,,,,,,,,,, 9,12,Ｎロジウエスト, 59,松岡正, 1.6, 55, -14,   7, 8, 58.5, ⑬⑬
10, 9,Ｎレディｰモモ, 43,長岡禎, 1.9, 48,  -3,  -6, 8, 63.6,⑤⑥⑥,10, 2, シグラップレディ,---,長岡禎, 1.4,  1, -44, -24, 8, 77.9, ⑧⑧,,,,,,,,,,,,,10,15,Ｈスノウプリンス, 66,花田大, 1.6, 56, -14,   7,14,209.4, ⑭⑭
11, 2,Ｆドラゴンナイト, 55,杉原誠, 2.0, 50,  -7,   2,11,104.6,⑬⑮⑭,11, 9, ハナマナ,---,伊藤工, 2.1, -3, -65,*-12,10, 96.4, ⑪⑪,,,,,,,,,,,,,11,14,Ｇセイントチャンス, 66,北村宏, 1.6, 57,  -6,   0, 6, 17.9, ⑨⑨
12,12,Ｍデュエリストシチｰ, 44,嶋田純, 2.2, 48,  -5,  -2,12,109.2,⑩⑫⑪,12, 6, カガグレイハｰト,---,北村宏, 2.2, -5, -64, -15, 9, 91.9, ⑫⑫,,,,,,,,,,,,,12, 6,Ｍアファｰブル, 59,吉田豊, 1.9, 54,*  6, -15,12, 94.9, ③③
13,13,Ｏマジックアイランド, 39,西田雄, 3.0, 44,  -4, -13, 7, 60.6,⑧⑧⑫,,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｏエスペラｰル, 46,田辺裕, 2.1, 52,  -8,  -3,10, 70.4, ⑪⑪
14, 4,Ｋイデアリスタ, 45,山崎亮, 3.9, 37,  -7, -13,15,267.7,⑥⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｊトｰホウジュリア, 65,山崎亮, 2.8, 46,  -8,  -9, 9, 58.7, ⑩⑩
15,15,Ｌハッピｰハレルヤ, 45,嘉藤貴, 4.0, 34,  -4, -20,14,263.7,⑫⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-25 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,
"単勝:230円 複勝:08=110円 05=220円 07=130円 枠連:1,080円",,,,,,,,,,,,単勝:140円 複勝:08=110円 03=160円 10=210円 枠連:450円,,,,,,,,,,,,単勝:760円 複勝:08=180円 01=150円 04=110円 枠連:0円,,,,,,,,,,,,"単勝:340円 複勝:02=130円 04=180円 13=110円 枠連:1,040円",,,,,,,,,,,
"馬連:1,130円 ワイド:05-08=390円 07-08=190円 05-07=450円",,,,,,,,,,,,馬連:540円 ワイド:03-08=250円 08-10=290円 03-10=570円,,,,,,,,,,,,"馬連:1,690円 ワイド:01-08=440円 04-08=290円 01-04=240円",,,,,,,,,,,,"馬連:1,430円 ワイド:02-04=440円 02-13=180円 04-13=310円",,,,,,,,,,,
