13年 6月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,, 9, 5, アイファｰアクセス,,田村太,217.0,,,,11,200.2,⑨⑨⑨, 9, 8,Ｎデンコウスカイ, 60,北村友, 0.4, 67,  -1,   4, 9, 25.7, ⑨⑨, 9, 1,Ｄアグネスウイッシュ, 77,池添謙, 0.8, 62,  -9,  -3, 4,  7.5, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,10, 7,Ｃヒｰラ, 71,浜中俊, 0.6, 64,  -2,   3, 6, 12.4, ⑪⑪,10,12,Ｅオｰシャンカレント, 77,岩田康, 0.8, 61,  -5,  -7, 6,  8.8, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,11, 6,Ｆメイショウジェｰン, 69,武豊  , 0.6, 65,*  5,  -5, 4,  7.5, ③③,11,11,Ｋオｰルブランニュｰ, 72,小牧太, 0.9, 63, -17,*  4, 9, 47.2, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,12, 9,Ｋクレムリンシチｰ, 64,岡田祥, 0.7, 62,  -9,   7,15,163.3, ⑭⑮,12, 9,Ｈエトピリカ, 75,熊沢重, 1.1, 57,  -7,  -9,10, 89.0, ⑩⑨
,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｏウインドグラス, 58,小坂忠, 0.9, 60,   0,  -4,14,143.7, ⑦⑦,13,13,Ｍロｰドバロック, 67,中井裕, 1.4, 54,  -3, -15,11,137.3, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｍエｰティｰガンダム, 61,幸英明, 0.9, 61,  -1,  -3,12,101.7, ⑩⑩,14, 6,Ｎトロワプレジｰル, 53,藤岡康, 3.0, 32, -13, -28,13,172.9, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｊビップセレブアイ, 65,高倉稜, 1.2, 57, -12,   4,10, 29.8, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｉエｰティｰランボｰ, 65,熊沢重, 1.3, 55,  -1,  -8,16,182.9, ⑧⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:2),,,,,,,,,,,
単勝:150円 複勝:02=110円 03=130円 枠連:0円,,,,,,,,,,,,単勝:300円 複勝:04=130円 01=140円 11=160円 枠連:470円,,,,,,,,,,,,"単勝:630円 複勝:13=220円 15=540円 01=170円 枠連:2,810円",,,,,,,,,,,,単勝:270円 複勝:07=160円 04=450円 08=240円 枠連:550円,,,,,,,,,,,
馬連:150円 ワイド:02-03=110円 02-05=380円 03-05=450円,,,,,,,,,,,,馬連:460円 ワイド:01-04=200円 04-11=280円 01-11=420円,,,,,,,,,,,,"馬連:6,710円 ワイド:13-15=1,740円 01-13=590円 01-15=1,370円",,,,,,,,,,,,"馬連:3,810円 ワイド:04-07=1,330円 07-08=550円 04-08=1,760円",,,,,,,,,,,
"馬単:230円 3連複:900円 3連単:1,980円",,,,,,,,,,,,"馬単:850円 3連複:740円 3連単:2,360円",,,,,,,,,,,,"馬単:11,170円 3連複:8,940円 3連単:65,900円",,,,,,,,,,,,"馬単:5,340円 3連複:7,700円 3連単:39,600円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,天保山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａタｰフジェニック, 68,幸英明,, 58,   0,* -9, 1,  2.0,⑧⑩⑧, 1, 4, グランシェリｰ,---,浜中俊,, 44, -19,* -2, 1,  1.9, ④③, 1,13,Ｂジャイアントリｰプ, 77,福永祐,, 78,   4,*  8, 2,  3.2,⑦⑦⑦, 1,10,Ｃスリｰボストン, 90,北村友,, 88,* 12,  15, 5, 11.4, ①①
 2, 7,Ｂラカ, 64,岩田康, 0.3, 57,  -2,* -6, 2,  3.6,⑭⑬⑫, 2,10, グレイトハスラｰ,---,高倉稜, 0.1, 43, -19,* -2, 7, 38.9, ⑤④, 2, 2,Ａロｰドハリケｰン, 77,浜中俊, 0.1, 75,   4,   4, 1,  2.4,④④③, 2, 6,Ａマルカフリｰト, 93,福永祐, 0.2, 88,   9,* 19, 1,  1.8, ⑥⑤
 3, 5,Ｇサフランパｰトナｰ, 55,藤岡康, 0.6, 52,*  3, -19, 7, 35.8,④⑤①, 3, 9, エイシンソルティｰ,---,福永祐, 0.2, 42,*-16,  -6, 2,  3.0, ①①, 3, 6,Ｃスペキュレイタｰ, 73,幸英明, 0.1, 78,   2,*  8, 4, 10.4,⑩⑧⑧, 3,16,Ｇシセイオウジ, 87,川田将, 0.6, 85,   5,* 20, 3,  7.6, ⑬⑫
 4,10,Ｅカシノソラｰレ, 57,中井裕, 0.6, 53,*  4, -21,11,184.2,②②②, 4, 5, ドリｰムカイザｰ,---,幸英明, 0.6, 39, -23,  -3, 4,  9.2, ⑦⑥, 4, 8,Ｇハギノウィッシュ, 71,武豊  , 0.2, 75,*  6,  -3, 3,  8.3,②②①, 4, 7,Ｄファリダット, 88,武豊  , 0.7, 85,   6,* 18, 2,  7.6, ⑫⑪
 5, 1,Ｆアモｰルミｰオ, 55,浜中俊, 0.8, 50,   2, -20, 5, 15.2,⑤③④, 5, 6, アスタｰクレバｰ,---,国分恭, 1.6, 30, -31,  -4, 5, 18.4, ⑩⑩, 5,10,Ｆマイネアルナイル, 72,中井裕, 0.3, 75,   4,   4, 5, 10.7,⑥⑤⑥, 5, 4,Ｅフィｰルドシャイン, 88,高倉稜, 0.7, 83,   8,  14,10, 87.6, ⑤⑥
 6,14,Ｌエスジｰブンブン, 41,国分恭, 1.2, 48,  -2, -15,12,262.8,⑬⑫⑨, 6, 7, ウイットウ,---,佐久間, 2.2, 26,*-17, -22, 8, 68.3, ②②, 6, 4,Ｊミッキｰサクセス, 66,北村友, 0.7, 70,   4,  -3, 6, 13.2,⑤⑥④, 6,11,Ｉオリオンザポラリス, 83,国分優, 0.9, 83,   8,  14,14,145.6, ⑨⑦
 7, 9,Ｋヤマトツバキ, 44,鮫島良, 1.2, 50,  -3, -13,14,453.5,⑫⑭⑭, 7, 8, クリノホテイソン,---,北村友, 2.3, 23, -26, -16, 9, 76.8, ⑨⑧, 7, 7,Ｅメイショウタマカゼ, 72,小牧太, 0.8, 72,   2,   3, 7, 15.7,⑫⑪⑨, 7,15,Ｐヘニｰハウンド, 72,小牧太, 0.9, 82,   5,  15, 4,  9.3, ⑩⑩
 8, 8,Ｃビックセイラｰ, 64,川田将, 1.4, 47,   0, -22, 3,  6.3,⑩⑥⑦, 8, 3, タガノロマリア,---,鮫島良, 2.3, 24, -26, -15, 6, 29.8, ⑧⑨, 8, 5,Ｋスプリングシャトル, 64,太宰啓, 0.9, 69,   0,   4,12,159.5,⑪⑫⑪, 8, 8,Ｋトシギャングスタｰ, 80,熊沢重, 1.1, 83,   3,  17,11,102.5, ⑭⑮
 9, 3,Ｈピアグラス, 52,池添謙, 2.1, 43,*  3, -32, 6, 28.2,③④③, 9, 1, カツザクラ,---,岩田康, 3.0, 18, -19, -28, 3,  7.4, ③⑤, 9, 9,Ｉビックケン, 69,国分優, 1.2, 66,*  5, -16,10,110.3,③③②, 9, 5,Ｊアｰリｰデイズ, 82,鮫島良, 1.2, 81,   2,* 18,13,133.0, ⑯⑯
10,13,Ｄサンマルジュエリｰ, 63,小牧太, 2.3, 41,   1, -30, 4,  7.6,⑦⑦⑥,10, 2, シゲルコウズケ,---,中井裕, 3.4, 16, -21, -29,10,166.6, ⑥⑦,10,11,Ｍタニノマンボ, 52,藤岡康, 2.1, 59,  -3,  -3,11,133.7,⑬⑬⑬,10, 2,Ｂグリッタｰウイング, 91,岩田康, 1.3, 79,   4,  14, 8, 23.9, ⑪⑭
11,12,Ｉメイショウユウスゲ, 47,熊沢重, 2.9, 43,  -1, -32,10,110.2,⑥⑨⑩,,,,,,,,,,,,,11,12,Ｈクレバｰペガサス, 71,鮫島良, 2.6, 53,   1, -23,13,323.6,⑧⑨⑩,11, 9,Ｆセイカプリコｰン, 87,国分恭, 1.5, 77,   4,  13, 6, 13.5, ⑮⑬
12, 2,Ｊアエテウレシイ, 45,太宰啓, 2.9, 41,  -2, -29, 8, 53.6,⑪⑪⑬,,,,,,,,,,,,,12, 1,Ｄタイソンバロｰズ, 72,岩田康, 4.3, 44,   0, -43, 9, 78.3,⑨⑩⑫,12,14,Ｈサダムグランジュテ, 84,幸英明, 1.6, 77,   8,   6, 7, 19.2, ⑦⑧
13, 4, テイエムオデッセイ,---,国分優, 4.7, 30,  -1, -48, 9, 63.5,⑨⑧⑪,,,,,,,,,,,,,13, 3,Ｌブライティアトップ, 55,高倉稜, 6.1, 11,*  5, -84, 8, 25.3,①①⑤,13, 1,Ｌエスケｰプマジック, 75,小坂忠, 2.0, 76,   6,   6,16,177.6, ⑧⑨
14, 6,Ｍスマｰトピアス, 36,武幸四, 7.5,  8,*  4, -80,13,296.1,①①⑤,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｏエｰシンヒットマン, 73,藤岡康, 2.0, 73,* 10,   0,12,105.4, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｎエｰシンダックマン, 74,太宰啓, 2.4, 71,* 11,  -5, 9, 50.4, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｍドスライス, 75,浜中俊, 5.1, 47,   9, -26,15,159.3, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-18 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-6),,,,,,,,,,,
単勝:200円 複勝:11=110円 07=150円 05=530円 枠連:230円,,,,,,,,,,,,単勝:190円 複勝:04=110円 10=360円 09=120円 枠連:240円,,,,,,,,,,,,単勝:320円 複勝:13=130円 02=120円 06=180円 枠連:320円,,,,,,,,,,,,"単勝:1,140円 複勝:10=250円 06=110円 16=170円 枠連:500円",,,,,,,,,,,
"馬連:440円 ワイド:07-11=270円 05-11=970円 05-07=1,600円",,,,,,,,,,,,"馬連:3,480円 ワイド:04-10=850円 04-09=140円 09-10=660円",,,,,,,,,,,,馬連:330円 ワイド:02-13=180円 06-13=400円 02-06=370円,,,,,,,,,,,,馬連:950円 ワイド:06-10=420円 10-16=980円 06-16=290円,,,,,,,,,,,
"馬単:740円 3連複:3,190円 3連単:8,280円",,,,,,,,,,,,"馬単:5,070円 3連複:1,570円 3連単:13,620円",,,,,,,,,,,,"馬単:680円 3連複:850円 3連単:3,040円",,,,,,,,,,,,"馬単:3,380円 3連複:1,800円 3連単:14,650円",,,,,,,,,,,
■ 3R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 6R  ダ2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,鷹取特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂシゲルヘビザ, 62,北村友,, 57,*  7,   1, 2,  3.8, ①①, 1, 5,Ｂメイショウジロキチ, 67,浜中俊,, 60,* -2,   0, 3,  4.5,④③③, 1, 2,Ａエｰシンゴｰルド, 89,川田将,, 81,   4,* 22, 1,  1.5,④⑤⑤, 1,15,Ｌミッキｰマｰチ, 67,小牧太,, 77,* 11,  10, 6, 28.3,②②②
 2, 8,Ｃコスモサリｰ, 61,中井裕, 0.1, 57,*  7,   1, 7, 16.3, ③②, 2, 8,Ｃライドンシャフト, 66,川田将, 0.0, 62,  -4,*  4, 2,  3.1,⑥⑦⑥, 2,13,Ｈアドマイヤケルソ, 77,小牧太, 0.2, 81,   3,* 24, 9, 92.3,⑪⑧⑨, 2,16,Ｈマヤノオントロジｰ, 73,北村友, 0.0, 80,   5,* 22,11,124.3,⑯⑯⑭
 3,17,Ｈダイヤモンドベリｰ, 45,岩田康, 0.1, 57,*  4,   3, 9, 44.2, ②④, 3, 2,Ａショウナンカムリキ, 67,福永祐, 0.1, 60,  -3,*  2, 1,  2.9,⑤⑤④, 3,11,Ｉマイネルハルカゼ, 77,幸英明, 0.4, 79,*  5,  17, 5, 15.5,③③②, 3,14,Ｃアｰサｰバロｰズ, 80,浜中俊, 0.2, 76,* 12,   6, 2,  4.5,①①①
 4,18, ロッカデバルディ,---,浜中俊, 0.1, 56,  -1,* 11, 3,  5.4, ⑧⑦, 4,11,Ｊムテキザセカンド, 45,中井裕, 0.2, 60,* -1,  -4, 7, 20.2,①①①, 4,12,Ｂキングブレイク, 86,福永祐, 0.4, 77,*  5,  17, 2,  5.7,⑤④③, 4, 1,Ｄスズカルパン, 75,福永祐, 0.3, 78,   6,* 17, 4,  9.6,⑫⑫⑧
 5, 9,Ａピエナインパクト, 64,武豊  , 0.1, 61,  -2,* 17, 1,  2.7, ⑪⑩, 5,10,Ｄスピｰディシャｰプ, 62,幸英明, 0.8, 61,  -3,   2, 5, 12.1,⑪⑪⑧, 5, 4,Ｃグッドマイスタｰ, 83,岩田康, 0.5, 79,   3,  20, 3,  8.9,⑦⑩⑧, 5, 5,Ａスマｰトラファエル, 84,岩田康, 0.4, 79,   5,* 20, 1,  2.0,⑮⑮⑬
 6,11,Ｉベストドロップ, 43,国分恭, 0.7, 49,   3,  -2,12,108.6, ④⑤, 6, 4,Ｈハナズハント, 55,小牧太, 1.0, 56,  -5,  -1, 6, 15.5,⑩⑩⑪, 6, 7,Ｅキャッツインブｰツ, 81,国分恭, 0.9, 76,   0,* 23, 8, 60.2,⑭⑭⑬, 6,11,Ｂスリｰタイタン, 81,川田将, 0.4, 76,   9,  11, 3,  4.6,⑦⑥④
 7, 3,Ｄノイ, 54,武幸四, 0.8, 52,  -9,* 15, 4, 10.0, ⑮⑮, 7, 9,Ｇスリｰマｰゴｰン, 55,国分恭, 1.2, 54,  -4,  -3,10,163.8,⑨⑨⑩, 7, 5,Ｌミッキｰオｰラ, 75,武豊  , 1.0, 74,   4,  14, 6, 16.1,⑥⑥⑥, 7, 2,Ｆミッキｰクリスエス, 75,国分恭, 0.4, 76,   6,  16, 8, 34.6,⑩⑪⑪
 8, 4,Ｆシｰプシャンクス, 48,藤岡康, 0.9, 49,  -2,   2, 5, 12.1, ⑨⑨, 8, 7,Ｅツｰエムスイフト, 60,水口優, 1.5, 52,  -4,  -8,11,297.0,⑧⑧⑨, 8, 3,Ｐマイネルクロｰバｰ, 54,藤岡康, 1.4, 71,   2,  14,14,469.7,⑩⑪⑩, 8, 8,Ｋヒロノエンペラｰ, 68,藤岡康, 0.6, 74,* 10,   7,12,128.3,③③③
 9,13, エキサイトゲｰム,---,福永祐, 0.9, 49,  -1,   2, 6, 15.6, ⑦⑧, 9, 1,Ｋオｰプンディｰル, 44,岩田康, 2.8, 43,* -2, -23, 8, 32.2,③④⑤, 9,15,Ｄマｰチャンテイマｰ, 83,北村友, 1.5, 70,   4,  11, 4, 10.3,⑧⑦⑦, 9, 4,Ｊベストリガｰズ, 70,岡田祥, 0.8, 73,   8,   8, 7, 32.3,⑥⑦⑤
10,14,Ｇジョロキアキャット, 48,水口優, 1.0, 51,  -6,* 12,18,407.2, ⑭⑭,10, 6,Ｆオｰスミアイビス, 56,熊沢重, 2.8, 47,  -4, -21, 9, 37.8,⑦⑥⑦,10,16,Ｋフォルクスオｰパｰ, 75,熊沢重, 1.6, 75,   1,  14,16,653.7,⑫⑫⑫,10, 6,Ｉボストンリョウマ, 72,中井裕, 1.1, 73,   6,   9,15,235.7,⑪⑩⑫
11,15,Ｅダノングラッド, 48,小牧太, 1.1, 46,*  7, -13, 8, 19.3, ⑤③,11, 3,Ｉバトルゾロ, 48,太宰啓, 3.7, 40,* -2, -32, 4,  9.9,②②②,11, 8,Ｊセトノハリケｰン, 77,池添謙, 1.8, 71,  -2,  17,10,232.2,⑮⑮⑮,11,10,Ｇデンコウアクティブ, 75,太宰啓, 1.7, 71,   4,   7, 5, 24.1,⑭⑭⑯
12,10, リリｰトゥモロｰ,---,小坂忠, 1.2, 46,  -6,   5,17,383.0, ⑩⑫,,,,,,,,,,,,,12, 6,Ｇボｰカリスト, 78,国分優, 1.9, 70,   0,  14,12,430.9,⑬⑬⑭,12, 7,Ｍイｰグル, 67,鮫島良, 2.0, 66,   7,   0,13,182.3,⑧⑨⑦
13, 5,Ｌメイショウキズナ,  5,池添謙, 1.4, 45,  -6,   4,14,230.2, ⑬⑪,,,,,,,,,,,,,13, 1,Ｆエクセルフラッグ, 79,高倉稜, 2.1, 70,  -4,  20,13,457.1,⑯⑯⑯,13, 9,Ｅケイワイツヨシ, 75,池添謙, 2.6, 61,   7,  -5, 9, 34.8,⑨⑧⑨
14, 2,Ｋゼンノアロウ, 12,熊沢重, 1.6, 39,   0, -11,10, 90.6, ⑥⑥,,,,,,,,,,,,,14,10,Ｎコスモコルデス, 70,中井裕, 2.4, 65,*  5,  -1, 7, 25.4,②②④,14, 3,Ｐシゲルジョウム, 58,幸英明, 3.0, 60,   5,  -4,16,339.9,⑬⑬⑮
15,16, ドリｰムルｰツ,---,岡田祥, 2.1, 37, -10,   1,15,281.8, ⑯⑰,,,,,,,,,,,,,15,14,Ｏピンクデｰジｰ, 70,太宰啓, 2.6, 65,   3,   3,15,611.7,⑨⑨⑪,15,13,Ｎバンブｰデルピエロ, 64,高倉稜, 4.1, 50,   8, -20,14,211.7,⑤⑤⑩
16, 7, ウィズインダｰク,---,鮫島良, 2.1, 35, -10,  -1,16,328.7, ⑰⑯,,,,,,,,,,,,,16, 9,Ｍオｰスミマリオン, 73,高田潤, 2.7, 60,*  7,  -7,11,423.0,①①①,16,12,Ｏサンライズトｰク, 59,武幸四, 5.3, 49,   9, -33,10,104.3,④④⑥
17, 1, リリアｰナ,---,高倉稜, 2.7, 31, -13,  -4,13,176.1, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,Ｊコウエイチャレンジ, 37,幸英明, 3.7, 18,  -6, -31,10, 90.6, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:不良(指数:-6),,,,,,,,,,,
"単勝:380円 複勝:06=160円 08=370円 17=1,090円 枠連:3,140円",,,,,,,,,,,,単勝:450円 複勝:05=140円 08=120円 02=120円 枠連:790円,,,,,,,,,,,,"単勝:150円 複勝:02=110円 13=1,240円 11=300円 枠連:3,890円",,,,,,,,,,,,"単勝:2,830円 複勝:15=720円 16=2,010円 14=190円 枠連:47,250円",,,,,,,,,,,
"馬連:3,020円 ワイド:06-08=820円 06-17=2,820円 08-17=8,520円",,,,,,,,,,,,馬連:810円 ワイド:05-08=310円 02-05=270円 02-08=180円,,,,,,,,,,,,"馬連:4,710円 ワイド:02-13=1,610円 02-11=350円 11-13=5,810円",,,,,,,,,,,,"馬連:82,190円 ワイド:15-16=15,070円 14-15=1,720円 14-16=4,370円",,,,,,,,,,,
"馬単:5,360円 3連複:40,030円 3連単:133,510円",,,,,,,,,,,,"馬単:1,820円 3連複:460円 3連単:4,130円",,,,,,,,,,,,"馬単:6,260円 3連複:12,170円 3連単:49,280円",,,,,,,,,,,,"馬単:164,950円 3連複:106,700円 3連単:1,292,470円",,,,,,,,,,,
