13年 8月 3日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月 3日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
13, 4,Ｇコスモビジョン, 39,大野拓, 1.9, 20, -16, -30,14,183.5,   ,,,,,,,,,,,,,13,10,Ｈシングンジャガｰ, 58,江田照, 1.2, 54,   1, -19, 4,  9.3,⑬⑩⑨,13, 4,Ｌタマモグランプリ, 74,石橋脩, 1.3, 73,   1,  16,15,322.1, ⑮⑮
14, 3,Ｌパンテラネグラ, 30,西田雄, 2.0, 23,* -4, -40,12,114.3,   ,,,,,,,,,,,,,14, 2, セレステ,---,平野優, 1.3, 55,  -3,  -8,18,456.5,⑭⑯⑯,14,11,Ｐアドバンスヘイロｰ, 71,大庭和, 1.4, 67,*  7,  -2,16,491.1, ③③
15, 6,Ｋリネンフクウン, 31,武士沢, 3.6,-47, -76, -14,11, 73.8,   ,,,,,,,,,,,,,15,13,Ｄエルカスティｰヨ, 61,田辺裕, 1.9, 48,   2, -31, 6, 10.2,④⑦⑦,15, 9,Ｏマコトブリジャｰル, 71,吉田豊, 1.5, 65,*  9,  -9,11, 44.8, ①①
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｏオオムラサキ, 42,山崎亮, 1.9, 50,  -6, -11,16,257.8,⑰⑱⑱,16, 5,Ｑラシｰマ, 69,江田照, 1.5, 69,  -1,  14,14,170.4, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｐリュクスボヌｰル, 41,高倉稜, 3.1, 40,  -1, -39,17,429.4,⑫⑮⑮,17,16,Ｍシンボリロｰレンス, 73,伊藤工, 1.6, 67,   3,   5,17,514.0, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,18, 9, ビュｰティワンダｰ,---,宮崎北, 3.9, 34,  -3, -46,15,148.0,⑯⑰⑰,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,
単勝:220円 複勝:15=120円 10=160円 05=350円 枠連:330円,,,,,,,,,,,,"単勝:680円 複勝:01=240円 11=150円 05=1,600円 枠連:470円",,,,,,,,,,,,"単勝:2,160円 複勝:01=520円 07=180円 14=660円 枠連:3,160円",,,,,,,,,,,,単勝:460円 複勝:13=170円 15=140円 01=590円 枠連:430円,,,,,,,,,,,
"馬連:670円 ワイド:10-15=370円 05-15=820円 05-10=1,270円",,,,,,,,,,,,"馬連:780円 ワイド:01-11=370円 01-05=5,380円 05-11=3,160円",,,,,,,,,,,,"馬連:3,220円 ワイド:01-07=1,190円 01-14=6,120円 07-14=1,500円",,,,,,,,,,,,"馬連:620円 ワイド:13-15=300円 01-13=1,900円 01-15=1,350円",,,,,,,,,,,
"馬単:1,190円 3連複:3,260円 3連単:11,070円",,,,,,,,,,,,"馬単:1,800円 3連複:16,760円 3連単:66,360円",,,,,,,,,,,,"馬単:10,100円 3連複:24,510円 3連単:170,500円",,,,,,,,,,,,"馬単:1,790円 3連複:5,560円 3連単:28,500円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,越後ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｆハルズハッピｰ, 57,石橋脩,, 61,  -3,*  2, 7, 17.1, ⑥④, 1,12, クラリティシチｰ,---,田中勝,, 69, -18,* 18, 3,  7.3, ⑧⑦, 1,15,Ａムｰドティアラ, 74,内田博,, 75,*  3,* 13, 1,  1.6,⑨⑤③, 1, 4,Ｂウインラｰニッド, 83,福永祐,, 79,   8,  13, 2,  5.7, ④⑤
 2,14,Ａナムライッポン, 65,武士沢, 0.0, 62,  -3,*  3, 1,  3.0, ⑦⑦, 2,15, ガリバルディ,---,福永祐, 0.2, 64, -17,* 12, 1,  1.9, ⑥⑥, 2,13,Ｉアルティメイトラブ, 67,宮崎北, 0.2, 73,*  5,   8, 9, 43.1,①①①, 2,14,Ｉルミナスウイング, 81,横山典, 0.0, 78,   9,  12, 1,  3.6, ⑤③
 3, 8,Ｂオｰペドアンジョ, 65,戸崎圭, 0.1, 62,  -5,*  5, 2,  3.6, ⑧⑧, 3,13, ハピネスダンサｰ,---,池添謙, 0.3, 66, -18,* 15, 7, 35.0, ⑩⑪, 3,10,Ｂサマｰティアラ, 74,西村太, 0.3, 76,   1,* 16, 2,  7.7,⑫⑩⑨, 3,12,Ｈヤマノサファイア, 81,高倉稜, 0.2, 78,  -5,* 25, 5,  8.4, ⑬⑬
 4, 6,Ｃシャツカストライン, 63,内田博, 0.3, 59,*  1,  -4, 3,  4.4, ②②, 4, 5, オリハルコン,---,岩田康, 0.5, 60,*-16,   6, 2,  3.1, ④④, 4, 9,Ｇデルマハンニャ, 70,石神深, 0.6, 72,   1,  10, 3, 10.2,⑤⑧⑥, 4, 3,Ｍロｰブドヴルｰル, 78,田辺裕, 0.2, 77,   7,  12,12, 65.8, ⑥⑦
 5, 2,Ｈビックファントム, 54,北村宏, 0.6, 56,*  2,  -8, 5, 11.9, ①①, 5,16, アブソリュカフェ,---,松岡正, 0.7, 55,*-14,  -1, 4, 24.3, ①①, 5, 2,Ｋアンジェラスベル, 65,木幡初, 1.0, 68,*  4,   3, 7, 23.1,②②②, 5,15,Ｋカレンジェニオ, 80,大野拓, 0.4, 76,   7,  11,13, 75.1, ⑦⑥
 6,12,Ｅトウショウブロンコ, 60,柴田大, 1.1, 51,  -7,  -3, 6, 15.0, ⑩⑨, 6,10, マｰシャルシップ,---,内田博, 1.4, 51, -20,   0, 5, 30.7, ⑦⑧, 6, 8,Ｆラブミｰニキｰタ, 70,吉田豊, 1.0, 70,  -1,* 11, 4, 10.4,⑭⑫⑫, 6, 6,Ａカネトシイナｰシャ, 84,柴田善, 0.4, 75,  -8,* 25, 8, 16.0, ⑭⑭
 7, 4,Ｋアシガル, 48,杉原誠, 1.2, 51, -14,*  2,15,340.2, ⑬⑫, 7,18, アンジュデュバン,---,北村宏, 1.5, 48, -18,  -3,11, 60.7, ⑪⑨, 7, 1,Ｄヤマニンミミック, 72,北村宏, 1.1, 67,   1,   6, 8, 35.8,⑥⑥⑦, 7, 1,Ｄコウエイフラッシュ, 83,松岡正, 0.5, 75,* 13,   4,10, 22.2, ①①
 8,10,Ｊニイタカヤマ, 49,西村太, 1.3, 51,  -2,  -9,11, 97.2, ⑤⑥, 8, 6, ウインミラグロス,---,伊藤工, 1.7, 51, -24,   6,13,113.9, ⑮⑮, 8, 7,Ｅニシノキュアノス, 72,蛯名正, 1.4, 66,   1,   3, 6, 15.0,③⑦⑧, 8, 9,Ｇキモンレッド, 82,蛯名正, 0.6, 74,   4,  12, 7, 15.4, ⑧⑧
 9, 5, ジュンザスカイ,---,原田和, 1.4, 49,  -8,  -5,13,210.5, ⑨⑩, 9,14, アオチャン,---,江田照, 1.8, 45, -19,  -5,12,111.5, ⑭⑫, 9, 3,Ｃスカルラット, 73,嘉藤貴, 1.8, 62,  -1,   3, 5, 13.8,⑧⑨⑩, 9,10,Ｅチャンピオンラブ, 83,田中勝, 0.6, 73,   3,  13,14, 79.8, ⑨⑨
10,15,Ｄストップザジョｰク, 63,田中勝, 1.4, 49,   0, -11, 4,  9.8, ④③,10, 2, ファイントライ,---,的場勇, 2.2, 42, -23,  -4,14,129.2, ⑫⑭,10, 4,Ｌアンコｰルピｰス, 62,池添謙, 1.8, 66,  -2,   7,11,103.4,⑬⑮⑭,10,13,Ｆコウセイコタロウ, 82,柴田大, 0.6, 74,  -3,  18, 6, 13.1, ⑫⑫
11, 1,Ｌカシノマインド, 45,二本柳, 1.4, 49,  -9,  -4,10, 95.6, ⑪⑪,11, 4, ダｰクインテジャｰ,---,横山典, 2.2, 36, -17, -16, 9, 48.2, ⑤⑤,11,14,Ｎアディシオン, 59,大野拓, 1.9, 65,  -2,   7,12,129.4,⑮⑭⑮,11,11,Ｊリックムファサ, 81,戸崎圭, 0.7, 73,  -1,  15, 3,  5.7, ⑪⑪
12, 7,Ｉモストヴェルデ, 52,田辺裕, 1.5, 48, -12,  -2, 9, 54.5, ⑫⑬,12,17, サクラエフォｰト,---,田辺裕, 2.4, 33,*-16, -24,10, 59.7, ③③,12,12,Ｈマレンカヤ, 68,柴田大, 2.3, 60,   1,  -1,10, 53.4,⑦⑪⑪,12, 2,Ｎプリンセスキナウ, 75,伊藤工, 0.7, 73,   2,  13,11, 64.3, ⑩⑩
13,11,Ｇブラックポセイドン, 55,松岡正, 2.4, 39, -14,  -8, 8, 22.8, ⑭⑭,13,11, マスクゾロ,---,戸崎圭, 2.8, 26,*-14, -31, 8, 42.8, ②②,13, 6,Ｍケイツｰクロｰト, 62,田中勝, 2.4, 57,   2,  -7,14,190.7,④③④,13, 7,Ｃキングオブヘイロｰ, 83,岩田康, 1.2, 69,* 10,   0, 9, 17.2, ②②
14,13,Ｎオレモマッテタゼ, 33,高倉稜, 2.7, 36, -18,  -8,14,275.5, ⑮⑮,14, 9, メイショウパワフル,---,石橋脩, 2.8, 33, -21, -16,18,267.0, ⑯⑯,14, 5,Ｊトシベリｰ, 65,武士沢, 3.2, 56,  -1,  -6,13,150.3,⑪⑬⑬,14, 5,Ｌケンエンブレム, 78,北村宏, 1.9, 62, -12,  16,15, 99.4, ⑮⑮
15, 3,Ｍギンヤンマ, 42,江田照, 2.7, 37,  -1, -23,12,138.7, ③⑤,15, 7, ランドグロｰリｰ,---,大野拓, 2.8, 33, -21, -16,15,147.7, ⑬⑬,15,11,Ｏアイティロｰズ, 47,山崎亮, 3.4, 52,   2, -15,15,417.3,⑩④⑤,15, 8,Ｏナムラジュエル, 75,池添謙, 2.0, 63,* 11,  -6, 4,  7.1, ③④
,,,,,,,,,,,,16, 3, シュアｰウイキャン,---,原田和, 3.0, 33, -25, -12,17,239.3, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 8, ノボサｰファｰ,---,木幡初, 3.0, 29, -21, -21,16,163.0, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 1, アポロセッツァｰ,---,蛯名正, 4.5, 19, -32, -19, 6, 33.5, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:0),,,,,,,,,,,
"単勝:1,710円 複勝:09=330円 14=130円 08=140円 枠連:330円",,,,,,,,,,,,単勝:730円 複勝:12=180円 15=110円 13=400円 枠連:670円,,,,,,,,,,,,"単勝:160円 複勝:15=110円 13=590円 10=190円 枠連:1,320円",,,,,,,,,,,,"単勝:570円 複勝:04=210円 14=170円 12=240円 枠連:1,100円",,,,,,,,,,,
"馬連:2,400円 ワイド:09-14=840円 08-09=960円 08-14=250円",,,,,,,,,,,,"馬連:780円 ワイド:12-15=280円 12-13=1,510円 13-15=760円",,,,,,,,,,,,"馬連:2,900円 ワイド:13-15=950円 10-15=280円 10-13=3,580円",,,,,,,,,,,,"馬連:1,260円 ワイド:04-14=490円 04-12=1,100円 12-14=750円",,,,,,,,,,,
"馬単:6,110円 3連複:2,820円 3連単:23,400円",,,,,,,,,,,,"馬単:1,790円 3連複:4,180円 3連単:22,670円",,,,,,,,,,,,"馬単:4,060円 3連複:5,220円 3連単:23,240円",,,,,,,,,,,,"馬単:2,820円 3連複:3,650円 3連単:19,340円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1400m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,ﾀﾞﾘｱ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂアウレオｰラ, 61,吉田豊,, 58,*  5,* -8, 1,  2.0,②②②, 1,15, ウイングラビティ,---,石橋脩,, 55,* -9,*  1, 7, 15.1, ②②, 1, 4,Ｉマキャヴィティ, 47,戸崎圭,, 57,* -3,  -7, 7, 12.9, ②②, 1,16,Ｂダイワインスパイア, 68,北村宏,, 67,*  7,   2, 6, 12.4, ②②
 2,10,Ｃキョウエイリリック, 58,蛯名正, 0.8, 53,   3,*-11, 2,  4.6,⑩④④, 2,14, ダイチヴュルデ,---,宮崎北, 0.2, 53,* -8,  -1, 8, 35.6, ①①, 2, 8,Ａマイネグラティア, 58,柴田大, 0.0, 61, -10,*  3, 1,  3.0, ⑪⑫, 2,15,Ａリアリｰラヴユｰ, 69,戸崎圭, 0.2, 67, -10,* 16, 8, 13.1, ⑬⑭
 3, 4,Ｇケイアイキャンサｰ, 53,柴田善, 1.2, 48,*  5, -18, 6, 12.7,①①①, 3, 4, ナカヤマボルト,---,蛯名正, 0.7, 48, -11,  -3, 2,  4.6, ④④, 3, 2,Ｆデスティニｰラブ, 50,田辺裕, 0.0, 59,  -8,   1, 2,  4.1, ⑦⑦, 3, 1,Ｄバｰニングハｰト, 66,松岡正, 0.2, 65,*  8,  -2, 4,  9.6, ①①
 4, 9,Ｅビｰナスジュエリｰ, 58,戸崎圭, 1.3, 50,   3, -14, 4,  9.5,⑥⑤⑤, 4,12, フジマサレジェンド,---,田中勝, 0.8, 47, -16,*  0, 3,  6.8, ⑦⑦, 4, 7,Ｋアポロスタｰズ, 46,蛯名正, 0.1, 58, -11,*  2, 5, 12.3, ⑩⑨, 4,18,Ｎイヴピアジェ, 59,福永祐, 0.3, 65,  -9,* 13, 3,  7.7, ⑭⑫
 5, 3,Ｎバレｰドライブ, 40,宮崎北, 1.8, 47,   1, -15,10,111.8,⑦⑧⑦, 5, 9, ヒラリアス,---,柴田大, 1.0, 46, -13,  -4, 5, 11.7, ⑤⑤, 5,11,Ｂユｰルドゥｰ, 57,北村宏, 0.1, 58,  -9,   1, 4,  8.9, ⑨⑩, 5,11,Ｈチェリｰペトルズ, 64,岩田康, 0.3, 64,  -4,   8, 1,  3.1, ⑦⑧
 6, 1,Ｊロマンデラロｰズ, 46,長岡禎, 1.8, 46,   2, -18,13,191.5,③⑥⑥, 6, 1, トウカイリｰブル,---,江田照, 1.5, 41, -18,  -4,15,239.4, ⑧⑧, 6, 3,Ｊハツガツオ, 47,横山典, 0.2, 55,  -4,  -7, 3,  8.3, ④④, 6,12,Ｇラパｰジュ, 64,内田博, 0.4, 62,   3,   0, 2,  5.8, ④④
 7,12,Ａレオソルシエｰル, 64,石橋脩, 2.1, 45,   2, -20, 3,  5.5,⑧⑦⑧, 7, 5, リネンスウィフト,---,西田雄, 1.6, 43, -10, -10,14,162.5, ③③, 7, 6,Ｇブラックチョコ, 49,武士沢, 0.2, 59, -12,*  3,10, 21.5, ⑫⑪, 7, 2,Ｒキネオリリｰ, 53,江田照, 0.4, 61,*  6,  -2,13, 86.2, ③③
 8, 8,Ｍスイｰトマズルカ, 43,花田大, 2.2, 45,  -1, -16,14,307.8,⑤⑩⑪, 8, 8, ボウキョウノネン,---,北村宏, 1.6, 41, -24,*  2, 9, 36.5, ⑩⑩, 8, 1,Ｄテルミドｰル, 55,嘉藤貴, 0.3, 56,*  1, -13, 9, 20.5, ①①, 8,13,Ｊグラントリノ, 63,武士沢, 0.4, 63,  -2,   6,15,137.8, ⑧⑥
 9,15,Ｆハルコマチ, 54,田中勝, 2.3, 42,*  5, -26, 5, 12.1,④③③, 9, 2, トレランシア,---,内田博, 3.1, 27, -17, -18,10, 52.5, ⑨⑨, 9, 9,Ｃニシノイナズマ, 56,内田博, 0.4, 53,* -3, -12, 6, 12.4, ③③, 9, 8,Ｑプレイアップ, 57,高倉稜, 0.5, 62,  -7,  10,11, 24.3, ⑨⑩
10, 7,Ｌプレシャスクラウン, 44,山崎亮, 2.5, 43,  -2, -15,11,149.7,⑪⑬⑬,10, 7, グランツ,---,嶋田純, 5.5,  5, -14, -43, 4,  7.9, ⑥⑥,10,10, コスモスパｰクル,---,大野拓, 0.7, 50,  -8,  -8,12,115.4, ⑧⑧,10,14,Ｃロｰレルエナジｰ, 67,田中勝, 0.6, 60,  -6,   7,10, 20.9, ⑪⑨
11, 2,Ｏサクラトップカフェ, 35,高倉稜, 2.6, 42,   0, -18,12,190.4,⑬⑪⑩,11, 3, レッツサッチャｰ,---,松岡正, 6.3, -3, -51, -15, 6, 13.3, ⑭⑭,11,12,Ｅクリノジュロウジン, 51,岩田康, 0.8, 49,  -5, -14, 8, 13.8, ⑥⑥,11, 9,Ｉサウスノｰブル, 63,柴田善, 0.6, 62, -13,* 13, 7, 13.0, ⑯⑮
12,13,Ｈナスケンプレアデス, 50,増沢由, 2.6, 43,  -1, -18, 8, 90.8,⑭⑫⑫,12,11, アポロダイナスティ,---,戸崎圭, 6.3, -3, -47, -19, 1,  2.4, ⑬⑬,12, 5,Ｈコスモマイルｰル, 48,松岡正, 0.9, 48,  -5, -15,11, 37.2, ⑤⑤,12, 4,Ｋベルウッドシｰマ, 63,平野優, 0.7, 57,   0,  -1,16,162.9, ⑤⑤
13,14,Ｉウイントレジャｰ, 47,大野拓, 2.6, 44,  -3, -14, 9, 93.1,⑫⑭⑭,13,13, スパｰキｰドリｰム,---,杉原誠, 6.9, -8, -47, -24,13,135.8, ⑪⑪,,,,,,,,,,,,,13, 6,Ｅハニｰムｰナｰ, 65,花田大, 0.7, 60, -13,* 12,14,119.3, ⑰⑯
14,11,Ｋスイｰトクラウン, 46,松岡正, 3.3, 36,   1, -28, 7, 35.6,⑨⑨⑨,14, 6, アイファｰカウント,---,大野拓, 7.3,-11, -47, -28,12,131.2, ⑫⑫,,,,,,,,,,,,,14, 3,Ｌハプスブルク, 63,横山典, 0.7, 57,  -1,   1, 5, 12.0, ⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｐプレミアムカｰド, 57,柴田大, 0.7, 61, -10,  10,12, 81.5, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｆデイジｰバロｰズ, 64,蛯名正, 0.8, 58,  -8,   6, 9, 15.4, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｍマンセイグレネｰド, 63,杉原誠, 1.1, 55, -13,   7,17,240.9, ⑮⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,Ｏウイングオブソング, 57,山崎亮, 1.4, 51, -17,   7,18,299.0, ⑱⑱
