13年10月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,壬生特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:4,870円 3連複:3,780円 3連単:28,070円",,,,,,,,,,,,"馬単:3,190円 3連複:36,390円 3連単:146,070円",,,,,,,,,,,,"馬単:1,020円 3連複:3,210円 3連単:11,510円",,,,,,,,,,,,"馬単:9,790円 3連複:29,090円 3連単:129,420円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝2000m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,秋華賞 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂスザク, 56,武豊  ,, 62,*  0,*  9, 1,  1.8, ①①, 1, 8,Ｌモズマッテタワ, 64,小牧太,, 72,   0,* 11, 9, 35.3, ⑫⑩, 1, 2,Ｂメイショウユメゴゼ, 75,武豊  ,, 72,*  8,   6, 2,  3.6, ②②, 1,16,Ｃメイショウマンボ, 79,武幸四,, 78,  10,   9, 3,  5.2,⑫⑩⑨
 2,14,Ａゼンノロンゴ, 59,福永祐, 0.6, 56,* -2,*  5, 2,  3.7, ④③, 2, 5,Ｈサイズミックレディ, 66,武豊  , 0.2, 73,* 11,  -5, 8, 19.3, ①①, 2, 4,Ｃグランプリブルｰ, 72,浜中俊, 0.1, 70,   3,* 11, 4,  5.2, ⑧⑥, 2, 1,Ａスマｰトレイアｰ, 80,武豊  , 0.2, 76,   9,* 12, 2,  3.5,⑰⑯⑭
 3, 4,Ｇタガノハウリング, 44,岩崎翼, 0.7, 55,* -1,*  2, 4, 19.2, ②②, 3,14,Ｉトｰワフォｰエバｰ, 66,藤田伸, 0.3, 70,   1,   7,10, 36.1, ⑪⑪, 3, 1,Ａシルクバｰニッシュ, 78,福永祐, 0.2, 68,*  9,   4, 3,  3.8, ①①, 3,13,Ｒリラコサｰジュ, 61,池添謙, 0.2, 78,  10,* 11,15,131.6,⑩⑪⑫
 4,16,Ｋシュンブレイン, 38,和田竜, 2.0, 45,  -3,  -5, 5, 27.0, ⑥④, 4, 6,Ｄゴｰルドチェイス, 71,城戸義, 0.4, 70,*  8,  -2, 5, 10.6, ②②, 4,14,Ｈエイユｰラピス, 65,藤田伸, 0.3, 68,   2,* 10,12, 94.9, ⑨⑨, 4,14,Ｅデニムアンドルビｰ, 78,内田博, 0.2, 76,  10,   8, 1,  3.3,⑯⑬⑩
 5, 6,Ｌシゲルハリマ, 36,松山弘, 2.7, 38,  -3, -11,14,319.7, ⑤⑥, 5, 2,Ａアルボナンザ, 76,四位洋, 0.4, 70,   2,   5, 1,  2.8, ⑨⑧, 5,12,Ｅケイアイユニコｰン, 71,和田竜, 0.3, 68,   6,   6, 1,  3.4, ⑥④, 5,11,Ｈリボントリコロｰル, 75,横山典, 0.3, 75,   6,* 15,12, 49.9,⑮⑰⑰
 6, 1,Ｆキタサンワイルド, 47,国分優, 2.7, 38,  -3, -12,10, 71.6, ③⑤, 6, 3,Ｇコｰラルグリッタ, 66,池添謙, 0.5, 68,  -3,* 11,12, 89.4, ⑯⑮, 6, 8,Ｄコマノガレオス, 71,松田大, 0.5, 65,   5,   4, 7, 21.4, ④③, 6, 2,Ｆシャトｰブランシュ, 78,北村友, 0.3, 76,   7,* 12, 8, 21.5,⑪⑭⑮
 7, 5,Ｉタマモライト, 39,池添謙, 2.8, 40, -10,  -3, 7, 41.4, ⑩⑨, 7,13,Ｏウォｰタｰプリプリ, 54,武幸四, 0.8, 69,   5,  -2, 2,  4.2, ⑤④, 7, 3,Ｌカトラス, 61,熊沢重, 0.8, 66,   3,   5, 9, 67.3, ⑦⑦, 7, 7,Ｏトｰセンソレイユ, 67,メンデ, 0.3, 74,  11,   5, 9, 22.5,⑨⑨⑧
 8, 9,Ｃトｰコｰプラネット, 55,岩田康, 2.8, 40, -11,  -2, 3,  4.9, ⑫⑪, 8,10,Ｂハネムｰンゴシップ, 71,戸崎圭, 0.8, 67,*  8,  -5, 7, 13.9, ③③, 8, 7,Ｆメイショウゾンビ, 70,松山弘, 0.8, 63,  -2,   9,10, 72.7, ⑪⑪, 8, 5,Ｉセキショウ, 74,吉田豊, 0.3, 72,* 17, -11,11, 44.9,②②②
 9,13,Ｍデジタルスパｰク, 31,柴山雄, 2.8, 40, -11,  -2,15,424.8, ⑬⑬, 9, 1,Ｊチｰズマヨ, 65,中井裕, 0.8, 68,  -2,   7,11, 41.1, ⑮⑫, 9, 5,Ｋスイｰトドｰナッツ, 62,幸英明, 0.9, 63,  -3,* 10, 5, 19.2, ⑭⑭, 9, 8,Ｌマコトブリジャｰル, 71,柴田大, 0.4, 74,  14,  -3,16,140.7,⑤⑤⑤
10,11,Ｊディｰプカジノ, 38,太宰啓, 2.9, 40, -13,  -1,11, 88.6, ⑮⑮,10,15,Ｆグレｰトエンジェル, 67,国分恭, 0.8, 65,   2,   1, 4,  8.7, ⑧⑨,10,11,Ｇヴァルナビット, 67,酒井学, 1.5, 57,  -2,   3, 8, 47.5, ⑫⑩,10, 6,Ｄウリウリ, 79,浜中俊, 0.4, 72,  13,  -1, 7, 17.7,⑥⑥⑥
11, 7,Ｈシンゼンマリリン, 44,川島信, 3.0, 37,  -5, -12,16,493.1, ⑦⑦,11,11,Ｋキタサンテンニョ, 65,佐久間, 1.3, 63,   6,  -8,13,200.9, ④⑦,11, 6,Ｉキンシジェネラル, 64,岩崎翼, 2.2, 50,  -4,  -2,11, 79.7, ⑬⑬,11,17,Ｊロｰブティサｰジュ, 74,岩田康, 0.5, 72,  12,  -1, 5, 15.1,⑦⑦⑦
