13年 6月30日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月30日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
 9,18,Ｊインプレスシアトル, 43,幸英明, 0.8, 50,   3, -12, 9, 61.7, ⑨⑪, 9, 2,Ｌカツラノジュピタｰ, 52,水口優, 1.4, 61,  -9,   3,16,519.6,⑬⑭⑭, 9,16, マルカフォルテ,---,森一馬, 1.3, 48,  -7,* -2,13,146.9, ⑮⑭, 9, 3,Ｅチェスナットバロン, 81,福永祐, 1.7, 73,   8,   2, 1,  2.9,④④④
10,13,Ｅスリｰキャリオカ, 49,岡部誠, 0.8, 50,   1,  -7,18,402.8, ⑬⑫,10, 4,Ｋマッシヴビクトリｰ, 52,熊沢重, 1.4, 55,* -7,  -7,11,114.0,③③③,10, 1, メイショウヨリキ,---,熊沢重, 1.4, 51,  -4,  -5,16,305.3, ⑫⑫,10, 9,Ｆコスモアケルナル, 80,幸英明, 1.7, 76,   6,   7, 9, 35.5,⑩⑪⑪
11, 8, クリムトキッス,---,福永祐, 1.2, 45,   4, -20, 5, 15.6, ⑦⑦,11,11,Ｈモモイロアゲハ, 54,川田将, 1.4, 55,* -7,  -7, 4, 21.7,④④⑤,11, 3,Ｉラジアントカット, 42,浜中俊, 2.0, 44,   2, -19, 6, 22.0, ⑦⑧,11, 7,Ｄトリノ, 83,岡部誠, 2.4, 69,   7,  -2, 8, 29.1,⑦⑧⑦
12, 3,Ｆアッピアス, 49,佐藤友, 1.2, 45,   4, -19, 8, 58.4, ⑥⑥,12,14,Ｄタイキサクセション, 60,原田敬, 1.4, 56,* -7,  -7,12,161.8,⑤⑤⑥,12,13, レガリテｰト,---,高倉稜, 2.5, 38, -15,* -2,10, 44.0, ⑯⑯,12, 2,Ｌフォルクスオｰパｰ, 79,高田潤, 2.6, 70,   3,   5,16,332.7,⑮⑬⑬
13, 2,Ｌニシノワン, 40,松山弘, 1.3, 44,  -1, -11,14,171.5, ⑫⑮,13, 3,Ｐレッドヴェロッサ, 44,藤岡康, 1.6, 53,* -7, -10, 7, 46.4,⑥⑥④,13,15,Ｌタイキアセンブリｰ, 32,藤岡康, 3.1, 36,*  5, -31,11, 52.9, ④④,13, 1,Ｍマｰリンシチｰ, 74,北村友, 2.6, 71,   0,  12,14,237.6,⑭⑯⑯
14, 5,Ｋキシュウレパｰド, 41,高倉稜, 1.5, 41,  -9,  -5,17,270.2, ⑱⑱,14,12, メイショウヨウコウ,---,武幸四, 1.7, 60, -12,   4,13,166.5,⑰⑱⑱,14,10,Ｊメイショウチカラ, 39,中井裕, 3.3, 35,   2, -30,14,169.4, ⑩⑩,14,13,Ｎエｰシンイオマンテ, 71,太宰啓, 4.4, 58,   8, -20,15,314.9,⑥⑦⑧
15, 6,Ｎジョｰパルカ, 37,北村友, 1.7, 41,*  8, -31,10, 66.4, ②②,15,17,Ｑウィズインダｰク, 36,鮫島良, 1.7, 57, -11,   0,17,535.8,⑮⑮⑯,15, 9,Ｋエメラルパワｰ, 38,幸英明, 4.7, 24,  -4, -34,12, 61.1, ⑬⑮,15,16,Ｏスペシャルピｰス, 59,酒井学, 4.7, 56,   7, -21,12,112.5,⑨⑨⑨
16,11,Ｄミキノティｰタイム, 61,太宰啓, 1.9, 38,*  8, -34, 3,  4.5, ③③,16,16,Ｇスイｰトワルツ, 56,岡田祥, 1.8, 56, -11,   0,15,438.9,⑱⑰⑰,16,14,Ｍシゲルヘビツカイザ, 23,国分優, 6.0, 15,*  5, -58,15,213.4, ②③,16, 8, ゴｰルドブラザｰ,---,佐藤友, 5.0, 54,   1, -13,13,217.8,⑫⑭⑮
17, 1,Ｇアグネスコトブキ, 48,岩崎翼, 2.0, 37,* 10, -36,11,111.0, ①①,17, 5,Ｎパｰプルシャイン, 47,森一馬, 1.8, 52,  -8,  -9,18,566.7,⑦⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,
18,15, スズカノジェリコ,---,小牧太, 2.1, 36,  -3, -20,15,197.2, ⑰⑰,18, 7,Ｍサトノトレジャｰ, 51,国分優, 1.9, 55,  -8,  -7, 8, 88.6,⑩⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-5),,,,,,,,,,,
"単勝:860円 複勝:10=230円 09=720円 04=140円 枠連:11,850円",,,,,,,,,,,,単勝:150円 複勝:13=100円 09=130円 10=120円 枠連:150円,,,,,,,,,,,,"単勝:3,490円 複勝:06=670円 05=190円 02=150円 枠連:7,340円",,,,,,,,,,,,"単勝:430円 複勝:04=210円 12=330円 06=240円 枠連:1,160円",,,,,,,,,,,
"馬連:9,000円 ワイド:09-10=2,670円 04-10=510円 04-09=1,210円",,,,,,,,,,,,馬連:380円 ワイド:09-13=170円 10-13=140円 09-10=230円,,,,,,,,,,,,"馬連:7,180円 ワイド:05-06=1,990円 02-06=1,780円 02-05=370円",,,,,,,,,,,,"馬連:3,360円 ワイド:04-12=1,070円 04-06=630円 06-12=1,430円",,,,,,,,,,,
"馬単:17,720円 3連複:7,820円 3連単:74,700円",,,,,,,,,,,,馬単:510円 3連複:250円 3連単:960円,,,,,,,,,,,,"馬単:19,190円 3連複:6,810円 3連単:72,730円",,,,,,,,,,,,"馬単:5,110円 3連複:7,140円 3連単:35,420円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,CBC賞 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆガルム, 57,福永祐,, 63,*  1,   6, 5, 19.2,④③③, 1, 7, マイネルメリエンダ,---,高倉稜,, 51, -30,  11, 6, 13.9,③③④, 1, 4,Ｄマヤノオントロジｰ, 75,北村友,, 74,  -2,* 19, 4, 10.8,⑯⑭⑭, 1,14,Ｂマジンプロスパｰ, 85,福永祐,, 88,  -5,  22, 1,  3.6, ④④
 2, 8,Ｃウォｰスピリッツ, 65,川田将, 0.1, 63,*  1,   5, 2,  4.1,②②②, 2, 8, リラヴァティ,---,浜中俊, 0.0, 52, -33,* 15, 1,  2.7,⑤⑤⑥, 2, 7,Ａメテオライト, 83,福永祐, 0.0, 73,   2,  11, 1,  2.3,⑧⑦⑤, 2,12,Ｃハクサンムｰン, 84,酒井学, 0.0, 87,*  2,  15, 2,  5.4, ①①
 3, 2,Ｂアドマイヤイナズマ, 67,幸英明, 0.4, 63,  -2,* 10, 4, 11.0,⑦⑦⑥, 3,11, ラインハｰト,---,福永祐, 0.3, 50, -35,* 15, 3,  6.3,⑨⑧⑧, 3, 6,Ｆハギノサキガチ, 68,高倉稜, 0.3, 72,  -1,* 15, 9, 33.4,⑭⑬⑬, 3, 4,Ｌサドンストｰム, 75,川田将, 0.4, 85, -15,* 27, 3,  5.5, ⑩⑪
 4, 9,Ｄワイドマンボ, 63,藤岡康, 0.6, 60,  -2,*  9, 3,  7.4,⑪⑨⑧, 4, 9, パラプリュイ,---,幸英明, 0.4, 49, -34,  11, 8, 38.9,⑦⑥⑦, 4,16,Ｂキングヒｰロｰ, 79,小牧太, 0.5, 68,*  3,   5, 2,  3.3,③③③, 4, 6,Ａザッハトルテ, 88,松山弘, 0.6, 80,  -8,  17, 5,  6.4, ⑥⑦
 5,12,Ａエイヴィアンボス, 71,武豊  , 0.7, 59,*  1,   1, 1,  1.6,⑧④④, 5, 1, コスモメイフェア,---,中井裕, 0.5, 45, -31,   6,11, 61.0,④④③, 5,11,Ｌキクノソル, 65,幸英明, 0.9, 66,   2,   3, 5, 11.2,④④④, 5, 1,Ｄバｰバラ, 81,浜中俊, 0.6, 79,  -5,  14, 4,  5.8, ⑤③
 6, 3,Ｅスプリｰムアヘッド, 60,小牧太, 0.9, 57,  -1,   2, 6, 22.8,③⑤⑤, 6, 5, ワｰルドマッチ,---,武豊  , 0.5, 49, -37,* 15, 4,  7.4,⑪⑨⑨, 6, 5,Ｇマルヨフレンドリｰ, 67,小坂忠, 0.9, 70,*  4,   0,11,103.8,①①①, 6, 9,Ｍヘニｰハウンド, 71,藤岡康, 0.8, 79, -14,  20, 8, 24.1, ⑫⑩
 7, 6,Ｊルｰベル, 44,松山弘, 2.1, 52,  -7,   5,14,484.6,⑭⑭⑫, 7, 2, マッサロｰザ,---,岡部誠, 0.8, 38, -29,  -2, 5, 13.8,②②②, 7,12,Ｃフォルトファｰレン, 77,中井裕, 1.1, 71,  -4,* 14, 6, 17.2,⑮⑯⑯, 7,11,Ｎキョウワマグナム, 68,北村友, 0.8, 78, -13,  19,10, 58.7, ⑨⑨
 8,11,Ｇミカサパワｰ, 55,北村友, 2.4, 48,  -3,  -5, 7, 93.2,⑨⑩⑪, 8,10, クリノカメハメハ,---,松山弘, 1.2, 31,*-27, -11, 9, 40.4,①①①, 8,15,Ｊクリノスタｰオｰ, 65,太宰啓, 1.1, 66,   2,   1, 7, 28.9,⑥⑤⑥, 7, 5,Ｋザラストロ, 75,武豊  , 0.8, 80, -18,* 24, 7, 12.7, ⑭⑭
 9,14,Ｋシゲルカメレオンザ, 43,太宰啓, 2.4, 50,  -1,  -9, 9,107.9,⑥⑥⑦, 9, 6, スピナッチ,---,川田将, 1.4, 33, -34,  -3, 2,  3.4,⑥⑦⑤, 9, 3,Ｉメイショウジロキチ, 66,浜中俊, 1.3, 64,  -1,   5, 8, 32.5,⑪⑪⑪, 9, 8,Ｅウインドジャズ, 79,小坂忠, 0.8, 79, -18,* 24,11, 68.7, ⑬⑬
10, 4,Ｈメタリックゴｰルド, 51,水口優, 2.5, 47,  -2,  -8,13,438.7,⑤⑧⑨,10, 4, モウイイデショウ,---,北村友, 1.7, 33, -38,   1, 7, 15.9,⑩⑪⑪,10,13,Ｍニホンピロワルタｰ, 61,武幸四, 1.6, 67,*  3,  -5,10, 48.0,②②②,10, 7,Ｇアイラブリリ, 77,幸英明, 1.0, 75,  -6,  10, 6, 12.4, ⑦⑥
11, 5,Ｌスリｰスペシャル, 41,中井裕, 3.2, 43,*  2, -22, 8, 97.2,①①①,11, 3, パｰプルパルピナ,---,太宰啓, 2.9, 15, -40, -15,10, 50.8,⑧⑩⑩,11, 2,Ｏキクノメテオ, 50,熊沢重, 2.0, 66,  -3,   4,12,135.7,⑬⑮⑮,11, 2,Ｊダイシンプラン, 75,熊沢重, 1.1, 73, -12,  14,14,260.0, ⑧⑧
12, 7,Ｉジョロキアキャット, 46,酒井学, 3.4, 45,  -3, -12,10,167.6,⑩⑪⑩,,,,,,,,,,,,,12,10,Ｎメイショウヨシミツ, 53,水口優, 2.2, 58,   1,  -6,14,297.7,⑩⑨⑨,12,10,Ｈエｰシンダックマン, 76,太宰啓, 1.1, 71,*  0,   2, 9, 37.1, ②②
13, 1,Ｍリリアｰナ, 31,高倉稜, 4.4, 35,  -6, -18,12,272.0,⑬⑬⑭,,,,,,,,,,,,,13, 9,Ｅダイコウキ, 71,岡部誠, 2.5, 55,   1,  -9, 3,  8.1,⑨⑩⑩,13,13,Ｆヤマカツハクリュウ, 78,鮫島良, 1.1, 75, -16,  18,12, 98.0, ⑪⑫
14,13, アルファカリナエ,---,岡部誠, 6.0, 26,  -4, -34,11,199.4,⑫⑫⑬,,,,,,,,,,,,,14, 1,Ｈドンマネｰ, 66,岡田祥, 2.5, 55,   1,  -8,15,339.1,⑦⑧⑧,14, 3,Ｉボストンエンペラｰ, 75,高倉稜, 1.6, 65,  -6,   2,13, 99.4, ③⑤
,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｋスズカアルファ, 65,岩崎翼, 2.9, 53,  -1,  -9,13,149.8,⑫⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｐリスキｰタイム, -7,佐藤友, 3.1, 51,   2, -15,16,431.9,⑤⑥⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,
"単勝:1,920円 複勝:10=440円 08=200円 02=360円 枠連:980円",,,,,,,,,,,,"単勝:1,390円 複勝:07=330円 08=150円 11=190円 枠連:380円",,,,,,,,,,,,"単勝:1,080円 複勝:04=260円 07=150円 06=660円 枠連:920円",,,,,,,,,,,,単勝:360円 複勝:14=140円 12=190円 04=170円 枠連:790円,,,,,,,,,,,
"馬連:3,770円 ワイド:08-10=920円 02-10=990円 02-08=560円",,,,,,,,,,,,"馬連:2,490円 ワイド:07-08=930円 07-11=1,310円 08-11=450円",,,,,,,,,,,,"馬連:1,090円 ワイド:04-07=430円 04-06=2,260円 06-07=1,090円",,,,,,,,,,,,馬連:980円 ワイド:12-14=400円 04-14=420円 04-12=660円,,,,,,,,,,,
"馬単:9,160円 3連複:5,430円 3連単:54,010円",,,,,,,,,,,,"馬単:6,980円 3連複:4,850円 3連単:49,930円",,,,,,,,,,,,"馬単:2,920円 3連複:6,950円 3連単:39,800円",,,,,,,,,,,,"馬単:1,910円 3連複:1,980円 3連単:8,000円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  芝1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,高山特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂチェリｰミルズ, 59,松山弘,, 59,  -5,*  3, 2,  5.7, ⑤④, 1, 9, コウエイタケル,---,松山弘,, 59,* -9,*  0, 5, 11.1, ②②, 1, 9,Ａダノンムｰン, 76,福永祐,, 84,  -9,* 25, 1,  1.6,③③③, 1,10,Ａウリウリ, 79,浜中俊,, 73,  13,   2, 1,  2.3,⑩⑧⑦
 2, 2,Ａプリンセスムｰン, 66,浜中俊, 0.1, 58,* -1,  -2, 1,  1.5, ③③, 2,12, ジョｰヌダンブル,---,川田将, 0.5, 53, -11,* -4, 2,  3.3, ③④, 2, 8,Ｂウエスタンディオ, 76,浜中俊, 0.5, 63,*  2,  -9, 6, 20.5,②②②, 2, 9,Ｆエクスパｰシヴ, 70,岡部誠, 0.0, 74,   9,*  9, 7, 20.1,⑫⑫⑪
 3, 4,Ｃクリノアマダブラム, 58,小牧太, 0.5, 55, -10,*  4, 3,  7.9, ⑧⑦, 3, 6, コスモマンカイ,---,幸英明, 0.5, 54, -11,* -4, 7, 20.6, ④③, 3, 7,Ｇマイティｰスコｰル, 71,中井裕, 0.5, 63,*  3, -12, 7, 24.8,①①①, 3,14,Ｄベアトリッツ, 73,福永祐, 0.2, 73,  11,   5, 6,  9.7,⑪⑪⑫
 4, 1,Ｅジョウショｰピアス, 54,鮫島良, 1.0, 51, -12,*  1, 6, 25.0, ⑪⑪, 4, 2, デクラレｰション,---,中井裕, 0.8, 50, -13,  -5, 9, 41.0, ⑤⑤, 4, 4,Ｃアドマイヤバｰトン, 74,川田将, 0.6, 76, -11,  18, 3,  7.0,⑤⑥⑥, 4, 6,Ｃウインミｰティア, 73,藤岡康, 0.4, 70,  11,   1, 5,  8.5,⑨⑨⑨
 5,15,Ｈラメント, 43,中井裕, 1.3, 48,  -8,  -6, 9,101.6, ⑥⑤, 5, 4, クラウンデピュティ,---,浜中俊, 1.2, 44, -13, -11, 8, 23.3, ⑥⑥, 5, 3,Ｅメイショウタマカゼ, 73,小牧太, 0.6, 76, -10,  18, 4, 14.7,④④④, 5, 2,Ｂメモリｰシャルマン, 77,幸英明, 0.5, 70,   8,   5, 4,  7.0,⑯⑬⑬
 6,12,Ｋワンダｰブライド, 36,岩崎翼, 1.5, 47,  -9,  -5,16,586.0, ⑨⑩, 6, 3, ティｰエスギムレ,---,岡部誠, 1.3, 46, -16,  -6,10, 45.8, ⑦⑦, 6, 1,Ｉサンライズバｰド, 68,岩崎翼, 0.8, 78, -13,* 24, 9,103.1,⑩⑨⑨, 6,13,Ｍカシノラピス, 57,水口優, 0.5, 70,   7,*  8,16,531.3,⑮⑯⑭
 7, 3,Ｊヤマニンジェルブ, 41,高倉稜, 1.6, 45,  -9,  -7, 8, 51.4, ⑩⑧, 7,11, コンゴウサクラ,---,藤岡康, 1.4, 42,* -6, -22, 6, 12.3, ①①, 7, 2,Ｄサウンドデュｰク, 73,幸英明, 1.0, 73, -12,  15, 5, 19.4,⑦⑦⑦, 7, 4,Ｇテラノイロハ, 69,高田潤, 0.7, 66,  12,  -6, 9, 40.2,④⑦⑥
 8,11, アルマｰズビコｰ,---,武豊  , 1.8, 42, -19,   0, 5, 18.7, ⑭⑭, 8, 8, トップランナウェイ,---,小牧太, 1.4, 45, -17,  -6,12,112.4, ⑧⑧, 8,11,Ｈサンライズトリプル, 69,藤岡康, 1.0, 71, -11,  14, 8, 45.7,⑥⑤⑤, 8, 5,Ｉカミｰリア, 68,松山弘, 0.8, 63,* 17, -17,10, 52.3,①①①
 9,13,Ｄセレッソフロリｰド, 56,佐藤友, 2.1, 41,*  2, -22, 7, 30.0, ②②, 9, 1, ビタミンエｰス,---,太宰啓, 2.1, 36, -21, -12, 3,  5.0, ⑨⑨, 9,10,Ｆクリビツテンギョ, 72,武豊  , 1.1, 76, -15,  22, 2,  4.7,⑨⑩⑩, 9,12,Ｅシンジュボシ, 71,川田将, 1.2, 60,  15, -18, 3,  6.5,⑥③⑤
10,16, ベルガモット,---,畑端省, 2.5, 37,  -3, -21,10,145.9, ④⑥,10, 5, グランプリブレイド,---,武豊  , 2.5, 31, -22, -16, 1,  3.1, ⑫⑪,10, 6,Ｋガリュウ, 58,国分優, 1.3, 71, -12,  14,11,237.6,⑧⑧⑧,10, 7,Ｈプラチナテｰラｰ, 68,高倉稜, 1.2, 59,* 16, -21, 2,  6.0,②②②
11, 8,Ｉシャインケニｰ, 42,幸英明, 2.6, 38,*  2, -26, 4, 11.2, ①①,11, 7, パンデモニウム,---,福永祐, 2.8, 27, -22, -19, 4, 10.2, ⑩⑩,11, 5,Ｊチョットチョット, 60,岡部誠, 3.7, 43, -17,  -9,10,130.3,⑪⑪⑪,11, 1,Ｏガムザッティ, 54,国分優, 2.0, 51,  15, -30, 8, 39.9,③④③
12, 9,Ｌメイショウオｰロラ, 34,難波剛, 2.6, 36, -12, -13,15,442.5, ⑫⑫,12,10, スピｰクナウ,---,高倉稜, 5.3,  0, -27, -42,11, 82.8, ⑪⑫,,,,,,,,,,,,,12, 3,Ｌワンダｰエレメント, 57,中井裕, 2.5, 46,   9, -27,11,183.3,⑧⑩⑩
13,14,Ｇビュｰティルック, 43,岡部誠, 2.9, 33, -13, -15,11,157.7, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,13,15,Ｎマイオリオン, 55,太宰啓, 2.7, 44,  14, -36,12,224.1,⑦⑥⑧
14, 5,Ｆサマｰレイラ, 44,北村友, 3.6, 26,  -9, -25,12,192.1, ⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｊジツリキネオ, 59,鮫島良, 2.8, 43,   6, -25,14,306.3,⑬⑮⑮
15,10, スリｰアイドル,---,酒井学, 3.6, 26, -25, -10,13,197.6, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｐジュウワンブライト, 44,田中健, 3.3, 39,   7, -33,15,498.1,⑭⑭⑯
16, 7, スリｰフラッパｰ,---,国分優, 6.6, -5, -47, -16,14,352.6, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｋビュｰティサン, 59,原田敬, 4.8, 25,  15, -68,13,302.7,⑤⑤④
