13年12月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年12月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 9,11,Ｄアスカクイン, 54,藤田伸, 2.2, 50, -10,  -1, 6, 38.6, ⑮⑭, 9, 5, ナムラバクサイ,,黒岩悠,205.7,,,, 9, 98.8,⑦⑧⑨, 9,10,Ｉカシノタロン, 52,国分優, 1.1, 57,  -9,  -1,10,205.3, ⑨⑨, 9,13,Ｆスズカルｰセント, 85,岩田康, 0.8, 78,   4,  13, 4,  6.7,④④④
10,16,Ｏジュエルハｰトコン, 36,小坂忠, 2.3, 51,  -9,  -3,15,409.4, ⑬⑬,10, 1, スタｰペスジンタ,,白浜雄,215.2,,,,10,114.9,⑪⑩⑩,10, 9,Ｇクリノジュロウジン, 53,高倉稜, 1.5, 51,  -8,  -7, 9,149.6, ⑧⑧,10, 6,Ｍドラゴンヴォイス, 81,藤田伸, 0.9, 80,   1,  16,10, 69.2,⑩⑫⑫
11, 3,Ｊアリュｰジョン, 46,高倉稜, 2.3, 47,  -6,  -8, 8, 51.5, ⑥⑦,11, 6, ヤマカツポセイドン,,北沢伸,215.9,,,,12,187.5,⑫⑪⑪,,,,,,,,,,,,,11,11,Ｅリアライズキボンヌ, 85,浜中俊, 1.0, 78,   1,  15, 9, 30.2,⑪⑩⑩
12, 5,Ｍアップルシェア, 39,小林徹, 2.4, 47,* -4, -11,12,174.3, ②②,,,,,,,,,,,,,,,,,,,,,,,,,12,10,Ｌタツパｰシヴ, 82,森一馬, 1.8, 72,   3,   5,13,113.4,⑤⑤⑧
13,14,Ｆエスコルピオン, 49,森一馬, 2.7, 45,  -7, -11,11,149.1, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｎマヤノクレド, 78,高倉稜, 2.0, 71,  -1,  10,12,102.0,⑭⑭⑭
14, 6,Ｌコウエイユニバｰス, 44,藤岡康, 2.7, 45,  -7,  -9, 7, 42.6, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｊスギノブレイド, 83,上村洋, 2.4, 69,   2,   2,14,352.3,⑬⑪⑪
15,12,Ｎラガｰリンドｰ, 39,秋山真, 2.8, 44,  -8,  -8,14,249.1, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,Ｐシュンメガミ, 36,熊沢重, 3.5, 41, -12, -10,16,688.4, ⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:1),,,,,,,,,,,
"単勝:8,930円 複勝:04=1,280円 02=170円 09=160円 枠連:3,090円",,,,,,,,,,,,単勝:240円 複勝:09=110円 02=160円 03=810円 枠連:590円,,,,,,,,,,,,"単勝:680円 複勝:06=200円 03=430円 07=760円 枠連:3,590円",,,,,,,,,,,,"単勝:400円 複勝:04=180円 09=500円 14=210円 枠連:1,830円",,,,,,,,,,,
"馬連:13,500円 ワイド:02-04=2,800円 04-09=2,890円 02-09=280円",,,,,,,,,,,,"馬連:570円 ワイド:02-09=250円 03-09=1,310円 02-03=1,920円",,,,,,,,,,,,"馬連:3,110円 ワイド:03-06=890円 06-07=2,400円 03-07=3,360円",,,,,,,,,,,,"馬連:3,580円 ワイド:04-09=1,420円 04-14=500円 09-14=1,380円",,,,,,,,,,,
"馬単:42,220円 3連複:12,010円 3連単:194,720円",,,,,,,,,,,,"馬単:970円 3連複:6,940円 3連単:21,420円",,,,,,,,,,,,"馬単:6,930円 3連複:30,230円 3連単:174,930円",,,,,,,,,,,,"馬単:5,540円 3連複:5,900円 3連単:31,770円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾘｹﾞﾙｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａレッドアルゴ, 65,ルメｰ,, 64,*  3,   1, 1,  1.5,②②②, 1, 3, ビバワｰルド,---,岩田康,, 46,*-28,   4, 2,  2.4,①①①, 1, 6,Ｂトニｰポケット, 75,ルメｰ,, 75,   6,*  8, 2,  3.0,⑥⑥⑥, 1,11,Ｊトリップ, 83,川田将,, 93,* 21,   4, 6, 10.6, ④②
 2,10,Ｂトラキチシャチョウ, 59,小林徹, 0.0, 67,   3,*  4, 8, 57.8,④③③, 2, 1, エｰティｰペガサス,---,藤田伸, 0.1, 48, -31,*  7, 6, 20.3,④④⑤, 2,15,Ｎスリｰアフロディテ, 65,ウィリ, 0.1, 79,*  8,   4, 3,  8.0,②②②, 2, 8,Ｃレッドアリオン, 88,デムｰ, 0.0, 92,* 22,   1, 2,  5.9, ①①
 3, 5,Ｅセントコロナ, 55,ウィリ, 0.9, 64,   3,  -4, 2,  4.7,③④④, 3, 4, ウィナｰウェイ,---,藤岡康, 0.1, 45,*-30,*  5, 8, 59.6,⑦⑦④, 3, 1,Ｌベルサリエｰレ, 67,浜中俊, 0.1, 76,*  8,   3, 1,  2.4,①①①, 3,10,Ｉコスモソｰンパｰク, 84,和田竜, 0.5, 88,  20,   0,11, 55.6, ⑥⑥
 4, 6,Ｄショウナンガッチャ, 58,和田竜, 1.1, 61,   2,  -3, 5, 16.3,⑤⑤⑤, 4, 2, グレンガイル,---,浜中俊, 0.2, 42,*-30,   2, 3,  6.6,⑧②②, 4, 7,Ｈアニマトゥｰル, 70,川田将, 0.9, 73,   6,   1, 5, 16.7,⑩⑦⑦, 4, 5,Ｅカシノピカチュウ, 85,太宰啓, 0.6, 86,  15,*  5, 9, 40.2, ⑪⑪
 5,13,Ｃシゲルヒタチ, 59,藤田伸, 1.4, 60,  -1,   1, 3,  8.4,⑧⑧⑦, 5, 7, マイネルエアダクス,---,国分優, 1.0, 34, -31,  -6, 5, 16.0,②⑤⑥, 5,16,Ｉマルカファイン, 70,秋山真, 1.3, 67,*  7,  -5, 7, 17.9,④③③, 5,12,Ａサンレイレｰザｰ, 95,藤岡康, 0.6, 86,* 21,  -3, 1,  3.0, ⑦③
 6, 9,Ｊヤマニンピエジェ, 46,浜中俊, 1.5, 56,*  4, -12, 7, 54.9,①①①, 6, 5, ウインルゼル,---,和田竜, 1.0, 38, -32,  -1, 4, 14.0,⑤⑧⑧, 6,10,Ｄアクシｰバンダム, 75,和田竜, 1.5, 69,   5,  -1, 6, 17.1,⑫⑩⑨, 6,16,Ｐミッキｰパンプキン, 78,秋山真, 0.7, 86,  18,   0,15,293.2, ⑩⑩
 7, 7,Ｌクリノダイコクテン, 42,高倉稜, 1.6, 58,  -5,*  6, 9, 71.2,⑬⑬⑨, 7, 8, シゲルヤマト,---,高倉稜, 1.6, 26, -31, -13, 7, 44.9,③⑥⑦, 7, 8,Ｅサチゴロウ, 73,上村洋, 1.7, 67,*  7,  -9,11, 49.9,⑤④④, 7, 3,Ｏエｰシンミズｰリ, 79,岩田康, 0.8, 85,  18,  -2, 7, 11.8, ⑧⑧
 8,12,Ｈシゲルエッチュウ, 47,国分優, 2.8, 50,  -4,  -6,12,286.8,⑪⑪⑫, 8, 6, オルドリン,---,デムｰ, 1.6, 24,*-29, -16, 1,  2.2,⑥③③, 8, 3,Ｃハンドインハンド, 75,国分優, 1.7, 66,   0,*  5, 8, 23.8,⑯⑮⑫, 8,15,Ｈワイズリｰ, 84,小林徹, 0.8, 85,  16,   3,12, 57.7, ⑫⑫
 9, 4,Ｍイゾラベッラ, 40,岩田康, 2.8, 49,  -1, -13, 4, 11.5,⑥⑥⑥,,,,,,,,,,,,, 9,13,Ｇタｰフジェニック, 71,藤田伸, 1.8, 67,   3,  -1,12, 73.9,⑬⑫⑪, 9, 7,Ｄプリムラブルガリス, 87,浜中俊, 0.8, 83,  18,  -3, 4,  6.9, ⑤⑦
10, 2,Ｆテイエムイチリュウ, 52,藤岡康, 3.7, 44,  -4, -15,10,232.0,⑨⑩⑪,,,,,,,,,,,,,10,11,Ｊスリｰフォスタｰ, 69,白浜雄, 2.1, 66,  -1,*  6,15,378.0,⑮⑯⑯,10,17,Ｆオセアニアボス, 85,熊沢重, 0.8, 85,  14,*  6,14,194.3, ⑭⑬
11, 1,Ｋテイエムハヤカゼ, 42,佐久間, 3.8, 43,  -2, -19,11,245.6,⑦⑦⑧,,,,,,,,,,,,,11,12,Ｏトスカニｰニ, 65,デムｰ, 2.1, 62,   5,  -7,10, 44.7,⑧⑨⑩,11, 1,Ｂブレイズアトレイル, 90,ウィリ, 0.9, 82,  20,  -6, 3,  6.6, ③④
12,14,Ｉブラックグランデ, 46,上村洋, 3.9, 45,  -3, -18,14,498.2,⑩⑨⑩,,,,,,,,,,,,,12, 4,Ａジェットブリット, 76,岩田康, 2.1, 65,  -1,   3, 4, 14.3,⑭⑭⑮,12, 6,Ｎムｰンリットレイク, 80,ルメｰ, 1.0, 83,  18,  -4, 8, 15.5, ⑨⑨
13, 3,Ｎトウケイアロｰ, 28,熊沢重, 5.8, 35,  -6, -28,13,355.7,⑫⑫⑬,,,,,,,,,,,,,13, 5,Ｆトｰホウビッグガン, 72,藤岡康, 2.2, 62,   5,  -9, 9, 40.3,⑦⑧⑧,13,13,Ｇサワノパンサｰ, 85,高倉稜, 1.2, 80,  13,   2,10, 54.0, ⑮⑭
14, 8,Ｇアバンサル, 50,太宰啓,12.8,-14, -18, -65, 6, 41.0,⑭⑭⑭,,,,,,,,,,,,,14, 9,Ｍワイドクロス, 66,高倉稜, 2.5, 61,   3,  -6,13,166.2,⑨⑪⑬,14,14,Ｋマジェスティハｰツ, 82,森一馬, 1.4, 79,   6,* 11, 5,  9.1, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｋテイエムエビスオｰ, 68,佐久間, 2.6, 59,*  7, -15,14,343.4,③⑤⑤,15, 2,Ｌエアラフォン, 81,四位洋, 2.2, 69,   9,  -6,16,315.8, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｐカシノラピス, 54,小坂忠, 3.5, 61,   2, -12,16,547.8,⑪⑬⑭,16, 9,Ｑダイシンプラン, 68,武幸四, 2.2, 69,  19, -25,17,567.8, ②⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 4,Ｍカネトシディオス, 80,藤田伸, 4.0, 51,  12, -36,13, 91.6, ⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:4),,,,,,,,,,,
"単勝:150円 複勝:11=110円 10=480円 05=130円 枠連:1,450円",,,,,,,,,,,,"単勝:240円 複勝:03=140円 01=360円 04=1,120円 枠連:0円",,,,,,,,,,,,単勝:300円 複勝:06=120円 15=200円 01=120円 枠連:810円,,,,,,,,,,,,"単勝:1,060円 複勝:11=310円 08=240円 10=1,070円 枠連:430円",,,,,,,,,,,
"馬連:3,000円 ワイド:10-11=880円 05-11=160円 05-10=1,180円",,,,,,,,,,,,"馬連:2,020円 ワイド:01-03=780円 03-04=1,770円 01-04=4,040円",,,,,,,,,,,,"馬連:1,470円 ワイド:06-15=440円 01-06=190円 01-15=540円",,,,,,,,,,,,"馬連:3,820円 ワイド:08-11=1,450円 10-11=5,070円 08-10=4,480円",,,,,,,,,,,
"馬単:3,670円 3連複:2,780円 3連単:15,020円",,,,,,,,,,,,"馬単:3,490円 3連複:17,270円 3連単:58,890円",,,,,,,,,,,,"馬単:2,720円 3連複:1,350円 3連単:9,950円",,,,,,,,,,,,"馬単:8,780円 3連複:41,100円 3連単:231,320円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 6R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,猪名川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｇクリノカンパニｰ, 55,藤田伸,, 60,   2,*  1, 5,  9.0, ⑩⑨, 1,14, エイシンヴァラｰ,---,太宰啓,, 63,*  1,* -4, 3,  5.5, ②②, 1, 6,Ａアドマイヤディｰプ, 89,デムｰ,, 85,  -4,* 17, 1,  1.8, ⑤⑥, 1, 1,Ｂアメｰジングタクト, 79,秋山真,, 76,   1,* 14, 4,  8.9, ⑩⑪
 2,10,Ｉミッキｰラブソング, 53,ルメｰ, 0.0, 60,*  5,  -1, 3,  6.6, ⑧⑥, 2,15, マッセナ,---,ウィリ, 0.2, 62,*  1,  -6, 4,  6.3, ③③, 2,10,Ｄサトノキングリｰ, 77,岩田康, 0.3, 79,* -1,   7, 2,  3.8, ②②, 2,16,Ｌイエスイットイズ, 72,小林徹, 0.2, 74,*  8,   5,13, 75.2, ①①
 3,14,Ｋキリシマホｰマ, 51,太宰啓, 0.1, 58,   0,*  3,11,106.3, ⑫⑪, 3, 1, ヴェントアウレオ,---,浜中俊, 0.5, 57,*  0,  -7, 1,  4.1, ④④, 3, 9,Ｆヒロノプリンス, 76,国分優, 0.4, 78,*  0,   4, 4, 11.2, ①①, 3,12,Ｍアフリカンハンタｰ, 71,ウィリ, 0.2, 76,   2,  11, 7, 23.2, ⑧⑧
 4, 7,Ｂアドマイヤウイング, 60,川田将, 0.2, 58,   0,*  1, 2,  3.5, ⑨⑩, 4,13, ハッピｰメモリｰズ,---,国分優, 0.7, 54,  -2,  -7, 9, 48.0, ⑤⑦, 4, 8,Ｃタイセイドリｰム, 81,浜中俊, 0.4, 80,  -4,  13, 3,  5.0, ⑧⑧, 4, 6,Ｅジャマイカジョｰ, 77,高倉稜, 0.3, 74,  -2,* 14,14,106.3, ⑫⑬
 5, 8,Ｄイイデフュｰチャｰ, 56,和田竜, 0.2, 58,*  6,  -7, 7, 15.1, ②②, 5, 4, ショウナンランパダ,---,岩田康, 0.7, 56,*  2, -11, 7, 17.1, ①①, 5, 4,Ｂサングップ, 81,四位洋, 0.5, 81,  -7,* 17, 6, 26.3, ⑩⑩, 5,13,Ｆキンシザイル, 76,浜中俊, 0.4, 73,   4,   7, 3,  7.5, ⑥④
 6,15,Ｃジャストヴィｰクル, 59,デムｰ, 0.3, 56,  -1,*  3, 4,  8.2, ⑬⑭, 6, 2, ロｰレルラシｰム,---,デムｰ, 0.8, 52,  -9,*  2, 2,  4.9, ⑭⑭, 6, 1,Ｅマイファｰストラヴ, 76,武幸四, 0.6, 78,  -3,   7, 8, 57.5, ⑥⑤, 6, 2,Ａタッチシタイ, 81,ルメｰ, 0.4, 71,   5,   6, 2,  4.7, ③⑤
 6, 6,Ａエアカミュゼ, 66,ウィリ, 0.3, 55,   3,  -5, 1,  2.9, ⑥⑦, 7, 8, サンマルゴｰルド,---,小林徹, 1.4, 49,  -4,  -9,14,110.3, ⑩⑨, 7, 5,Ｇセトノフラッパｰ, 76,和田竜, 0.7, 74,* -1,   3, 5, 20.6, ③③, 7,14,Ｋワンダｰフォルテ, 73,太宰啓, 0.5, 73,   3,   8,11, 46.4, ⑦⑦
 8,12,Ｈスリｰキｰパｰ, 54,高倉稜, 0.7, 52,  -1,  -3,14,203.2, ⑭⑬, 8, 7, カガフレグランス,---,秋山真, 1.6, 47,  -5, -10, 5,  6.8, ⑪⑫, 8, 7,Ｉホｰマンベルウィン, 71,藤岡康, 0.8, 75,  -5,   8,10,255.7, ⑦⑦, 8, 5,Ｃマラネロ, 78,川田将, 0.7, 71,*  6,   2, 1,  2.3, ②②
 9, 3,Ｊウィルソン, 52,岩田康, 0.8, 51,*  5, -13, 6, 13.1, ③④, 9,12, メイショウウケヅキ,---,武幸四, 1.8, 49,  -2, -16, 6,  8.0, ⑥⑤, 9, 3,Ｊキンショｰタイム, 70,熊沢重, 1.0, 75,  -7,  10,11,317.0, ⑨⑨, 9, 7,Ｊヴェアリアスムｰン, 74,和田竜, 0.8, 70,   4,   3, 9, 34.6, ⑤⑥
10, 5,Ｍディスクレｰション, 47,浜中俊, 0.9, 51,   3,  -9, 8, 27.7, ⑦⑧,10, 6, シアトルサンライト,---,高倉稜, 1.8, 47,  -1, -15, 8, 20.7, ⑦⑥,10, 2,Ｈアソルｰタ, 75,秋山真, 1.0, 77,  -9,  14, 7, 39.5, ⑪⑪,10,10,Ｈシゲルシゲザネ, 75,デムｰ, 0.8, 68,   1,   7,10, 35.8, ⑪⑨
11, 1,Ｌデンコウガイア, 49,武幸四, 1.0, 50,  -2,  -4,12,122.3, ⑮⑮,11, 3, テイエムスリラｰ,---,和田竜, 2.0, 44,  -5, -15,12, 93.9, ⑨⑩,11,11,Ｋタマモベルモット, 69,高倉稜, 1.1, 68,* -1,  -3, 9,238.6, ④④,11, 3,Ｇカシノインカロｰズ, 76,四位洋, 0.8, 71,  -7,* 15, 5,  9.5, ⑯⑮
12, 4,Ｐアグネスモバイル, 29,秋山真, 1.0, 48,*  5, -16,13,160.8, ⑤⑤,12, 5, ナリタレッカｰ,---,熊沢重, 2.1, 45,  -9, -11,10, 60.2, ⑬⑬,,,,,,,,,,,,,12,15,Ｄミラクルルｰマｰ, 77,藤岡康, 0.9, 68,   5,   2, 6, 19.1, ④③
13,11,Ｏウインアルチザン, 40,森一馬, 1.1, 46,*  4, -19,15,448.0, ④③,13,11, ワンダｰバリデス,---,小坂忠, 2.1, 47,  -4, -15,11, 63.1, ⑫⑪,,,,,,,,,,,,,13, 9,Ｏアグネスキズナ, 69,岩田康, 1.0, 67,   2,   4, 8, 26.6, ⑨⑩
14,16,Ｅキタサンゲッコウ, 56,国分優, 1.5, 42,*  6, -28, 9, 60.1, ①①,14, 9, マッシヴロｰド,---,藤岡康, 2.1, 45,  -3, -17,15,130.4, ⑧⑧,,,,,,,,,,,,,14, 4,Ｉリアリｰサムシング, 74,国分優, 1.1, 66,  -6,  11,12, 63.4, ⑮⑭
15, 9,Ｆテイエムスラッガｰ, 55,藤岡康, 1.7, 41,  -6,  -9,10, 81.7, ⑯⑯,15,10, トキハイマ,---,森一馬, 4.9, 13, -26, -13,13,106.5, ⑮⑮,,,,,,,,,,,,,15, 8,Ｎシゲルアケビ, 71,藤田伸, 1.3, 65,  -3,   6,15,117.7, ⑭⑫
16, 2,Ｎカシノワンダラｰ, 47,上村洋, 3.2, 25,  -1, -39,16,540.0, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｐエスケイティアラ, 50,森一馬, 2.1, 58,  -5,   1,16,310.8, ⑬⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:1),,,,,,,,,,,
"単勝:900円 複勝:13=300円 10=260円 14=1,830円 枠連:2,860円",,,,,,,,,,,,"単勝:550円 複勝:14=200円 15=200円 01=160円 枠連:1,330円",,,,,,,,,,,,単勝:180円 複勝:06=110円 10=130円 09=200円 枠連:320円,,,,,,,,,,,,"単勝:890円 複勝:01=300円 16=1,440円 12=710円 枠連:2,350円",,,,,,,,,,,
