13年10月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
10, 3,Ｐトゥｰレドゥｰ, 28,後藤浩, 1.8, 45,  -6, -18,13,160.3, ⑨⑧,10, 6,Ｄオリオンザムｰン, 71,石橋脩, 1.4, 60,  -2,   6, 8, 25.4, ⑭⑭,10,14,Ｅシゲルウシュウ, 57,後藤浩, 1.0, 56,  -3,  -6,13,101.3, ⑬⑬,10,11,Ｅトウケイヘイロｰ, 93,武豊  , 2.2, 81,* 31, -39, 2,  4.4,①①①
11, 7,Ｈキｰビスケット, 51,柴田善, 2.2, 41,  -7, -26, 8, 31.7, ⑦⑦,11, 2,Ｉエメルボヌｰル, 67,戸崎圭, 1.5, 58,   0,   0, 6, 21.4, ⑤⑦,11, 5,Ｉマイネルギャルソン, 53,柴田大, 1.4, 53,   3, -21, 3,  5.6, ⑤⑥,11,10,Ｑトｰセンジョｰダン, 76,メンデ, 2.3, 81,  27, -31,10, 59.7,⑨⑧⑧
12, 9,Ｉイトハユリ, 47,メンデ, 2.2, 41, -11, -19, 7, 31.1, ⑪⑭,12, 4,Ｋテイエムブシドｰ, 61,川須栄, 2.1, 55,*  4, -10, 5, 19.7, ②②,12,13,Ｍデサフィナｰド, 50,武士沢, 1.6, 50,  -3, -14,14,129.9, ⑫⑫,12, 4,Ｌトゥザグロｰリｰ, 86,池添謙, 2.3, 82,  25, -27, 9, 51.2,⑫⑫⑫
13,11,Ｅトゥルｰモｰション, 55,戸崎圭, 2.4, 38, -12, -19, 5, 19.0, ⑯⑯,13, 3,Ｇナムライチバンボシ, 68,津村明, 2.5, 51,   3, -12, 9, 52.5, ③④,13, 3,Ｎウォッカマティｰニ, 38,蛯名正, 2.1, 44,  -2, -22,12, 85.7, ⑪⑪,13,14,Ｏオｰシャンブルｰ, 85,内田博, 2.5, 81,  25, -26,12, 83.4,⑬⑬⑬
14, 4,Ｇメニアオバ, 52,田辺裕, 2.6, 36,  -4, -35,11, 49.7, ③④,14, 1,Ｎアシガル, 50,山崎亮, 2.6, 51,  -2,  -4,14,318.0, ⑪⑬,14, 7,Ｊロｰドストｰム, 52,川田将, 2.2, 44,*  7, -35, 1,  4.2, ②②,14, 5,Ｆレインスティック, 92,武士沢, 2.8, 78,  23, -27,16,235.4,⑯⑯⑯
15, 2,Ｑベイヒロイン, 26,武士沢, 3.0, 33,  -8, -35,16,348.4, ⑭⑩,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｎダイワファルコン, 85,川須栄, 2.9, 76,  28, -45,17,240.9,②②③
16,17,Ｌリトル, 38,高倉稜, 3.4, 29, -17, -23,17,362.1, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｉダノンバラｰド, 88,川田将, 3.0, 75,  28, -46, 6, 32.1,⑦⑤⑤
17, 8,Ｎコスモカイヤナイト, 34,大野拓, 3.5, 28,  -7, -40,15,263.3, ⑬⑪,,,,,,,,,,,,,,,,,,,,,,,,,17,15,Ｇレッドスパｰダ, 91,蛯名正, 4.5, 66,  28, -68,14,141.9,④④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:95 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-20 馬場:良(指数:0),,,,,,,,,,,
