13年11月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 9,11,Ｐエントラｰル, 30,デムｰ, 1.4, 52, -10,   5, 9, 45.3, ⑫⑬, 9, 4, ディスキｰダンス,---,横山典, 0.9, 62, -21,  14, 4,  6.9,⑫⑫⑬, 9, 8,Ｄサングラス, 64,大野拓, 0.4, 69, -10,   8, 6, 16.9, ⑬⑬, 9, 9,Ｄロジサンデｰ, 80,内田博, 0.8, 80,*  9,   1, 3,  5.3,⑥⑦⑥
10,14,Ｊジャマスルナ, 46,柴田大, 1.6, 53,  -9,   2,16,258.5, ⑩⑩,10, 5, アンヴェイルド,---,福永祐, 1.0, 58, -19,   5, 2,  5.5,⑦⑦⑦,10, 5,Ｌサクラエフォｰト, 58,福永祐, 0.6, 65,  -7,  -1, 5, 15.0, ④④,10, 1,Ｈノｰブルジュピタ, 76,田中勝, 0.8, 79,   7,   4, 7, 15.3,⑦⑤⑧
11, 4,Ｌペイシャゴンジセ, 43,西田雄, 1.9, 53, -11,   3,12, 63.8, ⑭⑭,11, 1, キャンティユッキ,---,津村明, 1.3, 59, -21,   9,12, 80.1,⑭⑬⑫,11, 1,Ｂニシノアカツキ, 68,武豊  , 0.8, 63,  -8,  -1,10, 30.7, ⑧⑦,11, 4,Ｊマｰブルデイビｰ, 74,宮崎北, 1.0, 79,   3,  10,13,177.1,⑫⑬⑬
12, 8,Ｈパルファイア, 53,柴田善, 2.0, 50, -12,   4, 7, 29.4, ⑯⑯,12, 7, ルシｰラ,---,横山和, 1.8, 51, -21,   3,14, 99.8,⑧⑪⑭,12, 3,Ｍヴィスビｰ, 57,江田照, 0.9, 60,  -7,  -5,16, 87.9, ③③,12,13,Ｋオメガブレイン, 74,三浦皇, 1.2, 74,*  9,  -7,11, 44.4,④④③
13, 6,Ｅミラクルヴォｰグ, 59,岩田康, 2.1, 50, -10,   0, 6, 25.3, ⑪⑪,13, 9, サマｰブリｰズ,---,大野拓, 1.8, 52, -22,   4,13, 96.0,⑬⑭⑮,13, 9,Ｐニシノハイツリｰ, 50,丸山元, 0.9, 65, -14,   8,17,109.5, ⑯⑰,13, 2,Ｌドリｰムゴスペル, 73,武士沢, 1.4, 73,   6,  -2,12, 98.7,⑬⑫⑫
14,10,Ｉヤマニンシャｰジュ, 49,江田照, 2.2, 48,  -9,  -4,11, 57.4, ⑧⑧,14,13, オルディネ,---,柴田大, 2.3, 49, -24,   1,15,105.4,⑮⑯⑯,14,13,Ｈアラマサクロフネ, 61,吉田豊, 0.9, 62, -10,  -1,14, 74.8, ⑩⑪,,,,,,,,,,,,
15, 5,Ｏフレイムワンダｰ, 31,柴山雄, 2.3, 49, -12,   1,15,143.5, ⑮⑮,15,11, チャンピオンパラオ,---,西村太, 2.5, 35,*-14, -25,16,153.8,①③③,15,10,Ｉデルマサリｰチャン, 60,後藤浩, 1.0, 59,  -7,  -5,15, 81.7, ⑥⑧,,,,,,,,,,,,
16, 3,Ｎファイントライ, 41,的場勇, 5.0, 30,  -9, -28,14,103.6, ⑦⑦,16, 2, バトルミュｰトゥス,---,後藤浩, 3.1, 32, -18, -23,10, 41.6,⑯⑮⑪,16,16,Ｑカッテ, 49,田中勝, 1.0, 63, -14,   5,12, 39.6, ⑰⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｅアブソリュカフェ, 64,浜中俊, 1.2, 56,  -8,  -6, 8, 18.6, ⑪⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｎアポロデイライト, 56,横山和, 2.3, 38,* -3, -31,18,243.3, ①①,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:1),,,,,,,,,,,
単勝:450円 複勝:09=150円 12=170円 02=140円 枠連:920円,,,,,,,,,,,,単勝:650円 複勝:16=260円 06=290円 03=900円 枠連:650円,,,,,,,,,,,,"単勝:860円 複勝:04=330円 12=230円 17=520円 枠連:2,610円",,,,,,,,,,,,"単勝:950円 複勝:05=280円 11=180円 08=720円 枠連:1,510円",,,,,,,,,,,
馬連:930円 ワイド:09-12=410円 02-09=300円 02-12=410円,,,,,,,,,,,,"馬連:2,730円 ワイド:06-16=1,010円 03-16=3,630円 03-06=3,280円",,,,,,,,,,,,"馬連:2,440円 ワイド:04-12=780円 04-17=2,190円 12-17=1,480円",,,,,,,,,,,,"馬連:2,290円 ワイド:05-11=900円 05-08=3,500円 08-11=2,610円",,,,,,,,,,,
"馬単:2,090円 3連複:1,040円 3連単:6,870円",,,,,,,,,,,,"馬単:5,100円 3連複:27,240円 3連単:103,340円",,,,,,,,,,,,"馬単:5,560円 3連複:12,170円 3連単:70,640円",,,,,,,,,,,,"馬単:5,560円 3連複:31,130円 3連単:148,870円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ｼｬﾝｸﾞﾘﾗ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａジｰニアイ, 63,ムｰア,, 53,  -3,   1, 1,  1.7, ⑦⑤, 1,12, エスメラルディｰナ,---,ウィリ,, 74,* -8,* 17, 2,  3.4, ①①, 1, 9,Ｂストｰミングスタｰ, 81,横山典,, 81,  -2,* 22, 1,  3.7, ⑯⑮, 1, 7,Ｂジェンティルドンナ, 96,ムｰア,, 95,   7,  20, 1,  2.1,④④⑤
 2, 4,Ｅファビン, 55,田中勝, 0.1, 52,  -6,*  4, 8, 39.2, ⑨⑩, 2, 8, ドラゴンキングダム,---,内田博, 0.9, 64,* -8,  10, 1,  3.0, ⑤④, 2,13,Ｄヴィンテｰジイヤｰ, 80,内田博, 0.3, 78,   0,  14, 2,  4.1, ⑫⑫, 2, 9,Ｆデニムアンドルビｰ, 89,浜中俊, 0.0,101,   4,* 30, 7, 29.8,⑭⑭⑭
 3, 1,Ｍスイｰトマルセル, 37,田中博, 0.1, 52,*  3,  -7, 4, 15.4, ①①, 3, 5, クロフネフリｰト,---,福永祐, 1.5, 59,  -8,   6, 3,  5.9, ⑥⑤, 3,12,Ｊフェアエレン, 77,後藤浩, 0.3, 78,  -1,  16,13, 65.0, ⑬⑭, 3, 5,Ｍトｰセンジョｰダン, 84,ビュイ, 0.0, 94,*  8,  17,11,100.3,②②②
 4, 2,Ｏアンジュシュエット, 27,三浦皇, 0.2, 52,  -9,*  7,10,128.3, ⑭⑭, 4, 1, マウントマズル,---,柴田善, 1.7, 58, -10,   8,12,121.2, ⑧⑦, 4, 6,Ａダンシングミッシｰ, 82,大野拓, 0.3, 78,   3,  11, 3,  4.3, ⑥④, 4, 6,Ｇアドマイヤラクティ, 88,ウィリ, 0.1, 97,   4,* 26, 4, 21.1,⑨⑩⑩
 5,12,Ｂオｰタムラヴ, 63,戸崎圭, 0.2, 51,* -1,  -3, 2,  3.0, ②②, 5, 4, ゴｰルデンスピン,---,丸田恭, 2.0, 56, -13,   9,10, 77.0, ⑭⑬, 5,15,Ｈアルベルティ, 79,戸崎圭, 0.4, 76,   4,   9, 9, 19.5, ⑤⑥, 5,10, ドゥｰナデン,---,スペン, 0.2, 97,   4,  24,13,117.3,⑬⑫⑫
 6, 3,Ｉバルコドｰル, 44,後藤浩, 0.5, 51,  -7,*  4, 7, 30.9, ⑫⑫, 6, 2, フィｰルザスマｰト,---,田中勝, 2.1, 57, -16,* 14, 4,  9.6, ⑮⑮, 6, 1,Ｃツクババンドｰオｰ, 81,横山和, 0.4, 78,  -4,* 20, 8, 19.2, ⑮⑯, 6,11,Ｌルルｰシュ, 85,福永祐, 0.2, 94,   7,  18, 6, 25.7,⑤⑤⑥
 7,16,Ｈレイズアセイル, 44,ウィリ, 1.0, 47,  -3,  -7, 6, 29.4, ④④, 7, 7, タイセイヒｰト,---,三浦皇, 2.3, 54, -10,   2,15,190.3, ⑨⑨, 7,11,Ｆトｰホウペガサス, 79,北村宏, 0.4, 76,*  5,   8,11, 42.6, ②②, 7, 1,Ｈヴィルシｰナ, 88,岩田康, 0.2, 95,   7,  18, 9, 49.3,③③④
 8, 7,Ｇデルマフジコ, 46,木幡初, 1.2, 43,  -4,  -8, 5, 20.9, ⑥⑥, 8,13, ジェイリｰン,---,大野拓, 3.1, 48, -12,  -3,13,126.5, ⑫⑪, 8, 4,Ｅジャｰグラット, 80,丸田恭, 0.4, 77,  -1,  16,15,218.0, ⑭⑬, 8, 3,Ｃアンコイルド, 92,後藤浩, 0.3, 94,   6,  20, 5, 21.3,⑧⑦⑧
 9,14,Ｎコスモアメシスト, 32,柴田大, 1.4, 42,  -2, -12,11,149.8, ③③, 9, 6, マダムインパリ,---,津村明, 3.3, 47, -10,  -6,16,200.8, ⑦⑧, 9, 7,Ｎドレッシｰスタイル, 74,木幡初, 0.6, 75,   4,   7,12, 51.1, ③③, 9, 2,Ｅナカヤマナイト, 91,柴田善, 0.4, 94,   6,  18,10, 54.4,⑥⑥⑦
10, 9,Ｆモルフェティｰ, 50,大庭和, 1.4, 43,  -9,  -3,13,247.5, ⑬⑬,10, 9, クィｰンオブシバ,---,西村太, 3.3, 47, -12,  -4,14,135.2, ⑪⑩,10, 8,Ｐフクノカシオペア, 71,的場勇, 0.8, 75,   0,  10,14, 75.0, ⑨⑪,10, 4,Ａエイシンフラッシュ, 96,デムｰ, 0.5, 88,*  8,  10, 3,  4.9,①①①
11,13,Ｃマトリックス, 55,内田博, 1.4, 42,  -7,  -6, 3, 13.7, ⑩⑪,11,11, ヨウザンフウ,---,蛯名正, 3.6, 43,  -9, -11, 8, 21.3, ③⑥,11, 3,Ｌミヤビリファイン, 77,吉田豊, 0.8, 74,   2,   8, 6, 17.7, ⑦⑦,11,16,Ｉヒットザタｰゲット, 87,武豊  , 0.5, 88,*  8,  10, 8, 35.3,⑩⑨③
12, 8,Ｌアンジュバｰグ, 38,柴山雄, 1.9, 38,  -5, -13,15,531.1, ⑤⑦,12,10, サウザンドオｰクス,---,江田照, 3.7, 45, -14,  -2, 5, 10.6, ⑩⑭,12,16,Ｍスフィンクス, 75,武豊  , 0.9, 74,   3,   7, 4, 11.6, ⑧⑨,12,12,Ｋホッコｰブレｰヴ, 85,三浦皇, 0.6, 92,   4,  18,16,186.2,⑫⑪⑪
13, 6,Ｄボｰルドブルｰム, 55,杉原誠, 2.1, 38, -14,  -3, 9, 79.0, ⑮⑮,13,14, タイキビスタ,---,吉田豊, 3.8, 42,* -7, -16, 6, 17.1, ②②,13, 2,Ｇヴェイグストｰリｰ, 79,蛯名正, 0.9, 73,   0,   9,10, 19.6, ⑪⑩,13,14, シメノン,---,ヒュｰ, 0.6, 94,   4,  21,15,163.8,⑪⑬⑬
14,15,Ｋタムザセカンド, 42,丸山元, 2.3, 34,  -5, -16,14,370.4, ⑧⑧,14, 3, ショウナンサバンナ,---,戸崎圭, 3.8, 43, -13,  -7, 7, 18.7, ⑬⑫,14,10,Ｋクロムレック, 77,福永祐, 0.9, 73,   3,   6, 5, 13.2, ⑩⑧,14,15,Ｎスマｰトギア, 79,戸崎圭, 0.8, 94,   2,  24,17,391.2,⑯⑰⑰
15,11,Ｊディｰエススワット, 43,松岡正, 2.6, 33,  -4, -19,12,226.0, ⑪⑨,15,16, ヤマニンリュタン,---,伊藤工, 4.4, 38, -18,  -4, 9, 22.4, ⑯⑯,15,14,Ｏミッキｰオリｰブ, 73,杉原誠, 1.1, 71,   4,   3,16,270.1, ④⑤,15,13,Ｄゴｰルドシップ, 92,内田博, 1.4, 83,   4,   8, 2,  3.4,⑰⑮⑮
,,,,,,,,,,,,16,15, サリｰナ,---,宮崎北, 6.2, 25,* -7, -36,11,117.5, ④③,16, 5,Ｉランドシャｰク, 78,石橋脩, 1.5, 68,*  6,  -2, 7, 17.8, ①①,16, 8,Ｊファイヤｰ, 86,横山典, 1.9, 78,   1,   8,14,156.7,⑮⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｏジョシュアツリｰ, 58,ムルタ, 1.9, 74,   5,  -3,12,112.4,⑦⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:95 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,
単勝:170円 複勝:05=110円 04=530円 01=340円 枠連:790円,,,,,,,,,,,,単勝:340円 複勝:12=140円 08=130円 05=170円 枠連:470円,,,,,,,,,,,,"単勝:370円 複勝:09=180円 13=190円 12=1,040円 枠連:680円",,,,,,,,,,,,"単勝:210円 複勝:07=120円 09=510円 05=1,220円 枠連:2,090円",,,,,,,,,,,
"馬連:2,570円 ワイド:04-05=800円 01-05=550円 01-04=4,280円",,,,,,,,,,,,馬連:580円 ワイド:08-12=230円 05-12=410円 05-08=340円,,,,,,,,,,,,"馬連:850円 ワイド:09-13=400円 09-12=4,280円 12-13=5,380円",,,,,,,,,,,,"馬連:2,500円 ワイド:07-09=950円 05-07=2,890円 05-09=20,770円",,,,,,,,,,,
"馬単:3,230円 3連複:7,240円 3連単:30,510円",,,,,,,,,,,,"馬単:1,190円 3連複:1,080円 3連単:4,510円",,,,,,,,,,,,"馬単:1,700円 3連複:25,490円 3連単:89,700円",,,,,,,,,,,,"馬単:3,330円 3連複:63,800円 3連単:224,580円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾌﾟﾛｰｽﾞ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｐネオヴァロン, 41,北村宏,, 56,*  1,  -2, 8, 21.0,⑦③③, 1, 5,Ｉロｰレルラスタｰ, 70,横山典,, 81,  11,* 11, 9, 21.7,⑫⑫⑫, 1,16,Ｅシェルビｰ, 79,デムｰ,, 79,   4,  11, 3,  6.3, ⑧⑨,,,,,,,,,,,,
 2, 9,Ｒレッドラウディｰ, 35,内田博, 0.2, 58,  -6,*  9, 3,  7.1,⑬⑫⑫, 2, 1,Ｂジャングルクルｰズ, 80,ムｰア, 0.0, 80,  12,   4, 1,  3.5,⑩⑩⑨, 2, 8,Ｄエデンロック, 79,岩田康, 0.0, 79,   8,   4, 7, 15.5, ③③,,,,,,,,,,,,
 3,14,Ｈスパｰブデイ, 51,武豊  , 0.2, 56,  -2,   2, 1,  2.8,⑥⑧⑧, 3, 6,Ｆアナンジュパス, 74,ウィリ, 0.1, 79,  14,   0, 2,  5.7,④④④, 3,14,Ｎポップジェムズ, 73,ビュイ, 0.0, 81,  -1,* 20,15, 92.4, ⑯⑰,,,,,,,,,,,,
 4, 2,Ｄラインハｰディｰ, 56,横山典, 0.4, 50,*  4, -12, 2,  3.8,③②②, 4,16,Ｇモビｰル, 73,北村宏, 0.1, 80,  14,   0, 4,  7.9,⑨⑨⑥, 4,11,Ａアルバタックス, 81,浜中俊, 0.1, 77,   5,   7, 4, 11.8, ⑥⑥,,,,,,,,,,,,
 5, 4,Ｆエリｰフェアリｰ, 54,後藤浩, 0.5, 52,   0,  -5, 9, 22.9,④⑥⑥, 5, 2,Ｍルイｰザシアタｰ, 66,デムｰ, 0.3, 77,* 15,  -6, 7, 15.2,②③③, 5, 1,Ｐモンストｰル, 71,柴田善, 0.1, 79,   7,   5, 6, 15.1, ⑤④,,,,,,,,,,,,
 6,11,Ａパｰプルセイル, 65,ウィリ, 0.7, 53,  -8,* 10, 4,  9.2,⑱⑯⑮, 6, 3,Ｃコｰラルタワｰ, 78,福永祐, 0.4, 78,  12,   0, 3,  6.6,⑧⑧⑪, 6, 2,Ｃベステゲシェンク, 80,北村宏, 0.2, 78,   3,  11, 2,  3.9, ⑨⑫,,,,,,,,,,,,
 7, 8,Ｏコスモジグ, 41,柴田大, 0.8, 50,   0,  -9,12, 72.7,⑧⑤⑤, 7,11,Ｎマイネルミラノ, 64,柴田大, 0.4, 78,  12,  -2,12, 47.6,⑥⑥⑧, 7,10,Ｌインプロヴァイズ, 73,ムｰア, 0.2, 79,   0,* 16, 8, 16.8, ⑮⑮,,,,,,,,,,,,
 8,18,Ｌキネオメジャｰ, 43,ムｰア, 0.8, 51,  -7,*  5, 7, 16.1,⑪⑭⑭, 8, 7,Ｋヴェリタラブ, 68,柴田善, 0.6, 78,  10,*  5,13, 50.9,⑭⑭⑭, 8, 6,Ｂジョｰオリオン, 81,吉田豊, 0.2, 72,* 28, -34, 9, 19.1, ①①,,,,,,,,,,,,
 9, 6,Ｇテルス, 52,吉田豊, 1.3, 45,  -3, -11,18,258.9,⑫⑨⑨, 9,17,Ｅプライドイズメシア, 75,丸田恭, 0.6, 74,  13,  -8, 6, 11.7,⑤⑤⑤, 9,12,Ｇディｰプサウンド, 77,武豊  , 0.4, 76,   1,  10,11, 40.7, ⑬⑬,,,,,,,,,,,,
10,13,Ｉメイショウカノン, 49,ビュイ, 1.3, 46, -10,   2, 6, 15.4,⑭⑰⑱,10,10,Ｄチャペルプリンセス, 77,内田博, 0.7, 77,  10,*  5, 5,  8.5,⑮⑮⑮,10,13,Ｉフジマサエンペラｰ, 77,田中勝, 0.4, 77,  -1,* 15, 1,  3.1, ⑱⑯,,,,,,,,,,,,
11,17,Ｂブルｰホｰル, 57,横山和, 1.3, 41,*  4, -27,10, 49.5,①①①,11,13,Ｈイレプレイスブル, 70,柴山雄, 0.9, 71,  12,  -9,10, 22.9,⑪⑪⑩,11, 7,Ｆレインフォｰル, 79,横山典, 0.4, 73,  10,  -3, 5, 14.9, ②②,,,,,,,,,,,,
12, 1,Ｍタマユラ, 42,蛯名正, 1.8, 38,*  1, -28, 5, 13.2,②④④,12,15,Ｏテイエムブシドｰ, 63,西田雄, 1.0, 73,  11,  -5,15,101.9,⑬⑬⑬,12, 9,Ｊドラゴンレジェンド, 77,福永祐, 0.4, 75,   4,   5,12, 54.5, ⑦⑧,,,,,,,,,,,,
13,15,Ｑデュｰイ, 37,大野拓, 1.9, 37,  -4, -18,16,204.5,⑩⑪⑪,13,14,Ｊリライブナカヤマ, 69,戸崎圭, 1.7, 66,  14, -22,11, 31.1,⑦⑦⑦,13,18,Ｈサングップ, 77,蛯名正, 0.5, 77,  -3,* 17,16,188.5, ⑰⑱,,,,,,,,,,,,
14,10,Ｊヴリルスタｰ, 46,石橋脩, 1.9, 40,  -8,  -8,14,105.7,⑰⑮⑯,14,12,Ａモンプレジｰル, 83,伊藤工, 1.8, 66,   7,  -5, 8, 19.8,⑰⑯⑯,14, 4,Ｒシャドウウィザｰド, 69,戸崎圭, 0.7, 72,   0,   8,10, 29.0, ⑭⑭,,,,,,,,,,,,
15,16,Ｎマイネウェリナ, 41,嘉藤貴, 1.9, 41,  -9,  -4,17,255.1,⑮⑱⑰,15, 9,Ｌナイトブルｰミング, 68,丸山元, 2.7, 59,* 15, -43,17,136.9,③②②,15, 3,Ｑコスモソウタ, 70,柴田大, 0.8, 72,   4,   0,17,259.3, ⑪⑦,,,,,,,,,,,,
16,12,Ｃミュゼタイフｰン, 57,田中勝, 2.5, 31,  -4, -27,15,109.7,⑨⑩⑩,16, 4,Ｑトゥビｰウィズユｰ, 47,ビュイ, 3.7, 53,   1, -15,14, 65.4,⑯⑰⑰,16,17,Ｋカグニザント, 75,後藤浩, 0.9, 69,   4,  -2,14, 82.8, ⑩⑩,,,,,,,,,,,,
