13年 8月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
17, 9,Ｑマルシゲサクラ, 13,鮫島良, 3.6,  4, -23, -32,18,422.3, ⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11, ティｰエスキセキ,---,国分恭, 8.0,-63, -40, -74,13,210.0, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:不良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:不良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:2),,,,,,,,,,,
単勝:590円 複勝:06=190円 14=410円 01=250円 枠連:780円,,,,,,,,,,,,単勝:780円 複勝:08=180円 03=150円 01=170円 枠連:0円,,,,,,,,,,,,"単勝:220円 複勝:09=120円 08=420円 10=200円 枠連:2,090円",,,,,,,,,,,,"単勝:1,440円 複勝:11=380円 06=780円 02=170円 枠連:9,540円",,,,,,,,,,,
"馬連:3,440円 ワイド:06-14=1,130円 01-06=730円 01-14=1,560円",,,,,,,,,,,,"馬連:1,240円 ワイド:03-08=410円 01-08=600円 01-03=340円",,,,,,,,,,,,"馬連:2,810円 ワイド:08-09=850円 09-10=360円 08-10=1,430円",,,,,,,,,,,,"馬連:25,500円 ワイド:06-11=5,750円 02-11=870円 02-06=1,590円",,,,,,,,,,,
"馬単:6,500円 3連複:9,430円 3連単:56,730円",,,,,,,,,,,,"馬単:3,080円 3連複:1,980円 3連単:12,440円",,,,,,,,,,,,"馬単:4,130円 3連複:4,080円 3連単:24,790円",,,,,,,,,,,,"馬単:44,440円 3連複:18,600円 3連単:209,380円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■11R  芝1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北九州短距離ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｈアｰブル, 37,小牧太,, 47,* -6,*-18, 4,  8.0,③②③, 1,16,Ａインプレショニスト, 70,鮫島良,, 69,   4,* -3, 1,  3.0,⑰⑭⑨, 1,14,Ｅキョウワリベラル, 66,幸英明,, 70,  -2,*  8, 5,  9.7, ④④, 1, 9,Ｂサイレントソニック, 81,武豊  ,, 80,   1,* 21, 5,  8.9, ⑰⑬
 2, 6,Ｄドリｰムジュエリｰ, 43,中井裕, 0.2, 48, -10,*-13, 2,  5.4,⑥⑥②, 2, 8,Ｃオルゲイユ, 67,浜中俊, 0.3, 64,   6,*-12, 2,  5.3,⑤⑤②, 2,10,Ｂキンシザイル, 73,浜中俊, 0.7, 62,  -4,   2, 3,  6.2, ⑤⑤, 2,14,Ｌマッキｰコバルト, 72,太宰啓, 0.0, 82,   6,* 16,14, 83.7, ⑬⑧
 3, 7,Ｆトップザサブライ, 38,国分恭, 0.9, 38,* -4, -33, 9, 68.3,①①①, 3,13,Ｇオｰアンジェリｰナ, 62,国分優, 0.4, 64,   5,*-13, 9, 29.1,⑬⑩⑦, 3, 2,Ｇシゲルアケビ, 63,藤懸貴, 0.8, 61,  -5,   2,10, 76.9, ⑥⑥, 3, 1,Ａリトルゲルダ, 82,川田将, 0.2, 82,* 14,   6, 3,  5.8, ④①
 4,11,Ｂルファルシオン, 45,松山弘, 1.2, 34,  -9, -31, 1,  1.9,④⑤⑦, 4, 6,Ｎマｰティンゴｰルド, 48,森一馬, 0.4, 61,*  7, -20,14,104.6,①①①, 4,12,Ｆヤマニンジェルブ, 64,北村友, 0.8, 61,*  2,  -2, 6, 21.9, ①①, 4, 8,Ｆフレデフォｰト, 77,北村友, 0.4, 74,  -3,* 20,13, 54.5, ⑱⑱
 5, 5,Ｅマルクナッテ, 41,藤懸貴, 1.3, 35, -12, -25, 6, 18.6,⑧⑨⑨, 5,11,Ｆコスモサリｰ, 63,和田竜, 0.6, 61,*  6, -18, 3,  6.1,⑦⑦⑥, 5,13,Ｍエンプレスラブ, 50,鮫島良, 0.9, 61,* -1,  -1, 8, 34.9, ③③, 5,12,Ｐカシノエルフ, 69,藤懸貴, 0.6, 72,   3,  11,16,182.0, ⑯⑰
 6,10,Ｃコウエイユニバｰス, 44,幸英明, 1.3, 35, -12, -26, 5, 11.6,⑨⑧⑥, 6, 4,Ｈラムｰレブルｰ, 61,酒井学, 0.7, 62,   3,*-11, 8, 25.0,⑭⑯⑬, 6, 9,Ａエｰシングリズリｰ, 73,和田竜, 1.0, 59,  -8,   2, 1,  2.2, ⑨⑧, 6, 5,Ｊシゲルスダチ, 76,藤岡康, 0.6, 76,  11,   5, 8, 15.4, ⑩③
 7, 4,Ｇリベリオン, 37,和田竜, 1.6, 31,  -8, -38, 8, 23.6,⑤④④, 7, 5,Ｂマコトエクサルシス, 69,岩崎翼, 0.8, 58,   5, -20, 4,  6.4,⑥⑥⑧, 7, 3,Ｃリッシンロケット, 68,藤岡康, 1.0, 60,  -5,   1, 2,  4.3, ⑦⑦, 7, 7,Ｋメイショウツガル, 75,幸英明, 0.8, 71,   3,   8, 6, 11.3, ⑮⑯
 8, 3,Ｎキョウワコクリコ, 18,太宰啓, 1.6, 35, -20,*-14,12,269.9,⑭⑬⑩, 8,17,Ｏメイショウカルマン, 48,熊沢重, 1.1, 57,   2, -17,16,247.3,⑮⑰⑫, 8, 5,Ｈドンマネｰ, 60,中井裕, 1.1, 59,  -8,   1, 7, 27.6, ⑧⑩, 8,11,Ｇビキニブロンド, 77,浜中俊, 0.8, 74,  13,  -1, 1,  3.9, ⑦⑩
 9,13,Ｉモウイイデショウ, 37,高倉稜, 1.6, 31,* -6, -41, 7, 22.2,②③⑤, 9, 1,Ｅキクヒメ, 66,高田潤, 1.1, 56,   5, -23, 6, 12.6,⑩⑧⑪, 9, 4,Ｉミニ, 59,高倉稜, 1.2, 55, -10,   1, 9, 55.9, ⑩⑨, 9,18,Ｄメイショウイザヨイ, 80,武幸四, 0.9, 73,  13,  -2, 4,  7.6, ⑨⑦
 9,12,Ａパラディドル, 47,北村友, 1.6, 32, -10, -33, 3,  6.4,⑦⑦⑧,10,14,Ｋテイエムレオネッサ, 55,中井裕, 1.2, 55,*  6, -29,11, 44.1,④④⑤,10, 7,Ｊウォｰタｰメジャｰ, 58,国分恭, 1.4, 53, -19,*  6,14,343.6, ⑭⑬,10,17,Ｑエトピリカ, 68,酒井学, 0.9, 71,  10,   1,15,104.6, ⑫⑪
11,14,Ｊカシノバル, 36,大下智, 2.2, 27, -17, -26,13,284.0,⑬⑩⑪,11,12,Ｄソリｰソアンジェロ, 66,太宰啓, 1.6, 51,*  6, -34, 7, 15.7,③③④,11, 1,Ｄレイナチャｰム, 66,熊沢重, 1.4, 58,  -2,  -5, 4,  7.4, ②②,11,13,Ｈミヤジエムジェイ, 77,和田竜, 1.0, 70,  10,  -1, 7, 13.0, ⑪⑭
12, 8,Ｍプレイズペスカ, 24,森一馬, 2.4, 26, -19, -26,11,214.8,⑪⑫⑫,12, 3,Ｊマノアラニ, 56,幸英明, 1.9, 50,   4, -33,10, 34.2,⑨⑪⑩,12, 6, ホイップクリｰム,---,岡田祥, 1.5, 53, -15,   3,13,265.7, ⑬⑫,12,15,Ｉサザンブレイズ, 77,中井裕, 1.0, 73,* 15,  -6,10, 32.0, ③⑤
13, 9,Ｋカシノピカロ, 30,酒井学, 3.4, 18, -20, -39,14,291.0,⑫⑭⑬,13, 7,Ｉウインマルゲリｰタ, 59,高倉稜, 1.9, 50,   2, -27,15,120.5,⑯⑮⑰,13,11,Ｌエスケイティアラ, 55,水口優, 2.2, 46, -10,  -8,12,223.9, ⑫⑭,13, 2,Ｒオウケンハナミズキ, 63,水口優, 1.0, 68,   2,   7,17,197.6, ⑭⑫
14, 1,Ｌクリノハイスバル, 27,国分優, 4.9, -6, -19, -62,10, 86.8,⑩⑪⑭,14,10,Ｌリリｰトゥモロｰ, 55,藤懸貴, 2.1, 48,   4, -34,13,103.9,⑪⑬⑭,14, 8,Ｋクラウンエンビｰ, 57,酒井学, 2.6, 42, -11, -10,11,123.9, ⑪⑪,14, 4,Ｃアンバルブライベン, 80,田中健, 1.2, 69,* 15,  -9, 2,  5.8, ①②
,,,,,,,,,,,,15, 2,Ｑルリビタキ, 38,北村友, 2.3, 47,   4, -37,12, 65.5,⑫⑫⑮,,,,,,,,,,,,,15, 3,Ｅメイショウハガクレ, 79,松山弘, 1.3, 67,  13,  -7,12, 37.2, ⑤④
,,,,,,,,,,,,16, 9,Ｍマイカｰニバル, 52,藤岡康, 2.4, 45,*  6, -45, 5, 10.6,②②③,,,,,,,,,,,,,16,16,Ｏケンブリッジエル, 69,川島信, 1.4, 65,  11,  -7,18,472.8, ⑧⑮
,,,,,,,,,,,,17,15,Ｒロゼプレミアム, 37,岡田祥, 3.2, 39,  -1, -40,17,328.5,⑱⑱⑱,,,,,,,,,,,,,17, 6,Ｍテイエムタイホｰ, 71,高倉稜, 1.4, 65,  11,  -7,11, 34.2, ⑥⑨
,,,,,,,,,,,,18,18,Ｐワキノグレｰス, 41,水口優, 3.3, 40,   5, -54,18,563.2,⑧⑨⑯,,,,,,,,,,,,,18,10,Ｎヤマニンパピオネ, 70,小牧太, 2.4, 54,* 15, -24, 9, 24.5, ②⑥
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:不良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:不良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:2),,,,,,,,,,,
"単勝:800円 複勝:02=230円 06=210円 07=1,100円 枠連:1,140円",,,,,,,,,,,,単勝:300円 複勝:16=150円 08=190円 13=700円 枠連:700円,,,,,,,,,,,,"単勝:970円 複勝:14=290円 10=200円 02=1,050円 枠連:500円",,,,,,,,,,,,"単勝:890円 複勝:09=310円 14=1,840円 01=240円 枠連:2,440円",,,,,,,,,,,
"馬連:1,560円 ワイド:02-06=530円 02-07=3,660円 06-07=2,950円",,,,,,,,,,,,"馬連:750円 ワイド:08-16=360円 13-16=1,660円 08-13=1,980円",,,,,,,,,,,,"馬連:2,800円 ワイド:10-14=780円 02-14=4,600円 02-10=3,100円",,,,,,,,,,,,"馬連:39,870円 ワイド:09-14=9,910円 01-09=920円 01-14=9,450円",,,,,,,,,,,
"馬単:3,340円 3連複:16,590円 3連単:104,310円",,,,,,,,,,,,"馬単:1,240円 3連複:5,820円 3連単:17,820円",,,,,,,,,,,,"馬単:6,740円 3連複:33,270円 3連単:171,140円",,,,,,,,,,,,"馬単:61,360円 3連複:87,230円 3連単:573,980円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,八幡特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａロケットダッシュ, 71,松山弘,, 74,*  6,*  6, 1,  2.0, ①①, 1, 9,Ｃトウカイインパルス, 66,幸英明,, 65,*  6,  -7, 1,  2.1,②②②, 1, 2,Ｃアグネスキズナ, 72,武豊  ,, 74,* 11,  -2, 4,  6.2, ①①, 1,13,Ｄナンヨｰカノン, 78,藤懸貴,, 78,* 12,   5, 4,  7.9,②②②
 2,12,Ｂオｰネットサクセス, 68,鮫島良, 0.9, 66,   2,   1, 2,  3.6, ④④, 2,10,Ｂメイショウヨウコウ, 68,武幸四, 0.2, 69,   3,* -2, 7, 19.6,⑬⑫⑦, 2, 6,Ｅヒｰラ, 70,中井裕, 0.0, 76,*  8,   2, 9, 35.7, ③③, 2, 8,Ｏブライトアイディア, 52,藤岡康, 0.2, 78,* 12,   4, 5,  8.8,①①①
 3, 1,Ｅオリエンタルエッグ, 59,国分優, 1.3, 61,*  4,  -4, 9, 47.3, ②②, 3,12,Ａソンブレロ, 69,鮫島良, 0.6, 64,   2,* -4, 6, 13.1,⑫⑬⑪, 3, 3,Ｂエｰシンサファイア, 76,藤岡康, 0.1, 73,*  7,   1, 2,  4.3, ④⑤, 3, 3,Ｂエイコｰンパス, 78,川田将, 0.2, 79,  11,*  7, 2,  4.1,⑨⑦⑥
 4, 6,Ｄウォｰタｰチュｰン, 64,川田将, 1.4, 60,  -1,  -2, 3,  7.5, ⑤⑤, 4, 4,Ｅマンハッタンケイ, 64,国分優, 0.6, 61,   4,  -7, 4, 10.3,⑧⑧⑤, 4, 8,Ｑスイｰトドｰナッツ, 56,幸英明, 0.1, 74,  -2,* 10,12, 66.6, ⑬⑩, 4, 2,Ｅフｰラブライド, 76,酒井学, 0.2, 79,   9,* 10, 6,  9.6,⑪⑧⑦
 5, 4,Ｍタイキアセンブリｰ, 36,幸英明, 1.4, 59,  -4,   0, 7, 42.0, ⑥⑥, 5, 3,Ｊミッキｰピオｰネ, 56,北村友, 0.7, 60,   0,* -2, 9, 43.7,⑭⑭⑫, 5,13,Ｍライブリシュネル, 61,酒井学, 0.2, 72,  -5,* 11,14,138.6, ⑮⑫, 5,10,Ｇサｰランスロット, 74,中井裕, 0.2, 80,  11,   6, 7, 12.9,⑤④③
 6,10,Ｃハッピｰチャｰト, 64,中井裕, 1.5, 58,  -7,   0, 4,  8.4, ⑨⑨, 6, 6,Ｉサトノエクセル, 60,浜中俊, 0.7, 60,   4, -10, 3,  8.4,④⑤③, 6, 7,Ｉエｰティｰガンダム, 67,水口優, 0.3, 71,   1,   5,18,307.6, ⑧⑦, 6, 1,Ｍナンゴクユニバｰス, 60,国分優, 1.0, 73,   7,*  8,14,180.7,⑮⑭⑨
 7, 2,Ｉバンブｰバッジョ, 50,和田竜, 1.5, 55, -17,*  7, 5, 13.7, ⑪⑩, 7,11,Ｐアイボリｰベｰジュ, 41,和田竜, 2.6, 48,*  5, -27,15,360.7,③③⑥, 7,17,Ｌコアレスドラゴン, 62,浜中俊, 0.4, 69, -10,* 14, 7, 29.7, ⑱⑱, 7, 7,Ｉレッドグルｰヴァｰ, 67,高田潤, 1.2, 70,  11,  -2, 8, 16.3,⑥⑤④
 8, 5,Ｆアマストレ, 58,藤懸貴, 1.5, 57,  -8,   1,10, 90.4, ⑧⑧, 8, 1,Ｆシｰクレットレシピ, 64,藤岡康, 2.6, 49,   5, -26, 2,  4.5,⑥⑥④, 8, 1,Ｆメイショウムロト, 69,和田竜, 0.6, 67,   3,  -2, 8, 34.2, ⑥④, 8, 6,Ｊエクチュア, 66,幸英明, 1.3, 72,   8,   3,13, 91.8,⑯⑬⑩
 9,11,Ｈニシオキボオト, 52,佐久間, 2.1, 52,   2, -10, 8, 45.9, ③③, 9, 2,Ｍワンダｰプロフィｰ, 50,岩崎翼, 2.7, 46,   3, -26,13,206.9,⑩⑨⑩, 9,11,Ｄキタサンエピソｰド, 71,川田将, 0.6, 67,* 11, -10, 3,  4.4, ②②, 9, 4,Ｈタツグレｰト, 71,国分恭, 1.4, 70,   8,   2,12, 86.9,⑧⑩⑧
10, 7,Ｇヤマニンエトレンヌ, 56,熊沢重, 2.4, 51,  -4, -10, 6, 16.4, ⑦⑦,10, 5,Ｄワイドマンボ, 65,松山弘, 2.8, 45,   3, -25, 5, 12.1,⑪⑪⑬,10,15,Ｎテラノココロ, 60,北村友, 0.6, 69,  -5,   8,10, 43.5, ⑰⑯,10, 5,Ｃライオンズバイツ, 78,武豊  , 1.6, 70,   8,   0, 1,  3.4,⑫⑪⑪
11,13,Ｌパｰプルチャペル, 39,太宰啓, 3.0, 41, -16,  -8,13,332.8, ⑬⑬,11,15,Ｇアラタシャチョウ, 63,岡田祥, 2.9, 45,   4, -29,12, 66.8,⑦⑦⑨,11,14,Ｇイントゥザストｰム, 69,武幸四, 0.6, 69,   0,   3, 6, 20.6, ⑫⑨,11,11,Ｆタガノギャラクシｰ, 75,小牧太, 2.1, 64,* 11, -11, 3,  7.7,⑦③⑤
12, 8,Ｋシゲルサソリザ, 41,小牧太, 3.1, 40, -15,  -8,12,232.5, ⑫⑫,12, 8,Ｈホッコｰアムｰル, 61,川島信, 3.3, 43,*  6, -35,10, 45.7,①①①,12,16,Ａジｰピｰクロス, 77,小牧太, 0.9, 63,   6,  -9, 1,  3.8, ⑤⑥,12, 9,Ｌテｰオｰフェアリｰ, 62,高倉稜, 2.9, 58,   7, -10,15,213.9,⑬⑮⑭
13, 9,Ｊツカサリバティｰ, 46,高倉稜, 3.2, 38, -11, -12,14,507.4, ⑩⑪,13,14,Ｋオンワｰドナルシス, 56,酒井学, 3.8, 40,*  5, -38, 8, 39.2,⑤④⑧,13,10,Ｋアイファｰハイカラ, 63,高倉稜, 0.9, 63,   3,  -6,15,155.6, ⑦⑧,13,12,Ａスピリットレイク, 79,熊沢重, 4.6, 52,   9, -28, 9, 21.8,⑩⑨⑫
14, 3,Ｎアグネスサクシｰド, 35,森一馬, 3.4, 36, -19,  -9,11,225.6, ⑭⑭,14, 7,Ｎポワドサントゥｰル, 49,太宰啓, 5.0, 35,  -4, -31,14,334.2,⑯⑯⑯,14, 4,Ｈキネオリュウセイ, 67,松山弘, 1.0, 62,   1,  -5, 5,  7.2, ⑨⑪,14,16,Ｎメイショウギリシャ, 55,岡田祥, 4.8, 46,   5, -24,16,505.4,⑭⑯⑮
