13年12月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年12月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
 9, 3,Ｋライクアラヴァｰ, 41,原田和, 1.6, 45,  -2, -12,15,237.8, ④③, 9,17,Ａアサカラヴァｰズ, 60,杉原誠, 0.7, 54,   0,  -6, 6, 18.4, ④⑤, 9, 7,Ｆボｰイフレンド, 72,大下智, 0.9, 68,   2,  -4,10, 14.1,②②②, 9,14,Ｏメイショウオトコギ, 71,秋山真, 1.9, 72,   4,   6,13,135.3,⑦⑥⑦
10, 1,Ｎスイｰトノエル, 28,丸田恭, 1.9, 41, -15,  -1, 8, 38.2, ⑫⑩,10,13,Ｍシゲルオワリ, 44,菱田裕, 0.9, 52,  -1,  -7,12,100.1, ⑥⑦,10, 2,Ｋマンノアクトレス, 71,菱田裕, 0.9, 78,  -8,  18, 8, 12.9,⑰⑯⑯,10,13,Ｌレジアｰネ, 75,川須栄, 1.9, 76,   0,  14,11, 64.3,⑭⑬⑬
11,12,Ｌトミケンユオスタ, 31,川須栄, 1.9, 43, -12,  -5,16,295.6, ⑨⑨,11, 9,Ｑテイエムサンキュウ, 35,松山弘, 1.0, 51,  -8,  -1,17,360.5, ⑩⑫,11, 8,Ｊショウナンカリｰノ, 71,平野優, 1.1, 69,  -2,   2,16, 65.5,⑥⑥⑥,11,11,Ｉトウカイノｰマル, 76,古川吉, 2.0, 74,   2,   8,14,215.6,⑧⑧⑧
12, 2,Ｍザナイトビフォｰ, 28,高倉稜, 2.3, 38, -23,   3,10, 87.2, ⑯⑭,12, 3,Ｋアｰトプリズム, 46,中舘英, 1.2, 48, -17,   4, 8, 56.1, ⑯⑯,12,12,Ｐハドソンシチｰ, 65,水口優, 1.2, 74,  -6,  12,17,110.5,⑬⑫⑫,12, 9,Ｋモンシュシュ, 75,松田大, 2.1, 69,*  5,   2, 6, 14.0,④④④
13, 9,Ｈエイシンオｰキッド, 50,中井裕, 2.4, 39, -15,  -7, 7, 23.9, ⑪⑫,13, 6,Ｏジョウショｰベガ, 40,原田敬, 1.2, 48,   1, -12,16,281.2, ⑤④,13, 1,Ｄテイエムオペラドン, 73,藤懸貴, 1.2, 73,  -8,  14, 7, 11.6,⑫⑭⑮,13, 6,Ｅキャッツインブｰツ, 81,国分恭, 2.3, 71,  -1,  13, 9, 40.3,⑮⑭⑭
14, 8,Ｏオｰミハンコック, 26,藤懸貴, 2.6, 36, -14,  -8,13,148.3, ⑩⑪,14, 4,Ｈシゲルサツマ, 53,原田和, 1.2, 48,  -1, -11, 9, 60.6, ⑦⑥,14,17,Ｏレッドストラｰダ, 65,原田和, 1.3, 58,* 19, -52,14, 43.2,①①①,14, 4,Ｇハギノコメント, 79,横山和, 2.4, 71,  -3,  15, 7, 21.2,⑬⑮⑮
15,14,Ｊスリｰチアサウス, 42,菱田裕, 3.2, 30, -20,  -9, 9, 49.9, ⑭⑮,15, 1,Ｄヴァッフシュテルケ, 56,高倉稜, 1.4, 45,*  3, -18, 4,  8.4, ①①,15, 9,Ｅナムララオウ, 73,城戸義, 1.4, 68,  -6,   5, 9, 14.0,⑧⑩⑪,15,15,Ｍコスモイフリｰト, 74,三浦皇, 3.1, 64,   2,   1,15,236.8,⑪⑩⑩
16, 7,Ｐクニサキキャメロン, 19,鮫島良, 3.2, 32, -23,  -6,14,199.4, ⑮⑯,16, 5,Ｇパイレｰトクイｰン, 53,横山和, 1.5, 43,  -7,  -9, 2,  4.8, ⑫⑪,16,16,Ｑダブルウォｰ, 64,花田大, 1.7, 65,  -7,   4,15, 51.6,⑭⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,17, 7,Ｌアップルシェア, 45,岩崎翼, 2.1, 35,*  3, -27,10, 81.7, ②②,17, 3,Ｒシゲルフクシュニン, 17,原田敬, 4.0, 38,  -6, -31,18,354.3,⑩⑨⑩,,,,,,,,,,,,
,,,,,,,,,,,,18,10,Ｒカシノトロピカル, 23,伴啓太, 2.3, 34, -24,  -2,18,779.7, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,
単勝:420円 複勝:16=150円 04=130円 13=160円 枠連:490円,,,,,,,,,,,,単勝:220円 複勝:18=120円 02=830円 15=190円 枠連:530円,,,,,,,,,,,,単勝:480円 複勝:04=190円 14=260円 11=280円 枠連:870円,,,,,,,,,,,,"単勝:180円 複勝:08=110円 07=220円 05=1,330円 枠連:600円",,,,,,,,,,,
馬連:600円 ワイド:04-16=300円 13-16=350円 04-13=340円,,,,,,,,,,,,"馬連:5,160円 ワイド:02-18=1,560円 15-18=290円 02-15=3,590円",,,,,,,,,,,,"馬連:1,410円 ワイド:04-14=530円 04-11=1,010円 11-14=1,440円",,,,,,,,,,,,"馬連:760円 ワイド:07-08=400円 05-08=2,460円 05-07=11,400円",,,,,,,,,,,
"馬単:1,170円 3連複:1,120円 3連単:6,170円",,,,,,,,,,,,"馬単:7,020円 3連複:8,530円 3連単:42,770円",,,,,,,,,,,,"馬単:2,600円 3連複:6,540円 3連単:30,040円",,,,,,,,,,,,"馬単:1,150円 3連複:27,380円 3連単:63,970円",,,,,,,,,,,
■ 2R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  ダ1900m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浜松ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｊセルリアンサｰロス, 68,丸田恭,, 74,   8,* 11, 9, 36.1,⑬⑬⑬, 1,14,Ｄトライアゲイン, 59,三浦皇,, 62,  -4,* 11, 3,  5.3,⑪⑨⑩, 1,10,Ｆケイジｰタイタン, 67,岩部純,, 72,*  0,  12, 3,  5.4,②②②, 1,17,Ａネオウィズダム, 89,後藤浩,, 83,* 17,  10, 2,  4.4, ④④
 2,15,Ｆサダルメリク, 73,中村将, 0.2, 74,  14,  -2,10, 55.6,④④④, 2, 5,Ｂアカネイロ, 62,勝浦正, 0.1, 59,* -1,   3, 1,  2.9,⑤④⑤, 2, 5,Ｂフィｰユブルｰ, 76,三浦皇, 0.3, 71,*  0,  10, 2,  5.3,③③③, 2, 4,Ｊウイングザムｰン, 80,秋山真, 0.0, 83,  12,* 16, 1,  3.4, ⑧⑧
 3,14,Ｂマルカリョウマ, 76,国分恭, 0.3, 73,  11,   2, 5,  7.6,⑫⑧⑧, 3, 2,Ａオカホンコｰ, 63,秋山真, 0.8, 51,* -1,  -7, 2,  3.4,④⑤④, 3, 8,Ｃオメガラヴィｰタ, 73,松山弘, 0.3, 72,   0,  13, 6,  9.4,⑤④④, 3,12,Ｄマイネボヌｰル, 87,三浦皇, 0.1, 83,   9,* 19, 4,  8.3, ⑬⑭
 4, 3,Ｄデスティニｰシチｰ, 73,秋山真, 0.7, 71,  11,  -1, 1,  4.3,⑦⑦⑦, 4, 9,Ｍスカイゴｰルド, 38,松山弘, 0.9, 50,  -3,  -6, 6, 20.3,⑥⑥⑥, 4, 3,Ａマックスロノ, 78,吉田隼, 0.6, 71,  -3,* 14, 4,  6.2,⑩⑪⑫, 4, 9,Ｅセイクレットレｰヴ, 85,吉田隼, 0.3, 81,  11,  15, 5,  8.7, ⑭⑪
 5, 1,Ｍマルマロス, 63,柴山雄, 0.8, 71,   8,*  3,12,125.8,⑪⑫⑫, 5, 6,Ｃライトパｰプル, 61,高倉稜, 0.9, 52,  -5,   2, 9, 52.1,⑨⑪⑪, 5, 6,Ｇアイアムライジング, 66,中舘英, 0.9, 66,  -1,   6, 7, 13.0,⑥⑤⑤, 5, 5,Ｉアルマリンピア, 81,丸田恭, 0.3, 79,  12,  13,11, 54.2, ⑥⑦
 6, 6,Ａミッキｰクリスエス, 78,北村友, 0.9, 70,  10,  -1, 4,  6.3,⑧⑨⑨, 6, 1,Ｊウインバレリｰナ, 44,菱田裕, 1.3, 49,  -6,  -2,12,109.0,⑫⑬⑫, 6, 1,Ｋセプテントリオ, 60,中井裕, 1.0, 70,  -2,  10, 5,  8.6,⑦⑩⑨, 6, 3,Ｇロｰドガルｰダ, 84,中井裕, 0.4, 80,  12,  12, 3,  6.3, ⑨⑨
 7, 4,Ｃツヨシノブルｰム, 74,川島信, 1.0, 68,* 17, -16, 8, 23.6,①①①, 7,13,Ｋカウガｰルブルｰス, 43,藤懸貴, 1.4, 48,  -8,   1,13,134.2,⑬⑭⑭, 7, 9,Ｈワンダｰバライル, 65,水口優, 1.0, 72,  -4,* 14,12, 99.5,⑫⑫⑪, 7,14,Ｃタｰフェル, 87,荻野琢, 0.4, 79,   8,* 18, 7, 19.2, ⑮⑯
 8,12,Ｌフリｰクエンシｰ, 64,水口優, 1.2, 68,* 16, -16, 7, 20.9,②②②, 8,10,Ｌレデントｰレ, 42,丸田恭, 1.4, 45,  -2, -11,10, 82.0,⑦⑧⑦, 8,11,Ｊドラグレスク, 60,伴啓太, 1.2, 63,*  1,   1,10, 56.0,①①①, 8, 6,Ｆネオザウイナｰ, 84,松山弘, 0.4, 79,  13,  10, 6,  9.1, ⑦⑥
 9, 2,Ｇファイブタブレット, 71,三浦皇, 1.4, 65,  14, -13, 2,  4.4,③③③, 9, 8,Ｆマイネルアミｰクス, 53,中井裕, 1.5, 45,* -1, -18, 4,  6.5,③③③, 9,12,Ｄタイセイグルｰヴィ, 71,松田大, 1.4, 64,  -2,   6, 1,  3.4,⑨⑧⑥, 9,11,Ｋメジロツボネ, 80,横山和, 0.5, 76,* 20,   1,13,113.4, ②②
10, 9,Ｋベリベリハッピｰ, 65,杉原誠, 1.7, 64,   9,  -7,14,362.7,⑨⑪⑪,10, 3,Ｈエイシンドルチェ, 49,後藤浩, 1.5, 44,*  0, -19, 7, 24.8,②②②,10, 2,Ｉヒミノオオタカ, 64,岡田祥, 1.6, 63,  -2,   5, 9, 30.2,⑧⑨⑩,10,16,Ｍアンヴァルト, 78,菱田裕, 0.6, 76,  16,   5, 9, 23.5, ⑤⑤
11,11,Ｈキョウエイショウリ, 69,吉田隼, 1.7, 67,   5,   2,13,139.1,⑮⑭⑭,11,11,Ｉミュｰラルクラウン, 45,北村友, 1.5, 46,  -3, -12, 5, 10.7,⑧⑦⑧,11, 7,Ｅロｰレルキングダム, 67,柴山雄, 1.7, 61,  -1,   2, 8, 16.9,⑪⑦⑦,11,10,Ｈトゥザサミット, 82,上村洋, 0.6, 77,  11,  11,12, 88.6, ⑩⑫
12, 8,Ｅエｰシンユリシｰズ, 73,川須栄, 1.8, 65,   9,  -8, 3,  4.7,⑩⑩⑩,12, 7,Ｅピエナダイヤ, 57,古川吉, 1.8, 42,  -7,  -8,14,189.4,⑭⑫⑬,12, 4, リンノナイナｰズ,---,古川吉, 2.5, 58,  -1,  -5,11, 83.6,④⑥⑧,12,13,Ｑペルレンケッテ, 72,北村友, 0.6, 77,   9,  12, 8, 22.9, ⑯⑮
13, 5,Ｉドリｰムリｰグ, 69,原田和, 1.8, 63,  12, -13,11,115.6,⑤⑤⑤,13,12,Ｎヤマニンボレアル, 36,伊藤工, 2.1, 38,  -4, -18,11, 86.6,⑩⑩⑨,,,,,,,,,,,,,13, 8,Ｒシｰギリヤガｰル, 71,丸山元, 0.8, 74,  16,   1,15,120.3, ③③
14, 7,Ｎツクバインドラ, 55,後藤浩, 2.9, 55,  12, -22, 6,  7.8,⑥⑥⑥,14, 4,Ｇスプリｰムサンダｰ, 50,横山和, 2.7, 31,*  0, -38, 8, 38.8,①①①,,,,,,,,,,,,,14,15,Ｌオｰルブランニュｰ, 79,水口優, 0.8, 75,   5,  15,14,114.4, ⑱⑱
15,13,Ｏハイランドコンドル, 48,伴啓太, 3.9, 52,   3, -13,15,407.0,⑭⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｐカゼノグッドボｰイ, 72,黛弘人, 0.9, 73,  11,   8,17,236.2, ⑫⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｎクレバｰサンデｰ, 73,武幸四, 1.1, 72,   7,  10,16,145.6, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 2,Ｂオｰスミイｰジｰ, 88,川須栄, 1.2, 70,   9,   5,10, 37.6, ⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｏリッカアリュｰル, 73,岡田祥, 2.0, 59,* 21, -21,18,441.1, ①①
ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:4),,,,,,,,,,,
"単勝:3,610円 複勝:10=940円 15=1,400円 14=290円 枠連:7,960円",,,,,,,,,,,,単勝:530円 複勝:14=140円 05=120円 02=140円 枠連:870円,,,,,,,,,,,,単勝:540円 複勝:10=200円 05=170円 08=250円 枠連:760円,,,,,,,,,,,,単勝:440円 複勝:17=210円 04=150円 12=230円 枠連:570円,,,,,,,,,,,
"馬連:97,520円 ワイド:10-15=19,480円 10-14=2,730円 14-15=4,090円",,,,,,,,,,,,馬連:960円 ワイド:05-14=380円 02-14=380円 02-05=230円,,,,,,,,,,,,"馬連:1,230円 ワイド:05-10=440円 08-10=760円 05-08=700円",,,,,,,,,,,,馬連:980円 ワイド:04-17=440円 12-17=670円 04-12=510円,,,,,,,,,,,
"馬単:190,440円 3連複:172,860円 3連単:1,176,420円",,,,,,,,,,,,"馬単:2,260円 3連複:1,030円 3連単:6,990円",,,,,,,,,,,,"馬単:2,660円 3連複:3,390円 3連単:15,000円",,,,,,,,,,,,"馬単:1,870円 3連複:2,320円 3連単:10,250円",,,,,,,,,,,
■ 3R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三方ヶ原特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａオビｰディエント, 76,秋山真,, 70,  -3,* 11, 1,  1.8, ⑦⑤, 1, 6,Ｊディオｰサシチｰ, 65,岩崎翼,, 72,   5,   2, 6, 14.6,②⑤④, 1,16,Ｏエリアコンプリｰト, 42,北村友,, 67,   8,   3,14, 42.6, ⑤④, 1,15,Ａアｰルデュラン, 82,三浦皇,, 90, -13,* 31, 1,  2.7,⑫⑪⑫
 2,11,Ｃヒショウ, 72,大庭和, 0.1, 70,  -2,   9, 4, 12.2, ⑤⑥, 2, 1,Ｈエンドレスラヴ, 68,柴山雄, 0.2, 70,*  7,  -2, 7, 28.5,①①①, 2, 1,Ａシｰクレットアｰム, 70,丸田恭, 0.3, 62,   0,   7, 8, 15.7, ⑨⑨, 2, 7,Ｄアルマディヴァン, 74,吉田隼, 0.3, 79,* -6,  15, 5,  8.8,②②②
 3, 6,Ｏメテオｰラビアンカ, 62,横山和, 0.3, 67,  -5,* 10,13, 87.8, ⑪⑪, 3, 5,Ｅクロカミノオトメ, 70,丸山元, 0.8, 66,   5,  -4, 2,  4.6,⑤⑥⑥, 3, 3,Ｂキタサンウンリュｰ, 70,松山弘, 0.3, 63,   0,   7, 1,  4.6, ⑩⑩, 3,10,Ｃユッカマウンテン, 78,後藤浩, 0.7, 79, -10,  18, 2,  4.9,⑧⑩⑨
 4, 4,Ｆビットアレグロ, 70,柴山雄, 0.4, 67,  -6,* 10, 8, 27.8, ⑫⑫, 4, 4,Ｃアプレレクｰル, 72,岡田祥, 0.9, 69,  -4,* 14, 3,  6.4,⑫⑭⑭, 4,15,Ｃグリｰディｰボス, 70,藤懸貴, 0.3, 64,   0,   7, 7, 15.1, ⑪⑪, 4,12,Ｏマイネルイルミナル, 59,中井裕, 0.7, 78, -10,  17,12, 68.7,⑨⑧⑧
 5, 9,Ｇリッシンロケット, 69,後藤浩, 0.4, 66,  -5,  10, 5, 12.5, ⑩⑨, 5, 2,Ｆアンジェラスベル, 69,松山弘, 1.0, 65,   5,  -6, 8, 34.6,④④③, 5, 4,Ｄモリトブイコｰル, 69,横山和, 0.4, 63,   5,   2, 2,  4.7, ⑥⑤, 5, 2,Ｊマイネルコランダム, 67,丸山元, 0.8, 80, -14,* 24,11, 56.9,⑯⑯⑮
 6, 7,Ｄヴィジャイ, 71,松山弘, 0.5, 65,  -1,   3, 6, 17.3, ③③, 6,11,Ｄスピカシチｰ, 70,中井裕, 1.1, 68,   2,   0, 9, 34.7,⑩⑧⑧, 6, 9,Ｇクリスワｰルド, 67,鮫島良, 0.4, 65,* 12,  -5, 9, 17.2, ①①, 6,11,Ｇアメリカンダイナｰ, 71,北村友, 1.0, 76, -13,  18, 7, 17.1,⑪⑬⑭
 7,14,Ｊメイショウツバクロ, 67,武幸四, 0.7, 66,*  2,  -2, 2,  6.4, ①①, 7, 9,Ｂラブミｰニキｰタ, 74,伴啓太, 1.1, 66,  -1,   6, 4, 11.1,⑬⑩⑨, 7, 8,Ｉヴェアデイロス, 63,中井裕, 0.4, 65,  -1,   9, 5, 11.8, ⑫⑫, 7,13,Ｎカレンデイムｰン, 64,松山弘, 1.0, 71,* -7,   8,13, 71.5,④③③
 8, 3,Ｉフェアリｰガｰデン, 67,花田大, 0.8, 64,  -3,   3,12, 81.3, ⑥⑧, 8, 3,Ａエｰシンルクソｰル, 79,城戸義, 1.4, 62,*  7, -12, 1,  2.1,③②②, 8,11,Ｈデンコウリョウ, 65,岡田祥, 0.6, 61, -10,* 14,13, 29.3, ⑭⑭, 8, 1,Ｉイエスミｰトゥｰ, 68,鮫島良, 1.0, 72,  -9,  10, 9, 52.9,⑥④④
 9, 1,Ｌスリｰロビンソン, 66,川島信, 1.0, 64, -10,* 11,16,336.8, ⑯⑯, 9, 8,Ｉヴェリｰヌ, 67,三浦皇, 1.6, 63,  -3,   6,11, 87.5,⑭⑬⑪, 9,14,Ｊレガリアシチｰ, 59,川島信, 0.7, 61,* 10,  -6,12, 21.2, ③③, 9, 3,Ｈロングシャドウ, 70,勝浦正, 1.0, 76, -13,  18, 6, 10.4,⑭⑫⑬
10, 8,Ｋムｰンベックカフェ, 66,小野寺, 1.0, 62,  -9,   8,15,287.8, ⑮⑮,10,10,Ｇテイケイフロックス, 68,菱田裕, 1.7, 59,*  6, -13, 5, 11.2,⑥③⑤,10, 7,Ｍパｰプルバｰン, 51,中谷雄, 1.1, 56, -16,* 16, 3,  8.1, ⑮⑮,10, 4,Ｅサンキストロｰド, 74,国分恭, 1.2, 66,* -5,   1, 4,  8.1,①①①
11,12,Ｐパスティ, 46,古川吉, 1.0, 63,*  1,  -2, 9, 29.7, ②②,11,13,Ｍブロンドヒロイン, 60,吉田隼, 1.9, 61,   3,  -7,10, 37.7,⑧⑦⑦,11, 2,Ｋトミケンフィアブル, 55,柴山雄, 1.2, 56,  -6,   5,11, 18.5, ⑬⑬,10, 9,Ｆリアルフレア, 71,横山和, 1.2, 73, -15,  20, 8, 46.5,⑮⑮⑯
12,15,Ｅセフティオリビエト, 71,菱田裕, 1.1, 60,  -4,   1, 3,  7.3, ⑨⑩,12,14,Ｋネオザスティング, 61,秋山真, 2.8, 55,  -1,  -8,12,145.3,⑨⑨⑩,12,13,Ｌアヴェンタドｰル, 52,川須栄, 1.2, 56,   3,  -3, 4,  8.7, ⑧⑦,12, 5,Ｂダイナミックウオｰ, 78,川須栄, 1.4, 68, -11,  10, 3,  5.7,⑩⑨⑪
