13年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,, 9, 1,Ｃポントマイコ, 59,川須栄, 1.0, 55,*  7, -13, 1,  2.2, ①①, 9, 8,Ｉタイソンバロｰズ, 60,菱田裕, 3.9, 57,   1,  -9,10,119.9,⑦⑨⑨, 9, 3,Ｉラストタキオン, 65,川須栄, 1.8, 63,* 10, -22, 1,  2.5,②②③
,,,,,,,,,,,,10,10,Ｋスｰサンタイガｰ, 42,上村洋, 1.1, 49, -17,*  2,11,206.5, ⑫⑫,10, 9,Ｊコウジョウ, 58,内田博, 4.0, 58,  -2,  -2, 6, 14.7,⑩⑩⑩,10, 9,Ｊスズカアドニス, 64,松田大, 2.1, 59,   7, -21,10,164.0,⑦⑦⑩
,,,,,,,,,,,,11,11,Ｉタガノゴッデス, 53,伴啓太, 1.4, 47,  -3, -11, 5, 23.4, ⑥⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12, 8,Ｌダルド, 32,丹内祐, 3.0, 33, -14, -15,12,338.9, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,
単勝:250円 複勝:03=110円 02=110円 05=150円 枠連:0円,,,,,,,,,,,,"単勝:230円 複勝:09=110円 04=2,880円 07=1,140円 枠連:10,630円",,,,,,,,,,,,単勝:170円 複勝:04=110円 07=250円 03=140円 枠連:740円,,,,,,,,,,,,"単勝:780円 複勝:01=250円 07=190円 02=400円 枠連:1,380円",,,,,,,,,,,
馬連:240円 ワイド:02-03=120円 03-05=190円 02-05=230円,,,,,,,,,,,,"馬連:11,510円 ワイド:04-09=3,480円 07-09=980円 04-07=27,440円",,,,,,,,,,,,"馬連:1,140円 ワイド:04-07=350円 03-04=170円 03-07=540円",,,,,,,,,,,,"馬連:2,670円 ワイド:01-07=740円 01-02=1,520円 02-07=1,320円",,,,,,,,,,,
"馬単:500円 3連複:350円 3連単:1,270円",,,,,,,,,,,,"馬単:14,730円 3連複:61,130円 3連単:194,300円",,,,,,,,,,,,"馬単:1,330円 3連複:900円 3連単:4,300円",,,,,,,,,,,,"馬単:5,950円 3連複:11,480円 3連単:69,690円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,漁火ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａライフトップガン, 70,岩田康,, 66,*  9,* -2, 1,  1.2,②②②, 1, 5, キｰンソｰド,---,三浦皇,, 63,* -5,*  0, 2,  3.3, ①①, 1, 3,Ｃカッパドキア, 71,松田大,, 75,  10,* -2, 2,  5.0,⑧⑧④, 1,12,Ｂルナ, 85,横山和,, 81,* 11,   1, 1,  2.7,①①①
 2, 3,Ｂムテキザセカンド, 62,菱田裕, 0.4, 63,*  9,  -7, 2,  8.1,①①①, 2, 7, アイノデンドウシ,---,岩田康, 0.6, 57,* -4,  -7, 1,  2.9, ②②, 2, 4,Ｂマイネルアルティマ, 73,丹内祐, 0.1, 74,  13,  -8, 3,  5.4,③③②, 2, 2,Ａトラストワン, 88,吉田隼, 0.3, 78,   8,   3, 4,  8.1,⑥⑥⑤
 3, 8,Ｃヒキャクノアシ, 62,伴啓太, 1.1, 59,   5,  -6, 6, 22.9,⑨⑤③, 3, 2, サクラスマｰト,---,勝浦正, 1.6, 40,  -9, -17, 3,  4.6, ④③, 3, 1,Ｋアドマイヤライン, 49,岩田康, 0.5, 72,  11, -12, 9, 37.8,⑤⑤⑤, 3, 5,Ｃフラアンジェリコ, 85,丸山元, 0.4, 76,   7,   3, 8, 20.6,⑦⑦⑦
 4,11,Ｇコスモフォｰユｰ, 51,丹内祐, 1.8, 55,   5, -12, 5, 22.4,③③④, 4, 4, ナインドリｰム,---,田中博, 2.1, 36, -12, -18, 7, 70.9, ⑥⑤, 4, 8,Ｉランドフォｰル, 64,三浦皇, 0.5, 71,* 15, -19,11, 65.8,①①①, 4, 3,Ｋスマｰトリバティｰ, 79,岩田康, 0.5, 79,   6,   6, 3,  6.4,⑧⑨⑨
 5,10, アドマイヤキンボシ,---,横山和, 1.9, 53,   0,* -4, 7, 53.7,⑪⑪⑪, 5, 3, スズカポルシェ,---,丸山元, 2.6, 27,  -8, -31, 4,  4.6, ③④, 5,10,Ｅキョウワレイ, 69,上村洋, 0.7, 70,   9,  -9, 7, 14.9,⑩⑩⑩, 5,11,Ｈゼロス, 79,藤田伸, 0.5, 77,   8,  -1, 2,  4.3,⑤⑤②
 6, 9,Ｉスマｰトウインザｰ, 46,吉田隼, 2.0, 52,   5, -14, 8, 68.9,④④⑤, 6, 6, スフィアｰフジ,---,横山和, 3.1, 23,  -9, -35, 6, 33.9, ⑤⑥, 6, 7,Ｇアイズオンリｰ, 67,秋山真, 0.7, 69,  10, -12, 4,  6.1,⑨⑨⑨, 6,14,Ｉニシノジャブラニ, 79,勝浦正, 0.6, 75,* 11,  -7,11, 47.8,②③④
 7, 5,Ｄワイドキング, 61,内田博, 2.1, 52,   4, -12, 3, 13.9,⑤⑥⑥, 7, 1, ディｰバレッド,---,内田博, 3.2, 12, -23, -23, 5,  7.7, ⑦⑦, 7, 9,Ｊステラビアンカ, 63,城戸義, 0.8, 68,  11, -15,10, 51.4,⑦⑦⑧, 7, 4,Ｄリリエンタｰル, 83,四位洋, 0.6, 77,   2,* 12, 5, 11.0,⑪⑫⑪
 8, 2,Ｅメジャｰプレゼンス, 60,勝浦正, 2.3, 50,   2, -11, 4, 15.6,⑧⑦⑦,,,,,,,,,,,,, 8, 2,Ｆマイネルイグアス, 69,菱田裕, 1.1, 66,  11, -19, 8, 23.0,⑥⑥⑦, 8, 1,Ｆドリｰムヒｰロｰ, 80,松田大, 0.7, 73,* 10,  -6, 9, 25.9,③②③
 9, 4,Ｆスリｰサンロｰズ, 52,小林徹, 3.1, 47,   1, -14, 9,117.0,⑥⑨⑨,,,,,,,,,,,,, 9, 5,Ｄサングブルｰ, 70,吉田隼, 1.2, 62,* 14, -27, 5,  6.7,②②③, 9, 7,Ｅポケッタブルゲｰム, 81,丸田恭, 0.7, 76,   0,* 13, 6, 13.3,⑬⑬⑬
10, 1,Ｊクイニｰアマン, 46,城戸義, 3.2, 45,   0, -15,11,250.7,⑦⑧⑧,,,,,,,,,,,,,10, 6,Ａメイショウリョウマ, 75,内田博, 1.3, 63,  12, -26, 1,  4.1,④④⑥,10, 9,Ｇアナバティック, 80,津村明, 0.9, 73,* 10,  -8, 7, 17.9,④④⑥
11, 7,Ｈサｰストンララア, 50,黛弘人, 3.2, 41,   1, -16,10,208.4,⑩⑩⑩,,,,,,,,,,,,,11,11,Ｈルｰベンスクラフト, 65,横山和, 1.6, 60,   7, -19, 6,  7.0,⑪⑪⑪,11, 8,Ｎサフランディライト, 71,川須栄, 1.2, 71,   3,   1,13,112.9,⑫⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 6,Ｌエクセリオン, 77,黛弘人, 1.2, 70,   6,  -5,14,212.4,⑨⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,Ｊマイネルエルフ, 79,丹内祐, 1.3, 67,   7,  -9,12, 77.7,⑩⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｍツルミプラチナム, 75,柴山雄, 1.7, 65,   2,  -2,10, 47.3,⑭⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,
単勝:120円 複勝:06=100円 03=160円 08=270円 枠連:340円,,,,,,,,,,,,単勝:330円 複勝:05=170円 07=160円 枠連:0円,,,,,,,,,,,,"単勝:500円 複勝:03=200円 04=170円 01=930円 枠連:1,190円",,,,,,,,,,,,単勝:270円 複勝:12=140円 02=240円 05=430円 枠連:750円,,,,,,,,,,,
馬連:330円 ワイド:03-06=180円 06-08=280円 03-08=780円,,,,,,,,,,,,馬連:400円 ワイド:05-07=180円 02-05=260円 02-07=270円,,,,,,,,,,,,"馬連:1,090円 ワイド:03-04=470円 01-03=2,740円 01-04=2,500円",,,,,,,,,,,,"馬連:1,250円 ワイド:02-12=500円 05-12=1,260円 02-05=2,100円",,,,,,,,,,,
"馬単:440円 3連複:990円 3連単:2,520円",,,,,,,,,,,,"馬単:840円 3連複:580円 3連単:2,370円",,,,,,,,,,,,"馬単:1,970円 3連複:11,600円 3連単:48,820円",,,,,,,,,,,,"馬単:1,960円 3連複:8,860円 3連単:36,940円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 9R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1200m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美利河特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｉデイドリｰマｰ, 54,菱田裕,, 71,* 11, -10, 7, 17.8, ①①, 1, 2,Ｃグラマラスグロウ, 61,古川吉,, 63,   5,* -6, 3,  6.3,②③③, 1, 3,Ｃシニスタｰクイｰン, 72,菱田裕,, 70,*  8,   6, 2,  7.5,②②②, 1, 5,Ａマスイデア, 76,吉田隼,, 78,   4,   6, 2,  3.4, ②②
 2, 1,Ｆマイネライムライト, 58,丹内祐, 0.0, 69,*  8,  -8, 5, 12.1, ③②, 2, 8,Ａペプチドウインド, 66,岩田康, 0.1, 60,*  6,  -8, 1,  2.0,④②②, 2, 1,Ａアドマイヤキュｰト, 76,丸山元, 0.2, 69,   6,* 10, 1,  1.6,⑧⑦⑥, 2, 2,Ｃブランダムｰル, 73,四位洋, 0.0, 78,   2,*  9, 1,  1.9, ③③
 3, 6,Ａナイスキャッチ, 61,丸山元, 0.1, 66,   4,  -5, 3,  8.0, ⑦⑥, 3, 1,Ｂキクノセントロ, 64,菱田裕, 0.3, 59,   4,* -6, 2,  5.9,⑤④④, 3, 2,Ｄホワイトアルバム, 72,小林徹, 0.2, 68,   5,*  8, 8, 31.8,⑥⑤⑤, 3, 7,Ｂショウナンマハ, 74,秋山真, 0.2, 76,  -3,* 10, 5, 16.3, ⑥⑥
 4,12,Ｇビｰフィットウォｰ, 56,三浦皇, 0.1, 66,   2,* -2, 4, 12.1, ⑧⑧, 4, 9,Ｅマスタｰプラチナム, 57,三浦皇, 0.5, 57,   3,* -6, 8, 24.2,⑧⑤⑤, 4, 6,Ｉダブルファンタジｰ, 62,古川吉, 0.5, 67,   6,   4, 7, 22.7,③③③, 4, 3,Ｄラｰストチカ, 73,古川吉, 0.7, 69,  -1,   2, 4,  8.2, ⑤⑤
 5, 7,Ｃアイティコスモス, 59,津村明, 0.3, 64,   4,  -8, 6, 17.1, ⑥⑤, 5, 6,Ｈドニゼッティ, 54,丸山元, 1.7, 50,   3, -15, 7, 20.6,⑥⑦⑦, 5, 4,Ｇブルｰバレット, 65,横山和, 0.7, 63,*  9,  -2, 5,  9.7,①①①, 5, 4,Ｈサクラベル, 69,岩田康, 1.0, 66,   1,  -4, 3,  6.3, ④④
 6,14,Ｎラピッズトウショウ, 47,田中博, 0.7, 55, -10,*  1,15,554.6, ⑮⑭, 6, 4,Ｇポｰルシッタｰ, 56,藤田伸, 1.9, 50,   3, -17, 6, 13.5,⑦⑥⑥, 6, 8,Ｆラルシュドｰル, 69,川須栄, 0.7, 64,   6,   2, 3,  7.6,⑤④④, 6, 8,Ｅワイドロスメルタ, 72,伴啓太, 1.3, 61,*  9, -16, 6, 19.8, ①①
 7, 8,Ｐムジョウノカゼ, 42,竹之下, 0.9, 53,  -9,* -2,14,284.3, ⑭⑬, 7, 7,Ｉルタドｰル, 52,津村明, 3.3, 37,*  6, -37, 4,  7.2,③①①, 7, 5,Ｅクロカミノオトメ, 71,三浦皇, 0.9, 63,   3,   6, 4,  9.4,⑦⑧⑦, 7, 1,Ｆプロスペラスマム, 71,田中博, 1.3, 61,  -8,   1, 7, 46.1, ⑦⑦
 8, 5,Ｋウォｰタｰシュｰト, 51,小林徹, 1.1, 53,  -3,  -9,12,128.4, ⑩⑩,,,,,,,,,,,,, 8, 7,Ｂストレｰトラブ, 73,岩田康, 1.1, 63,   1,*  9, 6, 18.6,⑨⑨⑧, 8, 6,Ｇラテアｰト, 70,柴山雄, 1.3, 61,  -7,   0, 8, 64.7, ⑧⑧
 9, 3,Ｂムｰンメイヴン, 60,岩田康, 1.1, 55,*  8, -22, 1,  1.9, ④③,,,,,,,,,,,,, 9, 9,Ｈネオザスティング, 63,秋山真, 4.1, 40,   5, -24, 9, 89.0,④⑥⑨,,,,,,,,,,,,
10,15,Ｈティティベンケイ, 55,城戸義, 1.2, 49,  -7,  -9,16,599.8, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,Ｏチャｰチル, 46,内田博, 1.2, 50,  -8,  -8, 8, 29.9, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, 4,Ｅヴェネチアンレッド, 59,横山和, 1.4, 48, -14,  -4,13,197.8, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10,Ｊワｰルドリｰヴァ, 51,川須栄, 1.4, 49,   0, -16, 9, 70.1, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16,Ｄラブジョｰイ, 59,柴山雄, 1.5, 48,   5, -24, 2,  4.5, ⑤⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 9,Ｌタイセイブロンド, 48,上村洋, 1.5, 46,  -7, -13,11,110.6, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,Ｍドリｰムブレイズ, 48,勝浦正, 2.4, 40,*  9, -40,10, 82.3, ②④,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,780円 複勝:02=500円 01=280円 06=200円 枠連:6,320円",,,,,,,,,,,,単勝:630円 複勝:02=150円 08=110円 01=150円 枠連:480円,,,,,,,,,,,,単勝:750円 複勝:03=180円 01=110円 02=420円 枠連:510円,,,,,,,,,,,,単勝:340円 複勝:05=120円 02=110円 07=210円 枠連:0円,,,,,,,,,,,
"馬連:5,020円 ワイド:01-02=1,440円 02-06=1,740円 01-06=1,150円",,,,,,,,,,,,馬連:610円 ワイド:02-08=220円 01-02=390円 01-08=240円,,,,,,,,,,,,"馬連:520円 ワイド:01-03=240円 02-03=1,420円 01-02=540円",,,,,,,,,,,,馬連:290円 ワイド:02-05=160円 05-07=570円 02-07=330円,,,,,,,,,,,
"馬単:10,510円 3連複:13,440円 3連単:81,170円",,,,,,,,,,,,"馬単:1,620円 3連複:930円 3連単:5,940円",,,,,,,,,,,,"馬単:1,840円 3連複:2,290円 3連単:15,970円",,,,,,,,,,,,"馬単:650円 3連複:1,210円 3連単:4,720円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
