13年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ2100m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,赤富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11, 8,Ｊボンジュｰルカンナ, 30,横山和, 1.7, 26,* -2, -26,10,172.7, ①①,,,,,,,,,,,,,11,11,Ｇカバリノランパンテ, 64,丸田恭, 3.0, 48,  -3, -10,11,190.4, ⑧⑧,11,12,Ｇパワｰスポット, 86,石橋脩, 0.6, 89, -16,  32,12, 81.7,⑫⑨⑩
12, 5,Ｌタイムトラベラｰ, 18,嘉藤貴, 3.1, 14, -14, -27,12,365.8, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,12, 9,Ｊスピｰドリッパｰ, 82,三浦皇, 0.6, 90, -17,  33,13, 93.2,⑬⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｋレインボｰダリア, 82,柴田善, 0.6, 90, -17,  34, 9, 31.0,⑨⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:2),,,,,,,,,,,
単勝:210円 複勝:02=120円 10=350円 09=170円 枠連:470円,,,,,,,,,,,,"単勝:620円 複勝:09=170円 06=140円 03=140円 枠連:1,270円",,,,,,,,,,,,"単勝:1,060円 複勝:06=610円 02=330円 10=280円 枠連:3,370円",,,,,,,,,,,,"単勝:680円 複勝:11=250円 13=290円 03=400円 枠連:1,730円",,,,,,,,,,,
"馬連:2,530円 ワイド:02-10=770円 02-09=270円 09-10=940円",,,,,,,,,,,,"馬連:1,180円 ワイド:06-09=350円 03-09=410円 03-06=220円",,,,,,,,,,,,"馬連:4,280円 ワイド:02-06=930円 06-10=960円 02-10=490円",,,,,,,,,,,,"馬連:2,320円 ワイド:11-13=910円 03-11=1,690円 03-13=1,630円",,,,,,,,,,,
"馬単:3,520円 3連複:2,840円 3連単:17,370円",,,,,,,,,,,,"馬単:2,410円 3連複:1,110円 3連単:7,920円",,,,,,,,,,,,"馬単:10,720円 3連複:5,220円 3連単:54,800円",,,,,,,,,,,,"馬単:4,220円 3連複:11,880円 3連単:54,030円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 6R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 9R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1300m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,六社特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｇレッドオラシオン, 42,吉田豊,, 62,* 11, -13,11, 57.0,①①①, 1,14,Ｆプランタンビジュｰ, 67,戸崎圭,, 72,*  0,   8, 4,  9.0, ①①, 1, 3,Ｆエｰルブリｰズ, 74,川田将,, 81,  22,   4, 1,  2.5, ④④, 1,11,Ｂタｰルタン, 82,福永祐,, 78,  -2,  17, 3,  5.5, ⑤⑤
 2, 6,Ｋギブアンドテイク,  8,柴田善, 0.3, 62,   1,*  6, 3, 10.0,⑫⑫⑬, 2, 3,Ｌプレミアムゴｰルド, 55,杉原誠, 0.3, 71, -11,* 17,12,115.6, ⑬⑫, 2, 8,Ｌオメガホｰムラン, 69,内田博, 0.1, 80,  17,* 11, 9, 25.5, ⑫⑫, 2,16,Ｍフロリダブルｰ, 74,内田博, 0.0, 79,  -4,  20, 1,  2.6, ⑧⑨
 3, 8,Ｅダｰクインテジャｰ, 45,丸田恭, 0.3, 58,   4,  -3, 2,  5.0,⑩⑩⑨, 3, 8,Ａジツリキフォｰティ, 76,北村宏, 0.5, 68,  -2,   6, 1,  2.2, ⑥⑤, 3, 1,Ｇエデンロック, 74,メンデ, 0.1, 83,* 27,  -3, 5,  9.6, ②②, 3,13,Ｈコｰリンギデオン, 78,横山典, 0.1, 78,  -6,* 22, 6, 10.8, ⑩⑩
 4, 7,Ａキネオダンサｰ, 55,田辺裕, 0.4, 57,   6, -10, 1,  2.1,⑥⑥⑦, 4, 5,Ｃクレバｰデステニｰ, 71,田辺裕, 0.7, 67,  -6,   9, 3,  7.4, ⑨⑨, 4, 4,Ｎツクバリンカｰン, 65,柴田善, 0.1, 79,  18,*  8,11, 39.5, ⑧⑧, 4, 9,Ｆビナスイｰト, 79,川田将, 0.1, 77,*  1,  13, 7, 14.8, ②②
 5,11,Ｈポッドジョｰカｰ, 37,戸崎圭, 0.5, 58,   3,*  0, 4, 11.1,⑪⑪⑪, 5, 1,Ｏセレブレｰトサマｰ, 43,吉田豊, 0.7, 67,  -8,* 11,10, 65.6, ⑪⑪, 5,14,Ｂジョｰオリオン, 81,吉田豊, 0.2, 83,* 29,  -9, 3,  6.1, ①①, 5, 3,Ｉエムエムアリオｰン, 76,吉田豊, 0.1, 76,*  2,  12, 4,  8.7, ①①
 6, 1,Ｊメジャｰステップ, 26,北村宏, 0.6, 54,   6, -15, 9, 24.6,⑤⑤④, 6,15,Ｂシュナップス, 71,内田博, 0.9, 65,*  0,   1, 2,  3.6, ④③, 6,10,Ａチェリｰヒロイン, 81,武豊  , 0.3, 78,  17,*  9, 2,  5.5, ⑬⑬, 6, 7,Ａキクノストｰム, 84,吉田隼, 0.2, 76,  -1,  14, 5, 10.4, ③③
 7, 5,Ｃボｰノボｰノ, 51,津村明, 0.6, 56,   7, -14, 8, 20.1,④④⑥, 7, 6,Ｅフィンデルムンド, 69,メンデ, 1.0, 64,  -2,   2, 6, 14.2, ⑤⑦, 7,13,Ｄミナレット, 77,嘉藤貴, 0.4, 77,  20,   2, 4,  9.3, ⑦⑦, 7, 6,Ｄイｰグルカザン, 79,柴田大, 0.4, 75,  -8,  21, 9, 36.6, ⑪⑪
 8, 3,Ｄウインミラグロス, 46,松岡正, 0.8, 53,*  9, -22, 6, 12.4,②②②, 8,13,Ｇスズヨストラ, 65,石橋脩, 1.1, 63,  -2,   1, 7, 22.5, ⑦⑥, 8, 5,Ｈダイワスペシャル, 73,丸田恭, 0.5, 74,  18,   3, 7, 17.3, ⑨⑨, 8,12,Ｌクラッチヒット, 75,田辺裕, 0.4, 74,  -4,  16,12, 85.2, ⑨⑧
 9,12,Ｂコスモミヅハノメ, 51,メンデ, 0.9, 52,*  8, -20,10, 30.8,③③③, 9,10,Ｈプリサイスガｰル, 65,黛弘人, 1.1, 63,*  0,  -1, 8, 48.2, ②②, 9, 7,Ｋネオウィズダム, 72,三浦皇, 0.6, 76,  24,  -6,10, 38.3, ③③, 9,15,Ｊブロックコｰド, 76,田中勝, 0.5, 74, -11,* 23, 8, 28.6, ⑬⑬
10,13,Ｆコスモプラナス, 43,丹内祐, 1.1, 51,   7, -22, 5, 12.2,⑦⑦⑤,10,12,Ｊアスキットキング, 56,柴田善, 1.3, 61,  -4,   2, 9, 62.9, ⑧⑧,10,11,Ｉシャドウエミネンス, 72,田中勝, 0.6, 72,  13,*  8,12, 78.7, ⑭⑭,10, 4,Ｏレッドガルシア, 69,長岡禎, 0.7, 72,  -3,  12,13,133.2, ⑦⑦
11, 9,Ｌマイネルレパｰド,  2,柴田大, 1.1, 54,   1,  -6, 7, 15.2,⑬⑬⑫,11, 4,Ｄルミナススカイ, 70,蛯名正, 1.5, 60,  -1,  -3, 5, 13.7, ③④,11, 6,Ｅマイネルアダマス, 74,柴田大, 0.8, 75,  21,  -3, 6, 14.8, ⑥⑥,11,14,Ｅザストロンシチｰ, 79,戸崎圭, 0.7, 72,  -2,  11, 2,  5.0, ⑥⑥
12, 2,Ｉフレイムワンダｰ, 27,村田一, 1.4, 49,   5, -20,12,115.8,⑧⑧⑧,12, 9,Ｉニチドウレパｰド, 63,伊藤工, 1.8, 58, -15,   9,11,110.5, ⑭⑭,12, 9,Ｊトレノソルｰテ, 72,宮崎北, 1.1, 68,  18,  -5,14,124.3, ⑩⑩,12, 5,Ｋレッツゴｰマｰクン, 75,江田照, 0.8, 74,  -9,  20,11, 68.2, ⑫⑫
13,10,Ｍグロｰバルメジャｰ, -2,勝浦正, 2.4, 40,   2, -31,13,159.5,⑨⑨⑩,13, 7,Ｎタカミル, 45,花田大, 2.1, 55,  -7,  -2,14,207.9, ⑩⑩,13,12,Ｃマイネルスパイス, 77,松岡正, 1.4, 66,  19,  -8, 8, 22.1, ⑪⑪,13, 2,Ｃクｰルヴェント, 79,横山和, 0.9, 71, -13,* 22,10, 40.9, ⑭⑭
