13年 7月28日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月28日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,, 9, 8,Ｂメイショウバッカス, 63,四位洋, 3.8, 41,  -5, -12, 2,  7.8,⑪⑪⑪, 9, 4,Ｂヒショウ, 70,柴山雄, 0.7, 59, -18,*  9, 9, 23.4, ⑫⑫, 9, 9,Ｋウォｰタｰセレネ, 71,菅原隆, 1.5, 69,   8, -10,12,236.4,⑤⑧⑦
,,,,,,,,,,,,10, 3,Ｊヒミノコンドル, 48,城戸義, 4.0, 37,  -6, -16, 7, 48.3,⑨⑩⑩,10, 8,Ｉトウショウハマｰ, 60,丹内祐, 0.9, 58,  -1,  -5,10, 50.1, ⑤⑥,10, 7,Ｊナンデヤネン, 73,内田博, 1.7, 67,* 11, -18, 8, 19.6,⑪⑥⑧
,,,,,,,,,,,,11, 1,Ｋフレンドリｰアテナ, 39,伴啓太, 4.9, 31,   1, -33,10,117.4,⑧⑧⑧,11, 5,Ｌトｰセンサイクロン, 54,菱田裕, 1.1, 54, -15,   3,11,146.4, ⑪⑪,11, 2,Ｄメジロジェニファｰ, 80,四位洋, 2.1, 62,   5, -13, 9, 31.7,⑨⑩⑨
,,,,,,,,,,,,,,,,,,,,,,,,12, 6,Ｈオｰバｰザムｰン, 65,戸崎圭, 1.1, 55, -12,   1, 4,  7.4, ⑨⑩,12, 3,Ａマイファｰストラヴ, 82,古川吉, 3.1, 52,   7, -29, 7, 13.7,⑧⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:5),,,,,,,,,,,
単勝:220円 複勝:01=140円 04=570円 枠連:0円,,,,,,,,,,,,単勝:120円 複勝:05=110円 07=270円 10=210円 枠連:670円,,,,,,,,,,,,"単勝:1,450円 複勝:11=430円 02=200円 12=350円 枠連:1,580円",,,,,,,,,,,,"単勝:650円 複勝:04=180円 08=200円 06=350円 枠連:1,270円",,,,,,,,,,,
"馬連:1,930円 ワイド:01-04=570円 01-03=190円 03-04=600円",,,,,,,,,,,,"馬連:700円 ワイド:05-07=370円 05-10=280円 07-10=1,270円",,,,,,,,,,,,"馬連:3,050円 ワイド:02-11=870円 11-12=1,680円 02-12=1,030円",,,,,,,,,,,,"馬連:1,430円 ワイド:04-08=520円 04-06=1,100円 06-08=860円",,,,,,,,,,,
"馬単:2,300円 3連複:1,780円 3連単:8,810円",,,,,,,,,,,,"馬単:790円 3連複:1,620円 3連単:3,830円",,,,,,,,,,,,"馬単:8,950円 3連複:12,180円 3連単:82,510円",,,,,,,,,,,,"馬単:3,490円 3連複:5,690円 3連単:30,440円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,北海道新聞杯ｸｲｰﾝｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂユウヅキ, 64,丸田恭,, 62,*  1,*  0, 3,  4.3,①①①, 1,10, オｰルステイ,---,吉田隼,, 61,*  1,* -8, 5, 14.0,①①①, 1, 8,Ｆエアウィｰバｰ, 70,松田大,, 71,*  9,*  8, 2,  3.2,②②②, 1, 5,Ｃアイムユアｰズ, 85,戸崎圭,, 87,* 20,  -4, 1,  2.7,②②②
 2, 8,Ａマキアｰジュシチｰ, 65,三浦皇, 0.3, 62,*  0,* -1, 1,  3.4,⑧③③, 2, 1, ツクバアズマオｰ,---,丸山元, 0.2, 59,*  0,* -8, 2,  2.5,②②②, 2, 6,Ａナリタハリケｰン, 77,吉田隼, 0.4, 70,*  9,   5, 3,  5.3,④③③, 2, 6,Ｇスピｰドリッパｰ, 74,三浦皇, 0.0, 90,  16,*  4, 8, 79.4,⑧⑧⑧
 3, 5,Ｊタカヒロガｰトップ, 41,柴山雄, 0.9, 57,*  0,  -6,11,285.9,②②②, 3, 8, パリｰアｰク,---,戸崎圭, 0.8, 54,  -2, -11, 1,  2.3,⑤⑤④, 3, 9,Ｃメイプルリンカｰン, 73,柴山雄, 0.8, 67,   5,*  9, 7, 25.3,⑨⑨⑦, 3, 1,Ｂオｰルザットジャズ, 88,内田博, 0.1, 88,  19,  -3, 3,  3.8,③③③
 4,11,Ｈクラッチブｰケ, 55,菱田裕, 1.0, 58,  -2,  -3, 7, 19.2,⑪⑦⑥, 4, 6, ウインレｰベン,---,三浦皇, 1.1, 53,  -1, -18, 3,  7.3,④③③, 4, 4,Ｂサナシオン, 76,藤田伸, 0.9, 68,   7,   6, 1,  2.4,⑧⑦⑤, 4, 7,Ａマルセリｰナ, 89,川田将, 0.3, 86,  18,  -2, 2,  3.2,⑦⑥⑥
 5, 6,Ｃフリティラリア, 63,横山和, 1.2, 56,  -3,  -4, 2,  4.0,⑦⑧⑧, 5, 9, ピュアエクセル,---,岩田康, 1.6, 48,  -7, -14, 4, 11.0,⑧⑦⑤, 5, 7,Ｄジャイアン, 70,横山和, 1.1, 64,* 10,  -2, 9, 34.8,①①①, 5, 8,Ｄキャトルフィｰユ, 82,岩田康, 0.6, 83,  18,  -7, 4,  7.8,⑥⑦⑦
 6,10,Ｄブロンドヒロイン, 59,津村明, 1.3, 54,  -1,  -8, 6, 14.9,⑩⑤④, 6, 3, ラッキｰハンタｰ,---,菱田裕, 1.8, 46,  -7, -17, 6, 20.0,⑦⑧⑨, 6, 3,Ｊシルクアポロン, 62,伴啓太, 1.1, 64,   8,   1, 8, 25.9,③④④, 6, 4,Ｈセレブリティモデル, 72,吉田隼, 0.7, 80,  17,  -8, 6, 20.0,⑤⑤⑤
 7, 9,Ｇナデシコノハナ, 57,丹内祐, 1.9, 53,  -4,  -7, 8, 30.6,⑨⑪⑨, 7, 4, キタサンダイチ,---,川須栄, 1.9, 46,  -9, -11, 7, 35.5,⑨⑨⑧, 7,11,Ｈメイショウトラクマ, 64,四位洋, 2.0, 59,   7,  -6, 5, 14.3,⑦⑤⑥, 7, 3,Ｆコスモネモシン, 74,丹内祐, 1.2, 75,  19, -18, 7, 41.4,④④④
 8, 1,Ｅルミアｰジュ, 58,松田大, 2.4, 45,  -1, -18, 5,  9.6,③④⑤, 8, 2, コスモメロス,---,丹内祐, 2.4, 38,  -2, -33, 9,100.0,③④⑥, 8, 1,Ｇケイエスキングオｰ, 65,戸崎圭, 2.1, 59,   6,  -4, 6, 15.2,⑤⑥⑧, 8, 2,Ｅクィｰンズバｰン, 80,四位洋, 1.9, 68,* 20, -32, 5, 10.9,①①①
 9, 4,Ｉルナレガｰロ, 50,岩田康, 2.5, 46,  -2, -16, 4,  5.3,⑤⑥⑦, 9, 5, スガノマンボ,---,古川吉, 2.6, 37,  -4, -33, 8, 85.8,⑥⑥⑦, 9, 2,Ｅゴｰルドルｰスタｰ, 70,丸山元, 2.3, 58,   4,   1, 4, 13.7,⑪⑪⑩,,,,,,,,,,,,
10, 7,Ｆブラックジュエル, 57,伴啓太, 2.7, 45,  -5, -14, 9, 64.5,④⑩⑪,10, 7, ビリオネアズロウ,---,柴山雄, 3.9, 27, -23, -12,10,103.9,⑩⑩⑩,10, 5,Ｉメイショウイッシン, 64,古川吉, 2.7, 55,   5,  -8,11,101.5,⑩⑧⑨,,,,,,,,,,,,
11, 3,Ｋスマッシュ, 40,吉田隼, 3.3, 41,  -5, -20,10, 96.4,⑥⑨⑩,,,,,,,,,,,,,11,10,Ｋポッドスタｰ, 54,菱田裕, 3.2, 50,   4, -10,10, 71.1,⑥⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:5),,,,,,,,,,,
"単勝:430円 複勝:02=160円 08=160円 05=3,500円 枠連:670円",,,,,,,,,,,,"単勝:1,400円 複勝:10=230円 01=120円 08=110円 枠連:680円",,,,,,,,,,,,単勝:320円 複勝:08=190円 06=210円 09=490円 枠連:890円,,,,,,,,,,,,単勝:270円 複勝:05=140円 06=920円 01=150円 枠連:0円,,,,,,,,,,,
"馬連:660円 ワイド:02-08=250円 02-05=12,880円 05-08=8,250円",,,,,,,,,,,,"馬連:1,520円 ワイド:01-10=480円 08-10=510円 01-08=160円",,,,,,,,,,,,"馬連:1,080円 ワイド:06-08=460円 08-09=990円 06-09=1,260円",,,,,,,,,,,,"馬連:6,370円 ワイド:05-06=1,390円 01-05=210円 01-06=2,140円",,,,,,,,,,,
"馬単:1,390円 3連複:42,850円 3連単:158,800円",,,,,,,,,,,,"馬単:4,130円 3連複:990円 3連単:12,470円",,,,,,,,,,,,"馬単:2,050円 3連複:4,630円 3連単:18,520円",,,,,,,,,,,,"馬単:10,370円 3連複:6,110円 3連単:43,870円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,七重浜特別,,,,,,,,,,,,竜飛崎特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅマルイチワンダｰ, 55,古川吉,, 61,*  1,*  5, 2,  4.6, ②②, 1,10,Ｋグランスエルテ, 44,藤田伸,, 65,*  0,* -6, 9, 24.8,①①①, 1, 4,Ｆオオタニジムチョウ, 65,四位洋,, 76,   0,* 11, 1,  2.8, ⑦⑥, 1, 7,Ａサンビスタ, 84,岩田康,, 82,*  6,  16, 1,  2.7,①①①
 2, 1,Ａデルフィニア, 63,荻野琢, 0.1, 58,*  2,*  3, 1,  1.7, ①①, 2, 4,Ｇダルメシアン, 57,三浦皇, 0.4, 62,  -3,* -4, 8, 20.2,⑧⑦⑦, 2, 2,Ａブルｰピアス, 70,丸田恭, 0.1, 74,*  7,   2, 3,  7.0, ②②, 2, 9,Ｄカチュｰシャ, 81,秋山真, 0.0, 82,*  5,* 17, 2,  3.3,②②②
 3, 2,Ｄラサイニ, 60,横山和, 0.7, 52,  -2,   0, 4, 10.3, ③③, 3, 9,Ｄピュクシス, 64,菱田裕, 0.5, 60,  -2,  -9, 2,  5.0,③⑤⑤, 3, 3,Ｌハンサムザムライ, 59,荻野琢, 0.1, 74,   5,   4,10, 22.2, ③④, 3, 3,Ｋマイネルバウンス, 75,丹内祐, 0.3, 82,   4,  16, 7, 27.2,⑤④④
 4, 8,Ｆアヴェンタドｰル, 54,菱田裕, 0.7, 52,  -5,   2, 5, 13.7, ⑥⑥, 4, 1,Ｃシャルパンテ, 65,上村洋, 0.6, 59,  -3,  -7, 6, 14.4,⑪⑧⑧, 4,13,Ｅシュウギン, 65,丸山元, 0.4, 70,*  6,   0, 8, 15.7, ⑤③, 4, 6,Ｂドリｰムザネクスト, 82,丸山元, 0.4, 81,   3,* 17, 6, 24.7,⑨⑦⑦
 5, 4,Ｂホワイトコｰヒｰ, 61,丸田恭, 0.9, 50,  -2,  -1, 3,  6.8, ④④, 5, 5,Ａフロレント, 68,丸山元, 0.6, 57,*  0, -12, 1,  2.6,④③③, 5, 6,Ｂサンライズサルｰテ, 67,丹内祐, 0.5, 69,   5,   0, 4, 10.3, ④⑤, 5,12,Ｆスズカヴィグラス, 80,内田博, 0.6, 78,   4,  13, 3,  6.3,③⑤⑤
 6, 9,Ｊステラインベレッタ, 38,柴山雄, 1.2, 47,  -4,  -2,10,125.1, ⑦⑦, 6, 3,Ｂアンカジャポニカ, 66,丸田恭, 0.7, 56,  -1, -11, 3,  5.7,⑤④④, 6, 7,Ｃレヴァンタｰル, 67,黛弘人, 0.5, 70,  -7,* 11, 6, 12.5, ⑪⑪, 6,11,Ｉエｰペックス, 78,柴山雄, 0.6, 79,   1,* 17, 9, 42.3,⑩⑩⑩
 7, 7,Ｃバッティングパワｰ, 60,黛弘人, 1.2, 44,  -9,   0, 7, 23.9, ⑨⑧, 7, 7,Ｈグラスリｰド, 54,伴啓太, 1.4, 51,  -3, -18,11,217.3,⑩⑨⑨, 7, 9,Ｄタイヨウパフュｰム, 66,秋山真, 0.6, 70,   1,   4, 2,  5.9, ⑧⑧, 7, 2,Ｈコスモイｰチタイム, 78,黛弘人, 0.7, 74,   5,  13,11,153.7,④③③
 8, 6,Ｋマジックゲｰム, 36,吉田隼, 1.3, 46,  -4,  -4, 9, 94.0, ⑤⑤, 8,11,Ｅコスモサンチャン, 61,黛弘人, 1.4, 51,*  0, -25, 5, 10.2,②②②, 8,12,Ｋコトブキゴｰルド, 61,岩田康, 0.6, 69,  -3,   6, 5, 11.9, ⑨⑨, 8, 4,Ｇスタｰバリオン, 79,川田将, 0.8, 79,   3,  14, 4,  6.4,⑥⑧⑨
 9, 5,Ｈデルマベム, 50,伴啓太, 2.0, 37, -16,  -3,11,140.1, ⑪⑩, 9, 2,Ｆタカラプリンス, 58,横山和, 1.6, 48,  -2, -24, 4,  6.6,⑨⑥⑥, 9, 8,Ｉスノｰモンキｰ, 62,内田博, 0.8, 66,  -7,   7, 7, 13.8, ⑫⑬, 9,10,Ｅニシノゲイナｰ, 81,丸田恭, 0.9, 76,   4,  13,10, 51.0,⑧⑨⑧
10, 3,Ｇコウヨウセレクト, 50,丹内祐, 2.2, 35, -18,  -4, 6, 22.7, ⑩⑪,10, 6,Ｊタガノグッピｰ, 46,城戸義, 2.1, 45,  -6, -21,10, 64.6,⑦⑪⑩,10, 5,Ｈメイショウヒメユリ, 63,戸崎圭, 0.9, 64,  -7,   6, 9, 21.2, ⑬⑫,10, 5,Ｃラヴィアンクレｰル, 82,津村明, 0.9, 76,   4,  12, 5, 10.0,⑦⑥⑥
11,10,Ｉラッカｰサ, 44,上村洋, 2.3, 37,  -5, -12, 8, 74.4, ⑧⑨,11, 8,Ｉナオミノエガオ, 51,岩田康, 3.9, 33,  -4, -50, 7, 15.6,⑥⑩⑪,11, 1,Ｇダｰクアイリス, 63,松田大, 0.9, 63,*  8, -10,11, 24.4, ①①,11, 1,Ｊコスモイフリｰト, 77,戸崎圭, 1.8, 70,   0,   9, 8, 38.3,⑫⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,12,10,Ｊブリｰジｰデイズ, 62,三浦皇, 1.1, 62,   2,  -6,12, 29.9, ⑥⑦,12, 8,Ｍハピネスハンタｰ, 45,松田大, 2.4, 67,  -1,   8,12,269.0,⑬⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｍアジャストメント, 58,藤田伸, 1.4, 58,  -3,  -4,13, 40.4, ⑩⑩,13,13,Ｌネオライディｰン, 58,三浦皇, 2.6, 65,   1,   3,13,330.3,⑪⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-5),,,,,,,,,,,
単勝:460円 複勝:11=150円 01=110円 02=170円 枠連:380円,,,,,,,,,,,,"単勝:2,480円 複勝:10=650円 04=450円 09=230円 枠連:6,990円",,,,,,,,,,,,"単勝:280円 複勝:04=150円 02=250円 03=470円 枠連:1,060円",,,,,,,,,,,,単勝:270円 複勝:07=120円 09=130円 03=480円 枠連:330円,,,,,,,,,,,
馬連:390円 ワイド:01-11=180円 02-11=540円 01-02=210円,,,,,,,,,,,,"馬連:23,360円 ワイド:04-10=4,470円 09-10=2,260円 04-09=2,110円",,,,,,,,,,,,"馬連:1,310円 ワイド:02-04=600円 03-04=1,520円 02-03=2,150円",,,,,,,,,,,,"馬連:380円 ワイド:07-09=180円 03-07=1,050円 03-09=1,090円",,,,,,,,,,,
"馬単:1,040円 3連複:700円 3連単:4,830円",,,,,,,,,,,,"馬単:46,490円 3連複:52,690円 3連単:432,760円",,,,,,,,,,,,"馬単:2,000円 3連複:8,610円 3連単:37,420円",,,,,,,,,,,,"馬単:600円 3連複:2,530円 3連単:7,830円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
