13年 3月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,下総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 8R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1800m 3 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｼﾞﾃﾚﾋﾞ賞ｽﾌﾟﾘﾝｸﾞｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａベリｰトゥベリｰ, 64,横山典,, 63,   0,*  7, 1,  1.8,⑯⑯⑪, 1, 2,Ｈマイネルバランシン, 53,戸崎圭,, 55,  -1,   0, 9, 20.6,⑦⑨⑥, 1, 7,Ｂロンギングダンサｰ, 77,石橋脩,, 82,  -1,* 19, 1,  2.9,⑫⑫⑪, 1, 5,Ｂロゴタイプ, 77,デムｰ,, 82,* 11,   3, 1,  3.4,④④④
 2,16,Ｆアイアムライジング, 57,デムｰ, 0.8, 60,*  7, -13, 4, 11.0,②③②, 2, 3,Ａマイネグロリアｰナ, 61,柴田大, 0.0, 58,*  2,  -6, 3,  6.0,⑤⑤③, 2, 5,Ｄエバｰグリｰン, 74,横山典, 0.2, 75,*  2,   9, 4,  8.5,②②①, 2, 2,Ａタマモベストプレイ, 83,和田竜, 0.2, 81,   9,   4, 3,  6.2,⑥⑤⑤
 3, 6,Ｂグランデアリュｰル, 62,岩田康, 1.0, 56,*  8, -17, 8, 19.2,⑩①①, 3,15,Ｇテンミライ, 54,田辺裕, 0.1, 54,*  3, -11, 6, 13.3,④②②, 3, 8,Ｌディｰエスライダｰ, 64,和田竜, 0.4, 77,  -2,* 15, 8, 28.1,⑭⑬⑬, 3,15,Ｉマイネルホウオウ, 71,柴田大, 0.3, 83,   6,* 10,11, 34.4,⑩⑪⑫
 4,12,Ｅバンクシｰ, 59,吉田豊, 1.0, 58,   3,  -6, 6, 13.4,⑬⑪⑩, 4,11,Ｄネコタイショウ, 57,江田照, 0.1, 56,*  4, -11, 4,  6.8,①①①, 4,16,Ｈレアｰレスパｰダ, 67,田辺裕, 0.4, 74,  -1,  11,10, 41.3,⑬⑪⑦, 4,14,Ｊフェイムゲｰム, 70,北村宏, 0.3, 82,   5,* 12, 6, 12.4,⑫⑬⑬
 5, 5,Ｉボウベル, 53,北村宏, 1.0, 58,   2,* -4,10, 60.4,⑭⑬⑬, 5,14,Ｆダイワフォｰス, 54,北村宏, 0.1, 56,  -1,  -3, 2,  4.4,⑨⑦⑨, 5, 3,Ａロジサンデｰ, 78,三浦皇, 0.5, 75,  -1,  11, 3,  6.1,⑧⑧⑨, 5,16,Ｆマンボネフュｰ, 72,蛯名正, 0.4, 81,   7,   6, 2,  5.5,⑦⑧⑥
 6,13,Ｊヴィルトグラｰフ, 53,田辺裕, 1.3, 54,   4, -13, 7, 16.8,⑤⑦⑤, 6, 4,Ｊドラゴンウォｰ, 43,岩田康, 0.2, 56,  -1,  -3, 7, 14.4,③⑧⑧, 6, 2,Ｃディサイファ, 77,デムｰ, 0.5, 73,*  0,   8, 2,  3.7,③⑤⑥, 6, 8,Ｎサｰストンニュｰス, 65,戸崎圭, 0.5, 77,   8,   5, 8, 22.2,⑧⑦⑧
 7, 8,Ｐティアップロｰジズ, 38,津村明, 1.5, 56,   3, -10,16,423.6,⑫⑩⑦, 7, 1,Ｃシｰユｰアラウンド, 58,横山典, 0.2, 57,  -8,* 12, 5,  8.0,⑯⑯⑯, 7,14,Ｅアサクサマジック, 72,杉原誠, 0.6, 74,*  0,   6, 5, 11.4,⑩⑥⑤, 7,11,Ｇヘルデンテノｰル, 72,吉田豊, 0.5, 80,   3,* 11, 4,  7.9,⑯⑯⑮
