13年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 7,Ｇウェルヴァｰスト, 48,吉田隼, 0.8, 55,  -4,  -2, 7, 18.2,⑨⑩⑩, 8, 1,Ｉホイットマン, 64,村田一, 1.4, 63,  -6,   5, 8, 57.2, ④④, 8,10,Ｆファｰマジェンヌ, 76,田中勝, 1.4, 71,*  1,  12,10, 39.5, ②③, 8,14,Ｉボウマンミル, 61,吉田隼, 1.8, 64,   3,   1, 8, 19.7, ⑤⑤
 9, 8,Ｄコスモベツァｰリ, 51,松岡正, 0.9, 53,   0, -12, 2,  5.6,⑦⑥⑥, 9, 2,Ｈバンクシｰ, 66,嶋田純, 1.7, 59,  -8,   6, 6, 20.5, ⑧⑨, 9, 3,Ｄタガノミュｰチャン, 77,後藤浩, 1.4, 71,*  2,  10, 4,  9.2, ①①, 9, 3,Ｇドリｰムバラｰド, 66,横山和, 2.0, 63,  -2,   6, 9, 39.4, ⑫⑫
10, 6,Ｊジャックポット,  7,武士沢, 1.7, 44,  -2, -21,10, 75.2,⑥⑦⑦,10, 4,Ｇナムラマンジロウ, 66,後藤浩, 2.0, 56,* -4,  -3, 4,  9.3, ①①,10, 4,Ｐタプロｰム, 68,大庭和, 1.6, 71,  -6,  19,15,139.5, ⑭⑬,10, 1,Ｊベリベリハッピｰ, 60,杉原誠, 2.2, 62,   0,   2,13,103.2, ⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,11, 9,Ｉマジッククレスト, 74,蛯名正, 1.7, 70,  -3,  14, 6, 13.5, ⑦⑨,11, 2,Ｈキングビｰト, 62,勝浦正, 2.4, 60,  -2,   3,11, 72.5, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,12,13,Ｋレッドティムｰル, 73,北村宏, 1.9, 68,  -5,  15,11, 44.7, ⑪⑪,12, 8,Ｍタケデンザビエル, 50,江田照, 2.7, 57,   3,  -6,12, 78.7, ⑦⑥
,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｌシャイニイチカ, 73,伴啓太, 2.2, 68, -10,  19,16,196.0, ⑯⑯,13, 5,Ｋキュウシュウソダチ, 56,西田雄, 2.7, 58,   2,  -5,14,180.1, ⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｇクラリスピンク, 75,田辺裕, 2.4, 65,  -7,  14,12, 81.7, ⑮⑮,14, 6,Ｌアプロｰチング, 53,三浦皇, 3.4, 51,*  6, -16,10, 62.3, ①①
,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｊメイショウラグｰナ, 74,吉田隼, 2.6, 63,  -5,   9,13,108.0, ⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｍピュアマインド, 71,江田照, 3.0, 60,  -3,   4,14,137.3, ⑧⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
