13年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,花背特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 3, 2,Ｄシゲルリクチュウ, 57,川須栄, 0.2, 60,*  0,  -6, 5, 12.0, ①①, 3,17,Ｅマイネボニｰタ, 60,中井裕, 0.5, 60,  -2,   0,10, 36.9,③④④, 3,18,Ｉダイナミックウオｰ, 69,川須栄, 0.0, 80,*  7,   6, 8, 16.7, ③③, 3, 5,Ｎスギノエンデバｰ, 81,福永祐, 0.1, 91,   5,  13,10, 27.7, ③③
 4, 9,Ｇレッドオｰラム, 51,小牧太, 0.4, 58,  -4,  -3, 4, 11.9, ⑤⑧, 4, 4,Ａレッドアルゴ, 71,ルメｰ, 0.5, 57,  -3,  -1, 3,  4.3,④⑤⑤, 4,17,Ｇノｰブルコロネット, 70,ルメｰ, 0.1, 81,   0,* 17, 3,  7.8, ⑬⑬, 4,15,Ｆプレイズエタｰナル, 83,ルメｰ, 0.3, 89,  -2,  17, 1,  4.2, ⑨⑧
 5,10,Ｂペイシャモンシェリ, 59,国分恭, 0.4, 57,* -3,  -6, 7, 15.3, ④③, 5,18,Ｋペンタトニック, 53,ビュイ, 0.5, 58,  -2,*  2, 1,  4.3,⑮⑨⑧, 5,15,Ｃレネットグルｰヴ, 74,松山弘, 0.3, 78,   5,   8,10, 25.7, ⑦⑦, 5,16,Ｂラトルスネｰク, 88,ビュイ, 0.3, 90,  -9,* 24, 4,  6.8, ⑭⑭
 6,14,Ｃノボリフジ, 59,福永祐, 0.5, 56,  -5,  -5, 1,  1.8, ⑥⑤, 6,16,Ｆイイデフュｰチャｰ, 59,松田大, 0.6, 55,*  1,  -6,11, 38.9,②②②, 6, 3,Ｄエインセル, 73,デムｰ, 0.5, 78,  -4,* 19, 6, 12.9, ⑯⑯, 6,11,Ｅブルｰデジャブ, 84,国分優, 0.3, 91,  -9,* 24,13, 52.9, ⑬⑮
 7, 8,Ｍヤマニンエルフィン, 47,松山弘, 0.5, 56,  -6,  -3, 6, 12.2, ⑧⑦, 7, 5,Ｌアクアマリンブレス, 52,岩田康, 0.6, 58,  -2,   1, 6, 10.0,⑧⑩⑨, 7, 4,Ｍビリオネア, 66,太宰啓, 0.5, 73,* 10,  -7,16,251.1, ①①, 7, 9,Ａエピセアロｰム, 90,浜中俊, 0.3, 88,  -1,  16, 2,  4.8, ⑦⑥
 8,15,Ｅテｰオｰビックバン, 53,藤岡康, 0.7, 55, -18,* 10,12,102.4, ⑰⑰, 8,15,Ｍクｰルオｰプニング, 45,武豊  , 0.8, 55,  -2,  -3, 8, 20.5,⑦⑦⑦, 8,12,Ａヤマニンプｰドレ, 85,浜中俊, 0.6, 74,   1,   7, 2,  6.7, ⑪⑩, 8, 4,Ｄリトルゲルダ, 84,川田将, 0.4, 85,   4,   9,12, 36.8, ④④
 9,18,Ｆフルｰルシチｰ, 53,酒井学, 0.7, 54,  -6,  -6, 3,  9.6, ⑦⑥, 9,10,Ｉハギノハイブリッド, 53,幸英明, 0.8, 59,  -6,*  7, 4,  8.9,⑭⑮⑭, 9,16,Ｂマルカファイン, 78,森一馬, 0.6, 71,* 10,  -8, 4,  9.3, ②②, 9, 6,Ｃマヤノリュウジン, 87,池添謙, 0.4, 86,   2,  12, 3,  5.3, ⑤⑤
10,16,Ｎアグネスミライ, 46,岩田康, 0.8, 53, -12,   1, 8, 37.8, ⑬⑫,10,14,Ｈデビル, 56,福永祐, 1.1, 51,* -1, -11, 7, 19.2,⑥③③,10, 5,Ｋジュｰヴルエｰル, 68,ビュイ, 0.7, 73,   1,   6, 7, 15.6, ⑨⑧,10,10,Ｇハノハノ, 83,酒井学, 0.5, 86,  -1,  13, 5,  8.2, ⑧⑨
11, 6,Ｊサルタｰレ, 49,浜中俊, 0.8, 53,  -8,  -4,11, 90.9, ⑩⑩,11, 6,Ｑデュエット, 35,秋山真, 1.2, 52,  -5,  -3,13, 84.2,⑫⑪⑬,11, 2,Ｈアチｰヴ, 69,藤岡康, 0.8, 75,  -8,* 22,12, 31.2, ⑱⑱,11,17,Ｑメイショウデイム, 76,松山弘, 0.7, 83,  -4,  13,16,173.2, ⑩⑩
12, 3,Ｌモッシュ, 47,池添謙, 0.8, 53, -11,  -1,14,143.1, ⑫⑬,12, 2,Ｇフドｰシン, 57,藤岡康, 1.3, 49,  -2,  -9,14, 84.7,⑤⑧⑩,12, 8,Ｑデンコウタフネス, 50,国分優, 0.8, 75,  -4,  14,15,199.5, ⑭⑮,12,14,Ｉサドンストｰム, 83,武豊  , 0.7, 84,  -6,  16,11, 34.0, ⑫⑫
