13年 8月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ2400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
単勝:910円 複勝:06=350円 04=190円 枠連:0円,,,,,,,,,,,,"単勝:560円 複勝:06=220円 01=200円 02=370円 枠連:1,000円",,,,,,,,,,,,"単勝:520円 複勝:10=150円 07=130円 03=120円 枠連:1,100円",,,,,,,,,,,,"単勝:740円 複勝:03=200円 07=150円 01=130円 枠連:1,580円",,,,,,,,,,,
馬連:900円 ワイド:04-06=170円 02-06=130円 02-04=110円,,,,,,,,,,,,"馬連:1,180円 ワイド:01-06=420円 02-06=1,020円 01-02=1,190円",,,,,,,,,,,,"馬連:1,370円 ワイド:07-10=430円 03-10=310円 03-07=200円",,,,,,,,,,,,"馬連:1,590円 ワイド:03-07=480円 01-03=390円 01-07=280円",,,,,,,,,,,
"馬単:2,210円 3連複:170円 3連単:3,300円",,,,,,,,,,,,"馬単:2,620円 3連複:5,280円 3連単:21,690円",,,,,,,,,,,,"馬単:2,400円 3連複:1,070円 3連単:8,780円",,,,,,,,,,,,"馬単:3,630円 3連複:1,320円 3連単:11,540円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 5R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  ダ1700m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｴﾙﾑｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａツクバアズマオｰ, 64,丸山元,, 58, -15,* 18, 1,  1.5,③⑤④, 1, 8,Ｇソフトライム, 59,横山和,, 65,*  1,  10,10, 90.1,②②②, 1, 7,Ｉサンライズサルｰテ, 64,丹内祐,, 75,* -1,* 20, 4,  8.2,①①①, 1,12,Ｈフリｰトストリｰト, 88,内田博,, 90,* 13,* 18, 3,  8.0,②②②
 2, 7,Ｄロｰハイド, 46,福永祐, 0.1, 55,*-14,  12, 2,  4.8,②②②, 2,12,Ｍシェｰンメｰア, 23,四位洋, 0.2, 65,  -1,  10, 6, 21.5,⑩④④, 2, 5,Ａメイプルリンカｰン, 73,柴山雄, 0.5, 70,  -3,  18, 3,  4.4,⑥⑤⑥, 2, 6,Ｊエｰシンモアオバｰ, 88,岩田康, 0.1, 90,* 14,  16, 5,  9.9,①①①
 3, 5,Ｂゴｰルドシェンロン, 48,柴山雄, 0.2, 53,*-12,  10, 5, 10.1,①①①, 3, 2,Ｃレッドエンブレム, 66,福永祐, 0.4, 64,  -3,* 12, 1,  2.3,⑦⑥⑤, 3, 2,Ｂサナシオン, 72,藤田伸, 0.6, 71,  -3,  19, 1,  2.2,⑤⑥⑤, 3, 2,Ａブライトライン, 94,福永祐, 0.3, 88,* 12,  16, 1,  1.6,③③③
 4, 6,Ｅトミケンパシエンテ, 45,勝浦正, 1.2, 41,*-14,  -1, 3,  7.4,⑦④③, 4, 5,Ｄクインポルカ, 61,菱田裕, 0.4, 63,  -1,   9, 7, 46.4,④③③, 4, 9,Ｅペガサスフラッシュ, 69,丸山元, 0.7, 69,  -1,  16, 6, 15.7,④③③, 4,11,Ｆツクバコガネオｰ, 89,勝浦正, 0.6, 86,  11,  16, 7, 26.4,⑥④⑤
 5, 3,Ｃパイエット, 48,吉田隼, 1.5, 37, -15,  -3, 4,  9.7,⑤⑥⑤, 5, 7,Ｂマテリアライズ, 66,内田博, 0.5, 61,*  2,   4, 5, 14.6,①①①, 5,10,Ｆテイエムダイトッパ, 68,菱田裕, 0.8, 67,* -1,  13, 8, 50.1,②②②, 5, 9,Ｂグランドシチｰ, 94,津村明, 0.7, 87,   9,* 18, 4,  8.2,⑩⑧⑦
 6, 2,Ｆノックアバウト, 39,菱田裕, 1.7, 39, -17,   0, 6, 40.0,⑥⑦⑦, 6, 3,Ａブラゾン, 74,三浦皇, 0.6, 64,  -3,* 12, 2,  3.2,⑧⑩⑨, 6, 1,Ｄメイショウエジソン, 70,吉田隼, 1.0, 67,  -6,  18, 5, 14.2,⑦⑨⑦, 6, 4,Ｃクリｰルパッション, 91,丸田恭, 0.7, 85,  10,  17,10,124.0,⑦⑤④
 7, 4,Ｇコスモメロス, 37,丹内祐, 3.7, 13,*-14, -35, 7, 69.0,④③⑥, 7, 6,Ｈロｰレルグラｰネ, 58,竹之下, 0.6, 64,  -3,* 12, 9, 61.1,⑫⑪⑪, 7, 8,Ｃオリオンザミラクル, 70,横山和, 1.1, 66,  -6,* 19, 9, 56.9,⑩⑩⑩, 7, 3,Ｄセイリオス, 90,三浦皇, 1.4, 83,   6,* 17, 9, 87.2,⑬⑫⑬
,,,,,,,,,,,, 8,10,Ｆマイネグロリアｰナ, 59,岩田康, 1.1, 59,  -3,   6, 3,  4.9,⑥⑨⑧, 8, 6,Ｈテイエムクロジシ, 65,小林徹, 1.3, 65,  -5,  15,10,147.7,⑨⑧⑨, 8, 7,Ｋトｰセンアレス, 87,秋山真, 1.5, 81,   9,  13,12,279.5,⑧⑨⑧
,,,,,,,,,,,, 9, 1,Ｊネオジェネラル, 52,小林徹, 1.3, 59,  -5,   8,13,547.2,⑪⑫⑫, 9, 4,Ｇサルバドｰルハクイ, 67,内田博, 1.3, 63,  -3,  12, 2,  4.4,③④④, 9, 1,Ｉサイレントメロディ, 88,藤田伸, 1.5, 83,   8,  15, 6, 19.2,⑪⑩⑩
,,,,,,,,,,,,10, 4,Ｅコスモヘプタッド, 60,丹内祐, 1.4, 58,  -2,   3, 8, 57.0,⑤⑦⑦,10, 3,Ｊスズカアドニス, 60,松田大, 1.6, 61,  -5,  12, 7, 31.1,⑧⑦⑧,10, 8,Ｇメダリアビｰト, 89,菱田裕, 1.7, 81,   6,  15,13,365.8,⑨⑬⑫
,,,,,,,,,,,,11, 9,Ｉヤマチョウボス, 57,津村明, 1.5, 56,  -1,   0, 4,  9.0,⑨⑤⑥,,,,,,,,,,,,,11,10,Ｍアクティビュｰティ, 80,吉田隼, 1.7, 80,   8,  13,11,263.1,⑫⑪⑨
,,,,,,,,,,,,12,11,Ｌドミンゴ, 51,村田一, 1.7, 56,  -5,   4,11,140.5,⑬⑬⑬,,,,,,,,,,,,,12, 5,Ｅダノンゴｰルド, 89,四位洋, 2.5, 74,  10,   1, 2,  7.8,⑤⑥⑥
,,,,,,,,,,,,13,13,Ｋピンクダイヤモンド, 51,上村洋, 2.1, 55,  -1,  -2,12,316.3,③⑧⑩,,,,,,,,,,,,,13,13,Ｌスマイルジャック, 85,丸山元, 3.7, 65,  10,  -8, 8, 84.8,④⑦⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:重(指数:14),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:不良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-6),,,,,,,,,,,
単勝:150円 複勝:01=110円 07=160円 枠連:0円,,,,,,,,,,,,"単勝:9,010円 複勝:08=1,510円 12=750円 02=160円 枠連:5,890円",,,,,,,,,,,,"単勝:820円 複勝:07=150円 05=130円 02=110円 枠連:1,570円",,,,,,,,,,,,"単勝:800円 複勝:12=180円 06=210円 02=110円 枠連:2,500円",,,,,,,,,,,
馬連:270円 ワイド:01-07=150円 01-05=300円 05-07=460円,,,,,,,,,,,,"馬連:52,660円 ワイド:08-12=12,040円 02-08=1,740円 02-12=1,140円",,,,,,,,,,,,"馬連:1,670円 ワイド:05-07=390円 02-07=270円 02-05=180円",,,,,,,,,,,,"馬連:2,950円 ワイド:06-12=830円 02-12=270円 02-06=300円",,,,,,,,,,,
"馬単:410円 3連複:680円 3連単:1,790円",,,,,,,,,,,,"馬単:196,560円 3連複:36,530円 3連単:498,950円",,,,,,,,,,,,"馬単:3,170円 3連複:620円 3連単:7,520円",,,,,,,,,,,,"馬単:6,120円 3連複:1,410円 3連単:15,740円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 9R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBC賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａトｰワフォｰエバｰ, 65,藤田伸,, 65,   1,*  8, 1,  2.8,⑫⑩⑥, 1, 4,Ｄメイショウグレア, 64,伴啓太,, 76,   5,*  8, 3,  8.9,⑬⑬⑪, 1, 7,Ｋダブルスパｰク, 64,川須栄,, 72,  -7,* 16,10, 25.9, ⑯⑭, 1, 1,Ｂショウナンマハ, 77,秋山真,, 74,  -4,*  8, 4,  6.8, ⑦⑥
 2, 1,Ｃフリティラリア, 61,横山和, 0.2, 62,   1,*  6, 4,  6.8,⑩⑨⑩, 2, 2,Ｌスカｰレットポピｰ, 52,勝浦正, 0.1, 75,   8,*  1, 5, 13.8,⑥⑦⑥, 2,15,Ａモｰニングコｰル, 77,丸田恭, 0.2, 77,* 14,  -6, 2,  6.0, ②②, 2, 3,Ｆヤマニンプチガトｰ, 73,藤田伸, 0.2, 72,   2,   0, 2,  4.4, ④②
 3, 6,Ｄタカヒロガｰトップ, 60,柴山雄, 0.3, 62,   4,   1, 2,  5.0,③③③, 3, 1,Ｃダルメシアン, 65,松田大, 0.4, 70,   9,  -6, 6, 16.2,④⑤③, 3,10,Ｆトランドネｰジュ, 68,福永祐, 0.4, 73,  11,  -7, 1,  2.6, ③③, 3,10,Ｇゴｰイングパワｰ, 71,川須栄, 0.3, 71,*  9,  -8, 5,  9.6, ②①
 4, 7,Ｈサマｰキララ, 56,川須栄, 0.6, 61,*  5,  -2, 9, 54.8,⑦⑤②, 4, 7,Ｅフェイマスシｰン, 62,黛弘人, 0.7, 69,   9,  -8, 4, 10.2,⑦⑥⑦, 4,14,Ｐジョアンシｰピン, 59,村田一, 0.6, 66,  -3,*  4,11, 36.3, ⑬⑬, 4, 7,Ｃワキノブレイブ, 76,四位洋, 0.3, 70,  -7,*  7, 1,  2.8, ⑩⑧
 5, 3,Ｌアキノハｰト, 46,荻野琢, 0.6, 58,   2,   1,12, 98.1,⑥⑥⑦, 5, 3,Ｂフロレント, 67,丸田恭, 0.8, 68,   6,  -4, 2,  8.8,⑨⑩⑨, 5, 4,Ｄフィｰルドメジャｰ, 69,内田博, 0.9, 64,   3,  -5, 3,  7.0, ⑨⑧, 5, 4,Ａレッドガルシア, 77,松田大, 0.5, 67,  -2,   0, 3,  5.5, ⑥⑦
 6,11,Ｅペプチドアメジスト, 60,岩田康, 1.0, 56,*  5,  -8, 5,  7.7,②②①, 6, 6,Ｆアンカジャポニカ, 61,古川吉, 1.0, 64,* 10, -18, 7, 20.7,③②①, 6, 8,Ｍトウシンヴィｰナス, 62,菱田裕, 1.0, 61,   1,  -4, 7, 19.9, ⑪⑪, 6, 5,Ｅニコｰルバロｰズ, 74,菱田裕, 0.6, 67, -11,*  7, 7, 18.6, ⑫⑫
 7,12,Ｆフライングマオ, 58,丸山元, 1.5, 53,   3,  -7, 7, 24.0,⑤⑦⑤, 7,10,Ａワッペンジュニア, 69,福永祐, 1.6, 60,* 10, -24, 1,  1.7,⑤③④, 7, 1,Ｌメイショウヒメユリ, 63,川島信, 1.0, 64,   6,  -9,16,104.9, ⑦⑤, 7,11,Ｋサクラベル, 68,勝浦正, 0.9, 63,   5, -12, 6, 13.8, ③④
 8, 9,Ｇエルクイｰン, 58,城戸義, 1.9, 49,*  5, -16, 8, 29.6,①①④, 8,14,Ｋニシノアイボウ, 53,横山和, 2.0, 58,   4, -14,11, 99.4,⑯⑮⑫, 8, 2,Ｈラブグランデｰ, 66,柴山雄, 1.2, 59,   2,  -8,12, 45.3, ⑩⑩, 8, 9,Ｄミッキｰオリｰブ, 76,丸山元, 0.9, 62,   2,  -9,10, 43.8, ⑤③
 9, 5,Ｍメイショウヒビキ, 46,古川吉, 1.9, 55,   1,  -5,13,177.0,⑪⑫⑪, 9,15,Ｐマルシアｰノ, 39,津村明, 2.1, 55,* 10, -33,13,114.0,①①②, 9, 9,Ｉスｰパｰアｰス, 66,津村明, 1.2, 62,   8, -14, 9, 23.1, ④④, 9, 8,Ｈハンタｰワディ, 71,川島信, 1.1, 61, -17,*  7,12, 81.2, ⑬⑬
10, 8,Ｂアンバｰドリｰム, 65,三浦皇, 1.9, 50,   2, -10, 3,  6.1,⑬⑧⑧,10, 8,Ｊメイショウバッカス, 53,四位洋, 2.4, 54,   6, -26, 9, 29.9,⑪⑪⑧,10, 6,Ｏレッドマｰキュリｰ, 61,三浦皇, 1.2, 59,  -2,  -4,14, 81.2, ⑫⑮,10, 6,Ｉニシノマナザシ, 70,吉田隼, 1.5, 54,  -6,  -9, 8, 40.1, ⑨⑩
11,10,Ｋプｰカ, 52,内田博, 3.5, 39,*  5, -27, 6,  8.0,④④⑨,11,16,Ｏフォントネｰ, 50,村田一, 2.4, 55,   9, -32,16,418.0,②④⑤,11, 5,Ｅニュアｰジゲラン, 69,田中博, 1.2, 58,  -4,  -2,13, 56.4, ⑭⑫,11,12,Ｊエクレウス, 70,古川吉, 1.6, 53,  -4, -12,13,119.4, ⑧⑨
12, 2,Ｊガッテンハピネス, 52,伴啓太, 4.5, 33,   1, -30,10, 75.6,⑧⑪⑫,12,13,Ｇオベレック, 59,丸山元, 2.6, 51,   5, -26,10, 45.7,⑫⑭⑭,12,13,Ｎカイルアロマンス, 62,丹内祐, 1.4, 56,  -4,  -4,15,104.2, ⑮⑯,12,13,Ｌジョｰジジョｰジ, 67,上村洋, 1.7, 53,  -7, -10,11, 64.3, ⑪⑪
,,,,,,,,,,,,13, 5,Ｈワイハｰノカゼ, 57,菱田裕, 2.6, 52,   4, -23,14,139.7,⑮⑯⑮,13,16,Ｃワイドロスメルタ, 72,伴啓太, 1.4, 65,* 18, -27, 5, 11.7, ①①,13, 2,Ｍデコルテ, 57,田中博, 2.7, 40,*  8, -37, 9, 42.1, ①⑤
,,,,,,,,,,,,14,12,Ｉダイメイハルオ, 57,三浦皇, 2.6, 53,   7, -28, 8, 22.1,⑭⑫⑩,14, 3,Ｊヒラボクロマンス, 66,古川吉, 2.2, 47,   4, -23, 4,  8.2, ⑧⑨,,,,,,,,,,,,
,,,,,,,,,,,,15,11,Ｍメイショウゴリン, 52,吉田隼, 3.0, 48,   6, -35,12,109.3,⑩⑧⑬,15,11,Ｇロンギングトゥユｰ, 66,横山和, 3.4, 34,   7, -40, 8, 20.0, ⑤⑥,,,,,,,,,,,,
,,,,,,,,,,,,16, 9,Ｎオニユリ, 51,秋山真, 7.9, -8,   6, ---,15,206.2,⑧⑨⑯,16,12,Ｂタオルチャン, 75,丸山元, 4.5, 21,   7, -53, 6, 13.3, ⑥⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:不良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:14),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:14),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:14),,,,,,,,,,,
単勝:280円 複勝:04=140円 01=170円 06=140円 枠連:810円,,,,,,,,,,,,"単勝:890円 複勝:04=250円 02=510円 01=350円 枠連:1,300円",,,,,,,,,,,,"単勝:2,590円 複勝:07=530円 15=190円 10=130円 枠連:1,990円",,,,,,,,,,,,"単勝:680円 複勝:01=200円 03=160円 10=290円 枠連:1,130円",,,,,,,,,,,
馬連:720円 ワイド:01-04=280円 04-06=270円 01-06=430円,,,,,,,,,,,,"馬連:5,330円 ワイド:02-04=1,530円 01-04=1,150円 01-02=1,710円",,,,,,,,,,,,"馬連:6,590円 ワイド:07-15=1,720円 07-10=960円 10-15=380円",,,,,,,,,,,,"馬連:1,330円 ワイド:01-03=510円 01-10=1,120円 03-10=690円",,,,,,,,,,,
"馬単:1,440円 3連複:940円 3連単:3,960円",,,,,,,,,,,,"馬単:11,100円 3連複:14,630円 3連単:97,390円",,,,,,,,,,,,"馬単:17,870円 3連複:4,860円 3連単:62,980円",,,,,,,,,,,,"馬単:2,460円 3連複:3,710円 3連単:18,440円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
