13年 3月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
 9, 6,Ｊカシノレアネス, 48,大下智, 1.5, 50, -19,   4,14,382.9, ⑮⑭, 9,14,Ｊウルフ, 50,国分恭, 1.6, 49,   3, -24,12,141.7, ⑥⑧, 9, 3,Ｊオｰブライツ, 63,酒井学, 1.4, 57,  -4,   3,12,150.1, ⑬⑫, 9, 4,Ｎウィルパワｰ, 70,幸英明, 0.7, 73,*  5,  -3,10, 50.0, ②②
10,15,Ｉロングサリア, 48,幸英明, 1.8, 47, -14,  -3,11,102.1, ⑪⑫,10, 4,Ｎライドンシャフト, 42,菱田裕, 1.7, 48,   3, -25, 9, 35.9, ⑨⑦,10, 5,Ｉハロｰエフェクト, 64,藤岡佑, 1.6, 55,  -1,  -1,11,117.8, ⑩⑨,10,11,Ｇオｰルブランニュｰ, 75,小牧太, 0.8, 74,  -6,* 10, 9, 24.9, ⑮⑮
11,11,Ｈシナｰラ, 54,和田竜, 2.0, 47, -12,  -7,10, 49.4, ⑩⑩,11, 9,Ｐニホンピロホウオｰ, 30,酒井学, 1.9, 48,   2, -25,14,532.3, ⑩⑫,11, 7,Ｈノヴェッロ, 67,熊沢重, 2.6, 46,   1, -12, 9, 40.7, ⑨⑧,11, 9,Ｏマスイデア, 70,国分恭, 0.9, 71,  -4,   6,16,119.4, ⑬⑬
12,14,Ｋエンドレスエイト, 39,四位洋, 2.1, 44,* -4, -17, 4,  7.3, ④④,12,10,Ｋハｰデス, 49,岡田祥, 2.0, 45,*  6, -34,11, 40.3, ⑦⑤,12, 2,Ｌドナメデュｰサ, 55,岩崎翼, 3.3, 39,   1, -19,13,200.3, ⑥⑪,12,13,Ｂダンスファンタジア, 80,古川吉, 0.9, 71,  -4,   6, 7, 16.2, ⑭⑭
13,12,Ｌヴェｰルフォンセ, 39,国分恭, 2.9, 39, -19,  -7,15,519.7, ⑯⑮,13, 1,Ｉエルウェｰフェロｰ, 52,小坂忠, 2.5, 42,   1, -29,13,427.3, ⑮⑮,13, 4,Ｇタツフラッシュ, 67,幸英明, 4.7, 28,* 10, -42, 5,  7.2, ①③,13, 8,Ｐトｰホウシンバル, 69,和田竜, 0.9, 70,   0,   1,15,117.0, ⑩⑩
14, 2,Ｎベンテンオリュウ, 33,太宰啓, 2.9, 37, -11, -17,13,256.3, ⑧⑦,14, 3,Ｌアスタｰバリュｰ, 43,花田大, 3.6, 32,  -4, -38,16,648.1, ⑯⑯,,,,,,,,,,,,,14,10,Ｋフラムドｰル, 72,太宰啓, 1.2, 70, -10,   8,14,110.0, ⑯⑯
15,13,Ｏテイエムキャッスル, 32,佐久間, 3.6, 31, -21, -13,16,528.1, ⑭⑯,15,12,Ｂレッドカチュｰシャ, 66,藤岡佑, 4.0, 32,   4, -62, 2,  4.5, ④④,,,,,,,,,,,,,15,15,Ｆペルレンケッテ, 76,浜中俊, 2.1, 55,*  4, -20, 3,  5.8, ③③
16, 1,Ｐレンテンロｰズ, 16,熊沢重, 4.0, 28,  -7, -30,12,107.7, ⑤⑤,16,16,Ｏグンシン, 41,熊沢重, 4.2, 30,   5, -63,15,573.9, ⑤⑥,,,,,,,,,,,,,16,16,Ｊカトルズリップス, 73,藤田伸, 2.2, 54,*  3, -22,11, 54.0, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,
単勝:250円 複勝:04=120円 16=220円 03=350円 枠連:640円,,,,,,,,,,,,"単勝:1,590円 複勝:11=360円 08=110円 07=220円 枠連:290円",,,,,,,,,,,,単勝:280円 複勝:11=130円 09=160円 08=180円 枠連:290円,,,,,,,,,,,,"単勝:1,510円 複勝:01=400円 07=160円 12=160円 枠連:2,690円",,,,,,,,,,,
"馬連:710円 ワイド:04-16=320円 03-04=620円 03-16=1,360円",,,,,,,,,,,,"馬連:1,610円 ワイド:08-11=650円 07-11=1,390円 07-08=290円",,,,,,,,,,,,馬連:600円 ワイド:09-11=260円 08-11=370円 08-09=590円,,,,,,,,,,,,"馬連:2,930円 ワイド:01-07=1,020円 01-12=1,040円 07-12=310円",,,,,,,,,,,
"馬単:1,320円 3連複:3,390円 3連単:12,190円",,,,,,,,,,,,"馬単:5,130円 3連複:2,890円 3連単:31,630円",,,,,,,,,,,,"馬単:930円 3連複:1,260円 3連単:4,000円",,,,,,,,,,,,"馬単:7,490円 3連複:3,390円 3連単:31,020円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 5R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝3900m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1400m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,阪神ｽﾌﾟﾘﾝｸﾞｼﾞｬﾝﾌﾟ,,,,,,,,,,,,ﾎﾟﾗﾘｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｌクリノヒマラヤオｰ, 50,浜中俊,, 71,*  1,*  7, 4,  5.7,①①①, 1,14, アプロｰチング,---,小牧太,, 53,*  0, -13, 7, 17.5,③④②, 1, 4, シゲルジュウヤク,,中村将,,,,, 5, 19.1,①①①, 1,11,Ｃエアウルフ, 89,浜中俊,, 88,   7,* 17, 3,  6.4, ⑨⑥
 2, 2,Ｅサンライズワｰルド, 57,和田竜, 0.7, 70,*  1,   4, 3,  5.1,③③②, 2, 9, クｰルミニスタｰ,---,小林徹, 0.6, 51,  -4,* -8,11, 44.9,⑫⑫⑫, 2, 2, マｰベラスカイザｰ,,熊沢重,262.1,,,, 1,  2.9,④③③, 2, 2,Ｂスティｰルパス, 89,池添謙, 0.0, 88,   7,* 17, 2,  4.7, ⑦⑤
 3, 3,Ｄハギノサキガチ, 59,池添謙, 1.0, 67,  -2,*  6, 6, 10.0,⑩⑨⑦, 3,13, ダノンリュウオｰ,---,幸英明, 0.6, 51,  -4,* -9, 3,  6.3,⑨⑩⑪, 3, 8, バアゼルリバｰ,,小坂忠,262.8,,,, 2,  3.0,⑤⑤⑤, 3, 1,Ｇトウショウカズン, 87,デムｰ, 0.0, 88,   9,  13, 1,  3.9, ③③
 4,12,Ｂナムラドキョウ, 63,幸英明, 1.1, 64,  -2,   3, 1,  3.6,⑧⑦⑤, 4,11, エイシンリュウウン,---,池添謙, 0.6, 51,  -1, -16, 1,  3.0,④③④, 4, 5, ナリタシャトル,,西谷誠,263.0,,,, 9, 42.1,②④④, 4, 6,Ｄウォｰタｰルルド, 89,菱田裕, 0.3, 86,   9,  13, 4,  7.2, ⑤⑦
 5,10,Ｃコマノアｰティスト, 62,デムｰ, 1.5, 62,  -1,  -2, 2,  3.7,⑥⑥⑥, 5, 2, エｰシンゴｰゴｰ,---,岡田祥, 0.8, 50,  -6,* -7, 2,  3.9,⑭⑭⑭, 5,11, ワシャモノタリン,,高田潤,263.2,,,, 4, 16.1,③②②, 5, 8,Ｋタイセイシュバリエ, 86,幸英明, 0.3, 86,   6,* 16, 6,  8.4, ⑩⑨
 6, 8,Ｆマッシヴビクトリｰ, 57,小牧太, 2.0, 57,*  0,  -8, 7, 19.1,④⑤④, 6, 4, マルブツツヨシ,---,佐久間, 0.9, 47,*  1, -21,13, 88.3,①①①, 6, 6, ウォｰクラウン,,林満明,264.4,,,, 6, 24.0,⑧⑦⑥, 6,16,Ｊナガラオリオン, 86,北村友, 0.5, 84,  10,   9, 5,  7.6, ④④
 7, 5,Ａティマイドリｰム, 65,小坂忠, 2.0, 61,  -3,  -1, 5,  8.7,⑤⑩⑪, 7, 7, スリｰアクシオ,---,中村将, 0.9, 49,  -6,* -9, 9, 21.7,⑬⑬⑬, 7,12, アグネスハイヤｰ,,北沢伸,264.7,,,, 7, 27.4,⑨⑧⑧, 7, 9,Ｈケイアイテンジン, 87,藤田伸, 0.7, 83,   3,* 16, 8, 16.3, ⑫⑬
 8,13,Ｋスリｰマｰゴｰン, 51,国分恭, 2.5, 56,  -2,  -7,12,184.9,⑪⑪⑧, 8, 1, ウォｰタｰグッデイ,---,岩崎翼, 1.0, 47,*  0, -20,12, 46.7,⑮⑤③, 8, 3, ビｰビｰスカット,,横山義,266.2,,,, 8, 31.8,⑥⑥⑦, 8,12,Ａアドバンスウェイ, 90,小牧太, 0.7, 81,* 11,   6, 7, 12.2, ②②
 9, 1,Ｍアスカノトゥｰレ, 49,川島信, 3.0, 53,  -4,  -8,13,288.8,⑨⑫⑫, 9, 5, ポワドサントゥｰル,---,川島信, 1.0, 49,  -4, -13, 8, 20.4,⑩⑪⑧, 9, 7, マイネルネオス,,浜野谷,268.1,,,,10, 76.0,⑩⑨⑨, 9, 5,Ｎキングストリｰト, 80,酒井学, 1.1, 80,   2,  14,12,148.7, ⑮⑫
10,11,Ｇマゼｰル, 55,岡田祥, 3.1, 51,  -2, -12,11, 92.2,⑦⑧⑨,10, 6, ゴｰルドヴァレｰ,---,浜中俊, 1.4, 45,  -1, -21, 4, 10.2,⑥⑥⑤,10, 9, ドラゴンハンタｰ,,植野貴,273.9,,,,12,162.2,⑪⑪⑪,10, 4,Ｉトシギャングスタｰ, 86,藤岡佑, 1.2, 80,   1,  14,10, 53.7, ⑭⑭
11, 7,Ｈワンダｰプロフィｰ, 54,岩崎翼, 3.6, 48,  -4, -13, 9, 56.5,⑬⑬⑬,11, 8, スタンドオントップ,---,酒井学, 2.0, 44,  -2, -24, 6, 14.5,⑧⑧⑨,11,10, ランヘランバ,,五十嵐,276.0,,,,11, 93.6,⑦⑩⑩,11,14,Ｐレオンビスティｰ, 63,川島信, 1.4, 77,   8,   4,11, 77.6, ⑥⑧
12, 9,Ｊシゲルカニザ, 51,太宰啓, 4.5, 43,*  0, -29,10, 67.9,⑫②③,12,16, サンマルヴィグラス,---,小坂忠, 3.1, 37,   0, -37,15,181.1,②②⑦,,,,,,,,,,,,,12,13,Ｆワンダｰポデリオ, 87,太宰啓, 1.6, 76,   4,   7,16,470.7, ⑪⑪
13, 6,Ｉスマｰトピアス, 51,菱田裕, 5.8, 35,  -1, -37, 8, 53.1,②④⑩,13,10, メイショウヤマナミ,---,太宰啓, 3.4, 35,  -7, -26,10, 39.9,⑪⑮⑮,,,,,,,,,,,,,13,15,Ｌエｰシンジェイワン, 84,和田竜, 2.0, 72,* 12,  -7, 9, 20.4, ①①
,,,,,,,,,,,,14,12, シゲルミズヘビザ,---,古川吉, 3.8, 33,  -3, -39,14,138.7,⑤⑨⑩,,,,,,,,,,,,,14,10,Ｅハギノリベラ, 89,中村将, 2.0, 73,  -6,* 16,14,371.6, ⑯⑯
,,,,,,,,,,,,15,15, タイキアセンブリｰ,---,藤岡佑, 4.1, 31,  -2, -43, 5, 11.5,⑦⑦⑥,,,,,,,,,,,,,15, 7,Ｍガブリン, 83,小林徹, 2.1, 72,   1,   7,15,459.7, ⑬⑮
,,,,,,,,,,,,16, 3, メイショウアンズ,---,国分恭, 5.4, 24,  -8, -42,16,211.8,⑯⑯⑯,,,,,,,,,,,,,16, 3,Ｏシェアｰスマイル, 66,花田大, 2.5, 67,   6,  -3,13,285.9, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,
"単勝:570円 複勝:04=230円 02=230円 03=260円 枠連:1,140円",,,,,,,,,,,,"単勝:1,750円 複勝:14=720円 09=1,130円 13=230円 枠連:4,670円",,,,,,,,,,,,"単勝:1,910円 複勝:04=250円 02=120円 08=130円 枠連:3,030円",,,,,,,,,,,,単勝:640円 複勝:11=170円 02=170円 01=150円 枠連:470円,,,,,,,,,,,
"馬連:1,580円 ワイド:02-04=690円 03-04=960円 02-03=700円",,,,,,,,,,,,"馬連:45,550円 ワイド:09-14=14,970円 13-14=1,450円 09-13=4,620円",,,,,,,,,,,,"馬連:2,220円 ワイド:02-04=610円 04-08=840円 02-08=170円",,,,,,,,,,,,"馬連:1,580円 ワイド:02-11=580円 01-11=400円 01-02=320円",,,,,,,,,,,
"馬単:3,500円 3連複:3,550円 3連単:20,020円",,,,,,,,,,,,"馬単:95,260円 3連複:104,720円 3連単:681,670円",,,,,,,,,,,,"馬単:8,290円 3連複:1,990円 3連単:27,430円",,,,,,,,,,,,"馬単:3,710円 3連複:1,600円 3連単:11,290円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ゆきやなぎ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａマッケンジｰ, 67,浜中俊,, 67,* -2,*  6, 2,  3.7, ①①, 1,10,Ｂロｰガンサファイア, 68,藤岡佑,, 68,  -5,*  7, 1,  3.5, ⑫⑪, 1, 7,Ｄトウシンモンステラ, 69,酒井学,, 82,   7,*  9, 4,  6.4,⑪⑪⑫, 1,12,Ａワイルドフラッパｰ, 84,デムｰ,, 86,* 15,*  4, 3,  6.1,①①①
 2,14,Ｇサトノエクセル, 54,デムｰ, 1.3, 58,  -5,  -2, 1,  3.2, ⑤③, 2, 1,Ｄモンマックス, 66,菱田裕, 0.1, 69,*  4,  -4, 2,  4.7, ③②, 2, 2,Ｈアドマイヤスピカ, 65,池添謙, 0.3, 78,   7,*  5, 2,  4.7,⑩⑩⑪, 2, 8,Ｂツルマルスピリット, 83,小牧太, 0.2, 83,* 15,   4, 1,  2.9,②②②
 3, 6,Ｃメイショウドゥｰマ, 64,太宰啓, 1.3, 58,  -6,  -1, 3,  4.5, ⑧④, 3, 9,Ｇサンキストロｰド, 63,デムｰ, 0.2, 67,   2,  -4, 3,  6.4, ⑤④, 3, 1,Ｌポセイドンバロｰズ, 55,菱田裕, 0.3, 77,   8,  -1,12, 29.8,⑥④④, 3,14,Ｇサンライズスマｰト, 79,国分恭, 1.0, 80,  12,   1, 6, 15.4,⑧⑥⑤
 4, 5,Ｅタイムアラウド, 57,藤田伸, 1.3, 59,  -7,   1, 6,  9.8, ⑦⑧, 4, 3,Ｅヒシガｰネット, 66,浜中俊, 0.2, 67,   1,  -3, 6,  8.3, ④⑥, 4,10,Ｆハマノグレｰド, 66,幸英明, 0.9, 73,*  9, -13, 9, 21.4,②②②, 4, 2,Ｉラガｰトモヒｰロ, 79,酒井学, 1.1, 83,   9,*  8, 7, 17.8,⑫⑪⑪
 5, 7,Ｄラロｰザブル, 62,幸英明, 1.4, 57,  -9,   2, 4,  7.9, ⑪⑨, 5, 5,Ｆコスモリｰプリング, 64,酒井学, 0.3, 68,*  6,  -9, 7, 13.9, ①①, 5, 9,Ｃプライドイズメシア, 71,四位洋, 1.0, 71,   8,  -8, 6, 14.6,⑫⑫⑩, 5, 4,Ｈサウンドビガレス, 79,菱田裕, 1.2, 79,  12,   0, 9, 38.4,④⑤⑥
 6, 3,Ｆメイショウオトワカ, 55,藤岡佑, 1.7, 56, -10,   2, 8, 38.3, ⑮⑮, 6, 6,Ｊトップエトワｰル, 55,太宰啓, 0.5, 61,  -5,*  0,12,119.9, ⑩⑫, 6, 6,Ｂジャングルパサｰ, 72,藤田伸, 1.0, 71,   8,  -8, 1,  4.4,⑨⑨⑨, 6, 7,Ｋハギノコメント, 76,北村友, 1.2, 79,  12,   2,12,217.7,⑦⑧⑦
 7, 9,Ｂワンダｰブラザウン, 65,小林徹, 1.9, 53, -12,   2, 5,  8.9, ⑯⑯, 7, 2,Ｉクインスウィｰティ, 57,和田竜, 0.7, 61,  -1,  -6, 9, 31.8, ⑦⑨, 7, 3,Ｉセレブリティモデル, 62,デムｰ, 1.3, 68,   8, -13, 3,  5.7,⑦⑧⑧, 7, 3,Ｅポップアイコン, 81,浜中俊, 1.3, 77,  13,  -3, 2,  3.5,③③③
 8, 4,Ｈスマｰトジュメイラ, 53,菱田裕, 2.1, 51,  -5,  -9,14,340.8, ④⑥, 8,11,Ｃアカノジュウロク, 67,国分恭, 0.9, 57,  -1,  -9,10, 50.7, ⑨⑧, 8,13,Ｇイントレピッド, 66,太宰啓, 1.7, 66,   8, -21,10, 25.1,⑤⑥⑦, 8, 6,Ｄハスラｰ, 82,和田竜, 1.7, 77,  10,  -1, 4,  7.2,⑨⑨⑧
 9,15,Ｏワンダｰノブレス, 40,岩崎翼, 2.3, 49,  -6, -10,10, 72.7, ⑥⑦, 9, 4,Ｈアグネスキズナ, 62,幸英明, 1.2, 54,   0, -14, 5,  7.0, ⑧⑦, 9,12,Ａブレｰクビｰツ, 78,藤岡佑, 1.9, 65,* 10, -25, 8, 14.9,③③③, 9, 9,Ｏスタンドバイミｰ, 73,四位洋, 1.9, 76,  11,  -2,10, 45.8,⑩⑩⑩
10,13,Ｉフィボナッチ, 52,和田竜, 2.4, 50,  -9,  -6, 7, 27.1, ⑬⑩,10, 7,Ｌレディｰ, 52,四位洋, 1.5, 49,  -5, -13,11, 57.2, ⑪⑩,10, 4,Ｅクラウディオス, 69,北村友, 2.0, 62,   8, -26, 7, 14.7,⑧⑦⑥,10,10,Ｆイｰサンジャンパｰ, 80,藤岡佑, 2.0, 75,   6,*  5,11,134.8,⑭⑭⑭
11, 8,Ｌオンワｰドマイケル, 48,酒井学, 2.4, 52, -10,  -4,15,354.8, ⑭⑭,11,12,Ｋグッドジｰン, 53,藤田伸, 1.7, 48,   3, -24, 8, 26.6, ⑥⑤,11,11,Ｊヴァｰティカルサン, 61,浜中俊, 2.2, 61,   8, -29, 5,  8.4,④⑤⑤,11,15,Ｃバンブｰリバプｰル, 82,太宰啓, 2.3, 72,  13, -12, 5,  8.8,⑤④④
12, 1,Ｎハイポジティブ, 44,岡田祥, 2.6, 48,  -9,  -8,11,183.6, ⑨⑪,12, 8,Ａジャガｰバロｰズ, 72,池添謙, 3.0, 32,*  4, -42, 4,  6.6, ②③,12, 8,Ｋコスモアリュｰル, 59,和田竜, 2.4, 61,* 10, -35,13,110.6,①①①,12,11,Ｊサトノシｰザｰ, 78,池添謙, 2.5, 71,   8,  -3, 8, 33.6,⑬⑫⑫
13, 2,Ｊメイショウオニグマ, 51,川島信, 2.7, 47,* -4, -15, 9, 70.5, ③⑤,,,,,,,,,,,,,13, 5,Ｍオリオンザヒｰロｰ, 42,小牧太, 2.6, 60,   4, -20,11, 28.8,⑬⑬⑬,13,13,Ｍシャイニｰダンディ, 75,古川吉, 2.6, 72,   7,   0,14,470.9,⑮⑬⑬
14,16,Ｍカワキタミラクル, 44,古川吉, 2.8, 46,* -4, -17,16,426.2, ②②,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｌアグネスティンクル, 76,小林徹, 2.7, 68,  11, -10,13,415.0,⑥⑦⑨
15,11,Ｐシゲルウオザ, 31,北村友, 3.3, 41, -10, -14,13,323.2, ⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｎピュアマリｰン, 73,佐久間, 4.0, 62,   4,  -7,15,523.4,⑪⑮⑮
16,12,Ｋドンレジェンド, 51,国分恭, 3.5, 41, -10, -15,12,219.9, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
