13年 6月29日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月29日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
12, 2, ジョｰトップレディ,---,菱田裕, 3.9, 10, -13, -35,11,131.5, ⑪⑪,,,,,,,,,,,,,12, 7,Ｉエディン, 67,藤田伸, 3.7, 50,   9, -22, 4,  6.3,③⑥⑪,12, 3,Ｇウインデスティニｰ, 62,古川吉, 1.2, 56,* -1,  -6, 9, 37.7,⑤④④
,,,,,,,,,,,,,,,,,,,,,,,,13, 1,Ｍサマニトップレディ, 55,城戸義, 4.5, 43,   4, -20,12,110.6,②⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,
単勝:250円 複勝:06=110円 01=140円 11=120円 枠連:540円,,,,,,,,,,,,"単勝:15,860円 複勝:07=2,090円 06=110円 04=300円 枠連:3,260円",,,,,,,,,,,,"単勝:1,140円 複勝:03=290円 06=180円 04=160円 枠連:1,480円",,,,,,,,,,,,単勝:740円 複勝:12=270円 06=190円 04=750円 枠連:840円,,,,,,,,,,,
馬連:670円 ワイド:01-06=230円 06-11=190円 01-11=260円,,,,,,,,,,,,"馬連:4,310円 ワイド:06-07=1,550円 04-07=8,430円 04-06=380円",,,,,,,,,,,,"馬連:1,580円 ワイド:03-06=730円 03-04=590円 04-06=320円",,,,,,,,,,,,"馬連:2,570円 ワイド:06-12=1,000円 04-12=5,370円 04-06=3,250円",,,,,,,,,,,
"馬単:1,200円 3連複:650円 3連単:3,080円",,,,,,,,,,,,"馬単:16,800円 3連複:14,790円 3連単:298,800円",,,,,,,,,,,,"馬単:4,530円 3連複:1,780円 3連単:17,100円",,,,,,,,,,,,"馬単:4,810円 3連複:33,550円 3連単:155,650円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 5R  芝1000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■11R  芝1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,TVh杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃアテンファｰスト, 66,城戸義,, 69,*  5,*  3, 3,  7.6,②②①, 1, 1, ビｰビｰブレイン,---,四位洋,,,,, 1,  1.6, ①①, 1, 1,Ａノボプレシャス, 73,横山和,, 68,* 11,  -7, 1,  2.1, ①①, 1, 9,Ｋファインチョイス, 74,岩田康,, 85,* 12,  15, 1,  2.4, ②②
 2, 7,Ａヒラボクプリンス, 70,菱田裕, 0.3, 68,   4,*  3, 1,  1.7,③④②, 2, 6, マイネルボルソｰ,---,丹内祐, 0.5,,,, 4,  6.2, ③③, 2, 6,Ｄショウナンワヒネ, 68,岩田康, 0.0, 61,  -3,*  3, 4,  8.3, ⑩⑩, 2, 2,Ｉアットウィル, 76,三浦皇, 0.2, 82,   7,  16, 2,  5.3, ④③
 3, 2,Ｄメイショウユニオン, 64,川島信, 1.0, 64,   2,   1, 7, 17.4,⑨⑦⑥, 3, 3, ヴォルカヌス,---,菱田裕, 0.7,,,, 2,  5.5, ⑤⑤, 3, 8,Ｂオンワｰドセジｰル, 68,勝浦正, 0.2, 57,  -8,*  4, 6, 14.0, ⑫⑫, 3, 6,Ｅニシノビｰクイック, 76,丹内祐, 0.5, 77,   0,* 20, 3, 10.1, ⑫⑫
 4, 3,Ｆコスモカトルカｰル, 55,丹内祐, 1.9, 57,   5, -11, 6, 15.2,⑤③④, 4, 2, ベストコレクション,---,柴山雄, 0.7,,,, 3,  6.1, ④④, 4, 2,Ｊパッション, 57,古川吉, 0.5, 59,   2,  -5, 9, 30.8, ⑦⑥, 4, 7,Ｌセイクレットレｰヴ, 73,丸山元, 0.5, 77,  -4,* 24, 5, 11.1, ⑭⑭
 5, 1,Ｅハギノエルドラド, 59,岩田康, 1.9, 57,   5, -11, 5, 15.1,⑧⑤⑤, 5, 5, アフリカンマｰチ,---,勝浦正, 1.2,,,, 6, 18.8, ②②, 5,12,Ｃビッグサンダｰ, 68,柴山雄, 0.7, 54,  -1,  -6, 3,  6.0, ⑨⑧, 5, 5,Ｇバｰトラムガｰデン, 76,津村明, 0.5, 78,   8,  13, 8, 15.1, ⑤④
 6, 4,Ｊカンタベリｰリュウ, 44,黛弘人, 2.5, 52,   3, -14, 9, 83.6,①⑥⑦, 6, 4, ラゴアボニｰタ,---,田中博, 2.6,,,, 5, 15.0, ⑥⑥, 6, 9,Ｅケンタッキｰロｰド, 65,松田大, 0.7, 52,  -5,  -3, 5, 13.6, ⑪⑪, 6,11,Ｈブルｰムｰンピサ, 76,四位洋, 0.6, 76,   4,  15, 9, 16.6, ⑩⑨
 7, 6,Ｈミストフェリｰズ, 52,柴山雄, 2.5, 51,*  6, -18, 4, 13.2,④①③,,,,,,,,,,,,, 7,11,Ｉミッドナイトリバｰ, 60,丹内祐, 0.9, 56,   3,  -9, 7, 21.1, ⑥⑤, 7, 8,Ｆエクセルシオｰル, 76,大野拓, 0.6, 77,* 13,   6, 7, 14.1, ①①
 8,10,Ｇプラチナレイン, 53,横山和, 2.8, 49,   1, -13, 8, 21.2,⑥⑧⑨,,,,,,,,,,,,, 8,10,Ｈキングスウィｰプ, 60,伴啓太, 1.1, 52,   3, -12,12,131.5, ⑤④, 8, 4,Ｊビスカヤ, 74,荻野琢, 0.8, 73,   2,  14,14, 86.3, ⑨⑪
 9, 9,Ｉブライトライジン, 52,松田大, 3.3, 46,   0, -15,10, 86.9,⑦⑨⑧,,,,,,,,,,,,, 8, 3,Ｇハクユウリリｰ, 63,三浦皇, 1.1, 59,* 12, -17, 8, 26.9, ②②, 9,13,Ｄクレバｰサンデｰ, 81,松田大, 0.8, 73,   8,   9,13, 70.9, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,10, 4,Ｋダブルスパｰク, 55,川須栄, 1.2, 50,  -1, -10,11, 49.0, ⑧⑨,10,10,Ｂダンスファンタジア, 84,北村宏, 0.8, 74,   0,  16, 4, 10.3, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,11, 5,Ｆワイズアンドクｰル, 64,津村明, 1.9, 45,   5, -20, 2,  5.6, ③③,11,12,Ｎエスカｰダ, 73,小林徹, 0.9, 72,   5,  10,12, 67.9, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｌモンサンスピカ, 52,丸山元, 8.7,-23,   5, -82,10, 39.1, ④⑦,12,14,Ｃキョウエイバサラ, 82,川須栄, 1.0, 71,* 10,   3, 6, 13.1, ③⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｍセレスマジェスティ, 73,丸田恭, 1.0, 70,   0,  14,11, 49.0, ⑪⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ａホクセツダンス, 85,藤田伸, 1.1, 70,   4,   9,10, 33.4, ⑧⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:良,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,
単勝:760円 複勝:08=160円 07=110円 02=350円 枠連:440円,,,,,,,,,,,,単勝:160円 複勝:01=110円 06=220円 枠連:0円,,,,,,,,,,,,単勝:210円 複勝:01=130円 06=230円 08=250円 枠連:430円,,,,,,,,,,,,単勝:240円 複勝:09=130円 02=160円 06=240円 枠連:650円,,,,,,,,,,,
"馬連:470円 ワイド:07-08=220円 02-08=1,090円 02-07=530円",,,,,,,,,,,,馬連:410円 ワイド:01-06=170円 01-03=180円 03-06=350円,,,,,,,,,,,,"馬連:1,100円 ワイド:01-06=490円 01-08=490円 06-08=1,060円",,,,,,,,,,,,"馬連:780円 ワイド:02-09=320円 06-09=580円 02-06=1,090円",,,,,,,,,,,
"馬単:1,440円 3連複:1,810円 3連単:9,680円",,,,,,,,,,,,"馬単:590円 3連複:600円 3連単:1,860円",,,,,,,,,,,,"馬単:2,080円 3連複:3,280円 3連単:12,660円",,,,,,,,,,,,"馬単:1,330円 3連複:2,730円 3連単:9,100円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 6R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■12R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,洞爺湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃデルマスナカケババ, 59,北村宏,, 64,* -5,*  5, 2,  3.9, ②②, 1,12,Ａリメインサイレント, 76,柴山雄,, 68,*  7,*  5, 1,  2.3,④③②, 1,12,Ａレッドフォルツァ, 79,柴山雄,, 70,* -2,* 19, 1,  2.4,②②②, 1, 4,Ｂスｰパｰムｰン, 86,北村宏,, 83,*-15,* 30, 2,  3.8,④③③
 2,10,Ｂプリマチュチュ, 60,城戸義, 0.2, 63,* -3,   2, 3,  5.4, ①①, 2, 6,Ｄティアップレｰヴ, 68,大野拓, 0.2, 65,*  8,  -3, 3,  6.5,②②①, 2,11,Ｄプラチナグロｰス, 76,藤田伸, 0.0, 72,* -2,  18, 2,  3.7,①①①, 2,10,Ａダノンジェラｰト, 89,三浦皇, 0.1, 82,*-15,  28, 1,  1.6,②②②
 3, 6,Ｋデルフィニア, -5,荻野琢, 0.4, 59,  -8,*  4,10, 63.9, ③③, 3, 2,Ｇマｰヴェリックス, 58,吉田隼, 0.6, 64,   3,*  7, 6, 18.1,⑨⑪⑥, 3, 9,Ｂプリティｰマッハ, 78,横山和, 0.1, 70,* -3,* 20, 8, 27.5,⑧⑤⑤, 3, 2,Ｇゼロス, 75,丸山元, 0.2, 79, -16,  29, 3,  6.5,③④④
 4, 9,Ｅラサイニ, 55,横山和, 0.5, 59,  -6,   2, 5, 13.8, ④④, 4, 7,Ｂアンバｰドリｰム, 71,三浦皇, 0.7, 62,   6,  -3, 4,  7.8,⑤⑤④, 4, 6,Ｌマイネルマルシェ, 66,丹内祐, 0.1, 72,* -3,* 19, 9, 85.3,⑤③③, 4, 1,Ｆメジロマリアン, 77,黛弘人, 0.4, 79, -18,  29, 8,138.7,⑤⑦⑦
 5, 4,Ｇクラッチブｰケ, 53,菱田裕, 0.8, 57,  -9,   1, 4,  5.6, ⑤⑤, 5, 3,Ｃプロミネントロｰル, 69,岩田康, 0.7, 63,   4,   1, 2,  3.0,⑦⑦⑤, 5, 7,Ｃゴｰルドゼウス, 77,丸山元, 0.3, 69,* -3,  18, 6, 12.8,③④④, 5, 6,Ｄコモノドラゴン, 79,川須栄, 0.4, 76,*-13,  22, 4, 14.5,①①①
 6, 2,Ａヴェアリアスロｰズ, 62,丸山元, 1.1, 55, -13,   3, 1,  2.7, ⑧⑧, 6, 4,Ｅシャイニｰデイズ, 61,秋山真, 0.7, 62,   4,   1, 5, 14.0,⑩⑧⑦, 6,10,Ｉシンワウォッカ, 70,吉田隼, 0.6, 67,  -4,  16,11,101.6,④⑦⑧, 6, 3,Ｈダブルオｰセブン, 74,木幡初, 0.5, 82, -19,* 33, 7, 65.1,⑨⑪⑩
 7, 7, ヴェルニ,---,秋山真, 1.1, 52, -19,*  5, 8, 34.2, ⑪⑪, 7, 5,Ｌラブインザミスト, 44,田中博, 1.3, 57,   0,   1,14,397.9,⑭⑬⑫, 7, 1,Ｆスタンドバイミｰ, 72,秋山真, 0.8, 66,  -5,  17, 7, 26.8,⑥⑧⑦, 7,11,Ｅコスモバタフライ, 78,丹内祐, 0.7, 74, -16,  23, 5, 18.6,⑩⑥⑥
 8,11,Ｊスリｰサンロｰズ, 39,川須栄, 1.2, 54,  -9,  -2,11, 70.3, ⑥⑥, 8,11,Ｍフロｰズンムｰン, 38,村田一, 1.4, 58,   0,   1,12,241.3,⑪⑭⑬, 8, 5,Ｇランドルト, 71,岩田康, 0.9, 65,  -5,  16, 3,  6.2,⑨⑨⑪, 8, 9,Ｃアｰルシネマスタア, 81,田中博, 0.9, 73, -18,  23,10,178.4,⑧⑧⑧
 9, 3,Ｈスノｰドロップ, 51,丹内祐, 1.3, 51, -18,   2, 7, 33.1, ⑩⑩, 9, 1,Ｈソルダテッサ, 51,菱田裕, 1.5, 55,   2,  -4, 7, 41.4,⑫⑫⑭, 9, 2,Ｋレオネプチュｰン, 67,村田一, 0.9, 66,  -6,  17,12,144.5,⑦⑩⑩, 9, 5,Ｊスズカゲイル, 70,丸田恭, 1.0, 70, -15,  19,12,258.8,⑥⑤⑤
10, 8,Ｆスタｰオブミュｰズ, 54,勝浦正, 1.3, 50, -15,   0, 6, 14.9, ⑨⑨,10, 8,Ｉディアリヴァル, 51,勝浦正, 1.6, 54,   4, -11, 9,106.4,⑬⑨⑪,10, 3,Ｊリワｰドレブロン, 70,大野拓, 1.1, 65,  -6,  16,10, 91.9,⑩⑪⑨,10, 7,Ｋキタサンパイロット, 70,松田大, 1.2, 71, -20,  25, 6, 26.7,⑫⑫⑫
11, 1,Ｄラストキャスケｰド, 55,田中博, 1.5, 49, -22,   3, 9, 41.7, ⑫⑫,11,13,Ｊデルマヤマンバ, 49,竹之下, 1.7, 52,   3, -11,11,181.3,⑧⑩⑩,11, 4,Ｈトウケイウイン, 70,川島信, 1.2, 65,  -5,  15, 5, 11.9,⑫⑫⑫,11, 8,Ｉシャイニｰダンディ, 71,古川吉, 1.2, 71, -19,  22, 9,165.6,⑦⑩⑪
12, 5,Ｉモンタｰジュ, 40,吉田隼, 1.6, 49, -11,  -4,12,113.7, ⑦⑦,12,10,Ｆミストラルシャワｰ, 59,横山和, 1.9, 48,*  8, -27, 8, 95.6,①①③,12, 8,Ｅマヤノカデンツァ, 75,北村宏, 1.2, 62,* -3,  11, 4,  7.6,⑪⑥⑥,12,12,Ｌニチリンロｰレル, 50,村田一, 1.4, 68, -18,  16,11,219.3,⑪⑨⑨
,,,,,,,,,,,,13,15,Ｎクレメンタイン, 38,黛弘人, 2.4, 46,   6, -25,10,168.3,⑥⑥⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 9,Ｋクリノアンデス, 48,菅原隆, 2.4, 45,   6, -25,13,247.8,③④⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,14,Ｏプティアノンス, 37,川島信, 2.5, 51,  -2,  -3,15,509.5,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-18 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-1),,,,,,,,,,,
"単勝:390円 複勝:12=170円 10=200円 06=1,610円 枠連:810円",,,,,,,,,,,,単勝:230円 複勝:12=120円 06=190円 02=360円 枠連:350円,,,,,,,,,,,,単勝:240円 複勝:12=130円 11=180円 09=490円 枠連:540円,,,,,,,,,,,,単勝:380円 複勝:04=110円 10=110円 02=160円 枠連:230円,,,,,,,,,,,
"馬連:1,160円 ワイド:10-12=380円 06-12=3,760円 06-10=4,270円",,,,,,,,,,,,"馬連:790円 ワイド:06-12=330円 02-12=690円 02-06=1,300円",,,,,,,,,,,,"馬連:430円 ワイド:11-12=290円 09-12=1,050円 09-11=1,360円",,,,,,,,,,,,馬連:250円 ワイド:04-10=140円 02-04=280円 02-10=260円,,,,,,,,,,,
"馬単:2,290円 3連複:34,220円 3連単:112,790円",,,,,,,,,,,,"馬単:1,200円 3連複:3,160円 3連単:8,930円",,,,,,,,,,,,"馬単:940円 3連複:3,310円 3連単:11,330円",,,,,,,,,,,,"馬単:700円 3連複:470円 3連単:2,460円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
