13年 3月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 9, 8,Ｊコリエドペルル, 44,城戸義, 2.2, 47,  -3, -16,11, 84.4,⑥⑥⑤, 9, 6, キングアルフォンス,---,北村友, 0.8, 57, -11,  10, 6, 18.2, ⑫⑬, 9,10,Ｊイｰリス, 66,菱田裕, 1.1, 58,  -4,   4, 8, 43.5, ⑤⑤, 9, 7,Ｌメイショウイチバン, 70,古川吉, 0.9, 80,  -5,  24, 6, 18.3,⑩⑩⑩
10, 5,Ｌハッピｰポケット, 40,中井裕, 2.4, 47,  -3, -20, 9, 54.8,②③④,10, 8,Ｇパｰプルルビｰ, 53,小坂忠, 0.8, 54,  -6,   3,12, 65.7, ⑦⑦,10, 5,Ｇマイネルアルティマ, 69,デムｰ, 1.3, 58,  -4,   3, 6, 18.1, ⑥⑦,10,10,Ｋケンブリッジシｰザ, 71,国分優, 1.0, 71,*  2,   5, 4, 11.9,④④③
11,10,Ｋダイヤモンドベリｰ, 42,和田竜, 2.4, 48,  -6, -13,12, 86.0,⑪⑪⑫,11,11,Ｌケｰジｰサクランボ, 38,城戸義, 1.0, 52,  -5,   0,18,468.6, ⑤⑤,11,11,Ｌカネトシスタチュｰ, 62,熊沢重, 1.3, 59,  -7,   6, 9, 59.9, ⑨⑨,11,12,Ｆトップチェッカｰ, 75,中井裕, 1.1, 77,  -5,  21,12, 69.6,⑪⑪⑪
12, 7,Ｇトｰホウガｰネット, 50,菱田裕, 2.7, 46,  -7, -14,13,207.5,⑬⑫⑭,12, 9, ステラインベレッタ,---,中井裕, 1.1, 52,  -9,   3,17,432.6, ⑨⑩,12,12,Ｍアカネチャン, 56,荻野要, 1.8, 53,* -3,  -3,10, 63.0, ③③,12, 8,Ｃタマモブラウン, 82,松山弘, 1.2, 77,  -6,  23, 8, 30.2,⑫⑬⑬
13, 6,Ｍバｰグペガサス, 39,国分恭, 3.1, 41,  -3, -23,10, 55.5,⑤⑤⑪,13,17,Ｈドヴェルグ, 52,岩崎翼, 1.5, 48, -14,   4,10, 45.1, ⑭⑮,13, 1,Ｎエスケイタイガｰ, 39,国分優, 1.9, 54, -11,   7,13,180.6, ⑫⑬,13,11,Ｄキンショｰオトヒメ, 80,上村洋, 1.3, 72,  -4,  14,10, 60.4,⑧⑨⑨
14,14,Ｈプリンセスナナミ, 48,長岡禎, 5.2, 29,  -4, -42,14,235.8,⑦⑦⑨,14, 7, クリノサンタクルス,---,中舘英, 1.8, 43, -13,  -2, 8, 21.5, ⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 4,Ｍスリｰサンロｰズ, 35,高倉稜, 2.0, 45, -16,   3,14,272.7, ⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,16, イスタンブｰル,---,菱田裕, 2.2, 39, -16,  -3,13, 67.6, ⑱⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 1,Ｊキリノトップジョｰ, 39,長岡禎, 2.3, 35,* -1, -22,15,305.4, ①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,14,Ｎキュウジツジュリア, 28,鮫島良, 2.7, 32, -17,  -7,16,316.5, ⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-1),,,,,,,,,,,
"単勝:160円 複勝:01=110円 09=250円 04=180円 枠連:1,170円",,,,,,,,,,,,単勝:320円 複勝:13=130円 10=140円 15=210円 枠連:440円,,,,,,,,,,,,"単勝:410円 複勝:09=190円 06=400円 13=300円 枠連:1,410円",,,,,,,,,,,,単勝:280円 複勝:03=120円 05=140円 09=450円 枠連:370円,,,,,,,,,,,
"馬連:1,150円 ワイド:01-09=390円 01-04=250円 04-09=1,010円",,,,,,,,,,,,馬連:510円 ワイド:10-13=220円 13-15=590円 10-15=410円,,,,,,,,,,,,"馬連:2,420円 ワイド:06-09=930円 09-13=720円 06-13=1,780円",,,,,,,,,,,,"馬連:490円 ワイド:03-05=220円 03-09=920円 05-09=1,360円",,,,,,,,,,,
"馬単:1,580円 3連複:1,920円 3連単:7,390円",,,,,,,,,,,,"馬単:1,050円 3連複:1,720円 3連単:6,760円",,,,,,,,,,,,"馬単:4,850円 3連複:5,760円 3連単:29,690円",,,,,,,,,,,,"馬単:840円 3連複:2,550円 3連単:8,410円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 8R  芝3140m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1400m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,三木ﾎｰｽﾗﾝﾄﾞﾊﾟｰｸｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｺｰﾗﾙｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂブットバセ, 56,浜中俊,, 64, -14,* 13, 2,  4.0, ⑩⑩, 1,10,Ｄアウトオブシャドウ, 61,川田将,, 79, -10,* 26, 6, 26.3, ⑩⑩, 1, 8, モズハリケｰン,,林満明,,,,, 4,  7.4,②③③, 1, 2,Ｃアドマイヤサガス, 89,川田将,, 90,   9,  18, 2,  4.1, ⑤⑤
 2,15,Ｅミリアグラシア, 53,福永祐, 0.0, 64, -11,* 10, 1,  3.2, ⑥⑥, 2, 9,Ｂゴドリｰ, 67,デムｰ, 0.0, 75,  -8,* 22, 1,  1.2, ⑧⑧, 2, 5, メイショウヨウドウ,,西谷誠,212.7,,,, 3,  5.4,③②①, 2, 8,Ａマルカフリｰト, 93,福永祐, 0.0, 91,   7,* 23, 1,  2.5, ⑨⑩
 3,13,Ａカトラス, 67,熊沢重, 0.1, 65,* -8,   7, 3,  4.6, ②②, 3,15,Ｅトルストイ, 60,菱田裕, 0.2, 71,* -6,  14, 2, 11.1, ④④, 3, 9, ユウタｰチェイサｰ,,金子光,212.7,,,, 8, 15.5,⑨⑨⑦, 3, 6,Ｄタイセイシュバリエ, 89,浜中俊, 0.4, 87,* 12,  13, 5, 14.7, ③③
 4,14,Ｉメイショウゴウワン, 47,武幸四, 0.3, 65,* -9,   6, 6, 13.9, ③③, 4,18,Ｐヒロノプリンス, 43,国分優, 0.3, 71,* -5,  12,18,635.0, ③③, 4,13, ルｰルプロスパｰ,,白浜雄,212.7,,,, 2,  4.8,①①②, 4,14,Ｊナガラオリオン, 87,北村友, 0.6, 86,   7,  18, 4, 12.6, ⑪⑨
 5, 7,Ｄハナズインパルス, 54,デムｰ, 0.5, 60, -13,   7, 4,  7.8, ⑦⑦, 5, 3,Ｏラガｰライオン, 44,国分恭, 0.7, 67, -10,  16,14,385.7, ⑨⑨, 5, 1, センシズバイオ,,植野貴,213.1,,,, 6, 10.6,④⑥⑤, 5,16,Ｂトウショウカズン, 90,デムｰ, 0.7, 85,  10,  11, 3,  4.6, ④④
 6,11, サカジロリュウオｰ,---,松山弘, 0.6, 58, -17,* 10,12, 72.9, ⑬⑬, 6, 7,Ｃミッキｰタイガｰ, 61,小牧太, 0.8, 68, -10,  16, 5, 23.0, ⑪⑪, 6, 7, アグネスミヌエット,,田村太,213.5,,,,10, 43.4,⑧⑩⑨, 6,15,Ｋトシギャングスタｰ, 84,国分恭, 0.7, 85,   4,* 19,13,158.1, ⑬⑮
 7,12,Ｆヤマノダイヤ, 49,高倉稜, 0.8, 56,* -7,  -1,11, 70.2, ①①, 7,13,Ｉエｰシンゴｰゴｰ, 51,福永祐, 0.8, 62,* -5,   3, 3, 14.9, ①①, 7, 4, メイショウブシドウ,,高田潤,213.5,,,, 7, 12.4,⑤④⑥, 7,12,Ｇアルゴリズム, 87,池添謙, 0.8, 84,   9,  13, 7, 19.1, ⑦⑥
 8, 9, タンティヴィｰ,---,国分恭, 1.0, 54, -13,   3, 9, 57.4, ⑧⑧, 8, 4,Ａシャイニｰデイズ, 68,岡田祥, 1.0, 65, -12,  14, 4, 15.0, ⑫⑫, 8, 2, メイショウタクミ,,黒岩悠,214.3,,,,12, 65.5,⑦⑦⑧, 8, 7,Ｉマルカベンチャｰ, 87,藤岡康, 0.9, 83,   4,  18, 9, 32.5, ⑭⑬
 9,10,Ｃゴｰルデンステッキ, 56,藤岡康, 1.2, 52, -10,  -2, 5, 10.0, ⑤⑤, 9, 6,Ｈエｰシンザホット, 57,松山弘, 1.0, 62,  -9,   8, 7, 26.6, ⑦⑦, 9, 3, スズマｰシャル,,浜野谷,214.4,,,,11, 49.6,⑩⑤④, 9, 1,Ｈスエズ, 87,松山弘, 1.0, 81,   7,  13,14,182.7, ⑧⑦
10, 5,Ｋヴェｰルフォンセ, 38,国分優, 1.4, 54, -14,   2,15,366.6, ⑪⑪,10,17,Ｆヤマノレガロ, 59,和田竜, 1.2, 59,* -6,   2,10, 94.2, ⑤⑤,10,12, リリｰスバｰジョン,,蓑島靖,215.4,,,,14,144.0,⑫⑧⑩,10,13,Ｎコウセイコタロウ, 77,四位洋, 1.2, 82,   4,  15,10, 32.9, ⑮⑫
11, 3,Ｍアイファｰシャトｰ, 35,太宰啓, 1.7, 53, -21,   7,14,190.4, ⑭⑭,11,11,Ｊポｰルシッタｰ, 50,川須栄, 1.3, 62, -12,  10, 8, 26.8, ⑬⑬,11,14, サトノケンオｰ,,熊沢重,215.5,,,, 1,  3.9,⑥⑪⑪,11, 5,Ｆヒラボクワイルド, 88,バルジ, 1.2, 81,   7,  13,11, 54.8, ⑩⑪
12,16,Ｇツヤマル, 49,川須栄, 1.9, 48, -13,  -5, 7, 15.2, ⑨⑨,12,16,Ｋカムイミンタラ, 50,秋山真, 1.5, 59, -13,  10,12,215.2, ⑰⑯,12, 6, マルカファントム,,森一馬,216.4,,,,13, 76.4,⑬⑬⑫,12, 4,Ｍブルロック, 79,菱田裕, 2.1, 74,   5,   6,15,244.4, ⑫⑭
13, 6,Ｈアスカリンカｰン, 48,長岡禎, 2.2, 44, -24,   3,10, 65.9, ⑮⑮,13, 8,Ｇヒカリサスペンス, 59,池添謙, 1.5, 60, -12,   9, 9, 61.4, ⑭⑭,13,10, シンワカントリｰ,,小坂忠,219.3,,,, 9, 32.8,⑪⑫⑬,13,11,Ｐタマモトッププレイ, 69,太宰啓, 2.2, 73,   9,   1, 8, 28.1, ⑥⑧
14, 4,Ｌシゲルサジタリアス, 38,バルジ, 2.4, 42, -10, -12, 8, 31.6, ④④,14,12,Ｍリュベロン, 47,北村友, 1.6, 59, -11,   8,15,404.7, ⑮⑮,,,,,,,,,,,,,14, 9,Ｏガンダｰラ, 73,国分優, 2.3, 73,   3,   7,12,123.3, ⑯⑯
15, 1, キョウワマイスタｰ,---,菱田裕, 2.6, 41, -16,  -9,13,107.8, ⑫⑫,15,14,Ｌトウカイルノン, 50,原田敬, 2.6, 38,* -5, -24,17,480.3, ②②,,,,,,,,,,,,,15,10,Ｅトラバント, 88,小牧太, 2.5, 69,* 12,  -6, 6, 18.3, ②②
16, 8,Ｊカシノビッグベン, 43,竹之下, 2.9, 38, -27,  -1,16,436.2, ⑯⑯,16, 5, アグネスエッジ,---,藤田伸, 2.8, 44, -14,  -4,13,217.0, ⑱⑱,,,,,,,,,,,,,16, 3,Ｌシゲルソウウン, 82,藤田伸, 3.1, 65,* 12, -11,16,391.8, ①①
,,,,,,,,,,,,17, 1,Ｎトウケイウイン, 46,中舘英, 3.1, 41, -14, -10,11,150.9, ⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 2, ランドマｰキュリｰ,---,藤岡佑, 3.3, 31,  -8, -27,16,471.3, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,
単勝:400円 複勝:02=140円 15=130円 13=150円 枠連:520円,,,,,,,,,,,,"単勝:2,630円 複勝:10=320円 09=100円 15=210円 枠連:1,040円",,,,,,,,,,,,"単勝:740円 複勝:08=250円 05=220円 09=380円 枠連:2,030円",,,,,,,,,,,,単勝:410円 複勝:02=160円 08=130円 06=300円 枠連:600円,,,,,,,,,,,
馬連:630円 ワイド:02-15=230円 02-13=350円 13-15=260円,,,,,,,,,,,,"馬連:910円 ワイド:09-10=420円 10-15=1,140円 09-15=260円",,,,,,,,,,,,"馬連:2,330円 ワイド:05-08=860円 08-09=940円 05-09=1,130円",,,,,,,,,,,,馬連:640円 ワイド:02-08=290円 02-06=910円 06-08=730円,,,,,,,,,,,
"馬単:1,390円 3連複:870円 3連単:4,430円",,,,,,,,,,,,"馬単:3,820円 3連複:1,930円 3連単:22,740円",,,,,,,,,,,,"馬単:5,160円 3連複:7,540円 3連単:39,190円",,,,,,,,,,,,"馬単:1,400円 3連複:2,330円 3連単:9,760円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■12R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｱｻﾞﾚｱ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｅサダムダイジョウブ, 63,川田将,, 68,* -6,* 14, 1,  3.5,②②②, 1, 4,Ｄキンショｰタイム, 72,菱田裕,, 73,   9,   3, 6, 24.8,④③③, 1, 3,Ａアドマイヤスピカ, 74,福永祐,, 94, -10,* 36, 1,  2.5,⑧⑧⑦, 1, 5,Ｉメイショウハガクレ, 70,浜中俊,, 85,* -6,  19, 8, 15.8, ①①
 2,12,Ｆレッドサクセサｰ, 62,デムｰ, 0.3, 68,  -7,* 13, 2,  4.2,⑥⑤④, 2, 7,Ｂスタｰソｰド, 73,バルジ, 0.0, 70,* 14,  -7, 4,  6.7,②②①, 2, 7,Ｇウインアルザス, 66,デムｰ, 0.0, 87,* -9,  29, 3,  4.2,①①①, 2,13,Ｈアグネスハビット, 72,川田将, 0.2, 83,  -8,  19, 5, 13.1, ③④
 3, 9,Ａサンライズワｰルド, 71,和田竜, 0.4, 68,  -7,  12, 4,  6.2,⑤⑥⑥, 3, 1,Ａパｰフェクトスコア, 75,松山弘, 0.4, 70,   5,*  7, 3,  4.7,⑧⑧⑦, 3, 2,Ｉライジングゴｰルド, 59,川田将, 0.3, 87, -10,  29, 2,  3.2,④④④, 3, 7,Ｇケイアイユニコｰン, 72,和田竜, 0.2, 83, -10,* 20, 2,  4.4, ⑤⑤
 4, 6,Ｉゴｰルデンヒｰロｰ, 60,国分恭, 0.5, 65,  -8,* 13, 8, 33.2,⑦⑧⑦, 4, 9,Ｅナムララオウ, 70,福永祐, 0.5, 70,   4,*  7, 2,  4.7,⑨⑨⑨, 4, 6,Ｄハマノグレｰド, 70,酒井学, 0.4, 85,* -9,  24, 6, 22.8,②②②, 4,12,Ｃフレデフォｰト, 76,池添謙, 0.2, 84, -12,* 23, 3,  6.3, ⑧⑧
 5, 5,Ｋウルフ, 56,秋山真, 0.6, 64,* -6,  10,10, 95.9,④④⑤, 5, 8,Ｇシュミット, 59,川田将, 0.5, 70,   5,   6, 9, 74.3,⑦⑦⑧, 5, 5,Ｆペプチドアマゾン, 66,浜中俊, 0.5, 83,* -9,  23, 4,  8.2,③③③, 5,14,Ｄメイショウツガル, 74,菱田裕, 0.3, 82, -11,* 20, 4,  6.7, ⑥⑦
 6,13,Ｄナムラマンジロウ, 64,福永祐, 0.7, 63,* -5,   7, 3,  4.6,①①①, 6, 2,Ｃオレアリア, 72,浜中俊, 0.6, 68,   6,   3, 1,  2.0,⑥⑥④, 6, 4,Ｂジャングルパサｰ, 73,松山弘, 1.0, 77, -10,  19, 5, 13.2,⑤⑥⑥, 6, 2,Ｆビットスタｰダム, 72,太宰啓, 0.5, 78,  -9,  15, 6, 13.4, ④③
 7, 1,Ｂハギノサキガチ, 68,池添謙, 0.8, 66,  -9,* 14, 7, 12.4,⑭⑭⑬, 7, 5,Ｈグランプリダッシュ, 58,デムｰ, 1.6, 63,   7,  -7, 8, 63.4,⑤⑤⑤, 7, 8,Ｅカノヤプレジデント, 67,国分恭, 1.6, 68, -10,  10, 8, 76.0,⑥⑤⑤, 7, 1,Ａゴｰルデンムｰン, 80,デムｰ, 0.6, 77, -13,  17, 1,  2.6, ⑦⑥
 8,14,Ｇトウケイポイント, 61,松山弘, 0.9, 61,  -8,   9, 6, 10.9,⑬⑨⑧, 8, 6,Ｆテイエムオオラジャ, 66,和田竜, 2.9, 53,* 14, -32, 7, 27.2,①①②, 8, 1,Ｃプライドイズメシア, 71,四位洋, 1.7, 70, -12,  13, 7, 28.3,⑦⑦⑧, 8,10,Ｊシエラデルタ, 68,中井裕, 0.6, 76,* -7,  12,11,103.2, ②②
 9,11,Ｃコンゴウセイウン, 65,バルジ, 0.9, 63,  -9,  12, 5, 10.4,⑫⑫⑩, 9, 3,Ｉアプロｰチング, 57,小牧太, 4.8, 41,   7, -34, 5, 17.3,③④⑥,,,,,,,,,,,,, 9, 4,Ｎナリタシｰズン, 53,川須栄, 0.6, 78, -15,* 20,13,293.7, ⑨⑩
10,15,Ｈマルシゲキング, 60,長岡禎, 1.1, 60,* -6,   4, 9, 64.0,③③③,,,,,,,,,,,,,,,,,,,,,,,,,10, 6,Ｌイントゥザストｰム, 65,福永祐, 0.8, 77, -15,  18, 7, 14.7, ⑪⑪
11, 7,Ｊカツトラマン, 57,国分優, 1.3, 60,  -9,   8,11,106.8,⑩⑩⑨,,,,,,,,,,,,,,,,,,,,,,,,,11, 9,Ｂスペシャルイモン, 78,岩崎翼, 1.0, 73, -18,  17,14,342.8, ⑬⑬
12, 4,Ｎタニノマンボ, 44,菱田裕, 1.6, 61, -11,  10,13,194.0,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,12,11,Ｅニシノモレッタ, 73,中舘英, 1.1, 70, -14,  12, 9, 49.7, ⑩⑨
13, 3,Ｌシゲルウミヘビザ, 52,太宰啓, 2.2, 55,  -8,   1,12,157.4,⑪⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｋマッシヴリｰダｰ, 68,熊沢重, 1.5, 66, -18,  11,10, 68.1, ⑫⑫
14, 2,Ｏメタリックゴｰルド, 39,水口優, 2.9, 50, -10,  -2,15,386.5,⑨⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,Ｍスタンドオントップ, 45,酒井学, 3.4, 47,  -9,  -8,14,238.4,⑮⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Ｐシゲルミズヘビザ, 34,古川吉, 4.5, 38,  -8, -22,16,443.5,⑧⑦⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,
