13年 1月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 1月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
 9,10,Ｉモスコｰオペラ, 40,小牧太, 3.1, 47,   2, -24, 6, 13.0,⑩⑨⑩, 9,12, エｰシンスパイシｰ,---,川島信, 1.8, 42, -24,*  2, 7, 24.2, ⑯⑮, 9, 7,Ｇコスモレイラ, 65,川島信, 3.3, 55,  -5,  -6, 8, 39.7,⑦⑦⑧, 9, 4,Ｆメイショウカルロ, 73,石橋守, 0.9, 64,  -7,   2, 8, 39.6, ⑨⑩
10, 8,Ｊスズカルミナリｰ, 37,国分恭, 3.2, 47,   1, -24,10,153.5,⑧⑩⑨,10, 2, ハギノレビュｰ,---,熊沢重, 2.0, 40, -20,  -3,13, 76.7, ⑭⑭,,,,,,,,,,,,,10, 1,Ｋジｰクジオン, 62,国分優, 1.0, 63, -14,*  7,10, 74.1, ⑫⑫
11, 5,Ｋポンドゥレｰヴ, 34,川島信, 5.3, 36,   1, -41, 9,111.3,⑪⑪⑪,11, 4, ケッキセヨ,---,幸英明, 2.1, 37, -19,  -7,11, 41.5, ⑬⑬,,,,,,,,,,,,,11, 9,Ｅコスモドロス, 74,川田将, 1.0, 63,*  4, -12, 6, 16.4, ③③
,,,,,,,,,,,,12, 5, サンライズヤマト,---,国分優, 2.2, 38, -23,  -1,15,109.0, ⑮⑯,,,,,,,,,,,,,12, 2,Ｌリネンパズル, 61,小牧太, 1.6, 55, -14,  -1,12,113.7, ⑪⑪
,,,,,,,,,,,,13,13, ストロンボリ,---,四位洋, 2.3, 36, -16, -14,10, 28.6, ⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 1, オクタｰヴ,---,藤田伸, 2.7, 34, -18, -13,16,158.5, ⑫⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,15, ダノンイルｰシヴ,---,岩田康, 3.3, 26,*-11, -28, 9, 28.1, ②②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,14, ワンダｰフロレゾン,---,小牧太, 3.5, 26, -14, -25, 8, 25.2, ⑥⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:稍重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:3),,,,,,,,,,,
"単勝:220円 複勝:06=130円 02=580円 04=2,910円 枠連:2,070円",,,,,,,,,,,,単勝:210円 複勝:11=110円 08=140円 03=190円 枠連:460円,,,,,,,,,,,,"単勝:1,130円 複勝:09=280円 01=110円 03=160円 枠連:760円",,,,,,,,,,,,"単勝:8,090円 複勝:12=1,430円 08=140円 07=160円 枠連:340円",,,,,,,,,,,
"馬連:2,040円 ワイド:02-06=830円 04-06=6,570円 02-04=15,870円",,,,,,,,,,,,馬連:410円 ワイド:08-11=200円 03-11=450円 03-08=510円,,,,,,,,,,,,"馬連:1,190円 ワイド:01-09=470円 03-09=760円 01-03=260円",,,,,,,,,,,,"馬連:14,790円 ワイド:08-12=4,070円 07-12=6,240円 07-08=270円",,,,,,,,,,,
"馬単:3,170円 3連複:49,790円 3連単:104,020円",,,,,,,,,,,,"馬単:690円 3連複:1,350円 3連単:4,110円",,,,,,,,,,,,"馬単:3,220円 3連複:2,220円 3連単:16,130円",,,,,,,,,,,,"馬単:45,030円 3連複:18,180円 3連単:238,860円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1900m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雅ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｉアップアンカｰ, 46,川田将,, 64,  -2,  -1, 8, 28.1, ④④, 1,10,Ａクロンブリオント, 68,福永祐,, 72,  -6,*  5, 2,  4.3, ⑤③, 1, 3,Ｅワンダｰフォルテ, 68,酒井学,, 73,* -5,  11, 3,  5.2, ②②, 1, 6,Ｃマルカプレジオ, 89,福永祐,, 88,* 15,* 12, 2,  4.6,⑤⑤⑤
 2, 6,Ｎメイショウトラスト, 25,福永祐, 0.0, 63, -12,* 10, 9, 45.4, ⑫⑫, 2,14,Ｂプロミネントロｰル, 65,ルメｰ, 0.3, 68,  -7,*  4, 1,  1.9, ⑥⑤, 2, 4,Ａジョウショｰキング, 74,国分恭, 0.3, 69,  -8,  11, 1,  2.4, ④④, 2,11,Ｇトウショウクラウン, 86,酒井学, 0.0, 91,  14,* 13, 4, 12.7,⑥⑦⑥
 3,12,Ｆロｰドツイスタｰ, 53,岩田康, 0.1, 62,  -4,   1, 3,  6.6, ⑦⑥, 3,11,Ｆミッキｰマンデｰ, 58,幸英明, 0.5, 69, -10,*  5, 5, 14.7, ⑪⑧, 3, 5,Ｇケイエスキングオｰ, 67,幸英明, 0.4, 69, -10,* 13, 7, 14.5, ⑦⑦, 3,10,Ａマストハブ, 91,ルメｰ, 0.5, 84,  12,* 12, 3,  9.2,⑧⑩⑨
 4,13,Ａキョウワアｰサｰ, 65,国分優, 0.4, 60,  -6,   0, 1,  1.7, ⑨⑦, 4, 6,Ｈメイショウキョトウ, 49,国分恭, 1.0, 60,  -9,  -5, 6, 20.1, ⑦⑦, 4, 7,Ｈミヤジチョビ, 65,浜中俊, 0.6, 66,  -6,   7, 6, 11.2, ③③, 4, 4,Ｂハリケｰン, 90,岩田康, 0.5, 83,* 16,   6, 1,  1.9,②②②
 5, 7,Ｄマイアリア, 56,幸英明, 0.9, 55,  -6,  -4, 7, 18.1, ⑧⑩, 5,12,Ｃステｰジジャンプ, 63,浜中俊, 1.2, 58, -10,  -5, 3,  5.7, ⑧⑩, 5, 1,Ｉダイシンサｰベル, 63,川島信, 0.8, 65, -10,   8, 9,136.7, ⑥⑥, 5, 1,Ｄメタギャラクシｰ, 88,川田将, 0.7, 85,  13,  10, 7, 17.5,⑦⑨⑦
 6, 1,Ｃカネトシエフォｰト, 58,秋山真, 1.0, 54,*  0, -11, 4,  9.8, ①①, 6,15,Ｌサルタイアｰ, 44,藤懸貴, 1.3, 59, -11,  -2,12,130.9, ⑬⑫, 6, 8,Ｂコロカムイ, 72,小林徹, 0.9, 63,* -4,   2, 2,  4.8, ①①, 6, 3,Ｋマイネルバイカ, 81,浜中俊, 0.9, 82,* 15,   4, 6, 15.9,⑫③③
 7, 2,Ｊデンコウショウイン, 44,国分恭, 1.5, 51,  -3, -12,11,328.8, ⑤⑤, 7, 9,Ｇフロレント, 53,川田将, 1.5, 56, -10,  -8, 9, 33.8, ⑩⑨, 7, 6,Ｃワンダｰゴヴェルノ, 71,藤懸貴, 1.2, 61,  -9,   4, 4,  6.3, ⑤⑤, 7, 2,Ｊアドマイヤジャガｰ, 81,小牧太, 1.1, 80,* 16,   0, 9, 28.7,①①①
 8, 3,Ｋカシノビッグベン, 41,川島信, 2.1, 45, -15,  -6,13,511.7, ⑭⑬, 8,16,Ｄヴィンチトｰレ, 61,川島信, 1.9, 45,*  6, -49, 7, 28.6, ①①, 8, 2,Ｆカシノチョッパｰ, 67,石橋守, 1.6, 57, -14,   6, 8, 75.1, ⑨⑨, 8, 5,Ｈミッキｰバラｰド, 85,秋山真, 1.2, 78,* 15,   2,11, 86.0,④④④
 9, 4,Ｍカシノロビン, 31,小坂忠, 2.2, 46, -10, -11,10,175.4, ⑪⑪, 9, 4,Ｅクリアモｰメント, 58,岩田康, 2.3, 43,  -4, -30, 4, 14.7, ③②, 9, 9,Ｄヴァルナビット, 68,国分優, 2.3, 50, -11,  -4, 5, 10.7, ⑧⑧, 9, 7,Ｅアグネスアンカｰ, 87,国分優, 1.3, 79,  12,   7,12,136.9,⑩⑪⑪
10, 5,Ｇナンプｰ, 48,酒井学, 2.4, 44,  -4, -19, 6, 17.6, ⑥⑨,10, 2,Ｏグランスエルテ, 37,藤田伸, 2.3, 45, -11, -18, 8, 33.2, ⑨⑪,,,,,,,,,,,,,10,12,Ｉテイエムドンマイ, 83,幸英明, 1.4, 78,  14,   1,10, 38.1,③⑥⑧
11, 8,Ｈビコｰハエレシス, 47,佐久間, 2.7, 40,  -7, -19,14,604.6, ⑩⑧,11, 8,Ｎシゲルワシザ, 40,国分優, 2.3, 48, -13, -13,11,116.3, ⑫⑬,,,,,,,,,,,,,11, 9,Ｆアルバトン, 86,四位洋, 1.6, 80,  12,   6, 8, 19.7,⑪⑫⑫
12,10,Ｅシゲルトビウオザ, 55,太宰啓, 2.7, 40,* -1, -25, 5, 17.5, ③③,12,13,Ｍウォｰタｰグロｰレ, 43,秋山真, 2.5, 45, -15, -12,13,132.3, ⑭⑭,,,,,,,,,,,,,12, 8,Ｌファイヤｰ, 76,太宰啓, 2.4, 74,  13,  -6, 5, 14.3,⑨⑧⑩
13, 9,Ｂエｰシンマイェスタ, 59,浜中俊, 2.8, 38,*  0, -27, 2,  6.4, ②②,13, 5,Ｋセルリアンアクウｰ, 48,上村洋, 2.6, 39,  -7, -31,14,148.9, ④⑥,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Ｌヤマニンデュック, 39,田中健, 2.8, 39, -15, -12,12,340.0, ⑬⑭,14, 1,Ｊマイネアラベスク, 49,太宰啓, 2.8, 38,  -6, -36,10, 88.5, ②④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 3,Ｉパワｰオブシャドｰ, 49,熊沢重, 4.7, 23, -18, -38,16,448.7, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 7,Ｐルｰベル, 19,酒井学, 4.7, 24, -18, -38,15,355.3, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:3),,,,,,,,,,,
"単勝:2,810円 複勝:11=1,080円 06=2,030円 12=240円 枠連:2,170円",,,,,,,,,,,,単勝:430円 複勝:10=150円 14=110円 11=270円 枠連:340円,,,,,,,,,,,,単勝:520円 複勝:03=170円 04=140円 05=270円 枠連:590円,,,,,,,,,,,,"単勝:460円 複勝:06=170円 11=390円 10=270円 枠連:2,070円",,,,,,,,,,,
"馬連:30,660円 ワイド:06-11=7,770円 11-12=1,570円 06-12=2,600円",,,,,,,,,,,,"馬連:350円 ワイド:10-14=190円 10-11=1,140円 11-14=530円",,,,,,,,,,,,馬連:590円 ワイド:03-04=250円 03-05=640円 04-05=480円,,,,,,,,,,,,"馬連:2,840円 ワイド:06-11=1,000円 06-10=700円 10-11=1,570円",,,,,,,,,,,
"馬単:76,670円 3連複:45,700円 3連単:458,460円",,,,,,,,,,,,"馬単:900円 3連複:2,420円 3連単:9,640円",,,,,,,,,,,,"馬単:1,250円 3連複:1,560円 3連単:7,960円",,,,,,,,,,,,"馬単:5,190円 3連複:6,400円 3連単:33,010円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■12R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,梅花賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂトｰホウビッグガン, 66,川田将,, 67,*  0,   2, 2,  6.0,②②②, 1, 2,Ｉタガノエンブレム, 57,川田将,, 69, -15,* 12, 7, 22.3, ⑦⑥, 1, 6,Ｇレッドルｰラｰ, 66,川田将,, 73,  14,* -4, 2,  3.1,⑦⑥⑤, 1, 9,Ｇマルコフジ, 76,岩田康,, 80,  -2,* 20, 6, 14.1, ⑩⑨
 2, 1,Ａニホンピロバロン, 66,酒井学, 0.1, 68,* -1,   3, 1,  1.8,⑥④③, 2, 1,Ｂヒルノクオリア, 67,四位洋, 0.0, 66,*-11,   6, 2,  3.7, ①①, 2, 1,Ｂジャングルパサｰ, 69,藤懸貴, 0.0, 72,  14,* -4, 5, 10.4,④③③, 2,12,Ｄゴッドツェッペリン, 78,太宰啓, 0.0, 80,*  7,  11, 1,  2.9, ③③
 3, 4,Ｅナムラドキョウ, 58,幸英明, 0.2, 64,  -4,*  6, 5, 11.2,⑬⑪⑨, 3, 6,Ｃルゴス, 63,岩田康, 0.0, 67,*-12,   8, 4,  7.7, ②②, 3, 2,Ｆポップアップハｰト, 66,ルメｰ, 0.3, 69,  14,  -6, 3,  4.8,②⑤④, 3, 2,Ｉエｰシンブランコス, 74,川田将, 0.1, 81,   5,  12, 2,  4.6, ④④
 4,10,Ｆナムララオウ, 56,国分恭, 0.2, 65,  -3,*  5, 7, 28.7,⑨⑧⑤, 4, 5,Ａジェネロシティｰ, 73,秋山真, 0.2, 64, -14,   8, 1,  3.3, ④④, 4, 7,Ｄニシノアプレゲｰル, 67,福永祐, 0.7, 68,* 16, -15, 4,  8.5,③②②, 4, 1,Ｂヤマノサファイア, 79,国分優, 0.2, 79,  -5,* 21, 9, 33.0, ⑫⑫
 5,12,Ｉテイエムオオラジャ, 47,太宰啓, 0.5, 63,*  0,  -3,10,232.5,①①①, 5, 4,Ｄピンゾロ, 62,浜中俊, 0.3, 64, -13,   7, 3,  6.7, ③③, 5, 4,Ｅクラウディオス, 66,浜中俊, 0.7, 66,* 15, -16, 6, 13.8,①①①, 5,13,Ｅテイクエイム, 77,幸英明, 0.4, 76,   4,  10, 7, 17.0, ⑥⑦
 6, 7,Ｃウォンテッド, 61,岩田康, 1.3, 56,  -3,  -5, 6, 11.9,⑫⑦⑦, 6, 7,Ｈダイナミックガイ, 59,国分恭, 0.4, 62, -14,   4, 6,  7.9, ⑤⑤, 6, 5,Ｃオｰスミミズホ, 67,川島信, 1.2, 64,  14, -18, 7, 51.4,⑤⑦⑦, 6, 4,Ａアンヴァルト, 81,熊沢重, 0.4, 76,*  8,   6, 3,  4.8, ②②
 7,11,Ｊメイショウオニグマ, 47,川島信, 1.7, 55,  -2, -10, 9,179.5,③⑤④, 7, 9,Ｅミリオンフレッシュ, 61,太宰啓, 0.5, 63, -17,*  9, 5,  7.8, ⑨⑧, 7, 3,Ａエｰシンハクリュｰ, 72,岩田康, 3.7, 49,  14, -55, 1,  2.4,⑥④⑥, 7, 5,Ｆシゲルシゲザネ, 76,秋山真, 0.5, 75,   3,  10,10, 44.0, ⑦⑥
 8, 8,Ｈマルシゲキング, 48,藤懸貴, 1.8, 54,  -3,  -6,13,378.3,⑦⑫⑪, 8, 3,Ｇラヴァｰズポイント, 60,小坂忠, 0.5, 61, -16,   6, 8, 25.5, ⑥⑦,,,,,,,,,,,,, 8, 7,Ｊトキノゲンジ, 73,酒井学, 0.7, 75,  -5,  16, 8, 23.3, ⑬⑬
 9, 3,Ｇテイエムクロジシ, 56,国分優, 2.6, 48,  -3, -14, 8, 57.3,⑪⑩⑫, 9,12,Ｋマコトタンホイザｰ, 51,幸英明, 0.5, 64, -19,* 10,11,102.6, ⑩⑨,,,,,,,,,,,,, 9,11,Ｃアキノモｰグル, 78,浜中俊, 0.7, 73,   5,   6, 4,  8.4, ⑤⑤
10, 2,Ｄピサノボンバイエ, 61,ルメｰ, 3.1, 44,* -1, -23, 4,  9.1,④③⑥,10,10,Ｆケイアイウィルゴｰ, 61,藤懸貴, 0.9, 57, -17,   4, 9, 29.8, ⑫⑪,,,,,,,,,,,,,10,10,Ｋランドタカラ, 73,福永祐, 0.8, 72,  -3,  13,12, 56.0, ⑪⑩
11, 6,Ｍテイエムダイエｰス, 39,福永祐, 3.4, 43,  -3, -23, 3,  6.4,⑤⑥⑧,11,11,Ｌテイエムメデル, 49,酒井学, 1.3, 54, -20,   1,12,121.2, ⑪⑫,,,,,,,,,,,,,11, 6,Ｌモズギャラクシｰ, 71,国分恭, 1.0, 71,   0,   8,11, 50.3, ⑧⑧
12, 9,Ｋエンペラｰバイオ, 41,熊沢重, 4.2, 39,  -3, -29,12,343.5,⑧⑨⑩,12, 8,Ｊボストンビリｰヴ, 56,国分優, 3.3, 26, -16, -30,10, 63.0, ⑧⑩,,,,,,,,,,,,,12, 8,Ｈゴリラ, 75,ルメｰ, 1.1, 69,  -1,   8, 5,  9.9, ⑨⑪
13, 5,Ｌアウェｰキンザｰル, 39,石橋守, 5.8, 30,  -6, -36,11,274.4,⑩⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｍスマｰトスパｰクル, 65,藤懸貴, 1.5, 66,*  7,  -3,13,320.9, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:3),,,,,,,,,,,
単勝:600円 複勝:13=150円 01=110円 04=210円 枠連:480円,,,,,,,,,,,,"単勝:2,230円 複勝:02=440円 01=180円 06=230円 枠連:4,810円",,,,,,,,,,,,単勝:310円 複勝:06=160円 01=310円 枠連:0円,,,,,,,,,,,,"単勝:1,410円 複勝:09=270円 12=130円 02=170円 枠連:630円",,,,,,,,,,,
馬連:510円 ワイド:01-13=240円 04-13=580円 01-04=310円,,,,,,,,,,,,"馬連:4,740円 ワイド:01-02=1,380円 02-06=1,190円 01-06=570円",,,,,,,,,,,,馬連:970円 ワイド:01-06=240円 02-06=320円 01-02=630円,,,,,,,,,,,,"馬連:1,720円 ワイド:09-12=560円 02-09=800円 02-12=300円",,,,,,,,,,,
"馬単:1,470円 3連複:1,350円 3連単:8,140円",,,,,,,,,,,,"馬単:12,160円 3連複:6,870円 3連単:67,150円",,,,,,,,,,,,"馬単:1,580円 3連複:1,410円 3連単:7,440円",,,,,,,,,,,,"馬単:4,070円 3連複:2,260円 3連単:19,370円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
