13年 9月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
 9,16,Ｈロｰゼルキュｰト, 47,藤岡康, 1.4, 46, -15,  -2,13, 76.2, ⑩⑨, 9,13,Ｈプリｰズユアラヴ, 49,松田大, 1.1, 56, -10,  10,13,230.4,⑨⑨⑩, 9,12,Ｈマヤノカデンツァ, 71,国分優, 1.1, 70,   1,  11,12, 50.2,⑬⑫⑫, 9,12,Ｋタイセイジｰニアス, 63,小牧太, 0.7, 69, -22,  17,12,111.4, ⑫⑫
10,12,Ｇドナプロミス, 49,岩崎翼, 1.6, 44, -12,  -6,15,118.9, ⑤⑤,10, 3,Ｆメイショウチカラ, 53,池添謙, 1.6, 52,  -8,   4,12,210.7,⑧⑧⑧,10,11,Ｍガッチリガッチリ, 67,藤懸貴, 1.6, 68,  -2,  12,15,418.6,⑮⑮⑮,10,10,Ｃアグネスキズナ, 74,武豊  , 0.8, 65, -13,   6, 4,  8.8, ⑥⑥
11, 4,Ｊヒデノヒロイン, 44,国分恭, 1.7, 43, -17,  -1, 6, 14.3, ⑨⑬,11, 4,Ｊララジロｰ, 44,荻野琢, 2.1, 47, -10,   2, 7, 46.5,⑬⑪⑫,11, 5,Ｏスピログラフ, 61,北村友, 1.8, 65,   1,   5,13, 81.5,⑪⑭⑭,11, 1,Ｇヒカリトリトン, 71,太宰啓, 0.8, 65, -15,   7,11, 85.6, ⑦⑧
12,10,Ｋカウニスクッカ, 44,岡田祥, 1.7, 43, -14,  -5, 7, 19.6, ⑥⑦,12,16,Ｉヤマノカドゥ, 45,小林徹, 2.4, 46,  -9,  -2,15,434.3,⑩⑩⑬,12, 6,Ｌアトランティｰド, 69,武豊  , 2.3, 62,*  4,  -6, 9, 42.9,④⑤④,12,11,Ｎフギン, 58,菱田裕, 0.9, 62,  -9,   1,10, 76.6, ④④
13, 2,Ｍメイショウエフワン, 36,武豊  , 2.0, 42, -25,   3, 4,  9.1, ⑭⑭,13, 9, レッドジェイビｰ,---,和田竜, 2.9, 45, -12,  -1, 8, 73.7,⑮⑭⑭,13, 1,Ｅアテンファｰスト, 73,森一馬, 2.6, 58,*  5, -10,10, 47.6,②②③,13,13,Ｊハンタｰワディ, 64,北村友, 0.9, 66, -23,  14,13,153.2, ⑬⑬
14, 8,Ｄメイショウトッピｰ, 51,武幸四, 2.9, 35, -21,  -9, 5, 13.6, ⑫⑫,14, 6,Ｍデイスピリッツ, 38,岡田祥, 3.4, 40, -13,  -4,11,198.1,⑥⑮⑮,14, 7,Ｊフジノストロング, 70,和田竜, 2.8, 58,*  5, -10,11, 48.7,③③⑥,14,14,Ｅウエストハｰバｰ, 73,鮫島良, 1.3, 61, -27,  12,14,305.2, ⑭⑭
15, 3,Ｐシゲルコウズケ, 18,高倉稜, 3.7, 26, -27,  -9,16,241.8, ⑯⑮,15, 1,Ｎクロｰネ, 14,尾島徹, 4.4, 31,  -9, -20,10,185.4,④⑦⑨,15, 4,Ｄワルトユニヴァｰス, 76,浜中俊, 2.9, 57,   3,  -8, 3,  8.2,⑦⑧⑩,,,,,,,,,,,,
16, 7,Ｏシゲルタンバ, 29,国分優, 6.4,  3, -34, -27,12, 69.1, ⑮⑯,16, 7, ウォｰタｰロビン,---,岩崎翼,10.7,-10, -19, -55,15,434.3,⑫⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,
単勝:430円 複勝:13=130円 06=120円 01=140円 枠連:560円,,,,,,,,,,,,"単勝:290円 複勝:15=150円 10=1,810円 12=190円 枠連:5,630円",,,,,,,,,,,,"単勝:1,940円 複勝:09=530円 08=190円 15=480円 枠連:3,960円",,,,,,,,,,,,"単勝:270円 複勝:09=150円 08=700円 07=380円 枠連:1,050円",,,,,,,,,,,
馬連:600円 ワイド:06-13=270円 01-13=400円 01-06=250円,,,,,,,,,,,,"馬連:13,390円 ワイド:10-15=3,770円 12-15=330円 10-12=2,840円",,,,,,,,,,,,"馬連:3,330円 ワイド:08-09=1,020円 09-15=2,020円 08-15=950円",,,,,,,,,,,,"馬連:4,040円 ワイド:08-09=1,340円 07-09=810円 07-08=4,130円",,,,,,,,,,,
"馬単:1,320円 3連複:850円 3連単:3,660円",,,,,,,,,,,,"馬単:20,040円 3連複:17,550円 3連単:130,940円",,,,,,,,,,,,"馬単:8,100円 3連複:9,480円 3連単:63,560円",,,,,,,,,,,,"馬単:6,250円 3連複:14,920円 3連単:78,050円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■11R  ダ2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾘｳｽｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｉタイセイララバイ, 45,松山弘,, 53,* -1,  -7, 2,  5.1, ②②, 1, 3, バンドワゴン,---,和田竜,, 71,*-10,* 18, 4, 12.0, ①①, 1,15,Ａフｰラブライド, 80,古川吉,, 79,   5,* 19, 9, 31.7,⑰⑯⑨, 1, 2,Ｉケイアイレオｰネ, 88,幸英明,, 94,  10,* 23, 5, 12.3,⑭⑭⑬
 2,13,Ｑリヴィエｰル, 36,岩田康, 0.1, 53,  -8,*  0, 8, 22.5, ⑩⑧, 2,11, トゥザワｰルド,---,川田将, 1.0, 61, -13,   9, 1,  1.9, ⑤③, 2, 2,Ｃハッピｰモｰメント, 75,四位洋, 0.3, 75,*  9,   4, 2,  3.1,③③②, 2,13,Ａナイスミｰチュｰ, 94,小牧太, 0.0, 92,  13,* 17, 3,  5.3,⑩⑩⑤
 3, 6,Ｌニホンピロディｰル, 43,酒井学, 0.3, 51, -10,*  1,12, 45.7, ⑫⑭, 3, 9, メイショウチギリ,---,武豊  , 1.1, 59,*-11,   5, 3,  9.7, ②②, 3, 5,Ｅジェラルド, 72,川須栄, 0.3, 79,   4,* 21, 6, 17.1,⑮⑭⑬, 3,11,Ｂグランドシチｰ, 94,津村明, 0.2, 92,* 14,  15, 6, 17.0,⑤④④
 4, 8,Ｋバｰンアウル, 43,藤田伸, 0.3, 51,  -5,  -6, 9, 24.5, ⑤⑤, 4, 1, アグリッパｰバイオ,---,浜中俊, 1.8, 53, -15,   3, 5, 21.8, ⑦⑧, 4, 3,Ｂクリサンセマム, 78,岩田康, 0.4, 75,   8,   6, 1,  2.1,⑤④⑥, 4,15,Ｃハｰトビｰトソング, 93,秋山真, 0.2, 90,* 14,  12, 2,  3.5,②②②
 5, 2,Ｈメイショウアズミノ, 45,藤懸貴, 0.3, 49,* -1, -11,16,146.6, ①①, 5,10, ドラゴンストリｰト,---,福永祐, 1.8, 52, -14,   0, 2,  2.5, ⑧⑤, 5, 9,Ｄランフォｰジン, 74,藤田伸, 0.5, 76,   5,* 13, 4, 15.5,⑭⑬⑩, 5, 3,Ｆクリｰルパッション, 91,丸田恭, 0.4, 88,  13,  15,13,141.5,⑪⑧⑧
 6,16,Ｂニシノチャステティ, 49,浜中俊, 0.4, 50, -13,*  2, 6, 15.6, ⑯⑮, 6, 7, ガルグイユ,---,藤懸貴, 2.1, 48, -15,  -1, 7, 37.0, ⑨⑨, 6,12,Ｈチェイスザゴｰルド, 67,川田将, 0.5, 74,   6,   8, 3,  9.5,⑪⑩⑧, 6,14,Ｄマルカプレジオ, 92,福永祐, 0.6, 87,  13,  12, 7, 18.1,⑧⑨⑦
 7, 1,Ｏアイスブレイク, 37,武豊  , 0.5, 48,  -7,  -7,10, 27.0, ⑦⑦, 7, 4, オｰルビｰファイン,---,藤岡康, 2.4, 45, -15,  -5, 8,128.2, ⑥⑦, 7,13,Ｇマイネルアクロス, 68,和田竜, 0.6, 73,* 10,   0, 5, 15.6,⑩⑨④, 7, 1,Ｅグラッツィア, 91,柴田善, 1.2, 83,  12,  10, 4,  6.8,⑨⑫⑨
 8, 3,Ｇニシノシュロ, 45,池添謙, 0.5, 48,  -5, -10, 3,  5.6, ③④, 8, 2, ホｰプフルハｰト,---,松田大, 2.8, 39, -12, -16,10,174.0, ④④, 8, 4,Ｋカムイミンタラ, 61,藤岡康, 1.0, 68,*  9,  -6,11, 79.5,⑫①①, 8,12,Ｇクラシカルノヴァ, 88,岩田康, 1.4, 83,* 14,   4, 8, 32.5,⑥⑥③
 9,17,Ｅディアメドゥｰサ, 46,幸英明, 0.5, 49,  -9,  -3, 5, 15.4, ⑬⑫, 9, 5, アムｰルブリエ,---,岩田康, 4.3, 26, -18, -26, 6, 23.0, ⑩⑩, 9, 8,Ｉカネトシカトリｰヌ, 65,酒井学, 1.1, 69,   8,  -3,10, 63.6,⑥⑦⑦, 9, 7,Ｈトｰセンアレス, 88,川須栄, 2.0, 80,  13,   1,15,323.3,⑦⑦⑩
10,12,Ａテンシノホホエミ, 52,川須栄, 0.6, 46,* -4, -12, 1,  3.3, ④③,10, 6, テイエムカンタカ,---,国分優, 5.8,  7, -15, -54,11,183.3, ③⑥,10,18,Ｊレジｰナ, 64,菱田裕, 1.1, 69,   3,  11, 7, 22.0,⑯⑮⑮,10, 4,Ｎスマｰトギア, 84,松山弘, 2.1, 80,   9,  10, 9, 57.9,⑮⑮⑮
11, 4,Ｆジツリキオｰシャン, 46,川田将, 0.7, 46,  -9,  -7, 7, 17.6, ⑪⑪,11, 8, ヤマカツヤタガラス,---,川須栄, 6.6, -2, -18, -60, 9,145.6, ⑪⑪,11,10,Ｌブライトグロｰリイ, 61,高倉稜, 1.5, 65,   4,   3,15,367.3,⑨⑫⑭,11, 5,Ｍチョイワルグランパ, 85,浜中俊, 2.1, 78,* 13,  -2,10, 60.0,③③⑥
12,18,Ｃアイリッシュハｰプ, 48,福永祐, 0.9, 44,  -5, -13, 4,  5.7, ⑥⑥,,,,,,,,,,,,,12,14,Ｍマコトラヴィッサン, 60,柴田善, 1.8, 62,   8, -13,12,157.1,①②⑤,12, 8,Ｊフリソ, 88,藤田伸, 2.3, 79,  10,   4,14,190.9,⑫⑬⑭
13,14,Ｒタガノロマリア, 36,鮫島良, 0.9, 44, -10,  -7,17,301.4, ⑭⑬,,,,,,,,,,,,,13,17,Ｆインカンデセンス, 70,国分優, 2.1, 60,*  9, -22, 8, 31.3,②⑥③,13,16,Ｐマイネルオベリスク, 83,和田竜, 3.0, 74,  11,  -5,16,368.2,⑬⑪⑪
14,10,Ｄシゲルクシロ, 47,熊沢重, 0.9, 43,  -8, -11,13, 45.7, ⑧⑨,,,,,,,,,,,,,14, 6,Ｏレッドリンクス, 51,小牧太, 3.0, 52,   5, -23,13,223.5,⑧⑪⑪,14,10,Ｏヒラボクキング, 84,藤岡康, 3.6, 69,  13, -13,12, 78.0,④⑤⑫
15,15,Ｍマイネカグヤヒメ, 41,中井裕, 1.1, 45, -14,  -2,15,115.3, ⑱⑰,,,,,,,,,,,,,15,11,Ｎアマクサハイヤ, 59,幸英明, 3.5, 50,   2, -22,17,447.8,⑦⑧⑯,15, 9,Ｌサトノプリンシパル, 87,武豊  , 3.7, 69,* 14, -18, 1,  3.0,①①①
16, 5,Ｎウィットウォｰタｰ, 41,国分優, 1.4, 40, -13,  -9,11, 42.7, ⑮⑯,,,,,,,,,,,,,16, 7,Ｒメイショウメルシｰ, 33,中村将, 3.7, 48,   4, -27,14,250.5,④⑤⑫,,,,,,,,,,,,
17,11,Ｐナムラスマイル, 37,菱田裕, 1.5, 36,  -8, -19,14,114.9, ⑨⑩,,,,,,,,,,,,,17, 1,Ｐロｰドプレアデス, 50,松山弘, 3.7, 47,   0, -18,16,411.0,⑱⑱⑰,,,,,,,,,,,,
18, 7,Ｊフェアリｰスマイル, 45,岩崎翼, 1.9, 33, -17, -12,18,351.3, ⑰⑱,,,,,,,,,,,,,18,16,Ｑスリｰアイドル, 37,城戸義, 4.9, 40,  -6, -16,18,573.6,⑬⑰⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,
"単勝:510円 複勝:09=230円 13=860円 06=1,030円 枠連:5,320円",,,,,,,,,,,,"単勝:1,200円 複勝:03=270円 11=110円 09=210円 枠連:690円",,,,,,,,,,,,"単勝:3,170円 複勝:15=870円 02=170円 05=490円 枠連:2,380円",,,,,,,,,,,,"単勝:1,230円 複勝:02=340円 13=220円 11=420円 枠連:910円",,,,,,,,,,,
"馬連:5,720円 ワイド:09-13=2,460円 06-09=3,320円 06-13=11,390円",,,,,,,,,,,,"馬連:1,560円 ワイド:03-11=440円 03-09=930円 09-11=460円",,,,,,,,,,,,"馬連:5,460円 ワイド:02-15=1,720円 05-15=4,990円 02-05=820円",,,,,,,,,,,,"馬連:3,100円 ワイド:02-13=1,030円 02-11=2,250円 11-13=1,080円",,,,,,,,,,,
"馬単:11,750円 3連複:91,450円 3連単:381,290円",,,,,,,,,,,,"馬単:3,510円 3連複:2,950円 3連単:25,740円",,,,,,,,,,,,"馬単:14,810円 3連複:21,920円 3連単:158,400円",,,,,,,,,,,,"馬単:6,940円 3連複:11,150円 3連単:77,120円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  ダ1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ﾔﾏﾎﾞｳｼ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｆカバｰストｰリｰ, 44,松山弘,, 63,  -7,*  8, 5, 18.7, ⑫⑫, 1, 5, ダンツキャッチ,---,和田竜,, 55,  -7,* -1, 7, 32.8, ⑦⑪, 1,12,Ｇロｰブデソワ, 52,浜中俊,, 66,* -8,  11, 4,  9.5, ⑤③, 1, 5,Ｇオｰキッドレイ, 72,川田将,, 79,* -1,  13, 3,  7.6, ③③
 2, 9,Ｄカレンヴィットリア, 49,福永祐, 0.2, 60,  -6,*  2, 4, 17.9, ⑩⑩, 2, 9, サトノバｰキン,---,岩田康, 0.2, 55,  -4,  -5, 1,  1.8, ⑥④, 2, 7,Ｄアｰスコネクタｰ, 58,福永祐, 0.1, 64,* -7,   9, 5,  9.7, ①①, 2,10,Ｆベアトリッツ, 72,福永祐, 0.0, 84,  -6,* 23, 6, 11.5, ⑫⑮
 3, 6,Ａレッドラヴィｰタ, 56,川田将, 0.4, 57,* -2,  -7, 1,  1.4, ③③, 3, 6, メイショウホウトウ,---,武豊  , 0.3, 54,  -6,  -4, 3,  6.2, ⑨⑧, 3, 6,Ａルイカズマ, 65,幸英明, 0.1, 65,  -8,  11, 1,  1.9, ⑦④, 3,17,Ｈファントムライト, 71,岩田康, 0.0, 84,  -6,* 22, 2,  4.9, ⑮⑬
 4, 3,Ｊダンスｰルクレｰル, 39,武豊  , 0.6, 53,* -3, -11, 3,  8.9, ①①, 4, 4, アラｰトミノル,---,松田大, 0.7, 50,  -6,  -8,11,191.7, ⑩⑨, 4, 8,Ｂメイショウシンシア, 59,武豊  , 0.2, 67, -12,* 16, 3,  6.3, ⑩⑩, 4, 1,Ｂヒュウマ, 76,浜中俊, 0.1, 77,* -1,  10, 1,  2.3, ②②
 5, 4,Ｇワｰルドマッチ, 43,秋山真, 0.7, 53,  -4,  -9,10,120.8, ⑤⑥, 5,10, ステラマリｰン,---,藤懸貴, 1.0, 47,  -8,  -8, 6, 19.5, ⑪⑩, 5,11,Ｆシゲルカガ, 53,高倉稜, 0.5, 61,* -7,   6, 2,  6.2, ②②, 5,18,Ｍミラクルラヴィ, 67,太宰啓, 0.2, 81,  -8,* 22,14,116.1, ⑯⑰
 6, 1,Ｂライトニングロアｰ, 53,岩田康, 0.7, 55,  -7,  -4, 2,  6.5, ⑧⑧, 6, 8, ザマンダ,---,池添謙, 1.4, 45,  -3, -17, 2,  5.0, ③③, 6, 4,Ｊメイショウカフウ, 36,武幸四, 0.7, 63, -11,  10, 8, 38.5, ⑨⑦, 6, 2,Ｄジェネロシティｰ, 73,秋山真, 0.2, 78,  -4,  15, 4,  9.4, ⑥⑦
 7, 2,Ｌルファルシオン, 38,柴田善, 0.7, 53,  -4,  -9, 7, 21.9, ④⑤, 7,11, ラディアンス,---,福永祐, 2.1, 40,  -5, -19, 5, 16.9, ⑧⑦, 7, 2,Ｉピクニックソング, 45,水口優, 1.2, 57,* -7,   1, 9, 42.1, ③⑤, 7, 7,Ａタガノリバレンス, 78,藤懸貴, 0.2, 78,  -5,  16, 5, 10.2, ⑧⑧
 8,12,Ｎダイシンロイ, 35,藤岡康, 1.1, 50,  -8,  -6,15,378.8, ⑬⑬, 8, 2, ニュｰエトワｰル,---,川島信, 2.2, 39,  -3, -23, 9, 74.3, ④⑤, 8, 5,Ｃニシノイナズマ, 59,和田竜, 1.4, 55,  -9,   2, 6, 15.9, ⑧⑧, 8,13,Ｅタツストロング, 72,松山弘, 0.2, 80,  -6,  19,10, 48.3, ⑭⑫
 9, 8,Ｅボｰルドジャパン, 48,川須栄, 1.2, 48,  -6, -14, 6, 20.8, ⑦⑦, 9, 3, ランズデｰル,---,川田将, 2.2, 39,  -4, -23, 4,  7.6, ⑤⑥, 9,10, フラッシュモブ,---,尾島徹, 2.0, 51, -13,   2,11,131.8, ⑫⑫, 9,15,Ｊマイネノンノ, 70,和田竜, 0.3, 76,  -2,  11, 9, 34.4, ⑦⑤
10,15,Ｈウォルフラム, 43,池添謙, 1.5, 47,  -8, -12, 8, 68.1, ⑮⑮,10, 7, マルサンマリナｰ,---,小林徹, 3.1, 32,* -2, -33,10,106.0, ②②,10, 1,Ｅシゲルウシュウ, 57,菱田裕, 2.3, 47,  -8,  -7,10,115.8, ④⑥,10,16,Ｌサンライズバｰド, 67,岩崎翼, 0.3, 80,  -8,* 21,12,100.9, ⑰⑯
11, 7,Ｉジェニファｰ, 42,幸英明, 1.5, 47,  -7, -15,12,217.9, ⑨⑨,11, 1, クｰファシｰズンズ,---,藤岡康, 5.7, 14,* -1, -56, 8, 44.8, ①①,11, 9,Ｈマイネルフォルス, 50,中井裕, 2.6, 47,  -9,  -9, 7, 16.0, ⑥⑨,11, 4,Ｎクリアモｰメント, 66,武豊  , 0.5, 76,  -5,  14, 7, 22.8, ⑨⑩
12,10,Ｏメフィストワルツ, 31,菱田裕, 1.5, 45,  -7, -14,13,232.7, ⑪⑪,,,,,,,,,,,,,12, 3, ピンクノサイロ,---,小牧太, 2.7, 45, -14,  -4,12,240.0, ⑪⑪,12, 8,Ｋアカネチャン, 68,武幸四, 0.7, 71,  -2,   5,13,113.1, ⑤④
13,11,Ｍハクユウドルフィン, 36,北村友, 1.8, 42,  -4, -26,11,160.3, ⑥④,,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｉブリスコｰラ, 70,四位洋, 0.9, 68,  -5,   6,11, 76.1, ⑪⑨
14,14,Ｃスカイノフｰサン, 50,和田竜, 3.3, 28,  -8, -38, 9, 83.3, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｏレッドバビロン, 65,藤岡康, 0.9, 73, -11,  18,15,134.4, ⑱⑱
15, 5,Ｋスリｰアルペン, 39,岡田祥, 4.1, 23,* -3, -61,14,328.8, ②②,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｐリトルリスキｰ, 53,中井裕, 1.3, 66,  -6,   3,16,302.1, ⑬⑪
