13年 7月14日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月14日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3380m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1150m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
 9, 9,Ｆブラックソヴリン, 32,吉田豊, 1.4, 31, -12, -11,10,164.0, ⑨⑧, 9, 7, ピンクジャスミン,,田村太,230.5,,,,12, 34.8,②②②, 9, 9,Ｈクリノグランデ, 56,長岡禎, 1.8, 47,  -6, -10,10, 29.6,⑧⑪⑩, 9, 6,Ｇサクラインザスカイ, 78,蛯名正, 0.7, 67,   0,   6, 6, 12.8, ⑨⑩
10, 5,Ｇケイツｰウラノス, 22,石橋脩, 1.9, 25, -18, -12, 9,155.4, ⑪⑩,10,10, アドマイヤテンクウ,,西谷誠,230.9,,,,10, 25.9,⑬⑬⑫,10,11,Ｉバレルウェｰブ, 55,田中勝, 2.1, 43,* -3, -19, 9, 25.5,④③④,10, 8,Ｎシャイニイチカ, 72,的場勇, 0.9, 65,  -4,   8,16,322.5, ⑮⑮
11,10, カシノバル,---,西田雄, 2.3, 19, -16, -19,11,260.2, ⑩⑪,11, 1, テルバイク,,山本康,231.2,,,,11, 31.2,⑩⑪⑪,11, 5,Ｊコウジンコラボ, 53,江田照, 2.1, 45,  -4, -16, 5, 13.2,③⑤③,11, 1,Ｈアｰスゼウス, 77,内田博, 1.0, 63,   1,   2, 5,  9.2, ④③
,,,,,,,,,,,,12,12, リザｰブカｰド,,浜野谷,232.4,,,, 5, 12.3,③⑤⑤,12, 8, ベストリッジライン,---,内田博, 2.5, 42,  -7, -14, 7, 16.5,⑭⑮⑬,12, 4,Ｌカンファｰネオ, 73,西田雄, 1.0, 64,  -5,   8,15,290.4, ⑭⑬
,,,,,,,,,,,,13, 6, アグネスミヌエット,,白浜雄,233.2,,,, 3,  5.7,⑤⑫⑬,13,10,Ｋデュエリストシチｰ, 52,嶋田純, 2.7, 40,  -6, -16,12, 90.9,⑩⑭⑭,13,15,Ｆケｰジｰヨシツネ, 79,吉田豊, 1.1, 64,   1,   2,10, 31.3, ⑥⑨
,,,,,,,,,,,,14,11, ビｰビｰマイセン,,小野寺,236.2,,,,14, 65.0,⑭⑭⑭,14,13,Ｍダイワロｰジｰ, 41,蛯名正, 3.3, 37,* -3, -28,11, 55.5,⑥④⑧,14,10,Ｍエｰシンボダイジュ, 72,宮崎北, 1.1, 61, -10,  10,14,235.9, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｎエルアモｰル, 20,嘉藤貴, 6.3, 19,  -6, -46,15,341.6,⑨⑬⑮,15,14,Ｋトｰセントレジャｰ, 74,松岡正, 3.3, 42,   1, -18,12, 58.6, ⑤⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｊタイセイスウィｰプ, 74,戸崎圭, 3.6, 40,*  4, -23, 2,  5.1, ②⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:7),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:重(指数:-4),,,,,,,,,,,
単勝:160円 複勝:03=110円 04=120円 02=250円 枠連:260円,,,,,,,,,,,,"単勝:1,060円 複勝:04=340円 09=170円 08=420円 枠連:1,960円",,,,,,,,,,,,単勝:610円 複勝:12=170円 03=130円 02=170円 枠連:580円,,,,,,,,,,,,"単勝:550円 複勝:11=210円 16=370円 09=450円 枠連:1,680円",,,,,,,,,,,
馬連:260円 ワイド:03-04=140円 02-03=370円 02-04=550円,,,,,,,,,,,,"馬連:2,920円 ワイド:04-09=820円 04-08=3,160円 08-09=1,070円",,,,,,,,,,,,"馬連:1,030円 ワイド:03-12=390円 02-12=670円 02-03=410円",,,,,,,,,,,,"馬連:4,050円 ワイド:11-16=1,320円 09-11=1,640円 09-16=2,640円",,,,,,,,,,,
"馬単:440円 3連複:870円 3連単:2,340円",,,,,,,,,,,,"馬単:6,490円 3連複:13,230円 3連単:83,500円",,,,,,,,,,,,"馬単:2,270円 3連複:1,680円 3連単:10,290円",,,,,,,,,,,,"馬単:6,440円 3連複:20,290円 3連単:93,070円",,,,,,,,,,,
■ 2R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,,,,,,,,,,,,,ﾊﾞｰﾃﾞﾝﾊﾞｰﾃﾞﾝｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｄサクセスカｰチス, 54,嶋田純,, 63,* -2,* 14, 7, 18.5,②④②, 1,13, マイネグレヴィル,---,嶋田純,, 62,*-16,* 13,10, 26.0,②②②, 1, 1,Ｄシャドウライフ, 72,横山典,, 78,* 18, -11, 5,  9.8,③③②, 1, 6,Ｏマイネルエテルネル, 72,柴田大,, 75,  -1,*  5, 2,  5.0, ⑨⑤
 2,13,Ａマイネグロリアｰナ, 65,柴田大, 0.1, 63,  -4,* 15, 1,  1.8,⑧⑧④, 2,10, マジックタイム,---,宮崎北, 0.8, 58, -23,* 14,13, 70.6,⑮⑫⑪, 2, 2,Ｂシャンボｰルフィズ, 77,内田博, 0.1, 79,* 20, -16, 1,  2.7,①①①, 2, 5,Ｊハノハノ, 78,石橋脩, 0.1, 73,*  5,  -1, 6, 15.2, ②②
 3, 3,Ｈミッキｰタイム, 52,内田博, 0.3, 60,  -4,  13, 2,  5.5,⑨⑦⑤, 3,11, サトノスティング,---,的場勇, 0.9, 50,*-16,   0, 7, 14.9,①①①, 3, 7,Ａウイングドウィｰル, 78,田中勝, 0.1, 78,  15,* -7, 3,  4.6,⑨⑥⑥, 3,13,Ｂレオアクティブ, 87,横山典, 0.4, 69,   0,   1, 1,  3.4, ⑩⑫
 4, 6,Ｃアンナチュラル, 55,田辺裕, 0.3, 59,* -2,   9, 4, 11.5,④③③, 4,16, マイネルヴェルト,---,松岡正, 0.9, 51,*-17,   2, 4, 12.2,③③③, 4,11,Ｃジェラテリアバｰル, 74,戸崎圭, 0.8, 70,  14, -15, 2,  4.0,⑦⑦⑦, 4, 4,Ｉケイアイアストン, 79,江田照, 0.4, 69,   2,  -2, 9, 22.8, ③③
 5, 4,Ｉドクタｰルキア, 51,原田和, 0.4, 56,* -1,   4,11, 63.9,①①①, 5, 2, ピザン,---,戸崎圭, 1.1, 49, -20,   4, 9, 24.4,④⑦⑦, 5,10,Ｅドクトルコスモ, 70,原田和, 0.9, 71,  10,* -7, 8, 77.7,⑩⑪⑨, 5,10,Ｄラインブラッド, 86,田中勝, 0.4, 69,  -6,*  5,11, 28.8, ⑯⑭
 6, 7,Ｇシャドウウィザｰド, 53,横山典, 0.8, 55,  -9,* 16,10, 48.5,⑭⑭⑬, 6, 4, シｰロア,---,蛯名正, 1.1, 49, -19,   2, 1,  2.5,⑬⑥⑧, 6,12,Ｈヤヤラｰラ, 64,田辺裕, 1.1, 69,  17, -23, 6,  9.9,⑤⑤⑤, 6, 2,Ａノｰザンリバｰ, 87,内田博, 0.4, 69,   1,  -1, 4,  6.5, ⑦⑪
 7, 9,Ｂコスモソｰク, 57,嘉藤貴, 1.0, 51,* -3,   0, 6, 16.8,⑥⑥⑦, 7,14, ポｰラメソッド,---,西田雄, 1.1, 47,*-18,  -1,12, 50.1,⑥④④, 7, 5,Ｆコスモミレネｰル, 69,柴田大, 1.9, 62,* 18, -38, 4,  8.9,④④④, 7,16,Ｅハッピｰカオル, 84,田辺裕, 0.5, 68,  -2,   0,15, 90.9, ⑬⑮
 8,12,Ｌヤマニントルシュ, 41,花田大, 1.1, 53,  -9,  12,14,190.8,⑬⑮⑫, 8, 5, レッドグルック,---,内田博, 1.3, 49, -20,   3, 6, 14.5,⑧⑨⑩, 8, 4,Ｊユウミプリンセス, 52,長岡禎, 2.1, 59,  11, -27,12,402.6,⑧⑨⑧, 8,12,Ｆツルマルレオン, 83,戸崎圭, 0.6, 66,  -5,   1, 3,  5.6, ⑮⑯
 9, 8,Ｊティアップワンダｰ, 51,江田照, 1.1, 50,* -2,  -1, 8, 23.9,⑤⑤⑥, 9,12, コスモナｰダム,---,柴田大, 1.4, 47, -19,  -1, 5, 13.6,⑤⑧⑤, 9, 3,Ｇアポロダイヤモンド, 66,西田雄, 2.6, 54,* 19, -50, 7, 17.0,②②③, 9,14,Ｌカラフルデイズ, 74,蛯名正, 0.7, 65,   1,  -5,10, 28.6, ⑧⑩
10,11,Ｆドゥリマｰズドリム, 54,吉田豊, 1.3, 50,  -5,   2, 9, 30.3,⑮⑪⑩,10,15, ウインサラ,---,武士沢, 1.5, 49, -23,   5,15,177.2,⑪⑪⑬,10, 6,Ｌアナンタン, 37,江田照, 2.6, 55,  13, -35,10,163.4,⑥⑧⑩,10,11,Ｇエｰシンハｰバｰ, 83,西村太, 0.7, 65,  -5,   0, 8, 21.4, ⑭⑬
11,16, アリエッタ,---,戸崎圭, 1.5, 46,  -7,   0, 3,  9.6,⑪⑩⑨,11, 9, ツクバビュｰティ,---,横山典, 1.8, 43, -23,   2, 2,  4.4,⑭⑬⑫,11, 8,Ｉフェアリｰガｰデン, 61,嶋田純, 3.0, 51,  11, -39, 9, 82.5,⑪⑩⑪,11, 9,Ｎボストンエンペラｰ, 74,嶋田純, 0.8, 64,  -2,  -4,14, 90.7, ⑫⑨
12,15,Ｍタカヒロガｰトップ, 36,長岡禎, 2.1, 41,  -8,  -4,15,364.8,⑩⑫⑭,12, 7, ミュゼキングダム,---,田辺裕, 1.9, 38,*-18, -11, 3,  9.1,⑨⑤⑥,12, 9,Ｋメリオンジョｰ, 46,嘉藤貴, 3.0, 51,   6, -28,11,385.0,⑫⑫⑫,12, 8,Ｐスプラッシュエンド, 67,西田雄, 1.0, 61,  -2,  -6,16,168.2, ⑪⑧
13,14, マジックアイランド,---,西田雄, 2.5, 39, -13,   2,12, 77.4,⑯⑯⑯,13, 3, プレミアステイタス,---,嘉藤貴, 1.9, 42, -22,  -2,14, 88.4,⑦⑩⑨,,,,,,,,,,,,,13, 7,Ｍビウイッチアス, 74,吉田豊, 1.1, 61,   2, -11, 5, 11.8, ④④
14, 5, トキノアイチヨ,---,平野優, 2.7, 32,* -1, -26,16,377.6,③②⑧,14, 1, ファｰストオｰサｰ,---,石橋脩, 2.4, 38, -26,  -3,11, 31.9,⑯⑮⑭,,,,,,,,,,,,,14, 1,Ｈアンシェルブルｰ, 80,松岡正, 1.3, 58,*  6, -18, 7, 17.9, ①①
15, 1,Ｋヤナガセイコ, 45,伊藤工, 2.9, 31,  -5, -21,13, 91.9,⑦⑨⑪,15, 6, モｰレアモｰレ,---,西村太, 2.6, 38, -27,  -1,16,195.1,⑫⑯⑯,,,,,,,,,,,,,15, 3,Ｃフィｰルドシャイン, 86,的場勇, 1.4, 56,*  3, -16,13, 57.4, ⑤⑦
16,10,Ｅエタｰナルヒｰロｰ, 54,田中勝, 4.8, 14,  -9, -40, 5, 13.3,⑫⑬⑮,16, 8, タブレットピｰシｰ,---,田中勝, 2.8, 32, -26,  -8, 8, 15.7,⑩⑭⑮,,,,,,,,,,,,,16,15,Ｋエｰシンジェイワン, 77,武士沢, 1.8, 51,*  3, -22,12, 40.6, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:良(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:7),,,,,,,,,,,
"単勝:1,850円 複勝:02=340円 13=110円 03=180円 枠連:1,550円",,,,,,,,,,,,"単勝:2,600円 複勝:13=780円 10=1,730円 11=510円 枠連:4,090円",,,,,,,,,,,,"単勝:980円 複勝:01=180円 02=130円 07=160円 枠連:1,140円",,,,,,,,,,,,"単勝:500円 複勝:06=180円 05=350円 13=160円 枠連:3,620円",,,,,,,,,,,
"馬連:1,800円 ワイド:02-13=700円 02-03=1,400円 03-13=260円",,,,,,,,,,,,"馬連:35,700円 ワイド:10-13=9,820円 11-13=4,800円 10-11=11,700円",,,,,,,,,,,,"馬連:1,260円 ワイド:01-02=430円 01-07=690円 02-07=210円",,,,,,,,,,,,"馬連:3,300円 ワイド:05-06=1,000円 06-13=490円 05-13=1,160円",,,,,,,,,,,
"馬単:5,450円 3連複:2,970円 3連単:30,730円",,,,,,,,,,,,"馬単:94,740円 3連複:289,190円 3連単:2,700,430円",,,,,,,,,,,,"馬単:3,090円 3連複:1,570円 3連単:12,290円",,,,,,,,,,,,"馬単:5,770円 3連複:5,150円 3連単:32,350円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 6R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,南相馬特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｊサイレンスバｰド, 55,蛯名正,, 66,   4,*  0, 2,  4.7,⑤④④, 1, 8, ユｰルドゥｰ,---,蛯名正,, 57,  -3,  -6, 1,  2.7, ⑤④, 1, 6,Ａソルレヴァンテ, 78,内田博,, 79,*  9,  15, 1,  1.7,①①①, 1,12,Ｂリベラルアｰツ, 77,内田博,, 76,   4,* 18, 3,  5.3,⑩⑧⑤
 2,15,Ａネクタルブルｰ, 64,江田照, 0.0, 67,*  5,  -1, 4,  8.4,①①①, 2,12, マンハッタンヘンジ,---,石橋脩, 0.3, 55,*  2, -15, 5, 11.5, ②③, 2, 3,Ｄアｰカイブ, 75,戸崎圭, 0.7, 74,   3,* 19, 4,  8.7,⑧⑧⑦, 2,11,Ｅソルデマｰヨ, 74,田中勝, 0.2, 72,*  8,  10, 4,  8.5,②②②
 3, 8,Ｉキｰコレクション, 55,戸崎圭, 0.4, 65,   3,*  0, 9, 27.6,⑦⑧⑦, 3, 3, コアクマ,---,嶋田純, 0.4, 49, -17,*  3, 6, 15.3, ⑫⑪, 3, 2,Ｂトルｰクマクト, 77,武士沢, 0.7, 74,   5,  15, 3,  6.1,⑦⑥⑧, 3, 1,Ｃカントリｰスノｰ, 76,嶋田純, 0.4, 70,   6,  10, 8, 12.1,⑤④④
 4, 4,Ｂキルタンサス, 63,吉田豊, 0.6, 64,   5,  -4, 5, 11.4,⑩⑤⑤, 4,11, トップアドバンス,---,吉田豊, 0.4, 50,  -9,  -6, 9, 21.1, ⑧⑥, 4, 5,Ｇクリノメダリスト, 66,田辺裕, 0.9, 73,   2,* 18, 9,133.9,⑨⑨⑨, 4, 4,Ａヴィットリオドｰロ, 79,吉田豊, 0.4, 72,*  7,   9, 1,  4.2,③③③
 5, 5,Ｃロングシャドウ, 63,内田博, 0.7, 62,   0,*  3, 1,  2.6,⑬⑭⑫, 5, 5, サノイチ,---,内田博, 0.5, 48, -11,  -5, 3,  6.7, ⑨⑨, 5, 4,Ｃプレミアムタイム, 77,横山典, 0.9, 69,   6,   9, 2,  5.3,⑤④④, 5,14,Ｄトウショウギフト, 75,岩部純, 0.9, 70,   4,  10, 7, 10.9,⑨⑩⑪
 6,14,Ｄヴィルトグラｰフ, 62,西田雄, 0.8, 62,*  5,  -7, 7, 17.9,③③③, 6,13, サクラシュトロｰム,---,戸崎圭, 0.5, 51,*  0, -16, 2,  4.4, ③⑤, 6, 8,Ｈネコタイショウ, 65,江田照, 1.2, 68,   5,   8, 6, 18.1,⑥⑦⑥, 6, 3,Ｆディアグリスタｰ, 74,松岡正, 1.0, 69,   2,* 12,10, 35.7,⑫⑪⑧
 7, 9,Ｆマイネルエウロス, 59,柴田大, 1.1, 58,   1,  -3, 8, 26.3,⑫⑩⑧, 7, 1, オモイイレ,---,松岡正, 0.6, 50,  -2, -15, 8, 18.9, ④①, 7, 1,Ｉスピカシチｰ, 60,蛯名正, 1.3, 68,   5,   7, 8,120.8,④⑤⑤, 7, 5,Ｇシンボリプロント, 73,江田照, 1.1, 68,   6,   7,12,106.7,⑧⑥⑥
 8,11,Ｇカゼノサファイア, 58,嶋田純, 1.4, 54,*  5, -13,11, 87.8,②②②, 8,14, ウｰルｰシュヴァル,---,江田照, 0.7, 51,*  4, -21,10, 27.1, ①②, 8, 9,Ｅエバｰグリｰン, 74,松岡正, 1.4, 64,*  8,  -2, 5, 11.3,②②②, 8, 2,Ｈセツナ, 70,戸崎圭, 1.1, 67,*  8,   2, 2,  4.2,①①①
 9, 2,Ｈラマンチャ, 58,田辺裕, 1.6, 55,   3, -11, 6, 15.3,⑧⑦⑥, 9, 4, オｰドヴィ,---,横山典, 1.3, 38, -19,  -7, 7, 16.1, ⑬⑬, 9, 7,Ｆトｰセンワｰプ, 68,吉田豊, 1.5, 64,*  8,  -2, 7, 30.3,③③③, 9,10,Ｍパリｰナチャン, 60,嘉藤貴, 1.5, 65,   1,  11,14,280.5,⑬⑬⑫
10,12,Ｌポンマリｰ, 48,武士沢, 3.0, 48,   1, -18,12,144.1,⑨⑪⑪,10, 2, コスモビジョン,---,柴田大, 1.4, 39,  -8, -18,11, 41.7, ⑦⑦,,,,,,,,,,,,,10,15, クロタカ,---,田辺裕, 1.9, 60,   5,  -1, 5,  9.9,⑥⑦⑦
11, 1,Ｍブラックテラｰ, 47,原田和, 3.1, 46,   0, -18,15,433.6,⑪⑬⑩,11,10, バイタルワンダｰ,---,宮崎北, 1.5, 36, -11, -18,13, 82.2, ⑪⑩,,,,,,,,,,,,,11, 7,Ｋバシリクス, 69,宮崎北, 2.6, 58,   0,   3,15,292.5,⑭⑭⑭
12, 6,Ｅシルバｰトｰク, 61,二本柳, 3.2, 45,   2, -25, 3,  4.9,④⑥⑨,12, 7, ジャｰアルタミラ,---,伊藤工, 1.6, 35, -11, -18,12, 81.6, ⑩⑫,,,,,,,,,,,,,12, 8,Ｎアラムナス, 57,武士沢, 2.8, 57,   2,  -3,13,267.5,⑪⑫⑬
13,10,Ｎドラゴンフロント, 35,平野優, 4.0, 41,   0, -26,13,169.4,⑭⑫⑭,13, 6, リネンプロフィット,---,武士沢, 2.0, 32,  -7, -27,14,128.6, ⑥⑧,,,,,,,,,,,,,13,13,Ｊニシノスタイル, 69,柴田大, 3.0, 52,   6, -12, 9, 26.3,④⑤⑨
14,13,Ｋクイックブレッド, 52,松岡正, 4.4, 36,   2, -35,10, 51.2,⑥⑨⑬,14, 9, ゴｰルドクレセント,---,田中勝, 2.3, 28, -20, -19, 4,  9.2, ⑭⑭,,,,,,,,,,,,,14, 6,Ｉボップリヴァｰサル, 70,蛯名正, 3.1, 53,   4,  -9, 6,  9.9,⑦⑨⑩
15, 7, ギャラクシｰシチｰ,---,山崎亮, 5.3, 33, -14, -13,14,234.8,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｌヒシパンサｰ, 64,大庭和,12.0, -6, -13, -55,11, 91.6,⑮⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:不良(指数:-4),,,,,,,,,,,
