13年 8月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 8,Ｍカネツスペシャル, 27,佐久間, 1.6, 42,  -8, -16,13,377.7, ⑦⑦,,,,,,,,,,,,, 9, 3,Ｋスピｰディシャｰプ, 56,国分恭, 1.4, 56,  -1, -12,17,236.9,⑰⑱⑰, 9, 7,Ｉアスタｰロｰズ, 64,武幸四, 0.8, 63,  -8,   8,17,376.0, ⑮⑯
10, 5,Ｋフェアリｰスマイル, 40,国分優, 1.6, 43, -13, -10,10,132.9, ⑩⑪,,,,,,,,,,,,,10,17,Ｎアキノライセンス, 54,山口勲, 1.6, 51,   4, -30,16,234.1,⑧⑥⑤,10,12,Ｌジャストザブレイン, 61,中井裕, 0.8, 64, -10,* 11,10, 34.8, ⑰⑭
11,11,Ｉアイファｰニｰニャ, 42,山口勲, 1.7, 42, -14, -10,11,136.9, ⑫⑩,,,,,,,,,,,,,11, 2,Ｊテイエムオｰライト, 57,国分優, 1.8, 51,* 11, -46, 8, 27.3,①①①,11, 4,Ｎドンクｰガｰ, 60,幸英明, 0.8, 63,  -4,   4,12, 71.4, ⑬⑫
12, 9,Ｈウィットウォｰタｰ, 44,中井裕, 1.8, 40, -13, -13, 9, 61.4, ⑪⑫,,,,,,,,,,,,,12,13,Ｏカイザｰカフェ, 54,武幸四, 1.8, 52,   0, -20,11,107.1,⑭⑯⑮,12,11,Ｑトｰアディアマンテ, 60,太宰啓, 0.9, 63,   4,  -3,15,224.0, ⑦⑥
13,12,Ｌカシノリデル, 30,岡田祥, 3.6, 16, -21, -29,12,373.4, ⑬⑬,,,,,,,,,,,,,13, 5,Ｒリトルボナンザ, 43,岡田祥, 2.0, 48,   4, -32,18,338.0,⑦⑨⑭,13, 8,Ｋメイショウコウボウ, 61,高倉稜, 1.0, 61,  -8,   6,16,319.9, ⑯⑰
,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｑビｰビｰダンク, 47,中井裕, 2.1, 48,   4, -34,14,181.3,⑥⑧⑬,14, 5,Ｐビップセレブアイ, 60,北村友, 1.0, 61,  -1,  -1,11, 57.5, ⑨⑬
,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｇテラノアパッチ, 59,酒井学, 2.1, 47,   1, -30,10,104.5,⑬⑬⑯,15, 3,Ｊアカノジュウロク, 63,国分恭, 1.0, 60,  -5,   3, 9, 32.3, ⑫⑮
,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｍドリｰムプレイヤｰ, 55,田中健, 3.0, 42,*  8, -59,15,195.4,③②②,16, 9,Ｏマｰクスマン, 60,池添謙, 1.1, 59,   1,  -5,14,148.9, ⑥⑩
,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｐトウケイゴｰルド, 50,藤懸貴, 3.5, 38,   5, -59, 5, 17.0,④④⑩,17,13,Ｍテイエムシングン, 61,松山弘, 1.2, 58,  -1,  -4,13,133.9, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｌアルスヴィズ, 56,高倉稜, 8.1,-27,   4, ---, 9, 31.3,②⑤⑱,18,14,Ｒクオｰレフォルテ, 56,山口勲, 1.3, 56,*  8, -15,18,485.3, ③③
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-4),,,,,,,,,,,
"単勝:260円 複勝:01=120円 10=490円 07=140円 枠連:2,700円",,,,,,,,,,,,"単勝:1,900円 複勝:03=230円 08=140円 02=110円 枠連:0円",,,,,,,,,,,,単勝:280円 複勝:14=120円 11=150円 16=200円 枠連:500円,,,,,,,,,,,,"単勝:1,160円 複勝:10=300円 02=130円 06=460円 枠連:1,230円",,,,,,,,,,,
"馬連:4,280円 ワイド:01-10=1,250円 01-07=200円 07-10=1,650円",,,,,,,,,,,,"馬連:3,400円 ワイド:03-08=550円 02-03=430円 02-08=170円",,,,,,,,,,,,馬連:610円 ワイド:11-14=260円 14-16=340円 11-16=560円,,,,,,,,,,,,"馬連:1,400円 ワイド:02-10=620円 06-10=2,080円 02-06=860円",,,,,,,,,,,
"馬単:5,820円 3連複:3,910円 3連単:29,840円",,,,,,,,,,,,"馬単:7,690円 3連複:1,590円 3連単:22,590円",,,,,,,,,,,,"馬単:1,010円 3連複:1,050円 3連単:4,010円",,,,,,,,,,,,"馬単:4,170円 3連複:6,810円 3連単:43,740円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,TVQ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｊレッドカイザｰ, 37,藤岡康,, 52, -13,*  0, 5, 15.0,⑫⑪⑩, 1, 5, エイシンキサナドゥ,---,松山弘,, 49,  -8,  -9, 1,  1.8, ⑤⑦, 1, 5,Ａタマモクララ, 76,藤岡康,, 81,*  7,* 13, 1,  3.2,①①①, 1,10,Ｇキングヒｰロｰ, 78,小牧太,, 82,   3,* 20, 4,  6.7,⑧⑨④
 2,10,Ａウインリバティ, 55,中井裕, 0.1, 54, -14,*  2, 3,  7.4,⑩⑫⑫, 2, 9, セフィｰロ,---,小牧太, 0.2, 45, -16,* -4, 4, 11.2, ⑨⑨, 2, 1,Ｋファシネｰトダイア, 66,藤懸貴, 0.2, 79,   5,* 14,10, 50.4,③③②, 2, 9,Ｂコルｰジャ, 82,国分優, 0.4, 79,   1,* 19, 5, 13.9,⑪⑩⑨
 3,11,Ｄニシノシュロ, 46,池添謙, 0.3, 47, -10, -10, 6, 26.2,⑤⑤④, 3, 7, タガノスカイ,---,高倉稜, 0.2, 44, -22,*  1, 9, 74.0, ⑩⑩, 3,14,Ｅアルボナンザ, 73,武幸四, 1.1, 78,*  6,   5, 6, 12.9,④②③, 3,13,Ｃプルｰフポジティブ, 82,幸英明, 0.4, 79,*  5,  12, 2,  3.8,②②②
 4, 6,Ｃリラヴァティ, 50,川田将, 0.3, 47, -10, -10, 2,  2.9,③④⑥, 4, 3, ヴァッフシュテルケ,---,川田将, 0.5, 44,* -4, -20, 3,  8.0, ①①, 4,11,Ｇブルｰメリディアン, 71,中井裕, 1.5, 73,   5,   4, 9, 38.4,⑫⑥⑤, 4, 2,Ｅワンダｰコロアｰル, 79,武豊  , 0.5, 80,   3,  15, 1,  2.4,⑨⑥③
 5, 9,Ｂレッドアルヴィス, 51,武豊  , 0.3, 45,* -9, -13, 1,  2.1,④③③, 5, 4, グッドウェｰブ,---,藤岡康, 0.5, 43,* -5, -18, 5, 12.2, ②②, 5, 6,Ｂサイモンガｰランド, 75,松山弘, 2.0, 67,   1,   6, 3,  4.7,⑭⑮⑪, 5, 1,Ｄバンブｰリバプｰル, 80,鮫島良, 0.9, 75,*  6,   6, 6, 30.2,①①①
 6, 8,Ｈシゲルリクチュウ, 41,山口勲, 0.6, 41,* -8, -19,10,126.4,②②②, 6, 6, プレフェリｰト,---,武豊  , 0.6, 41,  -7, -19, 2,  3.1, ③③, 6, 9,Ｃエスジｰアンクル, 73,国分恭, 2.0, 67,   3,   4, 7, 16.0,⑨⑫⑬, 6, 6,Ａキングブレイク, 86,松山弘, 1.3, 71,*  4,   7, 3,  4.5,③③⑤
 7, 1,Ｋウォルフラム, 34,幸英明, 0.6, 44, -13, -10, 8, 46.1,⑨⑩⑨, 7,10, ナガラブレｰブ,---,酒井学, 0.7, 40,  -8, -19, 6, 46.9, ⑥④, 7,10,Ｆタニノセレナｰデ, 72,太宰啓, 2.1, 70,   3,   2, 5, 12.4,⑯⑪⑥, 7, 3,Ｆテルミｰホワイ, 79,高倉稜, 1.4, 71,   0,  13,10, 97.8,⑬⑭⑩
 8,13,Ｌモウイイデショウ, 26,北村友, 0.9, 40, -11, -16,11,148.7,⑧⑨⑧, 8, 2, ジョウショｰベガ,---,国分恭, 0.8, 41, -12, -13, 8, 64.5, ⑧⑧, 8,16,Ｉティボリハｰモニｰ, 70,岩崎翼, 2.3, 65,   3,   0,12, 79.0,⑮⑨⑨, 8,14,Ｉシルクシンフォニｰ, 76,中井裕, 1.7, 71,   3,   4, 8, 48.4,⑦⑤⑧
 9, 7,Ｅモンラッシェ, 44,小牧太, 0.9, 37,* -9, -23, 4,  9.8,①①①, 9, 1, シゲルエチゼン,---,中井裕, 0.8, 39, -11, -17, 7, 54.5, ⑦⑤, 9,12,Ｊブロッケン, 70,川田将, 2.3, 66,   5,  -3, 4,  9.9,⑥⑤⑧, 9,11,Ｈブライトジェム, 78,山口勲, 1.8, 69,   1,   9,12,172.6,⑭⑮⑫
10, 3,Ｉサザンキング, 37,酒井学, 0.9, 39, -11, -17,12,257.0,⑦⑦⑦,10, 8, ルｰルウイニング,---,幸英明, 0.8, 39,  -9, -18,10, 93.2, ④⑥,10, 8,Ｏエリモフェアリｰ, 57,小牧太, 2.7, 63,   2,  -2,13,115.7,⑩⑬⑩,10,15,Ｐスタｰペスジンタ, 60,武幸四, 2.4, 69,*  5,  -3,13,182.6,⑤④⑥
11, 2,Ｇマルクナッテ, 41,高倉稜, 1.0, 39, -11, -17, 7, 37.6,⑥⑧⑪,,,,,,,,,,,,,11, 3,Ｍプレシャスペスカ, 64,幸英明, 2.9, 62,   4,  -7,16,231.0,⑦⑦④,11,12,Ｌランミネルバ, 71,藤岡康, 2.4, 65,   1,   3, 9, 78.3,⑫⑫⑪
12,12,Ｆタガノゴｰルド, 41,太宰啓, 1.2, 34, -10, -25, 9, 54.6,⑪⑥⑤,,,,,,,,,,,,,12,15,Ｌキセキノハナ, 66,国分優, 3.1, 60,   3,  -5,11, 52.6,⑪⑭⑭,12, 4,Ｋテツキセキ, 73,藤懸貴, 2.5, 64,   4,  -1,14,406.0,⑥⑦⑦
13, 4,Ｍスパンコｰル,  8,藤懸貴, 1.7, 34, -19, -13,13,619.7,⑬⑬⑬,,,,,,,,,,,,,13, 7,Ｐワンダｰブロタｰル, 50,池添謙, 3.8, 55,   5, -17,15,155.8,②④⑦,13,16,Ｍキンショｰタイム, 71,岡田祥, 2.8, 61,   1,  -1,15,447.8,⑩⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｎトゥルｰピｰス, 63,山口勲, 4.0, 53,   4, -17,14,150.9,⑤⑧⑫,14, 7,Ｊサンマルボス, 75,太宰啓, 3.6, 62,  -6,   6,16,563.1,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｄレッドセイリング, 73,武豊  , 8.1, 30,   3, -49, 2,  4.1,⑧⑩⑮,15, 5,Ｏコｰリングオブラブ, 68,熊沢重, 4.9, 52,   2, -20,11,157.2,⑮⑪⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｎドリｰムハヤテ, 70,国分恭, 5.3, 43,   3, -25, 7, 34.5,④⑧⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,500円 複勝:05=450円 10=360円 11=710円 枠連:3,020円",,,,,,,,,,,,"単勝:180円 複勝:05=110円 09=250円 07=1,010円 枠連:660円",,,,,,,,,,,,"単勝:320円 複勝:05=160円 01=1,130円 14=330円 枠連:440円",,,,,,,,,,,,"単勝:670円 複勝:10=200円 09=250円 13=170円 枠連:3,310円",,,,,,,,,,,
"馬連:5,040円 ワイド:05-10=1,440円 05-11=3,030円 10-11=1,580円",,,,,,,,,,,,"馬連:1,090円 ワイド:05-09=500円 05-07=2,250円 07-09=4,660円",,,,,,,,,,,,"馬連:6,920円 ワイド:01-05=2,100円 05-14=720円 01-14=6,960円",,,,,,,,,,,,"馬連:3,400円 ワイド:09-10=880円 10-13=510円 09-13=610円",,,,,,,,,,,
"馬単:10,430円 3連複:20,650円 3連単:138,000円",,,,,,,,,,,,"馬単:1,460円 3連複:15,900円 3連単:39,970円",,,,,,,,,,,,"馬単:10,850円 3連複:26,080円 3連単:112,390円",,,,,,,,,,,,"馬単:6,320円 3連複:3,670円 3連単:33,230円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 9R  芝1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,青島特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｏクリムトキッス, 36,藤岡康,, 59,*  5,  -6, 8, 39.8,①①①, 1, 3,Ｄゼンノビッグワン, 62,鮫島良,, 66,*  9,  -3, 4,  7.6, ①①, 1,11,Ｌサウンドバラッド, 64,武豊  ,, 76,*  2,   5, 4,  8.6,②②②, 1,13,Ａスイｰトジュエリｰ, 70,川田将,, 72,*  6,   0, 1,  3.7, ②②
 2,16,Ａケイティバロｰズ, 68,川田将, 0.1, 59,*  4,  -4, 1,  1.3,⑥⑤④, 2, 9,Ｅステｰキ, 60,藤岡康, 0.0, 65,*  8,  -2, 2,  5.8, ②③, 2, 5,Ａトウカイバイタル, 74,池添謙, 0.0, 81,  -2,* 14, 1,  2.4,⑦⑥⑥, 2, 2,Ｂオｰスミマイカ, 69,武幸四, 0.0, 72,   0,*  6, 3,  5.7, ⑦⑥
 3,11,Ｉニシノヒメゴト, 54,北村友, 0.3, 58,  -4,*  9,11,133.5,⑯⑯⑮, 3,12,Ａロケットダッシュ, 71,松山弘, 0.0, 65,   7,  -1, 1,  1.9, ④④, 3,12,Ｈピュアソウル, 68,川田将, 0.3, 71,*  9,  -7, 6, 16.3,①①①, 3,14,Ｈノアノア, 65,松山弘, 0.2, 69,*  4,  -1, 6, 11.6, ⑤⑤
 4,14,Ｆカｰヴィシャス, 59,武豊  , 0.5, 57,*  4,  -8, 5, 19.6,②③③, 4, 4,Ｃウォｰタｰチュｰン, 62,川田将, 0.4, 61,   7,  -4, 5,  9.0, ③②, 4, 3,Ｃタガノグｰフォ, 72,鮫島良, 0.4, 75,  -5,  12,10, 53.5,⑩⑩⑪, 4, 7,Ｅコナブリュワｰズ, 67,藤懸貴, 0.2, 69,  -1,*  4, 2,  4.5, ⑪⑪
 5, 7,Ｂセイウンラｰドゥガ, 67,岩崎翼, 0.5, 55,   3,  -7, 2, 10.4,⑤⑦⑤, 5, 7, ボウマンミル,---,藤懸貴, 0.4, 56, -20,* 12,10, 51.7, ⑬⑬, 5, 9,Ｅレッドキングダム, 70,高倉稜, 0.4, 74,  -3,   9,12, 71.2,⑨⑨⑧, 5,12,Ｍミラクルベリｰ, 60,池添謙, 0.2, 70,   3,   0,10, 27.8, ④④
 6,13,Ｈキラキラムｰン, 58,酒井学, 0.6, 56,   3,  -6,12,147.6,⑩⑩⑨, 6, 8,Ｆキンシジェネラル, 59,武豊  , 0.5, 59,   0,  -1, 3,  6.9, ⑨⑥, 6, 2,Ｂプレノタｰト, 74,武幸四, 0.5, 78,  -9,* 19, 2,  4.1,⑭⑬⑬, 6, 8,Ｐサクラエミネント, 56,小牧太, 0.3, 68,   3,  -1,11, 29.0, ③③
 7, 2,Ｅクｰファスタｰ, 59,山口勲, 0.7, 55,  -1,*  0, 7, 30.8,⑬⑭⑭, 7,11,Ｈスイングタキオン, 55,山口勲, 0.5, 58,  -6,   3,11, 82.9, ⑩⑩, 7, 6,Ｊサトノネネ, 66,北村友, 0.6, 73,  -3,   8, 5, 13.1,⑧⑧⑦, 7, 6,Ｃディザイラブル, 68,藤岡康, 0.5, 65,  -3,   3, 4,  9.2, ⑬⑭
 8,10,Ｄマムティ, 61,松山弘, 0.8, 55,   0,  -2, 4, 15.3,⑭⑬⑬, 8,13,Ｋメイショウゲンキ, 52,国分恭, 0.6, 56,  -7,   3, 9, 47.0, ⑪⑪, 8, 1,Ｋサトノジェミニ, 64,幸英明, 0.6, 71,   1,   1, 7, 16.6,⑤④③, 8, 1,Ｉメイショウマルマル, 63,武豊  , 0.5, 65,  -8,*  7, 5,  9.7, ⑯⑮
 9, 5,Ｊサンミッシェル, 50,高倉稜, 0.8, 53,   4,  -8,10, 79.8,⑦⑧⑦, 9, 5,Ｉペルセクション, 54,酒井学, 0.7, 57,   0,  -3, 7, 36.0, ⑧⑧, 9, 4,Ｄゼウス, 71,酒井学, 0.7, 68,   1,  -1, 3,  5.9,④⑤⑤, 9,10,Ｊヤマニンボンプアン, 63,中井裕, 0.6, 64,*  6,  -8, 7, 15.1, ①①
10, 4,Ｌジョウノグロリア, 48,小牧太, 0.8, 53,*  4, -11,13,206.2,③②②,10,14,Ｂキリノトップラン, 62,幸英明, 0.7, 57,   1,  -4, 6, 23.6, ⑥⑦,10,10,Ｆゴｰゲッタｰ, 69,国分恭, 0.8, 70,  -5,   7, 9, 32.1,⑫⑪⑨,10, 4,Ｆホッコｰジョイフル, 66,熊沢重, 0.8, 61,  -4,  -1,14,161.6, ⑫⑫
11, 1,Ｋカネトシアルガルベ, 49,国分恭, 0.8, 54,   1,  -4,15,373.4,⑪⑫⑫,11, 6,Ｍタネマフタ, 45,北村友, 1.2, 50, -16,   4,13,135.7, ⑫⑫,11,14,Ｉカシノラピス, 67,水口優, 1.0, 69,  -6,   6,11, 63.5,⑪⑫⑫,11, 9,Ｌトロピカルメジャｰ, 61,国分恭, 0.8, 61,   0,  -5,17,248.1, ⑨⑦
12, 9,Ｃビックリマｰチャン, 62,中井裕, 1.1, 54,   2, -10, 6, 26.1,⑨⑨⑧,12, 1,Ｇメイショウゴウワン, 58,熊沢重, 1.4, 54,   6, -13,12,106.6, ⑤⑤,12,13,Ｇサダムコｰテイ, 69,松山弘, 1.1, 62,   1,  -8, 8, 30.0,③③④,12,11,Ｎスズカサクセス, 57,国分優, 0.9, 60,  -2,  -4,16,211.4, ⑭⑬
13, 3,Ｎスズカダイヤ, 36,太宰啓, 1.3, 55,  -1,  -3,16,378.1,⑮⑮⑯,13, 2,Ｌラメント, 51,池添謙, 1.5, 48,  -2,  -9, 8, 42.9, ⑦⑨,13, 8,Ｎビコｰワンダフル, 55,佐久間, 1.8, 55,   0, -14,14,491.8,⑥⑦⑩,13, 3,Ｑディｰプジュジュ, 51,北村友, 1.0, 58, -12,*  4,12, 68.3, ⑰⑱
14, 6,Ｇオクタｰブユニゾン, 58,池添謙, 2.1, 46,   2, -18, 3, 12.5,⑧⑪⑩,14,10,Ｊアスカノトゥｰレ, 53,中井裕, 2.3, 38, -28,   0,14,382.8, ⑭⑭,14, 7,Ｍケイズイｰグル, 59,国分優, 2.9, 46,  -9, -14,13,309.9,⑬⑭⑭,14,16,Ｇアルティメイト, 66,幸英明, 1.0, 59,   2,  -9, 8, 17.2, ⑩⑨
15,15,Ｐワンダｰフロレゾン, 34,藤懸貴, 3.1, 38,*  4, -30,14,307.5,④④⑪,,,,,,,,,,,,,,,,,,,,,,,,,15,18,Ｏサマｰビｰチ, 56,岡田祥, 1.0, 58,  -3,  -5,15,200.0, ⑮⑯
16,12,Ｍバｰレスク, 43,武幸四, 3.4, 41,*  4, -32, 9, 40.1,⑫⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｒラブリｰリタ, 50,水口優, 1.1, 57, -15,*  5,18,288.4, ⑱⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｄホットサマｰデイ, 67,太宰啓, 1.3, 55,   3, -14, 9, 19.4, ⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 5,Ｋクラウンエンビｰ, 63,酒井学, 1.5, 52,   0, -14,13,135.6, ⑧⑩
