13年 9月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■10R  ダ2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,鳥取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,060円 3連複:1,950円 3連単:7,470円",,,,,,,,,,,,"馬単:5,430円 3連複:22,620円 3連単:97,390円",,,,,,,,,,,,"馬単:12,630円 3連複:64,220円 3連単:318,120円",,,,,,,,,,,,"馬単:2,970円 3連複:2,810円 3連単:17,550円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,西宮ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｇプロクリス, 41,川田将,, 52,   3,*  5, 1,  2.5, ③⑦, 1, 1, アトム,---,川田将,, 56, -23,*  8, 1,  3.1, ⑥⑦, 1, 4,Ａタガノレイヨネ, 77,太宰啓,, 72,*  7,   1, 2,  4.1,①①①, 1, 7,Ａヒストリカル, 85,浜中俊,, 85,   3,* 10, 1,  1.8, ⑧⑦
 2,11,Ｌワンアンドオンリｰ, 27,国分優, 0.2, 51,   3,*  2,13,260.1, ⑦⑧, 2,12, ミッキｰアイル,---,浜中俊, 0.1, 50,*-19,  -1, 2,  3.5, ③③, 2, 9,Ｂアドマイヤツヨシ, 76,川田将, 0.1, 73,   4,   7, 1,  3.6,⑤⑥⑥, 2, 4,Ｉインパラトｰル, 73,和田竜, 0.0, 85,   1,* 12, 5,  9.6, ⑦⑨
 3, 1,Ｆエイシンエルヴィン, 42,浜中俊, 0.7, 44,   2,  -3, 2,  5.7, ⑧⑨, 3, 9, ライザン,---,福永祐, 0.3, 51, -23,*  3, 6, 15.7, ⑦⑧, 3, 5,Ｊステイザコｰス, 57,池添謙, 0.1, 76,   1,* 14, 7, 18.6,⑨⑩⑨, 3, 2,Ｅバッドボｰイ, 78,川田将, 0.1, 81,   4,   5, 2,  5.9, ③③
 4, 3,Ｉダンスｰルクレｰル, 38,武豊  , 1.0, 41,  -2,*  0, 7,  9.0, ⑬⑬, 4, 2, サウンドカｰル,---,和田竜, 0.7, 44, -22,  -5,10, 64.1, ④④, 4, 6,Ｆロｰゼンガルテン, 72,武豊  , 0.1, 74,   3,  10, 3,  4.8,⑦⑧⑧, 4, 6,Ｂエスカナｰル, 79,四位洋, 0.3, 79,   4,   2, 4,  8.5, ④④
 5, 6,Ａカバｰストｰリｰ, 47,岩田康, 1.1, 40,  -1,  -6, 3,  7.1, ⑪⑪, 5,13, ゴｰナミノリ,---,藤田伸, 0.8, 43, -22,  -7, 3,  5.0, ⑧⑥, 5, 2,Ｅスミデロキャニオン, 72,幸英明, 0.1, 75,   4,   8, 8, 18.9,⑥⑤⑤, 5, 3,Ｄヴィクトリｰスタｰ, 78,福永祐, 0.3, 80,   3,   5, 6, 11.8, ⑥⑥
 6, 4,Ｅセフィｰロ, 43,小牧太, 1.3, 37,   2, -13, 4,  8.4, ⑨⑩, 6, 5, リヴィアｰド,---,岩田康, 1.0, 39, -22, -12, 5,  8.2, ⑤⑤, 6, 1,Ｇマルケサス, 71,北村友, 0.1, 75,   3,* 12, 9, 21.5,⑧⑦⑦, 6,10,Ｊサカジロロイヤル, 64,国分優, 0.6, 75,*  6,  -5, 7, 30.7, ②②
