13年 1月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 1月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,14,Ｐテイエムブレイク, 30,国分優, 4.6, 44,  -4, -10,14,290.8,⑭⑯⑯,13, 9,Ｋヒドゥンブレイド, 46,藤岡佑, 2.3, 39,  -9, -27,12, 65.2, ⑩⑩,,,,,,,,,,,,,13, 2,Ｎオウケンサクラ, 76,北村友, 1.3, 74,   8,  -5,14,124.4, ⑥⑦
14,15,Ｎメモリｰクリｰド, 43,横山和, 4.9, 40,   1, -24,16,400.9,⑩⑪⑬,14, 2,Ｐエｰシンヘラ,  9,酒井学, 2.5, 40, -13, -21,15,220.6, ⑯⑯,,,,,,,,,,,,,14,11,Ｌアンチュラス, 78,池添謙, 1.9, 68,* 11, -17,12, 46.1, ③③
15,12,Ｍハギノブシドウ, 47,川須栄, 5.0, 41,*  6, -34, 8, 49.3,④③⑤,15,16,Ｊプランタンビジュｰ, 55,幸英明, 3.7, 28,  -4, -57, 7, 15.3, ⑤④,,,,,,,,,,,,,,,,,,,,,,,,
16,11,Ｋブラックコｰル, 48,北村友, 6.0, 35,   0, -29,12,193.3,⑮⑭⑮,16,13,Ｏザッツトライアンフ, 40,川須栄, 3.7, 27,  -8, -45,13,135.8, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:3),,,,,,,,,,,
"単勝:130円 複勝:10=110円 09=380円 01=1,230円 枠連:770円",,,,,,,,,,,,単勝:300円 複勝:04=150円 07=270円 14=200円 枠連:970円,,,,,,,,,,,,"単勝:170円 複勝:03=110円 02=550円 09=440円 枠連:1,770円",,,,,,,,,,,,単勝:170円 複勝:04=110円 08=180円 10=410円 枠連:350円,,,,,,,,,,,
"馬連:830円 ワイド:09-10=460円 01-10=1,440円 01-09=7,180円",,,,,,,,,,,,"馬連:1,840円 ワイド:04-07=710円 04-14=460円 07-14=1,030円",,,,,,,,,,,,"馬連:2,010円 ワイド:02-03=860円 03-09=660円 02-09=3,560円",,,,,,,,,,,,"馬連:690円 ワイド:04-08=320円 04-10=780円 08-10=2,240円",,,,,,,,,,,
"馬単:1,090円 3連複:12,110円 3連単:28,600円",,,,,,,,,,,,"馬単:3,010円 3連複:3,120円 3連単:16,110円",,,,,,,,,,,,"馬単:3,050円 3連複:9,250円 3連単:33,170円",,,,,,,,,,,,"馬単:890円 3連複:5,690円 3連単:14,580円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1400m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 9R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1400m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,花見小路特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａスマｰトレパｰド, 82,池添謙,, 75,*  1,*  8, 1,  1.2, ①①, 1, 4, アルテミシア,---,幸英明,, 53,* -5,  -7,11, 46.5, ①①, 1, 1,Ａサンライズメジャｰ, 86,池添謙,, 87,  13,*  4, 2,  3.6, ⑦⑦, 1, 6,Ａオｰシャンフリｰト, 83,藤田伸,, 75,*  3,   9, 1,  1.8, ②②
