13年 7月 6日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月 6日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,, 9,13,Ｂセビジャｰナス, 66,丹内祐, 1.7, 54,  -4,  -4, 6, 12.8,⑪⑫⑪, 9, 9,Ｃラルシュドｰル, 72,川須栄, 2.1, 62,   1,  -2, 1,  2.8,⑩⑨⑨, 9, 4,Ｋグッドジｰン, 53,川島信, 1.1, 58,  -9,   4, 6, 27.4, ④⑥
,,,,,,,,,,,,10,15,Ｃマンハッタンテルス, 63,吉田隼, 1.7, 54,  -4,  -4,11, 28.2,⑫⑬⑮,10, 2,Ｋアリエルシチｰ, 58,城戸義, 2.2, 61,   1,  -2,12,299.2,⑤⑩⑧,10, 1,Ｆサウスビクトル, 64,木幡初, 1.2, 57,* -3,  -2, 4,  6.2, ①①
,,,,,,,,,,,,11, 1,Ｉグラスリｰド, 57,伴啓太, 1.8, 56,  -7,*  3,16,234.1,⑯⑯⑯,11,10,Ｇアグネスロｰザ, 67,横山和, 2.8, 58,   0,  -5,10,163.8,⑪⑫⑫,11, 9,Ｈノｰザンハリアｰ, 59,黛弘人, 1.3, 56, -12,   6,10, 78.4, ⑧⑧
,,,,,,,,,,,,12, 7,Ｈポｰルシッタｰ, 57,藤田伸, 1.9, 54,  -2,  -9, 7, 20.8,⑭⑪⑩,12, 5,Ｌディアルｰモ, 55,勝浦正, 4.4, 45,   2, -23,11,226.1,⑫⑤⑩,12, 8, ファキナウェイ,---,岩橋勇, 1.8, 50, -18,   4,12,199.3, ⑪⑫
,,,,,,,,,,,,13, 4,Ｏスマッシュ, 35,村田一, 2.5, 46,  -1, -22,13, 74.9,⑥⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 2,Ｎマイネアラベスク, 45,津村明, 2.7, 44,*  2, -29,15,186.7,③③③,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,14,Ｍティアップブルｰム, 47,黛弘人, 2.9, 44,  -1, -24,14,104.7,⑧⑩⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,12,Ｌシナンジュ, 48,三浦皇, 2.9, 43,*  2, -33, 3,  5.5,④④④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,
単勝:540円 複勝:02=210円 06=150円 枠連:0円,,,,,,,,,,,,"単勝:410円 複勝:03=170円 06=230円 10=1,370円 枠連:800円",,,,,,,,,,,,"単勝:470円 複勝:12=240円 07=1,710円 06=370円 枠連:1,780円",,,,,,,,,,,,"単勝:280円 複勝:10=150円 03=1,450円 05=180円 枠連:11,010円",,,,,,,,,,,
馬連:620円 ワイド:02-06=220円 02-03=410円 03-06=310円,,,,,,,,,,,,"馬連:840円 ワイド:03-06=440円 03-10=2,990円 06-10=5,950円",,,,,,,,,,,,"馬連:26,780円 ワイド:07-12=7,250円 06-12=1,090円 06-07=8,340円",,,,,,,,,,,,"馬連:12,860円 ワイド:03-10=2,140円 05-10=370円 03-05=3,910円",,,,,,,,,,,
"馬単:1,480円 3連複:1,220円 3連単:6,580円",,,,,,,,,,,,"馬単:1,700円 3連複:18,660円 3連単:64,190円",,,,,,,,,,,,"馬単:33,800円 3連複:81,890円 3連単:483,660円",,,,,,,,,,,,"馬単:17,900円 3連複:15,930円 3連単:91,090円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,五稜郭ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂブルｰモントレｰ, 61,菱田裕,, 70,*  3,   6, 2,  3.6, ①①, 1, 3, キタサンラブコｰル,---,藤田伸,, 47,*-15,  -6, 1,  1.9, ①①, 1, 3,Ａサンマルデュｰク, 79,四位洋,, 82,*  1,* 26, 1,  1.7,④③①, 1, 8,Ｄラブイズブｰシェ, 83,古川吉,, 82,* -2,  19, 1,  2.2,④④④
 2, 8,Ｃウイッチワンド, 60,丹内祐, 0.4, 67,*  2,   4, 6, 39.6, ②②, 2, 5, オｰルオブナイト,---,川須栄, 0.2, 46, -19,  -4, 4,  6.3, ③③, 2, 5,Ｉリアライズブラザｰ, 62,岩田康, 1.2, 74,*  1,  17, 3,  8.0,⑩④③, 2, 4,Ｋサクラボｰルド, 80,勝浦正, 0.1, 84,  -5,* 21, 4, 10.7,⑦⑦⑤
 3,10,Ａアスタｰストｰム, 64,古川吉, 0.4, 66,*  2,   3, 1,  1.5, ③③, 3, 6, ダンディｰズムｰン,---,大野拓, 0.4, 41, -19,  -7, 3,  4.7, ④④, 3,12,Ｂメイスンキャプテン, 78,丹内祐, 1.5, 74,   0,  18, 2,  7.2,⑦⑥⑤, 3, 2,Ｊドリｰムヒｰロｰ, 80,松田大, 0.2, 78,* -1,  13,12, 44.3,①①①
 4, 7,Ｇシキランマン, 52,勝浦正, 1.1, 59,  -3,   1, 5, 36.1, ④④, 4, 2, シャドウカラｰズ,---,村田一, 0.6, 42, -30,*  0, 5, 12.8, ⑦⑦, 4, 4,Ｈナリタタイフｰン, 67,丸田恭, 1.5, 73,  -1,  19, 6, 26.3,⑨⑦⑦, 4,10,Ｐアナバティック, 75,津村明, 0.2, 79,* -3,  14, 9, 25.5,②②②
 5, 3,Ｈプラチナレイン, 47,横山和, 1.3, 54,  -9,   2, 7, 39.8, ⑥⑤, 5, 4, ウラノスガッキ,---,岩田康, 0.7, 38,*-17, -14, 2,  4.0, ②②, 5, 6,Ｋブルｰスイショウ, 58,大野拓, 2.8, 66,   0,   9, 7, 29.1,⑪⑧⑧, 5, 6,Ｅリリエンタｰル, 83,四位洋, 0.3, 83,  -5,* 22,10, 27.2,⑩⑩⑨
 6, 5,Ｄマイステｰジ, 55,田中博, 1.4, 52, -26,* 13, 9, 77.5, ⑩⑩, 6, 1, ヘルツォｰク,---,柴山雄, 1.4, 29, -28, -11, 6, 49.7, ⑥⑥, 6,10,Ｇオズフェスト, 68,柴山雄, 2.9, 62,*  1,   2,12, 79.9,②②④, 6, 1,Ｂマイネルグｰト, 84,丹内祐, 0.3, 78,  -4,  16, 6, 12.9,③③③
 7, 2,Ｉデルマベム, 45,伴啓太, 1.8, 48, -20,   4,10,123.8, ⑧⑧, 7, 7, パイストロピカル,---,三浦皇, 1.5, 28, -23, -17, 7, 57.4, ⑤⑤, 7, 8,Ｄエアラｰテル, 72,松田大, 2.9, 65,  -1,  10, 5,  9.6,⑥⑨⑨, 7, 5,Ｎマイネルエルフ, 78,黛弘人, 0.4, 79,  -6,  17,14, 70.7,⑤⑥⑦
 8, 9,Ｅエアサラディン, 54,松田大, 1.9, 49,  -5,  -6, 3, 11.9, ⑤⑥,,,,,,,,,,,,, 8, 2,Ｊメイショウイッシン, 62,古川吉, 3.4, 61,   0,   2, 8, 32.1,③⑤⑥, 8,11,Ｍミカエルビスティｰ, 78,三浦皇, 0.5, 84, -10,* 25,15, 70.7,⑬⑭⑬
 9, 1,Ｊメイショウホワイト, 30,四位洋, 1.9, 49, -20,   5, 8, 55.7, ⑨⑨,,,,,,,,,,,,, 9, 7,Ｌフクノカシオペア, 58,黛弘人, 3.5, 56,*  2,  -5,10, 67.3,①①②, 9, 7,Ｇセイカプレスト, 82,大野拓, 0.5, 79,  -5,  17,16,121.2,⑨⑧⑧
10, 4,Ｆアンフォｰギビング, 53,吉田隼, 2.5, 42, -10,  -9, 4, 13.9, ⑦⑦,,,,,,,,,,,,,10,11,Ｅジャストザシｰズン, 71,川須栄, 4.4, 56,  -2,  -1,11, 77.0,⑫⑩⑩,10, 9,Ｈポケッタブルゲｰム, 81,丸田恭, 0.5, 79,  -7,  20,13, 56.2,⑧⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,11, 1,Ｃタイソンバロｰズ, 72,菱田裕, 4.8, 55,  -3,  -1, 9, 37.4,⑧⑪⑪,11,14,Ｃネオブラックダイヤ, 84,藤田伸, 0.8, 78,  -7,  17, 3,  8.1,⑫⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,12, 9,Ｆハギノタイクｰン, 70,秋山真, 8.7, 33,  -4, -31, 4,  8.4,⑤⑫⑫,12,12,Ｌマイネマオ, 80,菱田裕, 0.9, 76,  -7,  16, 8, 22.2,⑪⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,16,Ｆシンボリボルドｰ, 83,木幡初, 1.0, 75,  -8,  16,11, 42.4,⑮⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｉツルミプラチナム, 80,柴山雄, 1.1, 74,  -8,  16, 5, 12.9,⑭⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｏサフランディライト, 78,川須栄, 1.2, 68,  -4,   3, 7, 16.9,⑥⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ａタニノシュヴァリエ, 85,秋山真, 1.2, 75, -10,  18, 2,  6.9,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,
"単勝:360円 複勝:06=110円 08=450円 10=110円 枠連:3,210円",,,,,,,,,,,,単勝:190円 複勝:03=120円 05=210円 枠連:0円,,,,,,,,,,,,単勝:170円 複勝:03=110円 05=200円 12=160円 枠連:490円,,,,,,,,,,,,単勝:220円 複勝:08=140円 04=310円 02=840円 枠連:550円,,,,,,,,,,,
"馬連:5,450円 ワイド:06-08=670円 06-10=120円 08-10=580円",,,,,,,,,,,,馬連:660円 ワイド:03-05=250円 03-06=190円 05-06=430円,,,,,,,,,,,,馬連:700円 ワイド:03-05=290円 03-12=230円 05-12=700円,,,,,,,,,,,,"馬連:1,210円 ワイド:04-08=520円 02-08=2,080円 02-04=5,810円",,,,,,,,,,,
"馬単:10,310円 3連複:790円 3連単:19,360円",,,,,,,,,,,,"馬単:870円 3連複:780円 3連単:2,680円",,,,,,,,,,,,"馬単:980円 3連複:1,220円 3連単:4,190円",,,,,,,,,,,,"馬単:1,740円 3連複:17,250円 3連単:56,930円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  ダ1000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,噴火湾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａトウケイポイント, 64,伴啓太,, 63,*  2,  -1, 3,  5.4,②②①, 1, 3, ドラゴンスズラン,---,三浦皇,, 45,*-15,  -4, 1,  1.7, ②①, 1,10,Ｇピクシｰホロウ, 69,菱田裕,, 71,*  9,   7, 4,  7.9,①①①, 1, 7,Ｅトレボｰネ, 76,黛弘人,, 74,  -2,* 13, 5,  7.9, ⑧⑦
 2, 3,Ｅエルフショット, 60,古川吉, 0.2, 65,  -1,*  4, 6,  8.8,⑦⑤⑤, 2, 2, コパノハリｰ,---,柴山雄, 0.6, 38, -26,* -2, 3,  6.4, ⑤⑤, 2, 9,Ｄマルカファイン, 72,松田大, 0.3, 68,*  8,   7, 2,  5.0,③②②, 2, 1,Ｃケビンドゥ, 79,川須栄, 0.2, 75,* 11,   3, 2,  3.7, ①①
 3,10,Ｉクリノコトノオｰ, 54,丸田恭, 0.4, 61,  -3,*  6, 8, 29.5,⑩⑩⑦, 3, 5, プレッシャｰリッジ,---,田中博, 0.7, 38,*-15, -10, 4, 11.6, ③②, 3, 5,Ｂフラゴリｰネ, 75,横山和, 0.5, 68,*  7,   8, 3,  7.2,②③③, 3, 9,Ｌドナリサ, 67,大野拓, 0.3, 72,  -8,* 13, 9, 41.8, ⑫⑫
 4, 2,Ｇメイショウバッカス, 58,四位洋, 0.5, 62,   0,  -1, 1,  3.2,④④③, 4, 4, コスモロザラム,---,丹内祐, 1.1, 34, -24,  -9, 5, 12.4, ④④, 4, 6,Ｃキングズクエスト, 72,丹内祐, 0.5, 68,   4,  12, 8, 19.2,④④④, 4, 8,Ａセイウンチカラ, 79,秋山真, 0.5, 71,*  8,   0, 1,  3.3, ②②
 5, 6,Ｈテルミニスト, 56,城戸義, 0.6, 59,*  3,  -6, 9, 92.1,①①②, 5, 6, ルックアラウンド,---,黛弘人, 3.0, 12, -39, -16, 6, 63.0, ⑥⑥, 5, 3,Ｌレッドヴィｰヴォ, 63,三浦皇, 0.9, 68,   0,  16, 6,  9.5,⑨⑩⑨, 5,11,Ｄラシｰク, 77,横山和, 0.6, 69,   2,   4, 3,  4.8, ⑥⑥
 6, 5,Ｄサクラシェンロン, 60,川須栄, 0.7, 60,  -1,   0, 2,  4.5,⑥⑥⑥, 6, 1, キクノオｰブ,---,岩田康, 3.2, 13,*-14, -34, 2,  3.1, ①③, 6, 7,Ａウィザｰズポケット, 75,四位洋, 0.9, 67,  -2,* 17, 1,  2.9,⑬⑫⑪, 6, 3,Ｊコｰリンハッピｰ, 69,村田一, 0.6, 69,   0,   5, 8, 35.1, ⑤⑤
 7, 7,Ｃスリｰヨｰク, 61,三浦皇, 1.0, 58,  -2,   0, 5,  7.1,⑧⑧⑨,,,,,,,,,,,,, 7,14,Ｉワタシマッテルワ, 65,村田一, 0.9, 67,   0,  14, 9, 37.5,⑧⑦⑦, 7, 6,Ｋラベンダｰカラｰ, 69,三浦皇, 0.6, 69,  -6,* 10,10, 49.4, ⑪⑪
 8, 9,Ｂヒキャクノアシ, 63,丸山元, 1.3, 56,  -3,  -2, 4,  6.0,⑨⑨⑧,,,,,,,,,,,,, 8,11,Ｍアイルランドロｰズ, 62,藤田伸, 1.0, 65,   3,   8,10, 42.3,⑤⑤⑥, 8,10,Ｇワイキキブリｰズ, 74,川島信, 0.8, 66,  -3,   5,11, 49.5, ⑨⑧
 9, 1,Ｊスノｰドロップ, 48,丹内祐, 1.5, 55,   0,  -9,10,100.7,③③④,,,,,,,,,,,,, 9, 1,Ｏステラビアンカ, 57,川島信, 1.3, 66,  -6,* 22,15,141.6,⑮⑮⑭, 9, 4,Ｂリベルタドｰレス, 79,丸田恭, 1.0, 63,  -6,   5, 4,  6.5, ⑩⑩
10, 4,Ｆエｰティｰダンガン, 60,上村洋, 1.9, 53,  -2,  -8, 7, 16.3,⑤⑦⑩,,,,,,,,,,,,,10, 4,Ｆマイネルカｰミン, 69,黛弘人, 1.4, 61,  -2,  10, 7, 18.6,⑪⑪⑫,10,12,Ｆメイショウフォロｰ, 74,上村洋, 1.1, 66,   6,  -3, 7, 24.1, ③④
,,,,,,,,,,,,,,,,,,,,,,,,11, 8,Ｅサンバビｰン, 71,岩橋勇, 1.5, 60,  -5,  14,12, 73.8,⑭⑭⑬,11, 5,Ｈノボプレシャス, 72,岩田康, 1.2, 64,   5,  -3, 6, 21.8, ④③
,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ｊジョウテンオリｰヴ, 65,伴啓太, 1.6, 56,   2,   0,13, 76.8,⑦⑥⑤,12, 2,Ｉアグネスレイザｰ, 70,吉田隼, 1.8, 57,  -1,  -5,12,116.2, ⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,13,13,Ｈスズカファイタｰ, 68,岩田康, 1.8, 56,   1,   0, 5,  8.1,⑥⑧⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｎハギノブシドウ, 60,川須栄, 1.9, 54,   1,  -1,11, 64.6,⑩⑨⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｋアンサンブル, 64,荻野琢, 2.6, 46,  -3,  -4,14,107.8,⑫⑬⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-4),,,,,,,,,,,
"単勝:540円 複勝:08=210円 03=320円 10=820円 枠連:1,410円",,,,,,,,,,,,単勝:170円 複勝:03=120円 02=240円 枠連:0円,,,,,,,,,,,,"単勝:790円 複勝:10=290円 09=180円 05=200円 枠連:1,580円",,,,,,,,,,,,単勝:790円 複勝:07=220円 01=180円 09=680円 枠連:540円,,,,,,,,,,,
"馬連:2,290円 ワイド:03-08=770円 08-10=2,290円 03-10=4,120円",,,,,,,,,,,,馬連:580円 ワイド:02-03=240円 03-05=300円 02-05=580円,,,,,,,,,,,,"馬連:2,620円 ワイド:09-10=890円 05-10=900円 05-09=500円",,,,,,,,,,,,"馬連:1,280円 ワイド:01-07=500円 07-09=2,190円 01-09=2,050円",,,,,,,,,,,
"馬単:4,350円 3連複:18,240円 3連単:74,400円",,,,,,,,,,,,"馬単:820円 3連複:1,540円 3連単:3,720円",,,,,,,,,,,,"馬単:5,730円 3連複:4,100円 3連単:30,590円",,,,,,,,,,,,"馬単:3,280円 3連複:9,860円 3連単:50,670円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
