11年11月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 4R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
 1,18,Ｃアブマｰシュ, 58,木幡初,, 64,   1,* -2, 4,  9.5, ⑦⑦, 1, 3,Ａアテｰナｰズブレス, 73,酒井学,, 70,   0,* 10, 1,  2.2, ⑧⑦, 1, 3,Ｆクロフォｰド, 65,平野優,, 73,   2,* 10, 3,  6.5, ④③, 1, 9,Ａコウエイフラッシュ, 83,太宰啓,, 84,* 15,* 12, 2,  4.8, ①①
 2,15,Ｉアクアライン, 51,丸田恭, 0.3, 59,  -2,* -3, 9, 37.5, ⑩⑧, 2,11,Ｇギガワット, 67,中舘英, 0.4, 66,*  5,   1, 3,  7.5, ③③, 2, 6,Ａアルセｰヌシチｰ, 72,千葉直, 0.0, 72,  -2,* 14, 1,  2.3, ⑨⑨, 2,11,Ｃタンジブルアセット, 80,丹内祐, 0.6, 79,* 13,   9, 1,  3.1, ③③
 3,10,Ｆデンコウベリル, 54,太宰啓, 0.4, 57,  -3,* -3, 3,  6.6, ⑬⑫, 3,14,Ｃキクノフレヴァン, 70,川須栄, 0.4, 67,*  7,  -1, 4,  9.7, ②②, 3, 1,Ｄケンタッキｰロｰド, 66,松山弘, 0.2, 71,  -1,* 10,11, 35.0, ⑦⑥, 3,14,Ｈウォｰタｰルルド, 75,酒井学, 1.1, 70,   2,* 14, 3,  5.7, ⑭⑭
 4, 5,Ｅエステｰジャ, 55,大野拓, 0.5, 62,*  6, -13, 2,  3.4, ②②, 4, 7,Ｄエイブルサクセス, 70,平野優, 0.4, 67,   2,   3, 2,  4.8, ④④, 4, 2,Ｇフミノアカデミｰ, 65,国分優, 1.1, 62,  -9,* 11, 6, 16.8, ⑭⑬, 4, 6,Ｆワンダｰキラメキ, 76,村田一, 1.5, 68,   7,   6,11, 30.8, ⑨⑪
 5,14,Ｂイツノヒカ, 58,川須栄, 0.5, 59,   2, -10, 1,  2.3, ⑥⑥, 5, 4,Ｅイメｰジレイナ, 68,森一馬, 0.4, 66,  -2,*  8, 8, 27.9, ⑫⑩, 5,13,Ｂケイアイカミｰリア, 69,藤懸貴, 1.2, 61,*  4,  -3, 5, 15.1, ②②, 5,12,Ｊエｰシンビッグシｰ, 73,高倉稜, 1.5, 66,   1,* 11,12, 41.4, ⑮⑮
 6,16,Ｈコスモナデシコ, 52,丹内祐, 0.5, 57,  -4,* -3, 7, 23.9, ⑭⑨, 6,10,Ｂレオアドミラル, 71,村田一, 0.6, 65,  -3,*  7, 5, 11.2, ⑬⑫, 6, 5,Ｈテラノコブラ, 64,高倉稜, 1.2, 62,   1,   0, 2,  5.3, ⑤⑤, 6, 3,Ｋサクラナスカ, 72,荻野琢, 1.5, 72,* 13,   1,10, 30.4, ②②
 7, 8,Ｍタイキロｰズベスト, 45,嘉藤貴, 0.9, 55,*  5, -17, 8, 34.2, ③③, 7, 2,Ｉヒカリトリトン, 65,太宰啓, 0.7, 63,   1,   2, 9, 29.0, ⑥⑥, 7,11,Ｋスナン, 58,横山和, 1.3, 61,   0,   0, 9, 27.3, ⑥⑦, 7, 4,Ｇヤマニンアストレア, 76,大野拓, 1.5, 68,   8,   5, 6, 15.1, ⑧⑧
 8,13,Ａオキナワエミチャン, 60,吉田隼, 0.9, 53,   0, -12,11, 47.0, ⑨⑩, 8, 1,Ｈカプリｰスレディｰ, 65,木幡初, 0.9, 63,  -2,   4,13,119.8, ⑪⑨, 8,12,Ｉサトノヴィクトリア, 63,菅原隆, 1.5, 59,*  5,  -6, 4,  7.4, ①①, 8, 5,Ｉセイウンリファイン, 74,津村明, 1.6, 66,   5,   7, 9, 22.9, ⑬⑩
 9,11,Ｌアリエスプランサｰ, 48,宮崎北, 0.9, 54,   3, -16, 5, 21.9, ④⑤, 9, 8,Ｍオウカランマン, 53,松山弘, 1.2, 60,*  7,  -8,10, 32.9, ①①, 9, 7,Ｃラブミｰダン, 67,宮崎北, 1.7, 56,   0,  -3, 7, 17.6, ⑧⑧, 9, 8,Ｍハニｰメロンチャン, 70,藤懸貴, 1.8, 65,   7,   3, 8, 18.1, ⑩⑫
10,12,Ｋブラックモア, 49,柴山雄, 1.1, 52,   4, -18,10, 39.6, ⑤④,10,12,Ｆアイファｰハイカラ, 68,高倉稜, 1.3, 59,   3,  -4, 6, 14.9, ⑤⑤,10, 8,Ｌニンジンガスキ, 57,西村太, 1.9, 55,  -7,   1, 8, 18.8, ⑬⑭,10, 1,Ｂスプリングルｰシｰ, 82,丸田恭, 1.8, 66,  12,  -1, 4,  8.6, ④④
11, 3,Ｎカテキンパワｰ, 42,西村太, 1.2, 46,  -8,  -8,13,141.8, ⑰⑰,11, 6,Ｌウインイマジン, 59,吉田隼, 1.5, 56,  -1,  -3,11, 42.7, ⑨⑪,11,10,Ｊマイウィン, 60,高嶋活, 1.9, 55,  -2,  -3,13,201.7, ⑪⑪,11,10,Ｏコアレスカポｰテ, 56,川須栄, 1.9, 64,   7,   2,13, 65.6, ⑪⑨
12, 6,Ｊコスモルシファｰ, 49,黛弘人, 1.3, 47,  -4, -13,12,107.6, ⑫⑮,12,15,Ｎイルベカバｰロ, 49,丸田恭, 1.7, 54,   1,  -7,12,106.1, ⑦⑧,12, 4,Ｎサンマルフラワｰ, 52,小野寺, 2.0, 55,  -5,  -1,15,435.4, ⑫⑫,12,15,Ｅタニマサホｰク, 77,吉田隼, 2.1, 63,  10,  -2, 5, 10.3, ⑦⑦
13,17,Ｒユメイチズ, 18,高嶋活, 1.5, 43,  -7, -14,16,342.5, ⑯⑬,13, 5,Ｊタガノルビコン, 61,藤懸貴, 2.1, 51,  -7,  -3,14,134.3, ⑮⑭,13,14, モウカリマッカｰ,---,荻野琢, 2.2, 54,  -8,   0,12,131.1, ⑮⑮,13, 2,Ｌアグネスポライト, 72,国分優, 2.1, 64,  11,  -3,15,138.1, ⑤⑤
14, 1,Ｇデｰヴィｰ, 52,荻野琢, 1.6, 42,  -3, -18,14,144.3, ⑪⑭,14, 9,Ｏアドマイヤブレｰク, 49,小林慎, 2.2, 50,  -5,  -6,15,147.9, ⑭⑮,14,15,Ｅシｰクロノス, 65,水口優, 2.3, 51,*  3, -12,10, 32.9, ③④,14,13,Ｄヤマニンラレｰヌ, 79,松山弘, 2.4, 61,  10,  -5, 7, 17.5, ⑥⑥
15, 9,Ｐブルジュハリファ, 33,二本柳, 1.9, 39,  -8, -17,17,412.1, ⑱⑯,15,13,Ｋレスタｰビｰト, 60,国分優, 2.6, 47,  -2, -13, 7, 19.8, ⑩⑬,15, 9,Ｍコウエイキング, 54,田中健, 2.6, 51,  -2,  -9,14,236.5, ⑩⑩,15, 7,Ｎブラックルｰラｰ, 69,松田大, 3.7, 49,   6, -13,14,119.8, ⑫⑬
16, 2,Ｄロンググラティア, 57,松山弘, 2.4, 37,*  8, -39, 6, 23.6, ①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17, 7,Ｑステイロｰズ, 23,的場勇, 2.5, 33,  -7, -26,15,327.5, ⑮⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 4,Ｏフラワｰリング, 41,小野寺, 4.3, 11,  -1, -56,18,572.5, ⑧⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-5),,,,,,,,,,,
"単勝:950円 複勝:18=310円 15=1,060円 10=260円 枠連:660円",,,,,,,,,,,,単勝:220円 複勝:03=120円 11=190円 14=210円 枠連:550円,,,,,,,,,,,,単勝:650円 複勝:03=220円 06=130円 01=660円 枠連:470円,,,,,,,,,,,,単勝:480円 複勝:09=140円 11=120円 14=170円 枠連:610円,,,,,,,,,,,
"馬連:15,220円 ワイド:15-18=4,080円 10-18=1,010円 10-15=2,500円",,,,,,,,,,,,"馬連:1,080円 ワイド:03-11=470円 03-14=560円 11-14=1,220円",,,,,,,,,,,,"馬連:950円 ワイド:03-06=360円 01-03=2,750円 01-06=1,070円",,,,,,,,,,,,馬連:740円 ワイド:09-11=270円 09-14=500円 11-14=340円,,,,,,,,,,,
"馬単:19,890円 3連複:30,500円 3連単:171,190円",,,,,,,,,,,,"馬単:1,650円 3連複:3,140円 3連単:13,070円",,,,,,,,,,,,"馬単:1,750円 3連複:5,980円 3連単:29,590円",,,,,,,,,,,,"馬単:1,620円 3連複:1,420円 3連単:6,570円",,,,,,,,,,,
■ 3R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■12R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,紫竹山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｈスズカロｰゼ, 65,松田大,, 76,* 10,*  1, 6, 18.4, ①①, 1, 3,Ｄウインク, 71,大野拓,, 66,*  3,   3, 5, 13.9,⑭②②, 1,10,Ｃコスモイｰチタイム, 75,丹内祐,, 74,   7,   7, 1,  2.3,⑥③③, 1, 8,Ｈメルヴェイユドｰル, 73,酒井学,, 79,   7,  12,14, 55.9, ⑥⑦
 2,12,Ｂエリモエポナ, 79,中舘英, 0.6, 70,*  9,  -3, 2,  3.0, ②②, 2,14,Ｃロイヤルインパクト, 71,川須栄, 0.1, 67,   1,   6, 1,  2.7,⑤⑤④, 2, 9,Ｂクオリティタイム, 75,太宰啓, 0.0, 75,   4,* 14, 3,  5.3,⑩⑨⑨, 2,18,Ｊデｰヴァロｰカ, 72,荻野琢, 0.0, 77,   3,* 16,13, 41.8, ⑬⑭
 3, 6,Ｎホリデイトウショウ, 54,横山和, 0.7, 65,   0,*  4,15,533.8, ⑪⑩, 3, 2,Ｇケイジｰシオン, 70,平野優, 0.3, 67,   1,   5, 7, 16.5,②④⑤, 3, 4,Ｅマックスドｰズ, 70,宮崎北, 0.8, 66,   6,   1, 7, 23.4,③④④, 3,12,Ｃスマｰトリバティｰ, 76,古川吉, 0.1, 80,   4,* 15, 4, 10.2, ⑯⑯
 4, 7,Ｄプリマベｰラシチｰ, 67,平野優, 0.9, 64,   1,*  2, 4, 11.9, ⑩⑨, 4, 7,Ａフォルクスオｰパｰ, 72,国分優, 0.3, 68,  -1,*  8, 6, 14.2,⑬⑩⑧, 4, 8,Ｈスペシャルイモン, 67,川須栄, 0.8, 67,   6,   2, 4,  9.0,⑤⑥⑥, 4, 4,Ｎロットネスト, 69,木幡初, 0.1, 76,   6,   9,11, 30.7, ⑨⑥
 5,13,Ｉカノヤキャプテン, 63,荻野琢, 1.0, 66,   5,  -3, 9, 80.6, ⑦⑧, 5, 4,Ｆゴｰルドジェｰン, 70,酒井学, 0.4, 66,  -1,*  7, 9, 44.1,⑥⑧⑨, 5, 6,Ｇエバｰオンワｰド, 68,村田一, 0.9, 67,   5,   2, 8, 24.1,⑦⑦⑦, 5, 1,Ｍリルバイリル, 70,柴山雄, 0.3, 74,*  8,   5, 7, 12.4, ⑤③
 6, 8,Ｊヴィｰナススマイル, 62,大野拓, 1.0, 62,  -1,*  4,12,158.5, ⑫⑫, 6, 6,Ｅプルプル, 70,森一馬, 0.5, 65,   0,   4, 3,  6.2,④⑥⑦, 6, 1,Ａアリゾナアベニュｰ, 76,丸田恭, 0.9, 64,*  7,  -4, 2,  3.4,①①①, 6,11,Ｏマイネルヴァルム, 67,丹内祐, 0.3, 75,*  8,   3,16,111.7, ④⑤
 7, 4,Ｇケツァｰル, 66,柴山雄, 1.1, 64,   7,  -5,10, 84.6, ③③, 7,11,Ｂゴッドフロｰラ, 71,藤懸貴, 0.6, 63,*  3,  -1, 2,  3.7,①①①, 7, 2,Ｄグジョウハチマン, 71,木幡初, 1.0, 65,   4,   1, 6, 18.9,⑧⑧⑧, 7,14,Ａシャイニングサヤカ, 80,黛弘人, 0.4, 74,   5,   8, 6, 11.0, ⑦⑨
 8,14,Ｃゴｰルドオリｰブ, 72,木幡初, 1.1, 64,   7,  -6, 5, 17.1, ④④, 8,13,Ｊミラクルフラッグ, 65,松田大, 0.8, 64,*  2,  -2, 8, 28.9,③③③, 8, 5,Ｆオルレアンノオトメ, 70,平野優, 1.1, 65,   5,  -2, 5, 17.5,④⑤⑤, 8,15,Ｂサンレガｰロ, 78,鮫島良, 0.5, 73,   7,   3, 3,  9.5, ⑩⑩
 9,10,Ｆエキナシア, 67,西田雄, 1.2, 63,   6,  -6, 7, 19.6, ⑥⑦, 9,10,Ｈユメノトキメキ, 66,村田一, 1.0, 62,   0,   1, 4,  7.6,⑧⑦⑥, 9, 3,Ｉアトムスパンカｰ, 63,吉田隼, 3.2, 50,*  7, -23,10,123.4,②②②, 9,17,Ｆゼロチョウサン, 75,村田一, 0.5, 75,   1,* 15, 5, 10.3, ⑱⑱
10, 2,Ａレディオブパｰシャ, 80,国分優, 1.3, 62,   6,  -6, 1,  2.1, ⑤⑥,10, 1,Ｍタキオンコウショウ, 61,高倉稜, 1.0, 63,  -1,   4,10, 49.9,⑩⑪⑪,10, 7, ミラクルレｰサｰ,---,二本柳, 7.2, 28,  -1, -40, 9,103.1,⑨⑩⑩,10,13,Ｅフクラムサイフ, 75,川須栄, 0.5, 74,   5,   7, 2,  4.9, ⑮⑮
11, 1,Ｅグロｰリｰステップ, 67,川須栄, 1.3, 62,   4,  -4, 3,  7.7, ⑧⑤,11,12,Ｋウイントゥルｰラヴ, 63,松山弘, 1.1, 64,  -3,   6,13,128.3,⑨⑫⑫,,,,,,,,,,,,,11, 9,Ｉニチドウルチル, 73,田嶋翔, 0.6, 70,*  8,  -1,12, 39.4, ②②
12, 9,Ｌアナタノネガイ, 56,丸田恭, 1.8, 55,   1,  -6, 8, 68.3, ⑨⑪,12, 5,Ｉライヴドリｰムス, 66,柴山雄, 1.4, 60,  -4,   5,12, 69.8,⑫⑬⑬,,,,,,,,,,,,,12,10,Ｋエルプレジデンテ, 71,高倉稜, 0.7, 71,   5,   3,15, 68.0, ⑪⑪
13, 5,Ｏブレスマイハｰト, 53,古川吉, 1.8, 54,  -3,  -2,11,146.3, ⑭⑭,13, 9,Ｌクラシフィカドｰル, 61,丸田恭, 1.8, 56,  -2,  -4,11, 69.7,⑦⑨⑩,,,,,,,,,,,,,13,16,Ｇラヴァｰズキッス, 73,津村明, 0.7, 69,   6,   0, 9, 18.2, ⑧⑧
14,11,Ｋロスヴィｰタ, 59,西村太, 1.9, 54,  -2,  -4,13,298.0, ⑬⑬,14, 8,Ｎハｰベストガｰデン, 29,吉田隼, 4.1, 43,  -8, -11,14,144.1,⑪⑭⑭,,,,,,,,,,,,,14, 3,Ｄプレミアムテｰスト, 75,大野拓, 0.7, 74,   2,  11, 1,  3.5, ⑰⑰
15, 3,Ｍコスモハイスペック, 55,小野寺, 2.3, 51,  -8,  -2,14,494.4, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｐモビｰル, 64,丸田恭, 0.8, 68,   6,  -1,10, 19.2, ③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｌヤマニンシバルリｰ, 70,吉田隼, 1.1, 65,*  9, -10, 8, 16.9, ①①
