11年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 3,Ｅパスパルトゥｰ, 45,後藤浩, 0.0, 58,*  5,* -6, 3,  5.3, ①①, 2, 8, フォｰチュネイト,---,鮫島良, 0.7, 59,* -2,  -9, 8, 27.4, ①①, 2,10,Ａニシオドリｰム, 84,高橋亮, 0.0, 84,* 18,   1, 4,  6.7, ②②, 2, 8,Ｅビｰトブラック, 84,安藤勝, 0.2, 86,   9,  26, 4, 10.0,④⑤④
 3, 2,Ｂラｰゼンマイスタｰ, 52,幸英明, 1.0, 49,   2, -13, 2,  4.0, ③③, 3,13, デアリングプライド,---,浜中俊, 0.8, 58,  -5,  -6, 2,  4.0, ④④, 3,12,Ｄウララカ, 82,高倉稜, 0.1, 78,   7,* 11, 2,  5.1, ⑩⑨, 3, 4,Ｄオウケンブルｰスリ, 87,浜中俊, 0.2, 86,   8,* 27, 3,  6.6,⑤④⑤
 4, 9,Ｊメイショウアサヒ, 33,飯田祐, 1.4, 45,  -3,  -8,11, 63.3, ⑨⑩, 4, 3, マトゥラｰ,---,池添謙, 1.0, 60, -14,*  9, 3,  5.2, ⑫⑭, 4, 3,Ｇコウエイフラッシュ, 78,幸英明, 0.4, 77,   9,   7, 7, 18.8, ⑧⑦, 4, 3,Ｂジャガｰメイル, 91,四位洋, 0.2, 87,   8,* 29, 2,  4.1,⑥⑥⑥
 5,14,Ｉノｰプラン, 35,酒井学, 1.7, 42,  -4, -11, 7, 20.7, ⑩⑦, 5, 9, ワンダｰヴォｰグ,---,藤岡佑, 1.5, 51,* -3, -19,15,201.3, ②②, 5,11,Ｅヒシコモンズ, 82,後藤浩, 0.5, 75,  11,   4, 5, 10.5, ⑤⑥, 5, 1,Ｇフォゲッタブル, 76,ピンナ, 0.6, 78,* 11,  13, 7, 30.0,②②②
 6, 7,Ｇコスモブジｰ, 39,高倉稜, 1.8, 42,  -3, -13,10, 40.8, ⑦⑨, 6,15, カルミナ,---,渡辺薫, 1.5, 52, -12,  -4, 9, 40.1, ⑬⑩, 6, 8,Ｃアヤナルベルス, 82,熊沢重, 1.1, 76,* 20, -10, 1,  2.4, ①①, 6, 5,Ｆネコパンチ, 81,池添謙, 0.9, 74,* 12,   4, 6, 14.0,①①①
 7, 6,Ｆトｰブプリンセス, 44,秋山真, 1.9, 39,  -8,* -7, 9, 38.5, ⑭⑬, 7,17, クルクルリンクル,---,後藤浩, 1.5, 49,  -5, -16, 6, 16.0, ③③, 7, 6,Ｆベネラ, 82,松岡正, 1.1, 72,  13,  -4, 6, 14.4, ④④, 7, 6,Ｃマイネルキッツ, 89,松岡正, 1.0, 80,   8,  19, 5, 13.2,⑧⑧⑦
 8,13,Ｍカシノチョッパｰ, 30,小坂忠, 2.0, 40,  -2, -15,12, 67.7, ⑧⑥, 8, 2, トップバゴスタｰ,---,幸英明, 1.6, 51, -15,   0,10, 50.0, ⑮⑮, 8, 7,Ｊミッキｰデジタル, 72,四位洋, 1.2, 67,  -5,* 13, 9, 43.5, ⑮⑮, 8, 2,Ｈナムラマｰス, 59,幸英明, 3.6, 53,   7, -17, 8,126.2,⑦⑦⑧
 9, 1,Ｐアクティブポイント, 19,川須栄, 2.0, 40,   1, -21, 6, 19.8, ⑤④, 9, 5, キャトルフィｰユ,---,四位洋, 1.6, 51, -13,  -2, 5,  8.3, ⑩⑪, 9,14,Ｍアグネスイカロス, 71,渡辺薫, 1.3, 66,   1,   6,15,334.6, ⑭⑬,,,,,,,,,,,,
10, 4,Ｈジョｰイモｰテル, 36,国分恭, 2.4, 36, -10, -10,13,310.5, ⑮⑯,10,16, シゲルサクランボ,---,国分恭, 1.7, 51, -18,*  3,16,237.9, ⑯⑯,10, 4,Ｎメイショウワカツキ, 68,荻野琢, 1.4, 70,  12,  -6,13,122.1, ③③,,,,,,,,,,,,
11,15,Ｏマジョリティシチｰ, 24,松山弘, 2.4, 37, -13,* -5,14,333.9, ⑯⑮,11,11, インテンシティ,---,藤岡康, 1.8, 45,  -6, -17, 7, 17.7, ⑦⑦,11,15,Ｈネオファロス, 78,秋山真, 1.4, 65,   2,   4,10, 46.5, ⑬⑭,,,,,,,,,,,,
12, 8,Ｄヴァルナビット, 45,太宰啓, 2.5, 35,  -7, -15, 5, 12.5, ⑬⑫,12,12, アワｰグラス,---,松岡正, 2.0, 47,  -9, -14, 4,  6.7, ⑨⑧,12, 2,Ｏタピルｰジュ, 66,川須栄, 1.4, 66,   6,   0,12, 98.1, ⑪⑩,,,,,,,,,,,,
13,11,Ｃウォｰタｰナポリ, 46,池添謙, 2.5, 38,   3, -26, 4,  8.5, ④⑤,13,10, ホットニュｰス,---,ピンナ, 2.0, 45, -12, -10,11, 81.8, ⑪⑫,13,13,Ｋクレムリンエッグ, 72,国分優, 2.0, 62,   7,  -6,14,162.6, ⑨⑪,,,,,,,,,,,,
14,12,Ｎマキシムガロｰ, 28,安藤光, 3.0, 32,  -6, -20,16,447.4, ⑪⑪,14, 4, リワｰドプレンダ,---,国分優, 2.5, 38, -10, -20,17,242.4, ⑧⑨,14, 9,Ｉオｰセロワ, 72,古川吉, 2.4, 57,   9, -11, 8, 35.7, ⑦⑧,,,,,,,,,,,,
15,10,Ｋシゲルバンペイユ, 32,熊沢重, 6.5,  2,  -7, -49, 8, 22.9, ⑫⑭,15, 6, サマｰロｰタス,---,熊沢重, 3.2, 34, -18, -17,13,161.2, ⑰⑰,15, 5,Ｌフィｰルドチャペル, 71,酒井学, 2.6, 56,   5,  -9,11, 88.3, ⑫⑫,,,,,,,,,,,,
16, 5,Ｌハナズフレイム, 32,花田大, 6.9,  0,  -1, -59,15,387.9, ⑥⑧,16, 7, サダムアンビション,---,酒井学, 3.5, 28,  -6, -42,14,179.3, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,14, シゲルマスクメロン,---,川須栄, 4.7, 19, -11, -50,12,127.0, ⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,
単勝:260円 複勝:16=120円 03=150円 02=130円 枠連:760円,,,,,,,,,,,,"単勝:340円 複勝:01=150円 08=480円 13=160円 枠連:3,000円",,,,,,,,,,,,"単勝:600円 複勝:01=170円 10=200円 12=160円 枠連:1,110円",,,,,,,,,,,,単勝:180円 複勝:07=110円 08=190円 04=180円 枠連:0円,,,,,,,,,,,
