11年 8月21日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 8月21日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:18,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,, 9, 5,Ｆマサゴット, 50,秋山真, 0.8, 54,  -2,  -7,10, 43.1, ⑧⑧, 9, 1,Ｄダイキチチョウナン, 70,丸田恭, 1.6, 57,   5,  -9, 4,  6.1, ③④, 9,13,Ｎヴンダｰゾンネ, 65,古川吉, 0.6, 75,* 12,  -4,16,238.6, ①①
,,,,,,,,,,,,10, 7,Ｇレッドシャンデル, 49,柴原央, 0.8, 53,  -4,  -6, 3,  6.0, ⑩⑬,10,11,Ｂニュｰユニヴァｰス, 72,西村太, 1.7, 55,  -1,  -6, 1,  3.7, ⑥⑧,10, 5,Ａタンジブルアセット, 80,丸山元, 0.7, 73,  -1,   8, 7, 15.9, ⑩⑧
,,,,,,,,,,,,11,11,Ｊバルトデスティニｰ, 42,丹内祐, 0.8, 53,  -3,  -8,12, 93.5, ⑨⑫,11, 8,Ｋショウグンエｰス, 56,黛弘人, 2.1, 54,*  8, -15, 9, 54.9, ①②,11, 3,Ｍミッドナイトクロス, 70,藤田伸, 0.7, 74,   0,   6, 1,  3.2, ⑧⑦
,,,,,,,,,,,,12,10,Ｎブランドノワｰル, 37,柴山雄, 1.2, 47, -12,  -4,14,125.8, ⑮⑭,12, 3,Ｌプレザンサプライズ, 55,福永祐, 2.8, 44,  -3, -14,12,121.5, ⑦⑥,12,11,Ｆアイアンデュｰク, 75,丸田恭, 0.7, 76, -10,* 17,12, 47.6, ⑯⑯
,,,,,,,,,,,,13, 6,Ｍバトルドゥｰマ, 38,福永祐, 1.3, 49,*  5, -22, 7, 18.2, ①①,,,,,,,,,,,,,13, 2,Ｄオレンジティアラ, 75,黛弘人, 0.7, 75,  -6,* 13, 9, 18.2, ⑭⑭
,,,,,,,,,,,,14,14,Ｏラバンビｰナ, 27,横山和, 1.3, 46,  -4, -13,13,125.3, ⑫⑨,,,,,,,,,,,,,14, 1,Ｇオクルス, 74,蛯名正, 1.1, 69,*  8,  -6,11, 20.7, ②②
,,,,,,,,,,,,15,12,Ｋステラプラド, 41,上村洋, 1.7, 40, -11, -12,11, 64.2, ⑯⑯,,,,,,,,,,,,,15,12, パフォｰマンス,---,川島洋, 1.2, 67,   2,  -3,14,144.9, ⑦⑨
,,,,,,,,,,,,16,13,Ｌコマンドアゲン, 41,松田大, 1.8, 43,*  4, -27,15,151.8, ②②,,,,,,,,,,,,,16, 8,Ｏラヴインザダｰク, 61,宮崎北, 1.5, 64,  -4,   0,15,228.8, ⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,
単勝:610円 複勝:08=150円 05=120円 07=120円 枠連:0円,,,,,,,,,,,,単勝:460円 複勝:04=170円 08=730円 16=310円 枠連:900円,,,,,,,,,,,,"単勝:1,210円 複勝:05=330円 12=210円 10=190円 枠連:950円",,,,,,,,,,,,"単勝:740円 複勝:15=290円 06=470円 16=500円 枠連:2,160円",,,,,,,,,,,
"馬連:1,000円 ワイド:05-08=320円 07-08=300円 05-07=200円",,,,,,,,,,,,"馬連:5,360円 ワイド:04-08=1,740円 04-16=1,040円 08-16=3,490円",,,,,,,,,,,,"馬連:3,160円 ワイド:05-12=1,020円 05-10=880円 10-12=590円",,,,,,,,,,,,"馬連:5,750円 ワイド:06-15=1,990円 15-16=2,240円 06-16=2,960円",,,,,,,,,,,
"馬単:2,050円 3連複:740円 3連単:6,130円",,,,,,,,,,,,"馬単:7,940円 3連複:15,590円 3連単:93,120円",,,,,,,,,,,,"馬単:6,640円 3連複:4,850円 3連単:35,170円",,,,,,,,,,,,"馬単:10,290円 3連複:24,610円 3連単:130,400円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 5R  芝1500m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,札幌記念 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｊメイプルリンカｰン, 58,柴山雄,, 69,   5,*  4,11,130.7,⑪⑩⑦, 1, 6, ラシンティランテ,---,上村洋,, 59, -10,*  4, 3,  5.2,⑤⑦③, 1, 5,Ａキングスリｰジョン, 76,藤田伸,, 71,   2,*  6, 2,  4.4,⑬⑬⑩, 1,13,Ｄトｰセンジョｰダン, 87,福永祐,, 95,*  9,  24, 1,  3.0,④④③
 2,13,Ｉコパノカｰン, 59,藤岡佑, 0.7, 67,*  9,  -9, 6, 14.7,①①①, 2,10, メイブリｰズ,---,松田大, 0.1, 56,* -7,  -2, 9, 38.8,③②①, 2, 7,Ｂメイショウドレイク, 76,小島太, 0.1, 67,   6,  -3, 3,  7.7,⑧⑤⑤, 2, 2,Ｉアクシオン, 82,吉田隼, 0.0, 94,*  8,  24, 5,  7.6,②③④
 3, 8,Ｌオペラ, 58,上村洋, 0.9, 65,   7,  -7,10, 35.3,⑦⑥③, 3,12, ウインクルチャチャ,---,吉田隼, 0.2, 55,* -8,  -2, 6, 14.8,⑥③②, 3, 4,Ｈモズハリケｰン, 66,吉田隼, 0.2, 67,*  7,  -5,11, 67.3,③③②, 3, 8,Ａレッドディザイア, 91,四位洋, 0.1, 97,   4,* 31, 2,  6.2,⑪⑪⑩
 4, 2,Ｄキングジャズ, 62,蛯名正, 1.1, 63,   6,  -6, 5, 13.7,⑧⑦⑧, 4, 1, ダブルプライム,---,福永祐, 0.6, 53, -12,  -1, 2,  4.6,⑦⑨⑨, 4, 1,Ｋファンキｰタウン, 60,黛弘人, 0.5, 65,   4,  -4,12, 94.1,⑦⑧⑥, 4,10,Ｆコスモネモシン, 86,津村明, 0.3, 93,   5,* 28, 8, 16.1,⑩⑩⑧
 5, 7,Ｇカリビアンクルｰズ, 60,宮崎北, 1.1, 60,*  8, -11, 9, 21.5,②②②, 5, 4, エイユｰラピス,---,蛯名正, 0.6, 53, -16,*  4, 5, 12.9,⑫⑫⑫, 5,12,Ｆバシリクス, 70,丸田恭, 0.6, 63,   4,  -3, 5,  9.0,⑫⑩⑨, 5, 4,Ｂカリバｰン, 89,蛯名正, 0.3, 89,*  8,  18, 7, 11.4,③②②
 6, 6,Ｃトリニダｰド, 63,古川吉, 1.1, 62,   6,  -7, 8, 17.2,⑩⑨④, 6, 3, アルレガｰロ,---,四位洋, 0.7, 50,  -9,  -7, 1,  2.8,①⑤⑤, 6, 8,Ｅアントウェルペン, 71,蛯名正, 0.6, 63,*  7,  -8, 1,  2.4,⑤⑥③, 6, 9,Ｈネオヴァンドｰム, 85,浜中俊, 0.5, 91,   6,  24, 9, 22.5,⑦⑦⑦
 7,11,Ｅミラクルオブレナ, 62,藤田伸, 1.2, 64,   4,  -6, 4, 11.7,⑨⑪⑤, 7,11, マイネヒメル,---,津村明, 0.7, 50, -14,   0, 7, 15.8,⑪⑪⑪, 7,11,Ｍオオトリケンジャ, 51,浜中俊, 0.7, 66,   3,  -1,10, 59.9,⑪⑫⑪, 7, 7,Ｇマイネルスタｰリｰ, 86,丹内祐, 0.7, 87,   7,  18, 6,  9.8,⑥⑥⑤
 8, 4,Ａアイアンブロｰ, 68,丸田恭, 2.2, 55,   7, -19, 3,  4.4,⑤④⑥, 8, 2, リムｰザン,---,藤岡佑, 0.9, 49, -12,  -6, 4,  7.7,④⑥⑧, 8,10,Ｄアドマイヤトリック, 71,上村洋, 1.1, 62,   4,  -6, 8, 20.4,⑩⑪⑬, 8, 5,Ｌアルトップラン, 79,藤岡佑, 0.9, 89,   3,  22,12,306.9,⑫⑫⑫
 9,12,Ｈリアリｰザワｰルド, 60,池添謙, 2.5, 53,*  8, -22,12,131.6,③③⑨, 9, 7, ブライティアトップ,---,西村太, 1.0, 47, -12,  -6, 8, 30.0,⑧⑩⑩, 9, 9,Ｃトリノ, 73,丹内祐, 1.2, 61,   4,  -9, 4,  8.7,⑨⑨⑫, 9,11,Ｊダンスインザモア, 82,丸田恭, 0.9, 86,   3,  22,10, 75.8,⑬⑬⑬
10,10,Ｂルチルドラｰド, 66,丸山元, 2.8, 51,   7, -23, 1,  3.2,⑥⑤⑩,10,13, バトルキトリ,---,丸山元, 1.3, 47, -23,*  7,11, 45.8,⑭⑭⑭,10,13,Ｉアドマイヤアゲイン, 64,福永祐, 2.2, 53,   6, -19, 6, 12.7,⑥⑦⑦,10, 3,Ｅヤングアットハｰト, 87,藤田伸, 1.0, 83,   7,  12, 4,  6.8,⑤⑤⑥
11, 9,Ｆトウカイパスカル, 60,川島信, 4.1, 42,   6, -33, 7, 16.1,④⑧⑪,11, 5, ストレイトガｰル,---,宮崎北, 1.5, 42,  -9, -17,10, 40.5,②④⑦,11, 3,Ｊエンジンゼンカイ, 61,丸山元, 2.6, 50,*  8, -26, 9, 50.6,②②①,11,12,Ｋマカニビスティｰ, 81,池添謙, 1.6, 76,   6,   7,11, 76.8,⑧⑧⑨
12, 1,Ｋトｰセンエッジ, 58,横山典, 4.1, 44,   3, -26, 2,  3.6,⑬⑫⑫,12, 9, サンマルダｰム,---,岩部純, 1.6, 42, -17,  -7,14,291.9,⑬⑬⑬,12, 6,Ｇアルアラビアン, 68,柴原央, 2.7, 49,   6, -24, 7, 18.2,④④⑧,12, 6,Ｃキングトップガン, 88,横山典, 1.6, 71,* 10,  -2, 3,  6.3,①①①
13, 5,Ｍメイショウガルダ, 46,横山和, 4.9, 38,   0, -29,13,561.1,⑫⑬⑬,13, 8, フｰラブライド,---,小林徹, 1.7, 39, -11, -18,12, 53.5,⑨⑧⑥,13, 2,Ｌマルカファントム, 57,長谷川, 3.4, 45,*  8, -33,13,153.0,①①④,13, 1, モエレエタｰナル,---,古川吉, 2.2, 70,   5,   1,13,309.9,⑨⑨⑪
,,,,,,,,,,,,14,14, アラマサスマイル,---,池添謙, 4.0, 17,* -7, -53,13, 60.5,⑩①④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:0),,,,,,,,,,,
"単勝:13,070円 複勝:03=2,440円 13=520円 08=780円 枠連:27,700円",,,,,,,,,,,,"単勝:520円 複勝:06=220円 10=810円 12=400円 枠連:9,450円",,,,,,,,,,,,"単勝:440円 複勝:05=160円 07=240円 04=1,100円 枠連:1,120円",,,,,,,,,,,,"単勝:300円 複勝:13=150円 02=200円 08=220円 枠連:1,490円",,,,,,,,,,,
"馬連:66,770円 ワイド:03-13=16,150円 03-08=13,560円 08-13=5,960円",,,,,,,,,,,,"馬連:11,560円 ワイド:06-10=3,420円 06-12=1,680円 10-12=5,570円",,,,,,,,,,,,"馬連:1,670円 ワイド:05-07=580円 04-05=3,490円 04-07=4,840円",,,,,,,,,,,,"馬連:1,580円 ワイド:02-13=540円 08-13=450円 02-08=1,060円",,,,,,,,,,,
"馬単:99,870円 3連複:380,300円 3連単:2,579,110円",,,,,,,,,,,,"馬単:18,920円 3連複:52,890円 3連単:285,850円",,,,,,,,,,,,"馬単:3,380円 3連複:22,740円 3連単:88,280円",,,,,,,,,,,,"馬単:2,560円 3連複:3,590円 3連単:18,510円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,石狩特別,,,,,,,,,,,,ｵﾎｰﾂｸﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｆフミノキララ, 62,長谷川,, 60,* -4,* 12, 9, 39.5,⑥⑥④, 1, 7, マカハ,---,浜中俊,, 69, -27,* 27, 4,  9.9,⑦⑤⑤, 1, 8,Ｃゴｰハンティング, 73,浜中俊,, 79,  -2,* 17, 1,  2.6,⑧⑩⑨, 1, 7,Ｄバックトゥジエｰス, 83,秋山真,, 81,   9,* 16, 1,  2.5,⑦④⑤
 2,12,Ｂサンマルヴィエント, 66,丸山元, 0.0, 60,  -6,* 14, 3,  5.7,⑨⑦⑦, 2, 2, グランデッツァ,---,秋山真, 0.1, 68, -27,* 27, 2,  2.3,⑧⑧⑦, 2,12,Ｇアドマイヤタイシ, 71,福永祐, 0.0, 77,*  1,  10, 6, 18.9,②②①, 2,12,Ｃタツパｰシヴ, 83,吉田隼, 0.1, 82,* 10,  14, 2,  5.5,③③②
 3, 9,Ｇトップチェッカｰ, 58,池添謙, 0.2, 57,* -4,  10, 5, 28.5,③③②, 3, 6, サトノギャラント,---,横山典, 0.2, 62, -25,  20, 1,  2.1,③④③, 3, 3,Ｌクレバｰキング, 63,宮崎北, 0.2, 74,*  1,   7,12,120.0,⑬④②, 3, 5,Ｂリバティバランス, 84,藤岡佑, 0.1, 82,   9,  15, 4,  7.9,⑨⑥④
 4, 7,Ｃコルｰジャ, 66,川島信, 0.6, 54,  -5,   8, 4,  9.7,⑤⑤⑥, 4, 1, ウイニングサルｰト,---,藤田伸, 1.0, 53, -25,   8, 3,  6.3,④③④, 4, 4,Ｄヤマニンリップル, 72,柴山雄, 0.3, 75,  -2,* 13, 2,  3.4,⑥⑨⑧, 4, 8,Ｇエイブルブラッド, 81,四位洋, 0.1, 83,   7,* 19, 5,  8.5,⑪⑩⑦
 5, 6,Ｄソウルオブエイチ, 65,四位洋, 0.7, 54,* -3,   4, 2,  2.8,①①①, 5, 3, ガッテンムサシ,---,丸山元, 1.0, 48,*-23,   4, 5, 31.5,①①①, 5, 9,Ｉメイショウヨウドウ, 67,池添謙, 0.3, 73,   0,   8, 8, 21.8,⑤⑥④, 5,10,Ｌビｰビｰアックス, 74,津村明, 1.0, 73,* 10,   6,12, 69.4,②②③
 6, 2,Ｊタイセイソルジャｰ, 56,浜中俊, 1.1, 54,* -4,   3, 7, 34.5,④④⑤, 6, 4, マイネルフェイブル,---,丹内祐, 1.3, 49, -26,   7, 6, 32.4,⑥⑦⑧, 6,14,Ｎメジロジェニファｰ, 52,四位洋, 0.4, 74,  -2,  11, 4, 12.6,⑪⑪⑪, 6, 3,Ａトロワプレジｰル, 87,上村洋, 1.0, 77,   6,  14, 3,  7.4,⑫⑬⑧
 7, 4,Ｅクリノプロジェクト, 62,丸田恭, 1.1, 52,  -7,   8,10,110.3,⑧⑨⑧, 7, 8, ゾクゾク,---,松田大, 1.5, 46, -26,   4, 7, 83.8,⑤⑥⑥, 7, 1,Ｆサトノモンスタｰ, 71,吉田隼, 0.7, 70,  -3,   8, 7, 20.2,⑫⑫⑬, 7,13,Ｍマルタカワンタッチ, 72,小林徹, 1.4, 75,   5,  11,13,179.4,⑩⑫⑬
 8, 8,Ｋナンヨｰルｰジュ, 54,蛯名正, 1.2, 49,* -3,   0, 6, 34.0,②②③, 8, 5, トｰセンマグナム,---,丸田恭, 2.1, 35,*-23, -10, 8,110.0,②②②, 8,11,Ｅヤマニンアｰマｰ, 71,竹之下, 0.7, 68,   0,   3, 9, 41.1,⑦⑦⑤, 8, 6,Ｉホクトスワン, 78,浜中俊, 1.5, 74,   7,   8,10, 58.1,⑥⑨⑩
 9,13,Ｍニシノファブレッド, 29,菅原隆, 1.4, 51,  -9,   9,13,329.7,⑪⑫⑫,,,,,,,,,,,,, 9, 2,Ｂレアｰレスパｰダ, 77,蛯名正, 0.8, 67,   0,   3, 3,  4.7,⑩⑧⑩, 9, 1,Ｅレアメタル, 83,柴山雄, 1.6, 69,   8,   5, 9, 29.1,⑬⑦⑪
10, 5,Ｌルｰジュマジック, 50,上村洋, 1.6, 50,  -9,   7,12,215.9,⑫⑪⑪,,,,,,,,,,,,,10, 5,Ｈフィｰルドダンス, 70,藤岡佑, 1.0, 70,  -4,   7,10, 45.8,⑨⑬⑫,10,11,Ｆハンマｰプライス, 81,蛯名正, 1.7, 69,   9,   2, 7, 14.9,④⑤⑥
11, 3,Ｉクリノマドンナ, 57,西村太, 1.8, 48,  -8,   4,11,128.0,⑩⑩⑩,,,,,,,,,,,,,11, 7,Ａカネスアドラシオン, 79,丸田恭, 1.3, 59,   0,  -6, 5, 16.1,③⑤⑥,11, 9,Ｊキングオブヘイロｰ, 78,藤田伸, 2.5, 66,* 11,  -8, 8, 21.8,①①①
12,10,Ｈテｰオｰサクセス, 57,吉田隼, 1.8, 48,  -6,   0, 8, 39.2,⑦⑧⑨,,,,,,,,,,,,,12,13,Ｍエルキャンディｰ, 60,武英智, 1.5, 58,*  2, -10,13,434.5,④③⑦,12, 2,Ｈウインブシドウ, 80,横山典, 2.8, 63,   6,  -3, 6, 11.3,⑤⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｋクレバｰロッシｰ, 66,丸山元, 2.8, 42,*  3, -31,11, 55.8,①①③,13, 4,Ｋエイブルベガ, 77,福永祐, 3.1, 61,   6,  -4,11, 68.7,⑧⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:3),,,,,,,,,,,
"単勝:3,950円 複勝:11=660円 12=190円 09=660円 枠連:3,490円",,,,,,,,,,,,単勝:990円 複勝:07=160円 02=110円 06=110円 枠連:0円,,,,,,,,,,,,"単勝:260円 複勝:08=190円 12=450円 03=2,070円 枠連:1,490円",,,,,,,,,,,,単勝:250円 複勝:07=130円 12=160円 05=240円 枠連:530円,,,,,,,,,,,
"馬連:5,970円 ワイド:11-12=1,890円 09-11=7,050円 09-12=2,210円",,,,,,,,,,,,"馬連:1,160円 ワイド:02-07=230円 06-07=230円 02-06=130円",,,,,,,,,,,,"馬連:2,350円 ワイド:08-12=1,080円 03-08=6,830円 03-12=11,250円",,,,,,,,,,,,馬連:550円 ワイド:07-12=250円 05-07=500円 05-12=920円,,,,,,,,,,,
"馬単:17,980円 3連複:41,770円 3連単:333,500円",,,,,,,,,,,,"馬単:3,310円 3連複:480円 3連単:7,270円",,,,,,,,,,,,"馬単:2,720円 3連複:66,540円 3連単:201,640円",,,,,,,,,,,,"馬単:860円 3連複:1,790円 3連単:6,180円",,,,,,,,,,,
