11年12月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
 9, 2,Ａチキウミサキ, 60,デムｰ, 1.2, 43,  -4,  -9, 1,  4.0, ⑧⑨, 9, 7,Ｇトウショウジュピタ, 41,池添謙, 2.4, 40, -33,   0, 9,188.1, ⑧⑩, 9, 9,Ｆデンコウリョウ, 63,佐藤哲, 4.4, 44,   1, -26, 5, 15.2,⑨⑨⑨, 9, 8,Ｉマルタカシクレノン, 78,ドミン, 0.6, 72,* 17, -26, 9, 23.2,②②②
10,11,Ｌロングカリス, 43,渡辺薫, 1.4, 44,*  0, -17,12,154.9, ⑤④,10,10,Ｉレッドエナジｰ, 39,幸英明, 2.8, 31, -32,  -9, 8, 82.1, ⑩⑧,,,,,,,,,,,,,10,13,Ｇモｰニングフェイス, 79,ペドロ, 0.6, 72,  16, -21,12, 61.6,⑧⑥⑦
11, 4,Ｍジョｰイモｰテル, 37,国分恭, 1.5, 41,  -8,  -6,13,241.0, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,11,11,Ａスズカスコｰピオン, 86,ヴェラ, 1.0, 69,  16, -27, 3,  6.2,⑥⑦⑥
12,13,Ｈフィリスバイド, 51,川島信, 1.6, 41,  -1, -16, 8, 25.2, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｂサトノシュレン, 83,池添謙, 1.5, 64,* 19, -40, 1,  3.4,①①①
13, 5,Ｊチｰフザムｰン, 48,柴山雄, 1.8, 38,  -6, -11,14,241.9, ⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｏネオシｰサｰ, 61,吉原寛, 1.8, 64,  12, -28,14, 80.7,⑭⑮⑮
14, 3,Ｋシニスタｰクイｰン, 47,メンデ, 2.5, 34,  -5, -18,10, 48.1, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｊナムラアｰガス, 76,岩田康, 1.8, 62,  14, -36,15,107.3,⑮⑭⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｄセレブリティ, 81,メンデ, 1.9, 62,  16, -42, 8, 18.0,④④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:良(指数:0),,,,,,,,,,,
"単勝:580円 複勝:12=300円 08=260円 01=250円 枠連:2,050円",,,,,,,,,,,,単勝:700円 複勝:02=180円 05=110円 09=230円 枠連:640円,,,,,,,,,,,,"単勝:190円 複勝:01=110円 04=1,010円 05=130円 枠連:5,680円",,,,,,,,,,,,"単勝:590円 複勝:15=210円 07=280円 09=280円 枠連:1,570円",,,,,,,,,,,
"馬連:2,290円 ワイド:08-12=890円 01-12=960円 01-08=970円",,,,,,,,,,,,馬連:560円 ワイド:02-05=270円 02-09=670円 05-09=350円,,,,,,,,,,,,"馬連:6,850円 ワイド:01-04=1,740円 01-05=150円 04-05=2,030円",,,,,,,,,,,,"馬連:2,020円 ワイド:07-15=820円 09-15=1,110円 07-09=1,040円",,,,,,,,,,,
"馬単:4,200円 3連複:5,190円 3連単:27,060円",,,,,,,,,,,,"馬単:1,460円 3連複:1,340円 3連単:7,900円",,,,,,,,,,,,"馬単:8,050円 3連複:3,800円 3連単:22,650円",,,,,,,,,,,,"馬単:4,300円 3連複:5,810円 3連単:33,740円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1800m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟﾀﾞｰﾄ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｋサトノインスパイア, 39,岩田康,, 64,*  2,*  3, 3,  4.4, ①①, 1, 4, アダムスピｰク,---,ルメｰ,, 61, -24,* 15, 2,  3.1,④③③, 1,14,Ａシュテルンタｰラｰ, 83,佐藤哲,, 82,   7,* 11, 3,  6.7, ⑤④, 1,16,Ｄトランセンド, 99,藤田伸,, 95,* 18,  11, 1,  2.0,①①①
 2, 6,Ｂメイショウヒデタダ, 56,佐藤哲, 1.2, 53,  -1,  -5, 2,  3.5, ③④, 2, 5, ダノンキセキ,---,浜中俊, 0.4, 56,*-22,   8, 4, 10.2,①①①, 2,15,Ｅダイヤモンドムｰン, 79,武豊  , 0.3, 80,   4,* 11, 5, 10.9, ⑧⑦, 2, 9,Ｂワンダｰアキュｰト,100,和田竜, 0.3, 94,  14,* 17, 5, 19.0,⑪⑬⑬
 3, 9,Ｊアスコットシチｰ, 41,藤岡佑, 1.4, 52,  -8,*  1, 5, 11.9, ⑪⑨, 3, 1, ファントムライト,---,福永祐, 0.4, 57, -25,  12, 3,  6.6,③④④, 3,11,Ｂシルバｰキセキ, 82,デムｰ, 0.4, 78,*  8,   7, 1,  4.1, ④③, 3, 6,Ａエスポワｰルシチｰ,103,佐藤哲, 0.3, 91,* 17,  10, 2,  2.8,②②②
 4,10,Ｃトキノビスコンティ, 51,幸英明, 1.4, 52,*  0,  -7, 6, 14.4, ②②, 4, 6, トｰセンギャラリｰ,---,佐藤哲, 0.8, 52, -25,   7, 6, 24.0,⑤⑤⑤, 4, 1,Ｉナックルパｰト, 76,浜中俊, 0.5, 79,   4,* 10, 9, 21.4, ⑨⑨, 4, 4,Ｊラヴェリｰタ, 94,武豊  , 0.4, 92,  16,  10,10, 48.1,④④③
 5, 8,Ｅヒラボクダッシュ, 50,福永祐, 1.4, 52, -13,*  5, 4,  7.5, ⑭⑫, 5, 7, ヒシアルコル,---,小坂忠, 1.0, 47,*-22,   0, 7, 32.1,②②②, 5, 9,Ｈブルｰデジャブ, 76,幸英明, 0.5, 78,*  9,   5,12, 36.1, ②②, 5,13,Ｆダノンカモン, 98,福永祐, 0.5, 92,  16,  10, 4, 14.5,⑨⑥⑤
 6,14,Ｄメイショウマサシゲ, 50,岩崎祐, 1.5, 51,  -1,  -7, 7, 20.7, ④③, 6, 3, オスカｰバロｰズ,---,幸英明, 1.1, 50, -26,   7, 5, 21.2,⑦⑦⑦, 6, 8,Ｆナイトオブザオペラ, 78,岩田康, 0.6, 77,   4,   8, 4,  7.0, ⑥⑧, 6,11,Ｌミラクルレジェンド, 91,岩田康, 0.5, 93,  15,* 14, 6, 20.7,⑫⑭⑭
 7, 2,Ｍドｰントレス, 35,国分恭, 1.8, 48,  -3,  -8,11,105.0, ⑤⑤, 7, 2, ジェラルド,---,岩田康, 1.6, 40, -25,  -5, 1,  1.9,⑥⑥⑥, 7, 7,Ｄホクトキングダム, 79,横山典, 0.7, 76,   7,   5, 2,  4.5, ③⑤, 7,14,Ｃヤマニンキングリｰ,100,デムｰ, 0.5, 89,  14,* 15, 3, 13.8,⑭⑮⑫
 8,11,Ｇトキノポイント, 45,柴山雄, 2.2, 44, -10,  -4, 9, 46.6, ⑩⑪, 8, 8, スズカミラクル,---,武英智, 2.8, 27, -26, -16, 8, 89.2,⑧⑧⑧, 8,13,Ｋマイディアソング, 74,国分恭, 0.7, 76,   4,   9,10, 27.2, ⑩⑩, 8, 2,Ｎソリタリｰキング, 88,メンデ, 0.6, 91,  15,  13,11, 50.8,⑦⑨⑧
 9, 4,Ａスズノハヤブサ, 61,和田竜, 2.5, 42,  -7, -11, 1,  3.2, ⑨⑥,,,,,,,,,,,,, 9, 2,Ｊテイクアベット, 75,ドミン, 0.9, 74,  -1,* 11, 6, 11.1, ⑫⑭, 9,12,Ｇニホンピロアワｰズ, 98,酒井学, 0.7, 90,  16,   9, 9, 47.1,⑤⑤⑥
10, 5,Ｎサダムオベｰション, 22,酒井学, 2.6, 41, -14,  -5,10,101.4, ⑫⑬,,,,,,,,,,,,,10,10,Ｌワンダｰキラメキ, 73,川田将, 1.0, 74,   5,   4,13, 49.2, ⑦⑥,10, 8,Ｉバｰディバｰディ, 95,プレブ, 0.7, 90,  16,  10,12, 73.6,⑥⑦⑨
11, 1,Ｌチェリム, 36,吉原寛, 2.6, 41,  -6, -12,12,112.6, ⑧⑩,,,,,,,,,,,,,11, 5,Ｎピサノプリヴェ, 70,プレブ, 1.1, 73,   2,   7,15,251.6, ⑬⑪,11, 1,Ｐマカニビスティｰ, 76,藤岡佑, 0.7, 92,  14,* 14,15,274.6,⑬⑯⑮
12, 7,Ｆキョウワリバティｰ, 46,池添謙, 3.2, 35,  -7, -17, 8, 26.2, ⑥⑧,,,,,,,,,,,,,12,12,Ｇエイシンフルハｰト, 77,吉原寛, 1.2, 72,  -1,   8, 8, 16.1, ⑭⑬,12, 5,Ｈテスタマッタ, 96,四位洋, 1.0, 89,  16,   7, 7, 28.7,⑯⑧⑦
13, 3,Ｉヤマノスプリング, 42,田中克, 3.5, 34, -16,  -9,14,271.2, ⑬⑭,,,,,,,,,,,,,13, 3,Ｃベネラ, 79,熊沢重, 1.2, 73,* 11,  -3, 7, 12.5, ①①,13,10,Ｍフリソ, 89,ルメｰ, 1.6, 83,  15,   4,13,127.6,⑩⑪⑪
14,12,Ｈテイエムカリウド, 44,花田大, 4.6, 23,  -3, -33,13,249.3, ⑦⑦,,,,,,,,,,,,,14, 4,Ｍエｰシンビッグシｰ, 70,福永祐, 1.3, 71,   2,   5,11, 31.4, ⑪⑫,14, 7,Ｋダイショウジェット, 93,柴山雄, 1.8, 80,  15,   2,14,227.8,⑧⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｏフェブスカイ, 69,藤岡佑, 1.8, 68,  -3,   6,14,119.0, ⑮⑮,15,15,Ｅトウショウフリｰク, 98,池添謙, 2.4, 78,  17,  -6, 8, 46.4,③③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｏエイシンダッシュ, 82,小牧太, 3.0, 74,  14,  -6,16,275.2,⑮⑫⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,
単勝:440円 複勝:13=210円 06=150円 09=320円 枠連:790円,,,,,,,,,,,,単勝:310円 複勝:04=150円 05=310円 01=270円 枠連:0円,,,,,,,,,,,,"単勝:670円 複勝:14=210円 15=320円 11=170円 枠連:3,840円",,,,,,,,,,,,"単勝:200円 複勝:16=110円 09=280円 06=120円 枠連:1,570円",,,,,,,,,,,
"馬連:1,090円 ワイド:06-13=450円 09-13=1,130円 06-09=720円",,,,,,,,,,,,"馬連:1,410円 ワイド:04-05=390円 01-04=380円 01-05=610円",,,,,,,,,,,,"馬連:3,970円 ワイド:14-15=1,220円 11-14=490円 11-15=1,120円",,,,,,,,,,,,"馬連:1,750円 ワイド:09-16=530円 06-16=140円 06-09=530円",,,,,,,,,,,
"馬単:2,060円 3連複:4,030円 3連単:17,850円",,,,,,,,,,,,"馬単:2,010円 3連複:2,270円 3連単:7,550円",,,,,,,,,,,,"馬単:7,700円 3連複:5,550円 3連単:38,870円",,,,,,,,,,,,"馬単:2,180円 3連複:920円 3連単:6,180円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 6R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,千両賞,,,,,,,,,,,,2011ｺﾞｰﾙﾃﾞﾝ ﾎｲｯﾌﾟ ﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｌエリアコンプリｰト, 46,メンデ,, 62,  -1,*  2, 7, 25.7, ⑤④, 1, 3, サウンドビガレス,---,佐藤哲,, 68,   0,*  7, 5,  9.2,③②②, 1, 8,Ｃロｰレルブレット, 64,池添謙,, 76,  10,* -4, 5,  9.2, ⑦⑥, 1, 5,Ｂアスカクリチャン, 86,ムルタ,, 88,   4,  15, 2,  8.3, ⑤⑦
 2, 1,Ｇボｰイフレンド, 54,吉原寛, 0.4, 58,  -1,  -3,10, 56.5, ④⑤, 2, 2, ダヴィｰド,---,岩田康, 0.9, 66,  -4,*  9, 2,  3.3,⑤④④, 2, 7,Ａオリｰビン, 77,ルメｰ, 0.3, 71,  10,  -8, 1,  2.0, ⑤⑤, 2,14,Ｅリフトザウイングス, 82,横山典, 0.0, 89,   1,* 21, 6, 16.1, ⑬⑮
 3,13,Ｆエｰシンエムディｰ, 54,岩田康, 0.4, 57,*  4,  -9, 5,  8.4, ①①, 3, 6, アｰトオブキング,---,ドミン, 1.3, 61,   0,  -2, 7, 24.7,②③③, 3, 2,Ｆマカハ, 62,デムｰ, 0.4, 72,   8,* -5, 2,  5.3, ⑥⑧, 3,15,Ｇアグネスワルツ, 81,ヴェラ, 0.0, 85,* 10,   6, 5, 14.8, ①①
 4, 5,Ｃテムジン, 56,武豊  , 0.5, 56,  -7,*  2, 2,  3.8, ⑩⑩, 4, 4, プリンシペアスｰル,---,デムｰ, 1.5, 60,  -5,   7, 4,  7.2,⑨⑦⑤, 4,10,Ｄマイネルアトラクト, 63,岩田康, 0.4, 70,* 12, -14, 8, 24.3, ②②, 4, 4,Ｋナムラオウドウ, 79,ドミン, 0.1, 89,   3,* 17, 8, 23.2, ⑧⑪
 4, 2,Ｅイントゥザストｰム, 55,デムｰ, 0.5, 58,  -3,*  0, 4,  6.8, ⑨⑦, 5, 1, ハｰトビｰトボｰイ,---,幸英明, 1.8, 61,  -6,   4, 8, 50.0,⑦⑥⑥, 5, 4,Ｂタイセイシュバリエ, 65,浜中俊, 0.5, 70,  10, -11, 4,  8.8, ④④, 5, 6,Ｈシェｰンヴァルト, 81,岩田康, 0.2, 88,   1,* 18,11, 63.0, ⑮⑭
 6, 7,Ｍマヤステッラ, 42,熊沢重, 0.6, 55,   0,  -8,13,268.8, ③③, 6, 9, ヒシサイクロン,---,武豊  , 4.2, 45,  -8, -11, 3,  4.3,⑥⑧⑧, 6,11,Ｉオオミカミ, 54,藤岡佑, 0.6, 70,   5,* -5,10, 70.8, ⑩⑩, 6, 7,Ａランリョウオｰ, 94,ペドロ, 0.2, 87,   4,  14, 1,  1.7, ⑫⑩
 7,10,Ｊシュｰサクオｰ, 47,川田将, 0.7, 53,*  1, -11, 8, 31.5, ②②, 7, 8, シルクルガｰル,---,浜中俊, 4.3, 44,  -7, -16, 6, 23.1,④⑤⑦, 7, 9,Ｅメイショウグラハム, 63,蛯名正, 0.7, 68,* 12, -17, 3,  6.0, ③③, 7, 8,Ｃリｰチコンセンサス, 85,ハナガ, 0.3, 85,   3,  14, 7, 17.0, ⑭⑬
 8, 4,Ａサカジロスイセイ, 64,幸英明, 1.1, 50,  -8,  -3, 3,  5.0, ⑬⑫, 8, 7, ヴェルメリオ,---,ルメｰ, 4.6, 41,  -9, -12, 1,  2.9,⑧⑨⑨, 8, 3,Ｈラフィングインメイ, 57,メンデ, 1.1, 63,   8, -16, 7, 19.7, ⑧⑨, 8, 1,Ｉブラボｰスキｰ, 80,メンデ, 0.4, 81,*  7,   5, 4, 13.3, ②③
 9, 9,Ｂエイシンピュｰマ, 59,福永祐, 1.1, 50,  -4,  -8, 1,  2.9, ⑦⑥, 9, 5, トｰホウレッドワン,---,和田竜, 5.5, 38, -12, -14, 9,101.8,⑩⑩⑩, 9, 5,Ｇブロッケン, 61,ヴェラ, 1.1, 63,  10, -18, 9, 62.9, ⑨⑦, 9,13,Ｎタツミリュウ, 76,プレブ, 0.7, 76,*  8,  -2,12, 74.9, ③②
10, 3,Ｉアｰサｰバロｰズ, 49,小牧太, 1.2, 49,  -9,  -3,12, 88.2, ⑫⑬,10,10, メイショウウイナｰ,---,花田大, 7.6, 12,*  7, -72,10,112.9,①①①,10, 6,Ｊエｰシンフルマｰク, 48,川田将, 1.9, 53,* 12, -36, 6, 15.9, ①①,10,11,Ｄナシュワンヒｰロｰ, 82,福永祐, 0.7, 78,*  7,   1, 3, 10.9, ④④
11,12,Ｋシゲルザクロ, 46,国分恭, 1.2, 49,  -6,  -6,11, 60.0, ⑧⑪,,,,,,,,,,,,,11, 1, リフレイン,---,吉田稔, 2.3, 51,   2, -20,11,311.0, ⑪⑪,11,10,Ｌマイネルプルｰト, 79,池添謙, 0.8, 77,   4,   4,13,233.3, ⑩⑨
12, 8,Ｄスズカジョンブル, 55,岩崎祐, 1.6, 44,  -5, -13, 6, 24.2, ⑪⑨,,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ｍカゼノグッドボｰイ, 77,川田将, 0.8, 78,   6,   1,15,318.1, ⑥⑤
13,11,Ｈシュンマリ, 51,浜中俊, 2.5, 34,  -4, -26, 9, 43.5, ⑥⑧,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｊカイシュウボナンザ, 79,吉原寛, 1.0, 73,   5,  -2,10, 55.8, ⑦⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｆエイシンサクセス, 81,ノレン, 1.0, 75,   3,   3, 9, 39.1, ⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｏユキノハリケｰン, 59,蛯名正, 2.0, 61,   4, -14,14,285.2, ⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,
"単勝:2,570円 複勝:06=990円 01=1,360円 13=350円 枠連:41,410円",,,,,,,,,,,,"単勝:920円 複勝:03=280円 02=170円 06=470円 枠連:1,300円",,,,,,,,,,,,単勝:920円 複勝:08=180円 07=110円 02=170円 枠連:320円,,,,,,,,,,,,"単勝:830円 複勝:05=300円 14=580円 15=570円 枠連:1,810円",,,,,,,,,,,
"馬連:75,580円 ワイド:01-06=11,690円 06-13=3,410円 01-13=4,680円",,,,,,,,,,,,"馬連:1,290円 ワイド:02-03=500円 03-06=1,520円 02-06=610円",,,,,,,,,,,,馬連:880円 ワイド:07-08=320円 02-08=700円 02-07=250円,,,,,,,,,,,,"馬連:9,480円 ワイド:05-14=2,550円 05-15=1,540円 14-15=2,690円",,,,,,,,,,,
"馬単:118,660円 3連複:113,380円 3連単:1,184,990円",,,,,,,,,,,,"馬単:3,550円 3連複:6,540円 3連単:39,400円",,,,,,,,,,,,"馬単:2,650円 3連複:1,450円 3連単:12,240円",,,,,,,,,,,,"馬単:19,840円 3連複:28,500円 3連単:189,410円",,,,,,,,,,,
