11年11月20日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月20日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
 9, 4,Ｌオペラフォンテン, 64,勝浦正, 1.4, 65,   1,   6,14,157.1,⑤⑦⑦, 9,16,Ｌドラゴンドリｰム, 45,横山和, 0.4, 46,  -8,*  5,16,219.7, ⑯⑮, 9,10,Ｐビｰビｰバカラ, 66,佐藤哲, 0.7, 63,*  5, -17,14, 63.5, ①①, 9,16,Ｐジニオマッジョｰレ, 64,上村洋, 0.8, 70,   3,   1,10, 32.6,   
10, 8,Ｋウインディｰヒル, 67,吉田隼, 1.5, 64,   0,   6, 7, 20.6,⑬⑩⑩,10, 7,Ｃオｰプンウォｰタｰ, 56,松田大, 0.5, 47,   2,  -7, 8, 14.0, ⑥⑥,10, 1,Ｑギリギリヒｰロｰ, 65,大野拓, 0.8, 64,   0,  -7, 7, 20.0, ⑰⑯,10,11,Ｅエランドｰル, 75,西村太, 0.9, 69,   3,   0,14, 55.9,   
11, 9,Ｅヘリオポｰズ, 73,横山和, 1.5, 65,  -1,   8,10, 54.3,⑭⑭⑭,11,15,Ａフジマｰガレット, 60,宮崎北, 0.5, 46,  -1,  -5,12, 54.3, ⑩⑩,11,11,Ａツインエンジェルズ, 81,吉田隼, 0.8, 62,*  5, -17, 4,  9.6, ②③,11, 8,Ｏワンズガｰホッド, 66,川須栄, 1.0, 67,   3,  -2,12, 41.1,   
12,14,Ｊアｰトオブダンサｰ, 67,藤岡佑, 2.0, 61,   3,  -4, 8, 32.4,②④③,12,12,Ｍキョウワアリス, 40,西村太, 0.6, 46,   1,  -9,17,394.6, ⑨⑨,12, 3,Ｄアｰスガルド, 73,丸山元, 0.9, 61,   1, -10, 2,  3.8, ⑪⑫,12,15,Ｊミティｰク, 70,佐藤哲, 1.0, 67,  -2,   2,13, 52.4,   
13, 2,Ｍゴｰルドエンジュ, 62,大野拓, 2.3, 57,*  5,  -9, 4, 14.4,⑧①①,13, 5,Ｂコスモルミナス, 57,丹内祐, 0.6, 48,*  7, -15, 2,  4.8, ①①,13,17,Ｎアサクサポイント, 67,津村明, 0.9, 60,   1, -10,12, 36.6, ⑮⑮,13, 4,Ｈメタリック, 72,宮崎北, 1.0, 67,  -2,   2,15, 58.9,   
14, 3,Ｎアンクレット, 61,中舘英, 2.9, 54,   3, -11, 9, 48.8,①③⑤,14, 2,Ｅアサヒノネネ, 55,太宰啓, 0.8, 43,  -2,  -6,10, 30.6, ⑫⑫,14,12,Ｏアドマイヤパｰシア, 67,川須栄, 1.1, 59,*  4, -19, 9, 22.0, ⑦⑥,14, 1,Ｌミスタｰマスタｰド, 69,中舘英, 1.3, 64,   3,  -6, 6, 16.0,   
15,11,Ｏソフィバニヤン, 53,村田一, 3.0, 53,   1,  -8,12,122.8,⑩⑧⑧,15, 1,Ｋコスモアダム, 51,柴山雄, 1.8, 31,  -9, -11,11, 33.4, ⑰⑯,15,18,Ｆトｰセンフリｰジア, 72,横山和, 1.5, 56,  -6,  -6,13, 52.0, ⑱⑱,15,12,Ｆリッピアピンク, 74,太宰啓, 1.5, 59,  -2,  -5,11, 34.2,   
,,,,,,,,,,,,16, 4,Ｐカバリノランパンテ, 31,松山弘, 1.9, 31,   1, -25,13, 89.1, ⑦⑧,16, 8,Ｒランブイエ, 65,中舘英, 1.5, 55,*  4, -26,10, 25.1, ④④,16, 3,Ｎメイショウフレアｰ, 67,浜中俊, 1.6, 57, -10,   0,18,133.0,   
,,,,,,,,,,,,17,18,Ｏキョウノプリンセス, 37,小野寺, 3.0, 19, -10, -24,18,487.5, ⑱⑱,17, 2,Ｈエムアイボニｰタ, 70,柴山雄, 1.6, 53,*  5, -29,17, 84.2, ③②,17, 5,Ｒエクメｰネ, 61,大野拓, 1.8, 56,   3, -13,16, 73.6,   
,,,,,,,,,,,,18,10,Ｎバイポｰラ, 40,勝浦正, 3.0, 19,  -6, -29,15,150.2, ⑮⑰,18,16,Ｊエクセリオン, 70,黛弘人, 2.0, 50,*  4, -32,16, 78.7, ⑧⑧,18, 2,Ｍニホンピログッデン, 67,藤岡佑, 2.0, 54,*  6, -17,17,130.1,   
ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:6),,,,,,,,,,,
単勝:710円 複勝:07=190円 12=120円 13=340円 枠連:440円,,,,,,,,,,,,"単勝:830円 複勝:11=260円 17=260円 13=420円 枠連:1,910円",,,,,,,,,,,,単勝:330円 複勝:09=200円 14=410円 15=800円 枠連:940円,,,,,,,,,,,,単勝:740円 複勝:09=240円 14=170円 17=340円 枠連:820円,,,,,,,,,,,
"馬連:590円 ワイド:07-12=260円 07-13=1,300円 12-13=710円",,,,,,,,,,,,"馬連:2,210円 ワイド:11-17=1,030円 11-13=2,600円 13-17=2,030円",,,,,,,,,,,,"馬連:2,620円 ワイド:09-14=1,420円 09-15=3,100円 14-15=7,250円",,,,,,,,,,,,"馬連:1,400円 ワイド:09-14=660円 09-17=1,150円 14-17=1,290円",,,,,,,,,,,
"馬単:1,870円 3連複:3,030円 3連単:16,670円",,,,,,,,,,,,"馬単:4,760円 3連複:14,860円 3連単:75,270円",,,,,,,,,,,,"馬単:3,520円 3連複:33,850円 3連単:111,940円",,,,,,,,,,,,"馬単:3,190円 3連複:7,790円 3連単:39,170円",,,,,,,,,,,
■ 2R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,福島記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｋズンダモチ, 60,藤岡佑,, 78,* 12,   2, 4,  5.8, ①①, 1, 1, タガノテッペン,---,藤岡佑,, 60,* -8,*  7, 4,  7.3,①①①, 1, 7,Ｉフェブスカイ, 63,小野寺,, 72,   0,*  7, 7, 22.9, ⑥⑥, 1, 9,Ｃアドマイヤコスモス, 93,上村洋,, 95,* 20,* 12, 1,  1.9, ⑦⑦
 2,13,Ｈトウケイカガヤキ, 65,藤懸貴, 0.4, 74,* 11,  -1,10, 37.7, ②②, 2, 8, トウショウハマｰ,---,太宰啓, 0.4, 55,* -9,   5, 5, 10.1,③③③, 2, 8,Ａネイヴルトウショウ, 71,黛弘人, 0.2, 69,  -4,*  9, 1,  2.2, ⑧⑨, 2,14,Ｄメイショウカンパク, 92,浜中俊, 0.1, 94,  16,* 18, 7, 17.5, ⑱⑱
 3, 9,Ｄブロックコｰド, 70,丸田恭, 0.4, 69,  -1,* 11, 2,  4.8, ⑪⑫, 3, 4, キタサンシンガｰ,---,丸田恭, 0.9, 53, -11,*  6,11, 57.8,⑧⑨⑦, 3,10,Ｂシンコｰプリンス, 71,水口優, 0.2, 69,*  5,   0, 2,  3.9, ②②, 3,11,Ｎマイネイサベル, 79,津村明, 0.4, 89,  18,*  9, 6, 15.7, ⑪⑬
 4, 2,Ｃノボジュピタｰ, 71,川須栄, 0.8, 68,   4,   3, 3,  4.9, ⑧⑧, 4, 5, アポロヴァリアント,---,西田雄, 1.0, 51,  -9,   1,12, 82.0,④④④, 4,12,Ｅケンタッキｰロｰド, 68,荻野琢, 0.8, 64,  -3,   3, 5, 11.6, ⑩⑧, 4,15,Ｆゲシュタルト, 88,藤岡佑, 0.6, 90,  17,*  9, 4, 14.0, ⑯⑯
 5, 8,Ｇランドタカラ, 68,浜中俊, 0.8, 66,  -8,* 13, 8, 17.5, ⑮⑮, 5, 7, スギノプリシｰド,---,松田大, 1.3, 54, -12,   5, 7, 18.1,⑪⑩⑪, 5, 2,Ｇゴｰルドサムソン, 64,松山弘, 0.8, 63,  -7,*  6, 3,  7.9, ⑪⑪, 5, 6,Ｅマイネルスタｰリｰ, 89,丹内祐, 0.9, 85,* 20,  -1,11, 46.4, ⑬⑪
 6,14,Ａニシノブイシェｰプ, 74,勝浦正, 0.9, 67,   5,   0, 1,  4.2, ⑦⑤, 6, 2, ストロングティラノ,---,丸山元, 1.4, 49,* -9,  -4, 1,  3.1,②②②, 6, 4,Ｆデイズオブメモリｰ, 67,藤懸貴, 1.0, 62,  -1,  -1, 4, 11.2, ⑦④, 6, 5,Ａセイクリッドバレｰ, 94,丸山元, 1.1, 81,* 20,  -6, 2,  5.5, ⑧③
 7, 1,Ｌヤマニンアルシェ, 60,荻野琢, 0.9, 68,   5,   0,14,175.6, ⑤⑥, 7,10, スイｰトカトレヤ,---,黛弘人, 1.6, 51, -11,   0,10, 42.2,⑥⑧⑧, 7,15,Ｃショウナンタスク, 69,宮崎北, 1.2, 59,  -8,   4, 6, 13.7, ⑬⑬, 7, 7,Ｂモンテエン, 93,勝浦正, 1.2, 81,  16,   2, 3, 13.1, ⑰⑰
 8, 7,Ｏノアフィｰルド, 48,西田雄, 0.9, 66,   1,   5,11,112.5, ⑩⑩, 8,11, モアナルアパｰク,---,浜中俊, 1.8, 47, -10,  -6, 2,  3.5,⑦⑤⑤, 8,11,Ｄクリスリリｰ, 69,森一馬, 1.2, 59,  -7,   3,13, 89.6, ⑫⑫, 8,17,Ｐマゼラン, 75,鮫島良, 1.6, 77,  18, -10, 5, 14.4, ⑩⑨
 9, 6,Ｆルｰジュアルダン, 69,木幡初, 1.1, 66,   7,  -4, 9, 18.0, ④④, 9, 6, ベルモントピｰス,---,西村太, 2.1, 47, -14,   1,13,122.7,⑫⑫⑫, 9, 3,Ｋプレミアムカラｰ, 61,西村太, 1.4, 58,*  5, -11,11, 69.6, ①①, 9, 4,Ｒバウンシｰチュｰン, 69,宮崎北, 1.7, 77,  17,  -8, 8, 24.4, ⑨⑫
10, 5,Ｎトゥルｰトゥルｰ, 52,上村洋, 1.4, 62,   4,  -4,13,155.6, ⑥⑦,10,12, ビｰバックビｰト,---,宮崎北, 2.3, 42,  -9,  -9, 9, 37.3,⑨⑥⑥,10, 9,Ｏナンヨｰオウトｰ, 54,菅原隆, 1.5, 56, -12,   4,14,134.1, ⑭⑭,10,18,Ｌケイアイドウソジン, 81,中舘英, 1.7, 78,  17,  -8,16,159.1, ⑮⑮
11, 4,Ｅメイショウキルタｰ, 70,松山弘, 1.4, 63,   7,  -6, 7, 13.9, ③③,11,13, タニノエスプレッソ,---,川須栄, 2.6, 42, -10, -10, 6, 15.6,⑤⑦⑨,11,13,Ｍニシノラメｰル, 61,杉原誠, 1.6, 55,  -4,  -4,10, 49.9, ⑨⑩,11, 3,Ｑオｰルアズワン, 73,川須栄, 1.8, 75,* 21, -18,12, 50.1, ①①
12,12,Ｂタイキルネサンス, 73,大野拓, 1.6, 58,  -3,   1, 5,  9.0, ⑬⑪,12, 9, ウインナイトホｰク,---,佐藤哲, 3.1, 36, -12, -12, 3,  6.5,⑩⑪⑩,12, 5,Ｎマックスストレイン, 59,池崎祐, 1.6, 56,   3, -10,12, 71.1, ③③,12, 8,Ｇドモナラズ, 87,村田一, 1.9, 73,* 20, -15,13, 96.4, ⑫⑩
13,10,Ｉアップタｰン, 63,丸山元, 1.6, 60,   1,  -3, 6, 12.8, ⑨⑨,13, 3, スズカジャイアント,---,吉田隼, 6.2, 19, -19, -24, 8, 23.5,⑬⑬⑬,13,14,Ｊウィンザｰフラッグ, 62,田中健, 1.8, 55,   1, -11, 8, 36.8, ④⑤,13,12,Ｍオウケンサクラ, 80,丸田恭, 2.1, 70,* 20, -20,15,109.6, ③⑤
14,11,Ｍブルｰミングメイン, 59,佐藤哲, 2.4, 52,  -1,  -7,12,119.8, ⑫⑬,,,,,,,,,,,,,14, 6,Ｌカゼノマイヒメ, 61,横山和, 2.0, 53,   0, -10,15,170.5, ⑤⑦,14,16,Ｈヤングアットハｰト, 85,佐藤哲, 2.2, 72,  18, -17,10, 25.3, ⑭⑭
15,15,Ｊメイフィｰルド, 61,宮崎北, 3.0, 46,  -2, -11,15,199.9, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｊサンライズベガ, 83,吉田隼, 2.3, 70,* 20, -24, 9, 24.7, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｉダンツホウテイ, 85,太宰啓, 2.3, 69,* 20, -21,14,108.1, ⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｏマンハッタンスカイ, 79,柴山雄, 3.3, 61,* 20, -36,18,268.7, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10,Ｋヤマニンウイスカｰ, 82,古川吉, 3.4, 61,* 20, -37,17,233.4, ⑤⑥
ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:重(指数:6),,,,,,,,,,,
"単勝:580円 複勝:03=240円 13=800円 09=170円 枠連:1,250円",,,,,,,,,,,,"単勝:730円 複勝:01=230円 08=310円 04=1,520円 枠連:1,770円",,,,,,,,,,,,"単勝:2,290円 複勝:07=360円 08=120円 10=160円 枠連:2,200円",,,,,,,,,,,,単勝:190円 複勝:09=120円 14=340円 11=370円 枠連:710円,,,,,,,,,,,
"馬連:11,790円 ワイド:03-13=3,810円 03-09=800円 09-13=2,010円",,,,,,,,,,,,"馬連:3,240円 ワイド:01-08=1,040円 01-04=6,170円 04-08=9,830円",,,,,,,,,,,,"馬連:2,020円 ワイド:07-08=770円 07-10=2,150円 08-10=260円",,,,,,,,,,,,"馬連:1,580円 ワイド:09-14=610円 09-11=670円 11-14=3,110円",,,,,,,,,,,
"馬単:24,930円 3連複:19,100円 3連単:145,540円",,,,,,,,,,,,"馬単:5,320円 3連複:73,960円 3連単:312,970円",,,,,,,,,,,,"馬単:6,140円 3連複:3,680円 3連単:35,330円",,,,,,,,,,,,"馬単:2,200円 3連複:7,300円 3連単:23,630円",,,,,,,,,,,
■ 3R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ2500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,笹山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃニュｰレジェンド, 75,吉田隼,, 72,*  9,*  6, 1,  1.8,④④②, 1,15,Ｎファイヤｰ, 61,太宰啓,, 77,*  9,*  3,10, 51.0,④②②, 1, 3,Ｂアイノグロｰ, 73,浜中俊,, 74,   5,* 10, 1,  2.8,⑪⑦⑦, 1,11,Ｊエｰティｰランボｰ, 69,田中健,, 72, -16,* 23,10, 19.6, ⑰⑰
 2, 6,Ａメイショウカルロ, 77,森一馬, 0.0, 73,*  9,*  6, 2,  4.5,③③⑤, 2, 9,Ｈフィルハｰマジック, 65,松田大, 1.7, 69,* 10, -11, 3,  9.0,②①①, 2,11,Ｉミラクルフラッグ, 66,松田大, 0.2, 72,*  8,   3, 9, 36.8,②②②, 2, 8,Ｇヨアケ, 70,的場勇, 0.0, 73,* 14,  -7, 4,  7.3, ①①
 3,13,Ｋディｰプルマン, 66,松田大, 0.3, 72,   7,*  6, 4, 12.9,⑪⑨⑨, 3,10,Ａロケットダイヴ, 74,川須栄, 1.7, 70,* 10,  -9, 1,  1.8,⑦④④, 3, 1,Ａディアブラスト, 78,丸田恭, 0.2, 71,   5,* 10, 2,  3.4,⑩⑧⑥, 3,13,Ａアウトオブオｰダｰ, 74,木幡初, 0.0, 72,  -1,   7, 3,  5.9, ⑪⑨
 4, 9,Ｈドリｰムネイチヤｰ, 68,松山弘, 0.3, 72,   9,   4, 8, 32.3,⑦⑤⑥, 4,14,Ｊタイソンバロｰズ, 64,藤岡佑, 2.9, 63,   8, -15, 7, 17.9,⑪⑧⑦, 4,10,Ｋトップチェッカｰ, 65,勝浦正, 0.6, 70,   5,   8, 5,  8.4,⑬⑪⑨, 4,17,Ｄサクラアドニス, 73,津村明, 0.1, 70, -11,* 16, 6, 12.8, ⑯⑯
 5,15,Ｇアキノモｰグル, 68,丸山元, 0.4, 69,*  9,   1, 5, 16.3,②②①, 5, 6,Ｂウエスタンブラボｰ, 72,西村太, 2.9, 62,   7, -14, 5, 15.2,⑧⑩⑧, 5, 4,Ｄデュアルサクセス, 72,杉原誠, 0.6, 70,   4,   9, 3,  5.4,⑦⑨⑩, 5, 2,Ｅコｰストバンクシア, 71,丸山元, 0.1, 70, -19,* 24, 8, 14.5, ⑱⑱
 6, 5,Ｅプリンセスキナウ, 70,杉原誠, 0.5, 69,   7,   4, 6, 18.1,⑥⑦⑦, 6, 4,Ｄボストンリョウマ, 69,浜中俊, 2.9, 63,   9, -19, 2,  6.7,⑤③③, 6, 5,Ｇアイティテイオｰ, 69,柴山雄, 0.7, 67,*  7,   2, 7, 26.6,④④④, 6, 9,Ｍクリノトルネｰド, 66,宮崎北, 0.1, 71,   1,   5,11, 38.2, ⑩⑪
 7,11,Ｆシルクリンカｰン, 70,中舘英, 0.8, 69,   7,   5, 7, 30.7,⑫⑫⑪, 7, 8,Ｍビバクラシック, 62,西田雄, 3.0, 61,   8, -18,14,359.4,⑨⑦⑤, 7, 6,Ｈウエスタンダｰツ, 68,藤懸貴, 0.8, 66,   6,   1, 6, 25.8,⑤⑤⑤, 7, 7,Ｂボンジュｰルメロン, 74,村田一, 0.3, 67,  -1,   3, 1,  4.3, ⑨⑩
 8,12,Ｉアイウォントユｰ, 68,村田一, 1.0, 67,   5,*  6,11, 45.4,⑭⑬⑬, 8,12,Ｋシュヴァルツシルト, 63,杉原誠, 4.1, 57,   5, -17,12, 69.0,⑫⑬⑫, 8, 8,Ｍフジノベルモット, 56,西村太, 1.0, 66,   5,   4,13,228.4,⑧⑩⑪, 8,10,Ｌヴィｰヴァサルｰテ, 67,藤岡佑, 0.4, 68,  -3,   5, 7, 13.4, ⑫⑫
 9, 2,Ｄサンライズコア, 70,川須栄, 1.1, 67,   4,*  7,12, 59.8,⑮⑮⑭, 9,11,Ｆシルクマッドネス, 67,佐藤哲, 4.1, 57,   5, -14, 8, 19.7,⑭⑭⑭, 9, 2,Ｆセイカフォルテ, 69,太宰啓, 1.0, 67,   3,   8, 8, 30.1,⑨⑫⑫, 9, 5,Ｆリッカスウィｰプ, 71,松田大, 0.4, 67,*  9,  -7, 9, 17.5, ③③
10,10,Ｊベルモントスコッチ, 67,勝浦正, 1.5, 62,   6,  -3,10, 42.6,⑩⑩⑧,10, 2,Ｃマイネルティンラン, 69,大野拓, 4.2, 56,   7, -25, 9, 26.0,⑥⑨⑩,10,12,Ｅオルレアンノオトメ, 69,宮崎北, 1.3, 62,*  8,  -6,10, 56.3,①①①,10,12,Ｋコンプリｰト, 67,大野拓, 0.4, 67,  -8,  10, 5, 11.4, ⑮⑭
11,14,Ｂスｰサンストリｰム, 76,浜中俊, 1.6, 63,   8,  -7, 3,  9.4,⑧⑥③,11, 3,Ｅフェバリットアワｰ, 68,横山和, 4.7, 54,   8, -32,11, 52.6,③⑥⑥,11,13,Ｊシンボリプロキオン, 66,大野拓, 1.3, 62,*  7,  -5,12,144.8,③③③,11,16,Ｏオモイデサクラ, 62,川須栄, 0.5, 66,   7,  -7,13, 46.4, ④④
12, 1,Ｍホッコｰビックワン, 63,柴山雄, 1.7, 61,   8,  -5,13, 90.0,⑤⑧⑩,12,13,Ｌワンダｰダｰク, 62,藤懸貴, 4.9, 54,   5, -21,15,489.6,⑮⑮⑮,12, 9,Ｌレインボｰシュｰズ, 62,横山和, 3.6, 50,  -2,  -5,11, 94.6,⑫⑬⑬,12,18,Ｒアラマサマンボウ, 55,柴山雄, 0.6, 64,  -4,   3,18,196.1, ⑬⑬
