11年 7月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2880m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
 9, 3,Ｇセクシイスイｰト, 53,蛯名正, 1.5, 54,  -3,  -7, 6, 15.6, ⑤⑦, 9, 1, ノｰブルエｰス,,宗像徹,196.4,,,,10,111.3,⑬⑫⑪, 9, 9,Ｌイットｰアンファン, 41,小林淳, 1.8, 49,  -2, -17,16,558.7,⑬⑫⑫, 9, 2,Ｇヤマニンアｰシｰ, 68,田辺裕, 0.9, 61,  -5,  -1,12, 77.7, ⑪⑬
10, 4,Ｅダンスビュｰティ, 60,後藤浩, 1.5, 55,  -2,  -8, 3,  5.5, ⑥⑤,10,11, ヴィｰヴァシャトル,,江田勇,196.7,,,, 5, 14.2,⑨⑨⑧,10, 8,Ｋマイネシェリｰ, 43,武士沢, 2.0, 49,   6, -32,14,306.3,④④③,10, 6,Ｆクリノテンペスタ, 69,大庭和, 1.0, 60,  -9,   2, 9, 32.3, ⑯⑭
11, 1, アマレット,---,大野拓, 1.8, 50, -14,   1,12, 98.6, ⑬⑬,11,14, ブルｰデザフィｰオ,,水出大,200.6,,,,12,147.9,⑥⑬⑫,11, 7,Ｃキョウエイヒドラ, 58,江田照, 2.2, 46,  -2, -22,12,161.1,⑫⑪⑩,11, 1,Ｈスパラｰト, 68,蛯名正, 1.1, 61,   0,  -7, 4,  9.4, ⑨⑧
12,14,Ｈスイｰトフラム, 53,嶋田純, 1.9, 51, -10,  -3,10, 52.7, ⑪⑪,12, 6, エイトスタｰ,,池崎祐,201.5,,,,13,203.5,⑭⑭⑬,12, 1,Ｉジｰティルピア, 50,嶋田純, 2.5, 44,  -6, -18, 8, 31.1,⑪⑬⑬,12,12,Ｏメイショウグレイト, 45,小島太, 1.2, 57,  -6,  -4,16,352.3, ⑬⑮
13, 7, トリプルハｰト,---,北村宏, 2.8, 44, -15,  -5,11, 77.6, ⑭⑭,13, 5, グラスサミット,,浜野谷,204.4,,,, 8, 34.1,③②④,13, 6,Ｊラデュレ, 45,中舘英, 3.9, 32,*  9, -64,10, 84.9,②②④,13, 9,Ｐサクラエスケｰプ, 44,大野拓, 1.8, 52,*  6, -23,11, 60.7, ③③
14,11, ベストマテリアル,---,小林慎, 3.3, 38, -22,  -5,13,173.7, ⑯⑯,,,,,,,,,,,,,14,10, ショウナンカルマン,---,大庭和, 4.6, 24, -20, -23,15,402.8,⑯⑯⑮,14,16,Ｎカトルズタッチ, 55,田面木, 1.8, 50,  -7, -10,15,320.3, ⑭⑯
15,16,Ｋソノリティ, 47,横山和, 3.7, 35, -16, -14,14,206.8, ⑮⑮,,,,,,,,,,,,,15,13, ピンクチャリス,---,村田一, 4.8, 21,  -8, -48,11, 96.1,⑭⑭⑭,15, 7,Ｉアンゲネｰム, 67,江田照, 2.0, 48,   3, -24, 8, 20.1, ⑥⑩
16,13,Ｌキアｰダ, 38,江田照, 4.2, 31,  -5, -28,16,636.7, ⑧⑩,,,,,,,,,,,,,16,16, モナムｰルフィｰユ,---,蛯名正, 6.2, -2, -18, -53, 7, 24.8,⑮⑮⑯,16,15,Ｌホリデイトウショウ, 58,武士沢, 2.3, 45,*  6, -30,14,199.5, ④⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,
単勝:300円 複勝:08=140円 02=140円 06=200円 枠連:650円,,,,,,,,,,,,単勝:380円 複勝:04=130円 09=210円 03=110円 枠連:400円,,,,,,,,,,,,"単勝:640円 複勝:03=240円 05=180円 15=220円 枠連:1,000円",,,,,,,,,,,,"単勝:290円 複勝:13=140円 14=420円 03=160円 枠連:2,150円",,,,,,,,,,,
馬連:660円 ワイド:02-08=320円 06-08=510円 02-06=410円,,,,,,,,,,,,"馬連:2,220円 ワイド:04-09=610円 03-04=190円 03-09=310円",,,,,,,,,,,,"馬連:2,180円 ワイド:03-05=870円 03-15=1,090円 05-15=680円",,,,,,,,,,,,"馬連:2,270円 ワイド:13-14=760円 03-13=310円 03-14=1,270円",,,,,,,,,,,
"馬単:1,080円 3連複:1,430円 3連単:5,460円",,,,,,,,,,,,"馬単:3,500円 3連複:1,040円 3連単:9,140円",,,,,,,,,,,,"馬単:4,080円 3連複:6,070円 3連単:29,820円",,,,,,,,,,,,"馬単:3,520円 3連複:3,250円 3連単:15,940円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,千葉日報杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂシルクグラサｰジュ, 67,田辺裕,, 68,*  0,* 16, 2,  3.2,③②②, 1, 8, ピｰエムデメテル,---,後藤浩,, 61,*-16,*  9, 5, 10.1,⑤⑤④, 1, 8,Ｂケイアイクライム, 76,後藤浩,, 73,  -8,* 16, 2,  3.9, ⑫⑪, 1, 8,Ｄマコトギャラクシｰ, 78,蛯名正,, 84,  13,* -1, 2,  3.4,⑪⑪⑨
 2,12,Ｃネグレスコ, 63,後藤浩, 0.1, 69,   0,* 17, 3,  4.0,⑤⑥⑤, 2,11, メジャｰアスリｰト,---,蛯名正, 0.4, 54,*-17,*  2, 3,  6.3,⑧④③, 2,10,Ｉガクニホシ, 70,蛯名正, 0.0, 74,  -3,  12,10, 45.9, ⑦⑦, 2,12,Ｌトランスワｰプ, 68,大野拓, 0.2, 79,* 18, -17,11, 61.4,②②②
 3, 7,Ａダイワクレバｰ, 72,蛯名正, 0.1, 67,*  1,  13, 1,  2.0,①①①, 4, 4, ヒシマｰベラス,---,加藤士, 0.4, 57, -21,*  9,11, 83.1,⑥⑩⑥, 3,15,Ｊアプロｰチミｰ, 67,中舘英, 0.2, 72,  -3,  10,11, 61.3, ⑧④, 3, 7,Ｇベルタリド, 77,江田照, 0.3, 79,  14,  -9,10, 58.6,⑨⑨⑦
 4, 3,Ｆサミットフィｰバｰ, 58,伊藤工, 0.8, 64,  -2,  12, 6, 38.2,⑥⑤④, 3, 7, サクラインフェルノ,---,中舘英, 0.7, 50,*-15,  -5, 4,  8.7,①①①, 4, 3,Ｋライムライトシチｰ, 66,小野寺, 0.2, 73, -11,* 17, 7, 23.8, ⑮⑮, 4, 9,Ｈラッキｰポケット, 77,後藤浩, 0.4, 78,  16, -13, 5, 15.1,⑦⑦④
 5, 2,Ｉアイティゴｰルド, 56,大野拓, 1.0, 62,  -2,  13, 5, 25.8,⑧⑩⑥, 5,14, コスモソウタ,---,松岡正, 0.8, 49,*-15,  -5, 2,  3.4,②②②, 5,16,Ｆオンワｰドセジｰル, 72,加藤士, 0.3, 71,  -1,   8, 9, 36.5, ⑤③, 5,11,Ｉマイネルモデルノ, 74,柴田大, 0.9, 72,* 18, -29, 8, 47.1,④①①
 6, 4,Ｄヤマノオペラオｰ, 61,西田雄, 1.8, 56,  -2,   4, 7, 68.0,⑭⑨⑨, 6,12, フォルテリコルド,---,村田一, 1.6, 37, -19, -11, 9, 54.2,⑫⑧⑦, 6,13,Ｃアルセｰヌシチｰ, 74,武士沢, 0.3, 70,  -8,* 15, 6, 17.0, ⑬⑫, 6, 1,Ｂユニヴァｰスガイ, 82,田辺裕, 1.3, 67,  14, -23, 9, 49.5,⑧⑧⑧
 7,10,Ｈブｰトジョロキア, 56,武士沢, 2.0, 55,  -4,   7, 4, 19.6,⑫⑬⑬, 7,15, コスモスイング,---,中谷雄, 2.0, 32,*-16, -21,10, 63.0,③③⑤, 7, 4,Ｅコスモパイレット, 72,柴田大, 0.4, 70,*  3,   3, 5, 15.0, ①①, 7, 3,Ｃゲｰムマエストロ, 81,田中勝, 1.6, 67,  16, -30, 1,  2.6,⑤④⑤
 8, 8,Ｅオｰダｰアゲン, 60,江田照, 2.2, 54,  -2,   2, 8, 73.8,⑨⑧⑦, 8, 9, サトノプレジデント,---,田面木, 2.3, 29, -19, -21, 1,  2.5,⑮⑨⑧, 8, 6,Ｌリｰサムプライド, 66,柴田善, 0.5, 70,  -3,   8,13, 84.0, ⑥⑧, 8, 6,Ｆマイネルグｰト, 77,松岡正, 1.6, 68,  13, -24, 4,  9.8,⑩⑩⑩
 9, 5,Ｊベストピッチ, 52,小野寺, 2.7, 54,  -2,  -2,14,513.6,⑬⑪⑪, 9, 3, リズムディヴァイン,---,武士沢, 2.7, 27, -23, -18, 6, 18.0,⑪⑭⑫, 9, 9,Ｇトリニティチャｰチ, 72,村田一, 1.0, 63,  -8,   8, 8, 33.4, ⑪⑩, 9,10,Ｊインザブラック, 71,中舘英, 2.0, 64,  16, -37, 7, 44.1,③⑥⑪
10, 1,Ｌウインスティング, 46,北村宏, 2.8, 52,  -4,   1,11,155.0,⑪⑫⑩,10,16, ギンザコンバット,---,江田照, 2.9, 22, -19, -29,15,249.7,④⑦⑨,10, 2,Ｄコｰンドリｰ, 74,田中勝, 1.1, 64,  -1,   1, 4, 13.0, ④⑥,10, 2,Ｅシャガｰル, 78,柴田善, 2.8, 58,  17, -51, 3,  3.7,①③③
11,13,Ｋヤマタケブリンク, 51,嶋田純, 2.9, 48,*  0,  -9,13,493.4,②③③,11, 6, ダイワアズｰル,---,北村宏, 2.9, 23, -22, -24, 8, 31.2,⑦⑫⑪,11, 5,Ａナムラストリｰク, 78,嶋田純, 1.1, 64,*  2,  -2, 3,  4.8, ③②,11, 4,Ｋダブルレインボｰ, 71,北村宏, 3.1, 55,  16, -51, 6, 22.0,⑥⑤⑥
12,14,Ｇモｰリマティｰニ, 57,中舘英, 3.0, 48,*  0, -10,10, 94.3,④④⑧,12,13, セイファｰト,---,田中勝, 3.1, 20, -18, -34, 7, 29.9,⑬⑥⑩,12,11,Ｎユｰディドイット, 64,松岡正, 1.7, 58,  -5,  -1, 1,  2.5, ⑩⑨,,,,,,,,,,,,
13,11,Ｎロックフェス, 45,水出大, 4.0, 43,  -4,  -9,12,206.5,⑦⑭⑭,13, 5, ダイメイカントリｰ,---,小林淳, 3.2, 18, -21, -29,14,216.1,⑨⑪⑬,13,14,Ｍキャンパスライフ, 65,田辺裕, 2.0, 56,  -8,   1,12, 79.1, ⑭⑭,,,,,,,,,,,,
14, 9,Ｍオメガオンリｰユｰ, 45,松岡正, 5.9, 30,  -2, -31, 9, 79.2,⑩⑦⑫,14, 1, エタニティ,---,柴田大, 3.3, 18, -22, -30,13,172.1,⑭⑬⑭,14, 7,Ｏマッハロッド, 55,北村宏, 2.3, 54,  -5,  -5,15,107.7, ⑨⑬,,,,,,,,,,,,
,,,,,,,,,,,,15, 2, トｰホウパスポルテ,---,小野寺, 4.2, 11, -29, -31,16,341.2,⑩⑯⑯,15,12,Ｐアルファママシｰタ, 12,青木芳, 3.3, 44, -12,  -8,16,701.5, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,16,10, ゴメン,---,田辺裕, 4.4,  2, -23, -42,12,118.2,⑯⑮⑮,16, 1,Ｈロトドレッサｰ, 71,大野拓, 3.8, 39,*  2, -25,14, 98.6, ②⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:良(指数:-2),,,,,,,,,,,
単勝:320円 複勝:06=120円 12=140円 07=110円 枠連:760円,,,,,,,,,,,,"単勝:1,010円 複勝:08=260円 11=230円 07=300円 枠連:1,140円",,,,,,,,,,,,"単勝:390円 複勝:08=170円 10=1,340円 15=1,130円 枠連:3,280円",,,,,,,,,,,,"単勝:340円 複勝:08=160円 12=1,130円 07=920円 枠連:3,050円",,,,,,,,,,,
馬連:710円 ワイド:06-12=260円 06-07=140円 07-12=190円,,,,,,,,,,,,"馬連:2,000円 ワイド:08-11=720円 07-08=1,020円 07-11=860円",,,,,,,,,,,,"馬連:7,810円 ワイド:08-10=2,490円 08-15=2,670円 10-15=17,680円",,,,,,,,,,,,"馬連:10,210円 ワイド:08-12=2,640円 07-08=2,110円 07-12=16,930円",,,,,,,,,,,
"馬単:1,340円 3連複:340円 3連単:2,880円",,,,,,,,,,,,"馬単:5,200円 3連複:6,180円 3連単:42,500円",,,,,,,,,,,,"馬単:10,710円 3連複:93,310円 3連単:347,950円",,,,,,,,,,,,"馬単:14,660円 3連複:107,200円 3連単:499,030円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,行川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｅケイアイアテナ, 55,小野寺,, 73,*  5,   0, 4, 10.5, ①①, 1,11,Ａフォｰミｰ, 69,武士沢,, 64,   3,*  5, 3,  5.3,⑧⑦④, 1,12,Ｉハイマｰク, 65,田辺裕,, 74,   8,* -1, 9, 29.3,⑨⑨⑧, 1,16,Ｅジｰルドリル, 77,後藤浩,, 72,*  7,   6, 4,  7.2,⑩⑥③
 2,16,Ｆラントゥザリｰド, 54,蛯名正, 0.1, 70,  -2,*  6, 2,  3.8, ⑨⑨, 2, 7,Ｂウインディｰヒル, 68,蛯名正, 0.1, 64,   3,*  3, 1,  2.4,⑥⑥⑥, 2, 8,Ｄアルティスト, 72,二本柳, 0.0, 75,*  9,* -4, 8, 23.6,⑧⑧④, 2, 4,Ａジェイズバニヤン, 80,平野優, 0.2, 70,*  8,   2, 5, 10.6,②②①
 3,10,Ｃヴィヴァヴォｰチェ, 57,田辺裕, 0.3, 65,  -2,*  3, 5, 17.2, ⑦④, 3,14,Ｃツクバオトメ, 64,柴田善, 0.3, 63,*  5,* -2, 5,  8.4,⑫③②, 3, 2,Ｆタングルジャングル, 70,蛯名正, 0.3, 73,*  9,  -9, 2,  6.7,⑦⑦⑩, 3,12,Ｈアカシロｰレル, 74,小野寺, 0.3, 75,   5,*  8,10, 47.1,⑮⑫⑭
 4, 3,Ａエｰシンイグアス, 65,後藤浩, 0.3, 67,*  2,  -1, 1,  1.9, ②②, 4, 3,Ｇプレシャスライン, 55,田中勝, 1.3, 56,*  5, -11, 6, 13.8,①①①, 4, 3,Ａアｰバンウィナｰ, 78,田中勝, 1.0, 68,   1,*  0, 3,  9.3,⑮⑯⑯, 4, 8,Ｂアサクサマリンバ, 80,横山和, 0.3, 71,   6,   5, 3,  5.6,⑥⑦⑦
 5, 6,Ｋエフティレフア, 45,横山和, 0.5, 61,  -9,*  7,10, 90.4, ⑬⑬, 5, 5,Ｉトｰセンビｰト, 52,横山和, 1.8, 53,   1,  -8,10,231.4,⑦⑨⑧, 5, 5,Ｋプレゼピオ, 65,平野優, 1.1, 64,   5, -13,13,180.2,⑪⑬⑬, 5, 1,Ｇヴァルディヴィア, 75,松岡正, 0.4, 70,*  7,   2, 1,  3.1,③④④
 6,13,Ｊサウスノｰブル, 45,柴田善, 0.6, 62,  -2,  -1, 8, 33.7, ⑧⑦, 6, 6,Ｄファヴェラシック, 59,柴田大, 1.9, 53,   4, -12, 2,  4.5,⑤⑤⑤, 6, 6,Ｃラストノｰト, 73,後藤浩, 1.1, 64,*  9, -20, 1,  1.7,④⑥⑦, 6,10,Ｃアイアムイチバン, 80,蛯名正, 0.6, 70,   4,   6, 2,  3.7,⑪⑪⑪
 7, 1,Ｂショウナンサｰジュ, 61,平野優, 1.0, 57,   0,  -9, 6, 27.3, ④③, 7,15,Ｍサマｰサルサ, 34,平野優, 2.7, 46,   0, -14, 8, 58.2,⑩⑩⑩, 7, 4,Ｇエムオｰクラウン, 69,西田雄, 1.3, 63,   5, -15,15,282.5,⑫⑫⑫, 7,15,Ｆトｰアボンジョルノ, 76,大庭和, 0.7, 70,   2,* 10, 9, 40.1,⑯⑮⑯
 8,15,Ｄマイネスウィｰト, 56,柴田大, 1.3, 54,*  2, -14, 7, 31.8, ③⑥, 8, 8,Ｆメリｰハｰト, 56,後藤浩, 2.9, 45,*  5, -24, 7, 46.2,②②③, 8,16,Ｏナゲットスマイル, 61,大野拓, 1.4, 62,* 10, -30,12,179.1,①①①, 8, 2,Ｄオリオンザアルファ, 79,田辺裕, 0.7, 69,   3,*  8, 7, 18.6,⑫⑬⑩
 9, 7,Ｌレイメイ, 42,嶋田純, 1.4, 50,  -6,  -8,16,555.8, ⑫⑫, 9,16,Ｊオリオンザジョケツ, 46,大庭和, 3.7, 43,  -5, -11,13,275.8,⑬⑮⑭, 9, 7,Ｌスリｰケインズ, 64,江田照, 1.5, 61,   6, -21,11,160.3,⑬⑩⑨, 9,11,Ｊエイコオレジェンド, 69,嶋田純, 0.9, 68,   5,   2,16,425.5,⑨⑩⑫
10, 2,Ｈリキアイギムレット, 51,中舘英, 1.4, 51,  -6,  -8, 3,  7.3, ⑪⑩,10,10,Ｋブルｰパメラ, 43,大野拓, 3.8, 39,  -1, -19,12,246.6,⑪⑫⑫,10,17,Ｐラｰクキャロル, 60,大庭和, 1.6, 63,   1,  -8, 7, 18.2,⑯⑮⑭,10, 9,Ｏマイティｰジュニア, 55,田中勝, 1.0, 67,   2,   6, 8, 23.2,⑭⑯⑮
11,12,Ｇクイｰンザリッチ, 52,北村宏, 1.8, 47,   0, -20,11,109.6, ⑥⑧,11,13,Ｈミルルポ, 53,田辺裕, 4.0, 38,*  4, -32, 4,  6.4,③④⑦,11, 1,Ｎディｰプスノｰ, 62,武士沢, 1.6, 61,   6, -21, 4, 11.0,⑩⑪⑪,11, 5,Ｎニｰロ, 62,北村宏, 1.0, 66,   6,  -2,13,116.0,⑤⑤⑥
12, 8,Ｉマイネルスフィア, 50,松岡正, 2.1, 45,   1, -23, 9, 39.0, ⑤⑤,12, 2,Ｎアトムウィナｰ, 33,江田照, 4.6, 35,   0, -29,16,681.6,⑨⑪⑪,12,14,Ｑマヤノテムジン, 60,村田一, 1.6, 57,* 10, -31,16,361.0,②②③,12,13,Ｍキタサンブユｰデン, 62,柴田大, 1.3, 66,   3,   3,14,215.9,⑬⑭⑬
13, 5, フォレストシｰン,---,田中勝, 2.6, 35, -11, -18,12,263.1, ⑭⑭,13, 4,Ｌアンジェリカシチｰ, 34,小林慎, 4.7, 37,  -3, -22,11,238.6,⑮⑬⑬,13,10,Ｍミシュランシチｰ, 64,小林慎, 1.8, 59,   2, -16,14,281.7,⑭⑭⑮,13,14,Ｋソヴリン, 67,江田照, 1.4, 63,   5,  -3,15,297.4,⑧⑨⑨
14,11,Ｍレオファンタジｰ, 39,西田雄, 2.9, 32,  -3, -30,14,388.6, ⑩⑪,14, 1,Ｅジョウテンティアラ, 57,嶋田純, 4.9, 35,   2, -35, 9, 67.9,④⑧⑨,14,15,Ｂマスタｰソムリエ, 74,北村宏, 1.9, 57,*  9, -34, 5, 12.9,③④⑤,14, 3,Ｐトｰアシングン, 52,五十嵐, 1.5, 63,   5,  -3,12, 64.9,⑦⑧⑧
15,14,Ｎシルククリエイタｰ, 38,大野拓, 3.2, 31, -18, -19,13,346.8, ⑮⑮,15, 9,Ｏマスタｰプリムラ, 23,小野寺, 6.8, 27,  -4, -39,15,644.2,⑭⑭⑮,15,13,Ｅトｰセンドンファン, 70,中舘英, 2.7, 52,*  9, -46,10, 44.9,⑤⑤⑥,15, 6,Ｉゴｰルドロジャｰ, 73,大野拓, 1.7, 59,*  7,  -9, 6, 16.4,④③②
16, 4, クニサキファｰガン,---,武士沢,11.7,11.7---, -91, -58,15,498.1, ⑯⑯,16,12, ポリフォニｰ,---,村田一, 6.8, 23,  -6, -35,14,417.3,⑯⑯⑯,16,11,Ｊマイネルシュライ, 65,松岡正, 3.9, 45,*  9, -62, 6, 16.1,⑥③②,16, 7,Ｌボンジュｰルキセキ, 64,中舘英, 4.3, 45,*  8, -32,11, 60.8,①①⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
