11年 1月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,頌春賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｄシャイニングカラｰ, 59,内田博,, 59,*  2,*  6, 4,  9.3,③④②, 1, 7,Ｄインプレザリオ, 55,蛯名正,, 55,* -3, -12, 1,  1.7,②②②, 1, 1,Ａベストバウト, 75,田辺裕,, 83,* 17,*  6, 1,  3.0, ①①, 1, 4,Ｂダンスファンタジア, 75,クラス,, 78,  16,* -8, 1,  2.3,⑦⑨⑦
 2, 5,Ｂトップストライド, 66,蛯名正, 0.0, 59,  -1,* 11, 5, 10.8,⑫⑨⑤, 2, 4,Ｆマイネルマｰク, 53,松岡正, 0.0, 56,  -4,  -8, 6, 23.3,⑥⑤⑤, 2, 3,Ｂケイアイカミｰリア, 72,吉田隼, 1.1, 74,* 15,  -1, 2,  4.4, ②②, 2,13,Ｈスピｰドリッパｰ, 63,北村宏, 0.4, 73,  18, -16, 7, 20.3,⑥⑦④
 3, 6,Ｅレッフェルン, 58,北村宏, 0.1, 57,   0,*  7, 3,  6.6,④⑥④, 3, 6,Ｃルイｰザシアタｰ, 58,内田博, 0.0, 57,* -3,  -9, 4, 15.2,⑤④③, 3,12,Ｄコスモイルダｰナ, 71,ベリｰ, 1.3, 66,   5,*  6, 6, 13.5, ⑩⑩, 3, 1,Ｃアドマイヤセプタｰ, 70,川田将, 0.4, 74,* 19, -19, 2,  4.5,④④③
 4,12,Ｃダイワルｰツ, 63,後藤浩, 0.2, 54,*  3,   2, 1,  1.9,②②③, 4, 1,Ｂヴェラシティ, 61,北村宏, 0.3, 52,  -7,* -5, 2,  3.7,⑩⑫⑩, 4, 9,Ｆスパラｰト, 68,蛯名正, 1.5, 69,  13,  -2, 3,  4.7, ④③, 4, 9,Ｆピュアブリｰゼ, 65,内田博, 0.6, 73,  18, -19, 4,  8.3,⑤⑥⑥
 5,16,Ａディｰエスコンドル, 66,三浦皇, 0.9, 51,*  3,  -4, 2,  3.7,①①①, 5, 9,Ｅカズノトウショウ, 54,江田照, 0.3, 55,  -4,  -9, 5, 20.8,⑧⑦⑥, 5,16,Ｃジュンノアスカ, 72,大庭和, 1.8, 61,   1,   5, 9, 53.5, ⑫⑪, 5,10,Ｍヤマノラヴ, 56,的場勇, 0.8, 68,  16, -19,14,169.2,⑩⑩⑩
 6,11,Ｆバシリクス, 52,丸田恭, 1.6, 45,   0,  -4, 6, 50.9,⑩⑧⑧, 6, 3,Ｈホッコｰブレｰヴ, 50,田辺裕, 0.5, 50,  -8,* -3, 8, 41.8,⑭⑭⑭, 6,14,Ｋポリティカルパワｰ, 60,丸山元, 2.0, 61,   7,  -2, 5,  7.4, ⑨⑨, 6, 8,Ｊマイネイディｰル, 59,津村明, 0.9, 66,  16, -22, 5, 19.5,⑨⑧⑧
 7,13,Ｉコスモキズナ, 48,ベリｰ, 2.1, 43,*  2, -13, 9, 71.8,⑥③⑥, 7, 8,Ｊエメラルタｰボ, 49,的場勇, 0.5, 49,* -3, -18, 7, 36.6,③③④, 7,13,Ｎハヤブサイッポン, 46,川田将, 2.0, 58,  -4,*  8,12,106.8, ⑯⑭, 7, 2,Ｉコスモバタフライ, 59,丹内祐, 0.9, 70,   0,*  7,11, 85.5,⑯⑯⑯
 8, 4,Ｈダｰバンシチｰ, 50,江田照, 2.1, 45,  -3,  -3,10, 94.3,⑦⑩⑪, 8, 5,Ｌキソウテンガイ, 40,中谷雄, 0.8, 50,  -6,  -9,10,111.5,⑮⑮⑬, 8, 6,Ｍカワキタラブポップ, 55,津村明, 2.1, 60,   8,  -4, 8, 39.8, ⑦⑦, 8, 5,Ｏフラワｰロック, 54,中舘英, 0.9, 69,  14, -16,13,147.2,⑭⑫⑪
 9, 8,Ｋグランデアトレ, 45,武英智, 2.2, 43,   2, -12, 7, 52.3,⑬⑤⑨, 9,11,Ａディｰプスノｰ, 65,柴山雄, 0.9, 46,  -5, -16, 3,  7.0,⑪⑪⑫, 9, 2,Ｌティアップエｰス, 58,石橋脩, 2.1, 58,  -3,*  8,11, 88.4, ⑮⑬, 9, 7,Ｅピュアオパｰル, 67,蛯名正, 1.0, 68,* 20, -26, 8, 23.2,③③⑤
10, 2,Ｌコスモロロ, 40,丹内祐, 2.2, 46,  -3,  -4,13,252.4,⑭⑪⑩,10,15,Ｏトップモｰスト, 29,西田雄, 0.9, 47,* -1, -28,12,223.1,①①①,10,10,Ｊビｰビｰボルト, 61,田中博, 2.1, 63,   9,  -5,10, 79.7, ⑥⑥,10, 6,Ａビｰビｰバカラ, 76,松岡正, 1.0, 67,   8,* -9, 6, 20.0,⑮⑮⑮
11, 9,Ｊエドノフレｰザ, 48,吉田豊, 2.7, 39,  -4,  -5,16,327.7,⑯⑭⑫,11,10,Ｇグッドフライト, 51,丸山元, 1.7, 41,  -5, -26,11,113.4,⑨⑩⑪,11, 8,Ｇフジマサボｰイ, 65,柴山雄, 2.2, 56,   0,   3,15,194.3, ⑬⑫,11,14,Ｇバラｰドソング, 64,田中勝, 1.0, 67,  17, -22,12,137.9,⑧⑪⑬
