11年 7月23日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月23日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9,10,Ｄマイネルアクロス, 51,柴田大, 1.1, 35,* -9, -15, 6, 20.2, ④⑥, 9,14, エアキリヤン,,横山義,190.1,,,, 7, 42.7,④⑥⑦, 9, 8,Ｇケイアイカミノコエ, 56,北村宏, 1.8, 49,  -3,  -8, 8, 34.5, ⑥⑥, 9, 1,Ｄイチエイクリッパｰ, 79,田辺裕, 0.9, 68,   3,   2, 4,  6.7, ⑨⑨
10, 3,Ｐラトマティｰナ, -8,小野寺, 1.6, 34, -18,  -6,16,663.3, ⑯⑯,10, 5, トｰセンチドリアシ,,石神深,224.3,,,,14,174.8,⑬⑩⑩,10,13,Ｊミスファイアｰ, 52,村田一, 2.0, 46, -12,  -1, 9,119.8, ⑬⑭,10, 6,Ｃタイキジャガｰ, 80,北村宏, 1.3, 66,   5,  -3, 7, 20.1, ⑥⑥
11,11,Ｌリズムディヴァイン, 25,武士沢, 1.6, 34, -15, -10, 9, 97.9, ⑮⑭,,,,,,,,,,,,,11, 5,Ｄタカミツグリｰン, 63,中舘英, 2.2, 45, -17,   1, 7, 26.4, ⑮⑮,11, 2,Ｏブラックルｰラｰ, 70,松岡正, 1.4, 64,   1,   0,14, 91.8, ⑫⑫
12, 2,Ｋミスワｰルド, 25,木幡初, 2.2, 26, -17, -16,15,513.1, ⑭⑮,,,,,,,,,,,,,12,10,Ｏヴィグラスハンタｰ, 19,平野優, 2.4, 44, -13,  -4,10,152.6, ⑭⑫,12,13,Ｍクィｰンオブライフ, 73,武豊  , 1.7, 62,   8,  -9, 3,  5.7, ④④
13,15,Ｊアエロｰ, 29,嶋田純, 3.0, 13,*-10, -43,12,308.7, ⑥④,,,,,,,,,,,,,13, 6,Ｌイｰグルフォンテン, 44,大庭和, 3.2, 37,  -3, -20,12,176.6, ⑦⑧,13,14,Ｂユメノキズナ, 80,石橋脩, 1.8, 60,   5,  -7,10, 32.2, ⑦⑦
14, 6,Ｆクラウンエリザベス, 39,江田照, 3.2, 12, -12, -40,11,165.5, ⑪⑩,,,,,,,,,,,,,14,14,Ｎサウスオブワｰルド, 40,杉原誠, 3.3, 35,  -9, -15,14,351.2, ⑪⑬,14, 7,Ｌワンモアグリッタｰ, 74,武士沢, 2.0, 58,   3,  -7,15,390.3, ⑩⑩
15, 9,Ｍステイロｰズ, 22,平野優, 3.6, 10,* -8, -56,13,389.6, ①①,,,,,,,,,,,,,15, 1,Ｋタイセイブｰケ, 45,小野寺, 3.4, 36, -12, -14,13,230.1, ⑫⑪,15, 8,Ｆガンドッグ, 79,蛯名正, 2.9, 51,*  9, -20, 1,  3.8, ③③
16,14,Ｎエタニティ, 17,伊藤工, 4.2, -7,*-10, -61,14,484.4, ⑤③,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
"単勝:750円 複勝:07=280円 13=290円 08=180円 枠連:1,840円",,,,,,,,,,,,"単勝:600円 複勝:08=190円 06=110円 02=1,750円 枠連:430円",,,,,,,,,,,,"単勝:1,090円 複勝:15=240円 04=180円 11=110円 枠連:3,810円",,,,,,,,,,,,"単勝:420円 複勝:11=190円 15=730円 03=840円 枠連:2,470円",,,,,,,,,,,
"馬連:4,400円 ワイド:07-13=1,400円 07-08=770円 08-13=750円",,,,,,,,,,,,"馬連:470円 ワイド:06-08=250円 02-08=6,340円 02-06=2,250円",,,,,,,,,,,,"馬連:3,920円 ワイド:04-15=820円 11-15=430円 04-11=250円",,,,,,,,,,,,"馬連:4,870円 ワイド:11-15=1,810円 03-11=1,970円 03-15=10,930円",,,,,,,,,,,
"馬単:8,060円 3連複:6,840円 3連単:52,360円",,,,,,,,,,,,"馬単:1,440円 3連複:11,020円 3連単:56,220円",,,,,,,,,,,,"馬単:9,700円 3連複:1,870円 3連単:24,460円",,,,,,,,,,,,"馬単:8,100円 3連複:49,350円 3連単:206,420円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝2200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,日本海ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｇセミニョン, 54,石橋脩,, 66,*  1,  -2,10, 70.3,①①①, 1,14, ジャスタウェイ,---,福永祐,, 63,*-20,* 12, 4,  6.4, ④③, 1, 8,Ｅマイネルウｰノ, 67,柴田大,, 80,  -2,* 15, 6, 16.5,⑦⑧⑧, 1, 4,Ｍポルカマズルカ, 71,石橋脩,, 87,* 18,   0,11, 49.0,③④④
 2, 7,Ｂルｰジュ, 65,蛯名正, 0.0, 68,  -2,*  5, 1,  2.2,⑤⑤④, 2,10, ラパｰジュ,---,中舘英, 0.8, 54, -23,   5, 6, 12.8, ⑨⑦, 2, 1,Ａエイシンブイダンス, 78,高倉稜, 0.3, 81,  -5,* 19, 4,  5.9,⑭⑮⑮, 2, 8,Ｆコスモラピュタ, 81,柴田大, 0.0, 85,* 19,  -7, 1,  2.7,①①①
 3, 6,Ａレイテッド, 67,田辺裕, 0.3, 63,*  0,  -1, 2,  2.8,②②②, 3,15, ウイングドウィｰル,---,木幡初, 0.8, 51,*-20,   0,11, 45.9, ②②, 3, 3,Ｈヒラボクビクトリｰ, 63,福永祐, 0.3, 72,*  1,   2, 1,  3.7,②②②, 3,11,Ｅエｰブチェアマン, 82,蛯名正, 0.3, 86,  13,   9, 2,  3.5,⑦⑥⑥
 4,12,Ｈコスモウィッシュ, 53,大野拓, 0.4, 66,  -1,   2,11,113.4,⑥⑥⑥, 4, 7, シルクドリｰマｰ,---,北村宏, 0.8, 53, -22,   5,10, 38.8, ⑥⑥, 4,15,Ｎスリｰケインズ, 60,西田雄, 0.3, 78,  -4,* 16,15,113.9,⑯⑭⑬, 4, 5,Ｊアロマカフェ, 79,武豊  , 0.5, 83,  11,  10, 4, 10.7,⑧⑧⑦
 5, 8,Ｅオｰガストウェイ, 58,福永祐, 0.5, 65,  -3,*  3, 5, 14.0,⑨⑧⑨, 5,13, ウインフロレゾン,---,田辺裕, 0.9, 51, -24,   6, 5, 11.8, ⑫⑪, 5, 5,Ｂネオサクセス, 71,大野拓, 0.4, 77,  -3,  12, 3,  4.8,⑩⑪⑪, 5, 2,Ｈネコパンチ, 80,西田雄, 0.5, 81,* 18, -10, 7, 14.8,②②②
 6, 5,Ｋハｰトノイヤリング, 36,田中勝, 0.6, 61,  -3,   0, 7, 38.2,⑦⑦⑦, 6, 5, リアルフレア,---,柴田善, 0.9, 56, -27,* 12, 2,  4.4, ⑭⑭, 6, 6,Ｄテルバイク, 68,松岡正, 0.6, 73,  -2,   6, 2,  4.7,⑥⑦⑦, 6, 6,Ａアサティスボｰイ, 84,江田照, 0.6, 81,  14,   0, 5, 11.9,⑤⑤⑤
 7,11,Ｃリアルボイス, 64,伊藤工, 0.8, 59,* -1,  -7, 3,  6.9,③③③, 7, 3, マイネルピトレスク,---,武士沢, 1.4, 46, -24,  -1,14,140.2, ⑧⑨, 7,17,Ｋナンデヤネン, 61,平野優, 0.8, 67,* -1,  -1,12,109.7,⑧⑥⑥, 7,12,Ｌディアアレトゥｰサ, 77,北村宏, 0.7, 79,* 18, -10, 8, 22.6,④③③
 8, 9,Ｄメギｰビｰ, 61,北村宏, 0.9, 59,  -3,  -2, 4, 12.7,⑩⑩⑧, 8,12, コスモアンドロメダ,---,柴田大, 1.5, 42, -21,  -7, 7, 19.8, ⑦⑤, 8,11,Ｉテンベアハｰト, 62,田辺裕, 0.9, 67,  -2,   2, 5,  8.6,⑰⑨⑨, 8,13,Ｂレッドスパｰクル, 84,松岡正, 1.1, 78,   8,  10, 3,  6.8,⑩⑨⑨
 9, 2,Ｆダイワスプレンダｰ, 58,柴田大, 1.2, 58,  -4,  -4, 8, 43.5,⑧⑪⑪, 9, 9, ハタノアブソルｰト,---,蛯名正, 1.5, 40,*-19, -12, 3,  5.0, ①①, 9,16,Ｇトｰセンマルゴｰ, 66,武士沢, 1.2, 66,  -3,   0,11,104.6,⑪⑫⑫, 9, 3,Ｃショウナンアクロス, 83,柴田善, 1.5, 74,   5,* 11, 6, 13.3,⑫⑫⑫
10, 3,Ｊニシノヒナギク, 45,嶋田純, 2.5, 42,  -2, -30, 9, 69.9,④④⑤,10,11, エアロケット,---,田中勝, 1.6, 41, -23,  -6, 8, 21.3, ⑪⑩,10, 7,Ｃシルクペガサス, 69,田中勝, 1.3, 60,*  0, -10, 9, 27.5,③③③,10,10,Ｇバアゼルリバｰ, 80,田辺裕, 1.6, 72,   3,* 16,10, 44.3,⑬⑬⑬
11, 1,Ｉモンステラ, 47,江田照, 2.8, 40,  -3, -30, 6, 19.4,⑪⑨⑩,11, 8, プレミアムタイム,---,松岡正, 1.8, 44, -28,   2, 1,  3.4, ⑮⑮,11, 4,Ｑアンシャンテルｰル, 55,杉原誠, 1.3, 70,  -7,  10,14,112.9,⑬⑯⑯,11, 1,Ｄアヴェンティｰノ, 83,福永祐, 1.8, 71,   7,   4, 9, 41.7,⑪⑪⑪
12,10, ドラマチックメリア,---,武士沢, 3.7, 34, -10, -27,12,134.6,⑫⑫⑫,12,16, メイショウカドマツ,---,石橋脩, 2.2, 34, -24, -13, 9, 30.2, ⑩⑫,12,13,Ｍライジングエｰス, 60,嶋田純, 1.3, 61,* -1,  -8, 7, 18.0,⑤⑤⑤,12, 9,Ｉキングスパｰク, 79,村田一, 1.8, 69,  11, -10,13,102.4,⑥⑦⑧
,,,,,,,,,,,,13, 1, マイネルリヒト,---,大野拓, 3.7, 15, -24, -35,12, 50.4, ⑤⑧,13,10,Ｆヴァルドルフ, 67,小林淳, 1.5, 61,  -3,  -3,17,119.8,⑨⑩⑩,13, 7,Ｋシグナリオ, 78,嶋田純, 1.8, 71,   7,   4,12, 77.7,⑨⑩⑩
,,,,,,,,,,,,14, 6, カネトシコミット,---,江田照, 4.7, 13, -43, -15,13,125.1, ⑯⑯,14,12,Ｏディアドクタｰ, 59,石橋脩, 1.6, 59,*  0, -12, 8, 22.6,④④④,,,,,,,,,,,,
,,,,,,,,,,,,15, 2, クラウンカミｰノ,---,小林淳, 5.4,-16,*-20, -67,16,279.9, ③④,15, 9,Ｐウォッチバレｰ, 56,江田照, 1.7, 62,  -4,  -2,13,111.4,⑫⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,16, 4, カリエンニキテス,---,西田雄, 5.8,-17, -28, -59,15,211.5, ⑬⑬,16,14,Ｌフｰガフュｰグ, 60,中舘英, 2.5, 49,*  1, -31,10, 45.5,①①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 2,Ｊイｰグルドライヴ, 62,北村宏, 3.8, 41,  -7, -25,16,115.3,⑮⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,
"単勝:7,030円 複勝:04=910円 07=110円 06=120円 枠連:6,970円",,,,,,,,,,,,"単勝:640円 複勝:14=260円 10=360円 15=1,110円 枠連:880円",,,,,,,,,,,,"単勝:1,650円 複勝:08=400円 01=180円 03=190円 枠連:2,180円",,,,,,,,,,,,"単勝:4,900円 複勝:04=860円 08=140円 11=150円 枠連:1,310円",,,,,,,,,,,
"馬連:7,810円 ワイド:04-07=1,550円 04-06=1,680円 06-07=150円",,,,,,,,,,,,"馬連:4,390円 ワイド:10-14=1,380円 14-15=3,230円 10-15=5,920円",,,,,,,,,,,,"馬連:3,710円 ワイド:01-08=1,250円 03-08=1,070円 01-03=520円",,,,,,,,,,,,"馬連:7,480円 ワイド:04-08=2,040円 04-11=2,820円 08-11=260円",,,,,,,,,,,
"馬単:22,380円 3連複:3,810円 3連単:67,310円",,,,,,,,,,,,"馬単:8,400円 3連複:59,870円 3連単:298,890円",,,,,,,,,,,,"馬単:8,890円 3連複:4,770円 3連単:45,730円",,,,,,,,,,,,"馬単:22,870円 3連複:8,000円 3連単:84,250円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  芝1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,三国特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａレッドオブガバナｰ, 66,伊藤工,, 63,*  1,   8, 1,  1.9,⑩③③, 1, 1, ダンスインザマミｰ,---,松岡正,, 58, -39,* 15, 2,  4.3,   , 1, 3,Ａグランドシチｰ, 82,石橋脩,, 83,   1,* 25, 1,  2.7,⑥⑥⑥, 1, 6,Ｃアｰバンウィナｰ, 73,田中勝,, 82,   2,* 10, 1,  3.7, ⑪⑦
 2, 3,Ｃタツサイゴン, 63,村田一, 0.0, 60,*  1,   6, 5, 11.9,①①①, 2, 4, ワンパクテンシ,---,田辺裕, 0.4, 47, -24,  -2, 5,  6.9,   , 2, 6,Ｃエクストラセック, 79,蛯名正, 0.5, 78,*  3,  18, 3,  5.1,④③②, 2,18,Ｂグレｰトマｰシャル, 73,高倉稜, 0.1, 81,   0,* 12, 4,  6.3, ⑭⑪
 3,15,Ｄコスモレッドアイ, 61,松岡正, 0.1, 62,*  2,   6, 3,  6.4,②②②, 3, 6, メモリアビアンカ,---,蛯名正, 0.8, 41,*-19, -10, 1,  2.9,   , 3, 2,Ｆメイショウスクラム, 77,武豊  , 0.7, 79,   1,* 20, 5, 13.7,⑧⑦⑧, 3,10,Ｉカルマｰト, 65,福永祐, 0.5, 73,*  4,  -3, 6,  7.9, ②②
 4, 5,Ｌクｰルヴェント, 51,蛯名正, 0.4, 59,   0,   6, 2,  6.1,③④④, 4, 5, フォｰマリスト,---,小野寺, 1.0, 36, -24, -10, 6, 18.7,   , 4, 4,Ｂブレイクチャンス, 80,田中勝, 1.0, 76,   1,  17, 2,  3.6,⑦⑧⑦, 4, 8,Ｈアサクサポイント, 67,田辺裕, 0.9, 67,*  3,  -6, 2,  5.3, ⑧④
 5,10,Ｂアウトヒット, 66,大野拓, 0.8, 57,  -5,* 12, 9, 33.8,⑭⑭⑫, 5, 7, ラブスリｰ,---,北村宏, 1.9, 30, -59,   1, 4,  4.9,   , 5, 5,Ｈイノセントリｰサム, 76,北村宏, 1.1, 75,   2,  15, 6, 22.8,③④⑤, 5,14,Ｇエクセリオン, 68,柴田善, 1.0, 70,   0,  -2, 7, 12.9, ⑬⑩
 6, 8,Ｇバットゥｰタ, 58,高倉稜, 0.9, 58,  -7,* 14,14,326.3,⑮⑮⑮, 6, 3, イデアシュリュｰ,---,村田一, 2.4, 14, -32, -24, 7, 31.7,   , 6,14,Ｍミトラ, 69,松岡正, 1.2, 73,*  3,  11, 8, 29.2,②②①, 6, 5,Ｍマイネルヴァルム, 61,大野拓, 1.1, 70,  -3,   2,10, 35.8, ⑩⑬
 7, 7,Ｆシャンドゥリエ, 60,杉原誠, 1.1, 58,  -5,* 11,12,155.3,⑬⑫⑬, 7, 2, アポロエトワｰル,---,西田雄, 3.2,  2, -67, -11, 3,  4.4,   , 7, 7,Ｇトウカイライフ, 76,村田一, 1.5, 72,   1,  14, 9, 30.8,⑨⑨⑨, 7, 3,Ｊファンフェア, 65,武豊  , 1.1, 68,   0,  -3, 3,  5.9, ⑥⑧
 8, 2,Ｋコスモチャｰトイン, 55,柴田大, 1.1, 55,  -1,   3,13,156.3,⑥⑦⑤, 8, 8, ベルモントブレイク,---,大野拓, 3.3,  0, -84,  -2, 8, 75.4,   , 8,10,Ｊベジャｰルコｰド, 74,中舘英, 2.2, 65,*  4,   2, 7, 24.0,①①③, 8,16,Ｄソヴリン, 71,江田照, 1.3, 66,  -3,  -2,13,182.5, ⑫⑭
 9,11,Ｉサンデンマックス, 57,嶋田純, 2.4, 46,  -1, -10, 7, 21.8,④⑤⑦,,,,,,,,,,,,, 9,12,Ｅアサクサマリンバ, 77,福永祐, 2.3, 68,   0,  10, 4,  9.0,⑩⑫⑫, 9, 9,Ｆドリｰムネイチヤｰ, 69,柴田大, 1.4, 63,*  3, -14, 9, 32.7, ⑤③
10, 1,Ｅキザ, 61,福永祐, 2.5, 48,  -3,  -3, 6, 13.6,⑨⑪⑪,,,,,,,,,,,,,10,11,Ｉホウショウマツエ, 74,木幡初, 2.3, 67,   0,  10,14,348.5,⑭⑪⑩,10, 1,Ａコスモカンタｰビレ, 74,松岡正, 1.5, 66,  -4,  -2, 5,  7.1, ⑮⑯
11, 4,Ｏガル, 45,田中勝, 2.7, 46,  -4,  -6, 4, 10.6,⑪⑩⑩,,,,,,,,,,,,,11,15,Ｋフェバリットアワｰ, 71,横山義, 2.9, 61,   2,  -1,12,124.2,⑤⑤④,11, 4,Ｏハッピｰデュランダ, 54,大庭和, 1.5, 66,  -4,   0,12,180.9, ⑰⑰
12,14,Ｊニシノテンコウ, 56,北村宏, 2.9, 43,   0, -14, 8, 32.9,⑦⑥⑥,,,,,,,,,,,,,12, 9,Ｎヒズラストノｰト, 63,田辺裕, 2.9, 63,  -2,   7,11, 53.1,⑫⑬⑬,12, 7,Ｎトミケンヴァｰスト, 59,武士沢, 1.7, 65,  -4,  -3,17,412.2, ⑯⑱
13,12,Ｈエｰシンセントラル, 57,田辺裕, 3.0, 42,  -2, -12,10, 51.2,⑧⑨⑨,,,,,,,,,,,,,13,13,Ｄドビュッシｰ, 79,柴田善, 3.0, 64,  -2,   7,10, 31.0,⑮⑭⑭,13,12,Ｐユウタｰウェｰヴ, 53,村田一, 1.7, 59,  -1, -11,11, 96.2, ⑦⑨
14, 6,Ｍファインセンス, 51,平野優, 3.1, 42,  -2, -13,11,137.4,⑤⑧⑧,,,,,,,,,,,,,14, 1,Ｏフィｰルザタレント, 58,穂苅寿, 3.2, 61,  -1,   3,15,559.4,⑪⑩⑪,14,11,Ｅトレノソルｰテ, 70,小野寺, 2.0, 55,   1, -20, 8, 31.2, ③⑤
15,13,Ｎスタンドアップ, 48,小野寺, 3.3, 44,  -5,  -9,15,893.4,⑫⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｑセクシｰキララ, 47,杉原誠, 2.1, 54,   0, -19,16,323.7, ④⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｋマルタｰズクリス, 63,小林淳, 2.5, 49,  -3, -19,15,300.2, ⑨⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,Ｌヴィｰヴァマンボ, 63,中舘英, 2.5, 54,  -2, -17,18,471.1, ⑱⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,Ｒフェスティヴハッピ, 35,嶋田純, 5.8,  5,*  3, -80,14,206.0, ①①
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,
