11年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:2,720円 3連複:1,550円 3連単:9,170円",,,,,,,,,,,,"馬単:1,570円 3連複:4,120円 3連単:16,320円",,,,,,,,,,,,"馬単:1,370円 3連複:3,200円 3連単:12,460円",,,,,,,,,,,,"馬単:1,610円 3連複:3,010円 3連単:13,280円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-19,,,,,■ 5R  ダ2400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  芝1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■11R  芝1800m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小倉大賞典 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａビップセンノセン, 61,北村友,, 65,*  4,*  2, 1,  1.4, ①①, 1, 8,Ｂニシノスロｰン, 74,浜中俊,, 74,*  3,* 14, 1,  3.0,②②②, 1,17,Ｂドリｰムピｰチ, 72,西村太,, 70, -10,* 14, 3,  4.9, ⑯⑭, 1,10,Ｊサンライズベガ, 84,秋山真,, 91,  16,  12, 6, 19.7,⑤⑥⑤
 2, 9,Ｂヴィゴラスブレイン, 59,小野寺, 0.7, 58,   0,  -2, 2,  4.8, ③③, 2, 3,Ｄメイショウロッコｰ, 70,勝浦正, 0.2, 73,   2,* 14, 6, 16.6,③③③, 2,11,Ｋフェリキタｰス, 63,大野拓, 0.4, 66,  -6,   4,10, 27.6, ⑫⑩, 2,14,Ｇバトルバニヤン, 86,藤岡康, 0.0, 94,  15,* 15, 9, 30.1,⑪⑨⑥
 3, 8,Ｅアキノランラン, 46,川須栄, 0.8, 58,*  3,  -5, 4, 11.3, ②②, 3, 1,Ｃシルクマッドネス, 73,川須栄, 0.5, 72,   2,  13, 3,  5.1,⑧⑧⑧, 3,16,Ｈソムニア, 67,川須栄, 0.5, 64,  -2,  -1, 2,  4.8, ⑩⑧, 3, 3,Ａリルダヴァル, 92,リスポ, 0.0, 92,* 18,  10, 1,  2.7,⑥⑤④
 4,12,Ｈサクラメアリ, 43,吉田隼, 1.0, 56,  -3,  -3, 5, 24.0, ⑥⑥, 4, 6,Ｅドラゴンソニック, 70,黛弘人, 0.8, 71,   2,  11, 4,  5.8,⑥⑦⑦, 4, 2,Ｉマルセイユシチｰ, 65,リスポ, 0.6, 63,   1,  -5, 1,  3.9, ⑥③, 4, 6,Ｉスマｰトステｰジ, 85,田中博, 0.2, 92,  15,  13,10, 32.4,⑯⑧⑧
 5,11,Ｌミスグロリアス,-41,丸田恭, 1.6, 45, -16,*  0, 3, 10.1, ⑫⑫, 5, 7,Ｆエルブｰルズ, 69,古川吉, 0.9, 68,*  2,   7, 7, 19.6,④④④, 5,12,Ｆカリスマテｰラｰ, 68,西田雄, 0.6, 62,  -2,  -2, 9, 26.4, ⑨⑪, 5, 9,Ｄサンライズマックス, 88,武幸四, 0.2, 93,  11,* 21, 5, 13.1,⑭⑯⑮
 6, 2,Ｄキクノルナ, 47,野元昭, 1.7, 47,  -5,  -8, 8, 74.2, ④④, 6, 5,Ｈシルバｰビｰト, 60,丸田恭, 0.9, 68,   2,   9, 8, 54.7,⑤⑥⑥, 6, 8,Ｑマルタカボｰイス, 50,赤木高, 0.7, 61, -16,*  9,17,239.5, ⑱⑱, 6, 7,Ｏマヤノライジン, 78,古川吉, 0.3, 89,  12,* 16,14,154.1,⑫⑬⑩
 7, 3,Ｃレモンバｰベナ, 49,荻野琢, 1.8, 46,  -5,  -9, 7, 67.3, ⑤⑤, 7, 4,Ｇサイカニア, 66,リスポ, 1.1, 66,*  3,   4, 2,  3.4,①①①, 7,18,Ｍクルタナ, 57,中舘英, 0.8, 61,   2,  -8, 6, 21.4, ⑤⑥, 7, 2,Ｃナリタクリスタル, 90,幸英明, 0.4, 89,  15,   9, 2,  3.1,⑧⑩⑪
