11年12月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ｻﾝﾀｸﾛｰｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂラガｰトモヒｰロ, 64,後藤浩,, 66,*  5,*  3, 4,  9.0, ③③, 1,12,Ｎウイングザムｰン, 49,飯田祐,, 65,   8,* -8, 7, 28.8, ⑧⑦, 1,14,Ｄシェｰカｰ, 74,後藤浩,, 73,   2,*  9, 3,  7.1, ⑥④, 1,13,Ｇサンカルロ, 90,吉田豊,, 91,   9,* 15, 4,  9.8, ⑪⑨
 2,13,Ｅエイシントラベラｰ, 57,岩田康, 0.3, 63,*  5,  -1, 3,  4.1, ①①, 2,16,Ｅセシリア, 58,浜中俊, 0.1, 64,  10, -13, 4, 11.3, ⑥⑤, 2,12,Ｊワンダｰフォルテ, 69,武豊  , 0.0, 73,   2,*  9, 4,  7.2, ④③, 2,16,Ｆグランプリボス, 90,デムｰ, 0.0, 92,  10,* 14, 5, 10.4, ⑧⑧
 3, 2,Ｈダンシングミッシｰ, 50,吉田豊, 0.3, 62,  -2,*  6,10,149.9, ⑦⑥, 3,11,Ｊデイジｰバロｰズ, 53,幸英明, 0.4, 61,   8, -13,10, 53.9, ⑩⑩, 3, 2,Ａレディオブパｰシャ, 75,幸英明, 0.1, 73,*  4,   6, 2,  4.4, ①①, 3, 8,Ｍフラガラッハ, 85,武豊  , 0.3, 87,   2,* 20,13, 57.4, ⑰⑰
 4, 5,Ｄメイショウヒデタダ, 58,佐藤哲, 0.5, 61,   1,*  2, 5, 10.1, ⑥⑤, 4, 1,Ｉマｰチャンテイマｰ, 54,川田将, 0.5, 59,   8, -14, 5, 13.1, ⑨⑧, 4, 7,Ｆサルココッカ, 73,高倉稜, 0.2, 73,*  3,   7, 7, 13.1, ②②, 4,11,Ａマルセリｰナ, 97,ルメｰ, 0.4, 87,   8,  11, 3,  6.6, ⑫⑫
 5,15,Ａクルｰジンミジｰ, 67,福永祐, 1.3, 54,   2,  -7, 1,  2.2, ④④, 5,13,Ｄサトノジョリｰ, 58,岩田康, 0.5, 60,   4,* -8, 8, 52.2, ⑮⑭, 5, 5,Ｃキクノレジｰナ, 74,岩田康, 0.3, 71,   2,   7, 1,  3.6, ③⑤, 5, 9,Ｅシルポｰト, 92,幸英明, 0.6, 85,  11,   5, 6, 15.6, ⑥⑥
 6, 3,Ｃイｰグルタイム, 60,北村友, 1.3, 54,  -1,  -4, 2,  4.0, ⑤⑦, 6,17,Ａオメガセニョリｰナ, 67,ルメｰ, 0.5, 59,* 11, -20, 2,  3.1, ③④, 6, 8,Ｂタオ, 75,デムｰ, 0.5, 67,  -2,   8, 5,  8.1, ⑧⑥, 6, 4,Ｉガルボ, 88,藤田伸, 0.6, 86,  13,   2,11, 33.9, ④⑤
 7,14,Ｇアブクマペレ, 55,小牧太, 1.6, 51,*  4, -12, 7, 64.9, ②②, 7, 3,Ｆエｰシンスピカ, 57,福永祐, 0.6, 58,   5, -13, 3,  7.3, ⑫⑫, 7,15,Ｅシゲルケンシン, 73,北村友, 0.7, 67,  -6,* 11, 6,  9.7, ⑯⑮, 7, 3,Ｋエｰシンフォワｰド, 87,岩田康, 0.7, 84,  10,   5, 9, 25.4, ⑦⑦
 8, 1,Ｎヴォワドランジュ, 37,渡辺薫, 1.7, 51,  -6,  -3,13,203.4, ⑩⑨, 8, 7,Ｋシゲルトマト, 51,国分恭, 0.6, 58,   8, -15,11, 66.3, ⑦⑨, 8, 1,Ｉケンタッキｰロｰド, 70,池添謙, 0.7, 67,  -1,   6,11, 45.1, ⑦⑧, 8,10,Ｎヤマカツハクリュウ, 85,後藤浩, 0.7, 83,   6,  10, 8, 23.5, ⑭⑬
 9,11,Ｉヴァップ, 49,幸英明, 1.7, 52,  -5,  -4, 9, 74.3, ⑨⑩, 9, 9,Ｈアプフェルヴァイン, 56,池添謙, 0.7, 58,   6, -13, 6, 19.2, ⑬⑬, 9, 3,Ｇキングダムキング, 73,石橋脩, 0.8, 66,  -6,* 10, 9, 31.9, ⑮⑯, 9, 6,Ｈオセアニアボス, 90,石橋脩, 0.8, 82,   6,   8,10, 27.2, ⑬⑮
