11年10月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,13, 4,Ａスマイルバラッド, 73,平野優, 2.2, 51,  15, -22, 2,  4.6, ③④,,,,,,,,,,,,,13, 9,Ｄディアマンボウ, 80,柴山雄, 1.9, 64,  15, -12,10, 19.8, ④⑧
,,,,,,,,,,,,14, 2,Ｎフェスティヴハッピ, 50,西村太, 3.9, 33,   4, -27,13,353.9, ⑫⑬,,,,,,,,,,,,,14,11,Ｍダイナミズム, 67,大野拓, 2.1, 60,  10,  -8,12, 52.8, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｏピイエフドルチェ, 47,鮫島良, 2.6, 57,   6,  -9,15,505.4, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:重(指数:-4),,,,,,,,,,,
単勝:450円 複勝:02=120円 06=110円 04=130円 枠連:440円,,,,,,,,,,,,"単勝:2,740円 複勝:10=820円 07=200円 12=360円 枠連:1,530円",,,,,,,,,,,,単勝:470円 複勝:07=160円 04=170円 01=200円 枠連:730円,,,,,,,,,,,,"単勝:350円 複勝:07=180円 03=590円 12=240円 枠連:2,360円",,,,,,,,,,,
馬連:420円 ワイド:02-06=160円 02-04=220円 04-06=150円,,,,,,,,,,,,"馬連:5,880円 ワイド:07-10=2,060円 10-12=4,610円 07-12=1,110円",,,,,,,,,,,,馬連:960円 ワイド:04-07=360円 01-07=430円 01-04=450円,,,,,,,,,,,,"馬連:9,340円 ワイド:03-07=2,450円 07-12=670円 03-12=4,150円",,,,,,,,,,,
"馬単:1,120円 3連複:300円 3連単:2,410円",,,,,,,,,,,,"馬単:18,560円 3連複:21,050円 3連単:168,640円",,,,,,,,,,,,"馬単:1,800円 3連複:1,790円 3連単:8,380円",,,,,,,,,,,,"馬単:15,060円 3連複:22,130円 3連単:117,740円",,,,,,,,,,,
