11年10月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1300m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 2, 3,Ａダイワプライム, 64,北村宏, 0.0, 57,   0,*  6, 1,  2.0, ④④, 2, 7, ロンギングトゥユｰ,---,三浦皇, 0.4, 79,  13,  -5, 3,  4.8, ⑦⑤, 2, 2,Ｇドリｰムヒｰロｰ, 72,丸山元, 0.1, 77,  11,   6, 5, 12.6, ⑤③, 2, 6,Ｉフリソ, 87,三浦皇, 0.1, 85,  14,   4, 1,  3.9,⑧⑧⑧
 3, 6,Ｂサトノレオパｰド, 59,横山典, 0.2, 52,*  3,  -1, 2,  3.7, ①①, 3,12, カフェコンセｰル,---,田中勝, 0.5, 76,  10,* -1, 6, 14.3, ⑩⑨, 3,14,Ｉウィルパワｰ, 70,松岡正, 0.2, 76,  10,   6, 1,  3.1, ④⑤, 3, 4,Ｃタマモクリエイト, 91,大庭和, 0.3, 83,  13,   3, 7, 15.0,⑦⑦⑥
 4, 5,Ｈビレッジオブベスト, 40,江田照, 0.5, 53,  -4,*  7,10,119.7, ⑪⑪, 4, 3, キングズクエスト,---,ピンナ, 0.9, 72,   8,  -3, 9, 37.2, ⑨⑩, 4,17,Ｈウエストエンド, 72,石橋脩, 0.4, 73,   9,   6, 7, 21.9, ⑩⑨, 4,16,Ｎタカオノボル, 82,吉田豊, 0.5, 81,* 15,  -3, 2,  5.0,③④③
 5, 8,Ｊマスタｰズキング, 37,三浦皇, 1.2, 44,*  2, -14, 5, 12.1, ②②, 5, 4, エクスプロｰラｰ,---,松岡正, 1.3, 66,  -1,*  3, 1,  3.7, ⑭⑭, 5,10,Ｃクィンビｰクイｰン, 76,小林淳, 0.4, 72,   8,   6, 6, 14.4, ⑥⑧, 5, 3,Ｋピｰスキｰパｰ, 84,田中勝, 0.5, 81,  12,*  5,14, 80.3,⑬⑬⑬
 6, 2,Ｉマイネエポナ, 37,柴田大, 1.2, 44,  -2,  -7, 3,  7.2, ⑥⑤, 6,10, ディアイレイザｰ,---,丸山元, 1.4, 69,* 17, -21,13, 99.2, ②②, 6, 1,Ａワｰルドロレックス, 80,田中勝, 0.5, 71,   8,   5, 3,  5.7, ⑫⑥, 6, 5,Ｈスタｰシップ, 88,横山典, 0.8, 79,  10,*  7, 8, 15.1,⑮⑮⑮
 7, 7,Ｃリトルモア, 50,吉田豊, 1.3, 41,  -1, -10,11,173.1, ⑦⑦, 7,14, マイネパティ,---,中谷雄, 1.4, 67,   7,  -5,14,126.8, ⑪⑪, 7, 7,Ｆロジフェロｰズ, 73,横山典, 0.5, 69,   1,* 15, 4,  6.9, ⑮⑯, 7, 8,Ａヒラボクワイルド, 93,松岡正, 1.1, 77,  13,  -3, 4,  6.8,⑫⑫⑩
 8,10,Ｋダイワブランド, 33,横山義, 1.3, 42,  -1, -10, 7, 35.7, ⑤⑥, 8, 6, ビップヴィットリオ,---,吉田豊, 1.5, 66,  13, -19, 7, 19.1, ⑥⑥, 8,16,Ｅドロ, 73,三浦皇, 0.6, 70,   7,   5, 2,  3.5, ⑨⑫, 8,15,Ｄウインペンタゴン, 90,石橋脩, 1.7, 74,  14, -11, 6, 13.8,⑥⑥⑤
 8, 9,Ｇイカルストミｰ, 42,武士沢, 1.3, 43,  -3,  -4, 9, 81.2, ⑩⑩, 9,11, ステｰジマキシマム,---,横山典, 2.0, 58,   5, -12, 5,  9.6, ⑬⑫, 9,13,Ｌリンゴット, 64,武士沢, 0.7, 69,* 13,  -5, 9, 37.6, ②②, 9,13,Ｊシャインモｰメント, 87,嶋田純, 2.0, 72,  12,  -8,12, 48.5,⑭⑭⑭
10, 1,Ｆエルザブラバント, 43,松岡正, 1.4, 43,  -4,  -7, 6, 18.3, ⑨⑨,10,13, オキナワエミチャン,---,大庭和, 2.0, 61,  14, -25,12, 87.7, ⑤④,10, 5,Ｊリトルドア, 69,田面木, 0.7, 67,   1,* 12,13,157.7, ⑯⑮,10,10,Ｆエアマックｰル, 88,丸山元, 2.0, 72,  14, -14, 5,  8.6,④③④
11,11,Ｄラブファンディ, 47,嶋田純, 2.7, 26,  -1, -30, 8, 39.5, ⑧⑧,11, 9, レヴァンタｰル,---,柴田大, 2.3, 56,  -3,  -6, 8, 30.0, ⑮⑮,11, 6,Ｄマシラ, 73,嶋田純, 0.9, 67,* 13,  -7, 8, 24.9, ①①,11,14,Ｇロｰルオブザダイス, 88,柴山雄, 2.2, 71,  14, -13, 9, 27.6,⑤⑤⑦
,,,,,,,,,,,,12,15, バブルジェット,---,柴山雄, 2.4, 56,* 16, -33, 4,  5.6, ③③,12, 4,Ｎヤマニンアｰシｰ, 62,柴田大, 0.9, 66,   6,   2,15,313.6, ⑪⑩,12,12,Ｌセイカアレグロ, 82,柴田大, 2.3, 71,   9,  -5,16,305.5,⑯⑯⑯
,,,,,,,,,,,,13, 5, アルドグリｰン,---,嶋田純, 2.7, 52,   2, -17,15,127.0, ⑫⑬,13,11,Ｍダイワベルベ, 62,北村宏, 0.9, 67,  11,  -4,10, 39.2, ③④,13, 9,Ｅドリｰムライナｰ, 90,武士沢, 2.5, 69,* 15, -22,11, 41.0,②②①
,,,,,,,,,,,,14, 1, ダイゴミ,---,江田照, 3.1, 48,  11, -36,10, 42.2, ⑧⑧,14,15,Ｏビップレジェンド, 61,ピンナ, 1.0, 65,   5,   4,11, 77.7, ⑬⑬,14, 2,Ｐピュアオパｰル, 78,江田照, 4.7, 59,  13, -33,15, 96.0,⑨⑪⑪
,,,,,,,,,,,,15, 8, レインボｰカムカム,---,武士沢, 3.4, 45,  11, -39,11, 73.2, ④⑦,15, 3,Ｐフｰガフュｰグ, 56,大庭和, 1.3, 62,   8,  -6,14,159.3, ⑦⑦,15, 1,Ｏダノンエリモトップ, 79,小林淳, 5.7, 54,* 15, -49,13, 59.9,①①②
,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｑデルマバフチャラ, 55,江田照, 1.8, 56,   4,  -6,16,394.1, ⑭⑭,16,11,Ｍサトノコクオｰ, 82,北村宏, 8.5, 45,  13, -66,10, 35.9,⑪⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:重(指数:-5),,,,,,,,,,,
単勝:810円 複勝:04=190円 03=110円 06=150円 枠連:860円,,,,,,,,,,,,単勝:420円 複勝:02=160円 07=190円 12=310円 枠連:710円,,,,,,,,,,,,"単勝:11,810円 複勝:12=1,750円 02=330円 14=160円 枠連:5,850円",,,,,,,,,,,,単勝:550円 複勝:07=200円 06=190円 04=370円 枠連:560円,,,,,,,,,,,
馬連:850円 ワイド:03-04=360円 04-06=430円 03-06=200円,,,,,,,,,,,,"馬連:1,070円 ワイド:02-07=430円 02-12=1,040円 07-12=1,150円",,,,,,,,,,,,"馬連:80,170円 ワイド:02-12=17,170円 12-14=6,080円 02-14=790円",,,,,,,,,,,,"馬連:1,020円 ワイド:06-07=460円 04-07=1,170円 04-06=930円",,,,,,,,,,,
"馬単:2,580円 3連複:870円 3連単:7,880円",,,,,,,,,,,,"馬単:1,950円 3連複:4,520円 3連単:19,410円",,,,,,,,,,,,"馬単:147,260円 3連複:83,840円 3連単:1,266,510円",,,,,,,,,,,,"馬単:2,230円 3連複:4,060円 3連単:20,500円",,,,,,,,,,,
■ 3R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 9R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,八神峰特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13, ミリオンヴォルツ,---,松岡正,, 60,* -3,  -1, 1,  1.8, ②②, 1, 7,Ａドリｰムザネクスト, 78,田中勝,, 81,  -2,* 21, 3,  4.5, ④④, 1, 4,Ｅマナクｰラ, 81,ピンナ,, 82,   4,* 17, 2,  2.5,⑩⑩⑥, 1, 2,Ａフェイマステイル, 80,北村宏,, 85,   6,  17, 5,  8.8, ③③
 2,10, サンデｰコア,---,田中勝, 0.0, 59,  -5,*  1, 9, 31.7, ③③, 2, 6,Ｅクリｰムソｰダ, 70,横山典, 0.1, 79,  -1,  19, 1,  1.7, ②②, 2, 8,Ａヴァｰゲンザイル, 85,吉田豊, 0.0, 81,*  5,  14, 1,  2.4,④⑤③, 2, 3,Ｂアｰバンウィナｰ, 79,田中勝, 0.1, 84,   5,  19, 4,  6.0, ⑥⑥
 3,14, ドラゴンツヨシ,---,三浦皇, 0.0, 61,  -5,*  2, 5, 14.5, ⑥⑤, 3, 5,Ｄディｰエスコンドル, 72,丸山元, 0.8, 75,*  1,  11, 2,  4.1, ①①, 3, 6,Ｂジェイケイラン, 84,石橋脩, 0.1, 82,   3,* 20,10,116.0,⑪⑪⑪, 3, 9,Ｆフルアクセル, 72,石橋脩, 0.2, 83,   0,* 23, 2,  3.2, ⑨⑨
 4, 6, ソｰラｰインパルス,---,横山典, 0.5, 55,  -6,  -1, 4, 12.9, ⑤⑧, 4, 1,Ｂアサクサマリンバ, 75,吉田豊, 1.5, 69,  -4,  13, 4, 11.3, ⑦⑦, 4,11,Ｊノｰステア, 71,三浦皇, 0.2, 81,*  5,  12, 3,  7.3,⑤⑥⑦, 4, 7,Ｃオメガブレイン, 78,横山典, 0.4, 79,   1,* 20, 1,  2.9, ⑦⑧
 5, 3, コスモクｰペ,---,柴田大, 1.0, 55,  -6,  -6, 3, 10.5, ④④, 5, 3,Ｃリンガスアクタｰ, 74,三浦皇, 1.7, 70,  -3,   8, 5, 14.3, ⑥⑥, 5, 2,Ｆファｰストグロｰス, 81,大庭和, 0.3, 78,*  6,   9, 8, 34.3,①①①, 5, 4,Ｅアカリ, 74,江田照, 0.4, 80,   5,  13, 8, 38.4, ④⑤
 6, 1, ダイワスパンキｰ,---,北村宏, 1.1, 52,  -8,  -2, 2,  5.4, ⑪⑪, 6, 4,Ｇメイショウフロリナ, 44,江田照, 2.8, 61,  -1,  -2, 6, 76.8, ③③, 6,10,Ｋスズカゲイル, 70,北村宏, 0.3, 80,*  6,  11, 7, 28.3,⑦⑨②, 6, 8,Ｄマイネルエデン, 77,ピンナ, 1.0, 73,   0,  11, 3,  5.4, ⑧⑦
 7, 8, アグネスコルサ,---,吉田豊, 1.1, 50,  -6,  -5,10, 33.3, ⑦⑦, 7, 2,Ｆマイスタｰ, 54,嶋田純, 3.9, 51,  -3, -11, 7,163.6, ⑤⑤, 7, 1,Ｇマイネルシュトルム, 77,松岡正, 0.5, 78,*  5,   8, 4,  9.0,②②⑤, 7, 5,Ｇメスナｰ, 70,中谷雄, 1.1, 69,* 14, -13, 7, 37.4, ①①
 8, 4, フジキラメキ,---,石橋脩, 1.1, 50,* -3, -10, 6, 16.9, ①①,,,,,,,,,,,,, 8, 9,Ｈキンセイポラリス, 75,丸山元, 0.8, 77,   5,  10, 9, 68.7,⑨⑧⑨, 8, 6,Ｉヒカルマイステｰジ, 54,三浦皇, 1.1, 71,   7,  -1, 6, 17.0, ②②
 9, 2, ニュｰアルゴノｰツ,---,大庭和, 2.0, 49, -14,*  0,16,271.9, ⑯⑯,,,,,,,,,,,,, 9, 7,Ｄセトノメジャｰ, 81,柴山雄, 1.3, 69,   4,  -1, 6, 21.7,⑧⑦⑧, 9, 1,Ｈスｰパｰウｰマン, 67,大庭和, 1.1, 72,   5,   3, 9, 77.6, ⑤④
10,12, イルテアトリｰノ,---,丸山元, 2.3, 43,  -8, -13, 8, 28.2, ⑫⑬,,,,,,,,,,,,,10, 5,Ｃインザブラック, 82,田中勝, 1.3, 68,*  5,  -4, 5, 17.1,③③④,10,10,Ｊスｰパｰプライド, 50,嶋田純, 4.1, 37,  -1, -30,10,111.6, ⑩⑩
11,16, ダッシュファイアｰ,---,江田照, 2.4, 41,  -7, -17,12, 76.5, ⑨⑨,,,,,,,,,,,,,11, 3,Ｉベルグミサイル, 72,武士沢, 1.5, 67,   3,   0,11,208.3,⑥④⑩,,,,,,,,,,,,
12, 7, カシマシンセイ,---,横山義, 2.4, 42,  -7, -16,11, 35.2, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11, ジャングルスタｰ,---,武士沢, 2.6, 40,  -8, -16,13,126.3, ⑮⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, 9, モリトスピア,---,嶋田純, 2.6, 41,  -8, -15,14,243.0, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15, ノｰネｰムホｰス,---,ピンナ, 3.7, 32,  -5, -31, 7, 23.1, ⑧⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 5, テイエムサイエンス,---,柴山雄, 3.8, 33, -14, -15,15,262.3, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:6),,,,,,,,,,,
"単勝:180円 複勝:13=130円 10=540円 14=360円 枠連:2,330円",,,,,,,,,,,,単勝:450円 複勝:07=160円 06=110円 枠連:0円,,,,,,,,,,,,"単勝:250円 複勝:04=110円 08=120円 06=1,140円 枠連:250円",,,,,,,,,,,,"単勝:880円 複勝:02=210円 03=170円 09=140円 枠連:2,130円",,,,,,,,,,,
"馬連:2,980円 ワイド:10-13=930円 13-14=580円 10-14=4,050円",,,,,,,,,,,,馬連:230円 ワイド:06-07=120円 05-07=210円 05-06=140円,,,,,,,,,,,,"馬連:260円 ワイド:04-08=140円 04-06=2,500円 06-08=2,680円",,,,,,,,,,,,"馬連:2,030円 ワイド:02-03=550円 02-09=490円 03-09=340円",,,,,,,,,,,
"馬単:3,990円 3連複:12,530円 3連単:48,790円",,,,,,,,,,,,"馬単:790円 3連複:290円 3連単:1,920円",,,,,,,,,,,,"馬単:610円 3連複:6,480円 3連単:21,370円",,,,,,,,,,,,"馬単:4,900円 3連複:2,060円 3連単:21,010円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
