11年 2月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,10,Ｋインアフラッシュ, 54,鮫島克, 2.4, 52,   7, -31, 7, 11.9,⑭⑯⑬,10, 7,Ｉメイショウベｰネ, 72,大野拓, 1.2, 75,  14, -17,12, 44.5,⑧⑩⑩,10,17,Ｆサカジロキング, 63,野元昭, 1.2, 59,   1,  -7, 6, 26.2, ⑩⑩
,,,,,,,,,,,,11, 6,Ｅモｰタウンサウンド, 59,浜中俊, 2.4, 51,  12, -44, 4,  9.3,⑤⑦⑭,11,15,Ｅダノンインスパイア, 74,西田雄, 1.4, 71,* 16, -29, 5,  8.4,③②③,11,16,Ｏアスタｰウィング, 53,勝浦正, 1.2, 57,  -2,  -3,10, 38.4, ⑯⑯
,,,,,,,,,,,,12,16,Ｂラルゴ, 64,熊沢重, 2.5, 52,* 14, -48, 2,  5.4,⑦⑤④,12, 6,Ｏマｰベラスブレイド, 69,宮崎北, 1.9, 69,  13, -24,14, 77.6,⑭⑫⑬,12, 4,Ｈオｰスミドライバｰ, 63,伊藤工, 1.4, 55,   0,  -9, 4, 11.8, ⑫⑦
,,,,,,,,,,,,13,17,Ｌメイショウゾウセン, 52,藤岡康, 2.5, 52,* 14, -48, 9, 16.0,⑥④③,13, 9,Ｍマイネルネオハｰト, 70,丹内祐, 2.7, 66,* 15, -45,13, 62.8,⑥④②,13,13,Ｊコウエイキング, 61,丸山元, 1.6, 52,  -1, -10, 8, 32.0, ⑬⑭
,,,,,,,,,,,,14,12,Ｑホリノアラシ, 40,大野拓, 3.1, 49,   4, -29,16,167.7,⑰⑱⑱,14,16,Ｌミヤコトップガン, 71,北村友, 2.7, 64,  14, -39, 7, 14.6,⑤⑧⑭,14,14, カノヤハヤブサ,---,山口勲, 1.7, 55,*  8, -20,16,172.1, ④⑤
,,,,,,,,,,,,15,14,Ｃイイデジャパン, 60,中舘英, 3.6, 46,* 14, -64, 1,  3.8,③③②,15, 1,Ｎマイサイドキック, 70,太宰啓, 2.9, 63,* 15, -44,16,129.3,②⑦⑨,15, 6,Ｑジュエルリング, 44,鮫島克, 2.1, 47, -16,  -2,17,225.4, ⑰⑰
,,,,,,,,,,,,16,18,Ｐニシノペヨン, 41,古川吉, 3.6, 45,* 15, -66,18,259.6,①①①,16,11,Ｈベイビｰロｰズ, 73,中舘英, 5.4, 28,* 15, -82, 9, 18.7,①①⑧,16, 8,Ｐダイメイジャパン, 51,嘉藤貴, 2.3, 44,   1, -21,14, 79.5, ⑧⑫
,,,,,,,,,,,,17,11,Ｄミラクルアイヴァｰ, 60,丸山元, 3.7, 43,  11, -57,12, 44.0,⑨⑫⑮,,,,,,,,,,,,,17,15,Ｎカムイフォレスト, 58,藤岡康, 2.6, 41,   1, -25,13, 69.4, ⑪⑮
,,,,,,,,,,,,18, 4,Ｍファイヤｰ, 50,太宰啓, 3.7, 44,* 14, -65,11, 31.4,②②⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:稍重(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:稍重(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:8),,,,,,,,,,,
,,,,,,,,,,,,"単勝:1,000円 複勝:09=310円 07=500円 15=310円 枠連:3,510円",,,,,,,,,,,,"単勝:370円 複勝:13=160円 14=390円 08=220円 枠連:1,950円",,,,,,,,,,,,単勝:230円 複勝:12=150円 10=130円 01=260円 枠連:450円,,,,,,,,,,,
,,,,,,,,,,,,"馬連:8,890円 ワイド:07-09=1,590円 09-15=1,950円 07-15=2,830円",,,,,,,,,,,,"馬連:2,890円 ワイド:13-14=940円 08-13=520円 08-14=1,700円",,,,,,,,,,,,"馬連:500円 ワイド:10-12=260円 01-12=1,130円 01-10=670円",,,,,,,,,,,
,,,,,,,,,,,,"馬単:15,680円 3連複:31,380円 3連単:213,050円",,,,,,,,,,,,"馬単:4,990円 3連複:6,650円 3連単:38,850円",,,,,,,,,,,,"馬単:830円 3連複:2,400円 3連単:7,120円",,,,,,,,,,,
,,,,,,,,,,,,■ 5R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 8R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1700m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中京ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,, 1, 7,Ｃクルンプホルツ, 71,丸山元,, 65,  -9,* 10, 5, 17.0, ⑬⑩, 1,15,Ｆスイングエンジン, 71,中舘英,, 68,* 10,   5, 6, 10.9,④③④, 1, 9,Ｋビヨンドマックス, 75,丸山元,, 80,*  4,  16,11, 42.1,②②②
,,,,,,,,,,,, 2,13,Ｂネイヴルトウショウ, 72,黛弘人, 0.1, 65,  -1,   3, 3,  9.5, ⑦⑦, 2, 9,Ａブルｰライジング, 75,宮崎北, 0.0, 68,   6,* 13, 7, 11.6,⑪⑨⑨, 2, 4,Ｄコスモナダル, 81,丹内祐, 0.1, 85,   2,* 20, 4,  7.5,⑦⑧④
,,,,,,,,,,,, 3,11,Ｆオリオンザブラック, 64,嘉藤貴, 0.2, 65,   0,   2, 2,  7.3, ⑤⑥, 3,13,Ｅユウキハングリｰ, 72,二本柳, 0.2, 65,* 10,   0, 3,  5.5,①①①, 3, 1,Ｇエｰシンマダムジｰ, 80,勝浦正, 0.3, 79,*  4,  16, 5,  9.0,③③③
,,,,,,,,,,,, 4,14,Ｅリｰヴタイム, 68,川須栄, 0.3, 66,* 11,  -6, 4, 15.1, ①①, 4,12,Ｂサダムトウコン, 74,上村洋, 0.3, 66,   8,   5, 1,  3.4,⑦⑥⑥, 4, 3,Ｐサニｰラブカフェ, 69,小島太, 0.6, 78,   2,  17,14, 94.3,⑩⑪⑨
,,,,,,,,,,,, 5,10,Ｉタピルｰジュ, 63,中舘英, 0.4, 63,*  6,  -4,12, 60.1, ③③, 5, 5,Ｇブラックルｰラｰ, 71,浜中俊, 0.3, 66,   9,   4, 4,  6.3,⑤④②, 5, 6,Ｃキンショｰダンデｰ, 82,北村友, 0.8, 76,   3,  12, 3,  5.1,⑤⑦⑦
,,,,,,,,,,,, 6, 6,Ｊアポロパステル, 63,丹内祐, 0.4, 63,  -6,   4, 9, 38.3, ⑪⑭, 6, 8,Ｃヴァルドルフ, 73,丸山元, 0.3, 66,   6,* 10, 2,  5.3,⑬⑩⑩, 6,15,Ｆドリｰムアライブ, 80,藤岡康, 0.9, 75,   3,  12, 7, 10.0,⑨⑩⑧
,,,,,,,,,,,, 7, 3,Ｇテングジョウ, 64,宮崎北, 0.4, 62,  -2,   1, 7, 27.9, ⑧⑤, 7, 4,Ｈメイショウドレイク, 70,小島太, 0.5, 64,   7,   5, 8, 18.7,⑧⑦⑦, 6,13,Ｌディアトウシロウ, 74,古川吉, 0.9, 77,  -2,* 19,10, 41.4,⑮⑯⑭
,,,,,,,,,,,, 8, 9,Ｄアｰムズトウショウ, 68,大野拓, 0.4, 61,  -9,*  6,10, 42.5, ⑭⑫, 8, 2,Ｌホトダｰ, 63,西田雄, 0.7, 63,   4,*  9,14,196.7,⑩⑫⑪, 8, 2,Ｉレオキュｰト, 77,大野拓, 1.0, 75,   0,  16, 9, 38.4,⑭⑭⑬
,,,,,,,,,,,, 9, 4,Ａエリモエポナ, 74,鮫島良, 0.5, 61,   2,  -3, 1,  1.5, ④④, 9,10,Ｋウエスタンウェイブ, 64,勝浦正, 0.9, 61,   8,  -1, 9, 25.4,⑥⑤⑤, 9,11,Ｂニシノミｰチャン, 82,川須栄, 1.0, 75,*  4,  10, 8, 29.3,④④⑤
,,,,,,,,,,,,10,12,Ｌラガｰキセキ, 56,松山弘, 1.2, 56,   0,  -7, 8, 29.0, ⑥⑨,10, 7,Ｄマｰブルアロｰ, 72,藤岡康, 1.0, 61,   7,   1, 5,  8.8,⑨⑧⑧,10, 7,Ｅメイクアダッシュ, 81,西田雄, 1.1, 74,   3,  11,12, 67.6,⑧⑨⑩
,,,,,,,,,,,,11, 1,Ｋカシノカルミア, 63,二本柳, 1.2, 54,  -3,  -5,13, 83.9, ⑨⑧,11,11,Ｊシルバｰビｰト, 65,田辺裕, 1.5, 56,   3,   4,12,107.4,⑭⑬⑫,11, 5,Ｎパｰプルスタｰ, 73,高倉稜, 1.2, 70,*  4,   5,15,116.2,①①①
,,,,,,,,,,,,12, 2,Ｍテイエムマイヒメ, 53,芹沢純, 1.3, 52,  -9,  -2, 6, 17.4, ⑫⑪,12,14,Ｍアスタｰクリス, 62,太宰啓, 1.7, 55,* 10, -10,11, 75.5,②②③,12,16,Ａエナｰジバイオ, 86,中舘英, 1.3, 74,  -1,  14, 2,  5.0,⑯⑮⑯
,,,,,,,,,,,,13, 8,Ｈノアライン, 63,鮫島克, 1.6, 51,*  6, -15,11, 59.8, ②②,13, 1,Ｏルナｰレガシｰ, 46,高倉稜, 1.7, 55,   0,   6,10, 46.9,⑫⑭⑭,13,12,Ｈロｰレルレガリス, 78,浜中俊, 1.5, 71,*  4,   6, 1,  4.0,⑥⑤⑥
,,,,,,,,,,,,14, 5,Ｎアルテミス, 44,北村友, 1.6, 49,  -5,  -8,14,151.0, ⑩⑬,14, 3,Ｎリュウシンゴｰルド, 56,小野寺, 4.5, 36,   4, -24,13,165.8,③⑪⑬,14,14,Ｏフェイズシフト, 71,太宰啓, 1.8, 69,   1,   7,13, 79.0,⑫⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｍエｰシンアルカウス, 74,田辺裕, 2.0, 66,   1,   6, 6,  9.3,⑪⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｊマイグロｰリアス, 76,長谷川, 3.1, 57,*  3,  -8,16,257.1,⑬⑥⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:不良(指数:-7),,,,,,,,,,,
,,,,,,,,,,,,"単勝:1,700円 複勝:07=360円 13=260円 11=210円 枠連:2,260円",,,,,,,,,,,,"単勝:1,090円 複勝:15=410円 09=350円 13=260円 枠連:1,860円",,,,,,,,,,,,"単勝:4,210円 複勝:09=1,150円 04=270円 01=360円 枠連:2,640円",,,,,,,,,,,
,,,,,,,,,,,,"馬連:4,640円 ワイド:07-13=1,060円 07-11=1,100円 11-13=790円",,,,,,,,,,,,"馬連:5,840円 ワイド:09-15=2,030円 13-15=1,090円 09-13=1,120円",,,,,,,,,,,,"馬連:17,730円 ワイド:04-09=5,250円 01-09=6,280円 01-04=1,250円",,,,,,,,,,,
,,,,,,,,,,,,"馬単:10,800円 3連複:7,440円 3連単:61,630円",,,,,,,,,,,,"馬単:9,600円 3連複:8,820円 3連単:60,260円",,,,,,,,,,,,"馬単:43,430円 3連複:45,450円 3連単:405,550円",,,,,,,,,,,
,,,,,,,,,,,,■ 6R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小石原特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,, 1, 7,Ｄルナキッズ, 75,荻野琢,, 79,*  5,* 16, 1,  3.0,②②②, 1,14,Ｊマイネルガヴロシュ, 71,伊藤工,, 75,  -1,* 12, 8, 17.2,⑬⑬⑭, 1, 6,Ｈテラノチェリｰ, 69,柴原央,, 75,* 10,* -4, 9, 22.2, ②②
,,,,,,,,,,,, 2, 6,Ｎブレイブフェイス, 66,丸山元, 0.6, 74,   4,  12, 9, 35.2,③③③, 2, 8,Ｄメルヴェイユドｰル, 74,藤岡康, 0.1, 73,   2,   5, 3,  6.1,⑥⑦⑥, 2, 3,Ｄクレムリンシチｰ, 71,太宰啓, 0.3, 67,   1,*  1, 5, 10.3, ⑬⑦
,,,,,,,,,,,, 3, 5,Ｃモエレジンダイコ, 75,西田雄, 0.6, 74,*  5,  10, 3,  6.7,①①①, 3, 7,Ｂロックンロｰル, 74,野元昭, 0.2, 71,   0,   4, 4,  6.6,⑨⑧⑦, 3, 1,Ｅメイショウフレアｰ, 70,酒井学, 0.5, 67,   6,  -6,11, 28.4, ⑥③
,,,,,,,,,,,, 4, 4,Ｂイノセントリｰサム, 76,古川吉, 0.8, 73,   3,  12, 4,  7.3,⑥⑤⑤, 4, 6,Ａアルマトゥｰラ, 76,勝浦正, 0.2, 71,   0,   7, 2,  5.7,⑩⑪⑧, 4, 2,Ｃダノンカスガ, 72,北村友, 0.5, 71,* 14, -14, 8, 17.5, ①①
,,,,,,,,,,,, 5,14,Ｅリキサンヒｰロｰ, 74,大野拓, 0.8, 73,   0,* 18, 8, 29.0,⑯⑬⑩, 5, 1,Ｎソｰルデスタン, 68,宮崎北, 0.2, 72,   0,   6,11, 20.3,⑧⑩⑨, 5, 4,Ｏカリスマテｰラｰ, 62,中舘英, 0.6, 69,* 12, -13,13, 46.6, ③④
,,,,,,,,,,,, 6, 3,Ｇメタギャラクシｰ, 72,伊藤工, 0.8, 74,   2,  14, 5, 14.5,⑤⑦⑦, 6,17,Ｈイオス, 72,中舘英, 0.3, 71,   3,  -1, 1,  4.8,④④③, 6, 7,Ａカイシュウボナンザ, 73,丸山元, 0.6, 65,   8,  -9, 1,  3.2, ⑤⑥
,,,,,,,,,,,, 7, 8,Ｊウエスタンブラボｰ, 71,勝浦正, 1.1, 72,   1,  13,13, 78.9,⑩⑪⑨, 7,11,Ｐフェアリｰレイ, 65,松山弘, 0.4, 69,   1,   0, 9, 19.4,⑫⑤④, 7,18,Ｇビスカヤ, 70,浜中俊, 0.6, 66,   4,  -4, 6, 11.3, ⑫⑩
,,,,,,,,,,,, 8,12,Ｈヤマニンフリスキｰ, 72,太宰啓, 1.3, 70,   1,  12, 6, 14.6,⑫⑫⑪, 8, 4,Ｌドナフュｰジョン, 69,川須栄, 0.6, 70,  -4,* 10,15, 78.0,⑰⑯⑮, 8, 9,Ｊピカピカテッタ, 66,野元昭, 0.9, 59,   1,  -6,15, 51.7, ⑭⑬
,,,,,,,,,,,, 9,13,Ａタコ, 76,浜中俊, 1.4, 69,*  4,   5, 2,  3.2,④④④, 9,13,Ｏバトルイグアス, 67,北村友, 0.7, 69,  -4,*  9,14, 41.2,⑯⑰⑫, 9,13,Ｉメイショウバｰモス, 68,藤岡康, 1.0, 63,* 10, -17, 3,  6.9, ④⑤
,,,,,,,,,,,,10, 2,Ｌマルタシュンプウ, 67,田辺裕, 1.6, 66,   2,   7,12, 68.1,⑧⑧⑧,10, 2,Ｉウインディｰリング, 71,浜中俊, 0.9, 66,  -2,   3,12, 25.7,⑮⑮⑬,10, 5,Ｋロイヤルロｰド, 65,西田雄, 1.0, 56,  -4,* -3,14, 48.7, ⑰⑰
,,,,,,,,,,,,11,10,Ｋディアユウキ, 70,宮崎北, 1.7, 66,   3,   5,14,110.1,⑦⑥⑥,11,10,Ｇアポロストｰム, 72,丹内祐, 1.1, 62,   0,  -8, 7, 13.7,⑦⑨⑪,11,14,Ｍフレデフォｰト, 64,古川吉, 1.3, 55,   3, -12, 2,  6.5, ⑪⑮
,,,,,,,,,,,,12, 1,Ｍカズノタイショウ, 67,松山弘, 2.4, 66,  -3,   9,11, 49.5,⑮⑯⑯,12, 5,Ｋヤマニンミュゼット, 69,太宰啓, 1.2, 61,   2, -11,16,153.9,⑤⑥⑤,12,15,Ｆキュｰトシルフ, 70,飯田祐, 1.3, 57,   7, -16, 4,  9.6, ⑧⑧
,,,,,,,,,,,,13, 9,Ｆザバイオ, 72,鮫島良, 2.6, 61,   0,   2,10, 37.2,⑪⑭⑬,13,15,Ｆスプリングバレル, 72,酒井学, 1.4, 58,   3, -18,10, 20.1,③③②,13,11,Ｑダンツミラション, 60,熊沢重, 1.4, 54,   0, -11,12, 45.3, ⑯⑯
,,,,,,,,,,,,14,11,Ｐカワキタトップ, 57,川須栄, 2.8, 61,  -1,   2,15,215.6,⑬⑮⑮,14,18,Ｅトｰセンフリｰジア, 73,田辺裕, 1.6, 55,   0, -12,13, 38.1,⑪⑫⑩,14,10,Ｎミラグロレディ, 62,宮崎北, 1.5, 54,   6, -19,18,128.0, ⑦⑨
,,,,,,,,,,,,15,15,Ｉビｰビｰライナｰ, 71,上村洋, 3.5, 54,   2,  -9,16,268.3,⑨⑨⑫,15,12,Ｃセイカカリンバ, 74,丸山元, 1.7, 54,*  4, -23, 5, 10.6,②②①,15, 8,Ｒチェリｰソウマ, 52,二本柳, 1.8, 48,   0, -17,16, 56.6, ⑮⑭
,,,,,,,,,,,,16,16,Ｏプロポｰズ, 66,田中博, 4.3, 50,   2, -15, 7, 24.1,⑭⑩⑭,16, 9,Ｍロｰズリパブリック, 68,上村洋, 1.8, 56,  -1, -12, 6, 13.5,⑭⑭⑯,16,12,Ｌエフティファラオ, 65,勝浦正, 1.9, 46,  -5, -12,17, 82.0, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｒコｰヒｰゼリｰ, 54,黛弘人, 8.4,-22,*  7, ---,17,230.2,①①⑰,17,17,Ｐアイアンデュｰク, 61,丹内祐, 2.2, 46,   7, -28,10, 25.6, ⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｂライブリリュウショ, 73,安藤光, 2.4, 42,   6, -31, 7, 16.3, ⑨⑪
,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:重(指数:8),,,,,,,,,,,
,,,,,,,,,,,,"単勝:300円 複勝:07=140円 06=1,060円 05=210円 枠連:890円",,,,,,,,,,,,"単勝:1,720円 複勝:14=330円 08=230円 07=250円 枠連:1,300円",,,,,,,,,,,,"単勝:2,220円 複勝:06=600円 03=340円 01=860円 枠連:4,500円",,,,,,,,,,,
,,,,,,,,,,,,"馬連:7,780円 ワイド:06-07=2,300円 05-07=370円 05-06=3,690円",,,,,,,,,,,,"馬連:5,000円 ワイド:08-14=1,750円 07-14=1,750円 07-08=650円",,,,,,,,,,,,"馬連:10,600円 ワイド:03-06=2,890円 01-06=6,840円 01-03=3,460円",,,,,,,,,,,
,,,,,,,,,,,,"馬単:11,420円 3連複:11,520円 3連単:80,060円",,,,,,,,,,,,"馬単:13,730円 3連複:9,160円 3連単:97,240円",,,,,,,,,,,,"馬単:23,700円 3連複:63,910円 3連単:441,370円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
