11年10月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神無月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,いちょうｽﾃｰｸｽ,,,,,,,,,,,,ｻｳｼﾞｱﾗﾋﾞｱﾛｲﾔﾙｶｯﾌﾟ富士ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａパストフォリア, 67,北村宏,, 70,  -5,* 14, 1,  2.5, ⑧⑦, 1,10,Ｂミステリｰトレイン, 72,三浦皇,, 76,*  1,* 10, 2,  4.4, ①①, 1, 2,Ａアｰデント, 57,横山典,, 64, -18,  13, 1,  1.6, ②②, 1,13,Ａエイシンアポロン, 96,田辺裕,, 94,  14,* 14, 1,  4.1, ⑬⑫
 2, 2,Ｂダイワズｰム, 64,後藤浩, 0.0, 69,  -5,* 12, 4, 12.2, ④⑥, 2, 9,Ｆドラゴンヴォイス, 67,福永祐, 0.6, 73,  -1,*  9, 3,  5.7, ⑤④, 2, 5,Ｅピタゴラスコンマ, 48,三浦皇, 0.0, 71, -23,* 21, 4,  7.1, ④④, 2, 8,Ｌアプリコットフィズ, 82,田中勝, 0.0, 94,* 17,  10, 6, 11.1, ⑤⑤
 3,11,Ｆアサクサウタヒメ, 56,福永祐, 0.5, 64,  -7,* 10, 3,  5.6, ⑫⑪, 3, 3,Ｄダテノスイミｰ, 71,蛯名正, 1.0, 70,  -1,   8, 6, 11.0, ⑦⑦, 3, 7,Ｃマイネルカｰミン, 53,松岡正, 0.5, 65, -24,  17, 5, 17.0, ⑤⑤, 3, 5,Ｋマイネルラクリマ, 83,松岡正, 0.2, 93,* 17,   7, 5, 11.1, ②④
 4, 3,Ｄビップシャイン, 57,松岡正, 0.7, 62,* -1,   0, 5, 16.5, ①①, 4, 7,Ｃバｰチャルトラック, 72,江田照, 1.1, 69,  -2,   6, 8, 37.6, ⑧⑧, 4, 1,Ｄニシノスタイル, 51,福永祐, 0.5, 61, -20,  10, 3,  6.4, ③③, 4, 9,Ｂストロングリタｰン, 93,石橋脩, 0.4, 90,  13,* 12, 2,  4.4, ⑫⑯
 5, 8,Ｋエポキシ, 50,蛯名正, 0.8, 61,  -4,   1, 2,  3.6, ⑥⑤, 5, 6,Ａゴｰルドアカデミｰ, 77,北村宏, 1.4, 65,*  1,  -1, 1,  2.6, ③③, 5, 4,Ｂニケ, 57,田辺裕, 0.7, 53,*-16,  -1, 6, 18.5, ①①, 5,14,Ｊゴｰルスキｰ, 83,ピンナ, 0.4, 90,  12,* 13, 3,  6.4, ⑯⑰
 6,10,Ｃエイブルトップガン, 58,丸山元, 1.0, 57,* -3,  -3, 7, 18.1, ③③, 6, 1,Ｅデミチンタ, 68,松岡正, 1.6, 65,  -3,   4, 7, 25.1, ⑨⑨, 6, 3,Ｆサトノプレジデント, 47,北村宏, 0.8, 60, -27,  16, 2,  5.1, ⑥⑥, 6,16,Ｇブリッツェン, 84,柴田善, 0.5, 88,* 18,   0, 7, 14.5, ③②
 7,12,Ｌショウナンハッブル, 45,三浦皇, 1.0, 59,  -5,   1,10, 37.2, ⑦⑧, 7, 4,Ｊカインバティック, 60,吉田豊, 2.3, 56,  -2,  -5, 4,  6.6, ⑥⑥, 7, 6, フクノツｰル,---,高倉稜, 1.7, 50, -28,   7, 7, 86.1, ⑦⑦, 7,12,Ｈレインボｰペガサス, 84,安藤勝, 0.5, 87,* 18,  -1, 4,  7.7, ①①
 8,13,Ｉユキムスメ, 55,柴田善, 1.1, 58,  -7,   2,13,306.5, ⑨⑫, 8, 2,Ｇシンボリルアｰブル, 65,丸山元, 2.6, 58,  -7,   0, 9, 52.1, ⑩⑩,,,,,,,,,,,,, 8, 6,Ｉトライアンフマｰチ, 84,後藤浩, 0.6, 86,  14,   5, 8, 17.2, ⑪⑧
 9, 7,Ｅプリッキｰヌｰ, 56,吉田豊, 1.3, 55,  -9,   2, 6, 16.6, ⑬⑬, 9, 8,Ｉハッピｰデュランダ, 60,武士沢, 2.8, 54,   0, -11,10, 90.5, ④⑤,,,,,,,,,,,,, 9, 7,Ｄライブコンサｰト, 89,福永祐, 0.7, 86,* 17,  -1,11, 29.3, ⑥⑥
10, 1,Ｈミヤコライジング, 55,田中勝, 1.5, 52,  -6,  -4,11, 41.9, ⑩⑨,10, 5,Ｈライブインベガス, 64,後藤浩, 4.0, 44,*  1, -24, 5,  8.2, ②②,,,,,,,,,,,,,10,17,Ｎスズカコｰズウェイ, 79,三浦皇, 0.8, 86,  14,   2,15,103.5, ⑨⑩
11, 4,Ｇロｰドナイト, 56,高倉稜, 1.5, 52,  -4,  -8, 8, 20.8, ⑤④,,,,,,,,,,,,,,,,,,,,,,,,,11,15,Ｅラインブラッド, 87,蛯名正, 0.8, 86,  13,   6,14, 71.0, ⑮⑮
12, 6,Ｍアサヒステファニｰ, 40,江田照, 1.9, 48,* -2, -14,12,196.2, ②②,,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｃダンスファンタジア, 90,北村宏, 0.9, 83,* 17,  -3, 9, 20.5, ⑦③
13, 5,Ｊメイショウモｰレン, 53,田辺裕, 2.0, 47,  -6, -11, 9, 28.8, ⑪⑩,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｑダブルオｰセブン, 75,井上俊, 0.9, 84,  12,   6,16,184.7, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｍスズジュピタｰ, 81,丸山元, 1.0, 82,  14,   0,13, 67.5, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｐカウアイレｰン, 77,横山典, 1.0, 80,  16,  -3,10, 24.4, ④⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｆドモナラズ, 85,柴田大, 1.1, 81,  14,  -2,17,205.4, ⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｏアブソリュｰト, 78,丸田恭, 1.1, 81,  13,   2,12, 45.0, ⑰⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
