11年 5月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,紫野特別,,,,,,,,,,,,葵ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 5,16,Ｊスズカキｰストン, 55,熊沢重, 0.8, 61,  -1,   7,11, 53.1,⑧⑥⑤, 5,10,Ｃフィｰルザライト, 58,幸英明, 0.7, 56,  -4,  -5, 2,  4.4, ⑤④, 5, 5, ナムラチェンジ,,植野貴,269.8,,,,11, 68.7,⑪⑨⑨, 5,13,Ｎテイエムクレナイ, 80,渡辺薫, 0.6, 83,* 12,   6,15,278.3,③③③
 6,14,Ｃダンスオブウォｰ, 63,佐藤哲, 0.9, 57,  -2,   8, 2,  3.6,⑦⑦⑥, 6, 1, ナイトレイダｰ,---,川島信, 0.7, 54,  -5,  -5, 9, 70.1, ⑥⑤, 6, 2, エイシンボストン,,白浜雄,270.2,,,,13, 87.6,⑨⑦⑦, 6, 7,Ｄミダｰスタッチ, 85,浜中俊, 0.9, 82,   9,   8, 7, 25.7,⑬⑪⑬
 7, 6,Ｋニホンピロエラリｰ, 53,藤岡佑, 1.5, 56,  -1,   4, 8, 22.3,⑥⑧⑦, 7,11,Ａマルカファントム, 64,森一馬, 0.7, 55,* -2,  -7, 3,  4.5, ①①, 7, 3, マサノブルｰス,,黒岩悠,270.6,,,, 9, 41.2,⑩⑧⑧, 7, 3,Ｇキラウエア, 85,藤岡佑, 1.0, 83,  11,   6, 5, 15.5,⑧⑧⑧
 8, 8,Ｅファンタズミック, 62,ピンナ, 1.7, 53,  -3,   5, 7, 19.1,⑪⑪⑪, 8, 2,Ｂカネトシテンアップ, 61,秋山真, 0.8, 54,  -5,  -5, 7, 19.3, ⑦⑨, 8, 1, テイエムトッパズレ,,佐久間,270.8,,,, 4,  7.6,②②④, 8, 5,Ｈナリタシルクロｰド, 84,池添謙, 1.1, 80,   8,  11, 8, 40.9,⑪⑮⑮
 9,13,Ｄアドマイヤリボｰ, 63,川田将, 1.9, 52,  -2,   2, 9, 31.8,⑩⑨⑨, 9, 4,Ｈシゲルトウカツカン, 50,宮崎北, 0.9, 52,  -9,  -1,14,174.5, ⑩⑪, 9,11, トｰセンジョｰカｰ,,横山義,271.3,,,, 6, 27.2,⑥⑥⑥, 9, 4,Ｅゲバルトステイヤｰ, 85,国分恭, 1.3, 79,  11,   2,12,130.8,⑥⑦⑦
10,15,Ｌランドヘラクレス, 45,秋山真, 1.9, 50,*  0,  -3,10, 43.1,⑤③④,10, 5,Ｊクレバｰウエスタン, 48,池添謙, 0.9, 54, -11,*  2,12,103.3, ⑭⑬,10,13, プライドイズハｰト,,山本康,272.2,,,, 8, 37.9,⑧⑩⑩,10, 6,Ａソリタリｰキング, 92,川田将, 1.3, 79,  11,   3, 1,  2.5,⑨⑨⑨
11,12,Ｍファｰマペニｰ, 37,安藤光, 2.7, 50,  -7,   6,16,497.7,⑮⑮⑮,11, 8,Ｇブラウンシュガｰ, 51,小坂忠, 1.0, 53, -11,   0,10, 74.6, ⑫⑫,11, 8, ピサロナイト,,中村将,275.6,,,,14,184.5,⑫⑬⑬,11,15,Ｌレッドアイ, 83,秋山真, 1.4, 79,   7,  11, 9, 41.9,⑯⑯⑯
12, 3,Ｎキャヴァンクラブ, 36,宮崎北, 2.8, 46,  -5,   2,15,293.7,⑭⑭⑭,12, 6,Ｍメイショウカｰネル, 31,藤岡佑, 1.1, 53,  -8,  -4,13,115.1, ⑪⑧,12, 6, スズカスペンサｰ,,北沢伸,275.9,,,, 5, 18.4,⑬⑫⑪,12,16,Ｍネオギャラクシｰ, 80,中村将, 1.9, 75,  12,  -3,14,258.6,⑤⑥⑤
13,11,Ｈバンダムヴィッツ, 56,小坂忠, 3.3, 43,  -4,  -6,14,282.7,⑬⑫⑫,13,14, カンファｰトップ,---,北村友, 1.4, 49, -13,  -1,11, 85.3, ⑮⑭,13,14, デアモント,,小坂忠,278.0,,,,10, 52.9,③⑪⑫,13,11,Ｐミステリアスバイオ, 74,川島信, 2.1, 74,   9,   0,16,492.7,⑩⑬⑭
14, 5,Ｏロッサｰノ, 35,北村友, 4.5, 34,  -5, -15,12, 56.4,⑫⑬⑬,14,12,Ｋクｰドテアトル, 39,難波剛, 2.8, 38, -10, -16,15,254.1, ⑬⑮,,,,,,,,,,,,,14, 9,Ｂネオファンタジア, 87,ピンナ, 2.2, 71,* 13, -10, 4,  9.6,②②①
15, 1, トウカイカルド,---,川島信, 4.6, 37, -13,  -1,13,170.3,⑯⑯⑯,15, 7,Ｆヒップホップダンス, 53,石橋守, 3.5, 32,  -4, -30, 6, 16.4, ③⑥,,,,,,,,,,,,,15, 1,Ｆソラメンテウナベス, 85,佐藤哲, 3.1, 65,* 12, -15,10, 65.5,④④⑪
16, 2,Ｆサンライズアルザス, 62,浜中俊, 5.4, 29,   0, -32, 5, 13.0,②④⑩,,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｏコウジンアルス, 74,熊沢重, 3.9, 64,* 13, -24,13,255.7,①①⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,400円 複勝:04=410円 10=170円 07=180円 枠連:1,660円",,,,,,,,,,,,単勝:310円 複勝:13=140円 09=250円 03=210円 枠連:450円,,,,,,,,,,,,単勝:650円 複勝:04=170円 12=130円 07=610円 枠連:610円,,,,,,,,,,,,"単勝:740円 複勝:02=180円 08=170円 10=1,360円 枠連:910円",,,,,,,,,,,
"馬連:2,860円 ワイド:04-10=1,170円 04-07=1,340円 07-10=510円",,,,,,,,,,,,馬連:990円 ワイド:09-13=540円 03-13=440円 03-09=830円,,,,,,,,,,,,"馬連:790円 ワイド:04-12=380円 04-07=2,590円 07-12=1,550円",,,,,,,,,,,,"馬連:1,230円 ワイド:02-08=420円 02-10=4,530円 08-10=4,430円",,,,,,,,,,,
"馬単:7,580円 3連複:5,450円 3連単:46,330円",,,,,,,,,,,,"馬単:1,650円 3連複:2,270円 3連単:12,440円",,,,,,,,,,,,"馬単:2,130円 3連複:9,000円 3連単:43,240円",,,,,,,,,,,,"馬単:3,360円 3連複:30,050円 3連単:139,460円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 9R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,18,Ｄウルル, 59,浜中俊,, 64,* -5,   3, 2,  4.5, ②②, 1, 1,Ｃスｰサングレｰト, 70,和田竜,, 76,* 14,* -4, 1,  2.8,②③②, 1,12,Ａマジンプロスパｰ, 73,北村友,, 71,*  6,   4, 4,  5.3, ③③, 1,14,Ａレオプライム, 78,ピンナ,, 80,   2,* 12, 2,  5.7, ⑨⑨
 2,12,Ａコアレスシルバｰ, 63,芹沢純, 0.1, 63,* -8,   5, 1,  4.3, ③③, 2, 2,Ｅアバウト, 69,芹沢純, 0.0, 74,* 16,  -9, 4,  6.2,①①①, 2, 4,Ｈマックスコヒヌｰル, 66,浜中俊, 0.0, 73,*  8,   2, 9, 27.5, ①①, 2, 6,Ｄテｰブルスピｰチ, 76,四位洋, 0.0, 81,   2,* 14, 1,  4.7, ⑫⑩
 3,10,Ｅサクラアドニス, 58,四位洋, 0.2, 65, -20,* 16, 3,  4.8, ⑭⑭, 3, 6,Ｈカネトシマｰシャル, 63,国分恭, 0.7, 69,  13, -10, 8, 62.5,⑦⑥⑥, 3, 1,Ｇエリモサプライズ, 68,和田竜, 0.5, 68,   5,   0, 3,  5.2, ④⑤, 3,15,Ｃユメノキラメキ, 76,川島信, 0.3, 76,*  9,  -1, 5,  7.8, ②②
 4, 6,Ｂハッピｰトゥデイ, 61,ピンナ, 0.3, 62, -12,   7, 4,  7.9, ⑥⑦, 4, 9,Ｂピｰスフルアｰス, 71,秋山真, 0.9, 67,  13, -14, 5, 11.0,⑤⑤④, 4, 7,Ｂウォｰタｰサムデイ, 72,幸英明, 0.5, 68,   4,   2, 2,  4.6, ⑥⑥, 4,10,Ｂウインバンディエラ, 78,北村友, 0.3, 77,  -1,* 12, 4,  7.5, ⑭⑬
