11年 1月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,巌流島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:4,100円 3連複:1,110円 3連単:13,260円",,,,,,,,,,,,"馬単:18,200円 3連複:7,890円 3連単:84,640円",,,,,,,,,,,,"馬単:3,140円 3連複:5,390円 3連単:29,760円",,,,,,,,,,,,"馬単:1,080円 3連複:12,520円 3連単:35,670円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  芝2000m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関門橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｎゴｰルドロジャｰ, 39,大野拓,, 61,  -3,* 15,13,104.6,⑯⑫⑧, 1,11,Ａレオキュｰト, 78,丸山元,, 72,   2,* 12, 2,  4.0,⑪⑬⑪, 1, 8,Ｊパｰルグレイピアス, 72,浜中俊,, 78,* 10,  10, 3,  7.7,⑫④③, 1, 2,Ａラフォルジュルネ, 90,田辺裕,, 81,   7,  11, 1,  2.0,④⑤④
 2,11,Ｆウインジュビリｰ, 57,中舘英, 0.1, 59,*  2,   4, 2,  3.4,①①①, 2, 7,Ｃクリノマックス, 73,宮崎北, 0.1, 69,   4,   6, 3,  7.7,⑦⑦④, 2, 3,Ｃピエナファンタスト, 79,川須栄, 0.1, 80,   6,* 21, 6, 16.3,⑭⑯⑯, 2, 6,Ｊメイショウカンパク, 77,藤岡康, 0.0, 84,   5,  13, 2,  5.6,⑦⑦⑦
 3,13,Ｄタッチドヘヴンリｰ, 61,浜中俊, 0.1, 60,*  2,   5, 3,  3.7,②②②, 3, 8,Ｂユキノクイｰン, 75,西田雄, 0.2, 69,*  6,   3, 1,  2.2,③③②, 3,11,Ｉトミケンプライム, 72,丸山元, 0.2, 79,   9,  14, 7, 19.5,⑪⑫⑪, 3,11,Ｅスカイリュウホｰ, 79,浜中俊, 0.2, 80,   7,   6, 5, 14.1,⑥③②
 4, 7,Ａスマｰトリブレ, 65,松山弘, 0.4, 61,  -2,   7, 4, 11.3,⑬⑧⑦, 4, 9,Ｄホワイトジュエル, 72,二本柳, 0.5, 69,   3,   6, 6, 25.3,⑫⑪⑧, 4, 4,Ｂスイｰトテン, 82,鮫島良, 0.2, 79,   7,* 17, 1,  2.1,⑨⑮⑭, 4, 1,Ｃデンコウオクトパス, 81,勝浦正, 0.4, 82,   2,* 19, 4,  6.4,⑩⑪⑩
 5, 9,Ｈノッティングボｰイ, 54,黛弘人, 0.9, 55,  -2,   5,10, 48.1,⑫⑨⑨, 5, 2,Ｅパルクエスト, 70,中舘英, 0.5, 65,*  8,  -4,11, 50.5,②①①, 5,12,Ｅアドマイヤジャガｰ, 79,武幸四, 0.4, 75,   9,   8, 4, 11.4,⑩⑩⑩, 5, 7,Ｉニュｰビギニング, 78,北村友, 0.5, 80,   1,  15, 9, 55.9,⑪⑨⑨
 6, 4,Ｌタカオノボル, 49,小野寺, 0.9, 56,  -5,* 10, 9, 43.4,⑩⑬⑫, 6,12,Ｊラブソネット, 66,鮫島良, 0.5, 68,   4,   5, 7, 26.5,⑧⑧⑦, 6, 9,Ｌメイショウユウシャ, 70,古川吉, 0.6, 72,* 12,  -3, 8, 28.4,④②②, 6, 4,Ｄノボリデュｰク, 80,石橋守, 0.6, 75,*  8,  -2, 8, 33.9,②②③
