11年12月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 3, 6,Ｂスリｰアルテミス, 73,川須栄, 0.9, 69,   1,   6, 2,  4.9,⑥⑥⑥, 3, 7,Ｈポピュラｰストック, 64,勝浦正, 0.5, 69,   0,   6, 8, 21.3, ④④, 3, 5,Ｈオズフェスト, 66,柴山雄, 0.2, 67,*  6,   7, 4,  9.2,②②②, 3, 6,Ｈドリｰムザネクスト, 79,江田照, 0.4, 77,   8,  11, 2,  4.6,⑨⑧⑦
 4, 1,Ｅカメリアビジュ, 71,西村太, 0.9, 68,  -1,*  9, 7, 13.6,⑫⑫⑨, 4, 2,Ｅコスモドロス, 66,丹内祐, 0.6, 70,  -2,   8, 4,  9.3, ⑤⑤, 4, 4,Ｃマｰベラスバロン, 71,渡辺薫, 0.4, 69,   4,   7, 2,  3.5,⑤⑤④, 4, 2,Ｍファンタズミック, 70,柴山雄, 0.5, 76,   4,* 16, 7, 13.9,⑯⑯⑮
 5, 8,Ｆラブソネット, 71,オドノ, 1.2, 65,   2,   2, 5,  8.0,⑤④④, 5, 5,Ａアウトオブオｰダｰ, 74,丸田恭, 0.8, 65,  -4,   6, 1,  2.4, ⑦⑥, 5, 2,Ｊグレｰトヴァリュｰ, 63,松田大, 0.9, 65,   5,   3, 6, 14.6,④③③, 5, 1,Ｃエｰシンマダムジｰ, 82,オドノ, 0.5, 77,   6,  13, 3,  6.9,⑫⑬⑪
 6,14,Ｃシｰズガレット, 73,松山弘, 1.3, 67,  -2,   8, 3,  5.1,⑮⑯⑪, 6, 4,Ｆスワット, 65,宮崎北, 0.8, 67,  -7,* 10,10, 43.0, ⑩⑨, 6, 3,Ｄスタｰサイクル, 71,国分優, 0.9, 64,   3,   7, 8, 16.5,⑧⑨⑧, 6,12,Ｅツルマルシルバｰ, 80,大野拓, 0.9, 73,   6,   9,14, 77.7,⑮⑮⑬
 7,11,Ｄライラックパンチ, 72,柴山雄, 1.9, 58,   3,  -6, 1,  4.2,③②③, 7,12,Ｋコットンフィｰルド, 57,高倉稜, 1.0, 64, -10,* 10, 9, 26.0, ⑫⑫, 7, 8,Ｅエイシンクエスト, 68,川須栄, 0.9, 64,*  6,   0, 3,  6.5,①①①, 7,10,Ｆテツキセキ, 80,川須栄, 0.9, 75,   9,   5, 8, 14.1,⑤⑤⑤
 8,15,Ｈパブリックアフェア, 70,大野拓, 2.1, 59,  -1,  -1,10, 39.0,⑪⑮⑯, 8, 9,Ｄマンダリンレイ, 66,黛弘人, 1.3, 61,  -7,   4, 5, 11.0, ⑪⑪, 8, 7,Ｆマイネルティンラン, 68,丹内祐, 1.0, 66,   4,   4,10, 34.9,⑦⑧⑩, 8, 5,Ｎチャｰミｰハヅキ, 69,酒井学, 1.1, 71,* 10,   1,12, 55.2,②②②
 9,10,Ｏレイナカスタｰニャ, 58,村田一, 2.1, 58,   1,  -5, 8, 27.1,⑦⑦⑧, 9, 8,Ｇマスタｰウィンド, 65,西田雄, 1.3, 60,  -5,   1,11, 55.9, ⑧⑩, 9,10,Ｂスノウプリンス, 71,吉田隼, 1.1, 63,   2,   6, 7, 15.2,⑫⑪⑨, 9, 7,Ｋセイピｰシｰズ, 71,西村太, 1.1, 72,   7,   6,15,110.4,⑭⑨⑨
10, 2,Ａニシノキュアノス, 73,吉田隼, 2.2, 58,   0,  -4, 4,  6.3,⑨⑪⑩,10, 3,Ｊキチロクアナン, 57,二本柳, 1.4, 58,  -8,   3,12,207.4, ⑨⑧,10,11,Ｇナスムネタカ, 66,幸英明, 1.4, 63,   3,   3, 9, 33.5,⑩⑩⑪,10,11,Ｇマｰブルデイビｰ, 80,上野翔, 1.2, 72,   7,   6,10, 43.4,⑩⑪⑩
11, 9,Ｊアｰトオブダンサｰ, 67,渡辺薫, 2.3, 60,  -1,  -3, 9, 31.3,⑭⑬⑫,11,10,Ｂユメノカケハシ, 73,柴山雄, 1.4, 59,  -2,  -2, 6, 13.9, ⑥⑦,11, 1,Ｋイｰジｰウイン, 60,黛弘人, 1.4, 64,   2,   5,12,136.1,⑪⑫⑫,11,16,Ｄゴｰルデンジャガｰ, 81,幸英明, 1.8, 68,* 10,  -5, 4,  7.0,③③⑧
12, 5,Ｋワニタバンテン, 65,丹内祐, 2.4, 59,   3,  -9,13, 77.2,②③⑤,12,11,Ｌナリタキングロｰド, 51,中舘英, 1.7, 55,*  3, -12, 7, 14.3, ②③,12,12,Ｌガツｰン, 48,嘉藤貴, 1.9, 57,   5,  -6,11,114.4,③④⑤,12, 8,Ｉメイクアダッシュ, 76,伊藤工, 2.0, 67,   6,   0,16,145.3,⑬⑭⑭
13,12,Ｉツルギアラｰトン, 69,水口優, 2.4, 57,  -1,  -4,16,222.2,⑬⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｐハニｰメロンチャン, 68,藤懸貴, 2.0, 65,* 10,  -7,11, 44.0,①①①
14, 3,Ｎイケマドンナ, 59,松田大, 2.5, 58,   1,  -6,15,207.6,⑩⑨⑬,,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｊリアライズキング, 73,国分優, 2.0, 65,   9,  -5, 9, 26.8,④④④
15,16,Ｐツヨイコ, 51,酒井学, 2.8, 53,*  7, -21,12, 74.8,①①②,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｏアンプレシオネ, 68,松山弘, 3.4, 56,   8, -16,13, 63.1,⑥⑥⑫
16,13,Ｌクラシフィカドｰル, 62,杉原誠, 5.9, 33,   1, -37,14,151.4,⑧⑩⑮,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ａハジメレンジャｰ, 83,中舘英, 3.7, 55,   7, -16, 5, 10.0,⑪⑫⑯
