11年 1月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,かささぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 8,Ａコウエイニコニコ, 60,高倉稜, 0.8, 52, -10,* 10, 7, 23.3,⑮⑭⑩, 7, 6,Ｃアグネスフリｰダム, 74,太宰啓, 2.2, 58,*  7, -17, 4, 14.7,③②④, 7, 8,Ｄマスタｰチアフル, 70,飯田祐, 0.9, 61,  -7,   1, 4,  8.2, ⑥⑤, 7, 6,Ａマイネルレイン, 81,クラス, 0.6, 71,*  5,   2, 1,  2.3,②②②
 8,11,Ｂニホンピロザジ, 56,酒井学, 1.3, 50,  -2,  -7, 4,  5.1,④⑤⑦, 8, 8,Ｆウイントランザム, 69,和田竜, 2.5, 58,   6, -17, 5, 18.7,⑥⑥⑨, 8,11,Ｋフィドルプレイヤｰ, 60,北村友, 1.0, 59, -14,   6, 7, 20.6, ⑫⑬, 8, 3,Ｅリアルハヤテ, 75,西田雄, 0.6, 75,   0,  14,11, 57.8,⑩⑩⑩
 9, 6,Ｏログインデジタル, 28,丸山元, 2.0, 47, -10,   2,11, 95.1,⑭⑬⑫, 9, 2,Ｈヴィジレ, 68,クラス, 3.0, 54,   6, -22, 8, 41.9,②⑤⑧, 9,12,Ｆスナｰクトマホｰク, 68,高倉稜, 1.0, 60,  -8,   1, 5,  8.9, ⑨⑦, 9, 9,Ｉエｰシンサンスタｰ, 71,北村友, 1.2, 67,  -1,   6,12, 69.1,⑪⑪⑫
10,14,Ｎホクザンヴィリル, 30,野元昭, 3.1, 37,  -8, -13,16,323.6,⑫⑫⑭,,,,,,,,,,,,,10,10,Ｍセレブビスティｰ, 58,勝浦正, 1.1, 59, -15,   6,11, 35.2, ⑭⑫,10,11,Ｊピノブラン, 71,野元昭, 1.7, 59,*  6, -15,10, 51.0,①①①
11,16,Ｌアキノグッドラック, 37,西村太, 3.3, 35,  -9, -14,15,264.7,⑪⑪⑬,,,,,,,,,,,,,11, 9,Ｐスウィングダンス, 53,鮫島克, 1.1, 60, -16,   8,15, 48.6, ⑮⑭,11,10,Ｈインテンスブルｰ, 71,高倉稜, 1.8, 58,*  5, -14, 8, 38.2,③③⑤
12, 5,Ｍマスタｰサイプレス, 36,西田雄, 3.3, 34,  -7, -16,14,173.2,⑨⑩⑪,,,,,,,,,,,,,12, 7,Ｊフェリスホイｰル, 62,太宰啓, 1.2, 57, -10,  -1,14, 38.2, ⑧⑨,12,12,Ｌトムウィンズ, 65,丸山元, 1.9, 60,  -3,   1, 9, 46.2,⑫⑫⑪
13,15,Ｋキングファルコン, 41,クラス, 3.5, 33,  -5, -22, 8, 24.7,⑥⑨⑨,,,,,,,,,,,,,13, 4,Ｎメイショウヨリトモ, 58,藤岡康, 1.4, 55,  -6,  -7,13, 36.3, ④④,,,,,,,,,,,,
14, 9,Ｈバンブｰマンユｰ, 49,赤木高, 3.5, 33,* -1, -27, 9, 38.4,②②⑥,,,,,,,,,,,,,14,13,Ｏシェアアプロｰズ, 56,鮫島良, 1.5, 57, -20,   7,17,191.6, ⑯⑯,,,,,,,,,,,,
15, 1,Ｐトｰセンチャｰリｰ, 25,大野拓, 7.6,  8, -13, -43,13,171.8,⑬⑮⑮,,,,,,,,,,,,,15, 1,Ｉトクトイムスメ, 65,松山弘, 1.6, 53, -22,   6,16, 74.3, ⑰⑰,,,,,,,,,,,,
16, 4,Ｊアビリティバイオ, 45,松山弘, 7.6, 13, -24, -22,12,149.7,⑯⑯⑯,,,,,,,,,,,,,16,16,Ｈプリンセスパトラ, 65,田中博, 2.0, 47, -14,  -7, 6, 16.7, ⑬⑮,,,,,,,,,,,,
