11年 7月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝2200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,
単勝:320円 複勝:06=130円 11=250円 05=220円 枠連:860円,,,,,,,,,,,,単勝:150円 複勝:13=110円 07=150円 11=210円 枠連:270円,,,,,,,,,,,,"単勝:570円 複勝:05=180円 16=180円 04=190円 枠連:1,490円",,,,,,,,,,,,"単勝:1,400円 複勝:04=400円 13=290円 15=170円 枠連:2,330円",,,,,,,,,,,
"馬連:1,090円 ワイド:06-11=460円 05-06=510円 05-11=1,120円",,,,,,,,,,,,馬連:290円 ワイド:07-13=180円 11-13=360円 07-11=560円,,,,,,,,,,,,"馬連:1,500円 ワイド:05-16=420円 04-05=450円 04-16=520円",,,,,,,,,,,,"馬連:11,080円 ワイド:04-13=2,300円 04-15=1,170円 13-15=920円",,,,,,,,,,,
"馬単:1,830円 3連複:2,850円 3連単:12,900円",,,,,,,,,,,,"馬単:400円 3連複:950円 3連単:1,820円",,,,,,,,,,,,"馬単:2,690円 3連複:2,400円 3連単:13,030円",,,,,,,,,,,,"馬単:20,920円 3連複:12,570円 3連単:118,070円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾟﾛｷｵﾝｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｃエアポｰトメサ, 62,川須栄,, 68,  -2,*  8, 5, 10.8,⑫⑩⑩, 1, 6, キクノストｰム,---,幸英明,, 66,*  2,* -2, 5,  8.1, ①①, 1, 7,Ｂブルロック, 79,佐藤哲,, 80,*  7,* 12, 1,  4.2,③②②, 1, 6,Ｉシルクフォｰチュン, 90,藤岡康,, 95,   7,* 26, 9, 44.8, ⑯⑭
 2, 7,Ｇメイショウカルロ, 58,藤岡康, 0.1, 67,   0,*  4, 4,  9.1,④⑥⑥, 2,11, ゴｰイングストｰン,---,国分優, 1.1, 54,  -4,* -7, 3,  5.8, ⑥⑥, 2,14,Ｃマカリオス, 79,川須栄, 0.3, 77,*  7,   8, 2,  4.2,①①①, 2,13,Ａダノンカモン, 97,和田竜, 0.4, 92,  13,  15, 3,  5.6, ⑧⑤
 3,14,Ｂエｰシンイオマンテ, 67,武豊  , 0.2, 67,   0,*  4, 1,  3.0,⑩⑦⑦, 3, 9, パトロネｰジュ,---,福永祐, 1.7, 49,*  0, -16, 1,  3.0, ②②, 3,13,Ａアドマイヤショット, 81,幸英明, 1.0, 75,   6,   6, 4,  6.9,⑥④④, 3, 2,Ｂケイアイガｰベラ, 94,秋山真, 0.6, 91,* 18,   7, 1,  1.8, ①①
 4,12,Ｅネオファッショ, 60,福永祐, 0.4, 64,*  1,  -1, 6, 12.5,⑤④④, 4,13, サチノポピｰ,---,和田竜, 2.8, 39,  -2, -24, 2,  4.6, ③③, 4,16,Ｈボストンリョウマ, 73,和田竜, 1.0, 75,   6,   6, 8, 15.0,⑧⑤⑤, 4,12,Ｏコンティネント, 85,北村友, 0.8, 87,  12,  13,14,211.9, ⑬⑬
 5, 6,Ｊタイセイジｰニアス, 48,和田竜, 0.8, 62,*  2,  -6, 7, 13.9,①①①, 5, 8, クｰルラオウ,---,太宰啓, 2.9, 35, -19,  -9, 9, 40.0, ⑫⑫, 5,12,Ｊウインベルカント, 72,武豊  , 1.1, 75,   5,   6, 9, 20.3,⑨⑥⑥, 5,16,Ｋインオラリオ, 89,酒井学, 1.1, 85,  12,  10,15,223.7, ⑩⑨
 6, 5,Ｄフィオリア, 61,川田将, 1.0, 61,*  1,  -6, 3,  5.4,②②②, 6, 5, メイショウスザンナ,---,浜中俊, 3.0, 37,  -5, -23, 6, 12.1, ⑦④, 6, 4,Ｅディアヴァンドｰム, 77,柴原央, 1.4, 71,*  7,   1, 7, 13.1,④③③, 6,11,Ｃナムラタイタン, 93,熊沢重, 1.1, 87,  14,   7, 2,  5.3, ⑤③
 7, 1,Ｈマｰティンジｰン, 56,渡辺薫, 1.2, 61,  -4,   2, 8, 28.9,⑯⑫⑪, 7, 7, デンコウベリル,---,松山弘, 3.0, 37,  -3, -25, 4,  6.9, ④⑤, 7,11,Ｏリキアイクロフネ, 66,大庭和, 1.5, 72,   4,   6,10, 30.7,⑪⑨⑨, 7, 9,Ｎマルカフリｰト, 85,福永祐, 1.1, 86,  14,   9, 7, 37.7, ⑦⑦
 8, 4,Ｆチュウワプリンセス, 58,森一馬, 1.4, 58,  -1,  -5, 9, 64.6,⑧⑨⑧, 8,10, シゲルヒメリンゴ,---,川須栄, 3.0, 37,  -3, -24,11,102.8, ⑤⑦, 8, 2,Ｄランブリングロｰズ, 78,藤岡康, 1.5, 73,   2,* 10, 5, 10.6,⑩⑬⑬, 8, 5,Ｌスｰニ, 88,川田将, 1.2, 86,  12,  10,10, 47.0, ⑨⑪
 9,13,Ｌミスタｰガラメキ, 46,花田大, 2.0, 54,*  1, -14,13,288.8,⑥⑤⑤, 9, 3, パｰプルタイガｰ,---,北村友, 3.1, 34,  -7, -22, 7, 12.4, ⑧⑧, 9, 3,Ｌマイネルティンラン, 71,高倉稜, 1.5, 73,   1,* 12,14,174.4,⑭⑯⑭, 9,15,Ｇシャア, 90,小坂忠, 1.2, 85,  12,  10, 5, 26.9, ⑪⑩
10, 2,Ｉサンライズスタｰ, 52,高倉稜, 2.4, 52,  -5,  -5,10, 75.2,⑭⑮⑮,10, 1, アッパレオリュウ,---,野元昭, 3.1, 34, -17, -12,12,139.4, ⑪⑪,10, 9,Ｆテイエムバゴオｰ, 74,国分優, 1.5, 72,   5,   3, 6, 11.4,⑤⑧⑦,10,14,Ｍフサイチセブン, 86,武幸四, 1.4, 83,   8,  12,13, 74.8, ⑮⑮
11, 8,Ａトウカイパスカル, 70,国分優, 2.4, 51,*  1, -19, 2,  3.4,③③③,11,14, テイエムムスタング,---,国分恭, 4.3, 27, -21, -18,10, 97.8, ⑭⑭,11,10,Ｉナリタチャレンジ, 73,浜中俊, 1.7, 72,   3,   5,11,100.4,⑫⑫⑫,11, 4,Ｅワｰルドワイド, 91,武豊  , 1.4, 84,  11,   9, 4,  9.7, ⑫⑫
12,11,Ｎヒルノカヴｰル, 42,佐久間, 3.2, 45,   0, -23,14,339.4,⑨⑧⑨,12, 2, イチバンダヨリ,---,高倉稜, 4.3, 26, -20, -19,13,220.2, ⑬⑬,12,15,Ｍキョウワシャドｰ, 68,熊沢重, 1.7, 74,   4,   5,16,267.2,⑬⑩⑩,12,10,Ｐメイショウセンゴク, 79,幸英明, 1.6, 82,   8,  11,16,444.4, ⑭⑯
13,16,Ｋアクアピュｰラ, 48,幸英明, 3.3, 47,  -5, -16,11,135.8,⑬⑭⑬,13, 4, ヤマニンファルバラ,---,田中健, 4.4, 25,  -8, -32, 8, 21.8, ⑨⑨,13, 5,Ｋタガノキャプテン, 72,太宰啓, 1.8, 70,   1,   8,13,122.9,⑮⑭⑮,13, 8,Ｊトｰホウオルビス, 90,大庭和, 2.5, 74,  14,  -5,11, 49.9, ④⑥
14, 3,Ｍサントレメンドス, 44,北村友, 4.0, 41,  -6, -17,12,246.6,⑮⑯⑯,14,12, タイムリｰ,---,大下智, 5.7, 15,  -8, -41,14,251.6, ⑩⑩,14, 1,Ｐニチリン, 64,酒井学, 2.7, 62,   5,  -7,12,113.6,②⑦⑧,14, 1,Ｄエノク, 92,浜中俊, 2.5, 75,  14,  -5, 6, 28.7, ③④
15,10,Ｐメイショウオオダマ, 32,国分恭, 4.5, 39,  -3, -28,15,357.9,⑦⑪⑫,,,,,,,,,,,,,15, 6,Ｇマリブスタｰ, 74,福永祐, 3.3, 59,   3,  -9, 3,  5.3,⑦⑪⑪,15, 3,Ｈドスライス, 90,鮫島良, 2.8, 72,  13,  -5,12, 74.4, ⑥⑧
16, 9,Ｏロッキｰラクｰン, 41,安藤光, 5.1, 35,  -4, -31,16,567.9,⑪⑬⑭,,,,,,,,,,,,,16, 8,Ｎイメｰジレイナ, 68,高橋亮, 3.4, 60,   2,  -6,15,254.6,⑯⑮⑯,16, 7,Ｆアｰリｰロブスト, 90,太宰啓, 2.9, 71,* 16, -11, 8, 43.6, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,080円 複勝:15=360円 07=320円 14=160円 枠連:1,440円",,,,,,,,,,,,"単勝:810円 複勝:06=220円 11=160円 09=150円 枠連:1,730円",,,,,,,,,,,,単勝:420円 複勝:07=140円 14=140円 13=160円 枠連:490円,,,,,,,,,,,,"単勝:4,480円 複勝:06=660円 13=170円 02=110円 枠連:5,250円",,,,,,,,,,,
"馬連:6,600円 ワイド:07-15=1,870円 14-15=900円 07-14=690円",,,,,,,,,,,,"馬連:2,790円 ワイド:06-11=670円 06-09=450円 09-11=500円",,,,,,,,,,,,馬連:870円 ワイド:07-14=340円 07-13=510円 13-14=440円,,,,,,,,,,,,"馬連:12,450円 ワイド:06-13=3,010円 02-06=1,470円 02-13=260円",,,,,,,,,,,
"馬単:12,140円 3連複:7,200円 3連単:63,030円",,,,,,,,,,,,"馬単:6,200円 3連複:2,910円 3連単:25,440円",,,,,,,,,,,,"馬単:1,610円 3連複:1,360円 3連単:5,640円",,,,,,,,,,,,"馬単:34,190円 3連複:8,560円 3連単:117,300円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,一乗寺特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃミッキｰホワイト, 62,福永祐,, 66,*  6,  -3, 1,  2.3, ②②, 1, 9, プレノタｰト,---,佐藤哲,, 58, -17,*  5, 4,  6.8, ⑤⑤, 1, 9,Ｄドリｰムカトラス, 74,国分恭,, 80,   4,  14, 5, 17.4, ⑤④, 1, 8,Ｈサミットストｰン, 70,鮫島良,, 73,  -3,* 15, 7, 16.5, ⑭⑬
 2,16,Ｇダンツソレイユ, 55,松山弘, 0.4, 63,*  7,  -8, 6, 15.5, ①①, 2,13, マイネルアルティマ,---,酒井学, 0.2, 54,*-14,  -1, 1,  2.7, ③③, 2,18,Ｊユキノサイレンス, 67,福永祐, 0.1, 79,*  5,  10, 7, 41.7, ④②, 2, 7,Ｅピサライコネン, 73,浜中俊, 0.0, 74,   4,*  9, 2,  5.3, ⑤⑤
 3, 6,Ａサンダｰストラック, 65,川田将, 0.4, 62,   2,  -1, 2,  3.8, ⑦⑥, 3, 5, オｰクブラフ,---,国分優, 0.2, 55, -16,   1, 2,  3.7, ④④, 3,15,Ｂセイルラｰジ, 78,浜中俊, 0.2, 82,  -3,* 24, 1,  1.7, ⑱⑫, 3,14,Ｊワンダｰビｰナス, 69,佐藤哲, 0.0, 72,*  4,   8,12, 45.1, ③③
 4,14,Ｂウエリントンシチｰ, 62,佐藤哲, 0.7, 57,  -3,*  2, 3,  6.6, ⑫⑩, 4, 3, レｰザｰインパクト,---,福永祐, 0.6, 49,*-15,  -6, 3,  5.3, ②②, 4,14,Ｆサトノパンサｰ, 73,和田竜, 0.3, 79,  -4,* 20, 3,  6.1, ⑯⑪, 4,13,Ｆマｰベラスビジン, 72,太宰啓, 0.5, 68,   2,   6,10, 32.9, ⑦⑧
 5,15,Ｅスズカルンバ, 57,花田大, 0.8, 57,  -1,  -1,11,114.8, ⑩⑫, 5,11, ボストンストロング,---,和田竜, 1.0, 46, -20,  -5,10, 39.6, ⑥⑥, 5, 8,Ｅナイスミｰチュｰ, 74,武豊  , 0.4, 76,  -2,* 16, 4, 13.6, ⑩⑨, 5, 6,Ｃラインオブナイト, 74,川田将, 0.5, 69,   3,   5, 4,  7.6, ④④
 6, 2, グレイレジェンド,---,石橋守, 0.9, 56,  -5,*  4,10, 65.2, ⑭⑬, 6,12, エｰシンクイッカｰ,---,川田将, 1.2, 43, -20,  -6, 9, 30.1, ⑧⑧, 6, 5,Ｃヤマカツゴｰルド, 75,松山弘, 0.5, 75,   1,  10, 6, 35.2, ⑦⑧, 6,12,Ａナムラナイト, 76,国分優, 0.6, 68,*  4,   3, 3,  6.7, ②②
 7, 3,Ｊリュミエｰルゲラン, 49,渡辺薫, 1.1, 56,  -1,  -2,14,229.1, ⑪⑪, 7, 7, スピカシチｰ,---,太宰啓, 1.3, 45, -26,   1,11, 62.5, ⑩⑨, 7,11,Ａタムロスカイ, 80,佐藤哲, 0.5, 74,   2,   9, 2,  5.1, ⑧⑤, 7,16,Ｏゴｰオンホｰマン, 63,飯田祐, 0.7, 67,  -1,   8,13,141.9, ⑪⑫
 8, 7,Ｄケイオｰユニバｰス, 59,川須栄, 1.1, 55,   0,  -5, 5, 13.3, ⑨⑧, 8,10, オビｰディエント,---,秋山真, 1.5, 44, -30,*  3, 8, 28.8, ⑫⑩, 8, 1,Ｈアルトゥバン, 67,北村友, 0.8, 71,  -4,  13, 9, 64.2, ⑫⑬, 8, 5,Ｂアｰトオブビｰン, 76,渡辺薫, 0.7, 67,  -1,   8, 8, 19.0, ⑫⑪
 9,11,Ｆボビｰバロｰズ, 57,高倉稜, 1.2, 55,   3,  -9, 4,  8.3, ⑤⑤, 9, 1, ロｰレルイニシオ,---,松山弘, 2.5, 25,*-13, -33, 6, 18.9, ①①, 9, 2,Ｎザルグｰン, 63,藤岡康, 0.9, 72,  -5,  15,11, 99.8, ⑰⑱, 9, 9,Ｋドクトルジバゴ, 68,和田竜, 0.7, 67,   1,   6, 6, 11.9, ⑧⑦
10, 8,Ｉキｰメｰカｰ, 54,和田竜, 1.4, 54,   4, -13, 7, 26.1, ④④,10, 8, ラブディラン,---,北村友, 3.0, 22, -19, -29, 7, 25.2, ⑦⑦,10, 4,Ｍメイショウコウセイ, 63,太宰啓, 0.9, 70,  -4,  12,14,135.7, ⑭⑭,10,15,Ｌセラヴィ, 68,藤懸貴, 0.7, 67,*  6,   1, 9, 21.9, ①①
11,10,Ｈグロｰバルチャｰジ, 55,藤岡康, 1.9, 50,*  5, -18,12,133.3, ③③,11, 4, シゲルアｰモンド,---,高倉稜, 3.8, 12, -28, -30,13,181.7, ⑨⑪,11,12,Ｇケイト, 67,酒井学, 1.0, 67,  -1,   6,13,109.2, ⑪⑩,11,10,Ｇノボジュピタｰ, 72,川須栄, 0.8, 66,   1,   5, 5, 11.7, ⑨⑨
12, 9,Ｌダブルエッグ, 48,太宰啓, 2.1, 47,   0, -14, 9, 45.4, ⑧⑨,12, 6, シゲルハッサク,---,川須栄, 3.8, 12, -32, -26,12, 82.1, ⑪⑫,12,13,Ｏタマモユニヴァｰス, 62,大庭和, 1.2, 64,   3,  -4,16,281.1, ⑨⑥,12, 3,Ｄエｰシンハダル, 74,福永祐, 0.9, 65,   2,   3, 1,  2.8, ⑥⑥
13, 1,Ｋダイヤモンドアロｰ, 48,藤懸貴, 2.1, 48,   3, -16,13,150.2, ⑥⑦,13, 2, ドンクラｰケン,---,幸英明, 6.5,-20, -39, -51, 5, 16.8, ⑬⑬,13, 3,Ｌプライドワン, 64,柴原央, 1.3, 64,   0,  -2,17,357.9, ⑥⑦,13, 4,Ｎドリｰムゲイル, 64,熊沢重, 1.2, 63,   0,   2,11, 36.9, ⑩⑩
14, 5, バノックバｰン,---,北村友, 2.3, 43,  -9,  -4, 8, 31.1, ⑮⑮,,,,,,,,,,,,,14,10,Ｋウエストエンド, 65,川須栄, 1.5, 63,  -6,   7,10, 77.1, ⑮⑯,14, 1,Ｍシゲルカンサヤク, 66,北村友, 1.3, 61,  -4,   5,14,158.5, ⑬⑭
15, 4,Ｍマイアイゼｰレ, 38,酒井学, 3.6, 35, -11, -12,16,577.6, ⑯⑯,,,,,,,,,,,,,15,16,Ｑレスタｰビｰト, 59,国分優, 1.6, 59,   3, -10,12,105.6, ②③,15,11,Ｐウィズインカチドキ, 54,花田大, 2.6, 50, -15,   4,15,268.8, ⑮⑮
