11年10月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2100m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,昇仙峡特別,,,,,,,,,,,,ｱｲﾙﾗﾝﾄﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｅマイネルモｰヴ, 39,松岡正,, 53,* -8, -11, 2,  3.5, ①①, 1, 3,Ｈナンヨｰクイｰン, 61,江田照,, 73,* 11,   0, 8, 13.0, ①①, 1, 1,Ａステラロッサ, 86,柴田善,, 89,   2,* 22, 2,  3.3,⑨⑨⑨, 1, 9,Ｄトｰセンレｰヴ, 85,ピンナ,, 92,  11,  17, 1,  1.5,⑧⑦⑦
 2,10,Ｆコンティヌアトｰレ, 37,嶋田純, 0.2, 50,* -8, -13, 7, 17.6, ②②, 2, 8,Ｄアフィントン, 68,柴田善, 0.4, 71,   6,*  5, 2,  4.7, ⑥⑤, 2, 2,Ｄミカエルビスティｰ, 80,三浦皇, 0.2, 86,   4,  16, 3,  4.5,⑥⑥⑦, 2, 4,Ａカワキタコマンド, 87,後藤浩, 0.2, 90,  10,  17, 4, 11.7,⑦⑧⑧
 3, 8,Ｉダイヤモンタｰニャ, 28,江田照, 0.2, 53, -13,* -6, 9,107.2, ⑦⑦, 3, 4,Ｊオｰルドアメリカン, 41,北村宏, 0.4, 70,   6,   2, 6,  9.0, ②②, 3, 5,Ｆアｰスステップ, 78,北村宏, 0.2, 86,   2,* 20, 5,  9.5,⑦⑧⑧, 3, 7,Ｇアｰスシンボル, 83,田中勝, 0.2, 91,   8,* 22,10, 51.1,⑨⑨⑨
 4, 2,Ａドラゴンネスト, 49,田中勝, 0.3, 50, -12, -10, 3,  3.8, ③③, 4, 1,Ｆピュアマインド, 65,三浦皇, 1.0, 68,   4,   2, 1,  4.6, ⑨⑦, 4, 4,Ｂヒシカツジェｰムス, 85,蛯名正, 0.2, 85,   7,  11, 1,  2.9,④④④, 4, 1,Ｃポルカマズルカ, 85,横山典, 0.4, 85,  12,   7, 2,  6.6,③④③
 5, 1,Ｃブランドマックス, 47,柴田善, 0.4, 52, -15,* -4, 6, 13.4, ⑨⑨, 5, 6,Ｇクリスマドンナ, 62,後藤浩, 1.1, 64,   5,  -1, 9, 31.7, ⑤⑥, 5, 6,Ｉマルタカシクレノン, 75,江田照, 0.3, 80,*  9,   3, 7, 20.9,①①①, 5, 8,Ｂマイネルスタｰリｰ, 85,三浦皇, 0.6, 87,  13,   6, 7, 27.4,⑥⑤⑤
 6, 5,Ｄアナコンダ, 41,三浦皇, 0.5, 49, -12, -12, 1,  2.9, ④④, 6, 2,Ｅオペラフォンテン, 66,田中勝, 1.4, 62,   6,  -5, 5,  6.9, ④④, 6, 9,Ｃクラシックセンス, 85,横山典, 0.3, 80,*  8,   6, 4,  9.3,⑤③③, 6, 6,Ｆオｰトドラゴン, 84,石橋脩, 0.7, 83,  12,   1, 9, 43.9,④③④
 7, 7,Ｇトキノポイント, 35,柴田大, 0.6, 48, -16,  -8, 5, 11.5, ⑧⑧, 7, 5,Ｃタマノリテラシｰ, 70,嶋田純, 1.6, 61,   6,  -8, 7,  9.5, ③③, 7, 8,Ｇマイヨｰル, 76,松岡正, 0.6, 79,*  8,   2, 8, 24.1,②②②, 7, 2,Ｈトウショウウェイヴ, 82,吉田豊, 0.7, 86,   7,  17, 5, 20.8,⑪⑪⑪
 8, 6,Ｂタケデンサプライズ, 47,武士沢, 0.8, 44, -13, -14, 4,  9.1, ⑥⑥, 8, 7,Ｉアンシャンテルｰル, 58,武士沢, 1.6, 62,   2,   0,10,113.0, ⑩⑩, 8, 7,Ｅベルベットロｰド, 79,石橋脩, 0.6, 81,   5,   9, 6, 15.1,⑧⑦⑥, 8, 5,Ｋホクトスルタン, 66,柴田善, 1.1, 77,  20, -22, 8, 37.9,②②②
