11年12月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝3900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ2000m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,三木ﾎｰｽﾗﾝﾄﾞﾊﾟｰｸｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ﾍﾞﾃﾙｷﾞｳｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｍホンインボウ, 42,渡辺薫,, 60,* -3,* -1,12,203.1, ①①, 1, 3, ナリタハリケｰン,---,池添謙,, 73,   0,*  6, 1,  3.9, ⑤⑤, 1, 5, エムエスワｰルド,,熊沢重,,,,, 2,  3.3,②②②, 1, 1,Ａキングスエンブレム, 95,岩田康,, 90,* 15,* 13, 2,  3.3,④③③
 2, 7,Ａナムラアピア, 63,和田竜, 0.2, 59,* -4,* -1, 1,  1.1, ③③, 2,13, カネトシアブニｰル,---,熊沢重, 0.2, 71,*  3,  -1,12, 55.9, ④②, 2, 1, マンノレｰシング,,植野貴,266.8,,,, 5, 20.2,⑤④④, 2, 4,Ｂインバルコ, 92,メンデ, 0.9, 84,  13,  10, 5,  6.5,⑩⑨⑦
 3, 3,Ｅテイエムチャンス, 52,国分恭, 0.2, 59,* -4,* -1, 4, 25.3, ②②, 3, 6, アンビホｰルドゥン,---,岩田康, 0.6, 66,   1,  -5, 5,  8.3, ②③, 3, 7, エルチョコレｰト,,白浜雄,267.6,,,, 4,  8.3,③③③, 3, 8,Ｄサクラロミオ, 89,国分恭, 0.9, 84,  13,  10, 7, 40.6,⑧⑦⑧
 4,12,Ｂトルネｰドミノル, 55,北村友, 0.8, 54, -11,*  1, 5, 28.4, ⑫⑫, 4,11, フォｰスチャンス,---,幸英明, 0.7, 63,*  4, -12,13, 70.0, ①①, 4, 6, ナリタシャトル,,西谷誠,268.5,,,, 3,  6.4,④①①, 4, 3,Ｈピｰスキｰパｰ, 84,武豊  , 0.9, 83,  14,   7, 6, 26.5,⑥⑤⑥
 5, 6,Ｈマンノプロジェクト, 47,岩田康, 1.0, 53,  -9,  -2, 3, 14.5, ⑧⑥, 5,10, セングレン,---,北村友, 0.8, 65,  -6,*  5, 6,  9.1, ⑪⑪, 5, 2, モリノミヤコ,,山本康,269.7,,,, 6, 40.5,⑥⑤⑤, 5, 5,Ｉシャインモｰメント, 83,吉田稔, 1.1, 84,  12,* 12,11,180.3,⑪⑪⑪
 6, 5,Ｄハｰドコンティ, 53,川田将, 1.2, 51,  -6,  -7, 2, 14.3, ⑤⑤, 6, 7, タマモライオン,---,国分恭, 1.0, 62,  -3,  -4,10, 44.4, ⑥⑧, 6, 3, シｰフィアレス,,林満明,270.9,,,, 8, 96.5,⑦⑥⑥, 6,11,Ｇメンデル, 87,北村友, 1.2, 84,  11,* 14, 9,122.5,⑫⑫⑫
 7, 9,Ｋウィンドミルシチｰ, 43,岡部誠, 1.4, 51, -10,  -3, 9, 80.0, ⑪⑩, 7, 8, ジプシｰマイラブ,---,川田将, 1.2, 58,   1, -14, 2,  5.1, ③④, 7, 4, シゲルゴユウサン,,中村将,271.8,,,, 7, 42.1,⑧⑦⑦, 7, 2,Ｆフリソ, 88,川田将, 1.3, 81,* 16,   1, 3,  5.3,②②②
 8,11,Ｆヒミノオオワシ, 52,幸英明, 1.4, 50,  -9,  -6, 7, 61.4, ⑨⑨, 8, 9, マｰティンバロｰズ,---,安藤光, 1.3, 57,   0, -13, 4,  6.2, ⑦⑥,,,,,,,,,,,,, 8,12,Ｃエｰシンモアオバｰ, 91,藤田伸, 1.4, 81,* 16,  -2, 1,  3.1,①①①
 9,14,Ｌシゲルネｰブル, 42,川島信, 1.5, 49, -13,  -2,14,421.1, ⑭⑬, 9,12, カナッタリ,---,秋山真, 1.3, 60,  -8,   2, 8, 18.7, ⑬⑬,,,,,,,,,,,,, 9,10,Ｅシャア, 89,幸英明, 1.7, 79,  14,   0, 4,  5.7,⑨⑩④
10,16,Ｉハヤブサフォルテ, 47,鷹野宏, 1.5, 48,  -8,  -8,11,105.5, ⑦⑧,10, 4, ファシネイション,---,メンデ, 1.4, 56,  -3, -10, 7, 15.8, ⑧⑦,,,,,,,,,,,,,10, 7,Ｌヒラボクロイヤル, 60,熊沢重, 2.8, 74,  13,  -7,12,196.1,⑦⑧⑨
11, 1,Ｃイエスイットイズ, 54,秋山真, 1.8, 46,  -5, -13, 6, 33.3, ④④,11, 5, サラロｰサ,---,佐藤哲, 1.4, 58,  -5,  -4,11, 52.7, ⑩⑩,,,,,,,,,,,,,11, 9,Ｋダノンエリモトップ, 77,岡部誠, 3.0, 70,* 15, -13, 8, 46.3,③④⑤
12, 8,Ｇコウエイロックオン, 51,佐藤哲, 2.1, 43,  -6, -15,10, 93.5, ⑥⑦,12, 1, ギルドマスタｰ,---,四位洋, 1.7, 54,  -3, -13, 3,  5.3, ⑨⑨,,,,,,,,,,,,,12, 6,Ｊエプソムアｰロン, 78,秋山真, 3.2, 69,  14, -12,10,176.3,⑤⑥⑩
13, 4,Ｐメイショウルｰメン, 34,吉田稔, 2.2, 44, -13,  -7, 8, 72.6, ⑮⑮,13, 2, ファンデルワｰルス,---,岡部誠, 2.0, 51,  -8,  -9, 9, 29.0, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
14,10,Ｏスポットライト, 35,中村将, 2.6, 41, -14,  -9,15,568.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,13,Ｊシｰノヴァリス, 44,熊沢重, 2.7, 41, -10, -16,13,234.8, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,Ｎマイアイスパｰク, 41,安藤光, 2.8, 39, -11, -15,16,618.4, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,
"単勝:20,310円 複勝:02=1,630円 07=110円 03=240円 枠連:990円",,,,,,,,,,,,"単勝:390円 複勝:03=170円 13=1,300円 06=260円 枠連:3,010円",,,,,,,,,,,,単勝:330円 複勝:05=170円 01=460円 07=270円 枠連:0円,,,,,,,,,,,,単勝:330円 複勝:01=160円 04=200円 08=450円 枠連:940円,,,,,,,,,,,
"馬連:5,560円 ワイド:02-07=2,070円 02-03=11,410円 03-07=340円",,,,,,,,,,,,"馬連:12,650円 ワイド:03-13=2,900円 03-06=600円 06-13=5,540円",,,,,,,,,,,,"馬連:2,930円 ワイド:01-05=570円 05-07=350円 01-07=1,130円",,,,,,,,,,,,"馬連:920円 ワイド:01-04=390円 01-08=1,310円 04-08=2,120円",,,,,,,,,,,
"馬単:28,240円 3連複:16,540円 3連単:243,060円",,,,,,,,,,,,"馬単:17,860円 3連複:27,280円 3連単:181,250円",,,,,,,,,,,,"馬単:4,570円 3連複:4,580円 3連単:25,730円",,,,,,,,,,,,"馬単:1,530円 3連複:6,760円 3連単:22,710円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 9R  芝2200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,境港特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｊジェンティルドンナ, 43,メンデ,, 72, -11,* 15, 1,  1.6, ③④, 1, 8,Ｅニンジャ, 62,メンデ,, 67,   4,   1, 2,  4.3, ⑦⑥, 1, 2,Ｃオｰルザットジャズ, 81,川田将,, 95,  -5,* 31, 3,  4.3,④④④, 1, 4,Ｂサダムグランジュテ, 81,和田竜,, 77,*  9,   8, 2,  5.0, ③③
 2,15,Ｆヤマニンカヴァリエ, 54,四位洋, 0.6, 63,* -8,   3, 7, 25.4, ④③, 2, 5,Ｄメイショウダビンチ, 63,武豊  , 0.2, 65,   0,*  5, 4,  6.0, ⑩⑪, 2, 6,Ｂロｰドラテアｰト, 82,岩田康, 0.3, 92,  -5,  29, 2,  3.7,⑥⑥⑤, 2,13,Ｌムスタングリｰダｰ, 74,武豊  , 0.3, 77,   3,* 14, 8, 27.5, ⑫⑫
 3,11,Ａジュディソング, 62,藤岡康, 0.6, 66, -14,* 12, 2,  4.6, ⑭⑬, 3,12,Ｆメイショウスザンナ, 61,秋山真, 0.2, 65,   1,*  2, 5, 10.9, ⑪⑩, 3, 3,Ａアドマイヤラクティ, 83,メンデ, 0.5, 91,  -6,  29, 1,  2.1,⑦⑦⑦, 3,12,Ｊエｰシンハダル, 74,岡部誠, 0.5, 73,   3,  10, 5,  9.7, ⑨⑨
 4, 4,Ｅジョウショｰキング, 55,国分恭, 0.6, 65, -12,*  9, 3, 12.3, ⑤⑨, 4,10,Ａナイスヘイロｰ, 72,藤田伸, 0.3, 66,*  6,  -6, 1,  3.3, ②②, 4, 4,Ｄカリスマミッキｰ, 79,国分恭, 0.8, 76,*  2,   5, 4,  8.0,①①①, 4, 7,Ｆトウショウクラウン, 77,川島信, 0.6, 72,   0,* 13,12, 52.7, ⑭⑭
 5, 3,Ｄスリｰサンハｰツ, 55,川島信, 0.9, 65, -15,*  9, 8, 28.7, ⑩⑮, 5, 6,Ｂニコｰルバロｰズ, 71,北村友, 0.3, 64,   4,  -3, 3,  5.7, ⑤⑤, 5, 1,Ｅヤマニンシャスｰル, 78,武豊  , 0.9, 85,  -5,  22, 5,  9.2,⑤⑤⑥, 5,11,Ｄナイジェラ, 77,岩田康, 0.6, 72,* 10,   0, 6, 11.5, ①①
 6, 1,Ｎアルティメイト, 40,幸英明, 1.1, 59, -14,   5, 6, 24.4, ⑱⑭, 6,11,Ｊカノヤミノリ, 52,岩田康, 0.4, 65,*  7,  -8, 9, 25.5, ①①, 6, 7,Ｇファイブイｰグル, 71,幸英明, 1.1, 75,  -1,   6, 7, 54.1,②②②, 6, 8,Ｅアマノレインジャｰ, 77,幸英明, 0.7, 72,*  8,   2, 7, 17.4, ④④
 7,17,Ｋヒシタイフｰン, 43,佐藤哲, 1.1, 56,* -8,  -4,11,119.9, ②②, 7, 4,Ｃストレイトガｰル, 64,川田将, 0.5, 62,   1,  -2, 7, 19.0, ⑨⑨, 7, 5,Ｆロザリオ, 73,北村友, 2.2, 64,  -2,  -5, 6, 31.9,③③③, 7,16,Ａアンヴァルト, 82,メンデ, 0.7, 71,* 10,   1, 1,  2.5, ②②
 8,18,Ｇサウンドマンデュロ, 53,岩田康, 1.3, 52,* -8,  -8, 4, 12.5, ①①, 8, 9,Ｌシゲルクルミ, 34,国分恭, 0.6, 59,  -4,*  3,13,272.7, ⑬⑬,,,,,,,,,,,,, 8, 9,Ｉマジックアロｰ, 75,北村友, 0.8, 73,  -6,* 20,13,104.3, ⑯⑯
 9,10,Ｃマイネルオラシオン, 55,和田竜, 1.3, 58, -13,   2, 5, 19.9, ⑬⑫, 9, 7,Ｇニシノスタイル, 60,池添謙, 0.6, 61,   3,  -6, 6, 12.3, ⑥⑦,,,,,,,,,,,,, 9,10,Ｍアｰトオブビｰン, 72,国分恭, 1.0, 70,   5,   4,15,133.7, ⑦⑤
10,12,Ｈトウケイヤマト, 52,藤田伸, 1.3, 54, -11,  -3, 9, 42.3, ⑫⑧,10,13,Ｋジｰクジオン, 51,幸英明, 1.0, 56,*  5, -13,10, 28.8, ③③,,,,,,,,,,,,,10, 5,Ｈプロスペラスマム, 76,藤岡康, 1.0, 70,   3,   6,10, 36.2, ⑧⑧
11, 5,Ｐスリｰヴェロｰチェ, 36,岡部誠, 1.4, 55, -14,   0,13,155.7, ⑪⑪,11, 2,Ｉグレンダウザｰ, 57,岡部誠, 1.1, 53,  -3,  -5,11, 54.7, ⑫⑫,,,,,,,,,,,,,11, 3,Ｋシｰポラリス, 74,渡辺薫, 1.1, 70,   2,   7,11, 40.2, ⑪⑪
12, 2,Ｍジャガｰファング, 42,小林徹, 1.4, 57, -17,   6,14,180.2, ⑮⑰,12, 1,Ｈカネトシカトリｰヌ, 57,藤岡康, 1.5, 51,   4, -18, 8, 20.2, ④④,,,,,,,,,,,,,12, 1,Ｎツリｰズオブホｰプ, 72,秋山真, 1.3, 68,   1,   7, 9, 32.2, ⑬⑬
13,13,Ｉブランドマックス, 50,池添謙, 1.5, 52, -12,  -4,12,128.4, ⑨⑩,13, 3, ブｰフｰウｰ,---,熊沢重, 1.8, 47,   1, -18,12,139.5, ⑧⑧,,,,,,,,,,,,,13, 2,Ｏシゲルシュサ, 68,吉田稔, 2.0, 63,   3,  -2,14,110.5, ⑩⑩
14,14,Ｂハｰトフルポケット, 58,吉田稔, 1.6, 48,*-10, -10,15,252.8, ⑦⑤,14,14, モエレアツヒメ,---,吉田稔, 2.9, 34,  -8, -20,14,346.2, ⑭⑭,,,,,,,,,,,,,14,14,Ｃスカラブレイ, 81,川田将, 2.1, 61,   5,  -5, 4,  9.5, ⑥⑦
15, 8,Ｏナリタフェニックス, 36,渡辺薫, 1.7, 50, -11,  -8,10, 49.3, ⑧⑦,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｐナリタシｰズン, 66,田中健, 2.4, 60,  -2,   1,16,215.5, ⑮⑮
16, 6,Ｒカネトシロバスト, 30,熊沢重, 2.2, 46, -15,  -8,17,303.0, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｇサウンドボルケｰノ, 76,佐藤哲, 2.5, 56,   7, -12, 3,  7.4, ⑤⑥
17, 9,Ｌコスモキャンディ, 42,北村友, 2.3, 45, -16,  -7,16,301.5, ⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 7,Ｑパｰプルベスト, 34,秋山真, 3.1, 30, -11, -28,18,310.1, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,
"単勝:160円 複勝:16=110円 15=380円 11=130円 枠連:1,180円",,,,,,,,,,,,単勝:430円 複勝:08=170円 05=190円 12=360円 枠連:500円,,,,,,,,,,,,単勝:430円 複勝:02=230円 06=180円 枠連:0円,,,,,,,,,,,,"単勝:500円 複勝:04=200円 13=650円 12=310円 枠連:1,890円",,,,,,,,,,,
"馬連:1,890円 ワイド:15-16=560円 11-16=180円 11-15=920円",,,,,,,,,,,,"馬連:1,580円 ワイド:05-08=550円 08-12=1,360円 05-12=1,610円",,,,,,,,,,,,馬連:790円 ワイド:02-06=190円 02-03=180円 03-06=150円,,,,,,,,,,,,"馬連:6,600円 ワイド:04-13=2,260円 04-12=1,050円 12-13=3,510円",,,,,,,,,,,
