11年 3月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 3月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
 9,11,Ｎエルクロス, 38,木幡初, 1.1, 46,  -1, -14,12,111.9, ⑩⑨, 9, 2, ティンバｰウルフ,,平沢健,199.1,,,, 6, 19.7,⑩⑧⑧, 9, 4,Ｌリュウシンヒｰロｰ, 58,水野貴, 1.9, 58,  -9,   3,15,383.8, ⑭⑬,,,,,,,,,,,,
10, 4,Ｌティルトウイング, 42,内田博, 1.1, 46,  -3, -13, 6, 19.6, ⑪⑫,10,14, デルマリゲル,,石神深,199.5,,,,13,156.9,⑥⑨⑩,10,14,Ｈワカタケ, 60,江田照, 2.0, 58,  -5,  -1,14,261.5, ⑫⑩,,,,,,,,,,,,
11, 7,Ｏマドラスシチｰ, 34,菅原隆, 1.5, 41, -11,* -9,15,352.2, ⑮⑮,11,13, トｰセンマルゴｰ,,大江原,200.1,,,, 9, 37.1,⑫⑫⑫,11, 2,Ｊアンジュヴォレ, 59,平野優, 2.1, 56, -11,   3,12,204.5, ⑮⑭,,,,,,,,,,,,
12, 2,Ｐトップモｰスト, 31,御神本, 1.8, 40,  -1, -20, 7, 23.0, ⑨⑧,12, 5, カシマパステル,,高野和,201.3,,,,12,124.2,⑪⑪⑪,12,11,Ｉコｰリンハッピｰ, 60,菅原隆, 2.2, 55,  -9,   0,16,451.2, ⑬⑫,,,,,,,,,,,,
13,13,Ｆヨアケ, 50,的場勇, 2.3, 41,*  8, -34, 2,  3.0, ③⑥,13, 3, ホッカイアラカティ,,水出大,204.8,,,,11, 81.3,⑬⑬⑬,13,10,Ｍバルデュソワｰル, 55,酒井学, 2.6, 52,  -2, -10,13,216.6, ⑥⑧,,,,,,,,,,,,
14,15,Ｋミケランジェロ, 45,平野優, 2.3, 35,  -4, -22,16,487.3, ⑫⑭,,,,,,,,,,,,,14,13,Ｏブラウニｰサンクス, 52,吉田隼, 3.1, 50,  -3, -12,11,188.6, ⑨⑪,,,,,,,,,,,,
15, 1,Ｍディアアルジャン, 40,横山和, 3.0, 29,  -2, -31,10, 50.3, ⑧⑩,,,,,,,,,,,,,15, 5,Ｇラッシュウインド, 62,嶋田純, 3.3, 46,  -5, -13,10,138.4, ⑪⑨,,,,,,,,,,,,
16, 5,Ｉキャラウェイ, 46,田中勝, 4.1,  3, -28, -16,11,109.7, ⑯⑯,,,,,,,,,,,,,16,15,Ｎテイエムシャトウ, 52,石橋脩, 3.4, 45,  -4, -15, 9,115.2, ⑩⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,240円 複勝:12=490円 10=820円 16=260円 枠連:1,490円",,,,,,,,,,,,"単勝:390円 複勝:01=180円 09=620円 10=180円 枠連:1,130円",,,,,,,,,,,,"単勝:360円 複勝:12=190円 06=260円 01=1,060円 枠連:1,790円",,,,,,,,,,,,単勝:150円 複勝:02=110円 04=160円 08=180円 枠連:0円,,,,,,,,,,,
"馬連:17,520円 ワイド:10-12=4,530円 12-16=1,470円 10-16=1,660円",,,,,,,,,,,,"馬連:9,500円 ワイド:01-09=2,590円 01-10=560円 09-10=1,770円",,,,,,,,,,,,"馬連:1,900円 ワイド:06-12=790円 01-12=2,750円 01-06=3,720円",,,,,,,,,,,,馬連:430円 ワイド:02-04=200円 02-08=280円 04-08=580円,,,,,,,,,,,
"馬単:29,880円 3連複:25,970円 3連単:202,390円",,,,,,,,,,,,"馬単:14,870円 3連複:15,440円 3連単:87,120円",,,,,,,,,,,,"馬単:2,830円 3連複:20,950円 3連単:54,040円",,,,,,,,,,,,"馬単:580円 3連複:930円 3連単:2,140円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕刊ﾌｼﾞ賞ｵｰｼｬﾝｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａカフェロｰレル, 66,松岡正,, 54,  -9,*  0, 3,  4.1,⑭⑩⑦, 1,16,Ａバウンシｰチュｰン, 64,三浦皇,, 57, -20,*  5, 1,  1.8,⑮⑮⑭, 1, 8,Ｅレオプレシャス, 72,内田博,, 81,*  6,* 14, 1,  4.0,①①①, 1, 5,Ｊダッシャｰゴｰゴｰ, 85,川田将,, 89,   3,* 16, 3,  7.0, ⑥⑤
 2, 7,Ｂプリンセスキナウ, 62,内田博, 0.2, 51,  -7,  -6, 1,  2.5,④⑥④, 2, 6,Ｂメイアイヘルプユｰ, 60,吉田隼, 0.2, 45,*-11, -16, 4,  9.6,①①①, 2,11,Ｈエアイグアス, 70,武士沢, 0.6, 73,*  5,  10, 8, 25.1,②②②, 2,10,Ｄキンシャサノキセキ, 90,リスポ, 0.1, 89,  -4,* 22, 2,  3.6, ⑯⑫
 3,13,Ｃパヤドｰル, 61,横山典, 0.4, 49,* -6, -10, 2,  3.2,①①①, 3, 3,Ｈダイワスプレンダｰ, 46,北村宏, 0.3, 50, -17,* -3,13,147.1,⑧⑩⑩, 3,10,Ｃアサクサマリンバ, 75,吉田豊, 0.9, 73,   2,* 14, 4,  6.0,⑩⑩⑩, 3, 9,Ａレッドスパｰダ, 94,横山典, 0.1, 86,*  6,  11, 1,  2.5, ②②
 4, 5,Ｅオペラフォンテン, 55,高嶋活, 0.4, 49,  -9,  -4, 4, 11.9,⑨⑧⑨, 4, 4,Ｆアドマイヤアキｰダ, 48,柴田善, 0.4, 42,*-11, -21, 7, 28.4,⑪②②, 4, 6,Ｂポワンカレ, 76,横山典, 0.9, 74,   3,  12, 2,  4.5,⑦⑦⑥, 4, 3,Ｂセイコｰライコウ, 91,柴田善, 0.2, 86,   3,  14, 4,  7.3, ⑤⑥
 5,11,Ｍアルテリｰベ, 44,木幡初, 0.6, 52, -15,*  6,14,271.3,⑯⑯⑭, 5, 2,Ｄゴｰルドカルラ, 51,横山典, 0.4, 45, -17,  -8, 3,  5.5,③⑦⑥, 5,12,Ａニシノヴァンクｰル, 77,村田一, 1.0, 73,*  5,   7, 3,  4.8,⑤④⑤, 5,16,Ｈケイアイアストン, 86,秋山真, 0.5, 82,*  5,   7, 8, 36.7, ③③
 6,16,Ｎゴｰルデンファスト, 33,横山和, 0.7, 46,  -8, -10, 8, 55.7,②⑤③, 6, 7,Ｉコスモパシフィズム, 45,柴田大, 0.5, 43, -14, -16,12,134.2,⑦④④, 6, 2,Ｆバリアントバイオ, 71,江田照, 1.4, 72,   3,   8, 9, 33.7,⑪⑨⑨, 6, 2,Ｌショウナンアルバ, 81,蛯名正, 0.5, 82,   1,  11, 7, 28.2, ⑦⑦
 7,15,Ｄナガタノナナチャン, 60,高橋智, 0.7, 47,  -8,  -8, 5, 17.6,③⑦⑧, 7,11,Ｌミラソル, 43,菅原隆, 0.7, 40, -14, -18,15,277.9,⑤③③, 7, 1,Ｋエミネムシチｰ, 67,菅原隆, 1.7, 70,   1,   8,12,156.4,⑨⑪⑪, 7, 7,Ｃサンダルフォン, 91,酒井学, 0.6, 81,  -4,* 15,12, 61.2, ⑮⑪
 8, 9,Ｆルｰナピエｰナ, 53,伊藤直, 0.9, 45,* -6, -13,15,359.6,⑥④⑥, 8,10,Ｇチャｰピｰチット, 47,武士沢, 0.7, 44, -16, -12, 5, 18.2,④⑧⑧, 8, 3,Ｉブリｰジｰデイズ, 70,リスポ, 2.0, 67,   3,   2, 6, 11.2,⑧⑧⑧, 8, 1,Ｏアポロフェニックス, 76,御神本, 0.6, 81,   4,   7,13, 62.0, ④④
 9,10,Ｋメジロアザミ, 46,嶋田純, 1.5, 42, -11, -10,10, 93.6,⑤⑪⑪, 9, 5,Ｃウイニングティアラ, 53,平野優, 0.8, 43, -19, -10, 2,  5.1,⑬⑫⑫, 9, 4,Ｄポルトゥエンセ, 75,北村宏, 2.1, 65,   4,   0, 5,  6.4,⑥⑥⑦, 9, 4,Ｆシンボリグラン, 89,田中勝, 0.7, 79,  -2,  11,10, 48.1, ⑨⑧
10,12,Ｈココアンジュ, 50,津村明, 1.8, 39,* -6, -20,12,161.4,⑩③⑤,10,13,Ｐスマイルカナチャン, 29,田中勝, 0.8, 42, -14, -16,10,119.8,⑨⑥⑦,10, 7,Ｌカルトマリｰヌ, 64,三浦皇, 2.2, 65,*  5,  -1,10, 52.3,③⑤③,10,15,Ｅジェイケイセラヴィ, 89,北村宏, 0.8, 78,   1,   7, 5, 17.1, ⑧⑩
11, 4,Ｉケｰジｰアミｰガ, 49,水野貴, 1.8, 40,  -9, -16, 7, 29.4,⑫⑨⑩,11, 1,Ｍヴィｰヴァタキオン, 38,松岡正, 0.9, 43, -21,  -8, 6, 27.4,⑫⑬⑬,11,13,Ｍアブラハムダｰビｰ, 56,御神本, 2.3, 63,*  4,  -4, 7, 18.6,④③④,11, 6,Ｍティファニｰケイス, 79,津村明, 0.9, 77,*  8,   0,14, 90.8, ①①
12, 1,Ｊゴｰルドルｰプ, 46,大庭和, 1.8, 41, -13,  -8,13,227.5,⑮⑮⑬,12,14,Ｋアンシャンテルｰル, 43,水野貴, 1.0, 46, -24,*  0,11,125.4,⑯⑯⑯,12, 9,Ｊシベリアンファクト, 67,吉田隼, 2.5, 67,   0,   4,13,182.4,⑫⑬⑬,12, 8,Ｐエｰシンホワイティ, 73,北村友, 1.1, 74,  -1,   6, 9, 38.2, ⑩⑨
13, 3,Ｏスイｰトソワレ, 33,中谷雄, 2.0, 39, -11, -14,16,648.3,⑬⑫⑫,13,15,Ｏミラベル, 33,蛯名正, 1.3, 37, -17, -19, 8, 31.9,⑭⑨⑨,13, 5,Ｇハヤブサイッポン, 71,北村友, 2.5, 64,   0,   4,11,111.2,⑬⑫⑫,13,12,Ｇグランプリエンゼル, 89,松岡正, 1.2, 73,  -3,   6,11, 57.0, ⑭⑮
14, 6,Ｐミヤビアルカディア, 27,蛯名正, 2.3, 36,* -5, -26, 6, 18.9,⑦②②,14,12,Ｅエムオｰファミリｰ, 49,石橋脩, 1.3, 34, -15, -25, 9, 50.2,②⑤⑤,,,,,,,,,,,,,14,13,Ｉスカイノダン, 86,内田博, 1.5, 70,   0,   0, 6, 19.3, ⑪⑬
15, 2,Ｇオリオンザジョケツ, 51,柴山雄, 3.9, 27, -13, -24, 9, 57.9,⑪⑭⑯,15, 9,Ｊメイショウハルカゼ, 45,小島太, 1.4, 36, -19, -18,14,267.3,⑥⑪⑪,,,,,,,,,,,,,15,14,Ｎエｰシンエフダンズ, 77,吉田隼, 1.8, 65,  -2,  -3,15,208.6, ⑫⑯
16, 8,Ｌコスモクルｰズ, 45,柴田大,11.0,-23, -12, -86,11,149.6,⑧⑬⑮,16, 8,Ｎレピドライト, 37,村田一, 1.5, 34, -20, -16,16,348.8,⑩⑭⑮,,,,,,,,,,,,,16,11,Ｋウエスタンビｰナス, 82,三浦皇, 2.0, 62,  -3,  -4,16,284.8, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
単勝:410円 複勝:14=130円 07=110円 13=120円 枠連:210円,,,,,,,,,,,,"単勝:180円 複勝:16=110円 06=240円 03=1,700円 枠連:260円",,,,,,,,,,,,"単勝:400円 複勝:08=190円 11=540円 10=190円 枠連:1,520円",,,,,,,,,,,,単勝:700円 複勝:05=200円 10=140円 09=130円 枠連:590円,,,,,,,,,,,
馬連:460円 ワイド:07-14=200円 13-14=250円 07-13=170円,,,,,,,,,,,,"馬連:780円 ワイド:06-16=420円 03-16=3,410円 03-06=10,020円",,,,,,,,,,,,"馬連:5,490円 ワイド:08-11=1,780円 08-10=740円 10-11=1,920円",,,,,,,,,,,,"馬連:1,590円 ワイド:05-10=560円 05-09=470円 09-10=250円",,,,,,,,,,,
"馬単:1,150円 3連複:390円 3連単:2,710円",,,,,,,,,,,,"馬単:1,080円 3連複:27,520円 3連単:68,430円",,,,,,,,,,,,"馬単:10,640円 3連複:11,850円 3連単:73,870円",,,,,,,,,,,,"馬単:3,210円 3連複:1,520円 3連単:10,080円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  芝1600m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,黄梅賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｆティアップブレイズ, 54,江田照,, 61,* -1,   3, 6, 16.8,①①①, 1, 6, ベルモントカントル,---,御神本,, 41,*-36,   9,12, 84.9,①①①, 1,11,Ｊオメガブレイン, 62,内田博,, 75,   8,*  3, 3,  6.0,⑧⑤⑤, 1, 1,Ｅマイネルオベリスク, 82,リスポ,, 84,*  6,* 22, 5,  6.9,③④③
 2,11,Ｊベルウッドサヴァン, 51,三浦皇, 0.3, 58,* -1,   2, 8, 34.8,②②②, 2, 9, ロイヤルインパクト,---,秋山真, 0.0, 41,*-38,* 11, 2,  3.9,③③④, 2, 8,Ａプランスデトワｰル, 72,蛯名正, 0.1, 72,   9,  -1, 1,  2.5,③④④, 2,15,Ａナイトフッド, 86,北村宏, 0.5, 80,   5,  19, 2,  5.1,⑧⑧⑧
 3,12,Ａテルバイク, 71,リスポ, 0.5, 59,  -3,   4, 1,  1.5,⑦④④, 3, 8, サクラブライト,---,内田博, 0.0, 43,*-38,* 10, 6, 12.2,②②②, 3, 9,Ｅマイネイディｰル, 67,吉田隼, 0.1, 71,* 12,  -4, 6, 11.8,②②②, 3, 2,Ｂトップオブパンチ, 85,松岡正, 0.5, 82,   4,* 20, 6, 10.5,⑦⑦⑦
 4, 5,Ｃヤマニンクラバット, 58,吉田隼, 0.8, 60,  -7,   8,10, 63.5,⑨⑨⑧, 4,11, オｰクヴィル,---,リスポ, 0.1, 41, -39,* 11, 1,  3.3,⑤⑥⑤, 4, 6,Ｆエｰブポセイドｰン, 66,田中勝, 0.4, 69,   5,   1, 8, 25.3,⑩⑧⑧, 4,11,Ｉアストレｰション, 76,田中勝, 0.6, 79,*  6,  15,10, 71.1,②②②
 5, 7,Ｌミラクルプラスワン, 43,吉田豊, 0.8, 56,  -7,*  8,12,163.7,⑤⑧⑦, 5, 2, シスタｰソフィア,---,松岡正, 0.3, 41, -38,  10, 3,  4.9,④④③, 5, 7,Ｂジャｰビス, 71,横山典, 0.6, 66,   3,   1, 4,  7.0,⑭⑫⑫, 5,12,Ｆマジカルブリット, 82,蛯名正, 0.6, 78,*  5,  17, 4,  5.3,⑥⑥⑤
 6, 8,Ｉマイネロｰレライ, 52,松岡正, 1.0, 56,  -4,   1, 2,  6.3,④⑤⑤, 6, 7, エイダイポイント,---,横山典, 0.5, 37, -40,   9, 5,  8.5,⑩⑦⑦, 6, 1,Ｄリンゴット, 67,秋山真, 0.7, 64,   6,  -4, 5,  9.1,⑨⑦⑦, 6, 7,Ｃブラストヘッド, 84,三浦皇, 0.7, 78,*  6,  14, 3,  5.1,①①①
 7,15,Ｂキングオブサンダｰ, 61,柴山雄, 1.2, 54,  -6,   5, 9, 59.5,⑭⑩⑨, 7, 3, エｰブフウジン,---,蛯名正, 1.2, 25, -39,  -4, 4,  6.6,⑥⑤⑥, 7, 3,Ｇスモｰルキング, 64,柴田善, 0.7, 66,   1,*  5, 9, 26.7,⑬⑭⑭, 7, 4,Ｈレアメタル, 79,柴山雄, 0.9, 77,   3,  19,11, 76.4,⑪⑫⑨
 8, 1,Ｍテンクウ, 43,武士沢, 1.2, 53,  -8,   7,14,319.7,⑧⑪⑪, 8,15, エタニティリング,---,酒井学, 1.3, 28, -43,   2,11, 75.3,⑫⑨⑧, 8, 4,Ｉショウナンカライス, 62,三浦皇, 0.8, 63,* 12, -16, 7, 25.1,①①①, 8, 8,Ｌカントリｰスノｰ, 74,木幡初, 1.6, 72,   4,   9,12,139.8,⑤⑤⑥
 9, 4,Ｅマイネルクォンタム, 55,内田博, 1.2, 58,  -9,* 10, 5, 16.4,⑪⑬⑬, 9,12, セナ,---,柴山雄, 1.5, 23, -42,  -3, 8, 29.6,⑨⑩⑩, 9,13,Ｋドラゴンライズ, 60,北村友, 0.9, 62,   7, -10,10, 35.2,⑥⑥⑥, 9,16,Ｊリアルフリｰダム, 75,横山典, 1.7, 77,  -1,* 21, 8, 62.1,⑯⑯⑮
10, 6,Ｇアウトヒット, 53,村田一, 1.3, 56, -10,* 10, 7, 34.4,⑬⑮⑮,10,14, イットｰイチバン,---,田中勝, 1.5, 28, -44,   2, 9, 55.2,⑪⑫⑬,10,10,Ｃサクラゴスペル, 69,川田将, 1.0, 62,* 10, -16, 2,  5.9,④③③,10, 3,Ｇモエレエンデバｰ, 79,御神本, 1.8, 72,   4,  10, 7, 33.3,⑩⑩⑩
11, 9,Ｋトミケンデアムｰト, 50,水野貴, 1.5, 52,  -5,  -2,13,260.7,⑥⑥⑥,11, 5, ニシノレジェンド,---,村田一, 1.7, 18, -42,  -7,10, 59.9,⑦⑧⑨,11, 2,Ｍシｰキングザラヴ, 55,御神本, 1.1, 62,   1,   0,13,302.7,⑫⑬⑪,11, 6,Ｐリネンタキシｰド, 70,村田一, 1.9, 72,   0,  15,14,206.3,⑮⑭⑬
12,14,Ｈフジマサエンパイア, 52,高嶋活, 1.6, 54,  -9,   7,14,319.7,⑯⑭⑫,12,13, メジロセンゲン,---,吉田豊, 1.8, 20, -43,  -5,13, 94.4,⑧⑪⑪,12,15,Ｏフレンドサンポウ, 54,津村明, 1.1, 61,   3,  -6,14,371.1,⑪⑩⑨,12,10,Ｋイチエイクリッパｰ, 75,吉田豊, 2.0, 68,   4,   8, 9, 62.2,⑫⑪⑫
13,16,Ｄケイアイカミノコエ, 57,北村宏, 2.0, 47,* -2, -12, 4, 12.7,③③③,13, 4, ウエスタンオｰドウ,---,柴田善, 2.2, 22, -50,   2, 7, 27.1,⑭⑭⑭,13, 5,Ｎシンワハｰツクライ, 55,吉田豊, 1.5, 58,  -3,   2,12,126.2,⑯⑮⑮,13,13,Ｄトウショウロジック, 84,内田博, 2.1, 70,   5,   6, 1,  3.1,⑨⑨⑪
14,13,Ｐタケデンイエロｰ, 36,大庭和, 2.8, 45,  -8,  -5,16,425.9,⑫⑫⑭,14, 1, ウネメ,---,武士沢, 2.4, 17, -45,  -8,15,309.7,⑬⑬⑫,14,12,Ｌトｰアクリスタル, 56,江田照, 1.8, 53,   3, -15,15,399.3,⑤⑪⑬,14, 5,Ｍサイアｰエフェクト, 73,柴田善, 2.5, 65,   2,   7,15,311.5,⑬⑬⑭
15,10,Ｏコパノタイヨｰ, 37,田中勝, 3.3, 40,  -6, -15, 3, 12.5,⑩⑦⑩,15,10, テンエイアドニス,---,大庭和,12.7,12.7---, -85, -88,14,261.8,⑮⑮⑮,15,14,Ｈコウヨウレジェンド, 64,北村宏, 2.0, 49,   5, -22,11, 44.8,⑦⑨⑩,15,14,Ｏヤマノベガ, 72,的場勇, 2.8, 67,*  5,  -3,13,152.0,④③④
16, 2,Ｎメイショウユウゲツ, 38,御神本, 3.5, 41, -11,  -6,11, 80.8,⑮⑯⑯,,,,,,,,,,,,,16,16, リュウノフラッシュ,---,水野貴, 2.1, 51,  -3,  -7,16,877.2,⑮⑯⑯,16, 9,Ｎマルブツフラッシュ, 73,江田照, 3.0, 66,  -1,   8,16,361.5,⑭⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
