11年 7月10日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月10日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:16,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
"馬単:5,100円 3連複:13,630円 3連単:52,460円",,,,,,,,,,,,"馬単:1,030円 3連複:680円 3連単:2,550円",,,,,,,,,,,,"馬単:1,830円 3連複:1,800円 3連単:7,980円",,,,,,,,,,,,"馬単:2,880円 3連複:2,500円 3連単:16,530円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北海ﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂショウナンマハ, 66,松田大,, 70,  -3,*  8, 2,  3.7,⑥⑦⑦, 1, 3,Ｅエベレストオｰ, 65,杉原誠,, 65,  -4,*  9, 5, 14.1, ⑦⑦, 1, 2,Ｆセイプロスペリティ, 68,吉田隼,, 73,   0,* 10, 2,  3.9,③③④, 1,12,Ｈトパンガ, 75,岩田康,, 78,*  8,   4, 5,  8.0,①①①
 2, 2,Ａエイトプリンス, 66,勝浦正, 0.3, 65,  -2,*  4, 3,  7.9,⑦⑥⑥, 2, 8,Ａギガワット, 74,勝浦正, 0.0, 65,*  5,   3, 1,  2.4, ①①, 2, 4,Ｄシルクリンカｰン, 70,勝浦正, 0.1, 72,   0,* 12, 6, 17.9,⑥⑦⑤, 2, 6,Ｋラインドリｰム, 70,長谷川, 0.0, 79,   7,* 11,13,134.8,⑫⑧④
 3, 9,Ｉボンベイダック, 55,吉田隼, 0.4, 63,*  0,  -3, 6, 11.6,③②②, 3, 9,Ｄセトノジャｰニｰ, 70,古川吉, 0.2, 63,*  3,   3, 4, 13.0, ②②, 3, 8,Ｉマイネルラディウス, 49,丹内祐, 0.3, 70,   0,   7, 3,  5.4,④④③, 3, 1,Ｌマイネルネオハｰト, 69,柴山雄, 0.0, 80,*  9,   7, 6, 16.6,③②②
 4,14,Ｇスタｰリットスカイ, 57,藤田伸, 0.5, 64,  -3,   1, 1,  3.6,⑧⑧⑧, 4,10,Ｊエンジンゼンカイ, 56,柴田善, 0.3, 62,  -3,   6, 6, 29.7, ⑥⑥, 4, 7,Ａアレックスバロｰズ, 74,岩田康, 0.6, 68,   0,   6, 5,  5.6,⑤⑤⑥, 4, 9,Ｊケｰジｰカチボシ, 74,勝浦正, 0.2, 76,   6,* 11, 9, 24.1,⑨⑩⑧
 5,10,Ｃメジロマリシテン, 61,川島信, 0.6, 63,  -2,  -3, 4,  8.3,⑤⑤④, 5, 6,Ｋカシノカルミア, 55,水口優, 0.4, 60,  -9,* 10,12,363.2, ⑩⑨, 5, 1,Ｂヒゼンリバイバル, 73,藤岡佑, 0.6, 69,  -2,   8, 4,  5.6,⑨⑧⑦, 5,10,Ｆマッキｰバッハ, 78,丸山元, 0.4, 76,   5,* 12, 8, 22.9,⑬⑬⑫
 6, 4,Ｄミライポケット, 60,丸山元, 0.8, 61,  -7,*  5, 9, 20.2,⑪⑫⑪, 6, 2,Ｆトゥインクルスノｰ, 63,黛弘人, 0.6, 59,  -6,   5, 8, 65.4, ⑧⑧, 6, 5,Ｃショウナンアリビオ, 72,丸山元, 0.7, 66,*  1,   3, 1,  3.1,②②②, 6, 4,Ｅシルクタイタン, 78,古川吉, 0.6, 74,   7,   3,10, 27.1,⑤⑥⑤
 7,16,Ｊゴｰルドルｰスタｰ, 51,岩田康, 1.1, 58,  -4,  -4, 7, 12.3,⑩⑩⑩, 7, 5,Ｃサトノパイレｰツ, 70,岩田康, 0.6, 59,   0,   1, 2,  2.8, ⑤④, 7, 3,Ｇレッドガルｰダ, 56,古川吉, 1.8, 57,*  2,  -7, 7, 21.9,①①①, 7, 2,Ａコスモエンペラｰ, 83,丹内祐, 0.8, 73,*  9,  -3, 2,  4.0,⑥⑤③
 8, 1,Ｅアクアシャンデリア, 59,池添謙, 1.3, 53,  -2, -14, 5,  9.2,④④③, 8, 1,Ｂカツノセカンド, 74,四位洋, 0.9, 57,   2,  -2, 3,  4.2, ③③, 8, 6,Ｈデルマバフチャラ, 52,竹之下, 2.4, 55,  -1,  -7, 9, 72.1,⑧⑨⑨, 8, 7,Ｂモｰニングフェイス, 81,川島信, 1.0, 72,   7,  -3, 3,  6.5,⑦⑦⑦
 9, 7,Ｍミラｰメソロ, 44,荻野琢, 1.4, 56,  -3,  -8,15,470.2,⑨⑨⑨, 9, 4,Ｈヒシビビッド, 60,丸田恭, 1.1, 53,   0,  -3, 9,100.4, ④⑤, 9, 9,Ｅウインボナパルト, 70,柴山雄, 2.4, 52,  -1,  -9, 8, 63.7,⑦⑥⑧, 9, 8,Ｉノｰステア, 75,吉田隼, 1.1, 70,   6,   0, 1,  3.4,⑪⑫⑩
10, 5,Ｆニチドウレパｰド, 57,木幡初, 1.4, 52,  -2, -16, 8, 19.1,②③⑤,10,11,Ｇラブエｰヤン, 61,藤田伸, 1.2, 53,  -9,   2, 7, 42.5, ⑪⑫,,,,,,,,,,,,,10, 3,Ｃテｰオｰストｰム, 81,安藤勝, 1.1, 69,   6,  -1, 4,  7.1,⑩⑪⑪
11,11,Ｋダイワロック, 48,丸田恭, 1.5, 53,  -9,  -3,13,128.4,⑮⑭⑭,11,12,Ｉコスモオｰカン, 56,木幡初, 1.6, 47, -11,  -1,10,128.3, ⑫⑩,,,,,,,,,,,,,11, 5,Ｄギムレットアイ, 79,木幡初, 1.9, 63,*  9, -19,11, 33.0,②③⑥
12,12,Ｌハギノハｰトフル, 45,藤岡佑, 1.6, 51,*  1, -23,11, 32.5,①①①,12, 7,Ｌアイディンワルツ, 46,松田大, 1.9, 47,  -6,  -7,11,333.7, ⑨⑪,,,,,,,,,,,,,12,13,Ｍクレスコドリｰム, 68,丸田恭, 2.6, 57,*  9, -28,12, 85.8,④④⑨
13, 3,Ｈファンタズミック, 55,四位洋, 2.3, 46, -11,  -9,10, 30.4,⑭⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｇマチカネヒヨドリ, 76,荻野琢, 3.5, 52,   7, -36, 7, 17.3,⑧⑨⑬
14, 8,Ｏメダリオンスタｰ, 44,水口優, 2.3, 45,  -7, -16,14,307.0,⑫⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Ｎオペラキング, 44,長谷川, 2.4, 42,  -6, -20,12,103.8,⑬⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,
単勝:370円 複勝:06=150円 02=210円 09=330円 枠連:730円,,,,,,,,,,,,"単勝:1,410円 複勝:03=350円 08=110円 09=280円 枠連:3,530円",,,,,,,,,,,,"単勝:390円 複勝:02=150円 04=290円 08=200円 枠連:4,490円",,,,,,,,,,,,"単勝:800円 複勝:12=330円 06=2,570円 01=510円 枠連:2,640円",,,,,,,,,,,
"馬連:1,210円 ワイド:02-06=480円 06-09=670円 02-09=1,920円",,,,,,,,,,,,"馬連:3,220円 ワイド:03-08=1,010円 03-09=2,360円 08-09=470円",,,,,,,,,,,,"馬連:4,250円 ワイド:02-04=1,060円 02-08=710円 04-08=1,450円",,,,,,,,,,,,"馬連:36,570円 ワイド:06-12=10,380円 01-12=2,270円 01-06=11,650円",,,,,,,,,,,
"馬単:2,240円 3連複:5,780円 3連単:23,330円",,,,,,,,,,,,"馬単:8,370円 3連複:7,710円 3連単:71,760円",,,,,,,,,,,,"馬単:5,460円 3連複:5,780円 3連単:52,020円",,,,,,,,,,,,"馬単:45,230円 3連複:187,330円 3連単:952,600円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
