11年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,西宮ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,阪神ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｴﾆﾌｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｈメｰデイア, 58,川須栄,, 78,* 11,*  4, 4,  6.8,②②②, 1, 3, エタンダｰル,---,岩田康,, 64,   2,* -8, 1,  1.8, ⑥⑥, 1, 7, クランエンブレム,,山本康,,,,, 6, 12.7,⑦⑦④, 1, 6,Ａダノンカモン, 96,福永祐,, 83,*  3,* 23, 2,  3.4, ③③
 2,11,Ｂレッドデセｰオ, 70,小牧太, 0.8, 72,* 12,  -3, 2,  5.6,①①①, 2,12, リュウシンアクシス,---,小牧太, 0.3, 60,   1,*-10, 3,  7.6, ⑨⑨, 2,14, ドングラシアス,,高田潤,209.5,,,, 1,  3.5,③①①, 2, 4,Ｂケイアイガｰベラ, 95,岩田康, 0.2, 81,*  4,  20, 1,  2.0, ①①
 3,10,Ｆヴェルデライト, 60,浜中俊, 1.0, 74,* 11,  -3, 3,  6.4,③③③, 3, 6, モンテエクリプス,---,武豊  , 0.3, 61,   3,*-13, 2,  4.4, ⑤⑤, 3, 1, カワキタトップ,,北沢伸,209.8,,,, 5,  9.5,⑥⑤⑤, 3, 8,Ｅケイアイテンジン, 84,田中勝, 0.5, 79,*  3,  19, 4,  9.7, ②②
 4,12,Ｇダンスインザスカイ, 59,酒井学, 1.5, 71,   5,*  6, 9, 46.0,⑩⑪⑥, 4, 4, アシュヴィン,---,後藤浩, 0.8, 55,*  5, -26, 6, 17.3, ①①, 4,10, ヒカリアライブ,,佐久間,210.0,,,, 8, 15.6,⑤③②, 4, 5,Ｃマルカベンチャｰ, 90,安藤勝, 0.5, 79,  -1,* 24, 3,  3.9, ⑦⑥
 5, 3,Ａシｰズガレット, 70,国分優, 1.7, 69,   7,   0, 1,  2.2,⑨⑧⑤, 5,10, フミノポｰルスタｰ,---,太宰啓, 0.8, 54,*  5, -25, 5, 12.7, ④③, 5, 4, コウエイトライ,,小坂忠,210.6,,,, 4,  8.5,①②③, 5, 7,Ｉシャイニングアワｰ, 72,幸英明, 1.0, 75,   1,  16, 6, 64.9, ⑤⑤
 6, 4,Ｊブライトメッセｰジ, 53,岩田康, 2.2, 65,  10, -10, 5,  8.2,⑤⑤④, 6, 9, トニフィカｰレ,---,浜中俊, 1.5, 48,*  5, -35, 7, 23.3, ②②, 6,13, シゲルダイセン,,植野貴,210.7,,,, 2,  5.2,⑩⑧⑦, 6, 2,Ｄワｰルドハンタｰ, 85,小牧太, 1.4, 72,  -1,  17, 9,129.3, ⑥⑦
 7, 1,Ｃマスコットウイング, 64,松山弘, 2.2, 68,   4,   1, 8, 36.0,⑬⑬⑨, 7, 8, オリオンザパワｰ,---,福永祐, 1.5, 49,  -2, -22, 4, 10.8, ⑪⑪, 7, 6, エｰシンディｰエス,,五十嵐,211.0,,,,12, 32.7,④⑥⑥, 7, 9,Ｇアドマイヤダンク, 83,北村友, 1.7, 70,  -4,  17, 8,105.8, ⑨⑨
 8, 5,Ｎバロンルｰジュ, 41,藤懸貴, 4.6, 49,   6, -25,10, 88.7,⑥⑦⑩, 8, 7, カゼカオル,---,川須栄, 1.9, 45,  -2, -28,11,186.1, ⑩⑩, 8,12, リアルヴィクトリｰ,,中村将,211.3,,,, 3,  6.1,⑪⑩⑩, 8,10,Ｆマイプリティワン, 83,高倉稜, 1.8, 69,  -4,  16, 7, 85.8, ⑧⑧
 9, 2,Ｅハギノギフト, 63,国分恭, 5.0, 48,   8, -29, 7, 25.4,④④⑦, 9, 1, サザンネスト,---,国分優, 2.9, 36,   2, -50, 8, 31.8, ③④, 9, 3, ウィルビｰキング,,林満明,211.6,,,,10, 25.5,⑨⑪⑪, 9, 3,Ｊリアライズノユメ, 48,武豊  , 2.0, 67,   2,   7, 5, 17.5, ④④
10,15,Ｋトウカイルミナス, 49,太宰啓, 5.2, 45,   6, -30,16,521.8,⑦⑥⑧,10,11, ルメルシエ,---,和田竜, 2.9, 39,   1, -46,10,131.0, ⑧⑧,10, 5, モルフェサイレンス,,横山義,212.0,,,, 7, 13.3,⑧⑨⑨,10, 1,Ｈセイカアレグロ, 80,浜中俊, 3.3, 58,  -6,   6,10,163.3, ⑩⑩
11,14,Ｉジャングルウィップ, 56,森一馬, 5.4, 46,   2, -22,14,469.4,⑪⑩⑬,11, 2, プレミアムウォｰズ,---,田中克, 4.6, 10,   1, -71,12,330.7, ⑦⑦,11,11, ハクサン,,穂苅寿,213.0,,,,13,105.8,②④⑧,,,,,,,,,,,,
12, 9,Ｍヤマニンエシャルプ, 45,熊沢重, 5.7, 45,   5, -31,15,472.5,⑫⑨⑪,12, 5, フェｰルボｰ,---,野元昭, 4.7, 23, -17, -36, 9, 76.7, ⑫⑫,12, 2, アドマイヤサンサン,,熊沢重,215.9,,,,14,112.7,⑫⑫⑫,,,,,,,,,,,,
13, 8,Ｏウォｰタｰリバティ, 37,佐久間, 6.2, 42,   4, -32,13,364.5,⑭⑭⑫,,,,,,,,,,,,,13, 8, エｰシンダｰドマン,,西谷誠,218.9,,,,11, 27.3,⑬⑬⑬,,,,,,,,,,,,
14, 6,Ｄサニｰデイサンデｰ, 63,和田竜, 7.4, 37,  -2, -30, 6, 15.0,⑮⑮⑮,,,,,,,,,,,,,14, 9, マサノブルｰス,,白浜雄,225.3,,,, 9, 20.1,⑭⑭⑭,,,,,,,,,,,,
15,16,Ｌカフェドフレｰル, 49,高倉稜, 8.4, 29,   0, -45,12,202.3,⑧⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 7,Ｐグラスキセキ, 33,北村友, 8.9, 27,  -4, -41,11,147.9,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:2),,,,,,,,,,,
"単勝:680円 複勝:13=190円 11=170円 10=220円 枠連:1,400円",,,,,,,,,,,,単勝:180円 複勝:03=110円 12=150円 06=140円 枠連:620円,,,,,,,,,,,,"単勝:1,270円 複勝:07=370円 14=170円 01=300円 枠連:900円",,,,,,,,,,,,単勝:340円 複勝:06=120円 04=110円 08=170円 枠連:270円,,,,,,,,,,,
"馬連:1,840円 ワイド:11-13=590円 10-13=790円 10-11=560円",,,,,,,,,,,,馬連:660円 ワイド:03-12=250円 03-06=200円 06-12=460円,,,,,,,,,,,,"馬連:1,970円 ワイド:07-14=900円 01-07=1,320円 01-14=930円",,,,,,,,,,,,馬連:320円 ワイド:04-06=160円 06-08=480円 04-08=270円,,,,,,,,,,,
