11年 2月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
 9,10,Ｅキングメｰカｰ, 53,村田一, 1.1, 46,  -9,  -7,10, 87.7, ⑫⑬, 9, 1,Ｈナムラグｰテン, 50,横山典, 0.7, 60, -24,  12, 8, 19.8, ⑩⑫, 9, 6,Ｇオネスト, 72,武士沢, 1.1, 66,   6,   5,13,111.3, ⑬⑬, 9,12,Ｄマイネルエルフ, 78,松岡正, 0.6, 79,  -2,  10, 1,  3.3, ⑥⑥
10, 5,Ｊクリスタルステｰジ, 40,北村宏, 1.2, 46, -10,  -6,12,220.0, ⑬⑭,10,15,Ｌソレイユレディｰ, 42,石橋脩, 0.8, 55,*-15,  -2,15,402.5, ③②,10,12,Ｄロｰレルカンタｰタ, 76,後藤浩, 1.2, 66,   6,   1, 9, 30.4, ⑪⑪,10,11,Ｊミサトバレｰ, 74,大庭和, 0.7, 81,  -6,  17,10, 80.3, ⑫⑫
11,12,Ｉマイネルクロｰバｰ, 48,津村明, 1.6, 43,  -5, -17, 7, 13.0, ⑧⑧,11,14,Ｎマイネルスフィア, 39,クラス, 1.1, 52, -18,  -2,13,109.1, ⑦⑤,11, 9,Ｊカメリアビジュ, 68,横山典, 1.4, 66,   2,   5, 6, 19.9, ⑮⑮,11, 3,Ｍエスユｰグランド, 68,小林淳, 1.0, 74,  -5,   9,13,288.2, ⑧⑧
12, 6, コウヨウワｰルド,---,的場勇, 1.7, 45, -14,  -5,13,252.3, ⑯⑯,12,16,Ｆティｰケイキャット, 50,三浦皇, 1.2, 51, -19,  -1, 6, 14.7, ⑨⑧,12,11,Ｎディアブリッジ, 59,柴山雄, 2.1, 60,   5,  -5,16,580.1, ⑩⑩,12,10,Ｋヤマニンノベリスト, 72,江田照, 1.1, 71,* -1,  -1,12,207.6, ②③
13,16,Ｆブルｰスタｰ, 52,田中勝, 1.7, 43,  -7, -13, 5,  9.1, ⑭⑪,13,13,Ｐバトルペルレ, 37,北村宏, 1.2, 52, -23,   3,14,113.2, ⑪⑩,13, 5,Ｍトｰアボンジョルノ, 65,江田照, 2.3, 60,   2,  -3,11, 71.6, ⑯⑯,13,13,Ｆコスモカンタｰビレ, 77,戸崎圭, 2.1, 59,  -5,  -7, 5,  8.6, ⑩⑩
14, 2,Ｍゲｰテッドゾロア, 37,江田照, 1.9, 43,  -1, -22,14,273.7, ④③,14, 2,Ｃメジロリュウジン, 56,的場勇, 1.3, 53, -25,   6,12, 76.6, ⑫⑬,14,15,Ｐシンボリカｰジナル, 53,的場勇, 2.3, 64,   7, -10,15,187.7, ⑧⑧,,,,,,,,,,,,
15, 8,Ｎマドラスシチｰ, 32,菅原隆, 2.9, 33, -11, -20,15,309.2, ⑮⑮,15,10,Ｉリンガスゲｰト, 50,江田照, 1.7, 45, -19,  -8,10, 41.0, ⑥⑦,15, 8,Ｉスプリングミント, 71,鈴来直, 2.5, 58,   7, -12,10, 44.3, ⑤⑦,,,,,,,,,,,,
16, 3,Ｏスｰパｰカフェ, 31,小林淳, 3.9, 26,*  1, -43,16,578.1, ②②,,,,,,,,,,,,,16, 1,Ｌメイルストロｰム, 66,クラス, 2.6, 56,   8, -15,12, 75.8, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,
"単勝:390円 複勝:11=150円 14=150円 15=1,310円 枠連:380円",,,,,,,,,,,,単勝:450円 複勝:08=190円 04=180円 06=180円 枠連:530円,,,,,,,,,,,,"単勝:1,300円 複勝:16=440円 07=250円 10=560円 枠連:4,880円",,,,,,,,,,,,"単勝:780円 複勝:07=320円 08=370円 09=330円 枠連:1,390円",,,,,,,,,,,
"馬連:660円 ワイド:11-14=300円 11-15=4,900円 14-15=4,420円",,,,,,,,,,,,"馬連:1,370円 ワイド:04-08=520円 06-08=450円 04-06=590円",,,,,,,,,,,,"馬連:4,710円 ワイド:07-16=1,810円 10-16=3,810円 07-10=2,270円",,,,,,,,,,,,"馬連:5,630円 ワイド:07-08=1,780円 07-09=1,350円 08-09=1,700円",,,,,,,,,,,
"馬単:1,340円 3連複:19,420円 3連単:62,110円",,,,,,,,,,,,"馬単:2,610円 3連複:2,150円 3連単:12,170円",,,,,,,,,,,,"馬単:12,430円 3連複:38,970円 3連単:213,840円",,,,,,,,,,,,"馬単:10,230円 3連複:15,600円 3連単:96,480円",,,,,,,,,,,
■ 2R  ダ1300m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  芝3300m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ2100m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,春麗ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,金蹄ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, スモｰルキング,---,吉田豊,, 62,  -7,*  7, 4,  6.7, ⑥⑥, 1,13,Ａステラロッサ, 65,内田博,, 61,  -2,  11, 1,  1.7,⑤⑦⑥, 1, 4, ランヘランバ,,五十嵐,,,,, 1,  1.3,③③③, 1, 6,Ｌハギノリベラ, 86,後藤浩,, 90,  10,* 20,12, 63.9,⑨⑨⑧
 2, 1, ニシノラメｰル,---,北村宏, 0.6, 57,  -5,  -3, 1,  3.7, ③③, 2, 5,Ｈヤマニンリップル, 49,柴山雄, 0.1, 61,  -9,* 23, 9, 51.2,⑯⑯⑮, 2,11, マイネルネオス,,柴田大,219.0,,,, 3, 10.0,⑫⑧⑦, 2, 4,Ｄストロングバサラ, 89,北村宏, 0.5, 87,* 12,  12, 1,  2.8,④④③
 3, 8, サクラトップクイン,---,横山典, 0.7, 58, -16,* 11, 8, 23.8, ⑮⑭, 3, 8,Ｅカズノトウショウ, 54,江田照, 0.1, 63,  -6,* 19, 5, 22.3,⑮⑫⑫, 3, 2, バシケｰン,,蓑島靖,219.0,,,, 2,  6.7,⑧⑦⑧, 3,13,Ｇゴｰルデンプライズ, 88,村田一, 0.6, 87,   9,* 16,11, 45.3,⑭⑬⑩
 4,11, フレンチミシル,---,江田照, 0.9, 54,* -2,  -8, 9, 53.4, ①①, 4, 6,Ｄマイネルグラｰド, 56,松岡正, 0.3, 57,  -4,  10, 3,  5.9,⑨⑩⑧, 4, 1, ニシノアララギ,,宗像徹,219.1,,,,14,267.6,⑩⑨⑨, 4, 2,Ｋベルモントガリバｰ, 87,戸崎圭, 0.7, 87,   9,* 16, 3,  6.7,⑫⑩⑪
 5,14, キョウエイショウリ,---,村田一, 1.0, 54,  -4,  -6, 7, 23.4, ⑤④, 5, 2,Ｇスタｰトセンス, 50,三浦皇, 0.3, 57,  -2,   6, 7, 25.2,⑦⑥⑤, 5,12, クリｰバレン,,横山義,219.1,,,, 6, 33.5,⑨⑥⑥, 5,11,Ｂハイオン, 90,三浦皇, 0.9, 85,  11,  12, 2,  3.7,⑤⑤⑥
 6,10, マンボフェスタ,---,的場勇, 1.7, 53,  -8,  -6,14,130.3, ⑨⑨, 6,15,Ｍプラウドイｰグル, 44,石橋脩, 0.5, 56,  -5,  10, 4, 18.6,⑫⑪⑪, 6,13, トキノナスティア,,浜野谷,219.4,,,, 4, 14.0,②②①, 6, 3,Ｉラタｰシュ, 87,内田博, 0.9, 88,   7,* 19, 7, 18.2,⑮⑭⑯
 7,12, リッシュビスティｰ,---,内田博, 1.7, 49, -11,  -3, 3,  4.2, ⑩⑪, 7, 3,Ｆジョンブルクリス, 54,小林淳, 0.5, 52,*  1,  -2,10, 69.1,④④③, 7,10, スタｰルｰセント,,平沢健,220.2,,,,10,145.6,④④⑤, 7,12,Ｏエジソン, 81,横山典, 1.1, 83,* 12,   7, 4,  7.8,③③④
 8, 9, トｰセンファミリア,---,木幡初, 1.8, 47,  -6, -12, 2,  3.9, ④⑤, 8,12,Ｃコスモアンドリュｰ, 57,津村明, 0.6, 53,  -3,   6, 6, 22.5,⑧⑨⑩, 8, 9, モエレエキスパｰト,,穂苅寿,220.4,,,,12,148.5,⑥⑤④, 8, 8,Ｈベルモントサｰガ, 88,田中勝, 1.6, 79,* 12,   0,10, 41.8,②②②
 9,15, ドガ,---,クラス, 2.1, 45,  -6, -13, 6, 14.1, ⑦⑦, 9,11,Ｉダイワジョンクック, 47,北村宏, 0.8, 49,  -1,  -5, 8, 49.5,③③④, 9, 7, モリノミヤコ,,大庭和,221.3,,,, 8, 49.3,⑪⑩⑩, 9, 1,Ｅビタｰスウィｰト, 89,木幡初, 1.6, 82,  11,   6, 5, 15.9,⑦⑦⑤
10, 3, キャラウェイ,---,柴田大, 2.2, 45,  -9, -11,10, 71.4, ⑧⑧,10, 4,Ｎメジロボンテン, 41,武士沢, 0.9, 51,  -6,   5,12,153.9,⑪⑬⑬,10, 8, ハストラング,,高田潤,221.8,,,, 7, 34.0,①①②,10,10,Ｃバルｰン, 89,吉田豊, 1.7, 80,   8,  10, 8, 18.9,⑬⑮⑭
11,16, ベルモントメッシ,---,中谷雄, 2.3, 43,* -2, -19, 5,  9.4, ②②,11,10,Ｂカルマｰト, 57,横山典, 0.9, 49,  -3,   1, 2,  4.4,⑩⑧⑨,11, 6, ジョｰベルスタｰ,,西谷誠,225.8,,,, 9,102.1,⑬⑪⑪,11, 5,Ａバロンビスティｰ, 92,柴田善, 1.7, 77,* 12,  -2, 9, 22.3,①①①
12, 7, ナスハヤブサ,---,石橋脩, 2.3, 44, -15,  -4,15,168.2, ⑭⑬,12, 9,Ｏコスモクルｰズ, 33,クラス, 1.2, 49,  -7,   4,13,185.0,⑭⑭⑭,,,,,,,,,,,,,12, 7,Ｊビッグバン, 87,松岡正, 1.9, 80,   8,   8, 6, 16.7,⑯⑯⑮
13, 6, ヨアケノミュｰ,---,大庭和, 3.1, 38, -10, -16,16,234.6, ⑫⑩,13,16,Ｌトップモｰスト, 46,中谷雄, 1.8, 39,  -2, -16,16,376.2,⑥⑤⑦,,,,,,,,,,,,,13,16,Ｍエフティイカロス, 86,柴山雄, 1.9, 78,  10,   5,13,127.9,⑧⑧⑨
14,13, マイネルホｰクアイ,---,伊藤直, 3.4, 34, -20, -10,12, 80.4, ⑬⑮,14, 1,Ｐコウヨウメビウス, 29,田中勝, 1.8, 38,*  1, -22,15,298.9,①②②,,,,,,,,,,,,,14,14,Ｐメトロシュタイン, 74,大庭和, 2.4, 76,   9,   3,15,182.0,⑩⑫⑬
15, 2, サンクスギビング,---,柴田善, 3.6, 32, -15, -18,11, 77.1, ⑪⑫,15,14,Ｋトｰセンヒカリ, 47,五十嵐, 2.3, 33,*  4, -33,14,205.6,②①①,,,,,,,,,,,,,15,15,Ｎサンマルセイコｰ, 86,平野優, 2.6, 75,   9,   0,16,361.8,⑪⑪⑫
16, 4, バタフライ,---,後藤浩, 5.3, 19, -28, -16,13,120.4, ⑯⑯,16, 7,Ｊダイワアｰク, 47,平野優, 2.9, 31,  -9, -16,11,105.1,⑬⑮⑯,,,,,,,,,,,,,16, 9,Ｆメイショウエンジン, 88,クラス, 3.8, 67,  10, -13,14,164.2,⑥⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,
"単勝:670円 複勝:05=220円 01=170円 08=570円 枠連:1,280円",,,,,,,,,,,,単勝:170円 複勝:13=120円 05=980円 08=390円 枠連:500円,,,,,,,,,,,,単勝:130円 複勝:04=110円 11=150円 02=150円 枠連:320円,,,,,,,,,,,,"単勝:6,390円 複勝:06=1,170円 04=140円 13=870円 枠連:2,090円",,,,,,,,,,,
"馬連:1,210円 ワイド:01-05=530円 05-08=1,510円 01-08=1,140円",,,,,,,,,,,,"馬連:4,170円 ワイド:05-13=1,580円 08-13=740円 05-08=7,870円",,,,,,,,,,,,馬連:440円 ワイド:04-11=180円 02-04=220円 02-11=460円,,,,,,,,,,,,"馬連:7,760円 ワイド:04-06=2,200円 06-13=16,380円 04-13=1,570円",,,,,,,,,,,
"馬単:2,690円 3連複:5,570円 3連単:27,860円",,,,,,,,,,,,"馬単:5,980円 3連複:17,050円 3連単:68,560円",,,,,,,,,,,,"馬単:480円 3連複:710円 3連単:1,640円",,,,,,,,,,,,"馬単:22,910円 3連複:67,780円 3連単:546,620円",,,,,,,,,,,
■ 3R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 9R  芝1400m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■12R  ダ1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,春菜賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｇクラリスピンク, 53,吉田豊,, 62,  -6,*  8, 7, 19.3, ⑪⑫, 1,11,Ｃギュスタｰヴクライ, 66,内田博,, 75,   4,* 13, 3,  6.5,⑩⑩⑨, 1, 5,Ｆクリアンサス, 64,石橋脩,, 74,* -9,  11, 3,  5.6, ①①, 1,15,Ａギンザナイト, 85,三浦皇,, 84,  10,* 12, 1,  2.5, ⑦⑦
 2, 8,Ｂルイｰズ, 59,松岡正, 0.2, 62,  -5,   3, 2,  4.5, ⑩⑧, 2,14,Ｋアルマフロｰラ, 59,後藤浩, 0.2, 72,   5,*  9, 1,  3.4,⑨⑧⑦, 2, 9,Ｊレッドエレンシア, 61,三浦皇, 0.3, 71,*-10,   8, 8, 14.9, ②②, 2, 5,Ｆワｰズワｰス, 78,横山典, 0.7, 79,   9,   8, 3,  5.8, ⑧⑧
 3,14,Ｐトップオブプレイズ, 11,田中勝, 0.3, 63,  -6,*  6,12,140.4, ⑬⑪, 3,13,Ｉタウレプトン, 61,三浦皇, 0.2, 72,   5,   7, 5,  8.4,⑦⑥⑥, 3, 6,Ａタガノラヴキセキ, 78,村田一, 0.4, 71, -15,* 15, 2,  4.2, ⑧⑦, 3, 4,Ｃタマモスクワｰト, 82,村田一, 0.7, 78,   6,* 11, 7, 18.8, ⑪⑨
 4,10,Ａプリンセスキナウ, 62,クラス, 0.3, 60,* -1,  -4, 1,  2.7, ③②, 4, 4,Ｍプルスウルトラ, 58,戸崎圭, 0.2, 70,   5,   5, 4,  7.2,③③④, 4,10,Ｄハッピｰグラス, 67,横山典, 0.5, 68,*-12,   8, 7, 13.5, ④③, 4,11,Ｈイチエイクリッパｰ, 77,吉田豊, 0.9, 75,   4,* 11,11, 53.9, ⑮⑭
 5, 4,Ｆミラクルクロス, 54,後藤浩, 0.5, 58,  -5,   0, 6, 17.4, ⑧⑨, 5, 1,Ｄムカワタイガｰ, 66,平野優, 1.0, 65,   2,   4,12,229.5,⑬⑬⑬, 5, 2,Ｋマイネクイｰン, 59,クラス, 0.5, 71, -17,* 15, 6, 11.4, ⑩⑧, 5,13,Ｇハクバドウジ, 77,小林淳, 1.2, 75,* 13,  -2,14,135.1, ④④
 6, 1,Ｃショウナンガｰデン, 59,内田博, 0.6, 59,*  0,  -7, 3,  4.7, ①①, 6,10,Ｌメイショウヘイハチ, 58,吉田豊, 1.1, 62,*  6,  -9,10, 48.4,④④③, 6,16,Ｂビｰビｰバカラ, 72,松岡正, 0.7, 70, -19,* 16, 4,  9.2, ⑮⑭, 6,14,Ｍダイワシｰクレット, 73,北村宏, 1.3, 75,  12,   0,13,104.2, ⑥⑥
 7, 7,Ｅマンマルコ, 55,的場勇, 1.1, 62,  -9,   3, 8, 29.9, ⑭⑮, 7, 3,Ｇゲットハッピｰ, 63,北村宏, 1.1, 62,*  6, -10, 6, 10.7,①②②, 7, 1,Ｃサイレントソニック, 69,後藤浩, 0.8, 68, -22,* 17, 1,  3.0, ⑯⑯, 7, 3,Ｅヘリオスシチｰ, 79,内田博, 1.3, 75,  12,  -1, 4,  8.2, ⑤⑤
 8,16,Ｏウエスタンベルｰガ, 39,北村宏, 1.5, 52,  -3, -11,10,132.2, ⑦⑦, 8, 5,Ｅキャニオンシンザン, 65,伊藤直, 1.2, 64,   2,   3,13,304.4,⑭⑭⑭, 8,12, モルフェメイト,---,武士沢, 1.0, 65, -18,  10,16,578.1, ⑬⑫, 8, 7,Ｄオッキオディガット, 80,柴田善, 1.4, 71,   4,   8, 8, 37.7, ⑬⑮
 9,13,Ｉニットウミュｰズ, 50,津村明, 1.9, 48,  -3, -14, 5, 13.6, ⑥⑥, 9, 8,Ｈジド, 62,大庭和, 1.2, 64,   4,  -1,11, 94.8,⑧⑨⑫, 9,13,Ｎメロディメｰカｰ, 44,平野優, 1.2, 61, -18,   7,15,325.2, ⑪⑬, 9, 9,Ｂハンマｰプライス, 84,戸崎圭, 1.5, 71,   4,   6, 2,  4.0, ⑭⑬
10, 3,Ｈミスモトヒメサン, 53,石橋脩, 2.0, 48,  -3, -15, 9, 39.1, ④④,10, 6,Ｆヴァルナビスティｰ, 64,柴田善, 1.3, 61,   4,  -5, 7, 11.7,⑫⑫⑪,10, 7,Ｌカノヤキャプテン, 55,柴山雄, 1.2, 59, -14,   1,13,186.1, ⑥⑤,10,16,Ｋメジロオマリｰ, 75,大庭和, 1.5, 71,   2,  10, 9, 37.7, ⑯⑯
11, 9,Ｋラルガヴィｰタ, 44,江田照, 2.1, 48,  -2, -15,13,211.1, ⑤⑤,11,12,Ａアンナドンナ, 72,クラス, 1.4, 62,   6,  -9, 2,  4.6,⑥⑤⑤,11, 8, サウスワンダｰ,---,吉田豊, 1.2, 60, -13,   1,12,166.3, ③④,11, 6,Ｐトップアテンション, 58,的場勇, 1.5, 75,   7,   3,16,367.3, ⑨⑩
12, 6,Ｍゴｰルドルｰプ, 41,大庭和, 2.8, 43,  -8, -13,14,346.4, ⑫⑬,12, 9,Ｏニシノキミヨ, 41,田中勝, 1.6, 59,   4, -10, 9, 27.4,⑤⑦⑧,12,14,Ｅアグネスアンジュ, 66,内田博, 1.2, 59, -13,   0, 9, 33.7, ⑤⑥,12,10,Ｌハイエストクライム, 74,クラス, 1.7, 70,   6,   3,10, 43.6, ⑩⑫
13, 5,Ｊブルｰパメラ, 47,柴田善, 3.5, 37,  -6, -22,11,139.7, ⑨⑩,13, 2,Ｊセンノデバギヤ, 60,柴山雄, 1.7, 57,   4, -10,14,424.0,⑪⑪⑩,13, 3,Ｉツクババレｰ, 61,的場勇, 1.3, 59, -20,   7,10, 88.3, ⑫⑪,13, 2,Ｉエｰスインザホｰル, 76,松岡正, 1.9, 71,* 15, -11, 6, 16.6, ①①
14,15,Ｎベイビｰブルｰアイ, 41,小林淳, 3.6, 38,  -9, -19,15,477.0, ⑮⑭,14,15,Ｎチェリオス, 53,松岡正, 3.4, 46,*  6, -45, 8, 12.2,②①①,14,11,Ｇデラコリｰナ, 63,木幡初, 1.4, 58, -16,   1, 5, 10.2, ⑨⑨,14, 1,Ｊマイネルセラｰノス, 75,柴田大, 2.8, 63,* 13, -16,12,103.4, ③③
15, 2,Ｌラデュレ, 41,横山典, 6.3, 22,* -1, -54, 4,  5.5, ②③,,,,,,,,,,,,,15,15,Ｈマイウィン, 62,戸崎圭, 1.9, 51, -15,  -5,11,108.3, ⑦⑩,15,12,Ｎシュンカジョウ, 73,柴山雄, 3.0, 59,   6,  -8,15,260.9, ⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｍデルマバフチャラ, 46,大庭和, 2.2, 50, -20,  -2,14,251.3, ⑭⑮,16, 8,Ｏブルｰソックス, 70,江田照, 3.3, 60,* 14, -21, 5, 15.2, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
