11年 9月19日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月19日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,, 9, 5,Ｇヨロコビ, 56,丹内祐, 1.0, 58,   2,  -8,12, 72.1,⑥⑧⑩, 9, 7,Ｈキララチュｰル, 63,長谷川, 3.5, 48,   1, -18, 8, 46.2,⑨⑨⑩, 9,10,Ｉラインドリｰム, 74,長谷川, 1.4, 68,   9, -11, 9, 71.3,⑦⑥⑥
,,,,,,,,,,,,10, 2,Ｂトウショウレイザｰ, 66,吉田豊, 1.1, 55,   4, -13, 2,  4.1,⑤⑤⑤,10, 6,Ｇデルマアプサラス, 63,横山典, 3.9, 45,   1, -24, 4,  9.0,⑤⑧⑨,10, 1,Ｈモモフク, 75,宮崎北, 1.9, 64,   9, -19,10, 91.3,④④⑦
,,,,,,,,,,,,11, 8,Ｉモモチャン, 53,黛弘人, 1.2, 55,   2, -11,11, 62.0,⑩⑨⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,12,Ｍシｰボｰト, 44,三浦皇, 1.9, 50,  -1, -14,13, 84.9,⑬⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,10,Ｆグリモワｰル, 56,池添謙, 2.7, 39,*  6, -41, 8, 30.7,①①④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 1,Ｎステラプラド, 36,藤岡佑, 3.1, 38,  -2, -31,14,122.2,⑪⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:7),,,,,,,,,,,
単勝:180円 複勝:03=110円 01=160円 04=820円 枠連:0円,,,,,,,,,,,,"単勝:490円 複勝:09=200円 07=470円 14=710円 枠連:2,450円",,,,,,,,,,,,単勝:180円 複勝:09=110円 05=130円 02=180円 枠連:420円,,,,,,,,,,,,"単勝:1,180円 複勝:07=230円 09=330円 05=110円 枠連:2,260円",,,,,,,,,,,
"馬連:370円 ワイド:01-03=210円 03-04=1,010円 01-04=1,880円",,,,,,,,,,,,"馬連:3,620円 ワイド:07-09=1,190円 09-14=1,590円 07-14=3,900円",,,,,,,,,,,,馬連:450円 ワイド:05-09=200円 02-09=270円 02-05=500円,,,,,,,,,,,,"馬連:5,310円 ワイド:07-09=1,270円 05-07=360円 05-09=410円",,,,,,,,,,,
"馬単:570円 3連複:3,670円 3連単:8,930円",,,,,,,,,,,,"馬単:5,320円 3連複:20,360円 3連単:83,590円",,,,,,,,,,,,"馬単:630円 3連複:1,060円 3連単:3,220円",,,,,,,,,,,,"馬単:10,950円 3連複:2,470円 3連単:31,490円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1500m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  ダ1700m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,ｴﾙﾑｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａマイネルアダマス, 56,丹内祐,, 57, -14,*  8, 1,  2.4, ③③, 1, 5, ゲンテン,---,蛯名正,, 63,*-14,*  9, 1,  2.2,①①①, 1, 4,Ｇトミケンヒｰロｰ, 68,丸山元,, 75,  12,* -1, 2,  3.4,④④②, 1, 5,Ｂランフォルセ, 95,横山典,, 90,   9,* 21, 1,  1.6,⑫⑨④
 2, 4,Ｉスフィンクス, 20,田辺裕, 0.2, 52,*-14,   4, 4, 14.6, ②②, 2, 1, パララサルｰ,---,三浦皇, 0.3, 61, -17,*  9, 2,  3.2,③③④, 2, 5,Ｃリリｰストライカｰ, 72,川田将, 0.6, 72,  11,  -3, 4,  8.2,⑤⑤④, 2, 6,Ｅオｰロマイスタｰ, 90,吉田豊, 0.1, 86,  11,* 18, 8, 42.0,⑦⑤③
 3, 8,Ｃデンコウスナイパｰ, 49,古川吉, 0.5, 49, -19,*  5, 3,  5.9, ⑧⑥, 3, 4, バｰニングジｰル,---,川田将, 0.8, 55, -17,   3, 4, 12.0,④④③, 3, 6,Ｄメイショウサリマン, 70,藤岡佑, 0.6, 74,   8,*  2, 9, 39.5,⑫⑧⑦, 3, 9,Ｄエｰシンモアオバｰ, 92,藤田伸, 0.3, 88,* 13,  12, 3,  6.1,①①①
 4, 3,Ｄラウレア, 44,松田大, 0.5, 46,*-11,  -3, 8, 40.9, ①①, 4, 3, モエレフルｰル,---,丸山元, 0.8, 55, -19,   6, 3,  3.7,⑤⑤⑤, 4,10,Ｆベストフェット, 69,荻野琢, 0.9, 73,  10,  -3, 6, 13.8,⑦⑦⑥, 4, 3,Ｃダイシンオレンジ, 93,川田将, 0.4, 86,* 12,  13, 5, 20.3,②③②
 5, 5,Ｇメイクアミラクル, 32,三浦皇, 0.6, 48, -19,   3, 7, 22.6, ⑥⑦, 5, 8, マイネルシュハリ,---,丹内祐, 1.6, 43,*-16,  -9, 5, 23.4,②②②, 5,11,Ａリアルフリｰダム, 76,四位洋, 0.9, 71,  11,  -5, 1,  3.4,⑥⑥③, 5, 7,Ｉキッズアプロｰズ, 87,池添謙, 0.8, 83,   9,  14, 4, 12.6,⑨⑧⑦
 6, 2,Ｂリトルボス, 54,津村明, 0.8, 44, -16,  -1, 2,  2.6, ④④, 6, 6, シェイプリｰ,---,北村宏, 1.7, 45, -23,   0, 6, 28.0,⑦⑦⑦, 6, 2,Ｋバｰチャルトラック, 52,三浦皇, 1.1, 70,   7,*  1, 7, 19.3,⑪⑩⑨, 6,10,Ｈクリｰルパッション, 88,津村明, 1.0, 82,   9,  13, 7, 25.8,⑧⑩⑩
 7, 9,Ｈタイキプリマドンナ, 26,藤岡佑, 1.0, 42, -16,  -4, 5, 15.0, ⑤⑤, 7, 2, ジョウノナタリｰ,---,吉田隼, 2.0, 43, -22,  -2, 8, 58.5,⑥⑧⑧, 7, 1,Ｂエルヘイロｰ, 74,蛯名正, 1.2, 66,  13, -11, 3,  5.0,⑧③⑤, 7,12,Ｆメダリアビｰト, 89,秋山真, 1.0, 83,   9,  14, 6, 20.3,⑪⑪⑪
 8, 7,Ｆヴァリュｰメイク, 39,的場勇, 1.2, 39, -19,  -4, 9, 79.5, ⑦⑧, 8, 9, ナガラクラウン,---,藤岡佑, 2.3, 38, -19, -12, 9,154.8,⑧⑥⑥, 8,12,Ｅモズハリケｰン, 69,吉田隼, 1.4, 66,* 18, -23, 5,  8.8,③②①, 8,13,Ｋシャインモｰメント, 83,蛯名正, 1.0, 83,   6,* 18,13,293.3,⑬⑬⑬
 9, 6,Ｅタニノチャｰチル, 42,四位洋, 2.5, 22, -27, -13, 6, 19.5, ⑨⑨, 9, 7, ラファダリ,---,秋山真, 2.3, 39, -25,  -4, 7, 49.9,⑨⑨⑨, 9, 8,Ｈヴィジレ, 66,上村洋, 2.4, 60,   7, -10,11, 81.4,⑩⑫⑩, 9, 1,Ｇスタｰシップ, 89,吉田隼, 1.3, 81,  10,   9, 9, 43.2,⑥⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,10, 9,Ｊエラット, 60,鈴来直, 4.6, 45,   7, -30,10, 45.8,⑨⑨⑪,10, 2,Ｊエアマックｰル, 85,北村宏, 1.4, 79,  11,   6,10, 62.3,③②⑥
,,,,,,,,,,,,,,,,,,,,,,,,11, 7,Ｉユウキハングリｰ, 65,柴山雄, 8.1, 28,* 18, -79, 8, 22.9,②①⑧,11,11,Ａバｰディバｰディ, 96,三浦皇, 1.5, 79,  11,   6, 2,  5.8,④④⑤
,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｌウインガルｰダ, 46,長谷川,14.7,-31,   6, ---,12, 94.0,①⑪⑫,12, 8,Ｌマンハッタンスカイ, 79,田辺裕, 1.8, 75,  10,   4,11,142.0,⑤⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｍダイワルビア, 79,宮崎光, 2.6, 71,   7,   2,12,250.3,⑩⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,
"単勝:240円 複勝:01=120円 04=210円 08=160円 枠連:2,170円",,,,,,,,,,,,単勝:220円 複勝:05=110円 01=130円 04=180円 枠連:390円,,,,,,,,,,,,"単勝:340円 複勝:04=170円 05=290円 06=810円 枠連:1,570円",,,,,,,,,,,,単勝:160円 複勝:05=110円 06=540円 09=160円 枠連:680円,,,,,,,,,,,
"馬連:2,010円 ワイド:01-04=600円 01-08=300円 04-08=1,050円",,,,,,,,,,,,馬連:360円 ワイド:01-05=190円 04-05=350円 01-04=540円,,,,,,,,,,,,"馬連:1,800円 ワイド:04-05=700円 04-06=2,610円 05-06=3,640円",,,,,,,,,,,,"馬連:2,890円 ワイド:05-06=1,010円 05-09=210円 06-09=2,180円",,,,,,,,,,,
"馬単:2,900円 3連複:2,650円 3連単:11,780円",,,,,,,,,,,,"馬単:610円 3連複:1,100円 3連単:3,550円",,,,,,,,,,,,"馬単:2,740円 3連複:18,270円 3連単:51,840円",,,,,,,,,,,,"馬単:3,780円 3連複:4,490円 3連単:20,850円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 6R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,朝里川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂトップチェッカｰ, 64,池添謙,, 66,*  1,*  7, 1,  1.5,④③③, 1, 9,Ａワイズドリｰム, 75,池添謙,, 71,*  4,* 11, 1,  1.9, ②②, 1, 8,Ｅタイヨウパフュｰム, 69,秋山真,, 78,  14,  -2, 2,  5.3, ⑥④, 1, 8,Ｃアナバティック, 72,津村明,, 80,* -4,* 19, 4,  6.1,④③②
 2, 3,Ａメジロサンノウ, 64,吉田豊, 0.5, 58,*  2,   0, 3,  9.4,①①①, 2, 2,Ｂイッツアチャンス, 72,竹之下, 0.8, 63,*  5,   3, 2,  4.3, ①①, 2, 5,Ｄメジロガストン, 72,吉田豊, 0.0, 73,   7,*  3, 6, 17.8, ⑩⑥, 2, 4,Ｂタイタン, 76,藤田伸, 0.3, 78,  -5,* 17, 3,  4.7,⑤⑤③
 3, 5,Ｄキングダリア, 62,蛯名正, 1.2, 56,   0,  -2, 5, 19.8,⑤④④, 3, 8,Ｅモリトブイコｰル, 67,吉田隼, 0.8, 63,   2,   4, 4,  9.2, ④④, 3, 9,Ａカリステジア, 78,丸山元, 0.2, 76,* 18, -11, 1,  1.7, ①①, 3, 1,Ｈメルヴェイユドｰル, 65,蛯名正, 0.4, 77,  -4,  15, 9, 44.3,③④⑤
 4,10,Ｅビッグショット, 56,川島信, 1.3, 55,  -3,   0, 7, 43.5,⑧⑩⑧, 4, 4,Ｃハヤブサエミネンス, 69,丸山元, 1.0, 61,   0,   5, 3,  6.5, ⑤⑥, 4, 4,Ｊプリンセスミカ, 62,北村宏, 0.4, 68,   7,  -2,14,209.3, ⑪⑪, 4, 9,Ｄヴァンダライズ, 71,三浦皇, 0.5, 73,* -2,   7, 5,  7.6,①①①
 5, 7,Ｉイフポッシブル, 53,横山典, 1.4, 56,  -1,  -3, 9, 62.4,⑥⑥⑥, 5, 5,Ｉグレイホｰク, 62,黛弘人, 1.2, 59,  -4,   5, 9, 73.7, ⑧⑨, 5, 1,Ｂリネンパズル, 75,村田一, 0.4, 71,  13,  -8, 3, 10.9, ⑤⑦, 5, 5,Ｊシルクプロミス, 60,田辺裕, 0.6, 75,  -7,* 17, 8, 32.7,⑥⑧⑥
 5, 2,Ｃソウルオブエイチ, 63,四位洋, 1.4, 57,  -1,  -2, 2,  3.8,⑨⑦⑤, 6, 6,Ｊブラウンチｰタｰ, 56,菅原隆, 1.4, 57,   1,   0,10,144.9, ③③, 6,11,Ｇウイニングドラゴン, 68,松田大, 0.4, 70,  10,  -4, 7, 20.8, ⑨⑧, 6,11,Ｇスマｰトリバティｰ, 70,池添謙, 0.6, 75,  -7,* 17, 1,  3.3,⑧⑨⑧
 7, 9,Ｆピンクピアリス, 55,小林徹, 1.7, 55,*  1,  -8,10,162.9,②②②, 7,10,Ｄゼニスパワｰ, 68,古川吉, 1.4, 56,  -1,   2, 5, 10.0, ⑥⑤, 7,12,Ｎスワット, 59,宮崎北, 0.4, 69,   7,  -1,12, 75.2, ⑫⑫, 7, 3,Ｆコスモカンタｰビレ, 70,丹内祐, 0.8, 73,  -6,  13, 6, 15.7,⑨⑦⑨
 8, 1,Ｈアルメナｰラ, 54,荻野琢, 1.9, 56,  -3,  -4, 4, 19.3,⑩⑧⑦, 8, 7,Ｈデプラｰタ, 62,岩部純, 1.4, 56,  -6,   4, 7, 24.7, ⑨⑦, 8, 6,Ｌジョｰプラチネラ, 60,古川吉, 0.6, 69,  14, -12,10, 44.6, ④②, 8, 7,Ａメジロダイボサツ, 77,吉田豊, 1.1, 67,  -6,   8, 2,  3.7,⑦⑥⑦
 9, 8,Ｊコモレビ, 53,津村明, 3.6, 40,  -2, -20, 8, 60.5,⑦⑨⑩, 9, 1,Ｇフレイヤ, 64,丹内祐, 1.4, 56,  -4,   3, 6, 16.5, ⑦⑧, 9,10,Ｋムｰト, 61,井上俊, 0.7, 63,   1,   0,15,285.3, ⑬⑬, 9,10,Ｉジパングダマシイ, 65,菅原隆, 1.2, 64,* -4,   1,10,115.6,②②④
10, 6,Ｇハｰプｰン, 54,西村太, 3.7, 39,  -1, -23,11,272.2,③⑤⑨,10, 3,Ｆハロｰタマ, 64,宮崎北, 1.8, 50,  -7,   2, 8, 70.7, ⑩⑩,10, 2,Ｃマリエンベルク, 74,勝浦正, 0.7, 62,   1,   0, 5, 16.2, ⑭⑭,10, 6,Ｅチャｰリｰポイント, 70,丸山元, 2.1, 61, -12,   8, 7, 21.7,⑪⑪⑩
11, 4,Ｋサトノオリオン, 53,的場勇, 6.0, 30,  -8, -30, 6, 40.6,⑪⑪⑪,,,,,,,,,,,,,11, 7,Ｈケイツｰノｰス, 68,蛯名正, 0.9, 63,   8,  -9, 9, 43.4, ⑧⑩,11, 2,Ｋオｰスミストｰン, 54,芹沢純, 2.5, 54,  -9,  -3,11,229.6,⑩⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,12,13,Ｍフミノサワヤカ, 60,長谷川, 1.0, 65,* 16, -18,11, 56.5, ②⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｏエルクロス, 58,吉田隼, 1.0, 60,  -4,*  1,13,194.0, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｆタイセイクライマｰ, 69,池添謙, 1.1, 64,* 16, -19, 8, 23.8, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｉエｰティｰランボｰ, 68,小林徹, 1.5, 57,  12, -21, 4, 12.5, ⑦⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:7),,,,,,,,,,,
単勝:150円 複勝:11=110円 03=200円 05=370円 枠連:530円,,,,,,,,,,,,単勝:190円 複勝:09=110円 02=160円 08=170円 枠連:340円,,,,,,,,,,,,単勝:530円 複勝:08=140円 05=320円 09=110円 枠連:880円,,,,,,,,,,,,単勝:610円 複勝:08=200円 04=190円 01=760円 枠連:810円,,,,,,,,,,,
馬連:530円 ワイド:03-11=280円 05-11=430円 03-05=780円,,,,,,,,,,,,馬連:470円 ワイド:02-09=270円 08-09=290円 02-08=580円,,,,,,,,,,,,"馬連:3,520円 ワイド:05-08=870円 08-09=200円 05-09=560円",,,,,,,,,,,,"馬連:1,500円 ワイド:04-08=590円 01-08=2,470円 01-04=2,310円",,,,,,,,,,,
"馬単:690円 3連複:1,680円 3連単:4,020円",,,,,,,,,,,,"馬単:800円 3連複:1,170円 3連単:3,870円",,,,,,,,,,,,"馬単:6,550円 3連複:1,840円 3連単:17,740円",,,,,,,,,,,,"馬単:3,120円 3連複:16,710円 3連単:70,510円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
