11年 1月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■10R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,くすのき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11, 2,Ｋクラウンデザイナｰ, 39,西田雄, 1.9, 36, -19,  -9,12,129.6, ⑫⑫,11, 1,Ａディミｰタ, 74,大野拓, 1.1, 58,  -2,   4, 2,  3.8,⑧⑧⑥,11, 7,Ｌイｰジｰウイン, 67,田辺裕, 1.1, 61,  -5,  13, 9, 50.6,⑤⑧⑧,11, 4,Ｋキングオブザベスト, 70,丹内祐, 1.1, 68,   2,   0, 7, 16.8, ⑤⑥
12, 7,Ｂバトルドゥｰマ, 53,中舘英, 2.0, 37,*  2, -23, 1,  1.8, ②③,12,12,Ｎプライズデイ, 59,西田雄, 1.2, 59,  -3,   5,15,271.4,⑫⑪⑫,12, 8,Ｇマックスドｰズ, 72,宮崎北, 1.2, 59,  -4,  11, 7, 13.7,③⑤⑨,12, 3,Ｍツルマルジャパン, 61,太宰啓, 1.3, 65,*  6,  -7,12, 33.2, ①①
13, 5,Ｍサカジロロイヤル, 24,野元昭, 2.9, 28,  -2, -29,10, 71.2, ④④,13,10,Ｏトップバゴチャン, 58,古川吉, 1.2, 58,  -3,   4,12, 41.9,⑨⑩⑩,13,14,Ｄマｰブルアロｰ, 74,渡辺薫, 1.4, 59,  -6,  11, 3,  6.4,⑦⑪⑩,13,10,Ｈビｰビｰナエトル, 73,中舘英, 1.4, 64,   0,  -2, 3,  6.3, ⑧⑧
,,,,,,,,,,,,14,15,Ｇエアツイッタｰ, 65,上村洋, 1.5, 56,   0,  -3, 1,  2.7,⑤④⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:2),,,,,,,,,,,
"単勝:380円 複勝:04=170円 10=410円 12=870円 枠連:2,090円",,,,,,,,,,,,"単勝:700円 複勝:05=260円 09=620円 07=450円 枠連:2,780円",,,,,,,,,,,,"単勝:710円 複勝:05=270円 06=340円 04=160円 枠連:5,540円",,,,,,,,,,,,"単勝:1,560円 複勝:02=500円 13=520円 01=210円 枠連:10,250円",,,,,,,,,,,
"馬連:2,270円 ワイド:04-10=740円 04-12=1,530円 10-12=5,780円",,,,,,,,,,,,"馬連:8,780円 ワイド:05-09=2,690円 05-07=1,650円 07-09=3,200円",,,,,,,,,,,,"馬連:4,410円 ワイド:05-06=1,350円 04-05=620円 04-06=900円",,,,,,,,,,,,"馬連:16,480円 ワイド:02-13=4,540円 01-02=1,320円 01-13=1,390円",,,,,,,,,,,
"馬単:3,590円 3連複:17,780円 3連単:68,240円",,,,,,,,,,,,"馬単:21,120円 3連複:36,590円 3連単:164,090円",,,,,,,,,,,,"馬単:5,710円 3連複:4,860円 3連単:33,490円",,,,,,,,,,,,"馬単:27,500円 3連複:27,410円 3連単:242,180円",,,,,,,,,,,
■ 3R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 9R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  芝1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,遠賀川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
