11年11月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  ダ1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
単勝:450円 複勝:03=130円 07=110円 11=200円 枠連:370円,,,,,,,,,,,,"単勝:320円 複勝:09=110円 03=400円 08=100円 枠連:2,890円",,,,,,,,,,,,単勝:160円 複勝:07=110円 03=130円 01=150円 枠連:410円,,,,,,,,,,,,単勝:140円 複勝:03=110円 09=160円 02=310円 枠連:370円,,,,,,,,,,,
馬連:390円 ワイド:03-07=190円 03-11=430円 07-11=340円,,,,,,,,,,,,"馬連:5,420円 ワイド:03-09=770円 08-09=120円 03-08=680円",,,,,,,,,,,,馬連:430円 ワイド:03-07=180円 01-07=220円 01-03=410円,,,,,,,,,,,,馬連:350円 ワイド:03-09=180円 02-03=390円 02-09=960円,,,,,,,,,,,
"馬単:970円 3連複:840円 3連単:3,830円",,,,,,,,,,,,"馬単:6,930円 3連複:1,010円 3連単:13,950円",,,,,,,,,,,,"馬単:580円 3連複:700円 3連単:2,070円",,,,,,,,,,,,"馬単:490円 3連複:1,480円 3連単:3,740円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｱﾙｾﾞﾝﾁﾝ共和国杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｈフリｰトアロｰ, 47,北村宏,, 60,* -1,   2, 3,  7.0, ③③, 1, 5, ダイワミストレス,---,横山典,, 64,*  7,  -8, 3,  7.0, ②②, 1,11,Ｂミッキｰオリｰブ, 75,丸山元,, 73,*  4,   3, 6,  8.6, ②②, 1,11,Ａトレイルブレイザｰ, 93,安藤勝,, 96,* 17,*  8, 3,  6.3,⑦⑥④
 2, 6,Ｅレオンビスティｰ, 51,小林慎, 0.0, 61,  -4,*  5, 1,  1.9, ⑤⑤, 2,13, リｰゼントブルｰス,---,松岡正, 0.6, 59,   4, -10, 6, 26.2, ⑥⑥, 2, 4,Ｊナムラエメラルド, 65,横山典, 0.1, 71,  -2,* 11, 7,  9.0, ⑫⑫, 2,12,Ｃオウケンブルｰスリ, 88,田辺裕, 0.2, 94,  15,* 14, 1,  4.3,⑯⑭⑭
 3, 4,Ｃビッグウェｰバｰ, 52,田中勝, 0.8, 55,  -9,*  5,11, 62.0, ⑫⑫, 3, 7, モエレアンバサダｰ,---,ベリｰ, 0.6, 59,   3,  -9,14,119.5, ⑧⑦, 3, 1,Ｆニシノフェミニン, 70,蛯名正, 0.4, 70,   3,   2, 2,  6.1, ③④, 3, 7,Ｄカワキタコマンド, 87,柴田善, 0.7, 89,* 17,  -3, 8, 18.0,③④③
 4, 3,Ｉタンブルブルｰタス, 45,三浦皇, 0.9, 53,*  1,  -9, 4, 10.5, ①①, 4, 3, シルクダヴィンチ,---,三浦皇, 0.7, 56,  -5,*  2, 9, 47.3, ⑭⑭, 4, 7,Ａプロスペラスマム, 78,柴田善, 0.5, 68,   1,   2, 4,  6.5, ⑧⑥, 4, 6,Ｂカリバｰン, 90,蛯名正, 1.0, 87,  16,  -3, 4,  6.5,⑨⑩⑦
 5, 8,Ｋメイショウバロン, 43,後藤浩, 1.1, 51,*  1, -10, 5, 11.9, ②②, 5, 4, プリュキエｰル,---,北村宏, 0.9, 54,  -7,*  3, 8, 46.1, ⑯⑯, 5,13, セニョリｰタ,---,北村宏, 0.7, 67,   2,   1,10, 41.4, ⑥⑦, 5,18,Ｅビｰトブラック, 86,松岡正, 1.0, 88,  15,  -1, 2,  5.6,⑫⑫⑩
 6,10,Ｎトキノユウ, 39,小林淳, 1.4, 52, -10,   2,15,344.8, ⑮⑮, 6, 6, タイセイロｰマン,---,武士沢, 1.1, 55,   5, -15,10, 58.8, ④③, 6, 5,Ｉトウカイシャンテ, 68,後藤浩, 0.9, 65,*  6,  -6,12, 80.4, ①①, 6, 8,Ｉキングトップガン, 85,横山典, 1.0, 86,  15,   2, 9, 19.2,⑬⑬⑫
 7, 9,Ｄフクノサンデｰ, 51,横山義, 1.7, 48,  -5,  -8, 8, 33.0, ⑥⑥, 7,16, ドリｰムピｰス,---,後藤浩, 1.5, 50,  -1, -10, 2,  4.4, ⑩⑩, 7, 9,Ｄシルクミライ, 73,松岡正, 1.1, 64,   1,  -2, 5,  7.2, ⑩⑩, 7,16,Ｎアブソリュｰト, 82,田中勝, 1.0, 87,  13,*  7,17,151.8,⑭⑯⑯
 8, 1,Ａエリザヴェｰタ, 57,田辺裕, 1.8, 47,  -9,  -4, 2,  5.4, ⑬⑬, 8, 1, ルチャドルアスｰル,---,蛯名正, 1.6, 52,*  8, -23, 1,  1.7, ①①, 8, 8,Ｇエヴァ, 69,ベリｰ, 1.3, 63,   1,  -2, 8, 10.7, ⑨⑨, 8, 3,Ｑフォゲッタブル, 79,メンデ, 1.0, 86,  15,  -1, 7, 16.5,⑧⑨⑨
 9,15,Ｂナムラナデシコ, 56,丸山元, 1.8, 48, -10,  -2, 7, 19.4, ⑯⑯, 9,15, スｰパｰボルト,---,嶋田純, 1.6, 49,  -4,  -8, 4, 17.4, ⑬⑫, 9, 6,Ｃアフィントン, 74,メンデ, 1.3, 62,   1,  -3, 3,  6.5, ⑦⑧, 9,13,Ｒコスモヘレノス, 76,ベリｰ, 1.3, 84,  16,  -6, 6, 13.7,⑩⑧⑧
10,11,Ｇコスモレイラ, 47,柴田大, 1.9, 48,  -6,  -8, 6, 14.4, ⑦⑧,10,11, コンノｰトスタイル,---,石橋脩, 2.1, 46,  -2, -14,13, 89.7, ⑪⑪,10, 3,Ｈコｰンドリｰ, 69,田中勝, 1.4, 60,  -2,  -1, 9, 14.1, ⑪⑪,10, 2,Ｏネコパンチ, 79,江田照, 1.5, 82,  16, -10,13, 45.3,⑥⑦⑥
11,14,Ｆズｰムイン, 47,吉田豊, 2.1, 43,  -5, -11, 9, 49.4, ⑨⑦,11, 9, クｰルフォエバｰ,---,大庭和, 3.9, 34,   5, -39,11, 71.3, ⑤④,11,12,Ｅバイナリｰスタｰ, 71,吉田豊, 1.6, 58,   3, -10, 1,  5.1, ④③,11,10,Ｌポルカマズルカ, 83,北村宏, 1.7, 81,  14,  -8,12, 36.5,⑪⑪⑬
12,12,Ｏクライシスワン, 37,二本柳, 3.7, 33,  -9, -19,16,353.3, ⑭⑭,12, 8, キネオオｰシャン,---,田中勝, 4.8, 27,   2, -43, 7, 35.5, ⑦⑧,12,10,Ｌクリノビｰトイット, 51,武士沢, 2.2, 56,  -3,  -4,13,318.3, ⑬⑬,12, 5,Ｍトウカイトリック, 83,石橋脩, 1.7, 83,  12,   3,16,122.3,⑱⑱⑱
13, 5,Ｐチクシタイショウ,  8,大庭和, 3.8, 33,  -7, -22,14,340.4, ⑩⑩,13,14, ライフハッカｰ,---,柴田善, 4.9, 27,   0, -41, 5, 17.9, ⑨⑨,13, 2,Ｋサクラメアリ, 59,三浦皇, 2.8, 50,   2, -17,11, 44.6, ⑤⑤,13, 4,Ｊナムラクレセント, 85,後藤浩, 1.8, 79,  16, -16, 5,  8.6,④③⑤
14, 2,Ｌシャドウガｰデン, 42,嶋田純, 4.0, 30,  -3, -30,12,172.1, ④④,14, 2, エメラルホｰム,---,古川吉, 5.2, 23,   4, -50,12, 75.3, ③⑤,,,,,,,,,,,,,14, 1,Ｆピエナファンタスト, 86,古川吉, 1.8, 82,  12,   1,10, 24.6,⑰⑰⑰
15, 7,Ｍマスタｰキワミ, 41,古川吉, 4.2, 27,  -7, -26,13,236.6, ⑪⑪,15,12, エクセラン,---,荻野琢, 5.2, 27,  -5, -38,15,173.4, ⑮⑬,,,,,,,,,,,,,15, 9,Ｇドリｰムセｰリング, 85,三浦皇, 2.1, 78,* 17, -24,14, 52.6,①①①
16,13,Ｊマルチフロｰラ, 44,石橋脩, 4.5, 25,  -6, -31,10, 58.9, ⑧⑨,16,10, ヒメボタル,---,小林淳, 6.8,  6,  -6, -49,16,446.4, ⑫⑮,,,,,,,,,,,,,16,14,Ｐゴｰルデンハインド, 79,荻野琢, 2.4, 73,  14, -19,15, 57.1,⑤⑤⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｋイケドラゴン, 83,丸山元, 2.5, 74,  13, -15,18,171.0,⑮⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｈコスモラピュタ, 85,柴田大, 4.2, 65,* 17, -53,11, 33.3,②②②
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:2),,,,,,,,,,,
単勝:700円 複勝:16=210円 06=110円 04=930円 枠連:570円,,,,,,,,,,,,"単勝:700円 複勝:05=280円 13=1,190円 07=1,550円 枠連:2,170円",,,,,,,,,,,,"単勝:860円 複勝:11=310円 04=280円 01=210円 枠連:3,190円",,,,,,,,,,,,"単勝:630円 複勝:11=200円 12=190円 07=430円 枠連:1,620円",,,,,,,,,,,
"馬連:670円 ワイド:06-16=350円 04-16=3,380円 04-06=1,300円",,,,,,,,,,,,"馬連:7,400円 ワイド:05-13=2,120円 05-07=5,350円 07-13=13,760円",,,,,,,,,,,,"馬連:2,800円 ワイド:04-11=1,340円 01-11=940円 01-04=870円",,,,,,,,,,,,"馬連:1,620円 ワイド:11-12=630円 07-11=1,350円 07-12=2,040円",,,,,,,,,,,
"馬単:1,710円 3連複:7,200円 3連単:31,930円",,,,,,,,,,,,"馬単:11,500円 3連複:157,320円 3連単:777,850円",,,,,,,,,,,,"馬単:6,790円 3連複:6,650円 3連単:39,180円",,,,,,,,,,,,"馬単:3,180円 3連複:10,810円 3連単:48,520円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,立冬特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｃヴィオラｰネ, 62,横山典,, 68, -10,*  8, 4,  9.5, ⑤⑤, 1, 8, ハイクラウン,---,松岡正,, 59, -28,* 14, 3,  5.7,⑤⑥④, 1, 8,Ｅメｰヴェ, 76,三浦皇,, 87,   8,* 10, 1,  2.6,⑥⑦⑦, 1, 3,Ｄタツミリュウ, 76,田辺裕,, 77,   4,   3, 4,  6.3, ②②
 2, 7,Ｍジャッドマックス, 42,嶋田純, 0.3, 63,* -7,   1, 6, 12.3, ④④, 2, 7, ダイワネクサス,---,北村宏, 0.2, 49,*-24,   3, 1,  1.4,③②②, 2, 3,Ｃヤマカツゴｰルド, 78,田中勝, 0.1, 84,   9,*  9, 5,  9.4,⑤⑥⑥, 2, 2,Ｈウエスタンディオ, 70,石橋脩, 0.0, 79,  -3,* 13, 7, 23.3, ⑨⑨
 3, 8,Ｊブエノディオス, 45,ベリｰ, 0.5, 60,* -6,  -4,11, 67.1, ②②, 3, 5, シングンタイガｰ,---,丸山元, 0.3, 47,*-23,   0, 6, 52.3,①①①, 3, 1,Ｈミヤビファルネｰゼ, 74,吉田豊, 0.1, 83,   8,   7, 2,  3.2,④⑤⑤, 3, 9,Ｂポｰルアックス, 79,北村宏, 0.0, 78,   4,   4, 3,  5.0, ④④
 4, 2,Ａキングズクエスト, 72,メンデ, 0.6, 62, -12,   4, 2,  4.1, ⑫⑩, 4, 3, ダイメイサンデｰ,---,嘉藤貴, 0.4, 53, -30,* 12, 9,102.5,⑥⑤⑥, 4, 6,Ｂマルタカシクレノン, 79,石橋脩, 0.6, 79,   7,   4, 3,  7.2,⑨⑨⑨, 4, 6,Ｃロｰレルエルヴェル, 78,小林淳, 0.3, 75,  -2,*  8, 8, 38.2, ⑧⑧
 5,12,Ｏアポロライダｰ, 40,後藤浩, 0.6, 58,* -3,  -7,12,169.5, ①①, 5, 6, コスモプレジデント,---,ベリｰ, 0.9, 42, -25,  -3, 2,  4.8,④④③, 5, 7,Ａマイヨｰル, 80,松岡正, 0.8, 77,* 13, -12, 4,  7.5,①①①, 5, 5,Ｇメルシｰヨｰク, 72,松岡正, 0.4, 75,   1,   3, 6, 14.8, ⑦⑦
 6, 4,Ｇスズノライジン, 51,吉田豊, 0.6, 58,* -7,  -4, 5, 11.1, ③③, 6, 1, ブラウシュタイン,---,三浦皇, 1.4, 43, -30,   1, 5, 24.9,⑦⑦⑦, 6, 4,Ｉアマミスウィフト, 74,武士沢, 1.0, 75,   7,  -2, 9, 65.6,⑧⑧⑧, 6, 7,Ａウインドジャズ, 79,蛯名正, 0.5, 73,   3,  -1, 2,  3.9, ⑤⑤
 7,14,Ｉゾクゾク, 46,三浦皇, 0.7, 62, -12,   3, 7, 17.5, ⑩⑪, 7,10, コｰリンギデオン,---,武士沢, 1.5, 42, -32,   3, 8, 72.8,⑩⑨⑨, 7, 5,Ｆハｰマジェスティ, 75,小林慎, 1.1, 72,* 11, -13, 8, 56.1,③②②, 7, 1,Ｅレッドストラｰダ, 76,吉田豊, 0.6, 70,   0,   0, 1,  2.5, ⑥⑥
 8,10,Ｂビップヴィットリオ, 64,柴田善, 0.7, 62, -15,*  5, 8, 19.8, ⑭⑭, 8, 4, ヤマニンカセドラル,---,田中勝, 2.0, 32, -31,  -7, 4, 17.5,⑧⑧⑧, 8, 2,Ｄエｰシンアルカウス, 76,田辺裕, 1.2, 71,  10, -10, 7, 15.2,②③③, 8, 8,Ｆジェネスサンキュｰ, 76,ベリｰ, 1.4, 62,   4, -15, 5,  9.7, ③③
 9, 5,Ｄウィケットキｰパｰ, 59,蛯名正, 0.8, 61, -15,   4, 3,  4.1, ⑬⑬, 9, 2, トップグロｰリｰ,---,大庭和, 2.5, 24, -28, -20, 7, 55.1,②③⑤, 9, 9,Ｇトップキングダム, 74,柴田善, 4.3, 45,  10, -55, 6, 12.4,⑦④④, 9, 4,Ｉスマｰトスパｰクル, 57,嶋田純, 1.9, 55,*  8, -26, 9,189.4, ①①
10,15,Ｌオオタニジムチョウ, 43,武士沢, 1.0, 55, -11,  -4,10, 54.0, ⑧⑧,10, 9, ヒヨドリゴエ,---,嶋田純, 2.6, 31, -38,  -3,10,107.1,⑨⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Ｎラッキｰストｰム, 42,石橋脩, 1.1, 59, -18,*  6,16,257.6, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, 3,Ｆダイヤモンタｰニャ, 52,江田照, 1.3, 52, -11,  -7, 9, 35.4, ⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,Ｈカシノペンダント, 48,二本柳, 1.4, 51, -11,  -8,15,217.3, ⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, 1,Ｐギンザクリスタル, 30,丸山元, 1.5, 49, -11, -10,14,194.4, ⑪⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 9,Ｅクリノダイキンボシ, 55,田辺裕, 1.6, 48, -14,  -8, 1,  3.3, ⑨⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 6,Ｋヒシデュランダル, 45,北村宏, 2.4, 40, -16, -14,13,186.4, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,
"単勝:950円 複勝:16=350円 07=450円 08=1,110円 枠連:5,500円",,,,,,,,,,,,単勝:570円 複勝:08=140円 07=110円 05=790円 枠連:300円,,,,,,,,,,,,"単勝:260円 複勝:08=120円 03=210円 01=140円 枠連:1,130円",,,,,,,,,,,,"単勝:630円 複勝:03=210円 02=520円 09=180円 枠連:6,150円",,,,,,,,,,,
"馬連:7,770円 ワイド:07-16=2,500円 08-16=8,600円 07-08=10,100円",,,,,,,,,,,,"馬連:290円 ワイド:07-08=210円 05-08=2,180円 05-07=1,320円",,,,,,,,,,,,"馬連:1,270円 ワイド:03-08=420円 01-08=180円 01-03=510円",,,,,,,,,,,,"馬連:5,500円 ワイド:02-03=1,660円 03-09=610円 02-09=1,360円",,,,,,,,,,,
