11年 1月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝﾗｲｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 4, 1,Ｋニットウミュｰズ, 40,津村明, 1.3, 47,   2, -13,10, 40.7,⑨⑥⑥, 4,11,Ｉサイクロンフォｰス, 54,松岡正, 0.3, 56,   0,  -2, 9, 45.6,⑧⑦⑦, 4, 7,Ｉノボレインボｰ, 76,内田博, 1.4, 76,*  7,   7, 6, 26.4, ③④, 4,16,Ｉゲイルスパｰキｰ, 80,北村宏, 0.1, 84,* 17,   6,15,119.2,③③③
 5, 3,Ｅミスモトヒメサン, 50,石橋脩, 1.4, 49,  -2,* -6, 9, 38.1,⑭⑬⑩, 5, 9,Ｎシュヴァルツシルト, 45,田中勝, 0.4, 57,  -4,*  5, 7, 37.3,⑬⑭⑬, 5, 9,Ｈスイｰトエスケｰプ, 78,蛯名正, 1.5, 75,   2,  11, 4,  6.9, ⑩⑧, 5, 8,Ａキングストリｰト, 88,津村明, 0.2, 85,  10,  17, 2,  5.8,⑥⑧⑦
 6,16,Ｃロジベアハｰト, 61,後藤浩, 1.4, 45,*  4, -19, 1,  2.4,①①①, 6, 1,Ｈランブイエ, 55,内田博, 0.4, 55,*  3, -11, 4,  8.2,①①①, 6,14,Ｄオオヒメ, 80,吉田豊, 1.5, 73,   1,  12,10, 38.6, ⑪⑪, 6,10,Ｊキョウエイアシュラ, 78,内田博, 0.5, 83,  11,  10, 7, 15.7,④⑥⑧
 7, 5,Ｂライヴマジック, 62,蛯名正, 1.7, 45,*  3, -19, 2,  4.1,⑤⑤⑤, 7,16,Ｏケイオｰワｰルド, 27,田辺裕, 0.5, 52,  -2,  -1,14,218.7,⑫⑫⑩, 7, 4,Ｐプリマベｰラシチｰ, 68,石橋脩, 1.6, 74,   7,   6,16,255.0, ④③, 7,11,Ｄダイシングロウ, 87,田辺裕, 0.5, 82,   1,* 26,11, 41.2,⑮⑮⑮
 8, 9,Ｇプレシャスマリン, 49,平野優, 2.0, 43,  -1, -14,15,204.9,⑬⑫⑬, 8,13,Ｋオメガスカイツリｰ, 49,横山典, 0.6, 51,  -1,  -5,10, 54.5,⑦⑧⑨, 8, 2,Ｌチェアユｰアップ, 73,丸田恭, 1.9, 71,  -3,  12,14,196.1, ⑮⑯, 8, 6,Ｏダンスフォｰウィン, 77,吉田豊, 0.6, 79,  14,   4, 8, 30.6,⑤④④
 9, 7,Ｏスプリングロバｰツ, 33,宮崎北, 2.1, 42,   0, -15,12, 60.7,⑩⑩⑦, 9,15,Ｃコスモスイｰトテン, 64,中谷雄, 0.7, 50,*  1, -14, 5, 15.7,④③③, 9,10,Ｋグレイスフルムｰヴ, 75,小林淳, 1.9, 71,  -1,  11,15,220.0, ⑭⑮, 9, 7,Ｐゴスホｰクケン, 69,武士沢, 0.6, 77,* 23, -12,12, 65.4,①①①
10,12,Ｐカトルズグリｰン, 33,松岡正, 2.1, 43,   0, -16, 8, 23.8,⑪⑪⑧,10, 6,Ｂネグレスコ, 66,ベリｰ, 0.7, 51,*  2, -12, 3,  3.5,③④④,10,16,Ｆロｰブドヴルｰル, 79,柴田大, 2.0, 70,   3,   6, 7, 29.8, ⑨⑩,10, 4,Ｎマルタカエンペラｰ, 77,蛯名正, 0.6, 83,   5,* 20,13, 68.2,⑭⑫⑫
11, 2,Ｍミロス, 38,田辺裕, 2.3, 42,  -2, -12,14,171.1,⑮⑮⑭,11, 8,Ｅマイネルバリュｰ, 58,津村明, 0.9, 50,   0, -10, 6, 19.4,⑨⑨⑧,11, 1,Ｊバイラオｰラ, 75,吉田隼, 2.0, 72,   3,   6, 5, 24.1, ⑦⑥,11,13,Ｆムラマサノヨｰトｰ, 84,田中勝, 0.7, 80,  10,  10, 5, 12.9,⑧⑨⑨
12,14,Ｈショウナンサｰジュ, 48,北村宏, 2.9, 37,*  4, -30, 6, 21.6,②②④,12, 3,Ｆオｰビｰキング, 57,伊藤工, 0.9, 50,  -3,  -6,13,205.6,⑪⑪⑫,12, 8,Ａトウカイポプリ, 87,小野寺, 2.0, 70,   4,   5, 8, 30.6, ⑧⑨,12, 1,Ｍファストロック, 77,柴山雄, 0.7, 78,   9,  11,16,128.6,⑪⑦⑥
13, 6,Ｌメマンチンタ, 38,田中博, 2.9, 40,   1, -25,11, 54.6,⑧⑧⑪,13, 5,Ｊオウエイミステリｰ, 49,吉田豊, 1.0, 49,  -2,  -8,11,149.1,⑩⑩⑪,13,12,Ｇルナロッソ, 79,三浦皇, 2.1, 69,   5,   2, 9, 31.1, ⑥⑦,13,12,Ｅステラリｰド, 86,丸山元, 1.1, 76,   6,  12,14, 80.8,⑦⑬⑬
14,13,Ｆラブロジック, 49,柴田善, 3.4, 32,   2, -31,13,105.5,⑦⑦⑨,14, 4,Ｌココアンジュ, 49,北村宏, 1.1, 49,  -3,  -4,15,265.5,⑭⑮⑭,14,13,Ｎシュンカジョウ, 71,田辺裕, 2.1, 69,  -3,  10,13,170.6, ⑯⑭,13,15,Ｋストリｰトスタイル, 78,浜中俊, 1.1, 76,   7,   9, 9, 33.8,⑩⑪⑪
15, 4,Ｎミヤビアザｰレ, 35,西田雄, 3.8, 33,  -3, -23,16,360.6,⑯⑯⑯,15,12,Ｐオリオンザゴｰルド, 26,石橋脩, 1.1, 51,  -5,  -1,16,587.9,⑮⑯⑮,15, 5,Ｏプリモロｰズ, 71,ベリｰ, 2.1, 70,  -1,   9,12,129.4, ⑬⑬,15,14,Ｂオｰシャンエイプス, 88,三浦皇, 1.4, 73,   4,   9, 6, 13.1,⑬⑭⑭
16,11,Ｊオｰルドアメリカン, 41,中舘英, 3.9, 32,   0, -31, 7, 21.6,⑥⑨⑮,16,10,Ｍルクｰルロゼ, 45,田中博, 3.2, 31,  -4, -36,12,179.5,⑯⑬⑯,16, 3,Ｍナイアｰド, 72,中舘英, 2.6, 65,  -1,   4,11, 48.6, ⑫⑫,16, 3,Ｈトｰセンキャプテン, 81,江田照, 1.7, 72,  -1,  14,10, 40.0,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,
単勝:490円 複勝:15=180円 08=260円 10=560円 枠連:690円,,,,,,,,,,,,"単勝:310円 複勝:02=160円 07=710円 14=160円 枠連:1,190円",,,,,,,,,,,,単勝:560円 複勝:15=160円 11=110円 06=140円 枠連:490円,,,,,,,,,,,,単勝:660円 複勝:02=240円 09=130円 05=190円 枠連:870円,,,,,,,,,,,
"馬連:1,930円 ワイド:08-15=660円 10-15=1,410円 08-10=2,170円",,,,,,,,,,,,"馬連:6,460円 ワイド:02-07=2,100円 02-14=320円 07-14=2,810円",,,,,,,,,,,,馬連:630円 ワイド:11-15=260円 06-15=390円 06-11=200円,,,,,,,,,,,,"馬連:1,120円 ワイド:02-09=470円 02-05=740円 05-09=420円",,,,,,,,,,,
"馬単:3,600円 3連複:9,780円 3連単:44,510円",,,,,,,,,,,,"馬単:10,590円 3連複:11,260円 3連単:68,120円",,,,,,,,,,,,"馬単:1,780円 3連複:860円 3連単:6,910円",,,,,,,,,,,,"馬単:2,500円 3連複:2,260円 3連単:13,580円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝2200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,黒竹賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃホノカアボｰイ, 54,吉田隼,, 60,  -9,* 14, 7, 16.6,⑨⑨⑧, 1, 6,Ａパシコジュリエ, 77,内田博,, 73,  -6,* 18, 1,  2.5,⑥⑦⑤, 1, 3,Ｃディアフォルティス, 70,丸田恭,, 69,*  7,  -1, 2,  4.0,①①①, 1, 6,Ａミッションモｰド, 89,横山典,, 77,*  0,   6, 1,  1.8,②②①
 2,14,Ｉダイコウヒョウ, 45,柴田善, 0.2, 52,  -7,   7, 3,  5.1,⑤⑤⑤, 2,11,Ｇマイネフェリックス, 66,クラス, 0.0, 71,  -5,* 17, 4, 13.0,④⑤④, 2,11,Ｄコスモリゾルヴ, 69,松岡正, 0.0, 73,   5,*  4, 3,  7.5,⑥⑦④, 2, 3,Ｅステｰジプレゼンス, 72,クラス, 0.0, 80,*  0,*  9, 2,  2.6,③⑤②
 3, 4,Ｅテンゲントッパ, 51,西田雄, 0.4, 53,  -7,   8, 2,  4.5,⑥⑦⑦, 3, 7,Ｅメイショウラグｰナ, 68,蛯名正, 0.1, 70,* -3,  12, 5, 17.4,①①①, 3, 2,Ｇコスモイｰチタイム, 67,丹内祐, 0.7, 71,   4,   1,12, 43.7,⑫⑩⑥, 3, 5,Ｂレオプログレス, 84,江田照, 0.3, 79,  -1,*  9, 3, 10.1,⑦⑥⑧
 4, 6,Ｆストロングシリウス, 51,木幡初, 0.6, 52,* -6,   3,10, 54.5,③③④, 4, 1,Ｈタマノリテラシｰ, 65,江田照, 0.3, 69,* -4,  13, 7, 28.4,③③②, 4, 5,Ｎアポロアビリティ, 50,北村宏, 0.7, 68,   4,   1,10, 33.1,⑮⑪⑩, 4, 1,Ｄシルクタイタン, 79,古川吉, 0.3, 77,  -2,   6, 5, 20.5,⑨④⑤
 5, 2,Ｂサンマルヴィエント, 58,丸山元, 0.8, 50,  -7,   2, 4,  5.9,④④③, 5, 5,Ｄミアコルサ, 68,古川吉, 0.7, 69,  -9,* 18, 9, 46.8,⑨⑩⑧, 5,15,Ａヴァルディヴィア, 74,柴田善, 0.8, 63,*  6,  -6, 1,  2.9,⑤⑤⑤, 5, 8,Ｃベルグミサイル, 80,武士沢, 0.9, 70,  -2,  -1, 7, 58.3,⑧⑨④
 6, 5,Ｋエｰシンイグアス, 43,内田博, 1.0, 49,* -5,  -3, 5, 10.2,②②②, 6, 4,Ｃマチカネユウビ, 69,三浦皇, 0.8, 67,  -5,  13, 6, 26.6,⑤⑥⑥, 6, 7,Ｍロｰドエルドｰル, 56,内田博, 1.0, 67,   1,*  3, 4,  8.2,⑬⑯⑫, 6, 7,Ｆジャングルハヤテ, 70,西田雄, 1.3, 64,  -2,  -7, 4, 13.1,⑥⑧⑦
 7, 9,Ｍマンマルコ, 37,的場勇, 1.0, 55,  -8,   4,14,217.3,⑩⑥⑥, 7, 2,Ｆカシマパフュｰム, 67,菅原隆, 0.9, 66,  -7,  13,11,122.4,⑦⑧⑦, 7,16,Ｅジド, 68,吉田豊, 1.6, 61,   0,   0,13,114.6,⑯⑮⑭, 7,10,Ｈロｰンジャスティス, 68,北村宏, 1.6, 60,*  0, -15, 8, 90.3,④③③
 8,11,Ａサクラプレリュｰド, 63,勝浦正, 1.1, 52, -12,*  9, 1,  2.9,⑭⑭⑪, 8,12,Ｉクリノメダリスト, 64,横山典, 1.2, 62,* -3,   4, 8, 46.1,⑩②③, 8, 9,Ｌダイワモｰビル, 57,後藤浩, 1.9, 57,*  7, -16, 9, 33.0,③②③, 8, 4,Ｉミウラリチャｰド, 63,西村太, 1.8, 62,  -5,  -6,10,220.2,⑩⑩⑩
