11年10月30日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月30日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
 9, 4,Ｇレガシｰゴｰルド, 44,浜中俊, 1.3, 44,  -2, -16, 4, 20.0, ⑤⑤, 9,10, ムｰンレスナイト,,横山義,213.6,,,, 4, 12.8,①②②, 9, 3,Ｉパルクエスト, 70,国分恭, 1.8, 66,   1,   2, 9, 98.6,⑥⑦⑨, 9,10,Ｐハｰドウォン, 78,国分恭, 1.0, 79,   0,  16,13,240.3, ⑮⑭
10, 6,Ｅメイショウハチドリ, 45,国分優, 1.6, 43,*  1, -21,11,153.2, ②②,10,13, ハツカリ,,高野和,214.2,,,,14,264.5,⑩⑩⑪,,,,,,,,,,,,,10, 9,Ｋキタノアラワシ, 80,石橋脩, 1.1, 78,  -4,* 18,11,108.0, ⑯⑯
11, 7,Ｊセイカアンダンテ, 39,秋山真, 1.7, 40,  -7, -11,12,284.5, ⑪⑪,11, 8, ヒシカツヒトリタビ,,白浜雄,214.6,,,,12,116.4,⑤⑧⑨,,,,,,,,,,,,,11, 4,Ｌチャンピオンラブ, 80,藤田伸, 1.1, 79,   6,  10, 6, 17.4, ⑪⑩
12, 1,Ｌマキシムガロｰ, 32,高倉稜, 1.8, 39, -11,  -8, 7, 46.3, ⑫⑫,12,12, テイケイプリオｰル,,南井大,214.7,,,,10, 99.2,⑧⑪⑫,,,,,,,,,,,,,12, 1,Ｏドリｰムクラウン, 78,丹内祐, 1.3, 77,   5,   8,14,289.7, ⑩⑪
,,,,,,,,,,,,13,11, マックスチャンプ,,高田潤,216.1,,,, 6, 18.7,⑬⑬⑬,,,,,,,,,,,,,13,15,Ｅトｰセンピングス, 84,太宰啓, 1.4, 75,  10,   2, 7, 20.3, ⑦⑧
,,,,,,,,,,,,14, 5, モリノミヤコ,,水出大,216.2,,,,13,231.8,⑭⑭⑭,,,,,,,,,,,,,14,11,Ｉスペシャルクイン, 82,武英智, 1.5, 75,   1,  10,15,323.2, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｎストレｰトイン, 79,熊沢重, 1.8, 73,* 17,  -8,12,132.9, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｂエアティアｰモ, 85,丸山元, 2.2, 69,  11,  -6, 4, 10.9, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,
単勝:820円 複勝:10=180円 11=120円 12=100円 枠連:380円,,,,,,,,,,,,単勝:160円 複勝:09=110円 04=390円 07=160円 枠連:650円,,,,,,,,,,,,"単勝:1,080円 複勝:07=240円 04=140円 09=170円 枠連:1,960円",,,,,,,,,,,,"単勝:1,040円 複勝:03=230円 07=120円 05=430円 枠連:500円",,,,,,,,,,,
"馬連:2,680円 ワイド:10-11=360円 10-12=190円 11-12=120円",,,,,,,,,,,,"馬連:1,220円 ワイド:04-09=390円 07-09=180円 04-07=1,010円",,,,,,,,,,,,"馬連:1,700円 ワイド:04-07=580円 07-09=720円 04-09=410円",,,,,,,,,,,,"馬連:1,040円 ワイド:03-07=430円 03-05=1,900円 05-07=850円",,,,,,,,,,,
"馬単:5,890円 3連複:540円 3連単:7,880円",,,,,,,,,,,,"馬単:1,640円 3連複:1,580円 3連単:6,910円",,,,,,,,,,,,"馬単:4,350円 3連複:2,740円 3連単:20,290円",,,,,,,,,,,,"馬単:3,060円 3連複:4,820円 3連単:28,200円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ｶｼｵﾍﾟｱｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａドナメデュｰサ, 61,浜中俊,, 60,*-15,   1, 1,  1.7, ①①, 1, 5, マデイラ,---,丸山元,, 65,  -8,*  9, 8, 27.5, ⑨⑨, 1, 7,Ｂシゲルタダカツ, 74,北村宏,, 74,* 13,  -3, 3,  5.6, ②①, 1,11,Ｄダイワファルコン, 89,北村宏,, 92,  10,* 16, 1,  4.0, ⑫⑩
 2, 1,Ｄボストンストロング, 57,酒井学, 0.2, 58, -18,   3, 3,  9.1, ③③, 2, 7, ファンタビュラス,---,北村宏, 0.2, 63,  -3,  -2, 2,  4.2, ④③, 2, 3,Ｄジャマイカジョｰ, 69,幸英明, 0.1, 73,   8,*  3, 8, 32.0, ⑨⑨, 2,13,Ｆコスモネモシン, 87,丹内祐, 0.1, 91,  15,   6, 5, 10.4, ③③
 3, 4,Ｃイントゥザストｰム, 58,北村宏, 0.4, 58, -23,*  6, 2,  3.9, ⑩⑩, 3, 2, マナウス,---,浜中俊, 0.4, 61,  -5,  -1, 1,  3.0, ⑦⑥, 3, 9,Ａブラックイレブン, 75,酒井学, 0.3, 72,  10,  -1, 1,  2.7, ⑧⑧, 3, 3,Ａショウリュウムｰン, 92,小牧太, 0.3, 88,  10,  10, 3,  5.1, ⑥⑨
 4, 3,Ｅヒラボクダッシュ, 54,北村友, 0.4, 55, -21,   3, 5, 17.8, ⑦⑦, 4, 3, サトノオラクル,---,幸英明, 0.7, 57,*  1, -13, 6, 11.8, ①①, 4,13,Ｈリバｰスタｰリング, 66,藤岡佑, 0.4, 71,  12,  -5, 7, 14.5, ⑤③, 4,10,Ｑオｰスミスパｰク, 78,酒井学, 0.3, 85,* 22, -13,13, 72.9, ①①
 5, 5,Ｈシゲルミカン, 49,高倉稜, 0.5, 53, -19,  -2,10, 80.1, ④④, 5, 1, オレンジビキニ,---,秋山真, 0.9, 56, -11,   1, 7, 14.2, ⑩⑩, 5, 5,Ｅタッチドヘヴンリｰ, 68,浜中俊, 0.5, 69,   9,  -3, 4,  7.4, ⑦⑦, 5,14,Ｃゲシュタルト, 90,藤岡佑, 0.4, 89,  12,   7, 4,  5.4, ⑧⑥
 6, 9,Ｌタイキプリマドンナ, 40,藤岡佑, 0.5, 56, -24,   4,12,113.0, ⑪⑪, 6, 4, プレレフア,---,北村友, 1.1, 52, -11,  -1, 3,  5.1, ⑪⑪, 6, 4,Ｋメモリｰパｰミット, 61,小林徹, 0.5, 70,   6,*  2,15,203.0, ⑪⑪, 6,17,Ｈオｰトドラゴン, 83,渡辺薫, 0.4, 89,   9,* 13,11, 54.0, ⑮⑮
 7,10,Ｆサチノポピｰ, 52,熊沢重, 0.5, 53,*-16,  -4, 4, 10.7, ②②, 7,13, オｰヴァｰボｰド,---,川島信, 1.5, 49,*  1, -26, 5, 11.2, ②②, 7,10,Ｆケンブリッジシｰザ, 67,国分恭, 0.5, 67,   2,*  7,10, 71.1, ⑮⑭, 7,15,Ｂネオヴァンドｰム, 92,浜中俊, 0.6, 87,   9,  10, 2,  4.2, ⑭⑭
 8,14,Ｉシゲルキンカン, 49,国分恭, 0.6, 54, -28,*  6,13,173.2, ⑬⑬, 8,12, チョウインパクト,---,熊沢重, 1.6, 47,* -1, -25,13,135.9, ③④, 8,14,Ｃセキサンキセキ, 70,太宰啓, 0.5, 68,   7,   1,14,160.5, ⑩⑩, 8, 1,Ｅスピリタス, 88,太宰啓, 0.6, 85,   8,  12, 6, 13.6, ⑬⑫
 9, 2,Ｊヤマニンプチガトｰ, 44,幸英明, 0.7, 51, -23,   0, 8, 46.7, ⑨⑨, 9, 6, ハナズフルムｰン,---,藤田伸, 1.7, 46,  -2, -25, 9, 35.6, ⑥⑤, 9, 1,Ｌナガラダンディ, 59,川島信, 0.7, 68,  12,  -7, 6, 11.8, ④⑥, 9,16,Ｍスマｰトギア, 79,北村友, 0.7, 86,   7,* 15,15, 80.0, ⑰⑰
10, 6,Ｎセルリアンラビット, 36,渡辺薫, 0.7, 53, -26,   4,11, 88.6, ⑫⑫,10, 9, ラシュシュ,---,国分恭, 1.7, 46,  -4, -21,12,122.9, ⑧⑧,10, 8,Ｉネオジェイズレｰヌ, 65,国分優, 1.4, 61,   4,  -3,11, 85.8, ⑬⑬,10, 6,Ｉトップゾｰン, 83,小坂忠, 0.8, 83,  13,  -1,16, 94.6, ④④
11, 7,Ｂオンワｰドアマンド, 58,石橋脩, 0.9, 50, -29,   4, 6, 27.4, ⑭⑭,11,10, リネンハウス,---,藤岡佑, 1.8, 45,  -3, -25, 4,  7.8, ⑤⑦,11,15,Ｇケンタッキｰロｰド, 66,北村友, 1.7, 60,  11, -15,12,104.2, ⑥⑤,11,12,Ｋマッハヴェロシティ, 81,石橋脩, 0.8, 85,   3,* 17,17, 98.9, ⑱⑱
12, 8,Ｇシゲルカボス, 51,中村将, 0.9, 48, -21,  -4, 9, 70.0, ⑧⑧,12, 8, リアライズタイセイ,---,小牧太, 3.0, 32, -19, -15,11, 50.9, ⑬⑬,12, 2,Ｎユウｰジラソｰレ, 48,熊沢重, 1.8, 59,   3,  -5,13,128.7, ⑭⑮,12, 4,Ｎケイアイドウソジン, 79,藤田伸, 0.8, 84,  12,   1, 8, 33.4, ⑦⑤
13,13,Ｋユキノクンシラン, 41,太宰啓, 1.0, 45, -19,  -8,14,234.7, ⑤⑤,13,11, ワラオウヨ,---,石橋脩, 4.0, 22, -15, -37,10, 44.6, ⑫⑫,13,12,Ｊビｰム, 64,石橋脩, 2.3, 55,  12, -22, 5, 11.5, ③④,13, 5,Ｊドモナラズ, 82,国分優, 1.0, 81,   9,   3,14, 77.3, ⑩⑬
14,12,Ｍマテルナ, 39,国分優, 1.1, 44, -19, -10, 7, 46.1, ⑥⑥,,,,,,,,,,,,,14,11,Ｏスマｰトメビウス, 39,丸山元, 2.4, 54,   6, -14, 9, 56.6, ⑫⑫,14, 8,Ｇミッキｰパンプキン, 84,幸英明, 1.0, 81,  11,   2, 7, 29.9, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｍクリｰンエコロジｰ, 59,秋山真, 5.3, 32,* 14, -50, 2,  4.4, ①②,15, 7,Ｐオウケンサクラ, 78,丸山元, 1.2, 77,  12,  -6,10, 38.8, ⑤⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｒヤマニンウイスカｰ, 71,熊沢重, 1.2, 80,  10,  -2,18,187.8, ⑨⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 9,Ｌエｰシンジャッカル, 81,国分恭, 1.2, 80,   6,   7,11, 54.0, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｏオｰルアズワン, 79,秋山真, 1.6, 72,* 20, -29, 9, 37.6, ②②
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,
単勝:170円 複勝:11=110円 01=150円 04=120円 枠連:620円,,,,,,,,,,,,"単勝:2,750円 複勝:05=670円 07=150円 02=140円 枠連:750円",,,,,,,,,,,,"単勝:560円 複勝:07=160円 03=340円 09=120円 枠連:4,390円",,,,,,,,,,,,単勝:400円 複勝:11=170円 13=230円 03=190円 枠連:440円,,,,,,,,,,,
馬連:620円 ワイド:01-11=250円 04-11=180円 01-04=380円,,,,,,,,,,,,"馬連:6,750円 ワイド:05-07=1,830円 02-05=1,590円 02-07=280円",,,,,,,,,,,,"馬連:6,660円 ワイド:03-07=1,450円 07-09=260円 03-09=770円",,,,,,,,,,,,"馬連:2,140円 ワイド:11-13=860円 03-11=480円 03-13=820円",,,,,,,,,,,
"馬単:860円 3連複:660円 3連単:2,760円",,,,,,,,,,,,"馬単:16,560円 3連複:5,660円 3連単:62,930円",,,,,,,,,,,,"馬単:11,590円 3連複:3,680円 3連単:31,810円",,,,,,,,,,,,"馬単:3,320円 3連複:3,330円 3連単:17,990円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1900m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,高雄特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｃフレｰジャパン, 58,藤田伸,, 62,  -9,*  2, 2,  5.9, ⑧⑦, 1, 6,Ａアズマユニヴァｰス, 76,藤岡佑,, 73,   6,   2, 1,  1.7,⑤④④, 1, 4,Ｃイグアス, 88,北村宏,, 86,*  8,  13, 3,  8.0,①①①, 1, 6,Ｈルナキッズ, 74,酒井学,, 83,   3,* 15, 8, 17.2, ⑨⑨
 2,16,Ａジュディソング, 63,藤岡佑, 0.1, 60,* -7,  -3, 3,  6.2, ④④, 2, 8,Ｃアイノグロｰ, 73,浜中俊, 0.3, 72,   3,*  5, 2,  5.0,⑦⑧⑦, 2, 5,Ｆトウカイパラダイス, 83,国分優, 0.1, 84,*  7,  13, 4,  8.9,②②②, 2,12,Ｊメイショウドナリオ, 72,藤岡佑, 0.1, 85,* 13,   0, 3,  5.8, ④②
 3,10,Ｂリュウシンアクシス, 63,小牧太, 0.3, 55,* -6,  -7, 1,  1.7, ②②, 3, 5,Ｂサイキョウイシヤマ, 75,鮫島良, 0.7, 69,*  7,  -6, 4,  6.8,③③②, 3, 2,Ｄギュスタｰヴクライ, 87,浜中俊, 0.1, 88,   6,* 19, 1,  1.9,⑬⑦⑧, 3, 4,Ｂラナンキュラス, 78,丸山元, 0.3, 79,   0,* 15, 2,  5.3, ⑪⑪
 4,12,Ｐオｰプンウォｰタｰ, 19,太宰啓, 0.4, 55,  -9,  -3,11,103.1, ⑦⑨, 4, 7,Ｅハギノダルタニアン, 68,小牧太, 0.8, 66,   4,  -2, 6, 20.0,⑥⑥⑤, 4,12,Ｅスズカスコｰピオン, 83,丸山元, 0.2, 86,   6,* 18, 7, 25.0,⑤⑥⑦, 4,11,Ｅブラボｰスキｰ, 75,北村友, 0.4, 79,   9,   2, 4,  6.1, ③⑤
 5, 8,Ｈメテオライト, 49,浜中俊, 0.4, 55,  -9,  -4, 6, 15.5, ⑥⑥, 5, 1,Ｄボストンリョウマ, 72,幸英明, 1.0, 67,   4,  -4, 5, 10.9,⑧⑦⑥, 5, 9,Ｉヒットザタｰゲット, 76,藤田伸, 0.2, 85,   6,  15, 9, 34.1,⑫④⑤, 5,13,Ｆモトヒメ, 75,国分優, 0.7, 76,   6,   2, 9, 30.7, ⑥⑥
 6, 5,Ｊヒデノビクトリア, 46,幸英明, 0.5, 57, -10,* -1, 8, 54.8, ⑫⑪, 6, 2,Ｆロｰドエルドｰル, 67,北村友, 1.1, 64,*  7, -11, 3,  6.4,①①①, 6,10,Ｂレッドシャガｰラ, 91,藤岡佑, 0.4, 85,   6,  13, 2,  4.7,④⑤④, 6, 2,Ｇメロｰト, 75,幸英明, 0.7, 76,   9,  -2, 6, 16.8, ⑤③
 7,13,Ｇカルミナ, 50,渡辺薫, 0.5, 56, -10,  -3,10, 67.5, ⑪⑩, 7, 4,Ｈスズカキｰストン, 59,熊沢重, 1.7, 63,   4,  -9, 8,181.1,④⑤⑧, 7, 3,Ｈアッシュｰル, 76,渡辺薫, 0.5, 84,   6,  13,12,217.7,⑥⑧⑥, 7, 3,Ｃウインバンディエラ, 76,浜中俊, 1.0, 72,   1,   5, 5,  7.4, ⑩⑩
 8, 2,Ｅサチノコイノボリ, 53,熊沢重, 0.5, 56, -10,  -3, 5, 13.7, ⑨⑧, 8, 3,Ｇメイショウゴモン, 59,丸山元, 1.7, 61,*  7, -15, 7, 54.4,②②③, 8, 7,Ａカｰマイン, 93,幸英明, 0.8, 81,   5,  13, 5, 14.5,⑩⑬⑩, 8, 9,Ｄリッピアピンク, 75,太宰啓, 1.1, 69,  -1,   7,11, 59.6, ⑫⑫
 9, 1,Ｋレッドグルｰヴァｰ, 42,北村宏, 0.5, 54,  -9,  -6, 4, 12.2, ⑤⑤,,,,,,,,,,,,, 9,11,Ｌアｰセナルゴｰル, 71,小牧太, 0.9, 79,   5,  10, 6, 19.7,⑦⑨⑪, 9, 1,Ｌショウナンカッサイ, 68,石橋脩, 1.4, 68,   9, -11,12,105.1, ②④
10, 9,Ｄマイネアルナイル, 57,丹内祐, 0.7, 57, -13,*  1, 9, 60.9, ⑮⑭,,,,,,,,,,,,,10,14,Ｎイｰサンジャンパｰ, 68,酒井学, 1.1, 76,   5,   6,13,441.4,⑪⑪⑬,10, 7,Ｉユメノキラメキ, 74,川島信, 1.5, 67,   5,  -7, 7, 17.1, ⑦⑦
11, 4,Ｉホッコｰキンツル, 48,飯田祐, 1.2, 49, -11,  -8,13,188.4, ⑬⑫,,,,,,,,,,,,,11, 6,Ｍハｰトシュｰタｰ, 70,石橋脩, 1.4, 72,*  7,  -4,11,185.8,③③③,11,10,Ｋエｰシンジェイワン, 72,秋山真, 1.6, 67,* 12, -19,10, 53.5, ①①
12, 7,Ｏキングオブセイント, 27,国分恭, 1.4, 41,* -6, -23,16,468.5, ①①,,,,,,,,,,,,,12, 8,Ｋウォｰタｰセレネ, 71,国分恭, 1.5, 74,   4,   5,14,476.5,⑨⑫⑨,12, 5,Ｍキリシマウイング, 63,渡辺薫, 1.7, 64,   4,  -9,13,328.7, ⑧⑧
13,14,Ｆペガサスフォｰス, 52,丸山元, 1.8, 36,* -7, -28, 7, 34.2, ③③,,,,,,,,,,,,,13,13,Ｊシゲルジョウム, 74,北村友, 1.9, 69,   5,  -3,10, 46.2,⑧⑩⑫,,,,,,,,,,,,
14, 3,Ｍオｰスミイチバン, 33,秋山真, 2.1, 37, -13, -20,12,143.1, ⑭⑬,,,,,,,,,,,,,14, 1,Ｇテイエムシバスキｰ, 81,太宰啓,11.1,-12, -10, -87, 8, 25.2,⑭⑭⑭,,,,,,,,,,,,
15,11,Ｎシゲルメロン, 31,酒井学, 4.3, 15, -17, -43,15,344.4, ⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,
"単勝:590円 複勝:15=140円 16=140円 10=110円 枠連:1,230円",,,,,,,,,,,,単勝:170円 複勝:06=110円 08=130円 05=140円 枠連:0円,,,,,,,,,,,,"単勝:800円 複勝:04=200円 05=210円 02=110円 枠連:2,440円",,,,,,,,,,,,"単勝:1,720円 複勝:06=370円 12=260円 04=190円 枠連:2,570円",,,,,,,,,,,
"馬連:1,270円 ワイド:15-16=360円 10-15=190円 10-16=210円",,,,,,,,,,,,馬連:370円 ワイド:06-08=190円 05-06=200円 05-08=340円,,,,,,,,,,,,"馬連:2,770円 ワイド:04-05=830円 02-04=280円 02-05=330円",,,,,,,,,,,,"馬連:7,100円 ワイド:06-12=1,740円 04-06=1,420円 04-12=930円",,,,,,,,,,,
"馬単:2,390円 3連複:590円 3連単:5,260円",,,,,,,,,,,,"馬単:560円 3連複:620円 3連単:1,720円",,,,,,,,,,,,"馬単:5,590円 3連複:1,490円 3連単:14,530円",,,,,,,,,,,,"馬単:15,640円 3連複:13,160円 3連単:118,110円",,,,,,,,,,,
