11年 7月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,, 9, 1,Ｋシゲルカカリチョウ, 50,太宰啓, 1.4, 52,  -1, -13,13,223.0,⑦⑦⑦, 9, 5,Ｈファルブキング, 54,安藤光, 2.2, 53,  -3,  -4,14,125.8,⑨⑧⑨, 9, 7,Ｌメモリｰパｰミット, 64,藤懸貴, 3.9, 55,   6, -18,13, 76.0,③⑧⑪
,,,,,,,,,,,,10, 5,Ｄクリノプロジェクト, 63,森一馬, 1.4, 55,  -6,  -3,10, 62.7,⑪⑫⑫,10, 6, オｰスミロック,---,川須栄, 2.3, 53,  -3,  -3,13, 89.0,⑩⑩⑪,10, 9,Ｊシゲルタダカツ, 70,幸英明, 4.1, 54,   6, -20,12, 49.1,④⑥⑭
,,,,,,,,,,,,11,15,Ｊショウナンアピア, 54,幸英明, 1.4, 52,  -1, -15, 8, 43.1,⑥⑥⑤,11, 3,Ｊクッカ, 50,熊沢重, 2.7, 52,  -3,  -6,15,192.5,⑧⑨⑧,11,13,Ｍトｰアシシイ, 63,浜中俊, 4.1, 55,*  7, -22, 7, 20.9,⑥⑤④
,,,,,,,,,,,,12,11,Ｆニホンピロフィｰド, 58,酒井学, 2.0, 50,  -5, -11,11, 82.8,⑫⑬⑬,12, 4,Ｍマイティロｰヤｰ, 43,中村将, 3.3, 46,  -5,  -8, 9, 57.0,⑬⑬⑬,12, 1,Ｋハンタｰワディ, 66,太宰啓, 4.2, 52,   4, -16,10, 34.4,⑩⑬⑯
,,,,,,,,,,,,13, 6,Ｇマイネルシャテｰル, 57,和田竜, 2.9, 39,  -1, -37, 5, 22.7,⑤⑤⑧,13,14,Ｇメイショウシモｰヌ, 55,高倉稜, 3.9, 42,  -5, -12,12, 67.8,⑮⑮⑭,13,11,Ｈペガサスフラッシュ, 71,高倉稜, 4.3, 53,   6, -19, 6, 12.7,⑤⑩⑮
,,,,,,,,,,,,14,14,Ｎオｰミレゴリス, 24,藤岡康, 3.3, 37, -13, -16,15,433.9,⑮⑮⑮,14,11,Ｎテンエイアドニス,-101,田嶋翔, 4.2, 42,  -2, -18,16,373.3,⑪⑪⑫,14,10,Ｐシゲルジョウム, 49,酒井学, 4.9, 48,   4, -22,14,152.5,⑨⑮⑬
,,,,,,,,,,,,15,10,Ｅキクノスフィｰダ, 61,川須栄, 4.9, 10,*  1, -70, 3,  9.9,②②②,15, 7,Ｉフェブスタｰ, 51,酒井学, 4.8, 36,  -5, -20,10, 59.0,⑭⑭⑯,15,16,Ｆアキノモｰグル, 73,川須栄, 6.3, 39,*  7, -41, 3,  6.4,②④⑩
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｌキングリホリホ, 49,佐藤哲, 5.4, 32,  -7, -23, 8, 55.7,⑯⑯⑮,16, 4,Ｄキクノフレヴァン, 77,佐藤哲, 8.1, 29,*  7, -56, 8, 23.1,①③⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-3),,,,,,,,,,,
単勝:190円 複勝:01=130円 03=450円 枠連:0円,,,,,,,,,,,,単勝:160円 複勝:13=110円 03=130円 09=280円 枠連:300円,,,,,,,,,,,,"単勝:360円 複勝:10=190円 01=1,690円 13=230円 枠連:1,150円",,,,,,,,,,,,単勝:290円 複勝:03=130円 08=160円 05=250円 枠連:540円,,,,,,,,,,,
"馬連:1,450円 ワイド:01-03=210円 01-02=110円 02-03=180円",,,,,,,,,,,,馬連:300円 ワイド:03-13=160円 09-13=320円 03-09=600円,,,,,,,,,,,,"馬連:14,520円 ワイド:01-10=3,980円 10-13=650円 01-13=6,880円",,,,,,,,,,,,馬連:560円 ワイド:03-08=270円 03-05=520円 05-08=610円,,,,,,,,,,,
"馬単:2,000円 3連複:360円 3連単:2,970円",,,,,,,,,,,,"馬単:460円 3連複:1,070円 3連単:2,920円",,,,,,,,,,,,"馬単:22,540円 3連複:33,190円 3連単:185,770円",,,,,,,,,,,,"馬単:1,080円 3連複:1,590円 3連単:6,390円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 8R  芝3390m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,小倉ｻﾏｰｼﾞｬﾝﾌﾟ,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａエスカナｰル, 72,和田竜,, 71, -14,* 18, 1,  1.9,③④④, 1, 5, テイエムハエンカゼ,---,佐久間,, 44, -15,* -8, 9, 22.5, ④③, 1,10, ドングラシアス,,高田潤,,,,,10, 33.0,⑦⑤②, 1, 4,Ｅミキノバンジョｰ, 75,太宰啓,, 76,   0,* 16, 2,  3.9,④⑥⑤
 2, 4,Ｂオｰシャンビｰナス, 68,北村友, 0.2, 69, -14,* 18, 2,  4.3,⑦⑨⑨, 2,18, カシノエルフ,---,酒井学, 0.2, 40, -18,* -9, 8, 20.7, ⑥⑤, 2, 1, シゲルダイセン,,植野貴,223.2,,,, 5, 12.8,⑨⑥⑤, 2, 6,Ｄハｰドダダンダン, 75,浜中俊, 0.3, 72,*  3,   6, 3,  5.0,⑨②②
 3,17,Ｋアイドルバイオ, 52,鮫島良, 0.5, 72, -18,* 23, 8, 36.1,⑱⑰⑯, 3, 9, グランデエンジェル,---,渡辺薫, 0.4, 39, -20,* -9,12, 32.1, ⑦⑦, 3, 7, スプリングカエサル,,白浜雄,224.0,,,, 2,  4.1,③①①, 3, 5,Ａワｰルドブルｰ, 80,小牧太, 0.3, 72,   0,  10, 9, 31.5,②④③
 4, 9,Ｃヴェルデライト, 66,浜中俊, 0.6, 61,*-13,   7, 3,  4.4,②②②, 4,14, カシノチョッパｰ,---,小坂忠, 0.5, 36,*-12, -18, 1,  3.3, ③②, 4, 9, エムエスワｰルド,,熊沢重,224.7,,,, 1,  2.8,②③④, 4, 8,Ｆウィッシングデュｰ, 74,酒井学, 0.4, 69,*  3,   4, 5, 12.3,①①①
 5,13,Ｊハイデルベｰレ, 52,藤岡康, 0.9, 58, -14,   6, 9, 63.7,⑥⑤⑤, 5,10, ヤングエイト,---,高倉稜, 0.6, 36,*-11, -20,10, 28.4, ①①, 5,13, ヒカリアライブ,,佐久間,224.8,,,, 4,  7.4,⑤②③, 5, 9,Ｂラッキｰポケット, 79,北村友, 0.5, 69,   0,   7, 1,  2.5,③⑤④
 6,11,Ｐエイシンピンキｰ, 44,幸英明, 0.9, 58,*-12,   3,10, 82.6,④③③, 6, 8, キリシマキセキ,---,小牧太, 0.8, 35, -35,*  1, 2,  5.7, ⑭⑭, 6, 3, タマモサプライズ,,林満明,225.0,,,, 6, 13.5,④④⑥, 6, 3,Ｈキクカラヴリイ, 73,松山弘, 0.5, 76,  -4,* 18, 6, 14.1,⑩⑩⑨
 7,16,Ｈシエｰナスプレｰマ, 57,高倉稜, 1.1, 60, -17,  11, 6, 25.5,⑯⑮⑮, 7,16, キリシマジャパン,---,武幸四, 0.8, 32,*-14, -21, 3,  6.4, ⑤⑥, 7, 2, マンノレｰシング,,難波剛,225.2,,,,11, 80.8,⑫⑧⑧, 7, 1,Ｊウィズインライアン, 70,国分優, 0.6, 71,  -1,  11,10, 59.0,⑥⑧⑥
 8, 6,Ｌユメノアイリス, 52,佐藤哲, 1.1, 59, -17,  10,12,157.9,⑩⑬⑬, 8, 3, ミスマルシゲ,---,北村友, 0.9, 32, -21, -13, 6, 15.7, ⑧⑧, 8,14, ワシャモノタリン,,中村将,227.1,,,, 8, 19.8,⑥⑦⑦, 8, 2,Ｃハギノアスラン, 75,鮫島良, 0.6, 73,  -1,  11, 8, 25.8,⑧⑨⑧
 9,18,Ｆアカマイ, 60,太宰啓, 1.2, 54, -14,   3, 7, 30.6,⑮⑧⑧, 9,13, コウエイコムスメ,---,森一馬, 1.0, 30, -22, -15, 5,  8.1, ⑨⑨, 9, 6, シャイニｰブラック,,黒岩悠,227.3,,,, 7, 14.9,⑩⑪⑨, 9, 7,Ｇジャングルストｰン, 73,高倉稜, 1.2, 62,  -1,   0, 4, 10.2,⑦⑦⑩
10, 5,Ｍグランゴｰル, 52,松山弘, 1.2, 54,*-10,  -2,11,123.4,①①①,10, 2, スズノエヴァグリン,---,鮫島良, 1.2, 29, -28, -11,16,145.5, ⑪⑩,10,11, スリｰロゼット,,北沢伸,228.0,,,,12, 89.0,⑪⑩⑩,10,10,Ｉセンノカゼ, 70,佐藤哲, 1.9, 52,   1, -16, 7, 18.9,⑤③⑦
11,14,Ｎアｰトスポット, 51,川須栄, 1.2, 55, -14,   3,13,172.8,⑨⑦⑦,11,17, コウユｰサムライ,---,田村太, 1.7, 21, -34, -13, 7, 17.6, ⑬⑬,11,12, テイエムブユウデン,,南井大,229.7,,,,14,204.5,⑭⑭⑭,,,,,,,,,,,,
12, 3,Ｅライトアップゲラン, 60,水口優, 1.2, 59, -18,  11,18,425.3,⑭⑯⑰,12,15, カシノブロｰチ,---,水口優, 2.3, 13, -24, -30,13,102.3, ⑩⑪,12, 5, ライブリシュロム,,小坂忠,231.0,,,,13,188.9,⑧⑫⑪,,,,,,,,,,,,
13, 2,Ｇポレモス, 57,酒井学, 1.3, 55, -15,   4, 4, 19.6,⑰⑫⑫,13, 7, カシノサンクス,---,幸英明, 2.5, 11, -27, -30,11, 30.3, ⑫⑫,13, 4, ゴｰルデンガッツ,,岩崎祐,231.1,,,, 9, 25.3,⑬⑬⑬,,,,,,,,,,,,
14,10,Ｉダンスインザスカイ, 54,安藤光, 1.4, 54, -15,   3,14,237.2,⑪⑪⑪,14,12, ヒノクニリョジョウ,---,浜中俊, 3.0,  5,*-12, -51, 4,  6.9, ②④,14, 8, エｰシンディｰエス,,西谷誠,233.8,,,, 3,  6.8,①⑨⑫,,,,,,,,,,,,
15, 7,Ｏウエスタンジェミｰ, 46,熊沢重, 1.5, 52, -14,  -1,15,338.9,⑤⑥⑥,15, 1, クｰノ,---,松山弘, 4.8,-20, -57, -31,17,166.6, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
16, 8,Ｄプレシャスライン, 62,赤木高, 1.8, 47, -15,  -3, 5, 23.6,⑧⑩⑩,16, 6, クラウンエンビｰ,---,熊沢重, 5.1,-25, -51, -42,14,115.3, ⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,
17,12,Ｑブルｰパメラ, 37,高橋智, 1.9, 49, -17,   0,16,360.7,⑬⑭⑭,17, 4, クラウンペコ,---,鷹野宏, 5.3,-27, -60, -35,15,144.7, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
18,15,Ｒプレザントブルｰ, 18,小牧太, 3.5, 30, -18, -20,17,396.8,⑫⑱⑱,18,11, キリシマセンプｰ,---,芹沢純, 5.7,-32, -38, -61,18,181.0, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-5),,,,,,,,,,,
単勝:190円 複勝:01=110円 04=150円 17=570円 枠連:470円,,,,,,,,,,,,"単勝:2,250円 複勝:05=1,210円 18=630円 09=700円 枠連:4,410円",,,,,,,,,,,,"単勝:3,300円 複勝:10=650円 01=430円 07=180円 枠連:2,210円",,,,,,,,,,,,"単勝:390円 複勝:04=170円 06=190円 05=530円 枠連:1,200円",,,,,,,,,,,
"馬連:490円 ワイド:01-04=240円 01-17=850円 04-17=1,200円",,,,,,,,,,,,"馬連:37,610円 ワイド:05-18=8,960円 05-09=7,680円 09-18=5,270円",,,,,,,,,,,,"馬連:19,190円 ワイド:01-10=4,430円 07-10=1,720円 01-07=990円",,,,,,,,,,,,"馬連:1,180円 ワイド:04-06=460円 04-05=2,160円 05-06=1,910円",,,,,,,,,,,
"馬単:810円 3連複:2,560円 3連単:6,910円",,,,,,,,,,,,"馬単:71,670円 3連複:233,590円 3連単:1,448,590円",,,,,,,,,,,,"馬単:38,440円 3連複:19,410円 3連単:208,440円",,,,,,,,,,,,"馬単:1,940円 3連複:11,050円 3連単:45,930円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,筑後川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄアスタｰポメリｰ, 63,川須栄,, 65,*  4,   2, 5, 13.1, ①①, 1, 7, シゲルシバグリ,---,川須栄,, 51,*-18,*  2, 2,  3.1, ①①, 1, 1,Ｄメイショウナルト, 73,幸英明,, 80,*  4,  15, 2,  3.2,①①①, 1,10,Ｈピシｰズクイｰン, 68,浜中俊,, 71,   4,* 10, 9, 30.0,④④③
 2, 9,Ａアンティフォナ, 67,浜中俊, 0.2, 63,  -2,   4, 3,  4.6, ⑤④, 2, 5, タイセイシュバリエ,---,浜中俊, 0.5, 48, -31,*  8, 5, 15.4, ⑪⑨, 2, 4,Ａタムロスカイ, 76,佐藤哲, 0.3, 76,   1,  15, 1,  1.9,④③②, 2,16,Ａダノンプリマドンナ, 75,小牧太, 0.0, 67,*  5,*  9, 1,  1.8,③③④
 3, 1,Ｃジャベリン, 66,幸英明, 0.6, 58,  -2,   0, 1,  2.2, ④⑤, 3,13, アンビｰタブル,---,北村友, 0.7, 42, -22,  -3, 1,  2.2, ⑤④, 3, 2,Ｂヤマカツゴｰルド, 74,松山弘, 0.6, 76,  -3,* 19, 4, 10.3,⑦⑦⑧, 3, 7,Ｃナリタシルエット, 72,渡辺薫, 0.1, 68,*  5,   6, 2,  5.1,①①①
 4,13,Ｈアキノランラン, 59,太宰啓, 0.7, 56,*  1,  -2,11,133.1, ③③, 4, 2, カシノアラシ,---,野元昭, 0.7, 42, -22,  -3, 7, 24.6, ③③, 4, 9,Ｇシｰキングフェイム, 69,太宰啓, 0.8, 73,  -4,* 20, 6, 25.8,⑩⑨⑦, 4, 3,Ｆクリノソｰニャ, 70,森一馬, 0.4, 66,   2,* 10,16,267.0,⑧⑧⑤
 5, 8,Ｉホｰマンベルウィン, 53,酒井学, 1.0, 51, -18,*  7,10, 60.3, ⑫⑩, 5,11, ブルｰプルチェッラ,---,太宰啓, 0.8, 42, -29,*  2, 6, 16.0, ⑩⑧, 5, 7,Ｃオリエンタルコｰル, 73,酒井学, 1.1, 69,   1,   8, 7, 52.3,⑥⑥⑥, 5, 2,Ｇメイショウボヌス, 70,田中健, 0.6, 68,   2,*  9, 4, 15.7,⑩⑩⑧
 6, 4,Ｆカシノダンガン, 61,高倉稜, 1.1, 49, -18,*  6, 8, 38.4, ⑪⑪, 6, 9, メイショウルｰメン,---,田中健, 1.1, 37, -26,  -5, 4, 12.9, ⑧⑥, 6, 8,Ｅゴｰルドサクセス, 72,川須栄, 1.3, 65,   0,   3, 3,  5.9,③⑤④, 6, 5,Ｂパミｰナ, 73,北村友, 0.8, 63,   1,*  9, 6, 16.7,⑭⑫⑪
 7,14,Ｂタツフラッシュ, 66,佐藤哲, 1.2, 50,  -5,  -4, 2,  3.9, ⑦⑦, 7, 4, リｰノレオン,---,和田竜, 1.5, 34, -36,  -1, 8, 26.1, ⑮⑫, 7,10,Ｆカレンデイムｰン, 70,和田竜, 1.5, 63,*  3,  -4, 5, 22.8,②②③, 7, 8,Ｌティボリペガサス, 63,熊沢重, 0.8, 65,*  6,   1,10,101.7,②②②
 8, 3,Ｇアドマイヤクイｰナ, 61,北村友, 1.2, 51,*  1,  -7, 4,  9.6, ②②, 8, 6, テイエムキュウベエ,---,田嶋翔, 1.7, 28, -22, -17, 9, 28.8, ④⑤, 8, 3,Ｉプリティ, 61,中村将, 2.3, 56,  -2,  -4, 9,177.6,⑧⑧⑨, 8, 1,Ｎラトｰヌペガサス, 60,藤懸貴, 0.9, 63,   1,   8, 5, 15.8,⑪⑪⑨
 9, 2, アグネスピンキｰ,---,川田将, 1.3, 51,  -6,  -3, 7, 36.4, ⑧⑥, 9, 8, サチノタカチホ,---,赤木高, 1.8, 26, -27, -13,11,146.6, ⑦⑦, 9, 5,Ｈホｰクウィンザｰ, 68,藤岡康, 2.8, 48,   2, -21, 8, 55.8,⑤④⑤, 9,15,Ｄビップピュアレディ, 72,国分優, 1.0, 62,   3,   4, 8, 29.2,⑨⑦⑦
10, 5,Ｅダノンスプリｰム, 61,小牧太, 1.6, 44, -21,   3, 6, 26.2, ⑬⑬,10,10, テｰオｰフェアリｰ,---,小牧太, 1.8, 28, -34,  -6, 3,  9.2, ⑬⑬,10, 6,Ｊセイランダンス, 54,赤木高, 4.6, 31,  -8, -27,10,278.1,⑨⑩⑩,10, 6,Ｅペパｰミントラヴ, 71,幸英明, 1.2, 62,   0,   6, 3,  6.9,⑯⑭⑩
11,10,Ｌクリノハマナス, 29,花田大, 1.9, 42, -15,  -4,14,490.5, ⑩⑨,11,12, ナカスノクリチャン,---,藤懸貴, 2.2, 22, -30, -15,12,147.5, ⑨⑪,,,,,,,,,,,,,11,14,Ｐツィンクルブｰケ, 58,藤岡康, 1.4, 59,   4,  -1, 7, 21.1,⑤⑤⑥
12, 7,Ｊミセスボス, 47,藤懸貴, 2.4, 37, -13, -10,12,307.0, ⑨⑫,12,14, ミスコクラ,---,中村将, 2.6, 17, -24, -26,13,160.4, ⑥⑩,,,,,,,,,,,,,12,12,Ｏワイドロｰタス, 60,高倉稜, 1.6, 59,  -1,   7,12,131.2,⑮⑮⑮
13, 6,Ｋフェアギャンブラｰ, 42,和田竜, 3.0, 34,  -3, -20, 9, 38.9, ⑥⑧,13,15, シゲルバナナ,---,幸英明, 2.7, 16,*-19, -32,10, 45.4, ②②,,,,,,,,,,,,,13, 4,Ｉプルプル, 68,高橋亮, 2.0, 57,   1,   0,11,111.5,⑫⑬⑭
14,12, リトルスタｰレット,---,赤木高, 3.4, 24, -45,   2,13,318.6, ⑭⑭,14, 3, スカッドホｰク,---,安藤光, 3.2, 11, -32, -25,14,189.9, ⑫⑭,,,,,,,,,,,,,14,13,Ｍゴｰルドアゲイン, 60,松山弘, 2.0, 58,  -2,   4,14,234.0,⑬⑯⑯
,,,,,,,,,,,,15, 1, ネクストズキュン,---,高橋亮, 3.4,  8, -35, -25,15,231.2, ⑭⑮,,,,,,,,,,,,,15,11,Ｊサックアクロア, 65,鮫島良, 3.9, 42,   3, -22,15,245.1,⑦⑥⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｋメイショウフェｰヴ, 65,難波剛, 6.3, 27,   2, -40,13,177.1,⑥⑨⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,310円 複勝:11=260円 09=170円 01=120円 枠連:2,460円",,,,,,,,,,,,"単勝:310円 複勝:07=140円 05=240円 13=120円 枠連:1,240円",,,,,,,,,,,,単勝:320円 複勝:01=130円 04=110円 02=170円 枠連:260円,,,,,,,,,,,,"単勝:3,000円 複勝:10=440円 16=110円 07=160円 枠連:1,790円",,,,,,,,,,,
