11年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
14, 1,Ｏリュウシンリスボン, 34,嶋田純, 2.1, 52, -10,   2,16,460.6, ⑯⑯,,,,,,,,,,,,,14, 1,Ｏヤマタケディガｰ, 62,小林淳, 1.2, 74,  -5,  18,15,216.6, ⑭⑭,14,11,Ｐゴｰルディｰロック, 73,宮崎北, 2.4, 69,   4,  -4,16,295.9,⑭⑬⑬
15,10,Ｉグリｰンボウル, 54,三浦皇, 2.2, 52,  -6,  -3,12,158.6, ⑪⑪,,,,,,,,,,,,,15, 3,Ｎグランブリｰズ, 71,宮崎北, 1.4, 71,  -3,  14,16,434.2, ⑫⑫,15,13,Ｎタマモグレアｰ, 76,大庭和, 2.7, 68,   1,  -2,12, 86.3,⑮⑮⑮
16,11,Ｊアグネスコルサ, 53,丸山元, 2.2, 51,  -7,  -4,13,197.3, ⑬⑭,,,,,,,,,,,,,16,11,Ｍレッツゴｰマｰクン, 73,武士沢, 1.6, 72,  -5,  16,12, 46.8, ⑮⑮,16,10,Ｆフェニコｰン, 84,田中勝, 2.7, 67,   0,   1,13, 96.5,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,
単勝:210円 複勝:02=130円 05=200円 08=460円 枠連:660円,,,,,,,,,,,,単勝:390円 複勝:02=140円 10=110円 03=490円 枠連:290円,,,,,,,,,,,,"単勝:370円 複勝:05=170円 08=740円 10=180円 枠連:4,980円",,,,,,,,,,,,単勝:690円 複勝:03=260円 07=320円 04=200円 枠連:650円,,,,,,,,,,,
"馬連:680円 ワイド:02-05=370円 02-08=1,010円 05-08=1,410円",,,,,,,,,,,,"馬連:330円 ワイド:02-10=190円 02-03=1,270円 03-10=820円",,,,,,,,,,,,"馬連:9,580円 ワイド:05-08=2,840円 05-10=510円 08-10=2,510円",,,,,,,,,,,,"馬連:3,070円 ワイド:03-07=960円 03-04=540円 04-07=810円",,,,,,,,,,,
"馬単:990円 3連複:4,110円 3連単:10,060円",,,,,,,,,,,,"馬単:970円 3連複:2,880円 3連単:12,060円",,,,,,,,,,,,"馬単:14,850円 3連複:12,130円 3連単:84,720円",,,,,,,,,,,,"馬単:5,850円 3連複:5,140円 3連単:35,800円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,,,,,,,,,,,,
